"Status","Year","Disability","Region_ITL2","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Unknown","Essex","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Essex","Digital, Data & Technology","90","80","36510","31870"
"In post","2021","Unknown","Essex","Finance","60","50","26430","25560"
"In post","2021","Unknown","Essex","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Essex","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Essex","Legal","40","30","[c]","[c]"
"In post","2021","Unknown","Essex","No function","210","190","29970","25850"
"In post","2021","Unknown","Essex","Project Delivery","50","40","[c]","[c]"
"In post","2021","Unknown","Essex","Property","30","30","[c]","[c]"
"In post","2021","Unknown","Essex","Security","30","30","[c]","[c]"
"In post","2021","Unknown","Essex","Unknown","130","130","28050","24880"
"In post","2021","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","Analysis","30","30","[c]","[c]"
"In post","2021","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","Commercial","190","180","53720","49020"
"In post","2021","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","Communications","30","30","[c]","[c]"
"In post","2021","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","Counter Fraud","80","80","32550","28130"
"In post","2021","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","Digital, Data & Technology","140","130","37400","34530"
"In post","2021","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","Finance","120","120","38130","33300"
"In post","2021","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","Human Resources","110","110","31120","28840"
"In post","2021","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","Legal","90","80","42210","38630"
"In post","2021","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","No function","1590","1520","35160","31810"
"In post","2021","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","Project Delivery","1140","1100","38710","37320"
"In post","2021","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","Property","90","90","34580","33300"
"In post","2021","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","Security","80","80","30210","28890"
"In post","2021","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","380","360","32410","27570"
"In post","2021","Unknown","Greater Manchester","Analysis","50","40","[c]","[c]"
"In post","2021","Unknown","Greater Manchester","Commercial","110","100","52660","51560"
"In post","2021","Unknown","Greater Manchester","Communications","230","220","28280","25560"
"In post","2021","Unknown","Greater Manchester","Counter Fraud","290","280","29930","25560"
"In post","2021","Unknown","Greater Manchester","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Greater Manchester","Digital, Data & Technology","90","90","41380","38630"
"In post","2021","Unknown","Greater Manchester","Finance","40","40","[c]","[c]"
"In post","2021","Unknown","Greater Manchester","Human Resources","120","110","30860","28000"
"In post","2021","Unknown","Greater Manchester","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Greater Manchester","Legal","130","120","38310","32530"
"In post","2021","Unknown","Greater Manchester","No function","1710","1610","26340","23280"
"In post","2021","Unknown","Greater Manchester","Project Delivery","100","100","39100","38630"
"In post","2021","Unknown","Greater Manchester","Property","40","40","[c]","[c]"
"In post","2021","Unknown","Greater Manchester","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Greater Manchester","Unknown","350","340","30800","27570"
"In post","2021","Unknown","Hampshire and Isle of Wight","Analysis","210","200","34980","30130"
"In post","2021","Unknown","Hampshire and Isle of Wight","Commercial","70","70","54350","53320"
"In post","2021","Unknown","Hampshire and Isle of Wight","Communications","50","50","31150","26780"
"In post","2021","Unknown","Hampshire and Isle of Wight","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Hampshire and Isle of Wight","Digital, Data & Technology","110","110","36440","33930"
"In post","2021","Unknown","Hampshire and Isle of Wight","Finance","50","40","[c]","[c]"
"In post","2021","Unknown","Hampshire and Isle of Wight","Human Resources","40","40","[c]","[c]"
"In post","2021","Unknown","Hampshire and Isle of Wight","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Hampshire and Isle of Wight","Legal","80","70","36440","30110"
"In post","2021","Unknown","Hampshire and Isle of Wight","No function","1360","1140","27160","23050"
"In post","2021","Unknown","Hampshire and Isle of Wight","Project Delivery","190","190","36120","35480"
"In post","2021","Unknown","Hampshire and Isle of Wight","Property","60","50","32630","26780"
"In post","2021","Unknown","Hampshire and Isle of Wight","Security","150","140","31320","33460"
"In post","2021","Unknown","Hampshire and Isle of Wight","Unknown","340","330","31050","26670"
"In post","2021","Unknown","Herefordshire, Worcestershire and Warwickshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Herefordshire, Worcestershire and Warwickshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Herefordshire, Worcestershire and Warwickshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Herefordshire, Worcestershire and Warwickshire","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Herefordshire, Worcestershire and Warwickshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Herefordshire, Worcestershire and Warwickshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Herefordshire, Worcestershire and Warwickshire","No function","120","120","24140","23970"
"In post","2021","Unknown","Herefordshire, Worcestershire and Warwickshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Herefordshire, Worcestershire and Warwickshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Herefordshire, Worcestershire and Warwickshire","Security","40","40","[c]","[c]"
"In post","2021","Unknown","Herefordshire, Worcestershire and Warwickshire","Unknown","70","60","26560","21760"
"In post","2021","Unknown","Highlands and Islands","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Highlands and Islands","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Highlands and Islands","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Highlands and Islands","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Highlands and Islands","Legal","80","70","25550","22820"
"In post","2021","Unknown","Highlands and Islands","No function","110","110","30750","33650"
"In post","2021","Unknown","Highlands and Islands","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Highlands and Islands","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Highlands and Islands","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Highlands and Islands","Unknown","110","110","29400","29190"
"In post","2021","Unknown","Inner London - East","Analysis","90","90","48370","41880"
"In post","2021","Unknown","Inner London - East","Commercial","60","60","63810","57860"
"In post","2021","Unknown","Inner London - East","Communications","60","60","45110","40170"
"In post","2021","Unknown","Inner London - East","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Unknown","Inner London - East","Debt","70","60","27930","25630"
"In post","2021","Unknown","Inner London - East","Digital, Data & Technology","320","320","47030","42360"
"In post","2021","Unknown","Inner London - East","Finance","70","70","49930","45960"
"In post","2021","Unknown","Inner London - East","Human Resources","90","80","45430","40170"
"In post","2021","Unknown","Inner London - East","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inner London - East","Legal","100","100","52220","55260"
"In post","2021","Unknown","Inner London - East","No function","1870","1810","40660","36200"
"In post","2021","Unknown","Inner London - East","Project Delivery","210","200","53390","47920"
"In post","2021","Unknown","Inner London - East","Property","50","50","[c]","[c]"
"In post","2021","Unknown","Inner London - East","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inner London - East","Unknown","570","550","43300","33090"
"In post","2021","Unknown","Inner London - West","Analysis","640","620","46740","41760"
"In post","2021","Unknown","Inner London - West","Commercial","620","610","68580","64000"
"In post","2021","Unknown","Inner London - West","Communications","640","630","44800","40650"
"In post","2021","Unknown","Inner London - West","Counter Fraud","390","370","37650","36160"
"In post","2021","Unknown","Inner London - West","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inner London - West","Digital, Data & Technology","460","450","49340","45860"
"In post","2021","Unknown","Inner London - West","Finance","400","390","44700","40650"
"In post","2021","Unknown","Inner London - West","Human Resources","300","290","41210","35000"
"In post","2021","Unknown","Inner London - West","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inner London - West","Legal","890","840","49560","51830"
"In post","2021","Unknown","Inner London - West","No function","6290","6200","42710","35560"
"In post","2021","Unknown","Inner London - West","Project Delivery","850","830","50480","52100"
"In post","2021","Unknown","Inner London - West","Property","70","70","44200","38750"
"In post","2021","Unknown","Inner London - West","Security","170","170","37140","34640"
"In post","2021","Unknown","Inner London - West","Unknown","1110","1090","45450","41500"
"In post","2021","Unknown","Kent","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Kent","Counter Fraud","60","50","29970","28130"
"In post","2021","Unknown","Kent","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Kent","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Kent","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Kent","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Kent","Legal","50","50","35930","27010"
"In post","2021","Unknown","Kent","No function","490","480","30910","29920"
"In post","2021","Unknown","Kent","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Kent","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Kent","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Kent","Unknown","220","210","25530","24880"
"In post","2021","Unknown","Lancashire","Commercial","30","30","[c]","[c]"
"In post","2021","Unknown","Lancashire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Lancashire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Lancashire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Lancashire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Lancashire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Lancashire","Human Resources","50","50","25200","26670"
"In post","2021","Unknown","Lancashire","Legal","60","50","38610","35920"
"In post","2021","Unknown","Lancashire","No function","760","700","24210","22350"
"In post","2021","Unknown","Lancashire","Project Delivery","60","60","35030","31810"
"In post","2021","Unknown","Lancashire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Lancashire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Lancashire","Unknown","350","330","25000","21010"
"In post","2021","Unknown","Leicestershire, Rutland and Northamptonshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Leicestershire, Rutland and Northamptonshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Leicestershire, Rutland and Northamptonshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Leicestershire, Rutland and Northamptonshire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Leicestershire, Rutland and Northamptonshire","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","Unknown","Leicestershire, Rutland and Northamptonshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Leicestershire, Rutland and Northamptonshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Leicestershire, Rutland and Northamptonshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Leicestershire, Rutland and Northamptonshire","Legal","40","40","[c]","[c]"
"In post","2021","Unknown","Leicestershire, Rutland and Northamptonshire","No function","530","480","24040","22350"
"In post","2021","Unknown","Leicestershire, Rutland and Northamptonshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Leicestershire, Rutland and Northamptonshire","Property","40","40","[c]","[c]"
"In post","2021","Unknown","Leicestershire, Rutland and Northamptonshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Leicestershire, Rutland and Northamptonshire","Unknown","160","150","28610","27570"
"In post","2021","Unknown","Lincolnshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Lincolnshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Lincolnshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Lincolnshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Lincolnshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Lincolnshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Lincolnshire","No function","80","80","25580","24440"
"In post","2021","Unknown","Lincolnshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Lincolnshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Lincolnshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Lincolnshire","Unknown","80","80","27390","21220"
"In post","2021","Unknown","Merseyside","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Merseyside","Commercial","200","190","41060","35490"
"In post","2021","Unknown","Merseyside","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Merseyside","Counter Fraud","120","110","28880","25560"
"In post","2021","Unknown","Merseyside","Debt","80","80","21570","20140"
"In post","2021","Unknown","Merseyside","Digital, Data & Technology","90","90","37410","36820"
"In post","2021","Unknown","Merseyside","Finance","50","50","34470","31810"
"In post","2021","Unknown","Merseyside","Human Resources","60","60","31710","27770"
"In post","2021","Unknown","Merseyside","Legal","90","80","35830","38000"
"In post","2021","Unknown","Merseyside","No function","1590","1460","25510","21440"
"In post","2021","Unknown","Merseyside","Project Delivery","130","120","37770","35000"
"In post","2021","Unknown","Merseyside","Property","30","30","[c]","[c]"
"In post","2021","Unknown","Merseyside","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Merseyside","Unknown","400","380","27590","24880"
"In post","2021","Unknown","North Eastern Scotland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","North Eastern Scotland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","North Eastern Scotland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","North Eastern Scotland","Legal","80","70","24570","22820"
"In post","2021","Unknown","North Eastern Scotland","No function","290","280","30810","28410"
"In post","2021","Unknown","North Eastern Scotland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","North Eastern Scotland","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","North Eastern Scotland","Security","30","30","[c]","[c]"
"In post","2021","Unknown","North Eastern Scotland","Unknown","200","190","35910","32140"
"In post","2021","Unknown","North Yorkshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","North Yorkshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","North Yorkshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","North Yorkshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","North Yorkshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","North Yorkshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","North Yorkshire","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","North Yorkshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","North Yorkshire","Legal","40","40","[c]","[c]"
"In post","2021","Unknown","North Yorkshire","No function","110","100","35730","30230"
"In post","2021","Unknown","North Yorkshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","North Yorkshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","North Yorkshire","Security","250","240","28010","25680"
"In post","2021","Unknown","North Yorkshire","Unknown","130","120","28460","26350"
"In post","2021","Unknown","Northern Ireland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northern Ireland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northern Ireland","Counter Fraud","90","90","29840","25870"
"In post","2021","Unknown","Northern Ireland","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northern Ireland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northern Ireland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northern Ireland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northern Ireland","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northern Ireland","No function","600","560","25640","21440"
"In post","2021","Unknown","Northern Ireland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northern Ireland","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northern Ireland","Security","100","100","21330","20310"
"In post","2021","Unknown","Northern Ireland","Unknown","110","100","25590","23870"
"In post","2021","Unknown","Northumberland and Tyne and Wear","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northumberland and Tyne and Wear","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northumberland and Tyne and Wear","Communications","440","420","27060","25560"
"In post","2021","Unknown","Northumberland and Tyne and Wear","Counter Fraud","120","110","29670","25560"
"In post","2021","Unknown","Northumberland and Tyne and Wear","Debt","290","280","20780","20140"
"In post","2021","Unknown","Northumberland and Tyne and Wear","Digital, Data & Technology","190","190","37430","31810"
"In post","2021","Unknown","Northumberland and Tyne and Wear","Finance","80","70","35030","31810"
"In post","2021","Unknown","Northumberland and Tyne and Wear","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northumberland and Tyne and Wear","Human Resources","80","70","25350","23850"
"In post","2021","Unknown","Northumberland and Tyne and Wear","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northumberland and Tyne and Wear","Legal","50","50","34050","29710"
"In post","2021","Unknown","Northumberland and Tyne and Wear","No function","2260","1910","24030","21440"
"In post","2021","Unknown","Northumberland and Tyne and Wear","Project Delivery","240","230","38440","38630"
"In post","2021","Unknown","Northumberland and Tyne and Wear","Property","50","50","28460","25860"
"In post","2021","Unknown","Northumberland and Tyne and Wear","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northumberland and Tyne and Wear","Unknown","300","290","29200","27570"
"In post","2021","Unknown","Outer London - East and North East","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Outer London - East and North East","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Outer London - East and North East","No function","240","240","28090","30120"
"In post","2021","Unknown","Outer London - East and North East","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Outer London - East and North East","Unknown","110","110","31260","31060"
"In post","2021","Unknown","Outer London - South","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Outer London - South","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Outer London - South","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Outer London - South","Counter Fraud","140","140","35360","32520"
"In post","2021","Unknown","Outer London - South","Debt","90","80","25810","24120"
"In post","2021","Unknown","Outer London - South","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Outer London - South","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Outer London - South","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Outer London - South","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Outer London - South","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Outer London - South","No function","600","580","33370","30600"
"In post","2021","Unknown","Outer London - South","Project Delivery","40","40","[c]","[c]"
"In post","2021","Unknown","Outer London - South","Property","40","40","[c]","[c]"
"In post","2021","Unknown","Outer London - South","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Outer London - South","Unknown","330","330","38800","35050"
"In post","2021","Unknown","Outer London - West and North West","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Outer London - West and North West","Communications","40","40","[c]","[c]"
"In post","2021","Unknown","Outer London - West and North West","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Outer London - West and North West","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Outer London - West and North West","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Unknown","Outer London - West and North West","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Outer London - West and North West","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Outer London - West and North West","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Outer London - West and North West","No function","690","660","40180","33590"
"In post","2021","Unknown","Outer London - West and North West","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Outer London - West and North West","Property","30","30","[c]","[c]"
"In post","2021","Unknown","Outer London - West and North West","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Outer London - West and North West","Unknown","250","240","30680","29250"
"In post","2021","Unknown","Overseas","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Overseas","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Overseas","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Overseas","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Overseas","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Overseas","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Overseas","No function","280","280","57900","56730"
"In post","2021","Unknown","Overseas","Project Delivery","180","180","56410","55620"
"In post","2021","Unknown","Overseas","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Overseas","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Overseas","Unknown","280","280","46690","46620"
"In post","2021","Unknown","Shropshire and Staffordshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Shropshire and Staffordshire","Commercial","40","40","[c]","[c]"
"In post","2021","Unknown","Shropshire and Staffordshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Shropshire and Staffordshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Shropshire and Staffordshire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Shropshire and Staffordshire","Digital, Data & Technology","100","90","42190","38630"
"In post","2021","Unknown","Shropshire and Staffordshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Shropshire and Staffordshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Shropshire and Staffordshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Shropshire and Staffordshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Shropshire and Staffordshire","No function","550","520","24450","22350"
"In post","2021","Unknown","Shropshire and Staffordshire","Project Delivery","60","60","35220","32400"
"In post","2021","Unknown","Shropshire and Staffordshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Shropshire and Staffordshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Shropshire and Staffordshire","Unknown","140","130","33190","27570"
"In post","2021","Unknown","South Yorkshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","South Yorkshire","Commercial","50","40","[c]","[c]"
"In post","2021","Unknown","South Yorkshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","South Yorkshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","South Yorkshire","Digital, Data & Technology","50","50","[c]","[c]"
"In post","2021","Unknown","South Yorkshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","South Yorkshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","South Yorkshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","South Yorkshire","Legal","40","40","[c]","[c]"
"In post","2021","Unknown","South Yorkshire","No function","340","330","28490","26700"
"In post","2021","Unknown","South Yorkshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","South Yorkshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","South Yorkshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","South Yorkshire","Unknown","270","260","28510","21430"
"In post","2021","Unknown","Southern Scotland","Commercial","50","50","[c]","[c]"
"In post","2021","Unknown","Southern Scotland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Southern Scotland","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Southern Scotland","Debt","120","120","20730","20140"
"In post","2021","Unknown","Southern Scotland","Digital, Data & Technology","100","100","39170","38500"
"In post","2021","Unknown","Southern Scotland","Finance","60","50","33620","30300"
"In post","2021","Unknown","Southern Scotland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Southern Scotland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Southern Scotland","Legal","160","140","25110","22820"
"In post","2021","Unknown","Southern Scotland","No function","840","730","24330","21400"
"In post","2021","Unknown","Southern Scotland","Project Delivery","200","190","34440","32690"
"In post","2021","Unknown","Southern Scotland","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Southern Scotland","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Southern Scotland","Unknown","270","240","28800","27150"
"In post","2021","Unknown","Surrey, East and West Sussex","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Surrey, East and West Sussex","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Surrey, East and West Sussex","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Surrey, East and West Sussex","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Surrey, East and West Sussex","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Surrey, East and West Sussex","Digital, Data & Technology","90","90","37510","33210"
"In post","2021","Unknown","Surrey, East and West Sussex","Finance","50","40","[c]","[c]"
"In post","2021","Unknown","Surrey, East and West Sussex","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Surrey, East and West Sussex","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Surrey, East and West Sussex","Legal","60","60","37610","30240"
"In post","2021","Unknown","Surrey, East and West Sussex","No function","360","340","30740","28400"
"In post","2021","Unknown","Surrey, East and West Sussex","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Surrey, East and West Sussex","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Surrey, East and West Sussex","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Surrey, East and West Sussex","Unknown","200","190","27430","27570"
"In post","2021","Unknown","Tees Valley and Durham","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Tees Valley and Durham","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Tees Valley and Durham","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Tees Valley and Durham","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Tees Valley and Durham","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Tees Valley and Durham","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Tees Valley and Durham","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Tees Valley and Durham","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Tees Valley and Durham","Legal","[c]","[c]","[c]","[c]"
