"Status","Year","Function_of_post","Ethnicity","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Human Resources","Other ethnicity","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","Human Resources","40","40","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","Other","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Human Resources","190","180","36220","33000"
"In post","2021","Human Resources","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Unknown","40","40","[c]","[c]"
"In post","2021","Human Resources","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Human Resources","610","580","35370","31810"
"In post","2021","Human Resources","Unknown","Operational Delivery","120","110","28440","25560"
"In post","2021","Human Resources","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Unknown","160","160","38040","34550"
"In post","2021","Human Resources","White","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","White","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","White","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","White","Human Resources","5390","5100","38770","33630"
"In post","2021","Human Resources","White","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","White","Operational Delivery","720","660","29740","25560"
"In post","2021","Human Resources","White","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","White","Other","30","30","[c]","[c]"
"In post","2021","Human Resources","White","Policy","60","50","40290","36480"
"In post","2021","Human Resources","White","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","White","Property","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","White","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","White","Security","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","White","Tax","120","110","36170","31810"
"In post","2021","Human Resources","White","Unknown","940","890","39340","35300"
"In post","2021","Internal Audit","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Asian","Internal Audit","80","70","46610","44310"
"In post","2021","Internal Audit","Asian","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Asian","Other","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Asian","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Black","Internal Audit","30","30","[c]","[c]"
"In post","2021","Internal Audit","Black","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Black","Other","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Black","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Chinese","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Chinese","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Chinese","Other","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Chinese","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Mixed","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Mixed","Other","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Mixed","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other ethnicity","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other ethnicity","Other","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other ethnicity","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Internal Audit","40","40","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","White","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","White","Internal Audit","550","520","46150","43080"
"In post","2021","Internal Audit","White","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","White","Other","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","White","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","White","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Asian","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Asian","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Asian","Legal","720","670","51160","51250"
"In post","2021","Legal","Asian","Operational Delivery","350","320","26800","24590"
"In post","2021","Legal","Asian","Other","50","40","[c]","[c]"
"In post","2021","Legal","Asian","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Asian","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Black","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Black","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Black","Legal","340","330","52590","51830"
"In post","2021","Legal","Black","Operational Delivery","220","200","27710","26970"
"In post","2021","Legal","Black","Other","70","60","28360","27350"
"In post","2021","Legal","Black","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Black","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Chinese","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Chinese","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Chinese","Legal","40","40","[c]","[c]"
"In post","2021","Legal","Chinese","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Chinese","Other","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Chinese","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Chinese","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Mixed","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Mixed","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Mixed","Legal","230","210","55160","54070"
"In post","2021","Legal","Mixed","Operational Delivery","90","80","28410","26170"
"In post","2021","Legal","Mixed","Other","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Mixed","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Mixed","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Other ethnicity","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Other ethnicity","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Other ethnicity","Legal","120","110","59320","59670"
"In post","2021","Legal","Other ethnicity","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Other ethnicity","Other","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Other ethnicity","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Other ethnicity","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","Legal","240","230","52160","51510"
"In post","2021","Legal","Undeclared","Operational Delivery","70","70","26900","26070"
"In post","2021","Legal","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Legal","1080","1010","53670","55490"
"In post","2021","Legal","Unknown","Operational Delivery","1920","1740","26410","22820"
"In post","2021","Legal","Unknown","Other","50","40","[c]","[c]"
"In post","2021","Legal","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Tax","50","50","[c]","[c]"
"In post","2021","Legal","Unknown","Unknown","50","50","50110","59160"
"In post","2021","Legal","White","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Legal","White","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Legal","White","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Legal","White","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Legal","White","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Legal","White","Legal","5880","5420","54970","54320"
"In post","2021","Legal","White","Operational Delivery","2500","2300","28010","25920"
"In post","2021","Legal","White","Other","180","170","32280","27580"
"In post","2021","Legal","White","Policy","40","40","[c]","[c]"
"In post","2021","Legal","White","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Legal","White","Tax","250","240","39570","36180"
"In post","2021","Legal","White","Unknown","110","100","64500","59900"
"In post","2021","No function","Asian","Commercial","40","40","[c]","[c]"
"In post","2021","No function","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2021","No function","Asian","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","No function","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","No function","Asian","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","No function","Asian","Economics","40","40","[c]","[c]"
"In post","2021","No function","Asian","Finance","60","50","43250","40050"
"In post","2021","No function","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","No function","Asian","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","No function","Asian","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","No function","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","No function","Asian","International Trade","110","110","42870","38160"
"In post","2021","No function","Asian","Knowledge and Information Management","70","70","34760","32430"
"In post","2021","No function","Asian","Legal","[c]","[c]","[c]","[c]"
"In post","2021","No function","Asian","Medicine","80","70","102930","101030"
"In post","2021","No function","Asian","Operational Delivery","5470","5030","27660","24250"
"In post","2021","No function","Asian","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","No function","Asian","Other","130","120","39410","35010"
"In post","2021","No function","Asian","Planning","[c]","[c]","[c]","[c]"
"In post","2021","No function","Asian","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","No function","Asian","Policy","1380","1350","42020","36900"
"In post","2021","No function","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","No function","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2021","No function","Asian","Psychology","40","30","[c]","[c]"
"In post","2021","No function","Asian","Science and Engineering","350","330","35990","33100"
"In post","2021","No function","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2021","No function","Asian","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","No function","Asian","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","No function","Asian","Tax","990","930","33110","31810"
"In post","2021","No function","Asian","Unknown","440","420","34970","30270"
"In post","2021","No function","Asian","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","No function","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","No function","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2021","No function","Black","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","No function","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","No function","Black","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","No function","Black","Economics","[c]","[c]","[c]","[c]"
"In post","2021","No function","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2021","No function","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","No function","Black","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","No function","Black","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","No function","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","No function","Black","International Trade","50","50","42650","38540"
"In post","2021","No function","Black","Knowledge and Information Management","50","40","[c]","[c]"
"In post","2021","No function","Black","Legal","[c]","[c]","[c]","[c]"
"In post","2021","No function","Black","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","No function","Black","Operational Delivery","3980","3800","29510","26810"
"In post","2021","No function","Black","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","No function","Black","Other","80","80","34000","32240"
"In post","2021","No function","Black","Planning","[c]","[c]","[c]","[c]"
"In post","2021","No function","Black","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","No function","Black","Policy","830","820","38030","34020"
"In post","2021","No function","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","No function","Black","Property","[c]","[c]","[c]","[c]"
"In post","2021","No function","Black","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","No function","Black","Science and Engineering","190","170","36770","33240"
"In post","2021","No function","Black","Security","[c]","[c]","[c]","[c]"
"In post","2021","No function","Black","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","No function","Black","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","No function","Black","Tax","290","280","33140","32520"
"In post","2021","No function","Black","Unknown","170","170","34670","31810"
"In post","2021","No function","Black","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","No function","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","No function","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","No function","Chinese","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","No function","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","No function","Chinese","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","No function","Chinese","Economics","[c]","[c]","[c]","[c]"
"In post","2021","No function","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","No function","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","No function","Chinese","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","No function","Chinese","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","No function","Chinese","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","No function","Chinese","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","No function","Chinese","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","No function","Chinese","Legal","[c]","[c]","[c]","[c]"
"In post","2021","No function","Chinese","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","No function","Chinese","Operational Delivery","210","190","28490","25560"
"In post","2021","No function","Chinese","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","No function","Chinese","Other","[c]","[c]","[c]","[c]"
"In post","2021","No function","Chinese","Planning","[c]","[c]","[c]","[c]"
"In post","2021","No function","Chinese","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","No function","Chinese","Policy","100","100","43850","40140"
"In post","2021","No function","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","No function","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","No function","Chinese","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","No function","Chinese","Science and Engineering","40","40","[c]","[c]"
"In post","2021","No function","Chinese","Security","[c]","[c]","[c]","[c]"
"In post","2021","No function","Chinese","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","No function","Chinese","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","No function","Chinese","Tax","40","40","[c]","[c]"
"In post","2021","No function","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","Chinese","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","No function","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","No function","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2021","No function","Mixed","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","No function","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","No function","Mixed","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","No function","Mixed","Economics","[c]","[c]","[c]","[c]"
"In post","2021","No function","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2021","No function","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","No function","Mixed","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","No function","Mixed","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","No function","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","No function","Mixed","International Trade","40","40","[c]","[c]"
"In post","2021","No function","Mixed","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","No function","Mixed","Legal","[c]","[c]","[c]","[c]"
"In post","2021","No function","Mixed","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","No function","Mixed","Operational Delivery","1960","1850","30050","27130"
"In post","2021","No function","Mixed","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","No function","Mixed","Other","50","50","[c]","[c]"
"In post","2021","No function","Mixed","Planning","[c]","[c]","[c]","[c]"
"In post","2021","No function","Mixed","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","No function","Mixed","Policy","690","680","43750","39110"
"In post","2021","No function","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","No function","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2021","No function","Mixed","Psychology","30","30","[c]","[c]"
"In post","2021","No function","Mixed","Science and Engineering","110","110","36820","35000"
"In post","2021","No function","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2021","No function","Mixed","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","No function","Mixed","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","No function","Mixed","Tax","150","130","34980","31810"
"In post","2021","No function","Mixed","Unknown","140","140","39740","34550"
"In post","2021","No function","Mixed","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other ethnicity","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other ethnicity","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other ethnicity","Economics","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other ethnicity","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other ethnicity","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other ethnicity","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other ethnicity","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other ethnicity","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other ethnicity","Operational Delivery","560","520","31110","27730"
"In post","2021","No function","Other ethnicity","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other ethnicity","Other","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other ethnicity","Planning","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other ethnicity","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other ethnicity","Policy","190","190","44750","39600"
"In post","2021","No function","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other ethnicity","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other ethnicity","Science and Engineering","60","50","41270","38000"
"In post","2021","No function","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other ethnicity","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other ethnicity","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other ethnicity","Tax","40","30","[c]","[c]"
"In post","2021","No function","Other ethnicity","Unknown","50","40","[c]","[c]"
"In post","2021","No function","Other ethnicity","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","No function","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","No function","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","No function","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","No function","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","No function","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","No function","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2021","No function","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","No function","Undeclared","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","No function","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","No function","Undeclared","International Trade","50","50","[c]","[c]"
"In post","2021","No function","Undeclared","Knowledge and Information Management","70","60","38230","33680"
"In post","2021","No function","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","No function","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","No function","Undeclared","Operational Delivery","4480","4160","30120","27610"
"In post","2021","No function","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","No function","Undeclared","Other","130","120","43580","35580"
"In post","2021","No function","Undeclared","Planning","[c]","[c]","[c]","[c]"
"In post","2021","No function","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","No function","Undeclared","Policy","760","750","47830","45870"
"In post","2021","No function","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","No function","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","No function","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","No function","Undeclared","Science and Engineering","590","560","42470","40560"
"In post","2021","No function","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","No function","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","No function","Undeclared","Tax","520","480","39030","35000"
"In post","2021","No function","Undeclared","Unknown","100","100","39850","34550"
"In post","2021","No function","Undeclared","Veterinarian","30","30","[c]","[c]"
"In post","2021","No function","Unknown","Commercial","40","40","[c]","[c]"
"In post","2021","No function","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","No function","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","No function","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","No function","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","No function","Unknown","Economics","60","60","49870","52290"
"In post","2021","No function","Unknown","Finance","40","40","[c]","[c]"
"In post","2021","No function","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","No function","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","No function","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
