"Status","Year","Region_ITL2","Parent_department","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Yorkshire and Northern Lincolnshire","HM Revenue and Customs","Property","70","60","31630","29440"
"In post","2021","East Yorkshire and Northern Lincolnshire","Home Office","Unknown","280","270","26250","25040"
"In post","2021","East Yorkshire and Northern Lincolnshire","Ministry of Defence","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Ministry of Defence","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Ministry of Defence","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Ministry of Defence","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Ministry of Defence","Security","50","40","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Ministry of Defence","Unknown","420","410","26110","26670"
"In post","2021","East Yorkshire and Northern Lincolnshire","Ministry of Justice","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Ministry of Justice","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Ministry of Justice","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Ministry of Justice","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Ministry of Justice","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Ministry of Justice","No function","2000","1860","28070","26630"
"In post","2021","East Yorkshire and Northern Lincolnshire","Ministry of Justice","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Ministry of Justice","Security","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Cabinet Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Cabinet Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Cabinet Office","No function","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Chancellor's other departments","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Competition and Markets Authority","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Competition and Markets Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Competition and Markets Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Competition and Markets Authority","Project Delivery","30","30","[c]","[c]"
"In post","2021","Eastern Scotland","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Department for Business, Energy and Industrial Strategy","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Department for Business, Energy and Industrial Strategy","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Department for Business, Energy and Industrial Strategy","No function","110","110","25130","20940"
"In post","2021","Eastern Scotland","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Department for Digital, Culture, Media and Sport","No function","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Department for Environment, Food and Rural Affairs","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Department for Environment, Food and Rural Affairs","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Department for Environment, Food and Rural Affairs","No function","50","50","33380","29180"
"In post","2021","Eastern Scotland","Department for Environment, Food and Rural Affairs","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Department for Environment, Food and Rural Affairs","Property","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Department for International Trade","No function","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Department for Transport","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Department for Transport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Department for Transport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Department for Transport","No function","120","120","28760","26780"
"In post","2021","Eastern Scotland","Department for Transport","Property","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Department for Work and Pensions","No function","50","40","[c]","[c]"
"In post","2021","Eastern Scotland","Department for Work and Pensions","Unknown","3240","2890","25080","27570"
"In post","2021","Eastern Scotland","HM Revenue and Customs","Communications","90","80","29670","28130"
"In post","2021","Eastern Scotland","HM Revenue and Customs","Counter Fraud","220","210","31160","28130"
"In post","2021","Eastern Scotland","HM Revenue and Customs","Debt","620","580","21510","20140"
"In post","2021","Eastern Scotland","HM Revenue and Customs","Digital, Data & Technology","60","60","37460","31810"
"In post","2021","Eastern Scotland","HM Revenue and Customs","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","HM Revenue and Customs","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","HM Revenue and Customs","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","HM Revenue and Customs","No function","1250","1160","28610","25560"
"In post","2021","Eastern Scotland","HM Revenue and Customs","Project Delivery","60","60","39500","32100"
"In post","2021","Eastern Scotland","HM Revenue and Customs","Property","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","HM Revenue and Customs","Security","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","HM Treasury","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","HM Treasury","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Home Office","Unknown","170","160","28180","25410"
"In post","2021","Eastern Scotland","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Ministry of Defence","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Ministry of Defence","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Ministry of Defence","Project Delivery","160","160","35270","33300"
"In post","2021","Eastern Scotland","Ministry of Defence","Property","120","120","32020","33300"
"In post","2021","Eastern Scotland","Ministry of Defence","Security","70","70","24130","20060"
"In post","2021","Eastern Scotland","Ministry of Defence","Unknown","380","360","28690","21580"
"In post","2021","Eastern Scotland","Ministry of Justice","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Ministry of Justice","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Ministry of Justice","No function","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Ministry of Justice","Property","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Other Cabinet Office Agencies","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Other Cabinet Office Agencies","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Scotland Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Scotland Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Scotland Office","Unknown","80","80","47880","46600"
"In post","2021","Eastern Scotland","Scottish Government","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Scottish Government","Commercial","80","80","33110","26550"
"In post","2021","Eastern Scotland","Scottish Government","Communications","50","50","38400","36780"
"In post","2021","Eastern Scotland","Scottish Government","Digital, Data & Technology","200","190","39130","35680"
"In post","2021","Eastern Scotland","Scottish Government","Finance","130","130","35810","35680"
"In post","2021","Eastern Scotland","Scottish Government","Human Resources","250","240","35410","34150"
"In post","2021","Eastern Scotland","Scottish Government","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Scottish Government","Legal","1210","1120","33290","29350"
"In post","2021","Eastern Scotland","Scottish Government","No function","3170","2970","31230","30080"
"In post","2021","Eastern Scotland","Scottish Government","Project Delivery","150","140","41490","38450"
"In post","2021","Eastern Scotland","Scottish Government","Property","360","350","31990","28870"
"In post","2021","Eastern Scotland","Scottish Government","Security","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Scottish Government","Unknown","7040","6740","42400","38540"
"In post","2021","Eastern Scotland","United Kingdom Statistics Authority","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","United Kingdom Statistics Authority","No function","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Attorney General's Departments","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Attorney General's Departments","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Attorney General's Departments","Legal","180","170","41280","35020"
"In post","2021","Essex","Department for Business, Energy and Industrial Strategy","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Department for Business, Energy and Industrial Strategy","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Department for Business, Energy and Industrial Strategy","No function","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Department for Environment, Food and Rural Affairs","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Department for Environment, Food and Rural Affairs","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Department for Environment, Food and Rural Affairs","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Department for Environment, Food and Rural Affairs","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Department for Environment, Food and Rural Affairs","No function","40","40","[c]","[c]"
"In post","2021","Essex","Department for Environment, Food and Rural Affairs","Property","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Department for Transport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Department for Transport","No function","90","80","32980","26780"
"In post","2021","Essex","Department for Work and Pensions","No function","40","40","[c]","[c]"
"In post","2021","Essex","Department for Work and Pensions","Property","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Department for Work and Pensions","Unknown","1620","1460","29030","29290"
"In post","2021","Essex","Department of Health and Social Care","No function","80","70","46700","38200"
"In post","2021","Essex","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Essex","HM Revenue and Customs","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Essex","HM Revenue and Customs","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Essex","HM Revenue and Customs","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Essex","HM Revenue and Customs","Counter Fraud","40","30","[c]","[c]"
"In post","2021","Essex","HM Revenue and Customs","Debt","60","50","23200","21440"
"In post","2021","Essex","HM Revenue and Customs","Digital, Data & Technology","290","270","37810","35000"
"In post","2021","Essex","HM Revenue and Customs","Finance","200","180","30210","28130"
"In post","2021","Essex","HM Revenue and Customs","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Essex","HM Revenue and Customs","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Essex","HM Revenue and Customs","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Essex","HM Revenue and Customs","No function","250","220","29070","28130"
"In post","2021","Essex","HM Revenue and Customs","Project Delivery","140","130","40740","38630"
"In post","2021","Essex","HM Revenue and Customs","Property","70","70","31790","26550"
"In post","2021","Essex","HM Revenue and Customs","Security","[c]","[c]","[c]","[c]"
"In post","2021","Essex","HM Treasury","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Home Office","Unknown","850","770","27190","25310"
"In post","2021","Essex","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Ministry of Defence","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Ministry of Defence","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Ministry of Defence","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Ministry of Defence","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Ministry of Defence","Project Delivery","50","50","[c]","[c]"
"In post","2021","Essex","Ministry of Defence","Property","50","50","[c]","[c]"
"In post","2021","Essex","Ministry of Defence","Security","210","200","40700","41070"
"In post","2021","Essex","Ministry of Defence","Unknown","240","230","29210","26350"
"In post","2021","Essex","Ministry of Justice","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Ministry of Justice","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Ministry of Justice","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Ministry of Justice","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Ministry of Justice","Legal","30","30","[c]","[c]"
"In post","2021","Essex","Ministry of Justice","No function","850","790","27380","25840"
"In post","2021","Essex","Ministry of Justice","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Ministry of Justice","Property","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Ministry of Justice","Security","[c]","[c]","[c]","[c]"
"In post","2021","Essex","National Crime Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Attorney General's Departments","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Attorney General's Departments","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Attorney General's Departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Attorney General's Departments","Legal","200","180","43610","48450"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Cabinet Office","Commercial","80","80","73750","64500"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Cabinet Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Cabinet Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Cabinet Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Cabinet Office","No function","30","30","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Cabinet Office","Property","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Cabinet Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Business, Energy and Industrial Strategy","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Business, Energy and Industrial Strategy","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Business, Energy and Industrial Strategy","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Business, Energy and Industrial Strategy","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Business, Energy and Industrial Strategy","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Business, Energy and Industrial Strategy","No function","110","100","34170","32400"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Business, Energy and Industrial Strategy","Project Delivery","110","100","45710","49080"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Digital, Culture, Media and Sport","No function","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Digital, Culture, Media and Sport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Education","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Education","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Education","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Education","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Education","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Education","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Education","No function","130","120","41140","36780"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Education","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Education","Property","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Environment, Food and Rural Affairs","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Environment, Food and Rural Affairs","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Environment, Food and Rural Affairs","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Environment, Food and Rural Affairs","Digital, Data & Technology","150","140","45780","48370"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Environment, Food and Rural Affairs","Finance","50","50","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Environment, Food and Rural Affairs","Grants Management","30","30","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Environment, Food and Rural Affairs","Human Resources","40","40","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Environment, Food and Rural Affairs","No function","550","520","36560","35900"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Environment, Food and Rural Affairs","Project Delivery","40","40","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Environment, Food and Rural Affairs","Property","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for International Trade","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for International Trade","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for International Trade","No function","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Transport","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Transport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Transport","Communications","30","30","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Transport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Transport","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Transport","Finance","30","30","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Transport","Human Resources","40","40","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Transport","No function","300","280","31000","26780"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Transport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Transport","Property","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Transport","Security","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Work and Pensions","No function","50","50","46980","46320"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Work and Pensions","Unknown","1960","1720","26770","27570"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department of Health and Social Care","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department of Health and Social Care","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department of Health and Social Care","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department of Health and Social Care","Finance","50","50","36830","29480"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department of Health and Social Care","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department of Health and Social Care","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department of Health and Social Care","No function","1080","990","38160","34530"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","HM Land Registry","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","HM Land Registry","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","HM Land Registry","Legal","40","30","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","HM Land Registry","No function","300","250","28530","27130"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","HM Land Registry","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","HM Revenue and Customs","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","HM Revenue and Customs","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","HM Revenue and Customs","Counter Fraud","380","350","35230","31810"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","HM Revenue and Customs","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","HM Revenue and Customs","Digital, Data & Technology","80","80","38530","31810"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","HM Revenue and Customs","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","HM Revenue and Customs","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","HM Revenue and Customs","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","HM Revenue and Customs","Legal","60","50","39870","36810"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","HM Revenue and Customs","No function","680","640","33750","31810"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","HM Revenue and Customs","Project Delivery","30","30","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","HM Revenue and Customs","Property","110","100","35870","31810"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","HM Revenue and Customs","Security","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","HM Treasury","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","HM Treasury","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","HM Treasury","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","HM Treasury","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","HM Treasury","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Home Office","Unknown","200","190","27420","25310"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Ministry of Defence","Analysis","170","160","38660","37320"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Ministry of Defence","Commercial","880","850","39530","37320"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Ministry of Defence","Communications","130","120","36730","33300"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Ministry of Defence","Digital, Data & Technology","300","290","35940","33300"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Ministry of Defence","Finance","860","830","39710","34340"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Ministry of Defence","Human Resources","680","630","35300","32030"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Ministry of Defence","Internal Audit","40","40","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Ministry of Defence","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Ministry of Defence","No function","1650","1610","39680","37320"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Ministry of Defence","Project Delivery","9890","9570","38810","37320"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Ministry of Defence","Property","520","510","37690","35480"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Ministry of Defence","Security","470","460","28760","23540"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Ministry of Defence","Unknown","2330","2230","33560","32670"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Ministry of Housing, Communities and Local Government","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Ministry of Housing, Communities and Local Government","Commercial","[c]","[c]","[c]","[c]"
