"Status","Year","Function_of_post","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Female","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Female","Operational Delivery","180","170","37780","34300"
"In post","2022","Commercial","Female","Other","50","50","38770","36890"
"In post","2022","Commercial","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Female","Project Delivery","30","30","[c]","[c]"
"In post","2022","Commercial","Female","Property","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Female","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Female","Unknown","820","800","64780","62820"
"In post","2022","Commercial","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Male","Commercial","1860","1830","41030","38980"
"In post","2022","Commercial","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Male","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Male","Operational Delivery","220","220","47630","41870"
"In post","2022","Commercial","Male","Other","40","40","[c]","[c]"
"In post","2022","Commercial","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Male","Project Delivery","60","60","47790","45610"
"In post","2022","Commercial","Male","Property","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Male","Science and Engineering","100","100","43020","42120"
"In post","2022","Commercial","Male","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Male","Unknown","860","860","72930","65640"
"In post","2022","Commercial","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Female","Communications","2030","1930","42340","38750"
"In post","2022","Communications","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Female","Knowledge and Information Management","70","60","40180","38720"
"In post","2022","Communications","Female","Operational Delivery","920","870","30540","26820"
"In post","2022","Communications","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Female","Other","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Female","Tax","1140","1070","28940","26820"
"In post","2022","Communications","Female","Unknown","340","330","45110","40600"
"In post","2022","Communications","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Male","Communications","1420","1400","42490","38620"
"In post","2022","Communications","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Male","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2022","Communications","Male","Operational Delivery","890","870","30220","26820"
"In post","2022","Communications","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Male","Other","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Male","Tax","1360","1340","29020","26820"
"In post","2022","Communications","Male","Unknown","220","220","43370","37300"
"In post","2022","Counter Fraud","Female","Counter Fraud","3780","3300","28410","27570"
"In post","2022","Counter Fraud","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Female","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Female","Intelligence Analysis","120","110","37650","33370"
"In post","2022","Counter Fraud","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Female","Legal","1450","1350","32440","32380"
"In post","2022","Counter Fraud","Female","Operational Delivery","2230","1970","30130","27570"
"In post","2022","Counter Fraud","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Female","Other","170","150","40190","35110"
"In post","2022","Counter Fraud","Female","Tax","820","750","40050","37610"
"In post","2022","Counter Fraud","Female","Unknown","390","380","33610","30750"
"In post","2022","Counter Fraud","Male","Counter Fraud","2610","2450","30510","27570"
"In post","2022","Counter Fraud","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Male","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Male","Intelligence Analysis","140","130","39560","37930"
"In post","2022","Counter Fraud","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Male","Legal","1950","1900","34720","33370"
"In post","2022","Counter Fraud","Male","Operational Delivery","1670","1610","31420","28810"
"In post","2022","Counter Fraud","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Male","Other","150","150","43780","40180"
"In post","2022","Counter Fraud","Male","Tax","1090","1040","43290","40180"
"In post","2022","Counter Fraud","Male","Unknown","400","400","33850","30750"
"In post","2022","Debt","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Female","Operational Delivery","1980","1680","24800","22080"
"In post","2022","Debt","Female","Other","1700","1380","22630","21260"
"In post","2022","Debt","Female","Tax","440","410","22370","21250"
"In post","2022","Debt","Female","Unknown","60","50","26130","21250"
"In post","2022","Debt","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Male","Operational Delivery","1370","1300","25240","22080"
"In post","2022","Debt","Male","Other","800","750","22540","21260"
"In post","2022","Debt","Male","Tax","420","410","22030","21250"
"In post","2022","Debt","Male","Unknown","60","50","26360","21250"
"In post","2022","Digital, Data & Technology","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Female","Digital, Data and Technology","6110","5820","40270","36840"
"In post","2022","Digital, Data & Technology","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Female","Knowledge and Information Management","460","430","31050","28020"
"In post","2022","Digital, Data & Technology","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Female","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Female","Operational Delivery","280","260","36880","33430"
"In post","2022","Digital, Data & Technology","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Female","Other","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Female","Policy","160","150","43760","40230"
"In post","2022","Digital, Data & Technology","Female","Project Delivery","110","100","38560","34290"
"In post","2022","Digital, Data & Technology","Female","Property","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Female","Science and Engineering","340","310","36280","37420"
"In post","2022","Digital, Data & Technology","Female","Security","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Female","Tax","40","40","[c]","[c]"
"In post","2022","Digital, Data & Technology","Female","Unknown","660","640","47600","49700"
"In post","2022","Digital, Data & Technology","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Male","Digital, Data and Technology","11270","11100","42000","38510"
"In post","2022","Digital, Data & Technology","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Male","Knowledge and Information Management","460","450","34640","32250"
"In post","2022","Digital, Data & Technology","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Male","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Male","Operational Delivery","270","260","39160","35160"
"In post","2022","Digital, Data & Technology","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Male","Other","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Male","Policy","100","90","45390","40300"
"In post","2022","Digital, Data & Technology","Male","Project Delivery","80","80","42080","39650"
"In post","2022","Digital, Data & Technology","Male","Property","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Male","Science and Engineering","640","610","40280","39650"
"In post","2022","Digital, Data & Technology","Male","Security","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Male","Tax","40","40","[c]","[c]"
"In post","2022","Digital, Data & Technology","Male","Unknown","870","870","51000","54700"
"In post","2022","Finance","Female","Commercial","360","320","35470","32890"
"In post","2022","Finance","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Female","Corporate Finance","70","60","43150","38600"
"In post","2022","Finance","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Female","Digital, Data and Technology","110","100","38420","36500"
"In post","2022","Finance","Female","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Female","Finance","4910","4610","39140","35310"
"In post","2022","Finance","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Female","Operational Delivery","950","790","27120","22080"
"In post","2022","Finance","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Female","Other","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Female","Policy","30","30","[c]","[c]"
"In post","2022","Finance","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Female","Property","30","30","[c]","[c]"
"In post","2022","Finance","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Female","Security","130","120","39700","36600"
"In post","2022","Finance","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Female","Tax","50","50","[c]","[c]"
"In post","2022","Finance","Female","Unknown","140","130","44020","40180"
"In post","2022","Finance","Male","Commercial","270","260","38950","35390"
"In post","2022","Finance","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Male","Corporate Finance","50","50","[c]","[c]"
"In post","2022","Finance","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Male","Digital, Data and Technology","140","130","39740","36780"
"In post","2022","Finance","Male","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Male","Finance","4000","3920","43140","40080"
"In post","2022","Finance","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Male","Operational Delivery","550","520","28980","22080"
"In post","2022","Finance","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Male","Other","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Male","Property","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Male","Security","190","180","44060","38430"
"In post","2022","Finance","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Male","Tax","50","50","[c]","[c]"
"In post","2022","Finance","Male","Unknown","190","190","48210","43430"
"In post","2022","Grants Management","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Female","Operational Delivery","1350","1190","24830","21300"
"In post","2022","Grants Management","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Male","Operational Delivery","960","930","25520","21300"
"In post","2022","Grants Management","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Female","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Female","Human Resources","6000","5620","38170","33560"
"In post","2022","Human Resources","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Female","Operational Delivery","970","880","30280","27570"
"In post","2022","Human Resources","Female","Other","50","50","33530","32340"
"In post","2022","Human Resources","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Female","Property","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Female","Security","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Female","Tax","110","110","34650","33080"
"In post","2022","Human Resources","Female","Unknown","870","820","39610","35430"
"In post","2022","Human Resources","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Male","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Male","Human Resources","2460","2410","39810","36050"
"In post","2022","Human Resources","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Male","Operational Delivery","550","540","30320","27570"
"In post","2022","Human Resources","Male","Other","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Male","Property","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Male","Security","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Male","Tax","100","90","35840","33370"
"In post","2022","Human Resources","Male","Unknown","450","450","40790","35590"
"In post","2022","Internal Audit","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Female","Internal Audit","380","350","45120","42630"
"In post","2022","Internal Audit","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Female","Other","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Female","Security","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Male","Internal Audit","350","340","48410","45390"
"In post","2022","Internal Audit","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Male","Other","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Male","Security","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Female","Finance","50","40","[c]","[c]"
"In post","2022","Legal","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Female","Knowledge and Information Management","50","40","35460","27570"
"In post","2022","Legal","Female","Legal","4930","4490","55200","54080"
"In post","2022","Legal","Female","Operational Delivery","2330","2110","27030","25480"
"In post","2022","Legal","Female","Other","300","290","33910","27580"
"In post","2022","Legal","Female","Policy","50","50","44540","41750"
"In post","2022","Legal","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Female","Property","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Female","Security","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Female","Tax","170","150","40260","35980"
"In post","2022","Legal","Female","Unknown","120","110","55680","58600"
"In post","2022","Legal","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Male","Finance","30","30","[c]","[c]"
"In post","2022","Legal","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Male","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2022","Legal","Male","Legal","2820","2730","57630","55830"
"In post","2022","Legal","Male","Operational Delivery","920","900","27630","25920"
"In post","2022","Legal","Male","Other","160","150","33840","28990"
"In post","2022","Legal","Male","Policy","50","40","[c]","[c]"
"In post","2022","Legal","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Male","Property","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Male","Security","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Male","Tax","180","170","42760","40520"
"In post","2022","Legal","Male","Unknown","110","110","61990","62120"
"In post","2022","No function","Female","Commercial","310","300","45890","43320"
"In post","2022","No function","Female","Communications","160","150","40630","36960"
"In post","2022","No function","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","No function","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","No function","Female","Digital, Data and Technology","60","60","42440","41990"
"In post","2022","No function","Female","Economics","170","160","47980","51530"
"In post","2022","No function","Female","Finance","90","80","45390","46170"
"In post","2022","No function","Female","Geography","140","130","30420","29290"
"In post","2022","No function","Female","Human Resources","60","60","47100","43560"
"In post","2022","No function","Female","Inspector of Education and Training","640","620","62150","51360"
"In post","2022","No function","Female","Intelligence Analysis","300","280","29750","27380"
"In post","2022","No function","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","No function","Female","International Trade","750","730","46550","42120"
"In post","2022","No function","Female","Knowledge and Information Management","490","460","34890","31990"
"In post","2022","No function","Female","Legal","950","850","43410","42340"
"In post","2022","No function","Female","Medicine","380","340","79320","81710"
"In post","2022","No function","Female","Operational Delivery","122360","108190","27780","26900"
"In post","2022","No function","Female","Operational Research","120","120","43840","47010"
"In post","2022","No function","Female","Other","4640","4280","31300","27570"
"In post","2022","No function","Female","Planning","80","70","44960","40720"
"In post","2022","No function","Female","Planning Inspectors","140","120","55350","58810"
"In post","2022","No function","Female","Policy","12690","12200","45820","40650"
"In post","2022","No function","Female","Project Delivery","270","270","42430","38810"
"In post","2022","No function","Female","Property","[c]","[c]","[c]","[c]"
"In post","2022","No function","Female","Psychology","1330","1270","35570","31180"
"In post","2022","No function","Female","Science and Engineering","2960","2760","39120","38070"
"In post","2022","No function","Female","Security","[c]","[c]","[c]","[c]"
"In post","2022","No function","Female","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","No function","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","No function","Female","Tax","6210","5770","34720","33370"
"In post","2022","No function","Female","Unknown","4080","3960","37560","32000"
"In post","2022","No function","Female","Veterinarian","220","210","42700","37910"
"In post","2022","No function","Male","Commercial","200","200","52110","49700"
"In post","2022","No function","Male","Communications","90","90","42260","38270"
"In post","2022","No function","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","No function","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","No function","Male","Digital, Data and Technology","90","90","42110","37100"
"In post","2022","No function","Male","Economics","230","230","48830","52030"
"In post","2022","No function","Male","Finance","60","60","49610","47740"
"In post","2022","No function","Male","Geography","290","270","31900","33290"
"In post","2022","No function","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","No function","Male","Inspector of Education and Training","230","220","72850","75500"
"In post","2022","No function","Male","Intelligence Analysis","140","130","33200","31180"
"In post","2022","No function","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","No function","Male","International Trade","890","880","47930","44030"
"In post","2022","No function","Male","Knowledge and Information Management","320","320","37330","33610"
"In post","2022","No function","Male","Legal","380","370","46300","44780"
"In post","2022","No function","Male","Medicine","210","200","89080","87700"
"In post","2022","No function","Male","Operational Delivery","82720","79070","29780","27570"
"In post","2022","No function","Male","Operational Research","160","160","46820","47010"
"In post","2022","No function","Male","Other","2860","2770","33800","27570"
"In post","2022","No function","Male","Planning","80","80","44590","40590"
"In post","2022","No function","Male","Planning Inspectors","240","210","56840","58810"
"In post","2022","No function","Male","Policy","10860","10750","48090","45440"
"In post","2022","No function","Male","Project Delivery","210","210","48630","51710"
"In post","2022","No function","Male","Property","[c]","[c]","[c]","[c]"
"In post","2022","No function","Male","Psychology","190","180","36600","31180"
"In post","2022","No function","Male","Science and Engineering","3700","3600","41640","39330"
"In post","2022","No function","Male","Security","[c]","[c]","[c]","[c]"
"In post","2022","No function","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","No function","Male","Statistics","40","40","[c]","[c]"
"In post","2022","No function","Male","Tax","6730","6510","37240","33370"
"In post","2022","No function","Male","Unknown","3700","3670","39400","33080"
"In post","2022","No function","Male","Veterinarian","180","170","44110","40820"
"In post","2022","No function","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","No function","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Female","Commercial","390","370","36980","35000"
"In post","2022","Project Delivery","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Female","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2022","Project Delivery","Female","Economics","40","40","[c]","[c]"
"In post","2022","Project Delivery","Female","Finance","120","110","44940","42850"
"In post","2022","Project Delivery","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Female","Inspector of Education and Training","30","30","[c]","[c]"
"In post","2022","Project Delivery","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Female","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Female","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2022","Project Delivery","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Female","Medicine","30","30","[c]","[c]"
"In post","2022","Project Delivery","Female","Operational Delivery","1040","970","34950","32710"
"In post","2022","Project Delivery","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Female","Other","1410","1290","34250","28940"
"In post","2022","Project Delivery","Female","Policy","1150","1090","52640","53000"
"In post","2022","Project Delivery","Female","Project Delivery","6540","6140","41330","39330"
"In post","2022","Project Delivery","Female","Property","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Female","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Female","Science and Engineering","410","400","38150","34560"
"In post","2022","Project Delivery","Female","Security","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Female","Tax","310","280","35240","33370"
"In post","2022","Project Delivery","Female","Unknown","170","170","52260","42440"
"In post","2022","Project Delivery","Male","Commercial","360","360","41210","37470"
"In post","2022","Project Delivery","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Male","Digital, Data and Technology","120","120","46740","47010"
"In post","2022","Project Delivery","Male","Economics","50","50","57290","56360"
"In post","2022","Project Delivery","Male","Finance","110","110","47630","45000"
"In post","2022","Project Delivery","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Male","Inspector of Education and Training","30","30","[c]","[c]"
"In post","2022","Project Delivery","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Male","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Male","Knowledge and Information Management","50","40","[c]","[c]"
"In post","2022","Project Delivery","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Male","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Male","Operational Delivery","810","800","39210","36570"
"In post","2022","Project Delivery","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Male","Other","1980","1950","35820","32120"
"In post","2022","Project Delivery","Male","Policy","1010","980","55100","55210"
"In post","2022","Project Delivery","Male","Project Delivery","6430","6300","45360","40860"
"In post","2022","Project Delivery","Male","Property","40","40","[c]","[c]"
"In post","2022","Project Delivery","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Male","Science and Engineering","3110","3040","39020","38000"
"In post","2022","Project Delivery","Male","Security","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Male","Tax","340","320","35460","33370"
"In post","2022","Project Delivery","Male","Unknown","190","190","61190","54700"
"In post","2022","Project Delivery","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Property","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Property","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Property","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Property","Female","Finance","40","30","[c]","[c]"
"In post","2022","Property","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Property","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Property","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Property","Female","Operational Delivery","800","750","29110","22130"
"In post","2022","Property","Female","Other","120","120","28110","26900"
"In post","2022","Property","Female","Policy","30","30","[c]","[c]"
