"Status","Year","Region_ITL1","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","North East (England)","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","LGBO","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","LGBO","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","LGBO","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","LGBO","Tax","110","110","32510","33080"
"In post","2022","North East (England)","LGBO","Unknown","60","60","31340","26820"
"In post","2022","North East (England)","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Undeclared","Counter Fraud","50","40","[c]","[c]"
"In post","2022","North East (England)","Undeclared","Digital, Data and Technology","180","170","43950","40520"
"In post","2022","North East (England)","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Undeclared","Finance","40","40","[c]","[c]"
"In post","2022","North East (England)","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Undeclared","Legal","40","30","[c]","[c]"
"In post","2022","North East (England)","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Undeclared","Operational Delivery","1490","1310","26650","24890"
"In post","2022","North East (England)","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Undeclared","Other","60","60","24900","21260"
"In post","2022","North East (England)","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Undeclared","Policy","50","50","[c]","[c]"
"In post","2022","North East (England)","Undeclared","Project Delivery","70","60","38460","37430"
"In post","2022","North East (England)","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Undeclared","Tax","120","110","36940","33370"
"In post","2022","North East (England)","Undeclared","Unknown","40","40","[c]","[c]"
"In post","2022","North East (England)","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Unknown","Counter Fraud","90","70","26700","27570"
"In post","2022","North East (England)","Unknown","Digital, Data and Technology","460","450","40340","36640"
"In post","2022","North East (England)","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Unknown","Finance","100","90","39180","35970"
"In post","2022","North East (England)","Unknown","Human Resources","50","40","[c]","[c]"
"In post","2022","North East (England)","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Unknown","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Unknown","Legal","90","90","40830","36050"
"In post","2022","North East (England)","Unknown","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Unknown","Operational Delivery","4950","4270","24990","22080"
"In post","2022","North East (England)","Unknown","Other","140","130","25390","21260"
"In post","2022","North East (England)","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Unknown","Policy","70","60","42630","41290"
"In post","2022","North East (England)","Unknown","Project Delivery","200","190","41840","40520"
"In post","2022","North East (England)","Unknown","Property","90","80","32580","27650"
"In post","2022","North East (England)","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Unknown","Tax","760","730","27460","26820"
"In post","2022","North East (England)","Unknown","Unknown","320","310","31360","26820"
"In post","2022","North East (England)","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Heterosexual / straight","Commercial","450","430","38130","36500"
"In post","2022","North West (England)","Heterosexual / straight","Communications","170","160","37820","36850"
"In post","2022","North West (England)","Heterosexual / straight","Counter Fraud","460","420","29400","27570"
"In post","2022","North West (England)","Heterosexual / straight","Digital, Data and Technology","2010","1960","41860","37450"
"In post","2022","North West (England)","Heterosexual / straight","Economics","50","40","[c]","[c]"
"In post","2022","North West (England)","Heterosexual / straight","Finance","920","870","37570","35310"
"In post","2022","North West (England)","Heterosexual / straight","Human Resources","1010","950","35670","32570"
"In post","2022","North West (England)","Heterosexual / straight","Inspector of Education and Training","110","110","64200","64500"
"In post","2022","North West (England)","Heterosexual / straight","Intelligence Analysis","270","260","28580","26660"
"In post","2022","North West (England)","Heterosexual / straight","Internal Audit","50","50","[c]","[c]"
"In post","2022","North West (England)","Heterosexual / straight","International Trade","30","30","[c]","[c]"
"In post","2022","North West (England)","Heterosexual / straight","Knowledge and Information Management","150","150","31710","28430"
"In post","2022","North West (England)","Heterosexual / straight","Legal","830","770","44610","46590"
"In post","2022","North West (England)","Heterosexual / straight","Medicine","60","60","71360","74070"
"In post","2022","North West (England)","Heterosexual / straight","Operational Delivery","27800","25530","27590","26310"
"In post","2022","North West (England)","Heterosexual / straight","Operational Research","70","60","44960","40520"
"In post","2022","North West (England)","Heterosexual / straight","Other","1630","1520","27180","27370"
"In post","2022","North West (England)","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Heterosexual / straight","Planning Inspectors","30","30","[c]","[c]"
"In post","2022","North West (England)","Heterosexual / straight","Policy","1060","1030","41510","36780"
"In post","2022","North West (England)","Heterosexual / straight","Project Delivery","1250","1190","41410","39850"
"In post","2022","North West (England)","Heterosexual / straight","Property","460","440","38960","34000"
"In post","2022","North West (England)","Heterosexual / straight","Psychology","130","130","36180","31180"
"In post","2022","North West (England)","Heterosexual / straight","Science and Engineering","340","310","36100","33000"
"In post","2022","North West (England)","Heterosexual / straight","Security","320","310","32350","30980"
"In post","2022","North West (England)","Heterosexual / straight","Social Research","40","40","[c]","[c]"
"In post","2022","North West (England)","Heterosexual / straight","Statistics","110","110","41130","34910"
"In post","2022","North West (England)","Heterosexual / straight","Tax","2190","2080","34960","33370"
"In post","2022","North West (England)","Heterosexual / straight","Unknown","950","920","35250","33080"
"In post","2022","North West (England)","Heterosexual / straight","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","LGBO","Commercial","30","30","[c]","[c]"
"In post","2022","North West (England)","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","LGBO","Digital, Data and Technology","140","140","39540","36080"
"In post","2022","North West (England)","LGBO","Economics","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","LGBO","Finance","50","50","[c]","[c]"
"In post","2022","North West (England)","LGBO","Human Resources","70","70","34660","31110"
"In post","2022","North West (England)","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","LGBO","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","LGBO","Legal","40","40","[c]","[c]"
"In post","2022","North West (England)","LGBO","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","LGBO","Operational Delivery","1760","1700","27140","26100"
"In post","2022","North West (England)","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","LGBO","Other","120","120","27500","27570"
"In post","2022","North West (England)","LGBO","Planning","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","LGBO","Policy","110","110","41650","37200"
"In post","2022","North West (England)","LGBO","Project Delivery","80","80","40190","37690"
"In post","2022","North West (England)","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","LGBO","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","LGBO","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","LGBO","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","LGBO","Tax","180","170","32310","26820"
"In post","2022","North West (England)","LGBO","Unknown","80","80","32880","33080"
"In post","2022","North West (England)","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Undeclared","Commercial","40","40","[c]","[c]"
"In post","2022","North West (England)","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Undeclared","Counter Fraud","60","50","29420","27570"
"In post","2022","North West (England)","Undeclared","Digital, Data and Technology","240","230","41210","36690"
"In post","2022","North West (England)","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Undeclared","Finance","100","90","34070","32010"
"In post","2022","North West (England)","Undeclared","Human Resources","80","80","31220","26930"
"In post","2022","North West (England)","Undeclared","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Undeclared","Intelligence Analysis","40","40","[c]","[c]"
"In post","2022","North West (England)","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Undeclared","Legal","90","80","41510","40180"
"In post","2022","North West (England)","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Undeclared","Operational Delivery","3120","2820","27460","26780"
"In post","2022","North West (England)","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Undeclared","Other","180","160","26610","23110"
"In post","2022","North West (England)","Undeclared","Planning","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Undeclared","Policy","120","120","42930","38530"
"In post","2022","North West (England)","Undeclared","Project Delivery","140","130","40160","36410"
"In post","2022","North West (England)","Undeclared","Property","50","50","37830","34000"
"In post","2022","North West (England)","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Undeclared","Science and Engineering","40","40","[c]","[c]"
"In post","2022","North West (England)","Undeclared","Security","50","50","33290","31800"
"In post","2022","North West (England)","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Undeclared","Tax","240","220","38490","33370"
"In post","2022","North West (England)","Undeclared","Unknown","70","70","34390","32000"
"In post","2022","North West (England)","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Unknown","Commercial","110","100","34790","32040"
"In post","2022","North West (England)","Unknown","Communications","30","30","[c]","[c]"
"In post","2022","North West (England)","Unknown","Counter Fraud","170","150","28900","27570"
"In post","2022","North West (England)","Unknown","Digital, Data and Technology","550","540","41310","36500"
"In post","2022","North West (England)","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Unknown","Finance","180","170","34910","32170"
"In post","2022","North West (England)","Unknown","Human Resources","160","150","34150","30450"
"In post","2022","North West (England)","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Unknown","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Unknown","Knowledge and Information Management","40","30","[c]","[c]"
"In post","2022","North West (England)","Unknown","Legal","350","330","41110","34480"
"In post","2022","North West (England)","Unknown","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Unknown","Operational Delivery","9090","8160","25760","24730"
"In post","2022","North West (England)","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Unknown","Other","300","280","27000","27570"
"In post","2022","North West (England)","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Unknown","Policy","200","190","39060","36500"
"In post","2022","North West (England)","Unknown","Project Delivery","300","280","38440","35310"
"In post","2022","North West (England)","Unknown","Property","120","110","32790","30340"
"In post","2022","North West (England)","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Unknown","Science and Engineering","40","40","[c]","[c]"
"In post","2022","North West (England)","Unknown","Security","70","60","34930","33350"
"In post","2022","North West (England)","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Unknown","Tax","1230","1170","29540","26820"
"In post","2022","North West (England)","Unknown","Unknown","670","660","38830","33080"
"In post","2022","North West (England)","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Heterosexual / straight","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2022","Northern Ireland","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Heterosexual / straight","Finance","50","50","36680","34050"
"In post","2022","Northern Ireland","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Heterosexual / straight","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Heterosexual / straight","Legal","110","110","31610","28920"
"In post","2022","Northern Ireland","Heterosexual / straight","Medicine","30","30","[c]","[c]"
"In post","2022","Northern Ireland","Heterosexual / straight","Operational Delivery","1110","1030","28880","26590"
"In post","2022","Northern Ireland","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Heterosexual / straight","Other","290","280","24840","22130"
"In post","2022","Northern Ireland","Heterosexual / straight","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Heterosexual / straight","Policy","80","80","41740","37910"
"In post","2022","Northern Ireland","Heterosexual / straight","Project Delivery","50","50","[c]","[c]"
"In post","2022","Northern Ireland","Heterosexual / straight","Property","70","70","29580","28070"
"In post","2022","Northern Ireland","Heterosexual / straight","Science and Engineering","40","40","[c]","[c]"
"In post","2022","Northern Ireland","Heterosexual / straight","Security","320","320","21640","20560"
"In post","2022","Northern Ireland","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Heterosexual / straight","Tax","540","520","35830","33370"
"In post","2022","Northern Ireland","Heterosexual / straight","Unknown","90","90","29010","26590"
"In post","2022","Northern Ireland","Heterosexual / straight","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","LGBO","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","LGBO","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","LGBO","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","LGBO","Operational Delivery","50","50","25910","25410"
"In post","2022","Northern Ireland","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","LGBO","Other","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","LGBO","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","LGBO","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","LGBO","Tax","40","40","[c]","[c]"
"In post","2022","Northern Ireland","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Undeclared","Operational Delivery","90","90","29130","26820"
"In post","2022","Northern Ireland","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Undeclared","Tax","40","40","[c]","[c]"
"In post","2022","Northern Ireland","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Unknown","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Unknown","Legal","50","40","[c]","[c]"
"In post","2022","Northern Ireland","Unknown","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Unknown","Operational Delivery","530","490","25140","22080"
"In post","2022","Northern Ireland","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Unknown","Security","50","50","[c]","[c]"
"In post","2022","Northern Ireland","Unknown","Tax","230","210","28350","26590"
"In post","2022","Northern Ireland","Unknown","Unknown","50","40","[c]","[c]"
"In post","2022","Northern Ireland","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Heterosexual / straight","Commercial","30","30","[c]","[c]"
"In post","2022","Overseas","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Heterosexual / straight","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2022","Overseas","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Heterosexual / straight","Finance","60","60","38060","33300"
"In post","2022","Overseas","Heterosexual / straight","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Heterosexual / straight","Intelligence Analysis","50","50","[c]","[c]"
"In post","2022","Overseas","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Heterosexual / straight","International Trade","90","90","56260","54470"
"In post","2022","Overseas","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Heterosexual / straight","Medicine","40","40","[c]","[c]"
"In post","2022","Overseas","Heterosexual / straight","Operational Delivery","210","200","47900","49370"
"In post","2022","Overseas","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Heterosexual / straight","Other","290","290","51220","54600"
"In post","2022","Overseas","Heterosexual / straight","Policy","1210","1200","52360","53000"
"In post","2022","Overseas","Heterosexual / straight","Project Delivery","90","90","49750","51040"
"In post","2022","Overseas","Heterosexual / straight","Property","130","130","38670","36460"
"In post","2022","Overseas","Heterosexual / straight","Science and Engineering","110","110","42030","39820"
"In post","2022","Overseas","Heterosexual / straight","Security","70","70","35850","34220"
"In post","2022","Overseas","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Heterosexual / straight","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","LGBO","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","LGBO","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","LGBO","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","LGBO","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","LGBO","Other","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","LGBO","Policy","120","120","52910","53470"
"In post","2022","Overseas","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","LGBO","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","LGBO","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Undeclared","Operational Delivery","50","40","[c]","[c]"
"In post","2022","Overseas","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Undeclared","Other","40","40","[c]","[c]"
"In post","2022","Overseas","Undeclared","Policy","170","170","50820","53470"
"In post","2022","Overseas","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Undeclared","Security","[c]","[c]","[c]","[c]"
