"Status","Year","Profession_of_post","Age","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Tax","16-19","Male","[c]","[c]","[c]","[c]"
"In post","2022","Tax","20-29","Female","2050","2000","28630","26590"
"In post","2022","Tax","20-29","Male","2150","2120","29030","26820"
"In post","2022","Tax","30-39","Female","2280","2130","33380","33080"
"In post","2022","Tax","30-39","Male","3070","3050","35790","33370"
"In post","2022","Tax","40-49","Female","1810","1690","35870","33370"
"In post","2022","Tax","40-49","Male","2000","1980","37540","33370"
"In post","2022","Tax","50-59","Female","2380","2230","37640","33440"
"In post","2022","Tax","50-59","Male","2170","2130","40870","37930"
"In post","2022","Tax","60-64","Female","620","470","35980","33370"
"In post","2022","Tax","60-64","Male","660","530","41580","35980"
"In post","2022","Tax","65+","Female","130","90","34450","33220"
"In post","2022","Tax","65+","Male","220","150","40050","35980"
"In post","2022","Unknown","16-19","Female","50","50","23160","21260"
"In post","2022","Unknown","16-19","Male","50","50","22870","21260"
"In post","2022","Unknown","20-29","Female","4540","4490","32090","29250"
"In post","2022","Unknown","20-29","Male","3520","3500","32290","29250"
"In post","2022","Unknown","30-39","Female","4610","4390","41370","37300"
"In post","2022","Unknown","30-39","Male","4000","3970","41310","36350"
"In post","2022","Unknown","40-49","Female","3970","3720","46590","40810"
"In post","2022","Unknown","40-49","Male","3380","3350","49210","43890"
"In post","2022","Unknown","50-59","Female","3380","3220","45900","39710"
"In post","2022","Unknown","50-59","Male","3040","3000","50410","43470"
"In post","2022","Unknown","60-64","Female","590","510","38990","31540"
"In post","2022","Unknown","60-64","Male","750","690","46080","36390"
"In post","2022","Unknown","65+","Female","140","110","38030","30040"
"In post","2022","Unknown","65+","Male","230","190","41920","33370"
"In post","2022","Veterinarian","16-19","Female","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","16-19","Male","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","20-29","Female","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","20-29","Male","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","30-39","Female","70","70","39190","37240"
"In post","2022","Veterinarian","30-39","Male","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","40-49","Female","90","80","44800","45370"
"In post","2022","Veterinarian","40-49","Male","70","70","43080","38080"
"In post","2022","Veterinarian","50-59","Female","50","50","[c]","[c]"
"In post","2022","Veterinarian","50-59","Male","50","50","[c]","[c]"
"In post","2022","Veterinarian","60-64","Female","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","60-64","Male","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","65+","Female","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","65+","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","20-29","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","20-29","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","30-39","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","30-39","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","40-49","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","40-49","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","40-49","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","50-59","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","50-59","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","60-64","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","60-64","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","65+","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","65+","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","20-29","Female","50","50","29720","28500"
"Leaver CS","2021","Communications","20-29","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","20-29","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","30-39","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","30-39","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","30-39","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","40-49","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","40-49","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","50-59","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","50-59","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","60-64","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","60-64","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","65+","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","65+","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","20-29","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","20-29","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","40-49","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","40-49","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","50-59","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","50-59","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","60-64","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","60-64","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","20-29","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","20-29","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","30-39","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","30-39","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","40-49","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","40-49","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","50-59","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","50-59","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","60-64","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","60-64","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","65+","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","65+","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","16-19","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","16-19","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","20-29","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","20-29","Male","80","80","31080","29960"
"Leaver CS","2021","Digital, Data and Technology","20-29","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","30-39","Female","40","30","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","30-39","Male","70","70","44390","41970"
"Leaver CS","2021","Digital, Data and Technology","40-49","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","40-49","Male","60","60","47440","43640"
"Leaver CS","2021","Digital, Data and Technology","40-49","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","50-59","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","50-59","Male","40","40","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","60-64","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","60-64","Male","50","40","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","60-64","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","65+","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","65+","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","20-29","Female","30","30","[c]","[c]"
"Leaver CS","2021","Economics","20-29","Male","60","60","[c]","[c]"
"Leaver CS","2021","Economics","30-39","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","30-39","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","40-49","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","40-49","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","50-59","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","50-59","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","60-64","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","60-64","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","20-29","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","20-29","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","20-29","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","30-39","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","30-39","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","40-49","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","40-49","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","50-59","Female","30","30","[c]","[c]"
"Leaver CS","2021","Finance","50-59","Male","40","40","[c]","[c]"
"Leaver CS","2021","Finance","50-59","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","60-64","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","60-64","Male","30","30","[c]","[c]"
"Leaver CS","2021","Finance","65+","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","65+","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","20-29","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","20-29","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","20-29","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","30-39","Female","40","40","[c]","[c]"
"Leaver CS","2021","Human Resources","30-39","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","40-49","Female","40","40","[c]","[c]"
"Leaver CS","2021","Human Resources","40-49","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","50-59","Female","40","40","[c]","[c]"
"Leaver CS","2021","Human Resources","50-59","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","60-64","Female","40","30","[c]","[c]"
"Leaver CS","2021","Human Resources","60-64","Male","30","30","[c]","[c]"
"Leaver CS","2021","Human Resources","65+","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","65+","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","20-29","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","20-29","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","30-39","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","30-39","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","40-49","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","40-49","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","50-59","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","50-59","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","60-64","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","60-64","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","65+","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","65+","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","20-29","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","20-29","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","30-39","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","30-39","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","40-49","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","40-49","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","50-59","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","50-59","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","60-64","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","60-64","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","65+","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","65+","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","20-29","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","20-29","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","40-49","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","40-49","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","50-59","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","50-59","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","60-64","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","60-64","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","65+","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","65+","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","20-29","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","20-29","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","30-39","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","30-39","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","40-49","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","40-49","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","50-59","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","50-59","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","60-64","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","60-64","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","65+","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","65+","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","20-29","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","20-29","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","30-39","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","30-39","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","40-49","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","40-49","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","50-59","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","50-59","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","60-64","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","60-64","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","65+","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","65+","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","20-29","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","20-29","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","30-39","Female","50","50","[c]","[c]"
"Leaver CS","2021","Legal","30-39","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","40-49","Female","30","30","[c]","[c]"
"Leaver CS","2021","Legal","40-49","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","50-59","Female","70","50","55340","55610"
"Leaver CS","2021","Legal","50-59","Male","40","30","[c]","[c]"
"Leaver CS","2021","Legal","60-64","Female","50","40","60720","57320"
"Leaver CS","2021","Legal","60-64","Male","40","30","[c]","[c]"
"Leaver CS","2021","Legal","65+","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","65+","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","20-29","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","20-29","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","30-39","Female","50","40","[c]","[c]"
"Leaver CS","2021","Medicine","30-39","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","30-39","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","40-49","Female","50","40","[c]","[c]"
"Leaver CS","2021","Medicine","40-49","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","40-49","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","50-59","Female","40","30","[c]","[c]"
"Leaver CS","2021","Medicine","50-59","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","60-64","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","60-64","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","60-64","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","65+","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","65+","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","16-19","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","16-19","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","20-29","Female","1170","1140","22460","21300"
"Leaver CS","2021","Operational Delivery","20-29","Male","910","890","23610","21590"
"Leaver CS","2021","Operational Delivery","20-29","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","30-39","Female","680","600","26590","22700"
"Leaver CS","2021","Operational Delivery","30-39","Male","720","700","29580","24890"
"Leaver CS","2021","Operational Delivery","30-39","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","40-49","Female","510","450","29190","23890"
"Leaver CS","2021","Operational Delivery","40-49","Male","480","450","31090","25870"
"Leaver CS","2021","Operational Delivery","50-59","Female","750","650","28630","23520"
"Leaver CS","2021","Operational Delivery","50-59","Male","810","770","33760","27370"
"Leaver CS","2021","Operational Delivery","50-59","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","60-64","Female","520","410","28600","23190"
"Leaver CS","2021","Operational Delivery","60-64","Male","560","470","33600","29080"
"Leaver CS","2021","Operational Delivery","60-64","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","65+","Female","500","360","23840","21430"
"Leaver CS","2021","Operational Delivery","65+","Male","590","430","27760","23500"
"Leaver CS","2021","Operational Delivery","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","16-19","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","16-19","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","20-29","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","20-29","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","30-39","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","30-39","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","40-49","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","40-49","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","50-59","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","50-59","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","60-64","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","60-64","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","65+","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","65+","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","16-19","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","16-19","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","20-29","Female","100","100","24620","21980"
"Leaver CS","2021","Other","20-29","Male","110","110","27420","27350"
"Leaver CS","2021","Other","30-39","Female","70","70","29590","27600"
"Leaver CS","2021","Other","30-39","Male","110","110","30220","28850"
"Leaver CS","2021","Other","30-39","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","40-49","Female","90","90","33720","26930"
"Leaver CS","2021","Other","40-49","Male","90","90","34320","29960"
"Leaver CS","2021","Other","50-59","Female","120","110","28580","21580"
"Leaver CS","2021","Other","50-59","Male","210","200","34540","30190"
"Leaver CS","2021","Other","50-59","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","60-64","Female","100","90","26300","21880"
"Leaver CS","2021","Other","60-64","Male","200","200","34170","30890"
"Leaver CS","2021","Other","60-64","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","65+","Female","90","80","25540","21370"
"Leaver CS","2021","Other","65+","Male","160","150","27600","25870"
"Leaver CS","2021","Other","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","30-39","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","30-39","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","40-49","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","40-49","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","50-59","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","50-59","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","60-64","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","60-64","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","65+","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","65+","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","30-39","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","30-39","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","40-49","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","40-49","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","60-64","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","60-64","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","65+","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","65+","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","20-29","Female","130","130","29610","28500"
"Leaver CS","2021","Policy","20-29","Male","110","110","31250","29500"
"Leaver CS","2021","Policy","30-39","Female","100","100","44150","40510"
"Leaver CS","2021","Policy","30-39","Male","110","100","46040","41470"
"Leaver CS","2021","Policy","40-49","Female","80","70","56210","54230"
"Leaver CS","2021","Policy","40-49","Male","60","60","59410","56500"
"Leaver CS","2021","Policy","50-59","Female","60","50","49430","47960"
"Leaver CS","2021","Policy","50-59","Male","60","50","58570","56970"
"Leaver CS","2021","Policy","50-59","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","60-64","Female","40","30","[c]","[c]"
"Leaver CS","2021","Policy","60-64","Male","50","50","52090","45500"
"Leaver CS","2021","Policy","60-64","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","65+","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","65+","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","16-19","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","16-19","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","20-29","Female","50","50","[c]","[c]"
"Leaver CS","2021","Project Delivery","20-29","Male","40","40","[c]","[c]"
"Leaver CS","2021","Project Delivery","30-39","Female","30","30","[c]","[c]"
"Leaver CS","2021","Project Delivery","30-39","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","30-39","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","40-49","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","40-49","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","50-59","Female","40","30","[c]","[c]"
"Leaver CS","2021","Project Delivery","50-59","Male","60","60","53890","43210"
"Leaver CS","2021","Project Delivery","60-64","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","60-64","Male","50","50","53940","48550"
"Leaver CS","2021","Project Delivery","65+","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","65+","Male","40","40","[c]","[c]"
"Leaver CS","2021","Property","16-19","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","16-19","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","20-29","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","20-29","Male","60","50","25480","24500"
"Leaver CS","2021","Property","30-39","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","30-39","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","40-49","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","40-49","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","50-59","Female","40","30","[c]","[c]"
"Leaver CS","2021","Property","50-59","Male","60","60","38040","36460"
"Leaver CS","2021","Property","50-59","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","60-64","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","60-64","Male","70","60","37280","33300"
"Leaver CS","2021","Property","65+","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","65+","Male","60","60","32930","33440"
"Leaver CS","2021","Psychology","20-29","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Psychology","20-29","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Psychology","30-39","Female","50","40","[c]","[c]"
"Leaver CS","2021","Psychology","30-39","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Psychology","40-49","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Psychology","40-49","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Psychology","50-59","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Psychology","50-59","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Psychology","65+","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Psychology","65+","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","16-19","Female","[c]","[c]","[c]","[c]"
