"Status","Year","Profession_of_post","Ethnicity","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Finance","Asian","North West (England)","60","60","36370","31990"
"In post","2022","Finance","Asian","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Asian","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Asian","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Asian","South East (England)","50","50","34230","29860"
"In post","2022","Finance","Asian","South West (England)","50","50","38610","33000"
"In post","2022","Finance","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Asian","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Asian","West Midlands (England)","130","130","35630","32300"
"In post","2022","Finance","Asian","Yorkshire and The Humber","80","80","35980","31990"
"In post","2022","Finance","Black","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Black","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Black","London","300","290","41730","39320"
"In post","2022","Finance","Black","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Black","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Black","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Black","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Black","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Black","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Black","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Black","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Black","West Midlands (England)","30","30","[c]","[c]"
"In post","2022","Finance","Black","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Mixed","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Mixed","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Mixed","London","70","70","44700","41750"
"In post","2022","Finance","Mixed","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Mixed","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Mixed","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Mixed","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Mixed","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Mixed","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Mixed","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Mixed","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Mixed","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Mixed","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Other ethnicity","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Other ethnicity","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Other ethnicity","London","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Other ethnicity","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Other ethnicity","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Other ethnicity","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Other ethnicity","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Other ethnicity","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Other ethnicity","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Other ethnicity","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Other ethnicity","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Other ethnicity","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Other ethnicity","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Undeclared","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Undeclared","East of England","30","30","[c]","[c]"
"In post","2022","Finance","Undeclared","London","110","110","49060","46700"
"In post","2022","Finance","Undeclared","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Undeclared","North West (England)","70","60","34800","32740"
"In post","2022","Finance","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Undeclared","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Undeclared","South East (England)","80","80","38160","35000"
"In post","2022","Finance","Undeclared","South West (England)","80","80","38690","33460"
"In post","2022","Finance","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Undeclared","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Undeclared","West Midlands (England)","30","30","[c]","[c]"
"In post","2022","Finance","Undeclared","Yorkshire and The Humber","50","40","[c]","[c]"
"In post","2022","Finance","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","East of England","40","40","[c]","[c]"
"In post","2022","Finance","Unknown","London","360","360","48640","43430"
"In post","2022","Finance","Unknown","North East (England)","60","60","38920","35410"
"In post","2022","Finance","Unknown","North West (England)","80","80","37190","33300"
"In post","2022","Finance","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Scotland","140","120","31590","26900"
"In post","2022","Finance","Unknown","South East (England)","90","90","36170","33300"
"In post","2022","Finance","Unknown","South West (England)","90","80","34920","30480"
"In post","2022","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Wales","60","60","36780","33190"
"In post","2022","Finance","Unknown","West Midlands (England)","70","70","37890","36500"
"In post","2022","Finance","Unknown","Yorkshire and The Humber","160","160","38200","36050"
"In post","2022","Finance","White","East Midlands (England)","250","240","34620","33000"
"In post","2022","Finance","White","East of England","390","370","37000","33300"
"In post","2022","Finance","White","London","1510","1470","52340","49530"
"In post","2022","Finance","White","North East (England)","510","480","40100","36460"
"In post","2022","Finance","White","North West (England)","1000","940","36980","33630"
"In post","2022","Finance","White","Northern Ireland","60","50","36570","34050"
"In post","2022","Finance","White","Overseas","60","60","37100","33300"
"In post","2022","Finance","White","Scotland","340","320","35110","33300"
"In post","2022","Finance","White","South East (England)","1180","1130","37370","33300"
"In post","2022","Finance","White","South West (England)","1520","1460","38840","33300"
"In post","2022","Finance","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","White","Wales","670","630","38420","33300"
"In post","2022","Finance","White","West Midlands (England)","530","510","40680","36500"
"In post","2022","Finance","White","Yorkshire and The Humber","870","820","39210","35310"
"In post","2022","Geography","Asian","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Asian","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Asian","London","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Asian","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Asian","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Asian","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Asian","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Asian","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Asian","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Asian","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Black","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Black","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Black","London","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Black","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Black","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Black","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Black","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Black","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Black","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Black","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Mixed","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Mixed","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Mixed","London","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Mixed","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Mixed","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Mixed","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Mixed","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Mixed","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Mixed","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Mixed","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Other ethnicity","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Other ethnicity","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Other ethnicity","London","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Other ethnicity","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Other ethnicity","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Other ethnicity","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Other ethnicity","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Other ethnicity","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Other ethnicity","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Other ethnicity","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Undeclared","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Undeclared","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Undeclared","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Undeclared","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Unknown","South West (England)","120","120","30740","29290"
"In post","2022","Geography","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Geography","White","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Geography","White","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Geography","White","London","[c]","[c]","[c]","[c]"
"In post","2022","Geography","White","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Geography","White","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Geography","White","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Geography","White","South West (England)","300","280","31560","33290"
"In post","2022","Geography","White","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Geography","White","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Geography","White","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Asian","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Asian","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Asian","London","340","330","40880","36650"
"In post","2022","Human Resources","Asian","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Asian","North West (England)","40","40","[c]","[c]"
"In post","2022","Human Resources","Asian","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Asian","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Asian","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Asian","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Asian","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Asian","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Asian","West Midlands (England)","40","40","[c]","[c]"
"In post","2022","Human Resources","Asian","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Black","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Black","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Black","London","260","250","38100","35060"
"In post","2022","Human Resources","Black","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Black","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Black","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Black","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Black","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Black","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Black","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Black","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Black","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Black","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Mixed","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Mixed","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Mixed","London","130","120","42300","38100"
"In post","2022","Human Resources","Mixed","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Mixed","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Mixed","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Mixed","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Mixed","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Mixed","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Mixed","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Mixed","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Mixed","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Mixed","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Other ethnicity","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Other ethnicity","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Other ethnicity","London","40","30","[c]","[c]"
"In post","2022","Human Resources","Other ethnicity","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Other ethnicity","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Other ethnicity","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Other ethnicity","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Other ethnicity","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Other ethnicity","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Other ethnicity","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Other ethnicity","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Other ethnicity","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Other ethnicity","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Undeclared","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Undeclared","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Undeclared","London","90","80","44930","41750"
"In post","2022","Human Resources","Undeclared","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Undeclared","North West (England)","40","40","[c]","[c]"
"In post","2022","Human Resources","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Undeclared","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Undeclared","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Undeclared","South West (England)","30","30","[c]","[c]"
"In post","2022","Human Resources","Undeclared","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Undeclared","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Undeclared","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","East Midlands (England)","30","30","[c]","[c]"
"In post","2022","Human Resources","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","London","250","250","43220","38560"
"In post","2022","Human Resources","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","North West (England)","110","100","33540","30450"
"In post","2022","Human Resources","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Scotland","70","70","30130","26670"
"In post","2022","Human Resources","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","South West (England)","80","80","31750","27780"
"In post","2022","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Wales","60","60","32990","29690"
"In post","2022","Human Resources","Unknown","West Midlands (England)","40","40","[c]","[c]"
"In post","2022","Human Resources","Unknown","Yorkshire and The Humber","90","90","43300","37680"
"In post","2022","Human Resources","White","East Midlands (England)","350","330","38620","33840"
"In post","2022","Human Resources","White","East of England","230","210","35920","33000"
"In post","2022","Human Resources","White","London","1660","1600","49870","46000"
"In post","2022","Human Resources","White","North East (England)","280","260","37520","33830"
"In post","2022","Human Resources","White","North West (England)","1090","1030","35530","31990"
"In post","2022","Human Resources","White","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","White","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","White","Scotland","680","640","30360","26670"
"In post","2022","Human Resources","White","South East (England)","480","460","37180","33300"
"In post","2022","Human Resources","White","South West (England)","870","810","37060","33300"
"In post","2022","Human Resources","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","White","Wales","760","720","35710","31850"
"In post","2022","Human Resources","White","West Midlands (England)","300","280","39410","36510"
"In post","2022","Human Resources","White","Yorkshire and The Humber","570","540","39330","35310"
"In post","2022","Inspector of Education and Training","Asian","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Asian","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Asian","London","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Asian","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Asian","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Asian","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Asian","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Asian","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Asian","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Asian","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Black","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Black","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Black","London","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Black","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Black","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Black","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Black","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Black","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Black","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Black","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Mixed","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Mixed","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Mixed","London","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Mixed","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Mixed","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Mixed","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Mixed","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Mixed","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Mixed","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Mixed","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Other ethnicity","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Other ethnicity","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Other ethnicity","London","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Other ethnicity","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Other ethnicity","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Other ethnicity","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Other ethnicity","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Other ethnicity","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Other ethnicity","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Other ethnicity","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Undeclared","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Undeclared","London","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Undeclared","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Undeclared","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Undeclared","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","White","East Midlands (England)","90","90","61450","51360"
"In post","2022","Inspector of Education and Training","White","East of England","80","80","63500","51360"
"In post","2022","Inspector of Education and Training","White","London","60","50","67450","70500"
"In post","2022","Inspector of Education and Training","White","North East (England)","40","40","[c]","[c]"
"In post","2022","Inspector of Education and Training","White","North West (England)","120","120","64510","64500"
"In post","2022","Inspector of Education and Training","White","South East (England)","120","110","64970","64500"
"In post","2022","Inspector of Education and Training","White","South West (England)","100","90","68060","75500"
"In post","2022","Inspector of Education and Training","White","Wales","70","70","73730","75480"
"In post","2022","Inspector of Education and Training","White","West Midlands (England)","80","80","67920","75500"
"In post","2022","Inspector of Education and Training","White","Yorkshire and The Humber","90","80","67680","75500"
"In post","2022","Intelligence Analysis","Asian","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Asian","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Asian","London","140","130","33760","30090"
"In post","2022","Intelligence Analysis","Asian","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Asian","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Asian","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Asian","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Asian","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Asian","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Asian","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Asian","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Asian","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Asian","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Black","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Black","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Black","London","40","40","[c]","[c]"
"In post","2022","Intelligence Analysis","Black","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Black","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Black","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Black","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Black","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Black","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Black","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Black","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Black","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Black","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Mixed","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Mixed","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Mixed","London","40","40","[c]","[c]"
"In post","2022","Intelligence Analysis","Mixed","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Mixed","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Mixed","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Mixed","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Mixed","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Mixed","South East (England)","[c]","[c]","[c]","[c]"
