"Status","Year","Sex","Profession_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Male","Planning Inspectors","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Male","Policy","AA/AO","240","230","23970","24370"
"In post","2022","Male","Policy","EO","1060","1040","28160","27960"
"In post","2022","Male","Policy","G6/G7","6340","6250","58600","57430"
"In post","2022","Male","Policy","SCS","970","950","86730","78300"
"In post","2022","Male","Policy","SEO/HEO","6400","6330","37330","36740"
"In post","2022","Male","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Male","Project Delivery","AA/AO","140","130","22060","21260"
"In post","2022","Male","Project Delivery","EO","530","520","26700","26670"
"In post","2022","Male","Project Delivery","G6/G7","2620","2570","58080","55260"
"In post","2022","Male","Project Delivery","SCS","200","200","93650","86740"
"In post","2022","Male","Project Delivery","SEO/HEO","3920","3840","37810","38600"
"In post","2022","Male","Project Delivery","Unknown","320","320","47090","44430"
"In post","2022","Male","Property","AA/AO","540","520","19730","19010"
"In post","2022","Male","Property","EO","780","760","27250","26880"
"In post","2022","Male","Property","G6/G7","1000","980","59080","58090"
"In post","2022","Male","Property","SCS","60","60","93770","90000"
"In post","2022","Male","Property","SEO/HEO","2070","2010","38280","37100"
"In post","2022","Male","Property","Unknown","40","40","[c]","[c]"
"In post","2022","Male","Psychology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Psychology","EO","70","60","26840","26850"
"In post","2022","Male","Psychology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Male","Psychology","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Male","Psychology","SEO/HEO","90","80","36910","34340"
"In post","2022","Male","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Male","Science and Engineering","AA/AO","780","770","21700","22200"
"In post","2022","Male","Science and Engineering","EO","1320","1290","26140","26370"
"In post","2022","Male","Science and Engineering","G6/G7","2160","2080","56040","55660"
"In post","2022","Male","Science and Engineering","SCS","70","60","92680","92290"
"In post","2022","Male","Science and Engineering","SEO/HEO","4540","4440","37580","38070"
"In post","2022","Male","Science and Engineering","Unknown","720","710","41020","39860"
"In post","2022","Male","Security","AA/AO","4730","4640","27330","23540"
"In post","2022","Male","Security","EO","700","690","35800","33520"
"In post","2022","Male","Security","G6/G7","350","350","59570","58430"
"In post","2022","Male","Security","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Male","Security","SEO/HEO","1190","1170","40380","38160"
"In post","2022","Male","Security","Unknown","140","140","31800","28280"
"In post","2022","Male","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Social Research","G6/G7","120","120","57970","57190"
"In post","2022","Male","Social Research","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Male","Social Research","SEO/HEO","240","240","36200","37380"
"In post","2022","Male","Statistics","AA/AO","30","30","[c]","[c]"
"In post","2022","Male","Statistics","EO","150","150","27980","27850"
"In post","2022","Male","Statistics","G6/G7","390","390","58790","59220"
"In post","2022","Male","Statistics","SCS","30","30","[c]","[c]"
"In post","2022","Male","Statistics","SEO/HEO","690","680","37520","37830"
"In post","2022","Male","Tax","AA/AO","1580","1520","21340","21250"
"In post","2022","Male","Tax","EO","2410","2340","27340","26820"
"In post","2022","Male","Tax","G6/G7","1840","1770","59750","55210"
"In post","2022","Male","Tax","SCS","40","40","[c]","[c]"
"In post","2022","Male","Tax","SEO/HEO","4440","4310","36140","33370"
"In post","2022","Male","Unknown","AA/AO","2350","2280","23400","22140"
"In post","2022","Male","Unknown","EO","2400","2370","28340","27500"
"In post","2022","Male","Unknown","G6/G7","3850","3810","62330","62120"
"In post","2022","Male","Unknown","SCS","680","680","100770","93000"
"In post","2022","Male","Unknown","SEO/HEO","5680","5620","37290","36130"
"In post","2022","Male","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Male","Veterinarian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2022","Male","Veterinarian","G6/G7","70","70","55710","54510"
"In post","2022","Male","Veterinarian","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Male","Veterinarian","SEO/HEO","100","100","40470","37910"
"In post","2022","Unknown","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Social Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Commercial","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Commercial","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Commercial","SEO/HEO","40","40","[c]","[c]"
"Leaver CS","2021","Female","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Communications","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Communications","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Communications","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Communications","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Communications","SEO/HEO","70","70","36210","35500"
"Leaver CS","2021","Female","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Digital, Data and Technology","G6/G7","30","30","[c]","[c]"
"Leaver CS","2021","Female","Digital, Data and Technology","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Digital, Data and Technology","SEO/HEO","60","60","37990","38280"
"Leaver CS","2021","Female","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Economics","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Economics","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Economics","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Economics","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Finance","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Finance","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Finance","SEO/HEO","50","50","[c]","[c]"
"Leaver CS","2021","Female","Human Resources","AA/AO","40","40","[c]","[c]"
"Leaver CS","2021","Female","Human Resources","EO","40","30","[c]","[c]"
"Leaver CS","2021","Female","Human Resources","G6/G7","40","40","[c]","[c]"
"Leaver CS","2021","Female","Human Resources","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Human Resources","SEO/HEO","70","70","38780","38770"
"Leaver CS","2021","Female","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Inspector of Education and Training","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Inspector of Education and Training","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Inspector of Education and Training","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Intelligence Analysis","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Intelligence Analysis","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Intelligence Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Internal Audit","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","International Trade","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","International Trade","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","International Trade","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","International Trade","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Knowledge and Information Management","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Legal","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Legal","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Legal","G6/G7","130","110","58930","55610"
"Leaver CS","2021","Female","Legal","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Legal","SEO/HEO","90","70","41040","42460"
"Leaver CS","2021","Female","Medicine","AA/AO","40","40","[c]","[c]"
"Leaver CS","2021","Female","Medicine","EO","40","30","[c]","[c]"
"Leaver CS","2021","Female","Medicine","G6/G7","30","20","[c]","[c]"
"Leaver CS","2021","Female","Medicine","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Medicine","SEO/HEO","50","40","38210","37890"
"Leaver CS","2021","Female","Operational Delivery","AA/AO","2580","2240","20520","20470"
"Leaver CS","2021","Female","Operational Delivery","EO","590","520","26460","26410"
"Leaver CS","2021","Female","Operational Delivery","G6/G7","120","120","58120","56290"
"Leaver CS","2021","Female","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Operational Delivery","SEO/HEO","390","350","35490","33840"
"Leaver CS","2021","Female","Operational Delivery","Unknown","450","390","[c]","[c]"
"Leaver CS","2021","Female","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Operational Research","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other","AA/AO","280","250","20900","20920"
"Leaver CS","2021","Female","Other","EO","120","110","25680","26670"
"Leaver CS","2021","Female","Other","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other","SEO/HEO","140","130","35870","36960"
"Leaver CS","2021","Female","Other","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Planning","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Planning","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Planning","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Planning","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Planning Inspectors","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Planning Inspectors","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Planning Inspectors","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Planning Inspectors","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Policy","AA/AO","50","40","[c]","[c]"
"Leaver CS","2021","Female","Policy","EO","80","70","24650","26550"
"Leaver CS","2021","Female","Policy","G6/G7","120","110","58350","55660"
"Leaver CS","2021","Female","Policy","SCS","40","30","[c]","[c]"
"Leaver CS","2021","Female","Policy","SEO/HEO","140","130","36650","36720"
"Leaver CS","2021","Female","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Project Delivery","EO","50","40","[c]","[c]"
"Leaver CS","2021","Female","Project Delivery","G6/G7","40","30","[c]","[c]"
"Leaver CS","2021","Female","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Project Delivery","SEO/HEO","90","80","34850","33630"
"Leaver CS","2021","Female","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Property","AA/AO","40","40","[c]","[c]"
"Leaver CS","2021","Female","Property","EO","50","40","25830","26000"
"Leaver CS","2021","Female","Property","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Property","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Property","SEO/HEO","40","40","[c]","[c]"
"Leaver CS","2021","Female","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Psychology","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Psychology","EO","40","40","[c]","[c]"
"Leaver CS","2021","Female","Psychology","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Psychology","SEO/HEO","50","40","[c]","[c]"
"Leaver CS","2021","Female","Science and Engineering","AA/AO","110","100","20830","20230"
"Leaver CS","2021","Female","Science and Engineering","EO","40","40","[c]","[c]"
"Leaver CS","2021","Female","Science and Engineering","G6/G7","40","30","[c]","[c]"
"Leaver CS","2021","Female","Science and Engineering","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Science and Engineering","SEO/HEO","120","110","35830","35160"
"Leaver CS","2021","Female","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Security","AA/AO","40","40","[c]","[c]"
"Leaver CS","2021","Female","Security","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Security","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Social Research","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Social Research","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Social Research","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Social Research","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Statistics","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Statistics","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Unknown","AA/AO","3280","2530","21220","21010"
"Leaver CS","2021","Female","Unknown","EO","2140","1700","27890","27570"
"Leaver CS","2021","Female","Unknown","G6/G7","390","320","60890","59650"
"Leaver CS","2021","Female","Unknown","SCS","60","50","[c]","[c]"
"Leaver CS","2021","Female","Unknown","SEO/HEO","1080","920","35460","34290"
"Leaver CS","2021","Female","Unknown","Unknown","280","260","[c]","[c]"
"Leaver CS","2021","Female","Veterinarian","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Veterinarian","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Commercial","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Commercial","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Commercial","SEO/HEO","50","50","37630","37250"
"Leaver CS","2021","Male","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Communications","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Communications","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Communications","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Communications","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Communications","SEO/HEO","40","40","[c]","[c]"
"Leaver CS","2021","Male","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Digital, Data and Technology","AA/AO","30","30","[c]","[c]"
"Leaver CS","2021","Male","Digital, Data and Technology","EO","60","50","27590","26710"
"Leaver CS","2021","Male","Digital, Data and Technology","G6/G7","90","80","59490","57680"
"Leaver CS","2021","Male","Digital, Data and Technology","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Digital, Data and Technology","SEO/HEO","130","130","37980","38000"
"Leaver CS","2021","Male","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Economics","AA/AO","40","40","[c]","[c]"
"Leaver CS","2021","Male","Economics","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Economics","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Economics","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Finance","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Finance","G6/G7","40","40","[c]","[c]"
"Leaver CS","2021","Male","Finance","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Finance","SEO/HEO","60","60","40870","39890"
"Leaver CS","2021","Male","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Human Resources","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Human Resources","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Human Resources","SEO/HEO","50","50","[c]","[c]"
"Leaver CS","2021","Male","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Inspector of Education and Training","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Inspector of Education and Training","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Inspector of Education and Training","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Intelligence Analysis","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Intelligence Analysis","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Intelligence Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Internal Audit","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","International Trade","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","International Trade","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","International Trade","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","International Trade","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Knowledge and Information Management","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Legal","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Legal","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Legal","G6/G7","110","100","58300","55610"
"Leaver CS","2021","Male","Legal","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Legal","SEO/HEO","40","40","[c]","[c]"
"Leaver CS","2021","Male","Medicine","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Medicine","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Medicine","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Medicine","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Medicine","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Operational Delivery","AA/AO","2620","2400","20870","20690"
"Leaver CS","2021","Male","Operational Delivery","EO","690","610","28220","27000"
"Leaver CS","2021","Male","Operational Delivery","G6/G7","150","140","61030","58230"
"Leaver CS","2021","Male","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Operational Delivery","SEO/HEO","460","420","39390","38160"
"Leaver CS","2021","Male","Operational Delivery","Unknown","160","140","[c]","[c]"
"Leaver CS","2021","Male","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Operational Research","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Other","AA/AO","210","200","20560","20180"
"Leaver CS","2021","Male","Other","EO","310","300","27750","29100"
"Leaver CS","2021","Male","Other","G6/G7","40","40","[c]","[c]"
"Leaver CS","2021","Male","Other","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Other","SEO/HEO","170","160","35280","34340"
"Leaver CS","2021","Male","Other","Unknown","160","160","36220","33270"
"Leaver CS","2021","Male","Planning","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Planning","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Planning","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Planning","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Planning Inspectors","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Planning Inspectors","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Planning Inspectors","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Planning Inspectors","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Policy","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Policy","EO","50","50","[c]","[c]"
"Leaver CS","2021","Male","Policy","G6/G7","150","140","59660","57600"
"Leaver CS","2021","Male","Policy","SCS","40","30","[c]","[c]"
"Leaver CS","2021","Male","Policy","SEO/HEO","150","150","36770","36790"
"Leaver CS","2021","Male","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Project Delivery","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Project Delivery","G6/G7","60","50","57190","54990"
"Leaver CS","2021","Male","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Project Delivery","SEO/HEO","130","130","38320","39250"
"Leaver CS","2021","Male","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Property","AA/AO","50","40","[c]","[c]"
"Leaver CS","2021","Male","Property","EO","90","80","26060","25500"
"Leaver CS","2021","Male","Property","G6/G7","40","30","[c]","[c]"
"Leaver CS","2021","Male","Property","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Property","SEO/HEO","110","100","38360","37210"
"Leaver CS","2021","Male","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Psychology","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Psychology","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Psychology","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Psychology","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Science and Engineering","AA/AO","120","120","19850","20150"
"Leaver CS","2021","Male","Science and Engineering","EO","70","70","24470","25190"
"Leaver CS","2021","Male","Science and Engineering","G6/G7","50","40","[c]","[c]"
"Leaver CS","2021","Male","Science and Engineering","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Science and Engineering","SEO/HEO","220","200","36150","36330"
"Leaver CS","2021","Male","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Security","AA/AO","270","260","27960","24610"
"Leaver CS","2021","Male","Security","EO","40","40","[c]","[c]"
