"Status","Year","Function_of_post","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Security","AA/AO","Security","5260","5160","26980","22650"
"In post","2021","Security","AA/AO","Unknown","240","220","20930","20920"
"In post","2021","Security","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Security","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Security","EO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Security","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Security","EO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Security","EO","Security","1010","990","33210","29250"
"In post","2021","Security","EO","Unknown","140","140","26580","26670"
"In post","2021","Security","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Security","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Security","G6/G7","Intelligence Analysis","60","60","60570","58600"
"In post","2021","Security","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Security","G6/G7","Other","[c]","[c]","[c]","[c]"
"In post","2021","Security","G6/G7","Security","230","230","60790","59160"
"In post","2021","Security","G6/G7","Unknown","90","80","58620","54700"
"In post","2021","Security","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Security","SCS","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Security","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2021","Security","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Security","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Security","SEO/HEO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Security","SEO/HEO","Intelligence Analysis","110","100","37310","36460"
"In post","2021","Security","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Security","SEO/HEO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Security","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Security","SEO/HEO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Security","SEO/HEO","Security","1050","1030","41190","38160"
"In post","2021","Security","SEO/HEO","Unknown","390","370","35290","33630"
"In post","2021","Security","Unknown","Security","60","60","37050","37170"
"In post","2021","Unknown","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Unknown","AA/AO","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","Unknown","AA/AO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Finance","70","60","23210","23830"
"In post","2021","Unknown","AA/AO","Human Resources","80","80","23520","23830"
"In post","2021","Unknown","AA/AO","Intelligence Analysis","100","90","23380","21860"
"In post","2021","Unknown","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2021","Unknown","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Medicine","340","320","22110","22640"
"In post","2021","Unknown","AA/AO","Operational Delivery","8440","7460","22020","21430"
"In post","2021","Unknown","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Other","7110","6790","20960","20920"
"In post","2021","Unknown","AA/AO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Policy","270","260","22650","23830"
"In post","2021","Unknown","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Science and Engineering","590","580","21710","22080"
"In post","2021","Unknown","AA/AO","Security","150","150","22320","22210"
"In post","2021","Unknown","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Unknown","31670","27330","21290","21010"
"In post","2021","Unknown","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Communications","40","40","[c]","[c]"
"In post","2021","Unknown","EO","Counter Fraud","100","90","25990","25310"
"In post","2021","Unknown","EO","Digital, Data and Technology","130","130","27910","28850"
"In post","2021","Unknown","EO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Finance","120","110","28460","28850"
"In post","2021","Unknown","EO","Human Resources","150","140","28920","28850"
"In post","2021","Unknown","EO","Intelligence Analysis","1150","1090","27470","27370"
"In post","2021","Unknown","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2021","Unknown","EO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Medicine","320","290","30650","30620"
"In post","2021","Unknown","EO","Operational Delivery","12690","11650","26890","26070"
"In post","2021","Unknown","EO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Other","2830","2710","28180","26930"
"In post","2021","Unknown","EO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Policy","670","650","28590","28850"
"In post","2021","Unknown","EO","Project Delivery","150","140","27620","28670"
"In post","2021","Unknown","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Science and Engineering","420","410","27150","26670"
"In post","2021","Unknown","EO","Security","70","60","28380","28850"
"In post","2021","Unknown","EO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Statistics","50","40","[c]","[c]"
"In post","2021","Unknown","EO","Unknown","51050","46330","28110","27570"
"In post","2021","Unknown","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Communications","80","80","60160","57680"
"In post","2021","Unknown","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Digital, Data and Technology","520","510","62900","61720"
"In post","2021","Unknown","G6/G7","Economics","80","80","63850","62490"
"In post","2021","Unknown","G6/G7","Finance","140","140","62030","60830"
"In post","2021","Unknown","G6/G7","Human Resources","170","160","60450","57680"
"In post","2021","Unknown","G6/G7","Intelligence Analysis","90","90","59560","59730"
"In post","2021","Unknown","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Legal","120","110","60470","60830"
"In post","2021","Unknown","G6/G7","Medicine","560","480","74710","76160"
"In post","2021","Unknown","G6/G7","Operational Delivery","970","950","59400","57680"
"In post","2021","Unknown","G6/G7","Operational Research","40","40","[c]","[c]"
"In post","2021","Unknown","G6/G7","Other","630","600","60640","59420"
"In post","2021","Unknown","G6/G7","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Policy","1670","1630","60540","58460"
"In post","2021","Unknown","G6/G7","Project Delivery","470","460","60230","57680"
"In post","2021","Unknown","G6/G7","Property","40","40","[c]","[c]"
"In post","2021","Unknown","G6/G7","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Science and Engineering","320","300","61910","60780"
"In post","2021","Unknown","G6/G7","Security","30","30","[c]","[c]"
"In post","2021","Unknown","G6/G7","Social Research","40","40","[c]","[c]"
"In post","2021","Unknown","G6/G7","Statistics","40","40","[c]","[c]"
"In post","2021","Unknown","G6/G7","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Unknown","5940","5710","59660","59590"
"In post","2021","Unknown","G6/G7","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Finance","30","30","[c]","[c]"
"In post","2021","Unknown","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Medicine","70","70","84390","83700"
"In post","2021","Unknown","SCS","Operational Delivery","110","110","90860","82600"
"In post","2021","Unknown","SCS","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Other","60","60","91240","85580"
"In post","2021","Unknown","SCS","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Policy","350","330","89150","80930"
"In post","2021","Unknown","SCS","Project Delivery","30","30","[c]","[c]"
"In post","2021","Unknown","SCS","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Science and Engineering","50","50","[c]","[c]"
"In post","2021","Unknown","SCS","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Unknown","530","520","89670","83230"
"In post","2021","Unknown","SCS","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Commercial","80","80","39970","41820"
"In post","2021","Unknown","SEO/HEO","Communications","200","190","40890","41320"
"In post","2021","Unknown","SEO/HEO","Counter Fraud","30","30","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Digital, Data and Technology","730","720","40250","40460"
"In post","2021","Unknown","SEO/HEO","Economics","90","90","35420","35050"
"In post","2021","Unknown","SEO/HEO","Finance","270","260","39800","37490"
"In post","2021","Unknown","SEO/HEO","Human Resources","360","340","37960","37410"
"In post","2021","Unknown","SEO/HEO","Intelligence Analysis","880","850","37160","36210"
"In post","2021","Unknown","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Knowledge and Information Management","100","90","39370","37410"
"In post","2021","Unknown","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Medicine","700","640","38770","37890"
"In post","2021","Unknown","SEO/HEO","Operational Delivery","5360","5140","35790","35170"
"In post","2021","Unknown","SEO/HEO","Operational Research","100","90","40230","39410"
"In post","2021","Unknown","SEO/HEO","Other","2510","2440","38000","37410"
"In post","2021","Unknown","SEO/HEO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Policy","2370","2300","39760","38020"
"In post","2021","Unknown","SEO/HEO","Project Delivery","770","750","37650","37460"
"In post","2021","Unknown","SEO/HEO","Property","60","60","37770","37100"
"In post","2021","Unknown","SEO/HEO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Science and Engineering","860","830","40030","40450"
"In post","2021","Unknown","SEO/HEO","Security","100","100","37260","35300"
"In post","2021","Unknown","SEO/HEO","Social Research","170","170","45040","47000"
"In post","2021","Unknown","SEO/HEO","Statistics","80","80","39730","39310"
"In post","2021","Unknown","SEO/HEO","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Unknown","15830","15030","36140","35110"
"In post","2021","Unknown","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Operational Delivery","60","60","37490","40950"
"In post","2021","Unknown","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Other","2060","2050","38220","34660"
"In post","2021","Unknown","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Science and Engineering","110","110","28370","27370"
"In post","2021","Unknown","Unknown","Unknown","220","220","[c]","[c]"
"In post","2022","Analysis","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","AA/AO","Economics","50","50","20980","19860"
"In post","2022","Analysis","AA/AO","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","AA/AO","Operational Delivery","30","30","[c]","[c]"
"In post","2022","Analysis","AA/AO","Operational Research","30","30","[c]","[c]"
"In post","2022","Analysis","AA/AO","Other","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","AA/AO","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","AA/AO","Science and Engineering","40","40","[c]","[c]"
"In post","2022","Analysis","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","AA/AO","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","AA/AO","Unknown","50","40","[c]","[c]"
"In post","2022","Analysis","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","EO","Economics","110","110","27090","27680"
"In post","2022","Analysis","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","EO","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","EO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","EO","Operational Delivery","240","220","25720","24870"
"In post","2022","Analysis","EO","Operational Research","30","30","[c]","[c]"
"In post","2022","Analysis","EO","Other","60","50","28420","28230"
"In post","2022","Analysis","EO","Policy","40","40","[c]","[c]"
"In post","2022","Analysis","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","EO","Science and Engineering","110","100","25290","25010"
"In post","2022","Analysis","EO","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","EO","Statistics","200","190","27720","27850"
"In post","2022","Analysis","EO","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","G6/G7","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","G6/G7","Digital, Data and Technology","60","60","56440","53760"
"In post","2022","Analysis","G6/G7","Economics","570","550","59660","55980"
"In post","2022","Analysis","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","G6/G7","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","G6/G7","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","G6/G7","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","G6/G7","Operational Delivery","130","130","56410","53260"
"In post","2022","Analysis","G6/G7","Operational Research","300","280","56180","56130"
"In post","2022","Analysis","G6/G7","Other","190","170","76090","67150"
"In post","2022","Analysis","G6/G7","Policy","290","280","58420","56420"
"In post","2022","Analysis","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","G6/G7","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","G6/G7","Science and Engineering","170","160","53770","49970"
"In post","2022","Analysis","G6/G7","Security","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","G6/G7","Social Research","300","280","56650","55210"
"In post","2022","Analysis","G6/G7","Statistics","660","630","58090","57300"
"In post","2022","Analysis","G6/G7","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","G6/G7","Unknown","50","50","[c]","[c]"
"In post","2022","Analysis","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","SCS","Economics","60","60","95230","85770"
"In post","2022","Analysis","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","SCS","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","SCS","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","SCS","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","SCS","Other","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","SCS","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","SCS","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","SCS","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","SCS","Statistics","50","50","85310","79130"
"In post","2022","Analysis","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","SEO/HEO","Digital, Data and Technology","80","80","38960","39030"
"In post","2022","Analysis","SEO/HEO","Economics","580","580","35290","34020"
"In post","2022","Analysis","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","SEO/HEO","Geography","30","30","[c]","[c]"
"In post","2022","Analysis","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","SEO/HEO","Intelligence Analysis","80","70","35810","35900"
"In post","2022","Analysis","SEO/HEO","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","SEO/HEO","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","SEO/HEO","Operational Delivery","440","430","34840","35790"
"In post","2022","Analysis","SEO/HEO","Operational Research","350","340","37250","38070"
"In post","2022","Analysis","SEO/HEO","Other","130","130","38720","37640"
"In post","2022","Analysis","SEO/HEO","Policy","220","200","38240","37160"
"In post","2022","Analysis","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","SEO/HEO","Science and Engineering","390","370","34070","35900"
"In post","2022","Analysis","SEO/HEO","Social Research","760","730","35680","36840"
"In post","2022","Analysis","SEO/HEO","Statistics","1130","1090","37180","37610"
"In post","2022","Analysis","SEO/HEO","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","SEO/HEO","Unknown","40","40","[c]","[c]"
"In post","2022","Commercial","AA/AO","Commercial","230","210","22630","21840"
"In post","2022","Commercial","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","AA/AO","Operational Delivery","50","50","22520","21300"
"In post","2022","Commercial","AA/AO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","EO","Commercial","610","590","26640","26350"
"In post","2022","Commercial","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","EO","Operational Delivery","70","60","27600","26820"
"In post","2022","Commercial","EO","Other","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","EO","Property","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","EO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","EO","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","EO","Unknown","40","40","[c]","[c]"
"In post","2022","Commercial","G6/G7","Commercial","790","770","56650","54140"
"In post","2022","Commercial","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Operational Delivery","90","90","63230","60380"
"In post","2022","Commercial","G6/G7","Other","30","30","[c]","[c]"
"In post","2022","Commercial","G6/G7","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Project Delivery","40","40","[c]","[c]"
"In post","2022","Commercial","G6/G7","Science and Engineering","30","30","[c]","[c]"
"In post","2022","Commercial","G6/G7","Unknown","1240","1220","64910","64500"
"In post","2022","Commercial","G6/G7","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS","Commercial","70","70","84990","78520"
"In post","2022","Commercial","SCS","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS","Other","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS","Unknown","240","230","118900","117230"
"In post","2022","Commercial","SEO/HEO","Commercial","2210","2140","37150","37100"
"In post","2022","Commercial","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Finance","30","30","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Operational Delivery","180","180","39560","39370"
"In post","2022","Commercial","SEO/HEO","Other","40","40","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Project Delivery","60","60","37070","37500"
"In post","2022","Commercial","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Science and Engineering","80","80","38070","39940"
"In post","2022","Commercial","SEO/HEO","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Unknown","160","160","37960","38420"
"In post","2022","Commercial","Unknown","Commercial","170","160","40030","37400"
"In post","2022","Communications","AA/AO","Communications","190","180","22130","21460"
"In post","2022","Communications","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","Operational Delivery","260","230","21510","21250"
"In post","2022","Communications","AA/AO","Other","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","Tax","30","30","[c]","[c]"
"In post","2022","Communications","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Communications","510","490","27740","27270"
"In post","2022","Communications","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Operational Delivery","800","770","26590","26590"
"In post","2022","Communications","EO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Other","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Tax","1760","1710","26800","26820"
"In post","2022","Communications","EO","Unknown","110","110","26840","26590"
"In post","2022","Communications","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Communications","890","860","58720","56660"
"In post","2022","Communications","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Operational Delivery","60","60","54920","55210"
"In post","2022","Communications","G6/G7","Other","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Tax","30","30","[c]","[c]"
"In post","2022","Communications","G6/G7","Unknown","170","160","59640","56610"
"In post","2022","Communications","SCS","Communications","100","100","89290","85000"
"In post","2022","Communications","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Other","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Communications","1740","1690","37820","37650"
"In post","2022","Communications","SEO/HEO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Knowledge and Information Management","60","60","41670","41530"
"In post","2022","Communications","SEO/HEO","Operational Delivery","690","680","35040","33370"
"In post","2022","Communications","SEO/HEO","Other","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Tax","670","650","33910","33370"
"In post","2022","Communications","SEO/HEO","Unknown","240","230","37710","37610"
"In post","2022","Communications","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","AA/AO","Counter Fraud","1460","1250","22530","21260"
"In post","2022","Counter Fraud","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","AA/AO","Legal","220","190","22170","22080"
"In post","2022","Counter Fraud","AA/AO","Operational Delivery","1010","890","22050","21260"
