"Status","Year","Function_of_post","Ethnicity","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Human Resources","Asian","Undeclared","30","30","[c]","[c]"
"In post","2022","Human Resources","Asian","Unknown","40","30","[c]","[c]"
"In post","2022","Human Resources","Black","Heterosexual / straight","340","330","36870","34290"
"In post","2022","Human Resources","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Mixed","Heterosexual / straight","190","190","40650","36570"
"In post","2022","Human Resources","Mixed","LGBO","30","30","[c]","[c]"
"In post","2022","Human Resources","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Other ethnicity","Heterosexual / straight","40","40","[c]","[c]"
"In post","2022","Human Resources","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Undeclared","Heterosexual / straight","50","50","40500","37290"
"In post","2022","Human Resources","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Undeclared","Undeclared","250","240","35920","33000"
"In post","2022","Human Resources","Undeclared","Unknown","40","40","[c]","[c]"
"In post","2022","Human Resources","Unknown","Heterosexual / straight","70","70","38690","33680"
"In post","2022","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Undeclared","60","60","36550","32790"
"In post","2022","Human Resources","Unknown","Unknown","920","890","35730","32000"
"In post","2022","Human Resources","White","Heterosexual / straight","7540","7100","38340","33370"
"In post","2022","Human Resources","White","LGBO","570","560","38860","33300"
"In post","2022","Human Resources","White","Undeclared","440","410","35210","31740"
"In post","2022","Human Resources","White","Unknown","410","370","33470","29180"
"In post","2022","Internal Audit","Asian","Heterosexual / straight","80","70","47320","44020"
"In post","2022","Internal Audit","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Black","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Internal Audit","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","White","Heterosexual / straight","470","440","46320","43610"
"In post","2022","Internal Audit","White","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","White","Undeclared","50","50","46200","40520"
"In post","2022","Internal Audit","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Asian","Heterosexual / straight","980","920","43830","48080"
"In post","2022","Legal","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Asian","Undeclared","30","30","[c]","[c]"
"In post","2022","Legal","Asian","Unknown","140","120","43210","44040"
"In post","2022","Legal","Black","Heterosexual / straight","520","500","40770","33930"
"In post","2022","Legal","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Black","Unknown","80","80","44100","40450"
"In post","2022","Legal","Mixed","Heterosexual / straight","250","240","48200","50500"
"In post","2022","Legal","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Mixed","Unknown","40","30","[c]","[c]"
"In post","2022","Legal","Other ethnicity","Heterosexual / straight","80","80","47880","50040"
"In post","2022","Legal","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Undeclared","Heterosexual / straight","70","70","45420","41750"
"In post","2022","Legal","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Undeclared","Undeclared","220","210","50400","53050"
"In post","2022","Legal","Undeclared","Unknown","50","40","[c]","[c]"
"In post","2022","Legal","Unknown","Heterosexual / straight","160","150","43760","41350"
"In post","2022","Legal","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Unknown","Unknown","1200","1120","48030","50500"
"In post","2022","Legal","White","Heterosexual / straight","6460","6030","46950","48830"
"In post","2022","Legal","White","LGBO","470","450","46500","48440"
"In post","2022","Legal","White","Undeclared","340","320","49400","51250"
"In post","2022","Legal","White","Unknown","1130","1010","48670","53350"
"In post","2022","No function","Asian","Heterosexual / straight","14660","13760","31570","27970"
"In post","2022","No function","Asian","LGBO","400","380","32530","28060"
"In post","2022","No function","Asian","Undeclared","960","870","30780","27570"
"In post","2022","No function","Asian","Unknown","1920","1680","31110","27570"
"In post","2022","No function","Black","Heterosexual / straight","8610","8290","31700","30450"
"In post","2022","No function","Black","LGBO","210","210","31830","30250"
"In post","2022","No function","Black","Undeclared","490","460","31410","30330"
"In post","2022","No function","Black","Unknown","910","840","31410","30750"
"In post","2022","No function","Mixed","Heterosexual / straight","4130","3940","33420","30110"
"In post","2022","No function","Mixed","LGBO","480","470","33020","29290"
"In post","2022","No function","Mixed","Undeclared","400","370","34400","30360"
"In post","2022","No function","Mixed","Unknown","340","310","32780","28390"
"In post","2022","No function","Other ethnicity","Heterosexual / straight","1150","1100","34130","31060"
"In post","2022","No function","Other ethnicity","LGBO","140","130","36990","31770"
"In post","2022","No function","Other ethnicity","Undeclared","150","140","39150","32850"
"In post","2022","No function","Other ethnicity","Unknown","150","130","35010","29260"
"In post","2022","No function","Undeclared","Heterosexual / straight","1750","1640","31390","27930"
"In post","2022","No function","Undeclared","LGBO","190","180","31320","28310"
"In post","2022","No function","Undeclared","Undeclared","5620","5230","33900","30030"
"In post","2022","No function","Undeclared","Unknown","2400","2110","32120","27570"
"In post","2022","No function","Unknown","Heterosexual / straight","1940","1780","31740","27570"
"In post","2022","No function","Unknown","LGBO","150","140","35640","31610"
"In post","2022","No function","Unknown","Undeclared","1390","1310","39950","33520"
"In post","2022","No function","Unknown","Unknown","36070","33940","29940","27080"
"In post","2022","No function","White","Heterosexual / straight","146300","135190","32330","27570"
"In post","2022","No function","White","LGBO","11190","10860","32780","27570"
"In post","2022","No function","White","Undeclared","13530","12190","31360","27570"
"In post","2022","No function","White","Unknown","18900","16410","30690","27570"
"In post","2022","Project Delivery","Asian","Heterosexual / straight","1050","1020","42150","38600"
"In post","2022","Project Delivery","Asian","LGBO","30","30","[c]","[c]"
"In post","2022","Project Delivery","Asian","Undeclared","40","30","[c]","[c]"
"In post","2022","Project Delivery","Asian","Unknown","130","120","41600","38600"
"In post","2022","Project Delivery","Black","Heterosexual / straight","600","590","39720","37920"
"In post","2022","Project Delivery","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Black","Unknown","40","40","[c]","[c]"
"In post","2022","Project Delivery","Mixed","Heterosexual / straight","340","330","42450","39700"
"In post","2022","Project Delivery","Mixed","LGBO","40","40","[c]","[c]"
"In post","2022","Project Delivery","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Mixed","Unknown","40","40","[c]","[c]"
"In post","2022","Project Delivery","Other ethnicity","Heterosexual / straight","90","80","43080","40180"
"In post","2022","Project Delivery","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Undeclared","Heterosexual / straight","110","110","40710","39980"
"In post","2022","Project Delivery","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Undeclared","Undeclared","980","940","42490","40540"
"In post","2022","Project Delivery","Undeclared","Unknown","170","160","42840","40090"
"In post","2022","Project Delivery","Unknown","Heterosexual / straight","200","190","42170","40000"
"In post","2022","Project Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Unknown","Undeclared","90","90","46890","42350"
"In post","2022","Project Delivery","Unknown","Unknown","2400","2340","42250","40000"
"In post","2022","Project Delivery","White","Heterosexual / straight","16530","15870","42210","40000"
"In post","2022","Project Delivery","White","LGBO","850","840","41910","38550"
"In post","2022","Project Delivery","White","Undeclared","1170","1100","42220","40000"
"In post","2022","Project Delivery","White","Unknown","1540","1430","42240","39940"
"In post","2022","Property","Asian","Heterosexual / straight","380","370","36950","33000"
"In post","2022","Property","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Property","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Property","Asian","Unknown","40","40","[c]","[c]"
"In post","2022","Property","Black","Heterosexual / straight","170","160","37930","34600"
"In post","2022","Property","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Property","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Property","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Property","Mixed","Heterosexual / straight","90","90","37050","33370"
"In post","2022","Property","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Property","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Property","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Property","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Property","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Property","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Property","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Property","Undeclared","Heterosexual / straight","100","90","38340","34000"
"In post","2022","Property","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Property","Undeclared","Undeclared","350","330","38000","33630"
"In post","2022","Property","Undeclared","Unknown","250","220","36180","32890"
"In post","2022","Property","Unknown","Heterosexual / straight","50","40","[c]","[c]"
"In post","2022","Property","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Property","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Property","Unknown","Unknown","1270","1230","31940","26950"
"In post","2022","Property","White","Heterosexual / straight","5750","5520","37600","33350"
"In post","2022","Property","White","LGBO","250","240","36400","33300"
"In post","2022","Property","White","Undeclared","410","390","38720","34330"
"In post","2022","Property","White","Unknown","290","280","35650","33300"
"In post","2022","Security","Asian","Heterosexual / straight","270","270","33900","31660"
"In post","2022","Security","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Security","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Security","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Security","Black","Heterosexual / straight","120","120","33020","30590"
"In post","2022","Security","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Security","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Security","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Security","Mixed","Heterosexual / straight","110","100","37320","34590"
"In post","2022","Security","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Security","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Security","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Security","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Security","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Security","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Security","Undeclared","Heterosexual / straight","50","50","[c]","[c]"
"In post","2022","Security","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Security","Undeclared","Undeclared","460","450","36590","37640"
"In post","2022","Security","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Security","Unknown","Heterosexual / straight","80","70","31470","30250"
"In post","2022","Security","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Security","Unknown","Undeclared","40","30","[c]","[c]"
"In post","2022","Security","Unknown","Unknown","1300","1280","31490","27680"
"In post","2022","Security","White","Heterosexual / straight","6870","6700","32250","29360"
"In post","2022","Security","White","LGBO","320","320","33580","32000"
"In post","2022","Security","White","Undeclared","580","560","35430","37320"
"In post","2022","Security","White","Unknown","350","340","37410","38070"
"In post","2022","Unknown","Asian","Heterosexual / straight","4830","4530","32690","29040"
"In post","2022","Unknown","Asian","LGBO","60","60","32560","28870"
"In post","2022","Unknown","Asian","Undeclared","410","370","30720","28670"
"In post","2022","Unknown","Asian","Unknown","90","80","33370","28980"
"In post","2022","Unknown","Black","Heterosexual / straight","2030","1930","33390","29250"
"In post","2022","Unknown","Black","LGBO","40","40","[c]","[c]"
"In post","2022","Unknown","Black","Undeclared","120","110","32670","29020"
"In post","2022","Unknown","Black","Unknown","30","30","[c]","[c]"
"In post","2022","Unknown","Mixed","Heterosexual / straight","940","890","36110","30820"
"In post","2022","Unknown","Mixed","LGBO","80","80","39020","34600"
"In post","2022","Unknown","Mixed","Undeclared","100","90","33280","29370"
"In post","2022","Unknown","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Heterosexual / straight","230","210","34480","29310"
"In post","2022","Unknown","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Undeclared","30","30","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","Heterosexual / straight","470","450","33370","29370"
"In post","2022","Unknown","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","Undeclared","2790","2630","35230","30830"
"In post","2022","Unknown","Undeclared","Unknown","110","100","37180","33000"
"In post","2022","Unknown","Unknown","Heterosexual / straight","280","270","35610","31140"
"In post","2022","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Undeclared","130","130","38920","34830"
"In post","2022","Unknown","Unknown","Unknown","10750","10420","35020","30780"
"In post","2022","Unknown","White","Heterosexual / straight","47420","44870","35030","30040"
"In post","2022","Unknown","White","LGBO","2560","2490","36050","30980"
"In post","2022","Unknown","White","Undeclared","3750","3530","35130","30040"
"In post","2022","Unknown","White","Unknown","2310","2160","37050","31990"
"Leaver CS","2021","Analysis","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Asian","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Black","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Chinese","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Chinese","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Mixed","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Undeclared","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","White","Heterosexual / straight","110","100","38730","32380"
"Leaver CS","2021","Analysis","White","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","White","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","White","Unknown","40","30","[c]","[c]"
"Leaver CS","2021","Commercial","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Asian","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Black","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Black","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Chinese","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Mixed","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Unknown","Unknown","80","80","64710","60650"
"Leaver CS","2021","Commercial","White","Heterosexual / straight","130","120","41100","36290"
"Leaver CS","2021","Commercial","White","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","White","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Asian","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Asian","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Black","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Chinese","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Mixed","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","Unknown","70","60","38080","36560"
"Leaver CS","2021","Communications","White","Heterosexual / straight","110","110","37090","32680"
"Leaver CS","2021","Communications","White","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","White","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Asian","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Black","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Chinese","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Mixed","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","White","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","White","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","White","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Asian","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Black","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Chinese","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Mixed","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","White","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","White","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Asian","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Asian","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Black","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Chinese","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Mixed","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Unknown","Unknown","120","120","41220","37870"
"Leaver CS","2021","Digital, Data & Technology","White","Heterosexual / straight","170","160","43380","39770"
"Leaver CS","2021","Digital, Data & Technology","White","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","White","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Asian","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Black","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Black","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Chinese","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Chinese","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Mixed","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Mixed","Undeclared","[c]","[c]","[c]","[c]"
