"Status","Year","Region_ITL3","Sexual_orientation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Kent","Undeclared","No function","50","40","[c]","[c]"
"In post","2021","East Kent","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Kent","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Kent","Undeclared","Unknown","490","440","28250","27370"
"In post","2021","East Kent","Unknown","Counter Fraud","50","50","[c]","[c]"
"In post","2021","East Kent","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Kent","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Kent","Unknown","Legal","40","40","[c]","[c]"
"In post","2021","East Kent","Unknown","No function","50","50","[c]","[c]"
"In post","2021","East Kent","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Kent","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Kent","Unknown","Unknown","350","310","26280","25110"
"In post","2021","East Lancashire","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Lancashire","Heterosexual / straight","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Lancashire","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Lancashire","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Lancashire","Heterosexual / straight","No function","110","100","26050","23840"
"In post","2021","East Lancashire","Heterosexual / straight","Unknown","210","190","25550","27570"
"In post","2021","East Lancashire","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Lancashire","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Lancashire","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Lancashire","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Lancashire","LGBO","No function","[c]","[c]","[c]","[c]"
"In post","2021","East Lancashire","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Lancashire","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Lancashire","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","East Lancashire","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Lancashire","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Lancashire","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Lancashire","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","East Lancashire","Unknown","Unknown","80","70","25460","27570"
"In post","2021","East Lothian and Midlothian","Heterosexual / straight","No function","[c]","[c]","[c]","[c]"
"In post","2021","East Lothian and Midlothian","Heterosexual / straight","Unknown","70","60","27310","27570"
"In post","2021","East Lothian and Midlothian","LGBO","No function","[c]","[c]","[c]","[c]"
"In post","2021","East Lothian and Midlothian","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Lothian and Midlothian","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","East Lothian and Midlothian","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Lothian and Midlothian","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","East Lothian and Midlothian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Merseyside","Heterosexual / straight","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Merseyside","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Merseyside","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Merseyside","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Merseyside","Heterosexual / straight","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Merseyside","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Merseyside","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Merseyside","Heterosexual / straight","No function","210","200","29310","26780"
"In post","2021","East Merseyside","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Merseyside","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Merseyside","Heterosexual / straight","Unknown","460","400","26730","27570"
"In post","2021","East Merseyside","LGBO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Merseyside","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Merseyside","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Merseyside","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Merseyside","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Merseyside","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Merseyside","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Merseyside","LGBO","No function","[c]","[c]","[c]","[c]"
"In post","2021","East Merseyside","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Merseyside","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Merseyside","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Merseyside","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Merseyside","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Merseyside","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","East Merseyside","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Merseyside","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Merseyside","Undeclared","Unknown","50","40","[c]","[c]"
"In post","2021","East Merseyside","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Merseyside","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Merseyside","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Merseyside","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Merseyside","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","East Merseyside","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Merseyside","Unknown","Unknown","210","180","25860","27570"
"In post","2021","East Riding of Yorkshire","Heterosexual / straight","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Riding of Yorkshire","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Riding of Yorkshire","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Riding of Yorkshire","Heterosexual / straight","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Riding of Yorkshire","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Riding of Yorkshire","Heterosexual / straight","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","East Riding of Yorkshire","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Riding of Yorkshire","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Riding of Yorkshire","Heterosexual / straight","No function","890","840","29230","26810"
"In post","2021","East Riding of Yorkshire","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Riding of Yorkshire","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Riding of Yorkshire","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Riding of Yorkshire","Heterosexual / straight","Unknown","390","370","26740","26800"
"In post","2021","East Riding of Yorkshire","LGBO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Riding of Yorkshire","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Riding of Yorkshire","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Riding of Yorkshire","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Riding of Yorkshire","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Riding of Yorkshire","LGBO","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","East Riding of Yorkshire","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Riding of Yorkshire","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Riding of Yorkshire","LGBO","No function","40","40","[c]","[c]"
"In post","2021","East Riding of Yorkshire","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Riding of Yorkshire","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Riding of Yorkshire","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Riding of Yorkshire","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Riding of Yorkshire","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Riding of Yorkshire","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Riding of Yorkshire","Undeclared","No function","120","110","30330","31610"
"In post","2021","East Riding of Yorkshire","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Riding of Yorkshire","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Riding of Yorkshire","Undeclared","Unknown","80","70","26770","26930"
"In post","2021","East Riding of Yorkshire","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Riding of Yorkshire","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","East Riding of Yorkshire","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Riding of Yorkshire","Unknown","No function","220","200","28230","26580"
"In post","2021","East Riding of Yorkshire","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Riding of Yorkshire","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Riding of Yorkshire","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","East Surrey","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Surrey","Heterosexual / straight","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Surrey","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Surrey","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Surrey","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Surrey","Heterosexual / straight","No function","510","490","33920","33590"
"In post","2021","East Surrey","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Surrey","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Surrey","Heterosexual / straight","Unknown","100","90","29950","29290"
"In post","2021","East Surrey","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Surrey","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Surrey","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Surrey","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Surrey","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Surrey","LGBO","No function","50","50","[c]","[c]"
"In post","2021","East Surrey","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Surrey","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Surrey","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Surrey","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Surrey","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Surrey","Undeclared","No function","80","70","36140","34750"
"In post","2021","East Surrey","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Surrey","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Surrey","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Surrey","Unknown","No function","180","170","31510","32510"
"In post","2021","East Surrey","Unknown","Unknown","40","30","[c]","[c]"
"In post","2021","East Sussex CC","Heterosexual / straight","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","Heterosexual / straight","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","East Sussex CC","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","Heterosexual / straight","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","Heterosexual / straight","No function","380","360","28630","27590"
"In post","2021","East Sussex CC","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","Heterosexual / straight","Unknown","850","750","25230","27370"
"In post","2021","East Sussex CC","LGBO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","LGBO","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","LGBO","No function","30","30","[c]","[c]"
"In post","2021","East Sussex CC","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","LGBO","Unknown","60","60","24800","26410"
"In post","2021","East Sussex CC","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","Undeclared","No function","60","60","29380","28400"
"In post","2021","East Sussex CC","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","Undeclared","Unknown","110","100","25580","27570"
"In post","2021","East Sussex CC","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","Unknown","No function","90","80","27890","25850"
"In post","2021","East Sussex CC","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Sussex CC","Unknown","Unknown","240","200","24770","26120"
"In post","2021","Enfield","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Enfield","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Enfield","Heterosexual / straight","No function","50","50","27870","26810"
"In post","2021","Enfield","Heterosexual / straight","Unknown","170","160","30870","31060"
"In post","2021","Enfield","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Enfield","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Enfield","LGBO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Enfield","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Enfield","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Enfield","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Enfield","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Enfield","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Enfield","Unknown","Unknown","80","70","30210","31060"
"In post","2021","Essex Haven Gateway","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Essex Haven Gateway","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Essex Haven Gateway","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Essex Haven Gateway","Heterosexual / straight","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Essex Haven Gateway","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Essex Haven Gateway","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Essex Haven Gateway","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Essex Haven Gateway","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Essex Haven Gateway","Heterosexual / straight","No function","60","50","34590","28200"
"In post","2021","Essex Haven Gateway","Heterosexual / straight","Project Delivery","40","40","[c]","[c]"
"In post","2021","Essex Haven Gateway","Heterosexual / straight","Property","50","50","[c]","[c]"
"In post","2021","Essex Haven Gateway","Heterosexual / straight","Security","160","150","41020","41070"
"In post","2021","Essex Haven Gateway","Heterosexual / straight","Unknown","470","440","28900","29290"
"In post","2021","Essex Haven Gateway","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Essex Haven Gateway","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Essex Haven Gateway","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Essex Haven Gateway","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Essex Haven Gateway","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Essex Haven Gateway","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Essex Haven Gateway","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Essex Haven Gateway","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Essex Haven Gateway","LGBO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Essex Haven Gateway","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Essex Haven Gateway","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Essex Haven Gateway","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Essex Haven Gateway","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Essex Haven Gateway","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Essex Haven Gateway","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Essex Haven Gateway","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Essex Haven Gateway","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Essex Haven Gateway","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Essex Haven Gateway","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Essex Haven Gateway","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Essex Haven Gateway","Undeclared","Security","30","30","[c]","[c]"
"In post","2021","Essex Haven Gateway","Undeclared","Unknown","80","70","29350","27880"
"In post","2021","Essex Haven Gateway","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Essex Haven Gateway","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Essex Haven Gateway","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Essex Haven Gateway","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Essex Haven Gateway","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Essex Haven Gateway","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Essex Haven Gateway","Unknown","Unknown","80","70","30260","29290"
"In post","2021","Essex Thames Gateway","Heterosexual / straight","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Essex Thames Gateway","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Essex Thames Gateway","Heterosexual / straight","No function","140","130","25740","22920"
"In post","2021","Essex Thames Gateway","Heterosexual / straight","Unknown","470","430","28540","29290"
"In post","2021","Essex Thames Gateway","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Essex Thames Gateway","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Essex Thames Gateway","LGBO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Essex Thames Gateway","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Essex Thames Gateway","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Essex Thames Gateway","Undeclared","Unknown","60","50","27170","25110"
"In post","2021","Essex Thames Gateway","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Essex Thames Gateway","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Essex Thames Gateway","Unknown","Unknown","190","160","27620","25140"
"In post","2021","Falkirk","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Falkirk","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Falkirk","Heterosexual / straight","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Falkirk","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Falkirk","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Falkirk","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Falkirk","Heterosexual / straight","No function","160","150","30770","30930"
"In post","2021","Falkirk","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Falkirk","Heterosexual / straight","Unknown","780","680","25900","21010"
"In post","2021","Falkirk","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Falkirk","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Falkirk","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Falkirk","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Falkirk","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Falkirk","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Falkirk","LGBO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Falkirk","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Falkirk","LGBO","Unknown","40","30","[c]","[c]"
"In post","2021","Falkirk","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Falkirk","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Falkirk","Undeclared","Legal","40","30","[c]","[c]"
"In post","2021","Falkirk","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Falkirk","Undeclared","Unknown","70","60","26710","27570"
"In post","2021","Falkirk","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Falkirk","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Falkirk","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Falkirk","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Falkirk","Unknown","No function","310","280","31040","33650"
"In post","2021","Falkirk","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Falkirk","Unknown","Unknown","300","240","24680","21010"
"In post","2021","Fermanagh and Omagh","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Fermanagh and Omagh","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Fermanagh and Omagh","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Fermanagh and Omagh","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Fermanagh and Omagh","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Fermanagh and Omagh","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Fermanagh and Omagh","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Fermanagh and Omagh","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Fermanagh and Omagh","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Fermanagh and Omagh","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Fermanagh and Omagh","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Flintshire and Wrexham","Heterosexual / straight","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Flintshire and Wrexham","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Flintshire and Wrexham","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Flintshire and Wrexham","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Flintshire and Wrexham","Heterosexual / straight","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Flintshire and Wrexham","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Flintshire and Wrexham","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Flintshire and Wrexham","Heterosexual / straight","Legal","50","50","39750","38000"
"In post","2021","Flintshire and Wrexham","Heterosexual / straight","No function","650","630","26860","24920"
"In post","2021","Flintshire and Wrexham","Heterosexual / straight","Project Delivery","90","90","27530","27460"
"In post","2021","Flintshire and Wrexham","Heterosexual / straight","Property","50","50","39540","41670"
"In post","2021","Flintshire and Wrexham","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Flintshire and Wrexham","Heterosexual / straight","Unknown","370","340","25670","27570"
"In post","2021","Flintshire and Wrexham","LGBO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Flintshire and Wrexham","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Flintshire and Wrexham","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Flintshire and Wrexham","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Flintshire and Wrexham","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Flintshire and Wrexham","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Flintshire and Wrexham","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Flintshire and Wrexham","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Flintshire and Wrexham","LGBO","No function","40","40","[c]","[c]"
"In post","2021","Flintshire and Wrexham","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Flintshire and Wrexham","LGBO","Property","[c]","[c]","[c]","[c]"
