"Status","Year","Sex","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Office for Standards in Education","Social Research","40","30","[c]","[c]"
"In post","2021","Female","Office for Standards in Education","Statistics","50","40","[c]","[c]"
"In post","2021","Female","Office of Gas and Electricity Markets","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Gas and Electricity Markets","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Gas and Electricity Markets","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Gas and Electricity Markets","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Gas and Electricity Markets","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Gas and Electricity Markets","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Gas and Electricity Markets","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Gas and Electricity Markets","Legal","50","50","59400","62300"
"In post","2021","Female","Office of Gas and Electricity Markets","Operational Delivery","80","70","31760","27010"
"In post","2021","Female","Office of Gas and Electricity Markets","Other","250","240","41370","35760"
"In post","2021","Female","Office of Gas and Electricity Markets","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Gas and Electricity Markets","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Gas and Electricity Markets","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Gas and Electricity Markets","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","Operational Delivery","60","50","41510","38000"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","Operational Delivery","60","50","45370","43090"
"In post","2021","Female","Office of Rail and Road","Policy","30","30","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other Cabinet Office Agencies","Commercial","190","180","33690","33340"
"In post","2021","Female","Other Cabinet Office Agencies","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other Cabinet Office Agencies","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Female","Other Cabinet Office Agencies","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other Cabinet Office Agencies","Human Resources","40","40","[c]","[c]"
"In post","2021","Female","Other Cabinet Office Agencies","Operational Delivery","110","110","39820","38340"
"In post","2021","Female","Other Cabinet Office Agencies","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other Cabinet Office Agencies","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other Cabinet Office Agencies","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other Cabinet Office Agencies","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other Cabinet Office Agencies","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland Office","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland Office","Unknown","50","50","[c]","[c]"
"In post","2021","Female","Scottish Government","Commercial","40","40","[c]","[c]"
"In post","2021","Female","Scottish Government","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scottish Government","Digital, Data and Technology","50","40","[c]","[c]"
"In post","2021","Female","Scottish Government","Finance","100","100","34650","30930"
"In post","2021","Female","Scottish Government","Human Resources","150","140","34400","32890"
"In post","2021","Female","Scottish Government","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scottish Government","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scottish Government","Legal","470","430","53150","52490"
"In post","2021","Female","Scottish Government","Operational Delivery","3510","3220","27810","25870"
"In post","2021","Female","Scottish Government","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scottish Government","Other","270","240","29080","25870"
"In post","2021","Female","Scottish Government","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scottish Government","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scottish Government","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scottish Government","Psychology","60","60","37340","33650"
"In post","2021","Female","Scottish Government","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scottish Government","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scottish Government","Unknown","6790","6370","39640","35110"
"In post","2021","Female","The National Archives","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","The National Archives","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","The National Archives","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Female","The National Archives","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","The National Archives","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","The National Archives","Knowledge and Information Management","50","50","[c]","[c]"
"In post","2021","Female","The National Archives","Operational Delivery","100","90","29990","28460"
"In post","2021","Female","The National Archives","Other","40","40","[c]","[c]"
"In post","2021","Female","The National Archives","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","The National Archives","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Export Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Export Finance","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Export Finance","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Export Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Export Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Export Finance","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Export Finance","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Export Finance","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Export Finance","Operational Delivery","90","80","46370","41620"
"In post","2021","Female","UK Export Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Export Finance","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Supreme Court","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Supreme Court","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Supreme Court","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Supreme Court","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Supreme Court","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Supreme Court","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Supreme Court","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Supreme Court","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","United Kingdom Statistics Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","United Kingdom Statistics Authority","Communications","50","50","36130","30500"
"In post","2021","Female","United Kingdom Statistics Authority","Digital, Data and Technology","200","200","40370","36310"
"In post","2021","Female","United Kingdom Statistics Authority","Economics","60","50","34210","32290"
"In post","2021","Female","United Kingdom Statistics Authority","Finance","40","30","[c]","[c]"
"In post","2021","Female","United Kingdom Statistics Authority","Human Resources","130","110","36940","31090"
"In post","2021","Female","United Kingdom Statistics Authority","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","United Kingdom Statistics Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","United Kingdom Statistics Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","United Kingdom Statistics Authority","Operational Delivery","1800","1480","26340","23050"
"In post","2021","Female","United Kingdom Statistics Authority","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","United Kingdom Statistics Authority","Policy","40","30","[c]","[c]"
"In post","2021","Female","United Kingdom Statistics Authority","Project Delivery","150","150","39170","36030"
"In post","2021","Female","United Kingdom Statistics Authority","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","United Kingdom Statistics Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","United Kingdom Statistics Authority","Social Research","340","310","37320","37020"
"In post","2021","Female","United Kingdom Statistics Authority","Statistics","270","260","41050","37020"
"In post","2021","Female","Wales Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Wales Office","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Wales Office","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Wales Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Wales Office","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Wales Office","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Wales Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Wales Office","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Water Services Regulation Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Water Services Regulation Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Water Services Regulation Authority","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Water Services Regulation Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Water Services Regulation Authority","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Water Services Regulation Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Water Services Regulation Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Water Services Regulation Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Water Services Regulation Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Water Services Regulation Authority","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Water Services Regulation Authority","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","Water Services Regulation Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Water Services Regulation Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Water Services Regulation Authority","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Water Services Regulation Authority","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Female","Water Services Regulation Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Welsh Government","Communications","90","80","39550","37410"
"In post","2021","Female","Welsh Government","Digital, Data and Technology","70","60","39730","37410"
"In post","2021","Female","Welsh Government","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Welsh Government","Finance","200","180","40490","37410"
"In post","2021","Female","Welsh Government","Human Resources","150","140","35500","34490"
"In post","2021","Female","Welsh Government","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Welsh Government","Knowledge and Information Management","60","50","32100","28850"
"In post","2021","Female","Welsh Government","Legal","100","100","56330","60830"
"In post","2021","Female","Welsh Government","Medicine","110","100","45480","37410"
"In post","2021","Female","Welsh Government","Operational Delivery","960","870","34960","28850"
"In post","2021","Female","Welsh Government","Other","410","390","40640","37410"
"In post","2021","Female","Welsh Government","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","Welsh Government","Policy","950","890","41630","37410"
"In post","2021","Female","Welsh Government","Project Delivery","50","40","[c]","[c]"
"In post","2021","Female","Welsh Government","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Welsh Government","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Female","Welsh Government","Social Research","120","120","44820","47000"
"In post","2021","Female","Welsh Government","Statistics","50","40","[c]","[c]"
"In post","2021","Female","Welsh Government","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Female","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Welsh Government","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Male","Attorney General's Departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Attorney General's Departments","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Attorney General's Departments","Counter Fraud","170","170","47030","41140"
"In post","2021","Male","Attorney General's Departments","Digital, Data and Technology","100","100","41400","38540"
"In post","2021","Male","Attorney General's Departments","Finance","60","60","39470","31560"
"In post","2021","Male","Attorney General's Departments","Human Resources","60","60","38340","31880"
"In post","2021","Male","Attorney General's Departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Attorney General's Departments","Legal","1960","1910","58280","55610"
"In post","2021","Male","Attorney General's Departments","Operational Delivery","840","820","28050","25820"
"In post","2021","Male","Attorney General's Departments","Other","170","160","33620","27650"
"In post","2021","Male","Attorney General's Departments","Policy","30","30","[c]","[c]"
"In post","2021","Male","Attorney General's Departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Attorney General's Departments","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","Attorney General's Departments","Security","[c]","[c]","[c]","[c]"
"In post","2021","Male","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Cabinet Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Cabinet Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Cabinet Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Cabinet Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Cabinet Office","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Male","Cabinet Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Cabinet Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Cabinet Office","Other","[c]","[c]","[c]","[c]"
"In post","2021","Male","Cabinet Office","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Male","Cabinet Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Cabinet Office","Unknown","4370","4330","49330","40600"
"In post","2021","Male","Chancellor's other departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chancellor's other departments","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chancellor's other departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chancellor's other departments","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chancellor's other departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chancellor's other departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chancellor's other departments","Other","160","150","68700","57250"
"In post","2021","Male","Chancellor's other departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chancellor's other departments","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chancellor's other departments","Security","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chancellor's other departments","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Charity Commission","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Charity Commission","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Male","Charity Commission","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Charity Commission","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Male","Charity Commission","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Male","Charity Commission","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Male","Charity Commission","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Charity Commission","Other","[c]","[c]","[c]","[c]"
"In post","2021","Male","Charity Commission","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Male","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2021","Male","Charity Commission","Unknown","80","80","33920","29160"
"In post","2021","Male","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Competition and Markets Authority","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Competition and Markets Authority","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Male","Competition and Markets Authority","Economics","50","50","64140","61650"
"In post","2021","Male","Competition and Markets Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Competition and Markets Authority","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Male","Competition and Markets Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Competition and Markets Authority","Legal","60","50","72010","74480"
"In post","2021","Male","Competition and Markets Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Male","Competition and Markets Authority","Project Delivery","170","170","62970","59260"
"In post","2021","Male","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","Male","Competition and Markets Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","Commercial","120","120","45830","47140"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","Communications","110","100","43410","39650"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","Counter Fraud","160","150","39700","38510"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","720","720","41230","39040"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","Economics","200","200","46790","39640"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","Finance","160","160","47900","44790"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","Human Resources","120","110","44080","41230"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","Legal","40","40","[c]","[c]"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","Operational Delivery","1720","1670","32830","28240"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","Other","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","Policy","2050","2030","50930","53380"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","Project Delivery","210","210","44860","41530"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","Science and Engineering","930","890","43910","40940"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","Security","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","Statistics","40","40","[c]","[c]"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","Economics","60","60","52650","47630"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","Finance","40","40","[c]","[c]"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","Other","30","30","[c]","[c]"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","Policy","480","470","48860","51730"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","Project Delivery","100","100","51120","51730"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","Security","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Education","Commercial","190","190","41820","38000"
"In post","2021","Male","Department for Education","Communications","120","120","40530","36780"
"In post","2021","Male","Department for Education","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Education","Digital, Data and Technology","490","490","39530","36780"
"In post","2021","Male","Department for Education","Finance","370","370","43510","40140"
"In post","2021","Male","Department for Education","Human Resources","30","30","[c]","[c]"
"In post","2021","Male","Department for Education","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Education","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Education","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Education","Operational Delivery","620","620","42230","37100"
"In post","2021","Male","Department for Education","Other","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Education","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Education","Policy","1060","1040","47480","44910"
"In post","2021","Male","Department for Education","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Education","Property","320","310","53270","54600"
"In post","2021","Male","Department for Education","Security","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","Commercial","60","60","42150","38600"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","Communications","90","90","42310","38750"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","420","420","43960","44760"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","Economics","100","100","44580","47550"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","Finance","200","200","46150","42730"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","Human Resources","70","70","42350","38420"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","Operational Delivery","1590","1540","28120","25190"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","Other","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","Policy","1080","1070","43250","38750"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","Project Delivery","190","190","39610","36520"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","Property","180","180","40020","36520"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","Science and Engineering","610","590","36700","33580"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","Statistics","40","40","[c]","[c]"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","Veterinarian","160","160","47400","48560"
"In post","2021","Male","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for International Trade","Communications","60","60","43980","38540"
"In post","2021","Male","Department for International Trade","Digital, Data and Technology","60","60","49660","44980"
"In post","2021","Male","Department for International Trade","Economics","100","100","43910","32330"
"In post","2021","Male","Department for International Trade","Finance","50","50","[c]","[c]"
"In post","2021","Male","Department for International Trade","Human Resources","40","40","[c]","[c]"
