"Status","Year","Organisation","Disability","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Social Security Scotland","Declared non-disabled","EO","440","430","27730","27230"
"In post","2022","Social Security Scotland","Declared non-disabled","G6/G7","100","100","60900","61190"
"In post","2022","Social Security Scotland","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Social Security Scotland","Declared non-disabled","SEO/HEO","400","390","36270","34600"
"In post","2022","Social Security Scotland","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Social Security Scotland","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2022","Social Security Scotland","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Social Security Scotland","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Social Security Scotland","Unknown","AA/AO","340","320","21880","21050"
"In post","2022","Social Security Scotland","Unknown","EO","310","300","27520","27230"
"In post","2022","Social Security Scotland","Unknown","G6/G7","70","60","63770","65280"
"In post","2022","Social Security Scotland","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Social Security Scotland","Unknown","SEO/HEO","180","180","36360","33070"
"In post","2022","Standards and Testing Agency","Declared disabled","EO","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","Declared non-disabled","EO","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","Declared non-disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","Declared non-disabled","SEO/HEO","50","40","[c]","[c]"
"In post","2022","Standards and Testing Agency","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Standards and Testing Agency","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","Declared disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","Declared disabled","EO","[c]","[c]","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","Declared non-disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","Declared non-disabled","EO","[c]","[c]","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","Declared non-disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","Declared non-disabled","SEO/HEO","30","30","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","Unknown","AA/AO","60","60","23130","23230"
"In post","2022","Student Awards Agency for Scotland","Unknown","EO","40","30","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Student Awards Agency for Scotland","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Submarine Delivery Agency","Declared disabled","Unknown","200","200","39380","37400"
"In post","2022","Submarine Delivery Agency","Declared non-disabled","Unknown","1390","1360","41140","39230"
"In post","2022","Submarine Delivery Agency","Undeclared","Unknown","130","130","43690","41370"
"In post","2022","Submarine Delivery Agency","Unknown","Unknown","230","220","40560","37900"
"In post","2022","Teaching Regulation Agency","Declared disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","Declared disabled","EO","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","Declared non-disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","Declared non-disabled","EO","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","Declared non-disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","Declared non-disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Teaching Regulation Agency","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","The Insolvency Service","Declared disabled","AA/AO","60","60","21390","21130"
"In post","2022","The Insolvency Service","Declared disabled","EO","[c]","[c]","[c]","[c]"
"In post","2022","The Insolvency Service","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","The Insolvency Service","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2022","The Insolvency Service","Declared disabled","SEO/HEO","90","80","38840","39490"
"In post","2022","The Insolvency Service","Declared non-disabled","AA/AO","290","260","21610","21130"
"In post","2022","The Insolvency Service","Declared non-disabled","EO","130","120","26260","26290"
"In post","2022","The Insolvency Service","Declared non-disabled","G6/G7","90","80","59270","56310"
"In post","2022","The Insolvency Service","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2022","The Insolvency Service","Declared non-disabled","SEO/HEO","540","510","38840","39490"
"In post","2022","The Insolvency Service","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","The Insolvency Service","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2022","The Insolvency Service","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","The Insolvency Service","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","The Insolvency Service","Unknown","AA/AO","220","210","21250","21130"
"In post","2022","The Insolvency Service","Unknown","EO","50","50","[c]","[c]"
"In post","2022","The Insolvency Service","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","The Insolvency Service","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2022","The Insolvency Service","Unknown","SEO/HEO","150","140","34800","34050"
"In post","2022","The National Archives","Declared disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","Declared disabled","EO","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","Declared non-disabled","AA/AO","40","40","[c]","[c]"
"In post","2022","The National Archives","Declared non-disabled","EO","50","40","[c]","[c]"
"In post","2022","The National Archives","Declared non-disabled","G6/G7","70","60","52670","51130"
"In post","2022","The National Archives","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","Declared non-disabled","SEO/HEO","200","200","35900","34770"
"In post","2022","The National Archives","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","Unknown","AA/AO","40","40","[c]","[c]"
"In post","2022","The National Archives","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","Unknown","SEO/HEO","80","80","36380","34770"
"In post","2022","Transport Scotland","Declared disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Transport Scotland","Declared disabled","EO","[c]","[c]","[c]","[c]"
"In post","2022","Transport Scotland","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Transport Scotland","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Transport Scotland","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Transport Scotland","Declared non-disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Transport Scotland","Declared non-disabled","EO","[c]","[c]","[c]","[c]"
"In post","2022","Transport Scotland","Declared non-disabled","G6/G7","90","90","64720","64180"
"In post","2022","Transport Scotland","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Transport Scotland","Declared non-disabled","SEO/HEO","130","130","40090","39660"
"In post","2022","Transport Scotland","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Transport Scotland","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Transport Scotland","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Transport Scotland","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Transport Scotland","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Transport Scotland","Unknown","G6/G7","50","50","62940","62170"
"In post","2022","Transport Scotland","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Transport Scotland","Unknown","SEO/HEO","110","110","41730","40810"
"In post","2022","UK Debt Management Office","Declared disabled","EO","[c]","[c]","[c]","[c]"
"In post","2022","UK Debt Management Office","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","UK Debt Management Office","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2022","UK Debt Management Office","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","UK Debt Management Office","Declared non-disabled","EO","[c]","[c]","[c]","[c]"
"In post","2022","UK Debt Management Office","Declared non-disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","UK Debt Management Office","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2022","UK Debt Management Office","Declared non-disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","UK Debt Management Office","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","UK Debt Management Office","Unknown","G6/G7","60","50","72070","67260"
"In post","2022","UK Debt Management Office","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2022","UK Debt Management Office","Unknown","SEO/HEO","50","40","[c]","[c]"
"In post","2022","UK Export Finance","Declared disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","Declared disabled","EO","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","Declared non-disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","Declared non-disabled","EO","50","50","29380","29000"
"In post","2022","UK Export Finance","Declared non-disabled","G6/G7","150","140","65680","64180"
"In post","2022","UK Export Finance","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","Declared non-disabled","SEO/HEO","210","200","41810","41250"
"In post","2022","UK Export Finance","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","UK Health Security Agency","Declared disabled","AA/AO","60","50","21380","20400"
"In post","2022","UK Health Security Agency","Declared disabled","EO","40","40","[c]","[c]"
"In post","2022","UK Health Security Agency","Declared disabled","G6/G7","60","60","57770","53860"
"In post","2022","UK Health Security Agency","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2022","UK Health Security Agency","Declared disabled","SEO/HEO","150","140","35460","35840"
"In post","2022","UK Health Security Agency","Declared non-disabled","AA/AO","530","460","21430","20880"
"In post","2022","UK Health Security Agency","Declared non-disabled","EO","610","560","25700","25800"
"In post","2022","UK Health Security Agency","Declared non-disabled","G6/G7","760","720","58490","53860"
"In post","2022","UK Health Security Agency","Declared non-disabled","SCS","180","150","105210","101390"
"In post","2022","UK Health Security Agency","Declared non-disabled","SEO/HEO","1630","1520","35550","36330"
"In post","2022","UK Health Security Agency","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","UK Health Security Agency","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2022","UK Health Security Agency","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","UK Health Security Agency","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2022","UK Health Security Agency","Undeclared","SEO/HEO","30","30","[c]","[c]"
"In post","2022","UK Health Security Agency","Unknown","AA/AO","140","120","22040","22270"
"In post","2022","UK Health Security Agency","Unknown","EO","270","260","27470","27270"
"In post","2022","UK Health Security Agency","Unknown","G6/G7","890","870","58520","55120"
"In post","2022","UK Health Security Agency","Unknown","SCS","210","200","105770","102850"
"In post","2022","UK Health Security Agency","Unknown","SEO/HEO","990","940","37060","36820"
"In post","2022","UK Hydrographic Office","Declared disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","UK Hydrographic Office","Declared disabled","EO","[c]","[c]","[c]","[c]"
"In post","2022","UK Hydrographic Office","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","UK Hydrographic Office","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2022","UK Hydrographic Office","Declared disabled","SEO/HEO","30","30","[c]","[c]"
"In post","2022","UK Hydrographic Office","Declared non-disabled","AA/AO","50","50","20600","20420"
"In post","2022","UK Hydrographic Office","Declared non-disabled","EO","120","120","27700","26740"
"In post","2022","UK Hydrographic Office","Declared non-disabled","G6/G7","50","50","[c]","[c]"
"In post","2022","UK Hydrographic Office","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2022","UK Hydrographic Office","Declared non-disabled","SEO/HEO","300","290","37630","34000"
"In post","2022","UK Hydrographic Office","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","UK Hydrographic Office","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2022","UK Hydrographic Office","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","UK Hydrographic Office","Undeclared","SEO/HEO","40","30","[c]","[c]"
"In post","2022","UK Hydrographic Office","Unknown","AA/AO","40","40","[c]","[c]"
"In post","2022","UK Hydrographic Office","Unknown","EO","70","60","27620","26740"
"In post","2022","UK Hydrographic Office","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","UK Hydrographic Office","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2022","UK Hydrographic Office","Unknown","SEO/HEO","130","120","38250","33590"
"In post","2022","UK Space Agency","Declared disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","UK Space Agency","Declared disabled","EO","[c]","[c]","[c]","[c]"
"In post","2022","UK Space Agency","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","UK Space Agency","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2022","UK Space Agency","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","UK Space Agency","Declared non-disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","UK Space Agency","Declared non-disabled","EO","[c]","[c]","[c]","[c]"
"In post","2022","UK Space Agency","Declared non-disabled","G6/G7","50","50","54770","53380"
"In post","2022","UK Space Agency","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2022","UK Space Agency","Declared non-disabled","SEO/HEO","60","60","37160","37670"
"In post","2022","UK Space Agency","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","UK Space Agency","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","UK Space Agency","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","UK Space Agency","Unknown","G6/G7","50","50","[c]","[c]"
"In post","2022","UK Space Agency","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2022","UK Space Agency","Unknown","SEO/HEO","50","50","[c]","[c]"
"In post","2022","UK Statistics Authority","Declared disabled","AA/AO","160","110","20210","20350"
"In post","2022","UK Statistics Authority","Declared disabled","EO","80","70","25110","23880"
"In post","2022","UK Statistics Authority","Declared disabled","G6/G7","80","80","53720","51210"
"In post","2022","UK Statistics Authority","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2022","UK Statistics Authority","Declared disabled","SEO/HEO","270","250","34760","34190"
"In post","2022","UK Statistics Authority","Declared non-disabled","AA/AO","670","480","20350","20350"
"In post","2022","UK Statistics Authority","Declared non-disabled","EO","370","330","24690","23880"
"In post","2022","UK Statistics Authority","Declared non-disabled","G6/G7","650","630","54070","51210"
"In post","2022","UK Statistics Authority","Declared non-disabled","SCS","50","50","82020","73970"
"In post","2022","UK Statistics Authority","Declared non-disabled","SEO/HEO","1200","1140","34400","33710"
"In post","2022","UK Statistics Authority","Undeclared","AA/AO","60","40","20240","20350"
"In post","2022","UK Statistics Authority","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2022","UK Statistics Authority","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","UK Statistics Authority","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2022","UK Statistics Authority","Undeclared","SEO/HEO","50","50","34090","33360"
"In post","2022","UK Statistics Authority","Unknown","AA/AO","630","460","20380","19860"
"In post","2022","UK Statistics Authority","Unknown","EO","280","270","24330","23880"
"In post","2022","UK Statistics Authority","Unknown","G6/G7","340","330","53410","50210"
"In post","2022","UK Statistics Authority","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2022","UK Statistics Authority","Unknown","SEO/HEO","950","930","34190","33710"
"In post","2022","UK Supreme Court","Declared disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","Declared disabled","EO","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","Declared non-disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","Declared non-disabled","EO","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","Declared non-disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","Declared non-disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Valuation Office Agency","Declared disabled","AA/AO","70","70","22220","22010"
"In post","2022","Valuation Office Agency","Declared disabled","EO","70","70","27530","27000"
"In post","2022","Valuation Office Agency","Declared disabled","G6/G7","30","30","[c]","[c]"
"In post","2022","Valuation Office Agency","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Valuation Office Agency","Declared disabled","SEO/HEO","110","100","38370","36960"
"In post","2022","Valuation Office Agency","Declared non-disabled","AA/AO","450","400","22500","22040"
"In post","2022","Valuation Office Agency","Declared non-disabled","EO","630","570","27610","27000"
"In post","2022","Valuation Office Agency","Declared non-disabled","G6/G7","370","350","59450","57150"
"In post","2022","Valuation Office Agency","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Valuation Office Agency","Declared non-disabled","SEO/HEO","1040","980","39050","38870"
"In post","2022","Valuation Office Agency","Undeclared","AA/AO","50","50","22950","22040"
"In post","2022","Valuation Office Agency","Undeclared","EO","80","70","28090","27000"
"In post","2022","Valuation Office Agency","Undeclared","G6/G7","40","40","[c]","[c]"
"In post","2022","Valuation Office Agency","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Valuation Office Agency","Undeclared","SEO/HEO","130","120","39770","38250"
"In post","2022","Valuation Office Agency","Unknown","AA/AO","270","260","22000","22010"
"In post","2022","Valuation Office Agency","Unknown","EO","230","230","26640","26030"
"In post","2022","Valuation Office Agency","Unknown","G6/G7","30","30","[c]","[c]"
"In post","2022","Valuation Office Agency","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Valuation Office Agency","Unknown","SEO/HEO","230","230","37210","35780"
"In post","2022","Vehicle Certification Agency","Declared disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Vehicle Certification Agency","Declared disabled","EO","[c]","[c]","[c]","[c]"
"In post","2022","Vehicle Certification Agency","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Vehicle Certification Agency","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Vehicle Certification Agency","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Vehicle Certification Agency","Declared non-disabled","AA/AO","40","40","[c]","[c]"
"In post","2022","Vehicle Certification Agency","Declared non-disabled","EO","30","30","[c]","[c]"
"In post","2022","Vehicle Certification Agency","Declared non-disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Vehicle Certification Agency","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Vehicle Certification Agency","Declared non-disabled","SEO/HEO","90","80","41130","39800"
"In post","2022","Vehicle Certification Agency","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Vehicle Certification Agency","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2022","Vehicle Certification Agency","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Veterinary Medicines Directorate","Declared disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Veterinary Medicines Directorate","Declared disabled","EO","[c]","[c]","[c]","[c]"
"In post","2022","Veterinary Medicines Directorate","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Veterinary Medicines Directorate","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Veterinary Medicines Directorate","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Veterinary Medicines Directorate","Declared non-disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Veterinary Medicines Directorate","Declared non-disabled","EO","[c]","[c]","[c]","[c]"
"In post","2022","Veterinary Medicines Directorate","Declared non-disabled","G6/G7","40","40","[c]","[c]"
"In post","2022","Veterinary Medicines Directorate","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Veterinary Medicines Directorate","Declared non-disabled","SEO/HEO","50","50","[c]","[c]"
"In post","2022","Veterinary Medicines Directorate","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2022","Veterinary Medicines Directorate","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Veterinary Medicines Directorate","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Veterinary Medicines Directorate","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Veterinary Medicines Directorate","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Veterinary Medicines Directorate","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Veterinary Medicines Directorate","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Declared disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Declared disabled","EO","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Declared non-disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Declared non-disabled","EO","30","30","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Declared non-disabled","G6/G7","50","50","82870","78730"
"In post","2022","Water Services Regulation Authority","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Declared non-disabled","SEO/HEO","110","110","47620","46000"
"In post","2022","Water Services Regulation Authority","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Welsh Government (excl. agencies)","Declared disabled","AA/AO","70","60","24230","24630"
"In post","2022","Welsh Government (excl. agencies)","Declared disabled","EO","80","70","28730","29430"
"In post","2022","Welsh Government (excl. agencies)","Declared disabled","G6/G7","50","40","[c]","[c]"
"In post","2022","Welsh Government (excl. agencies)","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Welsh Government (excl. agencies)","Declared disabled","SEO/HEO","150","140","40730","38160"
"In post","2022","Welsh Government (excl. agencies)","Declared non-disabled","AA/AO","690","640","24280","24630"
"In post","2022","Welsh Government (excl. agencies)","Declared non-disabled","EO","930","870","28880","29430"
"In post","2022","Welsh Government (excl. agencies)","Declared non-disabled","G6/G7","950","910","62480","61440"
"In post","2022","Welsh Government (excl. agencies)","Declared non-disabled","SCS","160","150","87280","79340"
"In post","2022","Welsh Government (excl. agencies)","Declared non-disabled","SEO/HEO","2310","2190","41530","38160"
"In post","2022","Welsh Government (excl. agencies)","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Welsh Government (excl. agencies)","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2022","Welsh Government (excl. agencies)","Undeclared","G6/G7","40","40","[c]","[c]"
"In post","2022","Welsh Government (excl. agencies)","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Welsh Government (excl. agencies)","Undeclared","SEO/HEO","90","90","42410","41980"
"In post","2022","Welsh Government (excl. agencies)","Unknown","AA/AO","70","70","23860","24630"
"In post","2022","Welsh Government (excl. agencies)","Unknown","EO","60","60","28370","29430"
