"Status","Year","Disability","Function_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Undeclared","Counter Fraud","G6/G7","110","100","59420","55210"
"In post","2022","Undeclared","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Counter Fraud","SEO/HEO","350","340","36380","34390"
"In post","2022","Undeclared","Debt","AA/AO","250","220","21790","21260"
"In post","2022","Undeclared","Debt","EO","60","60","28110","27570"
"In post","2022","Undeclared","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","AA/AO","60","60","21900","21380"
"In post","2022","Undeclared","Digital, Data & Technology","EO","220","210","27920","26930"
"In post","2022","Undeclared","Digital, Data & Technology","G6/G7","270","260","58770","56690"
"In post","2022","Undeclared","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","SEO/HEO","630","620","37970","37300"
"In post","2022","Undeclared","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","AA/AO","80","60","21790","21830"
"In post","2022","Undeclared","Finance","EO","120","110","27310","26900"
"In post","2022","Undeclared","Finance","G6/G7","130","130","59250","57860"
"In post","2022","Undeclared","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","SEO/HEO","290","280","37780","36870"
"In post","2022","Undeclared","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Grants Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","AA/AO","100","90","21590","21350"
"In post","2022","Undeclared","Human Resources","EO","130","120","27520","27570"
"In post","2022","Undeclared","Human Resources","G6/G7","100","90","57880","55210"
"In post","2022","Undeclared","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Human Resources","SEO/HEO","280","270","37010","36200"
"In post","2022","Undeclared","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","EO","30","30","[c]","[c]"
"In post","2022","Undeclared","Legal","G6/G7","160","150","63170","64680"
"In post","2022","Undeclared","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","SEO/HEO","80","70","40820","37470"
"In post","2022","Undeclared","No function","AA/AO","6630","5880","25060","22080"
"In post","2022","Undeclared","No function","EO","4280","4000","28990","27570"
"In post","2022","Undeclared","No function","G6/G7","1130","1100","59090","55660"
"In post","2022","Undeclared","No function","SCS","130","120","84750","79510"
"In post","2022","Undeclared","No function","SEO/HEO","3140","3010","37870","36720"
"In post","2022","Undeclared","No function","Unknown","760","710","31030","28690"
"In post","2022","Undeclared","Project Delivery","AA/AO","30","30","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","EO","150","140","25360","26280"
"In post","2022","Undeclared","Project Delivery","G6/G7","320","310","57900","55210"
"In post","2022","Undeclared","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","SEO/HEO","760","720","37250","37930"
"In post","2022","Undeclared","Project Delivery","Unknown","110","110","44020","41650"
"In post","2022","Undeclared","Property","AA/AO","100","90","21170","21960"
"In post","2022","Undeclared","Property","EO","140","130","26930","26950"
"In post","2022","Undeclared","Property","G6/G7","100","100","59490","58250"
"In post","2022","Undeclared","Property","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","SEO/HEO","290","280","38600","37300"
"In post","2022","Undeclared","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Security","AA/AO","420","410","28020","22810"
"In post","2022","Undeclared","Security","EO","130","120","35460","33240"
"In post","2022","Undeclared","Security","G6/G7","40","40","[c]","[c]"
"In post","2022","Undeclared","Security","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Security","SEO/HEO","260","260","41070","39200"
"In post","2022","Undeclared","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","AA/AO","910","850","21770","21680"
"In post","2022","Undeclared","Unknown","EO","1050","970","27700","27370"
"In post","2022","Undeclared","Unknown","G6/G7","380","370","62110","60310"
"In post","2022","Undeclared","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","SEO/HEO","1140","1100","37690","37000"
"In post","2022","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Analysis","AA/AO","40","40","[c]","[c]"
"In post","2022","Unknown","Analysis","EO","200","190","26380","26000"
"In post","2022","Unknown","Analysis","G6/G7","530","510","57990","54170"
"In post","2022","Unknown","Analysis","SCS","30","30","[c]","[c]"
"In post","2022","Unknown","Analysis","SEO/HEO","980","960","35530","35460"
"In post","2022","Unknown","Commercial","AA/AO","90","80","23480","22560"
"In post","2022","Unknown","Commercial","EO","170","160","26670","26350"
"In post","2022","Unknown","Commercial","G6/G7","1280","1260","63660","62450"
"In post","2022","Unknown","Commercial","SCS","160","160","110680","111370"
"In post","2022","Unknown","Commercial","SEO/HEO","670","650","37050","37660"
"In post","2022","Unknown","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","AA/AO","130","120","21880","21250"
"In post","2022","Unknown","Communications","EO","1180","1150","26860","26820"
"In post","2022","Unknown","Communications","G6/G7","350","340","58700","55410"
"In post","2022","Unknown","Communications","SCS","40","40","[c]","[c]"
"In post","2022","Unknown","Communications","SEO/HEO","910","890","36260","33370"
"In post","2022","Unknown","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Counter Fraud","AA/AO","320","280","22270","21260"
"In post","2022","Unknown","Counter Fraud","EO","1160","1100","28030","26820"
"In post","2022","Unknown","Counter Fraud","G6/G7","200","190","59140","55310"
"In post","2022","Unknown","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Counter Fraud","SEO/HEO","1050","1010","36410","34350"
"In post","2022","Unknown","Debt","AA/AO","1170","1070","21670","21250"
"In post","2022","Unknown","Debt","EO","210","190","27940","26820"
"In post","2022","Unknown","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Debt","SEO/HEO","40","40","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","AA/AO","180","170","22200","21290"
"In post","2022","Unknown","Digital, Data & Technology","EO","740","720","27850","27130"
"In post","2022","Unknown","Digital, Data & Technology","G6/G7","1130","1110","57970","55210"
"In post","2022","Unknown","Digital, Data & Technology","SCS","60","60","97030","90100"
"In post","2022","Unknown","Digital, Data & Technology","SEO/HEO","2080","2050","37660","36840"
"In post","2022","Unknown","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","AA/AO","420","370","21840","21250"
"In post","2022","Unknown","Finance","EO","360","350","26500","26590"
"In post","2022","Unknown","Finance","G6/G7","420","410","57960","55210"
"In post","2022","Unknown","Finance","SCS","50","50","87460","80640"
"In post","2022","Unknown","Finance","SEO/HEO","900","880","37070","36820"
"In post","2022","Unknown","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","AA/AO","300","270","21870","21260"
"In post","2022","Unknown","Human Resources","EO","420","400","27370","26820"
"In post","2022","Unknown","Human Resources","G6/G7","250","250","58000","55740"
"In post","2022","Unknown","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","SEO/HEO","640","620","35990","35980"
"In post","2022","Unknown","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","SEO/HEO","30","30","[c]","[c]"
"In post","2022","Unknown","Legal","AA/AO","430","400","23060","23720"
"In post","2022","Unknown","Legal","EO","420","400","27600","26970"
"In post","2022","Unknown","Legal","G6/G7","1110","1030","58070","55610"
"In post","2022","Unknown","Legal","SCS","50","50","94120","82720"
"In post","2022","Unknown","Legal","SEO/HEO","370","360","37820","38000"
"In post","2022","Unknown","No function","AA/AO","17040","15630","22800","21640"
"In post","2022","Unknown","No function","EO","10660","10190","29660","28200"
"In post","2022","Unknown","No function","G6/G7","4410","4290","58200","55210"
"In post","2022","Unknown","No function","SCS","700","670","96250","89300"
"In post","2022","Unknown","No function","SEO/HEO","11650","11290","36130","34500"
"In post","2022","Unknown","No function","Unknown","3430","3090","27710","25780"
"In post","2022","Unknown","Project Delivery","AA/AO","80","70","22480","22080"
"In post","2022","Unknown","Project Delivery","EO","540","510","24460","25770"
"In post","2022","Unknown","Project Delivery","G6/G7","1220","1190","58230","55620"
"In post","2022","Unknown","Project Delivery","SCS","80","70","93180","85380"
"In post","2022","Unknown","Project Delivery","SEO/HEO","1710","1640","37250","37930"
"In post","2022","Unknown","Project Delivery","Unknown","190","190","40550","37450"
"In post","2022","Unknown","Property","AA/AO","650","620","22070","21750"
"In post","2022","Unknown","Property","EO","400","390","26860","26350"
"In post","2022","Unknown","Property","G6/G7","220","210","57220","55000"
"In post","2022","Unknown","Property","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Property","SEO/HEO","570","550","37220","36720"
"In post","2022","Unknown","Security","AA/AO","1480","1460","28570","25000"
"In post","2022","Unknown","Security","EO","260","250","30760","27500"
"In post","2022","Unknown","Security","G6/G7","110","100","58390","55640"
"In post","2022","Unknown","Security","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Security","SEO/HEO","370","360","37960","36680"
"In post","2022","Unknown","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","AA/AO","3420","3270","22310","21680"
"In post","2022","Unknown","Unknown","EO","4190","4010","27450","27230"
"In post","2022","Unknown","Unknown","G6/G7","2160","2080","62450","61440"
"In post","2022","Unknown","Unknown","SCS","160","160","94100","84710"
"In post","2022","Unknown","Unknown","SEO/HEO","4230","4110","38810","38160"
"In post","2022","Unknown","Unknown","Unknown","2000","2000","37350","34160"
"Leaver CS","2021","Declared disabled","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Analysis","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Analysis","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Commercial","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Commercial","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Communications","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Communications","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Communications","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Communications","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Debt","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Finance","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Finance","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Grants Management","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Human Resources","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Human Resources","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Internal Audit","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Legal","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Legal","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Legal","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Legal","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","No function","AA/AO","460","400","19890","19830"
"Leaver CS","2021","Declared disabled","No function","EO","140","120","27930","26780"
"Leaver CS","2021","Declared disabled","No function","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","No function","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","No function","SEO/HEO","120","110","35690","33840"
"Leaver CS","2021","Declared disabled","No function","Unknown","140","120","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","SEO/HEO","40","40","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","AA/AO","30","30","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","AA/AO","710","560","21130","21010"
"Leaver CS","2021","Declared disabled","Unknown","EO","600","490","27860","27570"
"Leaver CS","2021","Declared disabled","Unknown","G6/G7","100","90","61730","57460"
"Leaver CS","2021","Declared disabled","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","SEO/HEO","280","250","36310","35110"
"Leaver CS","2021","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Analysis","AA/AO","40","40","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Analysis","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Analysis","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Analysis","SEO/HEO","50","40","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","G6/G7","40","30","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","SEO/HEO","60","60","38490","37430"
"Leaver CS","2021","Declared non-disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","SEO/HEO","70","70","35760","34140"
"Leaver CS","2021","Declared non-disabled","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Debt","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data & Technology","EO","40","40","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data & Technology","G6/G7","50","50","59940","59740"
"Leaver CS","2021","Declared non-disabled","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data & Technology","SEO/HEO","80","80","37970","38360"
"Leaver CS","2021","Declared non-disabled","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","G6/G7","40","40","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","SEO/HEO","70","60","39630","39060"
"Leaver CS","2021","Declared non-disabled","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Grants Management","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","AA/AO","40","40","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","EO","30","30","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","G6/G7","40","40","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","SEO/HEO","70","70","38790","38570"
"Leaver CS","2021","Declared non-disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Internal Audit","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Legal","AA/AO","50","50","23030","23470"
"Leaver CS","2021","Declared non-disabled","Legal","EO","50","40","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Legal","G6/G7","170","140","59170","55610"
"Leaver CS","2021","Declared non-disabled","Legal","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Legal","SEO/HEO","90","70","42310","43160"
"Leaver CS","2021","Declared non-disabled","No function","AA/AO","2640","2370","20390","20100"
"Leaver CS","2021","Declared non-disabled","No function","EO","630","560","26430","26470"
"Leaver CS","2021","Declared non-disabled","No function","G6/G7","360","330","60400","57940"
"Leaver CS","2021","Declared non-disabled","No function","SCS","90","80","107620","104580"
"Leaver CS","2021","Declared non-disabled","No function","SEO/HEO","790","710","37460","35910"
"Leaver CS","2021","Declared non-disabled","No function","Unknown","400","340","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Project Delivery","EO","110","100","23220","22780"
"Leaver CS","2021","Declared non-disabled","Project Delivery","G6/G7","90","80","60000","56840"
"Leaver CS","2021","Declared non-disabled","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Project Delivery","SEO/HEO","260","250","36380","36630"
"Leaver CS","2021","Declared non-disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Property","AA/AO","90","80","21230","21010"
"Leaver CS","2021","Declared non-disabled","Property","EO","90","80","26970","26150"
"Leaver CS","2021","Declared non-disabled","Property","G6/G7","30","30","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Property","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Property","SEO/HEO","100","90","38020","36460"
"Leaver CS","2021","Declared non-disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Security","AA/AO","160","150","27670","22440"
"Leaver CS","2021","Declared non-disabled","Security","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Security","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","AA/AO","3400","2820","21240","21010"
"Leaver CS","2021","Declared non-disabled","Unknown","EO","2450","2050","27870","27570"
"Leaver CS","2021","Declared non-disabled","Unknown","G6/G7","630","550","61840","60830"
"Leaver CS","2021","Declared non-disabled","Unknown","SCS","110","90","90550","84390"
"Leaver CS","2021","Declared non-disabled","Unknown","SEO/HEO","1550","1360","36920","36130"
"Leaver CS","2021","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Analysis","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Commercial","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Communications","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Finance","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Human Resources","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Human Resources","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
