"Status","Year","Profession_of_post","Parent_department","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Internal Audit","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Welsh Government","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Welsh Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Department for International Trade","EO","70","70","26740","26510"
"In post","2021","International Trade","Department for International Trade","G6/G7","580","570","55570","53160"
"In post","2021","International Trade","Department for International Trade","SCS","110","110","85740","75570"
"In post","2021","International Trade","Department for International Trade","SEO/HEO","530","530","35620","35480"
"In post","2021","International Trade","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Department for Transport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Department for Transport","SCS","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","HM Revenue and Customs","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","HM Revenue and Customs","SEO/HEO","110","110","34100","31810"
"In post","2021","International Trade","Wales Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Attorney General's Departments","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Department for Business, Energy and Industrial Strategy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Department for Environment, Food and Rural Affairs","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Department for Environment, Food and Rural Affairs","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Department for International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Department for Transport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Department for Transport","SEO/HEO","50","50","37110","35430"
"In post","2021","Knowledge and Information Management","Department for Work and Pensions","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Department for Work and Pensions","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Department for Work and Pensions","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Department of Health and Social Care","AA/AO","50","40","[c]","[c]"
"In post","2021","Knowledge and Information Management","Department of Health and Social Care","EO","110","100","25780","25080"
"In post","2021","Knowledge and Information Management","Department of Health and Social Care","G6/G7","170","150","56020","53830"
"In post","2021","Knowledge and Information Management","Department of Health and Social Care","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Department of Health and Social Care","SEO/HEO","230","210","36260","36690"
"In post","2021","Knowledge and Information Management","ESTYN","EO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","ESTYN","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Foreign, Commonwealth and Development Office","G6/G7","40","30","[c]","[c]"
"In post","2021","Knowledge and Information Management","Foreign, Commonwealth and Development Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Foreign, Commonwealth and Development Office","SEO/HEO","50","50","39440","38230"
"In post","2021","Knowledge and Information Management","HM Revenue and Customs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","HM Revenue and Customs","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","HM Revenue and Customs","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","HM Revenue and Customs","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Home Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Home Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Home Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Home Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Home Office","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Knowledge and Information Management","Ministry of Defence","AA/AO","190","180","21640","21130"
"In post","2021","Knowledge and Information Management","Ministry of Defence","EO","200","200","27050","26670"
"In post","2021","Knowledge and Information Management","Ministry of Defence","G6/G7","90","90","57920","56410"
"In post","2021","Knowledge and Information Management","Ministry of Defence","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Ministry of Defence","SEO/HEO","410","400","36490","36390"
"In post","2021","Knowledge and Information Management","Ministry of Defence","Unknown","60","60","46980","42000"
"In post","2021","Knowledge and Information Management","Ministry of Housing, Communities and Local Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Ministry of Housing, Communities and Local Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Ministry of Housing, Communities and Local Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Ministry of Housing, Communities and Local Government","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Ministry of Housing, Communities and Local Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Ministry of Justice","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Ministry of Justice","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Ministry of Justice","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Ministry of Justice","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Knowledge and Information Management","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Office for Standards in Education","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Office for Standards in Education","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","The National Archives","EO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","The National Archives","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","The National Archives","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Knowledge and Information Management","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","UK Export Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","UK Supreme Court","EO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","UK Supreme Court","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","United Kingdom Statistics Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","United Kingdom Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","United Kingdom Statistics Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","United Kingdom Statistics Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Welsh Government","AA/AO","30","30","[c]","[c]"
"In post","2021","Knowledge and Information Management","Welsh Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Welsh Government","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Welsh Government","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Legal","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Attorney General's Departments","EO","180","180","29070","29280"
"In post","2021","Legal","Attorney General's Departments","G6/G7","4340","3990","58350","55610"
"In post","2021","Legal","Attorney General's Departments","SCS","270","250","86530","82500"
"In post","2021","Legal","Attorney General's Departments","SEO/HEO","470","450","38970","38760"
"In post","2021","Legal","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Competition and Markets Authority","G6/G7","90","90","68210","72430"
"In post","2021","Legal","Competition and Markets Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department for Business, Energy and Industrial Strategy","G6/G7","50","50","59250","57120"
"In post","2021","Legal","Department for Business, Energy and Industrial Strategy","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department for Business, Energy and Industrial Strategy","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Legal","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department for Education","G6/G7","60","50","59320","61010"
"In post","2021","Legal","Department for Education","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department for International Trade","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department for Transport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department for Work and Pensions","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department for Work and Pensions","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department for Work and Pensions","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department of Health and Social Care","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department of Health and Social Care","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department of Health and Social Care","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Foreign, Commonwealth and Development Office","G6/G7","90","70","62840","61010"
"In post","2021","Legal","Foreign, Commonwealth and Development Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Foreign, Commonwealth and Development Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","HM Land Registry","EO","60","50","27620","27130"
"In post","2021","Legal","HM Land Registry","G6/G7","140","130","64300","65970"
"In post","2021","Legal","HM Land Registry","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Legal","HM Land Registry","SEO/HEO","60","50","36760","33840"
"In post","2021","Legal","HM Revenue and Customs","AA/AO","270","230","21170","20370"
"In post","2021","Legal","HM Revenue and Customs","EO","1610","1550","27210","25560"
"In post","2021","Legal","HM Revenue and Customs","G6/G7","340","320","61210","59160"
"In post","2021","Legal","HM Revenue and Customs","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Legal","HM Revenue and Customs","SEO/HEO","1490","1440","35190","35000"
"In post","2021","Legal","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Ministry of Defence","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Ministry of Defence","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Ministry of Defence","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Ministry of Housing, Communities and Local Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Ministry of Justice","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Ministry of Justice","EO","30","30","[c]","[c]"
"In post","2021","Legal","Ministry of Justice","G6/G7","290","280","59210","57330"
"In post","2021","Legal","Ministry of Justice","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Ministry of Justice","SEO/HEO","990","880","38920","40850"
"In post","2021","Legal","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","National Crime Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","National Crime Agency","G6/G7","40","30","[c]","[c]"
"In post","2021","Legal","National Crime Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Legal","National Crime Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office for Standards in Education","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office for Standards in Education","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office for Standards in Education","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of Gas and Electricity Markets","G6/G7","70","70","62850","63540"
"In post","2021","Legal","Office of Gas and Electricity Markets","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of Gas and Electricity Markets","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of Qualifications and Examinations Regulation","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of Qualifications and Examinations Regulation","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of Rail and Road","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Scottish Government","G6/G7","180","170","66580","68470"
"In post","2021","Legal","Scottish Government","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Scottish Government","SEO/HEO","450","420","47440","51540"
"In post","2021","Legal","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Legal","UK Export Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Legal","UK Export Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","UK Supreme Court","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Legal","UK Supreme Court","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","United Kingdom Statistics Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Water Services Regulation Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Welsh Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Welsh Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Welsh Government","G6/G7","120","110","60430","60830"
"In post","2021","Legal","Welsh Government","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Welsh Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Department for Transport","G6/G7","40","40","[c]","[c]"
"In post","2021","Medicine","Department for Transport","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Department of Health and Social Care","G6/G7","100","90","62660","66580"
"In post","2021","Medicine","Department of Health and Social Care","SCS","410","350","107280","101490"
"In post","2021","Medicine","Department of Health and Social Care","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Medicine","Foreign, Commonwealth and Development Office","G6/G7","40","30","[c]","[c]"
"In post","2021","Medicine","Foreign, Commonwealth and Development Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Foreign, Commonwealth and Development Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Ministry of Defence","AA/AO","320","300","22000","22640"
"In post","2021","Medicine","Ministry of Defence","EO","300","270","30810","30620"
"In post","2021","Medicine","Ministry of Defence","G6/G7","450","380","78030","79780"
"In post","2021","Medicine","Ministry of Defence","SEO/HEO","620","560","38490","37890"
"In post","2021","Medicine","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Welsh Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Welsh Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Welsh Government","G6/G7","50","50","[c]","[c]"
"In post","2021","Medicine","Welsh Government","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Welsh Government","SEO/HEO","70","60","40860","37410"
"In post","2021","Operational Delivery","Attorney General's Departments","AA/AO","1440","1310","22250","21950"
"In post","2021","Operational Delivery","Attorney General's Departments","EO","1170","1070","28120","28430"
"In post","2021","Operational Delivery","Attorney General's Departments","G6/G7","90","90","60220","58590"
"In post","2021","Operational Delivery","Attorney General's Departments","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Attorney General's Departments","SEO/HEO","350","340","34550","33310"
"In post","2021","Operational Delivery","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Cabinet Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Cabinet Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Charity Commission","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Operational Delivery","Department for Business, Energy and Industrial Strategy","AA/AO","1250","1140","21300","20880"
"In post","2021","Operational Delivery","Department for Business, Energy and Industrial Strategy","EO","1080","1020","25410","24500"
"In post","2021","Operational Delivery","Department for Business, Energy and Industrial Strategy","G6/G7","390","380","56960","54310"
"In post","2021","Operational Delivery","Department for Business, Energy and Industrial Strategy","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Business, Energy and Industrial Strategy","SEO/HEO","1380","1310","35980","34500"
"In post","2021","Operational Delivery","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Digital, Culture, Media and Sport","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Education","EO","190","190","26210","26000"
"In post","2021","Operational Delivery","Department for Education","G6/G7","510","490","55540","53760"
"In post","2021","Operational Delivery","Department for Education","SCS","50","50","[c]","[c]"
"In post","2021","Operational Delivery","Department for Education","SEO/HEO","830","800","34810","36500"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","AA/AO","1570","1430","21190","21050"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","EO","1230","1150","25920","25190"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","G6/G7","160","160","54140","52290"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","SEO/HEO","870","830","33380","31900"
"In post","2021","Operational Delivery","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for International Trade","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for International Trade","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","AA/AO","5160","4470","21610","21590"
"In post","2021","Operational Delivery","Department for Transport","EO","3060","2850","28220","26780"
"In post","2021","Operational Delivery","Department for Transport","G6/G7","130","120","60920","58320"
"In post","2021","Operational Delivery","Department for Transport","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","SEO/HEO","950","930","37630","35640"
"In post","2021","Operational Delivery","Department for Work and Pensions","AA/AO","260","220","22080","22160"
"In post","2021","Operational Delivery","Department for Work and Pensions","EO","300","280","28280","28210"
"In post","2021","Operational Delivery","Department for Work and Pensions","G6/G7","300","290","62890","59630"
"In post","2021","Operational Delivery","Department for Work and Pensions","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Work and Pensions","SEO/HEO","850","810","48230","45870"
"In post","2021","Operational Delivery","Department of Health and Social Care","AA/AO","510","430","20910","19640"
