"Status","Year","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Medicine","40","30","[c]","[c]"
"Leaver CS","2021","SCS","Operational Delivery","40","40","[c]","[c]"
"Leaver CS","2021","SCS","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Policy","70","70","90230","81010"
"Leaver CS","2021","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","170","130","98150","86850"
"Leaver CS","2021","SEO/HEO","Commercial","100","90","36720","36780"
"Leaver CS","2021","SEO/HEO","Communications","120","110","36350","35590"
"Leaver CS","2021","SEO/HEO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Digital, Data and Technology","190","180","37950","38000"
"Leaver CS","2021","SEO/HEO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Finance","110","110","39440","37900"
"Leaver CS","2021","SEO/HEO","Human Resources","120","120","38250","38000"
"Leaver CS","2021","SEO/HEO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Intelligence Analysis","30","30","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Knowledge and Information Management","50","40","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Legal","130","100","41270","42460"
"Leaver CS","2021","SEO/HEO","Medicine","80","70","38300","37890"
"Leaver CS","2021","SEO/HEO","Operational Delivery","850","770","37530","36030"
"Leaver CS","2021","SEO/HEO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Other","310","300","35570","35210"
"Leaver CS","2021","SEO/HEO","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Policy","290","280","36740","36750"
"Leaver CS","2021","SEO/HEO","Project Delivery","230","210","37030","37320"
"Leaver CS","2021","SEO/HEO","Property","150","140","38390","37100"
"Leaver CS","2021","SEO/HEO","Psychology","50","40","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Science and Engineering","340","320","36040","35610"
"Leaver CS","2021","SEO/HEO","Security","40","40","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Unknown","2180","1880","36010","35110"
"Leaver CS","2021","SEO/HEO","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Operational Delivery","610","530","[c]","[c]"
"Leaver CS","2021","Unknown","Other","170","170","35750","32700"
"Leaver CS","2021","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","420","390","[c]","[c]"
"Leaver CS","2022","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Counter Fraud","80","60","21620","21260"
"Leaver CS","2022","AA/AO","Digital, Data and Technology","100","100","21170","21170"
"Leaver CS","2022","AA/AO","Economics","70","70","[c]","[c]"
"Leaver CS","2022","AA/AO","Finance","80","70","21880","21630"
"Leaver CS","2022","AA/AO","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Human Resources","120","110","21720","21210"
"Leaver CS","2022","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Knowledge and Information Management","40","40","[c]","[c]"
"Leaver CS","2022","AA/AO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Medicine","50","50","22810","23280"
"Leaver CS","2022","AA/AO","Operational Delivery","10850","9660","21320","21260"
"Leaver CS","2022","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Other","1170","1080","21140","21170"
"Leaver CS","2022","AA/AO","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Policy","100","90","21870","21590"
"Leaver CS","2022","AA/AO","Project Delivery","40","40","[c]","[c]"
"Leaver CS","2022","AA/AO","Property","100","90","19460","19010"
"Leaver CS","2022","AA/AO","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Science and Engineering","190","180","20580","20770"
"Leaver CS","2022","AA/AO","Security","510","500","28660","25540"
"Leaver CS","2022","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Statistics","30","30","[c]","[c]"
"Leaver CS","2022","AA/AO","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Unknown","3740","3170","22130","21260"
"Leaver CS","2022","AA/AO","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Commercial","60","60","25390","25970"
"Leaver CS","2022","EO","Communications","80","60","27440","27460"
"Leaver CS","2022","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Counter Fraud","130","100","27770","27570"
"Leaver CS","2022","EO","Digital, Data and Technology","230","210","27280","26930"
"Leaver CS","2022","EO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Finance","150","120","26180","26670"
"Leaver CS","2022","EO","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Human Resources","130","110","26000","26890"
"Leaver CS","2022","EO","Intelligence Analysis","80","70","27780","27370"
"Leaver CS","2022","EO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","International Trade","40","30","[c]","[c]"
"Leaver CS","2022","EO","Knowledge and Information Management","130","120","25770","25080"
"Leaver CS","2022","EO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Medicine","70","60","30680","31530"
"Leaver CS","2022","EO","Operational Delivery","6140","5410","28010","27570"
"Leaver CS","2022","EO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Other","770","720","26550","27400"
"Leaver CS","2022","EO","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Policy","210","180","27360","27850"
"Leaver CS","2022","EO","Project Delivery","90","80","25740","26150"
"Leaver CS","2022","EO","Property","80","70","26350","26030"
"Leaver CS","2022","EO","Psychology","40","40","[c]","[c]"
"Leaver CS","2022","EO","Science and Engineering","210","200","24770","25190"
"Leaver CS","2022","EO","Security","80","70","35940","42660"
"Leaver CS","2022","EO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Unknown","1790","1570","28080","27570"
"Leaver CS","2022","EO","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Commercial","70","60","58870","58690"
"Leaver CS","2022","G6/G7","Communications","70","50","[c]","[c]"
"Leaver CS","2022","G6/G7","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Digital, Data and Technology","360","340","59480","58090"
"Leaver CS","2022","G6/G7","Economics","40","30","[c]","[c]"
"Leaver CS","2022","G6/G7","Finance","120","110","59060","57020"
"Leaver CS","2022","G6/G7","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Human Resources","100","100","57430","55980"
"Leaver CS","2022","G6/G7","Inspector of Education and Training","70","60","76370","75500"
"Leaver CS","2022","G6/G7","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","International Trade","40","30","[c]","[c]"
"Leaver CS","2022","G6/G7","Knowledge and Information Management","80","70","55740","54070"
"Leaver CS","2022","G6/G7","Legal","340","300","58890","55610"
"Leaver CS","2022","G6/G7","Medicine","70","50","72820","75970"
"Leaver CS","2022","G6/G7","Operational Delivery","800","740","58680","56950"
"Leaver CS","2022","G6/G7","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Other","150","130","62150","60440"
"Leaver CS","2022","G6/G7","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Policy","510","440","58650","57020"
"Leaver CS","2022","G6/G7","Project Delivery","170","160","58880","57460"
"Leaver CS","2022","G6/G7","Property","50","50","59820","58250"
"Leaver CS","2022","G6/G7","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Science and Engineering","260","230","58010","53860"
"Leaver CS","2022","G6/G7","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","880","760","63460","61710"
"Leaver CS","2022","G6/G7","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Legal","30","30","[c]","[c]"
"Leaver CS","2022","SCS","Medicine","120","110","101050","101430"
"Leaver CS","2022","SCS","Operational Delivery","100","90","98360","92900"
"Leaver CS","2022","SCS","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Other","40","40","[c]","[c]"
"Leaver CS","2022","SCS","Policy","90","70","93620","84350"
"Leaver CS","2022","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Unknown","170","150","100150","93000"
"Leaver CS","2022","SEO/HEO","Commercial","230","180","36780","36780"
"Leaver CS","2022","SEO/HEO","Communications","190","180","38010","37390"
"Leaver CS","2022","SEO/HEO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Counter Fraud","60","50","36890","36060"
"Leaver CS","2022","SEO/HEO","Digital, Data and Technology","670","620","38300","37910"
"Leaver CS","2022","SEO/HEO","Economics","60","50","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Finance","280","230","38000","36480"
"Leaver CS","2022","SEO/HEO","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Human Resources","230","210","37450","36630"
"Leaver CS","2022","SEO/HEO","Inspector of Education and Training","50","50","49600","51360"
"Leaver CS","2022","SEO/HEO","Intelligence Analysis","50","50","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Internal Audit","40","40","[c]","[c]"
"Leaver CS","2022","SEO/HEO","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Knowledge and Information Management","190","180","35850","36330"
"Leaver CS","2022","SEO/HEO","Legal","100","90","41750","39960"
"Leaver CS","2022","SEO/HEO","Medicine","120","110","39040","39030"
"Leaver CS","2022","SEO/HEO","Operational Delivery","2170","1950","36960","36130"
"Leaver CS","2022","SEO/HEO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Other","500","460","36880","36310"
"Leaver CS","2022","SEO/HEO","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Policy","700","590","36960","36500"
"Leaver CS","2022","SEO/HEO","Project Delivery","400","380","36880","37410"
"Leaver CS","2022","SEO/HEO","Property","190","170","38980","38660"
"Leaver CS","2022","SEO/HEO","Psychology","50","50","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Science and Engineering","710","650","36880","37280"
"Leaver CS","2022","SEO/HEO","Security","80","80","40980","37190"
"Leaver CS","2022","SEO/HEO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Statistics","40","40","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Unknown","1640","1390","37800","36130"
"Leaver CS","2022","SEO/HEO","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Operational Delivery","1510","1350","32910","28970"
"Leaver CS","2022","Unknown","Other","250","250","36830","33570"
"Leaver CS","2022","Unknown","Project Delivery","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","Science and Engineering","60","60","35890","33450"
"Leaver CS","2022","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","430","290","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Human Resources","40","30","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Operational Delivery","820","780","20790","20880"
"Leaver Dept.","2021","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Other","40","40","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Policy","30","30","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Unknown","1170","1090","21250","21010"
"Leaver Dept.","2021","EO","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Finance","30","30","[c]","[c]"
"Leaver Dept.","2021","EO","Human Resources","50","40","[c]","[c]"
"Leaver Dept.","2021","EO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Operational Delivery","490","480","25460","24890"
"Leaver Dept.","2021","EO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Other","90","90","26010","26960"
"Leaver Dept.","2021","EO","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Policy","190","180","27760","27440"
"Leaver Dept.","2021","EO","Project Delivery","60","60","24590","25370"
"Leaver Dept.","2021","EO","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","1300","1200","27760","27570"
"Leaver Dept.","2021","G6/G7","Commercial","30","30","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Communications","50","50","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Digital, Data and Technology","70","70","58650","55620"
"Leaver Dept.","2021","G6/G7","Economics","60","50","56770","55580"
"Leaver Dept.","2021","G6/G7","Finance","80","80","58650","57540"
"Leaver Dept.","2021","G6/G7","Human Resources","80","70","57260","56330"
"Leaver Dept.","2021","G6/G7","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","International Trade","60","60","55140","53490"
"Leaver Dept.","2021","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Legal","80","80","59230","58490"
"Leaver Dept.","2021","G6/G7","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Operational Delivery","140","140","56150","53760"
"Leaver Dept.","2021","G6/G7","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Other","50","50","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Policy","550","530","56130","53870"
"Leaver Dept.","2021","G6/G7","Project Delivery","110","110","58320","57460"
"Leaver Dept.","2021","G6/G7","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Science and Engineering","30","30","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Unknown","830","690","57510","55650"
"Leaver Dept.","2021","SCS","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Policy","90","80","85990","76550"
"Leaver Dept.","2021","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Unknown","140","110","84800","78070"
"Leaver Dept.","2021","SEO/HEO","Commercial","100","100","35590","34800"
"Leaver Dept.","2021","SEO/HEO","Communications","110","110","38560","38350"
"Leaver Dept.","2021","SEO/HEO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Digital, Data and Technology","90","90","37160","36800"
"Leaver Dept.","2021","SEO/HEO","Economics","60","60","33870","33130"
"Leaver Dept.","2021","SEO/HEO","Finance","90","90","38980","38380"
"Leaver Dept.","2021","SEO/HEO","Human Resources","160","150","35780","34400"
"Leaver Dept.","2021","SEO/HEO","Intelligence Analysis","30","30","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","International Trade","60","60","35320","35630"
"Leaver Dept.","2021","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Operational Delivery","440","430","34350","33210"
"Leaver Dept.","2021","SEO/HEO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Other","120","110","33880","33080"
"Leaver Dept.","2021","SEO/HEO","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Policy","820","800","36200","35070"
"Leaver Dept.","2021","SEO/HEO","Project Delivery","220","220","34620","33540"
"Leaver Dept.","2021","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Science and Engineering","70","70","33250","32370"
"Leaver Dept.","2021","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Statistics","60","50","36250","35110"
"Leaver Dept.","2021","SEO/HEO","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Unknown","1940","1720","34180","32910"
"Leaver Dept.","2021","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Operational Delivery","70","60","[c]","[c]"
"Leaver Dept.","2021","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","110","110","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Finance","30","30","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Human Resources","50","50","22080","21580"
"Leaver Dept.","2022","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
