"Status","Year","Organisation","Function_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Scottish Prison Service","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Prison Service","Property","Unknown","220","220","29580","28870"
"In post","2021","Scottish Prison Service","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Prison Service","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Prison Service","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Public Pensions Agency","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Public Pensions Agency","Unknown","Declared non-disabled","130","120","31000","29190"
"In post","2021","Scottish Public Pensions Agency","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Public Pensions Agency","Unknown","Unknown","120","110","27820","24110"
"In post","2021","Serious Fraud Office","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Counter Fraud","Declared non-disabled","160","160","45370","40000"
"In post","2021","Serious Fraud Office","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Counter Fraud","Unknown","70","70","47590","40310"
"In post","2021","Serious Fraud Office","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Digital, Data & Technology","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Serious Fraud Office","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Legal","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Serious Fraud Office","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","No function","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","No function","Declared non-disabled","60","50","43430","40000"
"In post","2021","Serious Fraud Office","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Social Security Scotland","Unknown","Declared disabled","120","120","28130","24510"
"In post","2021","Social Security Scotland","Unknown","Declared non-disabled","660","650","31670","27150"
"In post","2021","Social Security Scotland","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Social Security Scotland","Unknown","Unknown","330","320","32890","27150"
"In post","2021","Standards and Testing Agency","No function","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Standards and Testing Agency","No function","Declared non-disabled","100","90","43010","41400"
"In post","2021","Standards and Testing Agency","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Standards and Testing Agency","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Standards and Testing Agency","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Standards and Testing Agency","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Student Awards Agency for Scotland","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Student Awards Agency for Scotland","Unknown","Declared non-disabled","80","80","35220","31150"
"In post","2021","Student Awards Agency for Scotland","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Student Awards Agency for Scotland","Unknown","Unknown","150","140","27110","22230"
"In post","2021","Submarine Delivery Agency","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Submarine Delivery Agency","Commercial","Declared non-disabled","100","100","40470","38200"
"In post","2021","Submarine Delivery Agency","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Submarine Delivery Agency","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Submarine Delivery Agency","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Submarine Delivery Agency","Digital, Data & Technology","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Submarine Delivery Agency","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Submarine Delivery Agency","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Submarine Delivery Agency","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Submarine Delivery Agency","Finance","Declared non-disabled","40","30","[c]","[c]"
"In post","2021","Submarine Delivery Agency","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Submarine Delivery Agency","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Submarine Delivery Agency","Human Resources","Declared non-disabled","170","160","37640","32710"
"In post","2021","Submarine Delivery Agency","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Submarine Delivery Agency","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Submarine Delivery Agency","Project Delivery","Declared disabled","120","110","40580","39860"
"In post","2021","Submarine Delivery Agency","Project Delivery","Declared non-disabled","940","930","42020","40000"
"In post","2021","Submarine Delivery Agency","Project Delivery","Undeclared","100","100","44450","43400"
"In post","2021","Submarine Delivery Agency","Project Delivery","Unknown","170","160","42680","40880"
"In post","2021","Teaching Regulation Agency","No function","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Teaching Regulation Agency","No function","Declared non-disabled","50","50","31420","29360"
"In post","2021","Teaching Regulation Agency","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Teaching Regulation Agency","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Teaching Regulation Agency","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Teaching Regulation Agency","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Digital, Data & Technology","Declared non-disabled","70","70","39170","37750"
"In post","2021","The National Archives","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","No function","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","No function","Declared non-disabled","200","200","34570","31280"
"In post","2021","The National Archives","No function","Unknown","110","110","34870","30540"
"In post","2021","The National Archives","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Transport Scotland","Unknown","Declared disabled","50","50","38580","36340"
"In post","2021","Transport Scotland","Unknown","Declared non-disabled","260","250","44870","40930"
"In post","2021","Transport Scotland","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Transport Scotland","Unknown","Unknown","190","180","45010","44160"
"In post","2021","UK Export Finance","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Commercial","Declared non-disabled","190","180","54290","50430"
"In post","2021","UK Export Finance","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Communications","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","UK Export Finance","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Debt","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Debt","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Finance","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","UK Export Finance","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Digital, Data & Technology","Declared non-disabled","100","100","38890","42510"
"In post","2021","UK Hydrographic Office","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Digital, Data & Technology","Unknown","50","50","[c]","[c]"
"In post","2021","UK Hydrographic Office","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","No function","Declared disabled","40","40","[c]","[c]"
"In post","2021","UK Hydrographic Office","No function","Declared non-disabled","340","320","32650","33290"
"In post","2021","UK Hydrographic Office","No function","Undeclared","40","40","[c]","[c]"
"In post","2021","UK Hydrographic Office","No function","Unknown","150","140","32360","33290"
"In post","2021","UK Hydrographic Office","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Digital, Data & Technology","Declared non-disabled","120","120","46530","47000"
"In post","2021","UK Intellectual Property Office","Digital, Data & Technology","Unknown","70","70","40560","39050"
"In post","2021","UK Intellectual Property Office","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Human Resources","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","No function","Declared disabled","60","50","35240","30040"
"In post","2021","UK Intellectual Property Office","No function","Declared non-disabled","710","660","38510","30630"
"In post","2021","UK Intellectual Property Office","No function","Unknown","290","280","29520","23320"
"In post","2021","UK Intellectual Property Office","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Property","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Space Agency","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Space Agency","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Space Agency","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Space Agency","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Space Agency","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Space Agency","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","UK Space Agency","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Space Agency","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Space Agency","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Space Agency","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Space Agency","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Space Agency","Project Delivery","Declared non-disabled","110","100","48890","49100"
"In post","2021","UK Space Agency","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","UK Space Agency","Project Delivery","Unknown","80","80","45510","40220"
"In post","2021","UK Supreme Court","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Legal","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","UK Supreme Court","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Analysis","Declared disabled","150","140","36730","36030"
"In post","2021","United Kingdom Statistics Authority","Analysis","Declared non-disabled","840","790","39570","36960"
"In post","2021","United Kingdom Statistics Authority","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Analysis","Unknown","690","670","34290","32540"
"In post","2021","United Kingdom Statistics Authority","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Communications","Unknown","50","50","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Digital, Data & Technology","Declared disabled","40","40","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Digital, Data & Technology","Declared non-disabled","230","220","43760","49100"
"In post","2021","United Kingdom Statistics Authority","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Digital, Data & Technology","Unknown","320","320","38970","36030"
"In post","2021","United Kingdom Statistics Authority","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Finance","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Human Resources","Declared non-disabled","100","90","39370","36030"
"In post","2021","United Kingdom Statistics Authority","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Human Resources","Unknown","90","80","34310","30320"
"In post","2021","United Kingdom Statistics Authority","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","No function","Declared disabled","260","210","25360","22590"
"In post","2021","United Kingdom Statistics Authority","No function","Declared non-disabled","1220","980","27440","23050"
"In post","2021","United Kingdom Statistics Authority","No function","Undeclared","80","60","23670","19520"
"In post","2021","United Kingdom Statistics Authority","No function","Unknown","1010","840","24300","22130"
"In post","2021","United Kingdom Statistics Authority","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Project Delivery","Declared non-disabled","120","120","41900","36840"
"In post","2021","United Kingdom Statistics Authority","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Project Delivery","Unknown","80","80","38490","36030"
"In post","2021","United Kingdom Statistics Authority","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Valuation Office Agency","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Valuation Office Agency","Analysis","Declared non-disabled","40","30","[c]","[c]"
"In post","2021","Valuation Office Agency","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Valuation Office Agency","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Valuation Office Agency","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Valuation Office Agency","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Valuation Office Agency","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Valuation Office Agency","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Valuation Office Agency","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Valuation Office Agency","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Valuation Office Agency","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Valuation Office Agency","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Valuation Office Agency","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Valuation Office Agency","Finance","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Valuation Office Agency","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Valuation Office Agency","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Valuation Office Agency","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Valuation Office Agency","Human Resources","Declared non-disabled","70","60","42150","39640"
"In post","2021","Valuation Office Agency","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Valuation Office Agency","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Valuation Office Agency","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Valuation Office Agency","Project Delivery","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","Valuation Office Agency","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Valuation Office Agency","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Valuation Office Agency","Property","Declared disabled","220","200","32010","26500"
"In post","2021","Valuation Office Agency","Property","Declared non-disabled","2100","1930","34270","31100"
"In post","2021","Valuation Office Agency","Property","Undeclared","290","260","35540","32100"
"In post","2021","Valuation Office Agency","Property","Unknown","650","610","27730","25500"
"In post","2021","Vehicle Certification Agency","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
