"Status","Year","Ethnicity","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Unknown","HM Treasury (excl. agencies)","HM Treasury","70","70","44260","38540"
"In post","2021","Unknown","Home Office (incl. agencies)","Home Office","1720","1680","31880","25770"
"In post","2021","Unknown","Insolvency Service","Department for Business, Energy and Industrial Strategy","630","600","29350","25060"
"In post","2021","Unknown","Institute for Apprenticeships and Technical Education","Department for Education","30","30","[c]","[c]"
"In post","2021","Unknown","Legal Aid Agency","Ministry of Justice","140","130","23930","19930"
"In post","2021","Unknown","Maritime and Coastguard Agency","Department for Transport","120","120","30340","26590"
"In post","2021","Unknown","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Met Office","Department for Business, Energy and Industrial Strategy","260","250","39400","39650"
"In post","2021","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","3010","2910","33310","30200"
"In post","2021","Unknown","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","230","220","46120","41580"
"In post","2021","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","870","860","41810","36800"
"In post","2021","Unknown","National Crime Agency","National Crime Agency","680","650","41350","39820"
"In post","2021","Unknown","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","National Records of Scotland","Scottish Government","80","80","32810","26160"
"In post","2021","Unknown","Northern Ireland Office","Northern Ireland Office","60","60","40930","36800"
"In post","2021","Unknown","Office for Budget Responsibility","HM Treasury","40","30","[c]","[c]"
"In post","2021","Unknown","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","50","40","[c]","[c]"
"In post","2021","Unknown","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of the Public Guardian","Ministry of Justice","190","170","20800","19930"
"In post","2021","Unknown","Office of the Scottish Charity Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Planning Inspectorate","Ministry of Housing, Communities and Local Government","80","70","38330","40720"
"In post","2021","Unknown","Public Health England","Department of Health and Social Care","160","140","48380","41350"
"In post","2021","Unknown","Registers of Scotland","Scottish Government","170","160","31960","30080"
"In post","2021","Unknown","Revenue Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Royal Fleet Auxiliary","Ministry of Defence","1830","1830","37620","34460"
"In post","2021","Unknown","Rural Payments Agency","Department for Environment, Food and Rural Affairs","750","720","24910","21050"
"In post","2021","Unknown","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","50","50","46000","41250"
"In post","2021","Unknown","Scottish Courts and Tribunals Service","Scottish Government","1670","1510","27550","22820"
"In post","2021","Unknown","Scottish Fiscal Commission","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Scottish Forestry","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Scottish Government (excl. agencies)","Scottish Government","1320","1270","39950","34600"
"In post","2021","Unknown","Scottish Housing Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Scottish Prison Service","Scottish Government","2440","2290","30060","30930"
"In post","2021","Unknown","Scottish Public Pensions Agency","Scottish Government","60","60","29880","24110"
"In post","2021","Unknown","Serious Fraud Office","Attorney General's Departments","120","120","47690","41450"
"In post","2021","Unknown","Social Security Scotland","Scottish Government","210","200","29780","26160"
"In post","2021","Unknown","Standards and Testing Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Student Awards Agency for Scotland","Scottish Government","120","120","25580","22230"
"In post","2021","Unknown","Submarine Delivery Agency","Ministry of Defence","120","120","38550","32790"
"In post","2021","Unknown","Teaching Regulation Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","The National Archives","The National Archives","130","130","34410","30360"
"In post","2021","Unknown","Transport Scotland","Scottish Government","100","90","42020","42190"
"In post","2021","Unknown","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","UK Hydrographic Office","Ministry of Defence","200","190","34360","33290"
"In post","2021","Unknown","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","430","420","34170","27050"
"In post","2021","Unknown","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","United Kingdom Statistics Authority","United Kingdom Statistics Authority","1090","990","30240","29540"
"In post","2021","Unknown","Valuation Office Agency","HM Revenue and Customs","920","850","30320","25930"
"In post","2021","Unknown","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Wales Office","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Water Services Regulation Authority","Water Services Regulation Authority","40","40","[c]","[c]"
"In post","2021","Unknown","Welsh Government (excl. agencies)","Welsh Government","120","110","37080","28850"
"In post","2021","Unknown","Welsh Revenue Authority","Welsh Government","70","70","45660","43760"
"In post","2021","Unknown","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","White","Accountant in Bankruptcy","Scottish Government","90","80","32680","29190"
"In post","2021","White","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","660","600","34680","34390"
"In post","2021","White","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","2160","2040","30650","27860"
"In post","2021","White","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","White","Cabinet Office (excl. agencies)","Cabinet Office","4170","4060","48490","41820"
"In post","2021","White","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","560","530","34030","29750"
"In post","2021","White","Charity Commission","Charity Commission","330","310","34330","29160"
"In post","2021","White","Companies House","Department for Business, Energy and Industrial Strategy","870","800","31140","27460"
"In post","2021","White","Competition and Markets Authority","Competition and Markets Authority","570","550","63720","59520"
"In post","2021","White","Criminal Injuries Compensation Authority","Ministry of Justice","220","200","26700","22710"
"In post","2021","White","Crown Commercial Service","Other Cabinet Office Agencies","580","560","38310","34800"
"In post","2021","White","Crown Office and Procurator Fiscal Service","Scottish Government","1870","1740","35460","29040"
"In post","2021","White","Crown Prosecution Service","Attorney General's Departments","4730","4390","41840","38180"
"In post","2021","White","Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","White","Debt Management Office","HM Treasury","70","70","64930","57280"
"In post","2021","White","Defence Electronics and Components Agency","Ministry of Defence","390","370","28680","28750"
"In post","2021","White","Defence Equipment and Support","Ministry of Defence","8710","8400","36710","33830"
"In post","2021","White","Defence Science and Technology Laboratory","Ministry of Defence","3500","3360","40710","37840"
"In post","2021","White","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","3470","3380","50660","53380"
"In post","2021","White","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","1220","1200","50460","51730"
"In post","2021","White","Department for Education (excl. agencies)","Department for Education","3900","3750","45400","41990"
"In post","2021","White","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","3770","3630","42850","38750"
"In post","2021","White","Department for International Trade","Department for International Trade","1350","1330","47780","48220"
"In post","2021","White","Department for Transport (excl. agencies)","Department for Transport","2040","1980","50740","48770"
"In post","2021","White","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","67210","59760","27520","27570"
"In post","2021","White","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","1330","1290","49700","49530"
"In post","2021","White","Disclosure Scotland","Scottish Government","210","200","29390","24910"
"In post","2021","White","Driver and Vehicle Licensing Agency","Department for Transport","5190","4550","26040","21590"
"In post","2021","White","Driver and Vehicle Standards Agency","Department for Transport","3220","3000","30010","26780"
"In post","2021","White","Education and Skills Funding Agency","Department for Education","1280","1240","42580","37100"
"In post","2021","White","Education Scotland","Scottish Government","210","200","58580","66290"
"In post","2021","White","ESTYN","ESTYN","110","100","57700","74730"
"In post","2021","White","FCDO Services","Foreign, Commonwealth and Development Office","870","840","40790","37870"
"In post","2021","White","Food Standards Agency","Food Standards Agency","1070","1040","37080","32350"
"In post","2021","White","Food Standards Scotland","Scottish Government","140","140","35940","30650"
"In post","2021","White","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","5000","4900","49970","48500"
"In post","2021","White","Forestry and Land Scotland","Scottish Government","900","870","31740","30160"
"In post","2021","White","Government Actuary's Department","Chancellor's other departments","130","120","75230","71620"
"In post","2021","White","Government Internal Audit Agency","HM Treasury","350","330","49010","46350"
"In post","2021","White","Government Legal Department","Attorney General's Departments","1570","1460","55790","52100"
"In post","2021","White","Government Property Agency","Other Cabinet Office Agencies","150","150","52030","51950"
"In post","2021","White","Health and Safety Executive","Department for Work and Pensions","1930","1810","42720","40230"
"In post","2021","White","HM Courts and Tribunals Service","Ministry of Justice","11120","9900","24920","20650"
"In post","2021","White","HM Land Registry","HM Land Registry","4700","4210","31660","27130"
"In post","2021","White","HM Prison and Probation Service","Ministry of Justice","41380","38940","30510","29060"
"In post","2021","White","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","38810","35320","32260","28130"
"In post","2021","White","HM Treasury (excl. agencies)","HM Treasury","1450","1420","48640","52500"
"In post","2021","White","Home Office (incl. agencies)","Home Office","24070","22290","31930","26620"
"In post","2021","White","Insolvency Service","Department for Business, Energy and Industrial Strategy","920","870","35420","33890"
"In post","2021","White","Institute for Apprenticeships and Technical Education","Department for Education","120","120","51370","50590"
"In post","2021","White","Legal Aid Agency","Ministry of Justice","890","830","29300","22990"
"In post","2021","White","Maritime and Coastguard Agency","Department for Transport","910","870","37190","33350"
"In post","2021","White","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","740","710","52560","53100"
"In post","2021","White","Met Office","Department for Business, Energy and Industrial Strategy","1640","1570","40330","39650"
"In post","2021","White","Ministry of Defence (excl. agencies)","Ministry of Defence","30600","29550","31890","27420"
"In post","2021","White","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","1730","1680","47110","43840"
"In post","2021","White","Ministry of Justice (excl. agencies)","Ministry of Justice","3260","3160","43210","39330"
"In post","2021","White","National Crime Agency","National Crime Agency","4130","4040","40360","37560"
"In post","2021","White","National Infrastructure Commission","HM Treasury","40","30","[c]","[c]"
"In post","2021","White","National Records of Scotland","Scottish Government","340","320","34840","32140"
"In post","2021","White","National Savings and Investments","Chancellor's other departments","140","130","52080","45620"
"In post","2021","White","Northern Ireland Office","Northern Ireland Office","90","90","45710","38920"
"In post","2021","White","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","White","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","1520","1470","50410","51360"
"In post","2021","White","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","850","840","44930","38000"
"In post","2021","White","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","200","200","47180","42000"
"In post","2021","White","Office of Rail and Road","Office of Rail and Road","230","220","56920","56000"
"In post","2021","White","Office of the Public Guardian","Ministry of Justice","600","550","23170","21170"
"In post","2021","White","Office of the Scottish Charity Regulator","Scottish Government","40","40","[c]","[c]"
"In post","2021","White","Planning Inspectorate","Ministry of Housing, Communities and Local Government","700","640","44460","47660"
"In post","2021","White","Public Health England","Department of Health and Social Care","4740","4330","44080","38890"
"In post","2021","White","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","40","40","[c]","[c]"
"In post","2021","White","Registers of Scotland","Scottish Government","950","900","33060","30080"
"In post","2021","White","Revenue Scotland","Scottish Government","40","40","[c]","[c]"
"In post","2021","White","Royal Fleet Auxiliary","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","White","Rural Payments Agency","Department for Environment, Food and Rural Affairs","1270","1130","27500","25190"
"In post","2021","White","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","60","60","50850","52480"
"In post","2021","White","Scottish Courts and Tribunals Service","Scottish Government","130","120","32830","29350"
"In post","2021","White","Scottish Fiscal Commission","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","White","Scottish Forestry","Scottish Government","180","170","35600","35330"
"In post","2021","White","Scottish Government (excl. agencies)","Scottish Government","6170","5900","43770","39660"
"In post","2021","White","Scottish Housing Regulator","Scottish Government","40","40","[c]","[c]"
"In post","2021","White","Scottish Prison Service","Scottish Government","1640","1540","33760","33650"
"In post","2021","White","Scottish Public Pensions Agency","Scottish Government","220","200","29600","26160"
"In post","2021","White","Serious Fraud Office","Attorney General's Departments","270","270","47520","41140"
"In post","2021","White","Social Security Scotland","Scottish Government","880","850","31960","27150"
"In post","2021","White","Standards and Testing Agency","Department for Education","90","80","45080","42220"
"In post","2021","White","Student Awards Agency for Scotland","Scottish Government","110","110","34190","30650"
"In post","2021","White","Submarine Delivery Agency","Ministry of Defence","1470","1440","41740","39860"
"In post","2021","White","Teaching Regulation Agency","Department for Education","50","40","[c]","[c]"
"In post","2021","White","The National Archives","The National Archives","340","320","36670","34260"
"In post","2021","White","Transport Scotland","Scottish Government","380","370","45130","42190"
"In post","2021","White","UK Export Finance","UK Export Finance","260","260","56280","50430"
"In post","2021","White","UK Hydrographic Office","Ministry of Defence","580","560","34870","33290"
"In post","2021","White","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","980","920","39140","39040"
"In post","2021","White","UK Space Agency","Department for Business, Energy and Industrial Strategy","140","140","48290","49080"
"In post","2021","White","UK Supreme Court","UK Supreme Court","40","40","[c]","[c]"
"In post","2021","White","United Kingdom Statistics Authority","United Kingdom Statistics Authority","4070","3630","33240","29540"
"In post","2021","White","Valuation Office Agency","HM Revenue and Customs","2120","1970","34930","32100"
"In post","2021","White","Vehicle Certification Agency","Department for Transport","170","160","35940","34290"
"In post","2021","White","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","120","120","43120","39510"
"In post","2021","White","Wales Office","Wales Office","30","30","[c]","[c]"
"In post","2021","White","Water Services Regulation Authority","Water Services Regulation Authority","170","160","60570","53120"
"In post","2021","White","Welsh Government (excl. agencies)","Welsh Government","5200","4910","41080","37410"
"In post","2021","White","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","White","Wilton Park","Foreign, Commonwealth and Development Office","80","70","33860","28680"
"In post","2022","Asian","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","60","50","34320","30950"
"In post","2022","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","80","80","28280","27960"
"In post","2022","Asian","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Cabinet Office","510","500","45500","40600"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Competition and Markets Authority","110","110","49170","42290"
"In post","2022","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","Cabinet Office","30","30","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","60","60","38030","35540"
"In post","2022","Asian","Crown Prosecution Service","Attorney General's Departments","700","650","40230","36240"
"In post","2022","Asian","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","Ministry of Defence","350","330","33960","31950"
"In post","2022","Asian","Defence Science and Technology Laboratory","Ministry of Defence","60","60","42790","38510"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","620","620","43870","40050"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","160","160","44080","38060"
"In post","2022","Asian","Department for Education (excl. agencies)","Department for Education","570","560","40560","36500"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","330","330","39390","35860"
"In post","2022","Asian","Department for International Trade","Department for International Trade","270","270","43990","38540"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","300","290","41510","36340"
"In post","2022","Asian","Department for Transport (excl. agencies)","Department for Transport","340","330","44720","42470"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","8140","7380","28060","27570"
"In post","2022","Asian","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","280","270","42970","40650"
"In post","2022","Asian","Disclosure Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Licensing Agency","Department for Transport","90","80","27450","21840"
"In post","2022","Asian","Driver and Vehicle Standards Agency","Department for Transport","150","140","28780","29130"
"In post","2022","Asian","Education and Skills Funding Agency","Department for Education","230","230","39120","36740"
"In post","2022","Asian","Education Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Asian","FCDO Services","Foreign, Commonwealth and Development Office","60","60","33660","29350"
"In post","2022","Asian","Food Standards Agency","Food Standards Agency","70","70","34940","32350"
"In post","2022","Asian","Food Standards Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","420","410","44240","38230"
"In post","2022","Asian","Forestry and Land Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Government Actuary's Department","Chancellor's other departments","30","30","[c]","[c]"
"In post","2022","Asian","Government Internal Audit Agency","HM Treasury","60","60","47380","46280"
"In post","2022","Asian","Government Legal Department","Attorney General's Departments","300","290","48890","51010"
"In post","2022","Asian","Government Property Agency","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Health and Safety Executive","Department for Work and Pensions","70","70","49150","43800"
"In post","2022","Asian","HM Courts and Tribunals Service","Ministry of Justice","1560","1410","27050","23720"
"In post","2022","Asian","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Land Registry","HM Land Registry","230","210","30920","27130"
"In post","2022","Asian","HM Prison and Probation Service","Ministry of Justice","1850","1730","30980","28960"
"In post","2022","Asian","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","5640","5340","32770","31020"
"In post","2022","Asian","HM Treasury (excl. agencies)","HM Treasury","220","220","45120","40050"
"In post","2022","Asian","Home Office","Home Office","4490","4180","31920","28910"
"In post","2022","Asian","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2022","Asian","Legal Aid Agency","Ministry of Justice","80","70","28210","22900"
"In post","2022","Asian","Maritime and Coastguard Agency","Department for Transport","60","50","49310","57040"
"In post","2022","Asian","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","260","250","43190","40450"
"In post","2022","Asian","Met Office","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"In post","2022","Asian","Ministry of Defence (excl. agencies)","Ministry of Defence","990","960","34900","32670"
"In post","2022","Asian","Ministry of Justice (excl. agencies)","Ministry of Justice","550","540","41330","37860"
"In post","2022","Asian","National Crime Agency","National Crime Agency","280","270","37800","36740"
"In post","2022","Asian","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Records of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","100","100","40190","35010"
"In post","2022","Asian","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","140","140","41570","34910"
"In post","2022","Asian","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Public Guardian","Ministry of Justice","410","380","22570","20970"
"In post","2022","Asian","Office of the Scottish Charity Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectorate","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Revenue Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Royal Fleet Auxiliary","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Rural Payments Agency","Department for Environment, Food and Rural Affairs","50","40","[c]","[c]"
"In post","2022","Asian","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Fiscal Commission","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Forestry","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Government (excl. agencies)","Scottish Government","120","110","39450","35540"
"In post","2022","Asian","Scottish Housing Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Public Pensions Agency","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Serious Fraud Office","Attorney General's Departments","50","50","[c]","[c]"
"In post","2022","Asian","Social Security Scotland","Scottish Government","60","50","28840","27230"
"In post","2022","Asian","Standards and Testing Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Student Awards Agency for Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Submarine Delivery Agency","Ministry of Defence","50","50","38580","36260"
"In post","2022","Asian","Teaching Regulation Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Asian","The Insolvency Service","Department for Business, Energy and Industrial Strategy","150","140","28690","25060"
"In post","2022","Asian","The National Archives","The National Archives","50","40","[c]","[c]"
"In post","2022","Asian","Transport Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Export Finance","UK Export Finance","90","90","50050","44080"
"In post","2022","Asian","UK Health Security Agency","Department of Health and Social Care","750","690","41090","32330"
"In post","2022","Asian","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Statistics Authority","UK Statistics Authority","190","170","32790","30710"
"In post","2022","Asian","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Valuation Office Agency","HM Revenue and Customs","210","200","34730","31660"
"In post","2022","Asian","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Water Services Regulation Authority","Water Services Regulation Authority","40","30","[c]","[c]"
"In post","2022","Asian","Welsh Government (excl. agencies)","Welsh Government","70","70","39470","38160"
"In post","2022","Asian","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Black","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Black","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2022","Black","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Black","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Black","Cabinet Office (excl. agencies)","Cabinet Office","250","250","42140","37300"
"In post","2022","Black","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Black","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Black","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Black","Competition and Markets Authority","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2022","Black","Criminal Injuries Compensation Authority","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Black","Crown Commercial Service","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Black","Crown Office and Procurator Fiscal Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Black","Crown Prosecution Service","Attorney General's Departments","390","370","40020","31820"
"In post","2022","Black","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Black","Defence Equipment and Support","Ministry of Defence","210","210","33150","32670"
"In post","2022","Black","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Black","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","360","360","40660","36190"
"In post","2022","Black","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","110","110","38300","34020"
"In post","2022","Black","Department for Education (excl. agencies)","Department for Education","250","250","39860","36740"
"In post","2022","Black","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","220","220","36290","33120"
"In post","2022","Black","Department for International Trade","Department for International Trade","140","140","39990","38160"
"In post","2022","Black","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","190","190","40390","36340"
"In post","2022","Black","Department for Transport (excl. agencies)","Department for Transport","190","190","40540","37660"
"In post","2022","Black","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","4040","3810","29350","30130"
"In post","2022","Black","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","160","150","40760","35110"
"In post","2022","Black","Disclosure Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Black","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Black","Driver and Vehicle Standards Agency","Department for Transport","50","50","31820","30780"
"In post","2022","Black","Education and Skills Funding Agency","Department for Education","50","50","40600","36500"
