"Status","Year","Parent_department","Profession_of_post","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Department for International Trade","Other","Property","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Planning","No function","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Policy","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Policy","No function","220","220","45520","38540"
"In post","2022","Department for International Trade","Policy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Project Delivery","No function","50","40","[c]","[c]"
"In post","2022","Department for International Trade","Project Delivery","Project Delivery","50","50","[c]","[c]"
"In post","2022","Department for International Trade","Property","Property","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Science and Engineering","No function","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Security","Security","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Social Research","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Statistics","Analysis","50","50","44730","41530"
"In post","2022","Department for International Trade","Statistics","No function","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Commercial","Commercial","30","30","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Communications","Communications","110","110","44400","39600"
"In post","2022","Department for Levelling Up, Housing and Communities","Corporate Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","Digital, Data & Technology","150","140","47190","45720"
"In post","2022","Department for Levelling Up, Housing and Communities","Economics","Analysis","60","60","48610","53130"
"In post","2022","Department for Levelling Up, Housing and Communities","Finance","Finance","140","130","49420","48200"
"In post","2022","Department for Levelling Up, Housing and Communities","Human Resources","Human Resources","100","100","41460","35600"
"In post","2022","Department for Levelling Up, Housing and Communities","Internal Audit","No function","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Knowledge and Information Management","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Knowledge and Information Management","No function","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Operational Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Operational Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Operational Delivery","No function","700","670","33920","30870"
"In post","2022","Department for Levelling Up, Housing and Communities","Operational Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Operational Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Operational Research","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Other","No function","50","50","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Planning","No function","140","140","44660","40720"
"In post","2022","Department for Levelling Up, Housing and Communities","Planning Inspectors","No function","380","330","56300","58810"
"In post","2022","Department for Levelling Up, Housing and Communities","Policy","No function","1860","1820","47280","46820"
"In post","2022","Department for Levelling Up, Housing and Communities","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Project Delivery","Project Delivery","170","170","45480","48200"
"In post","2022","Department for Levelling Up, Housing and Communities","Project Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Security","Security","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Social Research","Analysis","30","30","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Statistics","Analysis","140","140","45710","42980"
"In post","2022","Department for Transport","Commercial","Commercial","380","360","39100","34710"
"In post","2022","Department for Transport","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Communications","Communications","230","220","39010","34710"
"In post","2022","Department for Transport","Communications","No function","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Corporate Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Corporate Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Corporate Finance","No function","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Counter Fraud","Counter Fraud","50","50","30940","30730"
"In post","2022","Department for Transport","Counter Fraud","No function","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Digital, Data and Technology","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Digital, Data and Technology","Digital, Data & Technology","1210","1200","39720","38650"
"In post","2022","Department for Transport","Digital, Data and Technology","No function","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Digital, Data and Technology","Security","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Economics","Analysis","150","150","48360","54110"
"In post","2022","Department for Transport","Finance","Finance","470","450","40880","39040"
"In post","2022","Department for Transport","Human Resources","Human Resources","430","400","35640","32180"
"In post","2022","Department for Transport","Human Resources","No function","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Intelligence Analysis","No function","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Intelligence Analysis","Security","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","International Trade","No function","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Knowledge and Information Management","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Knowledge and Information Management","No function","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Knowledge and Information Management","Security","30","30","[c]","[c]"
"In post","2022","Department for Transport","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Medicine","No function","50","50","77410","86300"
"In post","2022","Department for Transport","Operational Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Operational Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Operational Delivery","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Operational Delivery","No function","9590","8670","26180","26130"
"In post","2022","Department for Transport","Operational Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Operational Research","Analysis","80","70","34330","32020"
"In post","2022","Department for Transport","Other","Analysis","40","40","[c]","[c]"
"In post","2022","Department for Transport","Other","No function","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Policy","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Policy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Policy","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Policy","No function","1540","1490","45650","42470"
"In post","2022","Department for Transport","Policy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Project Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Project Delivery","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Project Delivery","No function","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Project Delivery","Project Delivery","540","530","47630","43360"
"In post","2022","Department for Transport","Property","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Property","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Property","No function","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Property","Project Delivery","30","30","[c]","[c]"
"In post","2022","Department for Transport","Property","Property","140","130","34050","30730"
"In post","2022","Department for Transport","Science and Engineering","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Science and Engineering","No function","150","150","46470","43360"
"In post","2022","Department for Transport","Security","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Security","Security","200","190","38400","36340"
"In post","2022","Department for Transport","Social Research","Analysis","50","50","[c]","[c]"
"In post","2022","Department for Transport","Statistics","Analysis","80","80","43890","42470"
"In post","2022","Department for Transport","Statistics","No function","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Unknown","No function","640","620","50470","40850"
"In post","2022","Department for Transport","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Commercial","Commercial","30","30","[c]","[c]"
"In post","2022","Department for Work and Pensions","Commercial","Finance","430","390","34920","31990"
"In post","2022","Department for Work and Pensions","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Commercial","Unknown","50","50","31570","31990"
"In post","2022","Department for Work and Pensions","Communications","Communications","90","90","44600","41880"
"In post","2022","Department for Work and Pensions","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Counter Fraud","Counter Fraud","5570","4970","27930","27570"
"In post","2022","Department for Work and Pensions","Digital, Data and Technology","Digital, Data & Technology","4000","3850","42290","37020"
"In post","2022","Department for Work and Pensions","Economics","Analysis","50","50","[c]","[c]"
"In post","2022","Department for Work and Pensions","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Finance","Finance","1210","1130","38230","35310"
"In post","2022","Department for Work and Pensions","Human Resources","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Human Resources","Human Resources","820","770","38550","34290"
"In post","2022","Department for Work and Pensions","Knowledge and Information Management","Communications","100","90","40590","40110"
"In post","2022","Department for Work and Pensions","Knowledge and Information Management","Legal","60","60","29680","27570"
"In post","2022","Department for Work and Pensions","Knowledge and Information Management","No function","320","300","35980","31990"
"In post","2022","Department for Work and Pensions","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Operational Delivery","Analysis","40","40","[c]","[c]"
"In post","2022","Department for Work and Pensions","Operational Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Operational Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Operational Delivery","Counter Fraud","820","720","25090","25110"
"In post","2022","Department for Work and Pensions","Operational Delivery","Debt","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Operational Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Operational Delivery","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Operational Delivery","Human Resources","790","740","30440","27570"
"In post","2022","Department for Work and Pensions","Operational Delivery","No function","66870","59560","26750","27570"
"In post","2022","Department for Work and Pensions","Operational Delivery","Project Delivery","190","180","33600","32120"
"In post","2022","Department for Work and Pensions","Operational Delivery","Unknown","290","280","31860","31990"
"In post","2022","Department for Work and Pensions","Operational Research","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Other","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Other","Debt","2500","2130","22600","21260"
"In post","2022","Department for Work and Pensions","Other","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Other","No function","5200","4850","28310","27570"
"In post","2022","Department for Work and Pensions","Other","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Policy","Analysis","240","220","46460","40840"
"In post","2022","Department for Work and Pensions","Policy","No function","80","80","50280","47650"
"In post","2022","Department for Work and Pensions","Policy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Policy","Unknown","800","760","44860","39960"
"In post","2022","Department for Work and Pensions","Project Delivery","Digital, Data & Technology","80","70","34160","33170"
"In post","2022","Department for Work and Pensions","Project Delivery","Project Delivery","1260","1120","35200","32100"
"In post","2022","Department for Work and Pensions","Project Delivery","Unknown","150","130","35950","34290"
"In post","2022","Department for Work and Pensions","Property","Property","210","200","42590","37710"
"In post","2022","Department for Work and Pensions","Psychology","No function","60","50","35120","34340"
"In post","2022","Department for Work and Pensions","Science and Engineering","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Science and Engineering","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Science and Engineering","No function","460","430","38470","35910"
"In post","2022","Department for Work and Pensions","Science and Engineering","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Security","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Security","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Security","Finance","320","310","42300","36650"
"In post","2022","Department for Work and Pensions","Security","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Security","Security","130","120","31250","31530"
"In post","2022","Department for Work and Pensions","Social Research","Analysis","40","40","[c]","[c]"
"In post","2022","Department for Work and Pensions","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Statistics","Analysis","200","190","45270","40310"
"In post","2022","Department for Work and Pensions","Statistics","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Unknown","Analysis","70","70","33140","25110"
"In post","2022","Department for Work and Pensions","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Unknown","Unknown","440","420","34950","27660"
"In post","2022","Department of Health and Social Care","Commercial","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Commercial","Commercial","400","390","49040","49530"
"In post","2022","Department of Health and Social Care","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Commercial","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Commercial","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Commercial","No function","30","30","[c]","[c]"
"In post","2022","Department of Health and Social Care","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Communications","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Communications","Communications","450","430","45960","42390"
"In post","2022","Department of Health and Social Care","Communications","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Communications","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Communications","No function","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Corporate Finance","No function","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Digital, Data and Technology","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Digital, Data and Technology","Digital, Data & Technology","390","380","44210","40260"
"In post","2022","Department of Health and Social Care","Economics","Analysis","90","80","47580","49530"
"In post","2022","Department of Health and Social Care","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Finance","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Finance","Finance","590","570","43050","40650"
"In post","2022","Department of Health and Social Care","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Human Resources","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Human Resources","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Human Resources","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Human Resources","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Human Resources","Human Resources","450","440","41930","36330"
"In post","2022","Department of Health and Social Care","Human Resources","No function","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Human Resources","Property","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Knowledge and Information Management","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Knowledge and Information Management","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Knowledge and Information Management","No function","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Legal","No function","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Medicine","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Medicine","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Medicine","No function","530","470","84770","84360"
"In post","2022","Department of Health and Social Care","Operational Delivery","Analysis","40","40","[c]","[c]"
"In post","2022","Department of Health and Social Care","Operational Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Operational Delivery","No function","4380","4080","41170","36330"
"In post","2022","Department of Health and Social Care","Operational Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Operational Research","No function","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Other","Analysis","40","30","[c]","[c]"
"In post","2022","Department of Health and Social Care","Other","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Other","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Other","No function","280","270","50650","49530"
"In post","2022","Department of Health and Social Care","Other","Security","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Policy","Analysis","170","160","53280","53360"
"In post","2022","Department of Health and Social Care","Policy","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Policy","No function","930","910","47960","46000"
"In post","2022","Department of Health and Social Care","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Property","Property","70","70","40840","39500"
"In post","2022","Department of Health and Social Care","Science and Engineering","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Science and Engineering","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Science and Engineering","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Science and Engineering","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Science and Engineering","No function","2310","2170","41720","40060"
"In post","2022","Department of Health and Social Care","Science and Engineering","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Social Research","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Statistics","Analysis","40","40","[c]","[c]"
"In post","2022","Department of Health and Social Care","Statistics","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Statistics","No function","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Unknown","Unknown","200","200","49340","49530"
"In post","2022","Estyn","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Digital, Data and Technology","Security","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Inspector of Education and Training","Project Delivery","70","60","75110","75480"
"In post","2022","Estyn","Knowledge and Information Management","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Operational Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Property","Property","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Statistics","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Communications","Communications","50","50","41300","37350"
"In post","2022","Food Standards Agency","Corporate Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Counter Fraud","Counter Fraud","60","60","38260","37350"
"In post","2022","Food Standards Agency","Digital, Data and Technology","Digital, Data & Technology","60","60","45710","41220"
"In post","2022","Food Standards Agency","Economics","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Finance","Finance","50","50","[c]","[c]"
"In post","2022","Food Standards Agency","Human Resources","Human Resources","40","40","[c]","[c]"
"In post","2022","Food Standards Agency","Intelligence Analysis","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","International Trade","No function","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Knowledge and Information Management","Security","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Operational Delivery","No function","610","590","32200","28800"
"In post","2022","Food Standards Agency","Operational Research","No function","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Other","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Other","No function","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Planning","No function","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Policy","No function","260","260","41000","37350"
"In post","2022","Food Standards Agency","Project Delivery","Project Delivery","40","30","[c]","[c]"
"In post","2022","Food Standards Agency","Property","Property","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Science and Engineering","No function","120","120","40080","37350"
"In post","2022","Food Standards Agency","Security","Security","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Social Research","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Statistics","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Veterinarian","No function","60","60","44370","39090"
"In post","2022","Foreign, Commonwealth and Development Office","Commercial","Commercial","130","130","45260","43320"
"In post","2022","Foreign, Commonwealth and Development Office","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Commercial","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Communications","Communications","100","100","49800","46550"
"In post","2022","Foreign, Commonwealth and Development Office","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Digital, Data and Technology","Digital, Data & Technology","310","310","43150","39630"
"In post","2022","Foreign, Commonwealth and Development Office","Digital, Data and Technology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Economics","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Economics","No function","60","60","45820","40790"
"In post","2022","Foreign, Commonwealth and Development Office","Economics","Project Delivery","90","90","55530","55620"
"In post","2022","Foreign, Commonwealth and Development Office","Finance","Finance","210","200","42580","38600"
"In post","2022","Foreign, Commonwealth and Development Office","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Human Resources","Human Resources","320","310","47810","43300"
"In post","2022","Foreign, Commonwealth and Development Office","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Intelligence Analysis","Security","180","180","46280","39770"
"In post","2022","Foreign, Commonwealth and Development Office","Internal Audit","Internal Audit","40","40","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Internal Audit","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Knowledge and Information Management","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Knowledge and Information Management","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Knowledge and Information Management","No function","110","100","45760","38230"
"In post","2022","Foreign, Commonwealth and Development Office","Knowledge and Information Management","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Knowledge and Information Management","Security","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Legal","Legal","130","110","57090","57540"
"In post","2022","Foreign, Commonwealth and Development Office","Medicine","Project Delivery","50","40","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Operational Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Operational Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Operational Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Operational Delivery","Finance","40","40","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Operational Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Operational Delivery","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Operational Delivery","No function","300","290","31860","28080"
"In post","2022","Foreign, Commonwealth and Development Office","Operational Delivery","Project Delivery","160","160","39080","35710"
"In post","2022","Foreign, Commonwealth and Development Office","Operational Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Operational Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Operational Research","Analysis","60","60","59570","61400"
"In post","2022","Foreign, Commonwealth and Development Office","Other","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Other","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Other","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Other","Project Delivery","250","240","65970","66680"
"In post","2022","Foreign, Commonwealth and Development Office","Other","Security","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Other","Unknown","30","30","[c]","[c]"
