"Status","Year","Profession_of_post","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Unknown","Communications","LGBO","40","40","[c]","[c]"
"In post","2021","Unknown","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","Unknown","340","330","36570","31810"
"In post","2021","Unknown","Counter Fraud","Heterosexual / straight","140","140","40750","35790"
"In post","2021","Unknown","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Counter Fraud","Unknown","50","50","[c]","[c]"
"In post","2021","Unknown","Debt","Heterosexual / straight","40","30","[c]","[c]"
"In post","2021","Unknown","Debt","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Debt","Unknown","50","50","23000","20140"
"In post","2021","Unknown","Digital, Data & Technology","Heterosexual / straight","830","810","50360","54700"
"In post","2021","Unknown","Digital, Data & Technology","LGBO","90","90","49030","54700"
"In post","2021","Unknown","Digital, Data & Technology","Undeclared","100","100","52280","54700"
"In post","2021","Unknown","Digital, Data & Technology","Unknown","310","310","44350","40410"
"In post","2021","Unknown","Finance","Heterosexual / straight","180","170","47030","40600"
"In post","2021","Unknown","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Finance","Unknown","130","120","39890","36380"
"In post","2021","Unknown","Human Resources","Heterosexual / straight","970","920","40240","35590"
"In post","2021","Unknown","Human Resources","LGBO","80","80","39400","35790"
"In post","2021","Unknown","Human Resources","Undeclared","60","60","40700","34040"
"In post","2021","Unknown","Human Resources","Unknown","220","210","34920","31810"
"In post","2021","Unknown","Legal","Heterosexual / straight","110","100","57100","59160"
"In post","2021","Unknown","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal","Unknown","70","60","54720","59160"
"In post","2021","Unknown","No function","Heterosexual / straight","3050","2960","39370","33250"
"In post","2021","Unknown","No function","LGBO","340","330","37820","33510"
"In post","2021","Unknown","No function","Undeclared","320","310","39350","34550"
"In post","2021","Unknown","No function","Unknown","3570","3510","32850","29250"
"In post","2021","Unknown","Project Delivery","Heterosexual / straight","280","270","58760","54700"
"In post","2021","Unknown","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Project Delivery","Unknown","250","240","39770","35680"
"In post","2021","Unknown","Property","Heterosexual / straight","240","230","38560","35330"
"In post","2021","Unknown","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Property","Unknown","570","550","30040","28120"
"In post","2021","Unknown","Security","Heterosexual / straight","470","450","34980","33300"
"In post","2021","Unknown","Security","LGBO","30","30","[c]","[c]"
"In post","2021","Unknown","Security","Undeclared","60","60","35870","33300"
"In post","2021","Unknown","Security","Unknown","310","300","29810","26670"
"In post","2021","Unknown","Unknown","Heterosexual / straight","67960","61930","29660","27570"
"In post","2021","Unknown","Unknown","LGBO","4300","4130","29460","27570"
"In post","2021","Unknown","Unknown","Undeclared","7980","7150","28400","27570"
"In post","2021","Unknown","Unknown","Unknown","25010","21930","28830","27570"
"In post","2021","Veterinarian","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","No function","Heterosexual / straight","270","260","44620","40260"
"In post","2021","Veterinarian","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","No function","Undeclared","80","70","47570","50280"
"In post","2021","Veterinarian","No function","Unknown","70","60","45830","41110"
"In post","2021","Veterinarian","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Commercial","Heterosexual / straight","2890","2800","39870","37620"
"In post","2022","Commercial","Commercial","LGBO","160","160","37890","35910"
"In post","2022","Commercial","Commercial","Undeclared","430","410","40590","39650"
"In post","2022","Commercial","Commercial","Unknown","590","570","37400","34900"
"In post","2022","Commercial","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Finance","Heterosexual / straight","420","400","37030","34290"
"In post","2022","Commercial","Finance","LGBO","30","30","[c]","[c]"
"In post","2022","Commercial","Finance","Undeclared","60","60","37070","33730"
"In post","2022","Commercial","Finance","Unknown","110","100","37900","34800"
"In post","2022","Commercial","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","No function","Heterosexual / straight","400","390","49390","46550"
"In post","2022","Commercial","No function","LGBO","30","30","[c]","[c]"
"In post","2022","Commercial","No function","Undeclared","50","40","[c]","[c]"
"In post","2022","Commercial","No function","Unknown","40","40","[c]","[c]"
"In post","2022","Commercial","Project Delivery","Heterosexual / straight","590","560","38920","37400"
"In post","2022","Commercial","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Project Delivery","Undeclared","80","80","43330","39650"
"In post","2022","Commercial","Project Delivery","Unknown","60","60","36500","34800"
"In post","2022","Commercial","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Heterosexual / straight","110","110","37700","36690"
"In post","2022","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Communications","Heterosexual / straight","2250","2180","42450","38750"
"In post","2022","Communications","Communications","LGBO","210","200","40750","37910"
"In post","2022","Communications","Communications","Undeclared","380","370","42270","37640"
"In post","2022","Communications","Communications","Unknown","600","590","42860","38930"
"In post","2022","Communications","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","No function","Heterosexual / straight","160","150","41760","37100"
"In post","2022","Communications","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","No function","Unknown","50","50","38470","34260"
"In post","2022","Communications","Project Delivery","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Communications","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Heterosexual / straight","240","230","44690","41960"
"In post","2022","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Undeclared","40","30","[c]","[c]"
"In post","2022","Communications","Unknown","Unknown","40","40","[c]","[c]"
"In post","2022","Corporate Finance","Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Finance","Heterosexual / straight","50","50","48830","42870"
"In post","2022","Corporate Finance","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Finance","Unknown","50","50","41720","38460"
"In post","2022","Corporate Finance","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","No function","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Counter Fraud","Heterosexual / straight","4200","3820","29300","27570"
"In post","2022","Counter Fraud","Counter Fraud","LGBO","220","210","29080","27570"
"In post","2022","Counter Fraud","Counter Fraud","Undeclared","580","520","28650","27570"
"In post","2022","Counter Fraud","Counter Fraud","Unknown","1380","1210","29470","27570"
"In post","2022","Counter Fraud","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","No function","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Heterosexual / straight","160","150","27260","25310"
"In post","2022","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Analysis","Heterosexual / straight","110","110","44440","42420"
"In post","2022","Digital, Data and Technology","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Digital, Data & Technology","Heterosexual / straight","11570","11250","41590","38330"
"In post","2022","Digital, Data and Technology","Digital, Data & Technology","LGBO","740","730","40160","36340"
"In post","2022","Digital, Data and Technology","Digital, Data & Technology","Undeclared","1750","1710","41010","38000"
"In post","2022","Digital, Data and Technology","Digital, Data & Technology","Unknown","3330","3240","41150","37700"
"In post","2022","Digital, Data and Technology","Finance","Heterosexual / straight","140","130","39360","36500"
"In post","2022","Digital, Data and Technology","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Finance","Unknown","70","60","38040","36730"
"In post","2022","Digital, Data and Technology","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","No function","Heterosexual / straight","90","80","40010","38550"
"In post","2022","Digital, Data and Technology","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","No function","Unknown","40","40","[c]","[c]"
"In post","2022","Digital, Data and Technology","Project Delivery","Heterosexual / straight","60","50","45430","43280"
"In post","2022","Digital, Data and Technology","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Project Delivery","Unknown","90","90","46760","47010"
"In post","2022","Digital, Data and Technology","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","Heterosexual / straight","1200","1180","49030","44970"
"In post","2022","Digital, Data and Technology","Unknown","LGBO","70","70","46990","40280"
"In post","2022","Digital, Data and Technology","Unknown","Undeclared","180","170","49460","47470"
"In post","2022","Digital, Data and Technology","Unknown","Unknown","400","400","47720","41960"
"In post","2022","Economics","Analysis","Heterosexual / straight","950","930","47560","42010"
"In post","2022","Economics","Analysis","LGBO","90","90","42890","37610"
"In post","2022","Economics","Analysis","Undeclared","120","110","48110","51350"
"In post","2022","Economics","Analysis","Unknown","220","210","44500","37610"
"In post","2022","Economics","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Economics","No function","Heterosexual / straight","290","280","48970","52500"
"In post","2022","Economics","No function","LGBO","40","40","[c]","[c]"
"In post","2022","Economics","No function","Undeclared","40","40","[c]","[c]"
"In post","2022","Economics","No function","Unknown","30","30","[c]","[c]"
"In post","2022","Economics","Project Delivery","Heterosexual / straight","50","50","[c]","[c]"
"In post","2022","Economics","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Project Delivery","Unknown","40","40","[c]","[c]"
"In post","2022","Economics","Unknown","Heterosexual / straight","120","120","49540","43950"
"In post","2022","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Unknown","Unknown","60","60","39020","35050"
"In post","2022","Finance","Analysis","Heterosexual / straight","40","40","[c]","[c]"
"In post","2022","Finance","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Commercial","Heterosexual / straight","40","30","[c]","[c]"
"In post","2022","Finance","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Debt","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Debt","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Finance","Heterosexual / straight","6430","6160","41210","36970"
"In post","2022","Finance","Finance","LGBO","290","290","41760","36960"
"In post","2022","Finance","Finance","Undeclared","920","880","41220","37590"
"In post","2022","Finance","Finance","Unknown","1280","1210","39130","36050"
"In post","2022","Finance","Grants Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Legal","Heterosexual / straight","70","60","27640","26970"
"In post","2022","Finance","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","No function","Heterosexual / straight","100","100","46160","45620"
"In post","2022","Finance","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Project Delivery","Heterosexual / straight","180","170","46090","42950"
"In post","2022","Finance","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Property","Heterosexual / straight","60","60","45920","42300"
"In post","2022","Finance","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Heterosexual / straight","2180","2110","38240","33300"
"In post","2022","Finance","Unknown","LGBO","70","70","38490","33300"
"In post","2022","Finance","Unknown","Undeclared","320","310","37280","33300"
"In post","2022","Finance","Unknown","Unknown","160","160","38400","33300"
"In post","2022","Geography","Analysis","Heterosexual / straight","40","40","[c]","[c]"
"In post","2022","Geography","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Geography","No function","Heterosexual / straight","280","260","31890","33290"
"In post","2022","Geography","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Geography","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Geography","No function","Unknown","110","110","30590","29130"
"In post","2022","Human Resources","Analysis","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Human Resources","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Human Resources","Heterosexual / straight","6450","6110","39120","34710"
"In post","2022","Human Resources","Human Resources","LGBO","440","430","40280","35310"
"In post","2022","Human Resources","Human Resources","Undeclared","620","590","36140","33290"
"In post","2022","Human Resources","Human Resources","Unknown","940","890","36260","32720"
"In post","2022","Human Resources","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","No function","Heterosexual / straight","60","60","48550","48770"
"In post","2022","Human Resources","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Heterosexual / straight","680","650","40760","37450"
"In post","2022","Human Resources","Unknown","LGBO","40","40","[c]","[c]"
"In post","2022","Human Resources","Unknown","Undeclared","80","80","39060","37030"
"In post","2022","Human Resources","Unknown","Unknown","80","80","42430","37450"
"In post","2022","Inspector of Education and Training","No function","Heterosexual / straight","750","740","64700","64500"
"In post","2022","Inspector of Education and Training","No function","LGBO","50","50","69840","75500"
"In post","2022","Inspector of Education and Training","No function","Undeclared","40","40","[c]","[c]"
