"Status","Year","Sexual_orientation","Ethnicity","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Heterosexual / straight","Asian","Department of Health and Social Care","990","930","40680","33100"
"In post","2022","Heterosexual / straight","Asian","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Asian","Food Standards Agency","40","40","[c]","[c]"
"In post","2022","Heterosexual / straight","Asian","Foreign, Commonwealth and Development Office","420","410","42490","37560"
"In post","2022","Heterosexual / straight","Asian","HM Land Registry","170","160","31400","27130"
"In post","2022","Heterosexual / straight","Asian","HM Revenue and Customs","4510","4310","33150","31060"
"In post","2022","Heterosexual / straight","Asian","HM Treasury","260","250","45720","41900"
"In post","2022","Heterosexual / straight","Asian","Home Office","4050","3770","32100","28990"
"In post","2022","Heterosexual / straight","Asian","Ministry of Defence","1250","1210","35030","33000"
"In post","2022","Heterosexual / straight","Asian","Ministry of Justice","3950","3680","30060","26400"
"In post","2022","Heterosexual / straight","Asian","National Crime Agency","260","260","37990","36740"
"In post","2022","Heterosexual / straight","Asian","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Asian","Office for Standards in Education, Children's Services and Skills","100","90","40330","35010"
"In post","2022","Heterosexual / straight","Asian","Office of Gas and Electricity Markets","90","90","39110","33400"
"In post","2022","Heterosexual / straight","Asian","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Asian","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Asian","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Asian","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Asian","Scottish Government","270","250","35680","31540"
"In post","2022","Heterosexual / straight","Asian","The National Archives","30","30","[c]","[c]"
"In post","2022","Heterosexual / straight","Asian","UK Export Finance","80","80","49860","42660"
"In post","2022","Heterosexual / straight","Asian","UK Statistics Authority","160","140","32680","30460"
"In post","2022","Heterosexual / straight","Asian","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Asian","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Asian","Welsh Government","60","60","39260","38160"
"In post","2022","Heterosexual / straight","Black","Attorney General's Departments","490","470","40160","32160"
"In post","2022","Heterosexual / straight","Black","Cabinet Office","260","260","42420","37760"
"In post","2022","Heterosexual / straight","Black","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Black","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Black","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2022","Heterosexual / straight","Black","Department for Business, Energy and Industrial Strategy","440","430","38670","34880"
"In post","2022","Heterosexual / straight","Black","Department for Digital, Culture, Media and Sport","90","90","38750","34020"
"In post","2022","Heterosexual / straight","Black","Department for Education","290","280","39900","36760"
"In post","2022","Heterosexual / straight","Black","Department for Environment, Food and Rural Affairs","230","230","35240","32560"
"In post","2022","Heterosexual / straight","Black","Department for International Trade","120","120","40450","38160"
"In post","2022","Heterosexual / straight","Black","Department for Levelling Up, Housing and Communities","180","180","40230","36590"
"In post","2022","Heterosexual / straight","Black","Department for Transport","230","230","38300","35060"
"In post","2022","Heterosexual / straight","Black","Department for Work and Pensions","3260","3110","29620","30220"
"In post","2022","Heterosexual / straight","Black","Department of Health and Social Care","550","520","37490","32790"
"In post","2022","Heterosexual / straight","Black","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Black","Food Standards Agency","30","30","[c]","[c]"
"In post","2022","Heterosexual / straight","Black","Foreign, Commonwealth and Development Office","240","230","38950","34770"
"In post","2022","Heterosexual / straight","Black","HM Land Registry","60","50","34330","30600"
"In post","2022","Heterosexual / straight","Black","HM Revenue and Customs","1550","1500","33940","33080"
"In post","2022","Heterosexual / straight","Black","HM Treasury","80","80","40460","36650"
"In post","2022","Heterosexual / straight","Black","Home Office","1660","1560","33170","29080"
"In post","2022","Heterosexual / straight","Black","Ministry of Defence","700","680","33500","32370"
"In post","2022","Heterosexual / straight","Black","Ministry of Justice","3550","3420","31090","28310"
"In post","2022","Heterosexual / straight","Black","National Crime Agency","90","90","36940","37150"
"In post","2022","Heterosexual / straight","Black","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Black","Office for Standards in Education, Children's Services and Skills","50","50","44370","46360"
"In post","2022","Heterosexual / straight","Black","Office of Gas and Electricity Markets","60","60","38100","34620"
"In post","2022","Heterosexual / straight","Black","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Black","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Black","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Black","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Black","Scottish Government","90","80","36430","31540"
"In post","2022","Heterosexual / straight","Black","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Black","UK Export Finance","40","40","[c]","[c]"
"In post","2022","Heterosexual / straight","Black","UK Statistics Authority","90","80","31700","30460"
"In post","2022","Heterosexual / straight","Black","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Black","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Black","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Mixed","Attorney General's Departments","240","220","45570","48830"
"In post","2022","Heterosexual / straight","Mixed","Cabinet Office","190","190","44950","40600"
"In post","2022","Heterosexual / straight","Mixed","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Mixed","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Mixed","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2022","Heterosexual / straight","Mixed","Department for Business, Energy and Industrial Strategy","280","270","43410","40050"
"In post","2022","Heterosexual / straight","Mixed","Department for Digital, Culture, Media and Sport","80","80","44070","38020"
"In post","2022","Heterosexual / straight","Mixed","Department for Education","180","170","41640","37420"
"In post","2022","Heterosexual / straight","Mixed","Department for Environment, Food and Rural Affairs","180","170","37020","34290"
"In post","2022","Heterosexual / straight","Mixed","Department for International Trade","80","80","47170","47130"
"In post","2022","Heterosexual / straight","Mixed","Department for Levelling Up, Housing and Communities","80","80","42820","36700"
"In post","2022","Heterosexual / straight","Mixed","Department for Transport","190","180","37270","34710"
"In post","2022","Heterosexual / straight","Mixed","Department for Work and Pensions","1270","1190","28660","27570"
"In post","2022","Heterosexual / straight","Mixed","Department of Health and Social Care","220","210","41790","38100"
"In post","2022","Heterosexual / straight","Mixed","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Mixed","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Mixed","Foreign, Commonwealth and Development Office","210","210","47110","43300"
"In post","2022","Heterosexual / straight","Mixed","HM Land Registry","60","60","30230","27130"
"In post","2022","Heterosexual / straight","Mixed","HM Revenue and Customs","690","660","35490","33080"
"In post","2022","Heterosexual / straight","Mixed","HM Treasury","90","90","45680","43150"
"In post","2022","Heterosexual / straight","Mixed","Home Office","580","540","34650","29370"
"In post","2022","Heterosexual / straight","Mixed","Ministry of Defence","510","490","35650","33000"
"In post","2022","Heterosexual / straight","Mixed","Ministry of Justice","1540","1470","31390","28550"
"In post","2022","Heterosexual / straight","Mixed","National Crime Agency","90","90","40860","38250"
"In post","2022","Heterosexual / straight","Mixed","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Mixed","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Mixed","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Mixed","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Mixed","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Mixed","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Mixed","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Mixed","Scottish Government","110","110","40420","35840"
"In post","2022","Heterosexual / straight","Mixed","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Mixed","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Mixed","UK Statistics Authority","70","60","35150","30960"
"In post","2022","Heterosexual / straight","Mixed","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Mixed","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Mixed","Welsh Government","50","50","42870","40070"
"In post","2022","Heterosexual / straight","Other ethnicity","Attorney General's Departments","70","60","45860","48080"
"In post","2022","Heterosexual / straight","Other ethnicity","Cabinet Office","50","50","[c]","[c]"
"In post","2022","Heterosexual / straight","Other ethnicity","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Other ethnicity","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Other ethnicity","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Other ethnicity","Department for Business, Energy and Industrial Strategy","90","90","45140","40050"
"In post","2022","Heterosexual / straight","Other ethnicity","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Other ethnicity","Department for Education","50","50","44090","40230"
"In post","2022","Heterosexual / straight","Other ethnicity","Department for Environment, Food and Rural Affairs","50","50","36790","34830"
"In post","2022","Heterosexual / straight","Other ethnicity","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Other ethnicity","Department for Levelling Up, Housing and Communities","40","40","[c]","[c]"
"In post","2022","Heterosexual / straight","Other ethnicity","Department for Transport","60","50","36220","33390"
"In post","2022","Heterosexual / straight","Other ethnicity","Department for Work and Pensions","340","320","30000","27570"
"In post","2022","Heterosexual / straight","Other ethnicity","Department of Health and Social Care","70","70","40460","32790"
"In post","2022","Heterosexual / straight","Other ethnicity","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Other ethnicity","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Other ethnicity","Foreign, Commonwealth and Development Office","70","70","42760","37560"
"In post","2022","Heterosexual / straight","Other ethnicity","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Other ethnicity","HM Revenue and Customs","190","180","35540","33370"
"In post","2022","Heterosexual / straight","Other ethnicity","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Other ethnicity","Home Office","170","160","33090","28670"
"In post","2022","Heterosexual / straight","Other ethnicity","Ministry of Defence","50","50","35570","32820"
"In post","2022","Heterosexual / straight","Other ethnicity","Ministry of Justice","390","370","31110","28310"
"In post","2022","Heterosexual / straight","Other ethnicity","National Crime Agency","30","30","[c]","[c]"
"In post","2022","Heterosexual / straight","Other ethnicity","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Other ethnicity","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Other ethnicity","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Other ethnicity","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Other ethnicity","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Other ethnicity","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Other ethnicity","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Other ethnicity","Scottish Government","30","30","[c]","[c]"
"In post","2022","Heterosexual / straight","Other ethnicity","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Other ethnicity","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Other ethnicity","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Other ethnicity","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Other ethnicity","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Other ethnicity","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Undeclared","Attorney General's Departments","50","50","42980","39140"
"In post","2022","Heterosexual / straight","Undeclared","Cabinet Office","60","60","45700","40600"
"In post","2022","Heterosexual / straight","Undeclared","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Undeclared","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Undeclared","Department for Business, Energy and Industrial Strategy","100","100","40820","39650"
"In post","2022","Heterosexual / straight","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Undeclared","Department for Education","50","50","[c]","[c]"
"In post","2022","Heterosexual / straight","Undeclared","Department for Environment, Food and Rural Affairs","80","70","36090","32680"
"In post","2022","Heterosexual / straight","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Undeclared","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Undeclared","Department for Transport","280","270","31520","27930"
"In post","2022","Heterosexual / straight","Undeclared","Department for Work and Pensions","680","620","28460","27570"
"In post","2022","Heterosexual / straight","Undeclared","Department of Health and Social Care","70","70","40920","37480"
"In post","2022","Heterosexual / straight","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Undeclared","Foreign, Commonwealth and Development Office","80","70","47330","39580"
"In post","2022","Heterosexual / straight","Undeclared","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Undeclared","HM Revenue and Customs","290","280","35370","33370"
"In post","2022","Heterosexual / straight","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Undeclared","Home Office","360","330","32410","28990"
"In post","2022","Heterosexual / straight","Undeclared","Ministry of Defence","180","170","36230","33510"
"In post","2022","Heterosexual / straight","Undeclared","Ministry of Justice","480","450","29310","26400"
"In post","2022","Heterosexual / straight","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Undeclared","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Undeclared","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Undeclared","Scottish Government","140","130","36930","35000"
"In post","2022","Heterosexual / straight","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Undeclared","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Undeclared","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Attorney General's Departments","150","140","41690","36240"
"In post","2022","Heterosexual / straight","Unknown","Cabinet Office","50","50","52100","54700"
"In post","2022","Heterosexual / straight","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Department for Business, Energy and Industrial Strategy","110","110","37240","36160"
"In post","2022","Heterosexual / straight","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Department for Education","30","30","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Department for Environment, Food and Rural Affairs","60","60","36770","35900"
"In post","2022","Heterosexual / straight","Unknown","Department for International Trade","50","50","45650","38750"
"In post","2022","Heterosexual / straight","Unknown","Department for Levelling Up, Housing and Communities","60","50","43290","39600"
"In post","2022","Heterosexual / straight","Unknown","Department for Transport","170","150","33240","26780"
"In post","2022","Heterosexual / straight","Unknown","Department for Work and Pensions","350","320","29700","27570"
"In post","2022","Heterosexual / straight","Unknown","Department of Health and Social Care","90","80","46180","40360"
"In post","2022","Heterosexual / straight","Unknown","Food Standards Agency","70","70","39380","37350"
"In post","2022","Heterosexual / straight","Unknown","Foreign, Commonwealth and Development Office","60","60","47100","39770"
"In post","2022","Heterosexual / straight","Unknown","HM Land Registry","30","30","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","HM Revenue and Customs","580","500","32450","28920"
"In post","2022","Heterosexual / straight","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Ministry of Defence","500","480","33250","29880"
"In post","2022","Heterosexual / straight","Unknown","Ministry of Justice","750","710","29240","27470"
"In post","2022","Heterosexual / straight","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Scottish Government","70","70","36870","30040"
"In post","2022","Heterosexual / straight","Unknown","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","UK Statistics Authority","50","40","32040","30210"
"In post","2022","Heterosexual / straight","Unknown","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","White","Attorney General's Departments","5360","5030","44790","48080"
"In post","2022","Heterosexual / straight","White","Cabinet Office","4400","4280","47680","40600"
"In post","2022","Heterosexual / straight","White","Chancellor's other departments","230","220","63580","56480"
"In post","2022","Heterosexual / straight","White","Charity Commission","220","210","34320","29160"
"In post","2022","Heterosexual / straight","White","Competition and Markets Authority","500","480","65460","60000"
"In post","2022","Heterosexual / straight","White","Department for Business, Energy and Industrial Strategy","7940","7580","42990","40050"
"In post","2022","Heterosexual / straight","White","Department for Digital, Culture, Media and Sport","1140","1120","48860","51730"
"In post","2022","Heterosexual / straight","White","Department for Education","4970","4770","44440","40300"
"In post","2022","Heterosexual / straight","White","Department for Environment, Food and Rural Affairs","7260","6900","36940","33120"
"In post","2022","Heterosexual / straight","White","Department for International Trade","1210","1200","48910","51710"
"In post","2022","Heterosexual / straight","White","Department for Levelling Up, Housing and Communities","2310","2220","47020","47660"
"In post","2022","Heterosexual / straight","White","Department for Transport","8950","8350","33960","27830"
"In post","2022","Heterosexual / straight","White","Department for Work and Pensions","51800","46550","28730","27570"
"In post","2022","Heterosexual / straight","White","Department of Health and Social Care","4840","4550","45450","40650"
"In post","2022","Heterosexual / straight","White","Estyn","90","90","59190","75480"
"In post","2022","Heterosexual / straight","White","Food Standards Agency","830","810","38590","37350"
"In post","2022","Heterosexual / straight","White","Foreign, Commonwealth and Development Office","4690","4570","48860","45310"
"In post","2022","Heterosexual / straight","White","HM Land Registry","3630","3290","32280","27130"
"In post","2022","Heterosexual / straight","White","HM Revenue and Customs","33990","31530","35010","33080"
"In post","2022","Heterosexual / straight","White","HM Treasury","1630","1570","49390","52500"
"In post","2022","Heterosexual / straight","White","Home Office","20180","18800","32570","27370"
"In post","2022","Heterosexual / straight","White","Ministry of Defence","37140","35850","34090","32580"
"In post","2022","Heterosexual / straight","White","Ministry of Justice","50070","46890","30690","27700"
"In post","2022","Heterosexual / straight","White","National Crime Agency","3760","3660","41040","38190"
"In post","2022","Heterosexual / straight","White","Northern Ireland Office","100","100","46330","41750"
"In post","2022","Heterosexual / straight","White","Office for Standards in Education, Children's Services and Skills","1310","1260","52260","51360"
"In post","2022","Heterosexual / straight","White","Office of Gas and Electricity Markets","500","490","42780","35900"
"In post","2022","Heterosexual / straight","White","Office of Qualifications and Examinations Regulation","150","150","46310","42000"
"In post","2022","Heterosexual / straight","White","Office of Rail and Road","170","160","54130","54890"
"In post","2022","Heterosexual / straight","White","Office of the Secretary of State for Scotland","50","50","[c]","[c]"
"In post","2022","Heterosexual / straight","White","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","White","Scottish Government","13050","12470","39720","35000"
"In post","2022","Heterosexual / straight","White","The National Archives","180","180","38250","34260"
"In post","2022","Heterosexual / straight","White","UK Export Finance","270","260","55460","52500"
"In post","2022","Heterosexual / straight","White","UK Statistics Authority","3590","3200","34160","30710"
"In post","2022","Heterosexual / straight","White","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","White","Water Services Regulation Authority","120","120","59690","55000"
"In post","2022","Heterosexual / straight","White","Welsh Government","4630","4360","41830","38160"
"In post","2022","LGBO","Asian","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2022","LGBO","Asian","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Department for Work and Pensions","140","130","28750","27570"
"In post","2022","LGBO","Asian","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","HM Revenue and Customs","130","120","30240","26820"
"In post","2022","LGBO","Asian","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Home Office","40","40","[c]","[c]"
"In post","2022","LGBO","Asian","Ministry of Defence","40","40","[c]","[c]"
"In post","2022","LGBO","Asian","Ministry of Justice","90","90","28690","24310"
"In post","2022","LGBO","Asian","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Asian","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","Department for Work and Pensions","80","80","28790","29360"
"In post","2022","LGBO","Black","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","HM Revenue and Customs","40","40","[c]","[c]"
"In post","2022","LGBO","Black","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","Ministry of Justice","70","70","31380","28900"
"In post","2022","LGBO","Black","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Black","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
