"Status","Year","Sexual_orientation","Age","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Undeclared","30-39","No function","3880","3690","34370","30950"
"In post","2022","Undeclared","30-39","Project Delivery","360","360","41060","39610"
"In post","2022","Undeclared","30-39","Property","90","90","38550","36050"
"In post","2022","Undeclared","30-39","Security","160","160","36930","37560"
"In post","2022","Undeclared","30-39","Unknown","1110","1070","36280","31540"
"In post","2022","Undeclared","40-49","Analysis","130","120","52010","52670"
"In post","2022","Undeclared","40-49","Commercial","130","130","44270","40580"
"In post","2022","Undeclared","40-49","Communications","130","120","40960","33370"
"In post","2022","Undeclared","40-49","Counter Fraud","360","340","33760","31990"
"In post","2022","Undeclared","40-49","Debt","100","90","23410","21260"
"In post","2022","Undeclared","40-49","Digital, Data & Technology","630","610","42710","40000"
"In post","2022","Undeclared","40-49","Finance","280","270","42390","37590"
"In post","2022","Undeclared","40-49","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","40-49","Human Resources","190","180","36410","33300"
"In post","2022","Undeclared","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","40-49","Legal","170","160","55610","60070"
"In post","2022","Undeclared","40-49","No function","4970","4620","33950","28310"
"In post","2022","Undeclared","40-49","Project Delivery","560","540","44400","40580"
"In post","2022","Undeclared","40-49","Property","200","190","39220","35790"
"In post","2022","Undeclared","40-49","Security","260","260","37900","39070"
"In post","2022","Undeclared","40-49","Unknown","1760","1660","36860","30980"
"In post","2022","Undeclared","50-59","Analysis","100","100","51930","53180"
"In post","2022","Undeclared","50-59","Commercial","160","150","47040","42000"
"In post","2022","Undeclared","50-59","Communications","130","130","40040","34610"
"In post","2022","Undeclared","50-59","Counter Fraud","700","650","33800","31020"
"In post","2022","Undeclared","50-59","Debt","200","170","24190","22080"
"In post","2022","Undeclared","50-59","Digital, Data & Technology","780","760","41490","38450"
"In post","2022","Undeclared","50-59","Finance","430","410","39610","35340"
"In post","2022","Undeclared","50-59","Grants Management","30","30","[c]","[c]"
"In post","2022","Undeclared","50-59","Human Resources","300","280","36910","33300"
"In post","2022","Undeclared","50-59","Internal Audit","50","50","[c]","[c]"
"In post","2022","Undeclared","50-59","Legal","190","180","52330","53270"
"In post","2022","Undeclared","50-59","No function","7850","7230","32450","27570"
"In post","2022","Undeclared","50-59","Project Delivery","900","870","44700","40910"
"In post","2022","Undeclared","50-59","Property","350","340","39380","35860"
"In post","2022","Undeclared","50-59","Security","440","440","36380","39070"
"In post","2022","Undeclared","50-59","Unknown","2830","2710","34950","29880"
"In post","2022","Undeclared","60-64","Analysis","30","30","[c]","[c]"
"In post","2022","Undeclared","60-64","Commercial","50","40","[c]","[c]"
"In post","2022","Undeclared","60-64","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","60-64","Counter Fraud","200","150","32210","28060"
"In post","2022","Undeclared","60-64","Debt","80","60","23650","22080"
"In post","2022","Undeclared","60-64","Digital, Data & Technology","170","160","39140","37020"
"In post","2022","Undeclared","60-64","Finance","130","110","37280","34200"
"In post","2022","Undeclared","60-64","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","60-64","Human Resources","80","70","34120","31740"
"In post","2022","Undeclared","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","60-64","Legal","50","40","[c]","[c]"
"In post","2022","Undeclared","60-64","No function","2550","2020","30060","27570"
"In post","2022","Undeclared","60-64","Project Delivery","260","220","40530","39750"
"In post","2022","Undeclared","60-64","Property","110","90","37270","33300"
"In post","2022","Undeclared","60-64","Security","130","110","33110","33300"
"In post","2022","Undeclared","60-64","Unknown","830","720","32140","27670"
"In post","2022","Undeclared","65+","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","65+","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","65+","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","65+","Counter Fraud","70","50","31490","27570"
"In post","2022","Undeclared","65+","Debt","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","65+","Digital, Data & Technology","50","40","[c]","[c]"
"In post","2022","Undeclared","65+","Finance","40","30","[c]","[c]"
"In post","2022","Undeclared","65+","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","65+","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","65+","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","65+","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","65+","No function","820","590","30120","26780"
"In post","2022","Undeclared","65+","Project Delivery","70","60","42220","39550"
"In post","2022","Undeclared","65+","Property","40","40","[c]","[c]"
"In post","2022","Undeclared","65+","Security","40","30","[c]","[c]"
"In post","2022","Undeclared","65+","Unknown","300","250","31960","29080"
"In post","2022","Unknown","16-19","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","Debt","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","No function","260","240","21720","21250"
"In post","2022","Unknown","16-19","Project Delivery","50","50","17640","17140"
"In post","2022","Unknown","16-19","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","Security","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","Unknown","100","100","21370","21260"
"In post","2022","Unknown","20-29","Analysis","570","560","33690","31020"
"In post","2022","Unknown","20-29","Commercial","270","270","38800","33570"
"In post","2022","Unknown","20-29","Communications","760","760","30090","26820"
"In post","2022","Unknown","20-29","Counter Fraud","590","590","29750","26820"
"In post","2022","Unknown","20-29","Debt","500","480","22260","21250"
"In post","2022","Unknown","20-29","Digital, Data & Technology","790","790","34000","33080"
"In post","2022","Unknown","20-29","Finance","360","350","30530","27570"
"In post","2022","Unknown","20-29","Grants Management","230","230","22220","21300"
"In post","2022","Unknown","20-29","Human Resources","260","260","29410","26820"
"In post","2022","Unknown","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","20-29","Legal","190","190","33140","30600"
"In post","2022","Unknown","20-29","No function","12990","12780","27880","26840"
"In post","2022","Unknown","20-29","Project Delivery","740","740","33120","33000"
"In post","2022","Unknown","20-29","Property","400","390","28180","26030"
"In post","2022","Unknown","20-29","Security","440","440","27870","26610"
"In post","2022","Unknown","20-29","Unknown","3470","3430","29310","27230"
"In post","2022","Unknown","30-39","Analysis","480","470","41690","38340"
"In post","2022","Unknown","30-39","Commercial","460","450","54780","54700"
"In post","2022","Unknown","30-39","Communications","770","750","34280","31020"
"In post","2022","Unknown","30-39","Counter Fraud","790","760","31960","30750"
"In post","2022","Unknown","30-39","Debt","410","380","22820","21250"
"In post","2022","Unknown","30-39","Digital, Data & Technology","1000","990","42350","39270"
"In post","2022","Unknown","30-39","Finance","450","430","38540","36500"
"In post","2022","Unknown","30-39","Grants Management","250","230","23680","21300"
"In post","2022","Unknown","30-39","Human Resources","350","340","36620","33080"
"In post","2022","Unknown","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","30-39","Legal","440","410","47930","51370"
"In post","2022","Unknown","30-39","No function","12670","11850","31280","27570"
"In post","2022","Unknown","30-39","Project Delivery","1090","1060","41990","40180"
"In post","2022","Unknown","30-39","Property","360","350","33270","30430"
"In post","2022","Unknown","30-39","Security","430","430","32970","32650"
"In post","2022","Unknown","30-39","Unknown","3110","3020","35510","31540"
"In post","2022","Unknown","40-49","Analysis","370","350","44650","42560"
"In post","2022","Unknown","40-49","Commercial","600","590","64700","62130"
"In post","2022","Unknown","40-49","Communications","470","450","37440","33080"
"In post","2022","Unknown","40-49","Counter Fraud","880","820","32050","31000"
"In post","2022","Unknown","40-49","Debt","350","300","23750","21260"
"In post","2022","Unknown","40-49","Digital, Data & Technology","1040","1020","44500","40520"
"In post","2022","Unknown","40-49","Finance","540","510","40340","36050"
"In post","2022","Unknown","40-49","Grants Management","320","290","24690","21300"
"In post","2022","Unknown","40-49","Human Resources","340","320","36730","33080"
"In post","2022","Unknown","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","40-49","Legal","810","720","50890","54200"
"In post","2022","Unknown","40-49","No function","12410","11260","32040","27570"
"In post","2022","Unknown","40-49","Project Delivery","990","940","46620","44770"
"In post","2022","Unknown","40-49","Property","360","340","35390","31000"
"In post","2022","Unknown","40-49","Security","310","300","36580","37090"
"In post","2022","Unknown","40-49","Unknown","2610","2510","38990","33090"
"In post","2022","Unknown","50-59","Analysis","240","230","47520","44510"
"In post","2022","Unknown","50-59","Commercial","540","530","66080","61850"
"In post","2022","Unknown","50-59","Communications","270","250","35610","29910"
"In post","2022","Unknown","50-59","Counter Fraud","1310","1220","32100","29560"
"In post","2022","Unknown","50-59","Debt","500","440","24860","22080"
"In post","2022","Unknown","50-59","Digital, Data & Technology","860","840","43720","40180"
"In post","2022","Unknown","50-59","Finance","620","570","37120","33170"
"In post","2022","Unknown","50-59","Grants Management","230","210","26600","21300"
"In post","2022","Unknown","50-59","Human Resources","360","340","37450","33370"
"In post","2022","Unknown","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","50-59","Legal","940","860","48720","54200"
"In post","2022","Unknown","50-59","No function","15740","14250","30800","27570"
"In post","2022","Unknown","50-59","Project Delivery","1120","1070","45760","41290"
"In post","2022","Unknown","50-59","Property","500","480","35660","31270"
"In post","2022","Unknown","50-59","Security","390","380","35310","33950"
"In post","2022","Unknown","50-59","Unknown","3020","2880","39180","34630"
"In post","2022","Unknown","60-64","Analysis","60","50","44830","47060"
"In post","2022","Unknown","60-64","Commercial","90","90","58250","55250"
"In post","2022","Unknown","60-64","Communications","50","40","[c]","[c]"
"In post","2022","Unknown","60-64","Counter Fraud","410","310","30410","27570"
"In post","2022","Unknown","60-64","Debt","190","150","24280","22080"
"In post","2022","Unknown","60-64","Digital, Data & Technology","180","160","41310","37430"
"In post","2022","Unknown","60-64","Finance","170","140","33040","29590"
"In post","2022","Unknown","60-64","Grants Management","70","60","24450","21300"
"In post","2022","Unknown","60-64","Human Resources","90","80","32590","28920"
"In post","2022","Unknown","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Legal","210","170","46880","53050"
"In post","2022","Unknown","60-64","No function","4970","3860","29310","27080"
"In post","2022","Unknown","60-64","Project Delivery","260","220","42270","38390"
"In post","2022","Unknown","60-64","Property","180","160","33960","29980"
"In post","2022","Unknown","60-64","Security","90","80","32410","29170"
"In post","2022","Unknown","60-64","Unknown","760","690","36960","32700"
"In post","2022","Unknown","65+","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Counter Fraud","140","100","29960","27570"
"In post","2022","Unknown","65+","Debt","50","40","25200","22080"
"In post","2022","Unknown","65+","Digital, Data & Technology","50","40","35670","33980"
"In post","2022","Unknown","65+","Finance","40","30","[c]","[c]"
"In post","2022","Unknown","65+","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Legal","70","50","50870","55610"
"In post","2022","Unknown","65+","No function","1660","1190","29920","26800"
"In post","2022","Unknown","65+","Project Delivery","80","60","40790","37910"
"In post","2022","Unknown","65+","Property","60","50","29030","25490"
"In post","2022","Unknown","65+","Security","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Unknown","250","210","35120","30040"
"In post","2022","Unknown","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","16-19","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","16-19","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","16-19","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","16-19","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","16-19","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","16-19","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","16-19","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","20-29","Analysis","80","80","27820","26340"
"Leaver CS","2021","Heterosexual / straight","20-29","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","20-29","Communications","30","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","20-29","Digital, Data & Technology","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","20-29","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","20-29","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","20-29","Human Resources","30","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","20-29","Legal","70","70","27960","25480"
"Leaver CS","2021","Heterosexual / straight","20-29","No function","1180","1160","24000","22220"
"Leaver CS","2021","Heterosexual / straight","20-29","Project Delivery","100","100","26600","25560"
"Leaver CS","2021","Heterosexual / straight","20-29","Property","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","20-29","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","20-29","Unknown","770","750","25650","24110"
"Leaver CS","2021","Heterosexual / straight","30-39","Analysis","30","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","30-39","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","30-39","Communications","30","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","30-39","Digital, Data & Technology","60","60","46330","42510"
"Leaver CS","2021","Heterosexual / straight","30-39","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","30-39","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","30-39","Human Resources","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","30-39","Legal","60","60","45810","50260"
"Leaver CS","2021","Heterosexual / straight","30-39","No function","920","860","32990","28760"
"Leaver CS","2021","Heterosexual / straight","30-39","Project Delivery","80","80","38450","37320"
"Leaver CS","2021","Heterosexual / straight","30-39","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","30-39","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","30-39","Unknown","640","590","30080","27570"
"Leaver CS","2021","Heterosexual / straight","40-49","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","40-49","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","40-49","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","40-49","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","40-49","Digital, Data & Technology","40","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","40-49","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","40-49","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","40-49","Human Resources","30","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","40-49","Legal","40","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","40-49","No function","650","590","36500","30300"
"Leaver CS","2021","Heterosexual / straight","40-49","Project Delivery","60","50","42750","37610"
"Leaver CS","2021","Heterosexual / straight","40-49","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","40-49","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","40-49","Unknown","610","550","32620","27570"
"Leaver CS","2021","Heterosexual / straight","50-59","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","50-59","Commercial","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","50-59","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","50-59","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","50-59","Digital, Data & Technology","30","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","50-59","Finance","50","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","50-59","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","50-59","Human Resources","50","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","50-59","Legal","80","70","53130","55000"
"Leaver CS","2021","Heterosexual / straight","50-59","No function","920","850","37530","29570"
"Leaver CS","2021","Heterosexual / straight","50-59","Project Delivery","130","120","45690","40690"
"Leaver CS","2021","Heterosexual / straight","50-59","Property","70","70","35200","31480"
"Leaver CS","2021","Heterosexual / straight","50-59","Security","70","70","33460","38120"
"Leaver CS","2021","Heterosexual / straight","50-59","Unknown","1110","1000","31670","27570"
"Leaver CS","2021","Heterosexual / straight","60-64","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","60-64","Commercial","40","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","60-64","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","60-64","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","60-64","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","60-64","Finance","40","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","60-64","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","60-64","Human Resources","50","50","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","60-64","Legal","60","50","52990","55610"
"Leaver CS","2021","Heterosexual / straight","60-64","No function","670","560","38170","27130"
"Leaver CS","2021","Heterosexual / straight","60-64","Project Delivery","110","100","43690","39900"
"Leaver CS","2021","Heterosexual / straight","60-64","Property","60","50","36340","33300"
"Leaver CS","2021","Heterosexual / straight","60-64","Security","70","60","31650","33630"
"Leaver CS","2021","Heterosexual / straight","60-64","Unknown","970","800","32230","27570"
"Leaver CS","2021","Heterosexual / straight","65+","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","65+","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","65+","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","65+","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","65+","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","65+","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","65+","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","65+","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","65+","Legal","40","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","65+","No function","620","450","27800","21270"
"Leaver CS","2021","Heterosexual / straight","65+","Project Delivery","80","70","36320","33300"
"Leaver CS","2021","Heterosexual / straight","65+","Property","60","50","29810","29630"
"Leaver CS","2021","Heterosexual / straight","65+","Security","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","65+","Unknown","820","610","27220","25160"
"Leaver CS","2021","Heterosexual / straight","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","16-19","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","16-19","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","16-19","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","16-19","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","16-19","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","16-19","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","16-19","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","20-29","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","20-29","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","20-29","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","20-29","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","20-29","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","20-29","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","20-29","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","20-29","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","20-29","No function","160","160","22830","20150"
"Leaver CS","2021","LGBO","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","20-29","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","20-29","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","20-29","Unknown","90","90","26030","24180"
"Leaver CS","2021","LGBO","30-39","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","30-39","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","30-39","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","30-39","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","30-39","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","30-39","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","30-39","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","30-39","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","30-39","No function","70","60","[c]","[c]"
"Leaver CS","2021","LGBO","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","30-39","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","30-39","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","30-39","Unknown","60","60","32900","27570"
"Leaver CS","2021","LGBO","40-49","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","40-49","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","40-49","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","40-49","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","40-49","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","40-49","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","40-49","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","40-49","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","40-49","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","40-49","No function","40","40","[c]","[c]"
"Leaver CS","2021","LGBO","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","40-49","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","40-49","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","40-49","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","LGBO","50-59","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","50-59","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","50-59","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","50-59","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","50-59","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","50-59","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","50-59","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","50-59","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","50-59","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","50-59","No function","40","30","[c]","[c]"
"Leaver CS","2021","LGBO","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","50-59","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","50-59","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","50-59","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","LGBO","60-64","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","60-64","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","60-64","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","60-64","Debt","[c]","[c]","[c]","[c]"
