"Status","Year","Profession_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","Declared non-disabled","100","90","31460","29250"
"Leaver CS","2022","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Declared non-disabled","40","40","[c]","[c]"
"Leaver CS","2022","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","Declared non-disabled","50","50","[c]","[c]"
"Leaver CS","2022","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","Unknown","50","50","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Declared disabled","40","40","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Declared non-disabled","290","270","35270","31400"
"Leaver CS","2022","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Unknown","100","90","36390","31780"
"Leaver CS","2022","Legal","Declared disabled","40","40","[c]","[c]"
"Leaver CS","2022","Legal","Declared non-disabled","330","290","57310","55610"
"Leaver CS","2022","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Unknown","130","120","52050","53050"
"Leaver CS","2022","Medicine","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Declared non-disabled","250","220","59290","41840"
"Leaver CS","2022","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Unknown","150","130","58530","42120"
"Leaver CS","2022","Operational Delivery","Declared disabled","2450","2110","26850","26130"
"Leaver CS","2022","Operational Delivery","Declared non-disabled","13450","11940","28310","27130"
"Leaver CS","2022","Operational Delivery","Undeclared","1150","980","28220","26340"
"Leaver CS","2022","Operational Delivery","Unknown","4530","4180","29450","24880"
"Leaver CS","2022","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","Declared non-disabled","30","30","[c]","[c]"
"Leaver CS","2022","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Declared disabled","290","250","26290","22330"
"Leaver CS","2022","Other","Declared non-disabled","1690","1570","28940","24050"
"Leaver CS","2022","Other","Undeclared","150","140","27250","22270"
"Leaver CS","2022","Other","Unknown","760","720","32430","28980"
"Leaver CS","2022","Planning","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectors","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectors","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Declared disabled","130","120","42470","37410"
"Leaver CS","2022","Policy","Declared non-disabled","880","810","48240","44500"
"Leaver CS","2022","Policy","Undeclared","80","80","[c]","[c]"
"Leaver CS","2022","Policy","Unknown","520","360","40550","36500"
"Leaver CS","2022","Project Delivery","Declared disabled","90","80","40510","38070"
"Leaver CS","2022","Project Delivery","Declared non-disabled","510","480","41570","38580"
"Leaver CS","2022","Project Delivery","Undeclared","30","30","[c]","[c]"
"Leaver CS","2022","Project Delivery","Unknown","120","120","41520","38130"
"Leaver CS","2022","Property","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Declared non-disabled","270","240","37600","34000"
"Leaver CS","2022","Property","Undeclared","30","30","[c]","[c]"
"Leaver CS","2022","Property","Unknown","100","90","29100","25000"
"Leaver CS","2022","Psychology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","Declared non-disabled","70","60","[c]","[c]"
"Leaver CS","2022","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Declared disabled","120","110","38910","36330"
"Leaver CS","2022","Science and Engineering","Declared non-disabled","1060","980","37360","35900"
"Leaver CS","2022","Science and Engineering","Undeclared","60","60","35470","34370"
"Leaver CS","2022","Science and Engineering","Unknown","210","190","39710","33550"
"Leaver CS","2022","Security","Declared disabled","60","60","32990","31180"
"Leaver CS","2022","Security","Declared non-disabled","400","390","31990","28750"
"Leaver CS","2022","Security","Undeclared","50","50","[c]","[c]"
"Leaver CS","2022","Security","Unknown","180","180","30820","26750"
"Leaver CS","2022","Social Research","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Declared non-disabled","60","50","38400","33930"
"Leaver CS","2022","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Unknown","30","30","[c]","[c]"
"Leaver CS","2022","Tax","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Tax","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Tax","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Tax","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","770","630","32080","27570"
"Leaver CS","2022","Unknown","Declared non-disabled","4260","3580","37930","30040"
"Leaver CS","2022","Unknown","Undeclared","390","340","38750","33300"
"Leaver CS","2022","Unknown","Unknown","3230","2780","36330","27570"
"Leaver CS","2022","Veterinarian","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Veterinarian","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","100","90","37050","36350"
"Leaver Dept.","2021","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","40","40","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","110","100","45420","40800"
"Leaver Dept.","2021","Communications","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Unknown","70","70","42630","39600"
"Leaver Dept.","2021","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Corporate Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Declared non-disabled","110","110","44820","39200"
"Leaver Dept.","2021","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Unknown","70","70","45050","44310"
"Leaver Dept.","2021","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Declared non-disabled","70","70","43640","38600"
"Leaver Dept.","2021","Economics","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Unknown","30","30","[c]","[c]"
"Leaver Dept.","2021","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Declared non-disabled","150","150","46610","45150"
"Leaver Dept.","2021","Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Unknown","50","50","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Declared disabled","40","30","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Declared non-disabled","190","190","38180","33620"
"Leaver Dept.","2021","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Unknown","80","70","42120","37480"
"Leaver Dept.","2021","Inspector of Education and Training","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Inspector of Education and Training","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Declared non-disabled","40","30","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","International Trade","Declared non-disabled","50","50","48410","50700"
"Leaver Dept.","2021","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","International Trade","Unknown","70","70","43530","38540"
"Leaver Dept.","2021","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Declared non-disabled","80","80","55950","54300"
"Leaver Dept.","2021","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicine","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicine","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicine","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Declared disabled","160","160","28700","24590"
"Leaver Dept.","2021","Operational Delivery","Declared non-disabled","1240","1190","29310","24890"
"Leaver Dept.","2021","Operational Delivery","Undeclared","120","110","28430","24890"
"Leaver Dept.","2021","Operational Delivery","Unknown","470","450","28430","23530"
"Leaver Dept.","2021","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","Declared non-disabled","30","30","[c]","[c]"
"Leaver Dept.","2021","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Declared non-disabled","210","200","37440","30750"
"Leaver Dept.","2021","Other","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Unknown","70","60","[c]","[c]"
"Leaver Dept.","2021","Planning","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning Inspectors","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning Inspectors","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Declared disabled","120","120","42150","37220"
"Leaver Dept.","2021","Policy","Declared non-disabled","880","850","45950","40940"
"Leaver Dept.","2021","Policy","Undeclared","90","90","44380","41790"
"Leaver Dept.","2021","Policy","Unknown","600","590","42070","37240"
"Leaver Dept.","2021","Project Delivery","Declared disabled","40","40","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Declared non-disabled","270","270","41980","38680"
"Leaver Dept.","2021","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Unknown","80","70","42060","37290"
"Leaver Dept.","2021","Property","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Declared non-disabled","40","40","[c]","[c]"
"Leaver Dept.","2021","Property","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Psychology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Psychology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Psychology","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Declared non-disabled","90","90","37340","33900"
"Leaver Dept.","2021","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Declared non-disabled","60","60","41130","36300"
"Leaver Dept.","2021","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Tax","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Tax","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Tax","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","440","400","35070","32000"
"Leaver Dept.","2021","Unknown","Declared non-disabled","3110","2850","35600","31990"
"Leaver Dept.","2021","Unknown","Undeclared","260","250","36010","32000"
"Leaver Dept.","2021","Unknown","Unknown","1680","1420","36080","32000"
"Leaver Dept.","2022","Commercial","Declared disabled","30","30","[c]","[c]"
"Leaver Dept.","2022","Commercial","Declared non-disabled","240","230","39820","36780"
"Leaver Dept.","2022","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Unknown","220","70","45220","40650"
"Leaver Dept.","2022","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Declared non-disabled","210","200","42350","37280"
"Leaver Dept.","2022","Communications","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Unknown","180","70","41680","37560"
"Leaver Dept.","2022","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Declared non-disabled","80","80","31150","27570"
"Leaver Dept.","2022","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Declared disabled","50","50","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Declared non-disabled","430","420","42360","38500"
"Leaver Dept.","2022","Digital, Data and Technology","Undeclared","40","40","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Unknown","240","140","41950","38540"
"Leaver Dept.","2022","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","Declared non-disabled","110","100","46960","40010"
"Leaver Dept.","2022","Economics","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","Unknown","40","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Declared disabled","50","40","[c]","[c]"
"Leaver Dept.","2022","Finance","Declared non-disabled","340","330","42310","38570"
"Leaver Dept.","2022","Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Unknown","220","80","41210","37690"
"Leaver Dept.","2022","Geography","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Geography","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Geography","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Declared disabled","70","60","41130","36330"
"Leaver Dept.","2022","Human Resources","Declared non-disabled","400","390","39320","32960"
"Leaver Dept.","2022","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Unknown","130","90","37860","32000"
"Leaver Dept.","2022","Inspector of Education and Training","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Inspector of Education and Training","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","Declared non-disabled","60","60","33230","30030"
"Leaver Dept.","2022","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","International Trade","Declared non-disabled","40","40","[c]","[c]"
"Leaver Dept.","2022","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","International Trade","Unknown","40","40","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Declared non-disabled","220","200","43730","40560"
"Leaver Dept.","2022","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Unknown","70","60","46420","47090"
"Leaver Dept.","2022","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Declared non-disabled","70","60","58150","56920"
"Leaver Dept.","2022","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Unknown","40","40","[c]","[c]"
"Leaver Dept.","2022","Medicine","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Medicine","Declared non-disabled","250","200","81240","89370"
"Leaver Dept.","2022","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Medicine","Unknown","130","110","108890","114000"
"Leaver Dept.","2022","Operational Delivery","Declared disabled","730","700","30950","27570"
"Leaver Dept.","2022","Operational Delivery","Declared non-disabled","5920","5590","32350","27570"
"Leaver Dept.","2022","Operational Delivery","Undeclared","350","340","31370","27570"
"Leaver Dept.","2022","Operational Delivery","Unknown","1520","1400","36180","28750"
"Leaver Dept.","2022","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Research","Declared non-disabled","30","30","[c]","[c]"
"Leaver Dept.","2022","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Declared disabled","80","80","29830","27570"
"Leaver Dept.","2022","Other","Declared non-disabled","560","550","30930","27570"
"Leaver Dept.","2022","Other","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Unknown","120","120","33970","30700"
"Leaver Dept.","2022","Planning","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Planning","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Planning Inspectors","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Planning Inspectors","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Declared disabled","190","170","43400","39600"
"Leaver Dept.","2022","Policy","Declared non-disabled","1320","1270","46250","41950"
"Leaver Dept.","2022","Policy","Undeclared","110","110","43470","40350"
"Leaver Dept.","2022","Policy","Unknown","790","400","43090","40050"
"Leaver Dept.","2022","Project Delivery","Declared disabled","60","60","38560","35110"
"Leaver Dept.","2022","Project Delivery","Declared non-disabled","360","350","40850","37550"
"Leaver Dept.","2022","Project Delivery","Undeclared","40","40","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Unknown","70","70","40650","39510"
"Leaver Dept.","2022","Property","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Declared non-disabled","70","70","42990","39970"
"Leaver Dept.","2022","Property","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Unknown","40","30","[c]","[c]"
"Leaver Dept.","2022","Psychology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Psychology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","Declared disabled","140","130","35770","32560"
"Leaver Dept.","2022","Science and Engineering","Declared non-disabled","1360","1280","37440","33820"
"Leaver Dept.","2022","Science and Engineering","Undeclared","30","30","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","Unknown","740","680","45410","41730"
"Leaver Dept.","2022","Security","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Declared non-disabled","60","50","[c]","[c]"
"Leaver Dept.","2022","Security","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Social Research","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Social Research","Declared non-disabled","40","40","[c]","[c]"
"Leaver Dept.","2022","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Social Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Declared non-disabled","80","80","43480","42630"
"Leaver Dept.","2022","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Tax","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Tax","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Tax","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Declared disabled","330","290","39360","34550"
"Leaver Dept.","2022","Unknown","Declared non-disabled","2110","1890","44960","39290"
"Leaver Dept.","2022","Unknown","Undeclared","140","120","41150","38200"
"Leaver Dept.","2022","Unknown","Unknown","1840","1520","38070","32000"
"Leaver Dept.","2022","Veterinarian","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Veterinarian","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Declared non-disabled","220","210","35490","34000"
"New entrant CS","2021","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Unknown","220","220","37590","36000"
"New entrant CS","2021","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Declared non-disabled","180","180","36560","32560"
"New entrant CS","2021","Communications","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Unknown","250","250","35870","30320"
"New entrant CS","2021","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Corporate Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Declared disabled","80","70","37980","37000"
"New entrant CS","2021","Digital, Data and Technology","Declared non-disabled","750","740","41200","38630"
"New entrant CS","2021","Digital, Data and Technology","Undeclared","50","50","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Unknown","980","970","40310","36710"
"New entrant CS","2021","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Economics","Declared non-disabled","250","250","32710","31800"
"New entrant CS","2021","Economics","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Economics","Unknown","180","180","31100","32390"
"New entrant CS","2021","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Declared non-disabled","360","340","36320","32940"
"New entrant CS","2021","Finance","Undeclared","40","40","[c]","[c]"
"New entrant CS","2021","Finance","Unknown","300","290","34780","32790"
"New entrant CS","2021","Human Resources","Declared disabled","60","60","34730","29760"
"New entrant CS","2021","Human Resources","Declared non-disabled","360","340","33440","29540"
"New entrant CS","2021","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Unknown","280","270","33260","28840"
"New entrant CS","2021","Inspector of Education and Training","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Inspector of Education and Training","Declared non-disabled","80","80","63750","70500"
"New entrant CS","2021","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Intelligence Analysis","Declared disabled","[c]","[c]","[c]","[c]"
