"Status","Year","Parent_department","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Northern Ireland Office","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Heterosexual / straight","Other","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Heterosexual / straight","Policy","50","50","[c]","[c]"
"In post","2021","Northern Ireland Office","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","LGBO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","LGBO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","LGBO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Unknown","Policy","40","40","[c]","[c]"
"In post","2021","Northern Ireland Office","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Heterosexual / straight","Digital, Data and Technology","60","60","46380","39850"
"In post","2021","Office for Standards in Education","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Heterosexual / straight","Human Resources","40","40","[c]","[c]"
"In post","2021","Office for Standards in Education","Heterosexual / straight","Inspector of Education and Training","670","650","65720","67500"
"In post","2021","Office for Standards in Education","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Heterosexual / straight","Operational Delivery","180","160","28490","25620"
"In post","2021","Office for Standards in Education","Heterosexual / straight","Other","200","190","29240","25880"
"In post","2021","Office for Standards in Education","Heterosexual / straight","Policy","50","50","[c]","[c]"
"In post","2021","Office for Standards in Education","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Heterosexual / straight","Statistics","90","90","40460","39850"
"In post","2021","Office for Standards in Education","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","LGBO","Inspector of Education and Training","50","50","[c]","[c]"
"In post","2021","Office for Standards in Education","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","LGBO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","LGBO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","LGBO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","LGBO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Undeclared","Inspector of Education and Training","40","40","[c]","[c]"
"In post","2021","Office for Standards in Education","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Unknown","Inspector of Education and Training","40","40","[c]","[c]"
"In post","2021","Office for Standards in Education","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Heterosexual / straight","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Heterosexual / straight","Operational Delivery","40","40","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Heterosexual / straight","Other","240","240","40720","35000"
"In post","2021","Office of Gas and Electricity Markets","Heterosexual / straight","Policy","40","40","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Heterosexual / straight","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","LGBO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","LGBO","Other","40","30","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","LGBO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Unknown","Digital, Data and Technology","60","60","51390","46160"
"In post","2021","Office of Gas and Electricity Markets","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Unknown","Legal","50","40","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Unknown","Operational Delivery","110","110","31160","25750"
"In post","2021","Office of Gas and Electricity Markets","Unknown","Other","230","230","50360","46160"
"In post","2021","Office of Gas and Electricity Markets","Unknown","Policy","40","40","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Heterosexual / straight","Operational Delivery","50","50","43080","38000"
"In post","2021","Office of Qualifications and Examinations Regulation","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","LGBO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","LGBO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","LGBO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Heterosexual / straight","Operational Delivery","60","60","50260","51310"
"In post","2021","Office of Rail and Road","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Heterosexual / straight","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","LGBO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","LGBO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","LGBO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Unknown","Operational Delivery","60","60","57240","60020"
"In post","2021","Office of Rail and Road","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Heterosexual / straight","Commercial","250","250","34890","34800"
"In post","2021","Other Cabinet Office Agencies","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Heterosexual / straight","Digital, Data and Technology","80","80","42770","40000"
"In post","2021","Other Cabinet Office Agencies","Heterosexual / straight","Finance","50","50","45320","39890"
"In post","2021","Other Cabinet Office Agencies","Heterosexual / straight","Human Resources","40","40","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Heterosexual / straight","Operational Delivery","150","150","42590","38700"
"In post","2021","Other Cabinet Office Agencies","Heterosexual / straight","Other","40","40","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Heterosexual / straight","Project Delivery","50","50","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Heterosexual / straight","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","LGBO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","LGBO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Undeclared","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Unknown","Commercial","90","90","31730","30150"
"In post","2021","Other Cabinet Office Agencies","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Unknown","Operational Delivery","50","50","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Heterosexual / straight","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Heterosexual / straight","Unknown","40","40","[c]","[c]"
"In post","2021","Scotland Office","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","LGBO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Heterosexual / straight","Commercial","40","40","[c]","[c]"
