"Status","Year","Organisation","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Submarine Delivery Agency","Science and Engineering","Ministry of Defence","780","770","41180","39860"
"In post","2022","Submarine Delivery Agency","Security","Ministry of Defence","40","30","[c]","[c]"
"In post","2022","Teaching Regulation Agency","Operational Delivery","Department for Education","50","50","31840","29360"
"In post","2022","Teaching Regulation Agency","Policy","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","The Insolvency Service","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","The Insolvency Service","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","The Insolvency Service","Counter Fraud","Department for Business, Energy and Industrial Strategy","240","230","39350","38910"
"In post","2022","The Insolvency Service","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","50","50","43460","41870"
"In post","2022","The Insolvency Service","Economics","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","The Insolvency Service","Finance","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2022","The Insolvency Service","Human Resources","Department for Business, Energy and Industrial Strategy","50","40","[c]","[c]"
"In post","2022","The Insolvency Service","Intelligence Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","The Insolvency Service","Knowledge and Information Management","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","The Insolvency Service","Legal","Department for Business, Energy and Industrial Strategy","60","60","49150","47890"
"In post","2022","The Insolvency Service","Operational Delivery","Department for Business, Energy and Industrial Strategy","1130","1070","28400","24500"
"In post","2022","The Insolvency Service","Policy","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","The Insolvency Service","Project Delivery","Department for Business, Energy and Industrial Strategy","50","50","[c]","[c]"
"In post","2022","The Insolvency Service","Security","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","The Insolvency Service","Statistics","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","Commercial","The National Archives","40","40","[c]","[c]"
"In post","2022","The National Archives","Communications","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","Digital, Data and Technology","The National Archives","120","110","41150","40540"
"In post","2022","The National Archives","Finance","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","Knowledge and Information Management","The National Archives","90","90","34980","31840"
"In post","2022","The National Archives","Operational Delivery","The National Archives","170","160","29770","27110"
"In post","2022","The National Archives","Other","The National Archives","90","80","38870","34770"
"In post","2022","The National Archives","Policy","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","Property","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Transport Scotland","Unknown","Scottish Government","530","510","45450","43000"
"In post","2022","UK Debt Management Office","Commercial","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","UK Debt Management Office","Communications","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","UK Debt Management Office","Digital, Data and Technology","HM Treasury","30","30","[c]","[c]"
"In post","2022","UK Debt Management Office","Finance","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","UK Debt Management Office","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","UK Debt Management Office","Internal Audit","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","UK Debt Management Office","Knowledge and Information Management","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","UK Debt Management Office","Legal","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","UK Debt Management Office","Operational Delivery","HM Treasury","40","40","[c]","[c]"
"In post","2022","UK Debt Management Office","Policy","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","UK Debt Management Office","Project Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","UK Debt Management Office","Security","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","Digital, Data and Technology","UK Export Finance","40","40","[c]","[c]"
"In post","2022","UK Export Finance","Economics","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","Human Resources","UK Export Finance","30","30","[c]","[c]"
"In post","2022","UK Export Finance","Internal Audit","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","Knowledge and Information Management","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","Legal","UK Export Finance","30","30","[c]","[c]"
"In post","2022","UK Export Finance","Operational Delivery","UK Export Finance","280","280","52000","44160"
"In post","2022","UK Export Finance","Policy","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","Security","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","UK Health Security Agency","Commercial","Department of Health and Social Care","140","140","47610","46000"
"In post","2022","UK Health Security Agency","Communications","Department of Health and Social Care","100","90","43770","40070"
"In post","2022","UK Health Security Agency","Corporate Finance","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","UK Health Security Agency","Digital, Data and Technology","Department of Health and Social Care","150","150","43740","38150"
"In post","2022","UK Health Security Agency","Finance","Department of Health and Social Care","110","100","42290","40470"
"In post","2022","UK Health Security Agency","Human Resources","Department of Health and Social Care","270","260","43110","36820"
"In post","2022","UK Health Security Agency","Knowledge and Information Management","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","UK Health Security Agency","Legal","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","UK Health Security Agency","Medicine","Department of Health and Social Care","340","290","90650","95140"
"In post","2022","UK Health Security Agency","Operational Delivery","Department of Health and Social Care","3420","3180","39800","33340"
"In post","2022","UK Health Security Agency","Property","Department of Health and Social Care","30","30","[c]","[c]"
"In post","2022","UK Health Security Agency","Science and Engineering","Department of Health and Social Care","2020","1900","40440","38770"
"In post","2022","UK Health Security Agency","Statistics","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","UK Hydrographic Office","Commercial","Ministry of Defence","90","80","42310","42510"
"In post","2022","UK Hydrographic Office","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","UK Hydrographic Office","Corporate Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","UK Hydrographic Office","Digital, Data and Technology","Ministry of Defence","180","170","40230","42510"
"In post","2022","UK Hydrographic Office","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","UK Hydrographic Office","Geography","Ministry of Defence","430","400","31390","33290"
"In post","2022","UK Hydrographic Office","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","UK Hydrographic Office","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","UK Hydrographic Office","Knowledge and Information Management","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","UK Hydrographic Office","Operational Delivery","Ministry of Defence","80","80","29800","26900"
"In post","2022","UK Hydrographic Office","Operational Research","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","UK Hydrographic Office","Other","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","UK Hydrographic Office","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","UK Hydrographic Office","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","UK Hydrographic Office","Science and Engineering","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","UK Hydrographic Office","Security","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","UK Space Agency","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","UK Space Agency","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","UK Space Agency","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","UK Space Agency","Economics","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","UK Space Agency","Finance","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","UK Space Agency","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","UK Space Agency","Knowledge and Information Management","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","UK Space Agency","Operational Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","UK Space Agency","Other","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","UK Space Agency","Policy","Department for Business, Energy and Industrial Strategy","70","70","48710","49400"
"In post","2022","UK Space Agency","Project Delivery","Department for Business, Energy and Industrial Strategy","90","90","48300","40220"
"In post","2022","UK Space Agency","Science and Engineering","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","UK Space Agency","Security","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","UK Statistics Authority","Commercial","UK Statistics Authority","40","30","[c]","[c]"
"In post","2022","UK Statistics Authority","Communications","UK Statistics Authority","60","60","39150","36840"
"In post","2022","UK Statistics Authority","Corporate Finance","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","UK Statistics Authority","Digital, Data and Technology","UK Statistics Authority","660","650","41900","37570"
"In post","2022","UK Statistics Authority","Economics","UK Statistics Authority","180","180","36380","30710"
"In post","2022","UK Statistics Authority","Finance","UK Statistics Authority","50","50","35900","30210"
"In post","2022","UK Statistics Authority","Geography","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","UK Statistics Authority","Human Resources","UK Statistics Authority","150","130","38660","33520"
"In post","2022","UK Statistics Authority","Internal Audit","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","UK Statistics Authority","Knowledge and Information Management","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","UK Statistics Authority","Legal","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","UK Statistics Authority","Operational Delivery","UK Statistics Authority","3050","2530","27560","23880"
"In post","2022","UK Statistics Authority","Operational Research","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","UK Statistics Authority","Planning","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","UK Statistics Authority","Policy","UK Statistics Authority","80","80","39450","36840"
"In post","2022","UK Statistics Authority","Project Delivery","UK Statistics Authority","250","240","41100","36840"
"In post","2022","UK Statistics Authority","Property","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","UK Statistics Authority","Security","UK Statistics Authority","60","60","37580","32030"
"In post","2022","UK Statistics Authority","Social Research","UK Statistics Authority","660","630","38820","38340"
"In post","2022","UK Statistics Authority","Statistics","UK Statistics Authority","590","570","43440","38340"
"In post","2022","UK Supreme Court","Commercial","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","Digital, Data and Technology","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","Finance","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","Human Resources","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","Knowledge and Information Management","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","Legal","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","Operational Delivery","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","Policy","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","Property","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Valuation Office Agency","Commercial","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Valuation Office Agency","Communications","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Valuation Office Agency","Digital, Data and Technology","HM Revenue and Customs","40","40","[c]","[c]"
"In post","2022","Valuation Office Agency","Finance","HM Revenue and Customs","70","70","43110","38870"
"In post","2022","Valuation Office Agency","Human Resources","HM Revenue and Customs","90","90","40660","34000"
"In post","2022","Valuation Office Agency","Knowledge and Information Management","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Valuation Office Agency","Operational Delivery","HM Revenue and Customs","1170","1110","29180","22040"
"In post","2022","Valuation Office Agency","Operational Research","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Valuation Office Agency","Policy","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Valuation Office Agency","Project Delivery","HM Revenue and Customs","80","70","41650","40160"
"In post","2022","Valuation Office Agency","Property","HM Revenue and Customs","2300","2140","36370","31900"
"In post","2022","Valuation Office Agency","Social Research","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Valuation Office Agency","Statistics","HM Revenue and Customs","50","40","[c]","[c]"
"In post","2022","Vehicle Certification Agency","Communications","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Vehicle Certification Agency","Digital, Data and Technology","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Vehicle Certification Agency","Finance","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Vehicle Certification Agency","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Vehicle Certification Agency","Knowledge and Information Management","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Vehicle Certification Agency","Operational Delivery","Department for Transport","80","70","28060","21840"
"In post","2022","Vehicle Certification Agency","Project Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Vehicle Certification Agency","Property","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Vehicle Certification Agency","Science and Engineering","Department for Transport","90","90","42840","39940"
"In post","2022","Veterinary Medicines Directorate","Digital, Data and Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Veterinary Medicines Directorate","Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Veterinary Medicines Directorate","Operational Delivery","Department for Environment, Food and Rural Affairs","80","80","36050","32560"
"In post","2022","Veterinary Medicines Directorate","Policy","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Veterinary Medicines Directorate","Science and Engineering","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Veterinary Medicines Directorate","Unknown","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"In post","2022","Veterinary Medicines Directorate","Veterinarian","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Commercial","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Corporate Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Digital, Data and Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Economics","Water Services Regulation Authority","40","40","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Human Resources","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Knowledge and Information Management","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Legal","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Operational Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Other","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Policy","Water Services Regulation Authority","50","50","59540","60000"
"In post","2022","Water Services Regulation Authority","Project Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Property","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Science and Engineering","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Security","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Welsh Government (excl. agencies)","Communications","Welsh Government","150","140","40460","38160"
"In post","2022","Welsh Government (excl. agencies)","Digital, Data and Technology","Welsh Government","210","210","38820","38160"
"In post","2022","Welsh Government (excl. agencies)","Economics","Welsh Government","50","40","[c]","[c]"
"In post","2022","Welsh Government (excl. agencies)","Finance","Welsh Government","330","310","43390","38160"
"In post","2022","Welsh Government (excl. agencies)","Human Resources","Welsh Government","200","180","35320","29430"
"In post","2022","Welsh Government (excl. agencies)","Internal Audit","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Welsh Government (excl. agencies)","Knowledge and Information Management","Welsh Government","110","110","34910","29430"
"In post","2022","Welsh Government (excl. agencies)","Legal","Welsh Government","160","150","57340","61440"
"In post","2022","Welsh Government (excl. agencies)","Medicine","Welsh Government","190","180","46640","47470"
"In post","2022","Welsh Government (excl. agencies)","Operational Delivery","Welsh Government","1620","1520","38070","29430"
"In post","2022","Welsh Government (excl. agencies)","Other","Welsh Government","640","610","43040","38160"
"In post","2022","Welsh Government (excl. agencies)","Planning","Welsh Government","70","70","44280","38160"
"In post","2022","Welsh Government (excl. agencies)","Policy","Welsh Government","1660","1580","43740","38160"
"In post","2022","Welsh Government (excl. agencies)","Project Delivery","Welsh Government","140","130","45830","40100"
"In post","2022","Welsh Government (excl. agencies)","Property","Welsh Government","60","60","40460","38160"
"In post","2022","Welsh Government (excl. agencies)","Science and Engineering","Welsh Government","70","70","49360","47470"
"In post","2022","Welsh Government (excl. agencies)","Social Research","Welsh Government","90","80","42670","40100"
"In post","2022","Welsh Government (excl. agencies)","Statistics","Welsh Government","90","90","41100","38160"
"In post","2022","Welsh Government (excl. agencies)","Veterinarian","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Welsh Revenue Authority","Communications","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Welsh Revenue Authority","Digital, Data and Technology","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Welsh Revenue Authority","Finance","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Welsh Revenue Authority","Human Resources","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Welsh Revenue Authority","Knowledge and Information Management","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Welsh Revenue Authority","Legal","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Welsh Revenue Authority","Operational Delivery","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Welsh Revenue Authority","Policy","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Welsh Revenue Authority","Tax","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Welsh Revenue Authority","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Wilton Park","Communications","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Wilton Park","Digital, Data and Technology","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Wilton Park","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Wilton Park","Human Resources","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Wilton Park","Operational Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Wilton Park","Other","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Wilton Park","Policy","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Wilton Park","Project Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Wilton Park","Property","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Accountant in Bankruptcy","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Department for Business, Energy and Industrial Strategy","50","40","[c]","[c]"
"Leaver CS","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Animal and Plant Health Agency","Operational Delivery","Department for Environment, Food and Rural Affairs","80","80","25740","24370"
"Leaver CS","2021","Animal and Plant Health Agency","Other","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Animal and Plant Health Agency","Project Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Animal and Plant Health Agency","Science and Engineering","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"Leaver CS","2021","Animal and Plant Health Agency","Veterinarian","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Office","Communications","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Office","Legal","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Office","Other","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Digital, Data and Technology","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Operational Delivery","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Other","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Policy","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Unknown","Cabinet Office","370","360","47820","36000"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","Other","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Department for Environment, Food and Rural Affairs","30","30","[c]","[c]"
"Leaver CS","2021","Charity Commission","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Intelligence Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Operational Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Companies House","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Companies House","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Companies House","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Companies House","Finance","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Companies House","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Companies House","Knowledge and Information Management","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Companies House","Operational Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Companies House","Other","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Companies House","Security","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Corporate Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Digital, Data and Technology","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Economics","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Intelligence Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Policy","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Project Delivery","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Property","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Security","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Criminal Injuries Compensation Authority","Operational Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Commercial Service","Commercial","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Commercial Service","Communications","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Commercial Service","Digital, Data and Technology","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Commercial Service","Finance","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Commercial Service","Human Resources","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Commercial Service","Operational Delivery","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Commercial Service","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Office and Procurator Fiscal Service","Digital, Data and Technology","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Office and Procurator Fiscal Service","Legal","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Office and Procurator Fiscal Service","Operational Delivery","Scottish Government","60","50","24840","22220"
"Leaver CS","2021","Crown Prosecution Service","Communications","Attorney General's Departments","[c]","[c]","[c]","[c]"
