"Status","Year","Function_of_post","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Project Delivery","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Knowledge and Information Management","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Knowledge and Information Management","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Knowledge and Information Management","Ministry of Defence","180","170","36750","36500"
"In post","2021","Project Delivery","Knowledge and Information Management","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Knowledge and Information Management","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Medicine","Foreign, Commonwealth and Development Office","40","40","[c]","[c]"
"In post","2021","Project Delivery","Medicine","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Operational Delivery","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Operational Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Operational Delivery","Department for Business, Energy and Industrial Strategy","310","290","41560","39750"
"In post","2021","Project Delivery","Operational Delivery","Department for Education","60","50","33630","30200"
"In post","2021","Project Delivery","Operational Delivery","Department for Environment, Food and Rural Affairs","100","90","30480","29220"
"In post","2021","Project Delivery","Operational Delivery","Foreign, Commonwealth and Development Office","180","180","37520","32930"
"In post","2021","Project Delivery","Operational Delivery","HM Revenue and Customs","550","490","30580","28130"
"In post","2021","Project Delivery","Operational Delivery","Ministry of Defence","420","400","37260","29210"
"In post","2021","Project Delivery","Operational Delivery","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Operational Delivery","Ministry of Justice","240","240","37150","33930"
"In post","2021","Project Delivery","Operational Delivery","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Operational Research","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Other","Attorney General's Departments","30","30","[c]","[c]"
"In post","2021","Project Delivery","Other","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Other","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Other","Foreign, Commonwealth and Development Office","250","240","67040","67370"
"In post","2021","Project Delivery","Other","HM Revenue and Customs","100","90","39860","38630"
"In post","2021","Project Delivery","Other","Ministry of Defence","2970","2850","31360","28180"
"In post","2021","Project Delivery","Other","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Planning","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Policy","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Policy","Department for Business, Energy and Industrial Strategy","220","210","49580","52080"
"In post","2021","Project Delivery","Policy","Department for Education","200","190","44380","40480"
"In post","2021","Project Delivery","Policy","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Policy","Foreign, Commonwealth and Development Office","860","830","54400","55060"
"In post","2021","Project Delivery","Policy","HM Revenue and Customs","1120","1060","52510","52580"
"In post","2021","Project Delivery","Policy","Ministry of Defence","50","40","[c]","[c]"
"In post","2021","Project Delivery","Policy","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Policy","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Policy","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Project Delivery","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Project Delivery","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Project Delivery","Competition and Markets Authority","380","360","60880","56360"
"In post","2021","Project Delivery","Project Delivery","Department for Business, Energy and Industrial Strategy","360","350","42380","40050"
"In post","2021","Project Delivery","Project Delivery","Department for Digital, Culture, Media and Sport","210","210","48530","51730"
"In post","2021","Project Delivery","Project Delivery","Department for Education","60","50","46840","49860"
"In post","2021","Project Delivery","Project Delivery","Department for Environment, Food and Rural Affairs","410","390","40140","36520"
"In post","2021","Project Delivery","Project Delivery","Department for International Trade","40","40","[c]","[c]"
"In post","2021","Project Delivery","Project Delivery","Department for Transport","620","600","49850","44030"
"In post","2021","Project Delivery","Project Delivery","Department for Work and Pensions","50","40","[c]","[c]"
"In post","2021","Project Delivery","Project Delivery","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Project Delivery","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Project Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Project Delivery","Foreign, Commonwealth and Development Office","450","430","41780","38600"
"In post","2021","Project Delivery","Project Delivery","HM Land Registry","140","140","40870","38550"
"In post","2021","Project Delivery","Project Delivery","HM Revenue and Customs","2570","2460","42830","38630"
"In post","2021","Project Delivery","Project Delivery","HM Treasury","30","30","[c]","[c]"
"In post","2021","Project Delivery","Project Delivery","Ministry of Defence","7680","7470","40020","38010"
"In post","2021","Project Delivery","Project Delivery","Ministry of Housing, Communities and Local Government","120","120","45320","40720"
"In post","2021","Project Delivery","Project Delivery","Ministry of Justice","410","400","42260","36800"
"In post","2021","Project Delivery","Project Delivery","National Crime Agency","90","90","46620","45480"
"In post","2021","Project Delivery","Project Delivery","Office for Standards in Education","30","30","[c]","[c]"
"In post","2021","Project Delivery","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Project Delivery","Other Cabinet Office Agencies","40","40","[c]","[c]"
"In post","2021","Project Delivery","Project Delivery","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Project Delivery","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Project Delivery","United Kingdom Statistics Authority","230","220","40440","36030"
"In post","2021","Project Delivery","Project Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Property","Department for Education","220","220","53970","61010"
"In post","2021","Project Delivery","Property","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Property","Ministry of Defence","80","80","37060","33900"
"In post","2021","Project Delivery","Property","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Psychology","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Science and Engineering","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Science and Engineering","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Science and Engineering","Ministry of Defence","3430","3350","37010","35040"
"In post","2021","Project Delivery","Security","Foreign, Commonwealth and Development Office","40","40","[c]","[c]"
"In post","2021","Project Delivery","Security","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Statistics","Foreign, Commonwealth and Development Office","30","30","[c]","[c]"
"In post","2021","Project Delivery","Tax","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Tax","HM Revenue and Customs","120","120","41560","36160"
"In post","2021","Project Delivery","Unknown","Cabinet Office","190","190","69400","62550"
"In post","2021","Project Delivery","Unknown","HM Revenue and Customs","110","100","47490","41760"
"In post","2021","Project Delivery","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Scottish Government","270","250","35290","35330"
"In post","2021","Property","Commercial","Ministry of Defence","30","30","[c]","[c]"
"In post","2021","Property","Commercial","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Property","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Property","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Property","Digital, Data and Technology","Ministry of Defence","30","30","[c]","[c]"
"In post","2021","Property","Digital, Data and Technology","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Property","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Property","Knowledge and Information Management","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Property","Knowledge and Information Management","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Property","Operational Delivery","Department for Business, Energy and Industrial Strategy","50","50","[c]","[c]"
"In post","2021","Property","Operational Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Property","Operational Delivery","HM Revenue and Customs","1260","1160","27870","21100"
"In post","2021","Property","Operational Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Property","Operational Delivery","Ministry of Justice","120","120","35860","30990"
"In post","2021","Property","Operational Delivery","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Property","Operational Delivery","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Property","Other","Ministry of Defence","60","60","37690","35230"
"In post","2021","Property","Other","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Property","Other","Scottish Government","250","240","30070","28870"
"In post","2021","Property","Planning","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Property","Planning","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Property","Policy","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Property","Policy","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Property","Policy","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Property","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Property","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Property","Project Delivery","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"In post","2021","Property","Property","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","Department for Education","270","260","49500","50630"
"In post","2021","Property","Property","Department for Environment, Food and Rural Affairs","390","370","36760","32560"
"In post","2021","Property","Property","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","Department for Transport","160","150","33580","31040"
"In post","2021","Property","Property","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","Department of Health and Social Care","40","40","[c]","[c]"
"In post","2021","Property","Property","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","Foreign, Commonwealth and Development Office","450","450","41620","39410"
"In post","2021","Property","Property","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","HM Revenue and Customs","2230","2070","36380","32110"
"In post","2021","Property","Property","Ministry of Defence","2530","2460","31600","33300"
"In post","2021","Property","Property","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","Ministry of Justice","180","180","41800","35300"
"In post","2021","Property","Property","National Crime Agency","30","30","[c]","[c]"
"In post","2021","Property","Property","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Property","Science and Engineering","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Property","Science and Engineering","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Property","Science and Engineering","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Property","Security","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Property","Unknown","Cabinet Office","100","100","50780","52720"
"In post","2021","Property","Unknown","Scottish Government","740","720","30480","28120"
"In post","2021","Security","Commercial","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Security","Digital, Data and Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Security","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Security","Digital, Data and Technology","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Security","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Security","Intelligence Analysis","Foreign, Commonwealth and Development Office","200","190","45800","39220"
"In post","2021","Security","Knowledge and Information Management","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Security","Knowledge and Information Management","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Security","Knowledge and Information Management","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Security","Knowledge and Information Management","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Security","Operational Delivery","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Security","Operational Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Security","Operational Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Security","Other","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Security","Other","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Security","Project Delivery","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Security","Science and Engineering","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Security","Security","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Security","Security","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Security","Security","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Security","Security","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Security","Security","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Security","Security","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Security","Security","Department for Education","30","30","[c]","[c]"
"In post","2021","Security","Security","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Security","Security","Department for Transport","120","110","30490","26350"
"In post","2021","Security","Security","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Security","Security","Foreign, Commonwealth and Development Office","350","340","36590","33660"
"In post","2021","Security","Security","HM Revenue and Customs","190","180","40830","38630"
"In post","2021","Security","Security","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Security","Security","Ministry of Defence","6090","5980","29160","25540"
"In post","2021","Security","Security","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Security","Security","Ministry of Justice","680","670","39330","36720"
"In post","2021","Security","Security","National Crime Agency","40","40","[c]","[c]"
"In post","2021","Security","Security","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Security","Security","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Security","Security","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Security","Security","United Kingdom Statistics Authority","30","30","[c]","[c]"
"In post","2021","Security","Security","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Security","Unknown","Cabinet Office","870","840","33080","33300"
"In post","2021","Unknown","Commercial","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","Home Office","90","90","41360","42100"
"In post","2021","Unknown","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","Home Office","180","170","48630","43880"
"In post","2021","Unknown","Communications","Welsh Government","160","150","39140","37410"
"In post","2021","Unknown","Counter Fraud","Home Office","180","160","26930","25310"
"In post","2021","Unknown","Digital, Data and Technology","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Digital, Data and Technology","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Digital, Data and Technology","Home Office","1220","1200","50060","45550"
"In post","2021","Unknown","Digital, Data and Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Digital, Data and Technology","Welsh Government","210","210","37690","37410"
"In post","2021","Unknown","Economics","HM Treasury","50","50","[c]","[c]"
"In post","2021","Unknown","Economics","Home Office","110","110","46610","35070"
"In post","2021","Unknown","Economics","Welsh Government","50","50","[c]","[c]"
"In post","2021","Unknown","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Finance","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Finance","Home Office","280","270","45650","41970"
"In post","2021","Unknown","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Finance","Welsh Government","330","310","41910","37410"
"In post","2021","Unknown","Human Resources","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","Home Office","570","540","42930","37450"
"In post","2021","Unknown","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","Welsh Government","200","180","35490","28850"
"In post","2021","Unknown","Intelligence Analysis","Home Office","1380","1300","29700","27370"
"In post","2021","Unknown","Intelligence Analysis","Ministry of Defence","860","830","37140","34640"
"In post","2021","Unknown","Internal Audit","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","Home Office","90","90","42240","38290"
"In post","2021","Unknown","Knowledge and Information Management","Welsh Government","110","110","33200","28850"
"In post","2021","Unknown","Legal","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal","Welsh Government","150","140","56450","60830"
"In post","2021","Unknown","Medicine","Department of Health and Social Care","170","160","64780","67750"
"In post","2021","Unknown","Medicine","Ministry of Defence","1660","1490","44620","37890"
"In post","2021","Unknown","Medicine","Welsh Government","170","160","45990","43760"
"In post","2021","Unknown","Operational Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Delivery","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Delivery","Department for Environment, Food and Rural Affairs","90","90","36730","32640"
"In post","2021","Unknown","Operational Delivery","Department of Health and Social Care","180","170","38100","33090"
"In post","2021","Unknown","Operational Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Delivery","Home Office","25000","22880","27880","25630"
"In post","2021","Unknown","Operational Delivery","Ministry of Defence","660","630","28560","26670"
"In post","2021","Unknown","Operational Delivery","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Delivery","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Delivery","Welsh Government","1640","1530","36810","28850"
"In post","2021","Unknown","Operational Research","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Research","Home Office","90","80","46070","39900"
"In post","2021","Unknown","Operational Research","Ministry of Defence","80","80","43990","40580"
"In post","2021","Unknown","Other","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"In post","2021","Unknown","Other","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other","Department of Health and Social Care","300","280","50080","46200"
"In post","2021","Unknown","Other","Foreign, Commonwealth and Development Office","30","30","[c]","[c]"
"In post","2021","Unknown","Other","Home Office","1790","1680","34890","30830"
"In post","2021","Unknown","Other","Ministry of Defence","12380","11990","27270","22080"
"In post","2021","Unknown","Other","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other","Welsh Government","620","580","42660","37410"
"In post","2021","Unknown","Planning","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Planning","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Policy","Attorney General's Departments","40","40","[c]","[c]"
"In post","2021","Unknown","Policy","Department for Education","470","460","53640","49860"
"In post","2021","Unknown","Policy","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Policy","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Policy","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Policy","Home Office","2120","2060","49990","45350"
"In post","2021","Unknown","Policy","Ministry of Defence","1060","1040","44090","41500"
"In post","2021","Unknown","Policy","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Policy","Welsh Government","1600","1530","43130","37410"
"In post","2021","Unknown","Project Delivery","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Project Delivery","Home Office","1330","1300","45140","41950"
"In post","2021","Unknown","Project Delivery","Ministry of Defence","50","50","[c]","[c]"
"In post","2021","Unknown","Project Delivery","Welsh Government","70","70","42540","41560"
"In post","2021","Unknown","Property","Department for Education","70","70","47290","41450"
"In post","2021","Unknown","Property","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Property","Welsh Government","70","60","39700","37410"
"In post","2021","Unknown","Psychology","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Science and Engineering","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Science and Engineering","Department of Health and Social Care","290","280","50480","45140"
"In post","2021","Unknown","Science and Engineering","Home Office","120","110","48280","40410"
"In post","2021","Unknown","Science and Engineering","Ministry of Defence","1830","1790","33080","27370"
"In post","2021","Unknown","Science and Engineering","Welsh Government","70","70","50340","47000"
"In post","2021","Unknown","Security","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Security","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Security","Home Office","350","340","31070","28670"
"In post","2021","Unknown","Social Research","Home Office","110","100","48330","43560"
"In post","2021","Unknown","Social Research","Welsh Government","140","130","44830","47000"
"In post","2021","Unknown","Statistics","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Statistics","Home Office","90","90","41500","36960"
"In post","2021","Unknown","Statistics","Welsh Government","80","80","39620","37410"
"In post","2021","Unknown","Tax","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Charity Commission","220","210","32810","29160"
"In post","2021","Unknown","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Department for Work and Pensions","90950","81420","27650","27570"
"In post","2021","Unknown","Unknown","Department of Health and Social Care","230","220","41710","40450"
"In post","2021","Unknown","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Foreign, Commonwealth and Development Office","300","290","51940","50430"
"In post","2021","Unknown","Unknown","HM Treasury","30","30","[c]","[c]"
"In post","2021","Unknown","Unknown","Home Office","270","270","63040","66240"
"In post","2021","Unknown","Unknown","Ministry of Defence","1520","1480","34610","33300"
"In post","2021","Unknown","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Scotland Office","80","70","49720","48930"
"In post","2021","Unknown","Unknown","Scottish Government","11580","11080","40780","35110"
"In post","2021","Unknown","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Veterinarian","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Veterinarian","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Department for Education","90","90","43450","42500"
"In post","2022","Analysis","Digital, Data and Technology","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Competition and Markets Authority","100","90","64410","59510"
"In post","2022","Analysis","Economics","Department for Business, Energy and Industrial Strategy","190","180","41430","35640"
