"Status","Year","Disability","Region_ITL1","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared non-disabled","North West (England)","Finance","430","420","39410","36760"
"In post","2021","Declared non-disabled","North West (England)","Human Resources","650","620","33910","30820"
"In post","2021","Declared non-disabled","North West (England)","Inspector of Education and Training","90","90","66420","70500"
"In post","2021","Declared non-disabled","North West (England)","Intelligence Analysis","290","270","28180","26160"
"In post","2021","Declared non-disabled","North West (England)","Internal Audit","50","50","42710","41350"
"In post","2021","Declared non-disabled","North West (England)","International Trade","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","North West (England)","Knowledge and Information Management","90","90","33940","33150"
"In post","2021","Declared non-disabled","North West (England)","Legal","760","710","44400","44950"
"In post","2021","Declared non-disabled","North West (England)","Medicine","50","40","73120","74070"
"In post","2021","Declared non-disabled","North West (England)","Operational Delivery","17370","15960","27530","25040"
"In post","2021","Declared non-disabled","North West (England)","Operational Research","60","60","42770","38630"
"In post","2021","Declared non-disabled","North West (England)","Other","570","540","28530","24880"
"In post","2021","Declared non-disabled","North West (England)","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North West (England)","Policy","640","620","42230","38630"
"In post","2021","Declared non-disabled","North West (England)","Project Delivery","960","920","40690","38630"
"In post","2021","Declared non-disabled","North West (England)","Property","360","340","37520","32480"
"In post","2021","Declared non-disabled","North West (England)","Psychology","120","120","36530","30450"
"In post","2021","Declared non-disabled","North West (England)","Science and Engineering","340","320","35830","33000"
"In post","2021","Declared non-disabled","North West (England)","Security","190","180","27980","24620"
"In post","2021","Declared non-disabled","North West (England)","Social Research","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","North West (England)","Statistics","90","80","39600","38630"
"In post","2021","Declared non-disabled","North West (England)","Tax","1770","1660","34150","31810"
"In post","2021","Declared non-disabled","North West (England)","Unknown","14120","12750","27400","27570"
"In post","2021","Declared non-disabled","North West (England)","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Northern Ireland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Northern Ireland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Northern Ireland","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Northern Ireland","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Northern Ireland","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Northern Ireland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Northern Ireland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Northern Ireland","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Northern Ireland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Northern Ireland","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Northern Ireland","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Northern Ireland","Legal","90","90","28910","27020"
"In post","2021","Declared non-disabled","Northern Ireland","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Northern Ireland","Operational Delivery","1010","920","26760","25310"
"In post","2021","Declared non-disabled","Northern Ireland","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Northern Ireland","Other","220","210","23930","21880"
"In post","2021","Declared non-disabled","Northern Ireland","Policy","50","50","[c]","[c]"
"In post","2021","Declared non-disabled","Northern Ireland","Project Delivery","50","40","[c]","[c]"
"In post","2021","Declared non-disabled","Northern Ireland","Property","80","80","28330","27420"
"In post","2021","Declared non-disabled","Northern Ireland","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Northern Ireland","Security","250","250","21310","20310"
"In post","2021","Declared non-disabled","Northern Ireland","Tax","380","360","35860","31810"
"In post","2021","Declared non-disabled","Northern Ireland","Unknown","70","70","29370","25560"
"In post","2021","Declared non-disabled","Northern Ireland","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Overseas","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Overseas","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Overseas","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Overseas","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Overseas","Finance","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Overseas","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Overseas","Intelligence Analysis","50","50","43860","40570"
"In post","2021","Declared non-disabled","Overseas","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Overseas","International Trade","90","90","57120","54600"
"In post","2021","Declared non-disabled","Overseas","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Overseas","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Overseas","Medicine","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Overseas","Operational Delivery","200","190","44960","35090"
"In post","2021","Declared non-disabled","Overseas","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Overseas","Other","120","120","55350","64130"
"In post","2021","Declared non-disabled","Overseas","Policy","1290","1290","52460","53470"
"In post","2021","Declared non-disabled","Overseas","Project Delivery","100","100","45210","42220"
"In post","2021","Declared non-disabled","Overseas","Property","160","160","39470","37950"
"In post","2021","Declared non-disabled","Overseas","Science and Engineering","100","100","43870","42280"
"In post","2021","Declared non-disabled","Overseas","Security","60","60","36950","34260"
"In post","2021","Declared non-disabled","Overseas","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Overseas","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Overseas","Unknown","240","230","[c]","[c]"
"In post","2021","Declared non-disabled","Scotland","Commercial","130","120","38470","35420"
"In post","2021","Declared non-disabled","Scotland","Communications","50","50","[c]","[c]"
"In post","2021","Declared non-disabled","Scotland","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Scotland","Counter Fraud","80","70","28970","25310"
"In post","2021","Declared non-disabled","Scotland","Digital, Data and Technology","300","290","39750","36740"
"In post","2021","Declared non-disabled","Scotland","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Scotland","Finance","400","340","27870","21440"
"In post","2021","Declared non-disabled","Scotland","Human Resources","460","440","29470","25410"
"In post","2021","Declared non-disabled","Scotland","Intelligence Analysis","50","50","[c]","[c]"
"In post","2021","Declared non-disabled","Scotland","Internal Audit","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Scotland","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Scotland","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Scotland","Legal","700","660","49660","52490"
"In post","2021","Declared non-disabled","Scotland","Medicine","60","50","44910","37890"
"In post","2021","Declared non-disabled","Scotland","Operational Delivery","5870","5380","27970","25410"
"In post","2021","Declared non-disabled","Scotland","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Scotland","Other","1010","980","28080","23130"
"In post","2021","Declared non-disabled","Scotland","Policy","290","280","45010","40960"
"In post","2021","Declared non-disabled","Scotland","Project Delivery","480","460","39850","37890"
"In post","2021","Declared non-disabled","Scotland","Property","230","220","33270","33300"
"In post","2021","Declared non-disabled","Scotland","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Scotland","Science and Engineering","350","340","36170","33470"
"In post","2021","Declared non-disabled","Scotland","Security","830","800","30170","26250"
"In post","2021","Declared non-disabled","Scotland","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Scotland","Statistics","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Scotland","Tax","1150","1070","33490","31810"
"In post","2021","Declared non-disabled","Scotland","Unknown","14370","13240","33180","27570"
"In post","2021","Declared non-disabled","Scotland","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","South East (England)","Commercial","340","330","38350","36800"
"In post","2021","Declared non-disabled","South East (England)","Communications","180","170","33810","33300"
"In post","2021","Declared non-disabled","South East (England)","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","South East (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","South East (England)","Digital, Data and Technology","510","490","39490","36400"
"In post","2021","Declared non-disabled","South East (England)","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","South East (England)","Finance","660","630","36930","33300"
"In post","2021","Declared non-disabled","South East (England)","Human Resources","350","330","36220","31540"
"In post","2021","Declared non-disabled","South East (England)","Intelligence Analysis","300","280","28610","27370"
"In post","2021","Declared non-disabled","South East (England)","Internal Audit","50","50","37280","33300"
"In post","2021","Declared non-disabled","South East (England)","International Trade","50","50","[c]","[c]"
"In post","2021","Declared non-disabled","South East (England)","Knowledge and Information Management","180","170","33390","32170"
"In post","2021","Declared non-disabled","South East (England)","Legal","510","450","46700","48610"
"In post","2021","Declared non-disabled","South East (England)","Medicine","240","220","47470","38190"
"In post","2021","Declared non-disabled","South East (England)","Operational Delivery","11600","10630","29000","27370"
"In post","2021","Declared non-disabled","South East (England)","Operational Research","310","300","42250","46080"
"In post","2021","Declared non-disabled","South East (England)","Other","1950","1880","28280","22920"
"In post","2021","Declared non-disabled","South East (England)","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","South East (England)","Policy","310","300","40490","38750"
"In post","2021","Declared non-disabled","South East (England)","Project Delivery","1250","1210","39590","37320"
"In post","2021","Declared non-disabled","South East (England)","Property","730","710","35780","33300"
"In post","2021","Declared non-disabled","South East (England)","Psychology","170","160","36570","31180"
"In post","2021","Declared non-disabled","South East (England)","Science and Engineering","1320","1270","37690","36730"
"In post","2021","Declared non-disabled","South East (England)","Security","1120","1100","31030","27380"
"In post","2021","Declared non-disabled","South East (England)","Social Research","100","90","40370","37020"
"In post","2021","Declared non-disabled","South East (England)","Statistics","110","100","42390","38300"
"In post","2021","Declared non-disabled","South East (England)","Tax","330","300","35520","31870"
"In post","2021","Declared non-disabled","South East (England)","Unknown","5200","4720","27900","27570"
"In post","2021","Declared non-disabled","South East (England)","Veterinarian","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","South West (England)","Commercial","1250","1210","39100","37320"
"In post","2021","Declared non-disabled","South West (England)","Communications","240","220","35190","33320"
"In post","2021","Declared non-disabled","South West (England)","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","South West (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","South West (England)","Digital, Data and Technology","1440","1390","40190","38450"
"In post","2021","Declared non-disabled","South West (England)","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","South West (England)","Finance","980","940","39920","36460"
"In post","2021","Declared non-disabled","South West (England)","Human Resources","650","600","36750","33300"
"In post","2021","Declared non-disabled","South West (England)","Inspector of Education and Training","60","60","68820","75500"
"In post","2021","Declared non-disabled","South West (England)","Intelligence Analysis","40","30","[c]","[c]"
"In post","2021","Declared non-disabled","South West (England)","Internal Audit","80","70","44670","42510"
"In post","2021","Declared non-disabled","South West (England)","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","South West (England)","Knowledge and Information Management","350","340","35100","33300"
"In post","2021","Declared non-disabled","South West (England)","Legal","340","310","44230","44530"
"In post","2021","Declared non-disabled","South West (England)","Medicine","250","220","49340","37890"
"In post","2021","Declared non-disabled","South West (England)","Operational Delivery","7070","6510","29520","26970"
"In post","2021","Declared non-disabled","South West (England)","Operational Research","70","70","43230","46080"
"In post","2021","Declared non-disabled","South West (England)","Other","3230","3080","30650","26670"
"In post","2021","Declared non-disabled","South West (England)","Planning","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","South West (England)","Planning Inspectors","240","210","58100","58810"
"In post","2021","Declared non-disabled","South West (England)","Policy","550","520","41580","36970"
"In post","2021","Declared non-disabled","South West (England)","Project Delivery","3540","3430","40540","39650"
"In post","2021","Declared non-disabled","South West (England)","Property","610","590","35370","33300"
"In post","2021","Declared non-disabled","South West (England)","Psychology","70","70","36000","31180"
"In post","2021","Declared non-disabled","South West (England)","Science and Engineering","4420","4280","38340","37420"
"In post","2021","Declared non-disabled","South West (England)","Security","720","700","27600","20920"
"In post","2021","Declared non-disabled","South West (England)","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","South West (England)","Statistics","150","140","40030","36300"
"In post","2021","Declared non-disabled","South West (England)","Tax","370","340","40860","35000"
"In post","2021","Declared non-disabled","South West (England)","Unknown","4800","4230","27680","27570"
"In post","2021","Declared non-disabled","South West (England)","Veterinarian","70","60","45260","45050"
"In post","2021","Declared non-disabled","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Operational Delivery","70","60","38700","40000"
"In post","2021","Declared non-disabled","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Science and Engineering","50","50","27190","27370"
"In post","2021","Declared non-disabled","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Unknown","800","750","32070","27570"
"In post","2021","Declared non-disabled","Wales","Commercial","220","210","35790","32020"
"In post","2021","Declared non-disabled","Wales","Communications","270","250","36820","33350"
"In post","2021","Declared non-disabled","Wales","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Wales","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Wales","Digital, Data and Technology","1280","1250","39950","37410"
"In post","2021","Declared non-disabled","Wales","Economics","90","90","47790","49100"
"In post","2021","Declared non-disabled","Wales","Finance","560","530","38400","35620"
"In post","2021","Declared non-disabled","Wales","Human Resources","610","560","35220","31260"
"In post","2021","Declared non-disabled","Wales","Inspector of Education and Training","60","50","74440","74730"
"In post","2021","Declared non-disabled","Wales","Intelligence Analysis","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Wales","Internal Audit","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Wales","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Wales","Knowledge and Information Management","130","120","34200","30360"
"In post","2021","Declared non-disabled","Wales","Legal","480","440","47050","48830"
"In post","2021","Declared non-disabled","Wales","Medicine","210","200","49780","44500"
"In post","2021","Declared non-disabled","Wales","Operational Delivery","11050","10000","27450","23840"
"In post","2021","Declared non-disabled","Wales","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Wales","Other","880","840","36750","37410"
"In post","2021","Declared non-disabled","Wales","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Wales","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Wales","Policy","1640","1570","42440","37410"
"In post","2021","Declared non-disabled","Wales","Project Delivery","370","360","42340","39080"
"In post","2021","Declared non-disabled","Wales","Property","320","300","35400","32760"
"In post","2021","Declared non-disabled","Wales","Psychology","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Wales","Science and Engineering","490","460","42880","40720"
"In post","2021","Declared non-disabled","Wales","Security","210","210","27370","25390"
"In post","2021","Declared non-disabled","Wales","Social Research","250","230","43640","47000"
"In post","2021","Declared non-disabled","Wales","Statistics","230","210","42560","39030"
"In post","2021","Declared non-disabled","Wales","Tax","880","830","31080","31810"
"In post","2021","Declared non-disabled","Wales","Unknown","4530","4060","25800","27570"
"In post","2021","Declared non-disabled","Wales","Veterinarian","60","60","45540","38050"
"In post","2021","Declared non-disabled","West Midlands (England)","Commercial","180","170","39210","36780"
"In post","2021","Declared non-disabled","West Midlands (England)","Communications","110","110","38540","36230"
"In post","2021","Declared non-disabled","West Midlands (England)","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","West Midlands (England)","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","West Midlands (England)","Digital, Data and Technology","580","560","41140","38300"
"In post","2021","Declared non-disabled","West Midlands (England)","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","West Midlands (England)","Finance","390","370","41160","37500"
"In post","2021","Declared non-disabled","West Midlands (England)","Human Resources","230","220","39530","36640"
"In post","2021","Declared non-disabled","West Midlands (England)","Inspector of Education and Training","90","90","66400","70500"
"In post","2021","Declared non-disabled","West Midlands (England)","Intelligence Analysis","70","60","31170","28330"
"In post","2021","Declared non-disabled","West Midlands (England)","Internal Audit","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","West Midlands (England)","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","West Midlands (England)","Knowledge and Information Management","80","70","31370","28590"
"In post","2021","Declared non-disabled","West Midlands (England)","Legal","410","390","45300","46210"
"In post","2021","Declared non-disabled","West Midlands (England)","Medicine","100","90","58250","44500"
"In post","2021","Declared non-disabled","West Midlands (England)","Operational Delivery","8940","8330","28000","25400"
"In post","2021","Declared non-disabled","West Midlands (England)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","West Midlands (England)","Other","860","820","26120","21850"
"In post","2021","Declared non-disabled","West Midlands (England)","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","West Midlands (England)","Policy","420","410","41470","36740"
"In post","2021","Declared non-disabled","West Midlands (England)","Project Delivery","510","490","40680","38630"
"In post","2021","Declared non-disabled","West Midlands (England)","Property","360","340","35940","33250"
"In post","2021","Declared non-disabled","West Midlands (England)","Psychology","80","80","33160","29060"
"In post","2021","Declared non-disabled","West Midlands (England)","Science and Engineering","220","200","33270","30810"
"In post","2021","Declared non-disabled","West Midlands (England)","Security","230","220","29340","25560"
"In post","2021","Declared non-disabled","West Midlands (England)","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","West Midlands (England)","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","West Midlands (England)","Tax","770","730","36320","31810"
"In post","2021","Declared non-disabled","West Midlands (England)","Unknown","6030","5310","26490","27570"
"In post","2021","Declared non-disabled","West Midlands (England)","Veterinarian","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Commercial","210","210","40850","37170"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Communications","80","80","40180","37900"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Counter Fraud","40","30","[c]","[c]"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Digital, Data and Technology","610","590","40670","37450"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Finance","480","450","36040","31060"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Human Resources","230","210","40340","37660"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Inspector of Education and Training","100","100","67920","75500"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Intelligence Analysis","200","190","31360","27380"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Internal Audit","50","40","[c]","[c]"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Knowledge and Information Management","80","70","35500","31770"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Legal","600","550","47350","49580"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Medicine","120","110","52750","37890"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Operational Delivery","10460","9580","28050","25560"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Other","870","840","25960","22080"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Policy","880","840","43350","38510"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Project Delivery","370","360","39070","37400"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Property","400","380","37060","33250"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Psychology","140","130","34680","30450"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Science and Engineering","330","320","36490","31870"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Security","300","290","32500","33000"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Statistics","70","70","38080","32700"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Tax","780","740","34690","31810"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Unknown","7510","6710","30140","27570"
"In post","2021","Declared non-disabled","Yorkshire and The Humber","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","East Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","East Midlands (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","East Midlands (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","East Midlands (England)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","East Midlands (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","East Midlands (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","East Midlands (England)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","East Midlands (England)","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","East Midlands (England)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","East Midlands (England)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","East Midlands (England)","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","East Midlands (England)","Operational Delivery","860","790","28410","28100"
"In post","2021","Undeclared","East Midlands (England)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","East Midlands (England)","Other","60","50","23480","20920"
"In post","2021","Undeclared","East Midlands (England)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","East Midlands (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","East Midlands (England)","Property","40","40","[c]","[c]"
"In post","2021","Undeclared","East Midlands (England)","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","East Midlands (England)","Science and Engineering","40","40","[c]","[c]"
"In post","2021","Undeclared","East Midlands (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","East Midlands (England)","Tax","80","70","35030","31810"
"In post","2021","Undeclared","East Midlands (England)","Unknown","250","230","25880","27570"
"In post","2021","Undeclared","East of England","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","East of England","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","East of England","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","East of England","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","Undeclared","East of England","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","East of England","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","East of England","Intelligence Analysis","50","40","[c]","[c]"
"In post","2021","Undeclared","East of England","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","East of England","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","East of England","Legal","40","30","[c]","[c]"
"In post","2021","Undeclared","East of England","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","East of England","Operational Delivery","990","910","29820","29810"
"In post","2021","Undeclared","East of England","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","East of England","Other","80","70","23050","21130"
"In post","2021","Undeclared","East of England","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","East of England","Project Delivery","50","50","[c]","[c]"
"In post","2021","Undeclared","East of England","Property","50","50","[c]","[c]"
"In post","2021","Undeclared","East of England","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","East of England","Science and Engineering","50","50","36630","32900"
"In post","2021","Undeclared","East of England","Security","40","40","[c]","[c]"
"In post","2021","Undeclared","East of England","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","East of England","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","East of England","Unknown","200","190","29400","29290"
"In post","2021","Undeclared","London","Commercial","60","60","48430","46360"
"In post","2021","Undeclared","London","Communications","100","100","47530","42800"
"In post","2021","Undeclared","London","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","London","Counter Fraud","30","30","[c]","[c]"
"In post","2021","Undeclared","London","Digital, Data and Technology","170","160","48300","44740"
"In post","2021","Undeclared","London","Economics","110","110","44870","37090"
"In post","2021","Undeclared","London","Finance","160","160","47570","45650"
"In post","2021","Undeclared","London","Human Resources","150","150","46730","43750"
"In post","2021","Undeclared","London","Intelligence Analysis","100","90","39920","36970"
"In post","2021","Undeclared","London","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","London","International Trade","30","30","[c]","[c]"
"In post","2021","Undeclared","London","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2021","Undeclared","London","Legal","220","210","55400","56650"
"In post","2021","Undeclared","London","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","London","Operational Delivery","1910","1790","34300","31530"
"In post","2021","Undeclared","London","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","London","Other","270","260","36240","32740"
"In post","2021","Undeclared","London","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","London","Policy","1180","1170","47840","44390"
"In post","2021","Undeclared","London","Project Delivery","220","220","48360","44500"
"In post","2021","Undeclared","London","Property","110","100","44470","37380"
"In post","2021","Undeclared","London","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","London","Science and Engineering","100","90","45130","40070"
"In post","2021","Undeclared","London","Security","100","100","42870","39770"
"In post","2021","Undeclared","London","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","London","Statistics","60","60","45730","42980"
