"Status","Year","Organisation","Profession_of_post","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Ministry of Justice (excl. agencies)","Digital, Data and Technology","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Digital, Data and Technology","No function","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Digital, Data and Technology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Digital, Data and Technology","Property","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Economics","Analysis","50","40","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Finance","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Finance","Finance","440","430","45430","42250"
"In post","2021","Ministry of Justice (excl. agencies)","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Finance","No function","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Finance","Property","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Human Resources","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Human Resources","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Human Resources","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Human Resources","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Human Resources","Human Resources","650","630","41690","37000"
"In post","2021","Ministry of Justice (excl. agencies)","Human Resources","No function","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Knowledge and Information Management","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Knowledge and Information Management","No function","30","30","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Knowledge and Information Management","Property","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Legal","Legal","70","60","56510","55490"
"In post","2021","Ministry of Justice (excl. agencies)","Operational Delivery","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Operational Delivery","Commercial","70","70","28080","24550"
"In post","2021","Ministry of Justice (excl. agencies)","Operational Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Operational Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Operational Delivery","Finance","40","40","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Operational Delivery","Human Resources","70","70","37690","31500"
"In post","2021","Ministry of Justice (excl. agencies)","Operational Delivery","Legal","30","30","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Operational Delivery","No function","890","870","35840","31210"
"In post","2021","Ministry of Justice (excl. agencies)","Operational Delivery","Project Delivery","120","120","36690","35290"
"In post","2021","Ministry of Justice (excl. agencies)","Operational Delivery","Property","100","90","34200","30850"
"In post","2021","Ministry of Justice (excl. agencies)","Operational Research","Analysis","100","100","47610","42190"
"In post","2021","Ministry of Justice (excl. agencies)","Other","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Other","No function","70","70","35560","33520"
"In post","2021","Ministry of Justice (excl. agencies)","Policy","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Policy","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Policy","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Policy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Policy","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Policy","No function","650","630","43580","36800"
"In post","2021","Ministry of Justice (excl. agencies)","Policy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Policy","Property","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Project Delivery","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Project Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Project Delivery","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Project Delivery","No function","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Project Delivery","Project Delivery","200","200","42000","39330"
"In post","2021","Ministry of Justice (excl. agencies)","Project Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Property","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Property","Property","130","130","42740","36560"
"In post","2021","Ministry of Justice (excl. agencies)","Psychology","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Social Research","Analysis","60","60","49320","48350"
"In post","2021","Ministry of Justice (excl. agencies)","Statistics","Analysis","110","100","45360","40480"
"In post","2021","Ministry of Justice (excl. agencies)","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Unknown","No function","80","80","37740","34070"
"In post","2021","National Crime Agency","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Communications","Communications","30","30","[c]","[c]"
"In post","2021","National Crime Agency","Digital, Data and Technology","Digital, Data & Technology","260","250","41070","37750"
"In post","2021","National Crime Agency","Finance","Finance","50","40","[c]","[c]"
"In post","2021","National Crime Agency","Human Resources","Human Resources","190","180","40160","39240"
"In post","2021","National Crime Agency","Legal","Legal","50","50","55660","59160"
"In post","2021","National Crime Agency","Operational Delivery","No function","4720","4620","39700","37560"
"In post","2021","National Crime Agency","Project Delivery","Project Delivery","90","90","46620","45480"
"In post","2021","National Crime Agency","Property","Property","30","30","[c]","[c]"
"In post","2021","National Crime Agency","Security","Security","40","40","[c]","[c]"
"In post","2021","National Infrastructure Commission","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","National Infrastructure Commission","Economics","No function","[c]","[c]","[c]","[c]"
"In post","2021","National Infrastructure Commission","Operational Delivery","No function","[c]","[c]","[c]","[c]"
"In post","2021","National Infrastructure Commission","Policy","No function","30","30","[c]","[c]"
"In post","2021","National Records of Scotland","Unknown","Unknown","440","410","34520","32140"
"In post","2021","National Savings and Investments","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Commercial","No function","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Communications","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Communications","No function","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Counter Fraud","No function","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Digital, Data and Technology","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Digital, Data and Technology","No function","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Finance","Finance","30","30","[c]","[c]"
"In post","2021","National Savings and Investments","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Human Resources","No function","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Knowledge and Information Management","No function","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Other","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Other","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Other","Communications","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Other","No function","80","80","54250","44360"
"In post","2021","National Savings and Investments","Other","Security","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Project Delivery","No function","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Property","No function","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Social Research","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Digital, Data and Technology","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Economics","No function","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Knowledge and Information Management","No function","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Other","No function","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Policy","No function","90","90","46600","41000"
"In post","2021","Northern Ireland Office","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","Economics","Unknown","30","30","[c]","[c]"
"In post","2021","Office for Budget Responsibility","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Communications","Communications","40","30","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Digital, Data and Technology","Digital, Data & Technology","80","80","45050","39850"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Finance","Finance","40","30","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Human Resources","Human Resources","60","50","39210","32010"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Inspector of Education and Training","No function","800","780","65820","64500"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Knowledge and Information Management","No function","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Operational Delivery","No function","220","210","28630","25620"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Other","No function","250","240","28530","25880"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Policy","No function","70","60","51530","42850"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Project Delivery","Project Delivery","30","30","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Social Research","Analysis","40","40","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Statistics","Analysis","110","110","39300","35010"
"In post","2021","Office of Gas and Electricity Markets","Communications","Communications","30","30","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Communications","No function","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Corporate Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Counter Fraud","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Counter Fraud","No function","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Digital, Data and Technology","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Digital, Data and Technology","Digital, Data & Technology","60","60","51940","50000"
"In post","2021","Office of Gas and Electricity Markets","Digital, Data and Technology","No function","40","40","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Economics","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Economics","No function","40","40","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Finance","No function","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Legal","Legal","80","80","63840","63540"
"In post","2021","Office of Gas and Electricity Markets","Operational Delivery","No function","170","160","33350","27120"
"In post","2021","Office of Gas and Electricity Markets","Other","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Other","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Other","No function","510","500","43690","36890"
"In post","2021","Office of Gas and Electricity Markets","Policy","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Policy","No function","80","80","37760","34240"
"In post","2021","Office of Gas and Electricity Markets","Policy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Project Delivery","No function","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Science and Engineering","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Science and Engineering","No function","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Communications","No function","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Digital, Data and Technology","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Digital, Data and Technology","No function","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Economics","No function","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Operational Delivery","No function","90","80","44940","38000"
"In post","2021","Office of Qualifications and Examinations Regulation","Operational Research","No function","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Policy","No function","40","30","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Project Delivery","No function","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Statistics","No function","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Digital, Data and Technology","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Economics","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Knowledge and Information Management","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Operational Delivery","No function","140","130","53330","53700"
"In post","2021","Office of Rail and Road","Policy","No function","70","60","57300","55500"
"In post","2021","Office of Rail and Road","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Science and Engineering","No function","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Statistics","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Commercial","No function","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Communications","No function","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Digital, Data and Technology","No function","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Finance","No function","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Human Resources","No function","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Knowledge and Information Management","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Knowledge and Information Management","No function","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Operational Delivery","Legal","50","40","[c]","[c]"
"In post","2021","Office of the Public Guardian","Operational Delivery","No function","1300","1210","21650","19930"
"In post","2021","Office of the Public Guardian","Policy","No function","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Project Delivery","No function","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Property","No function","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Unknown","Unknown","50","50","[c]","[c]"
"In post","2021","Planning Inspectorate","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Digital, Data and Technology","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Planning Inspectorate","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Knowledge and Information Management","No function","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Operational Delivery","No function","340","310","30370","26050"
"In post","2021","Planning Inspectorate","Operational Research","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Planning","No function","30","30","[c]","[c]"
"In post","2021","Planning Inspectorate","Planning Inspectors","No function","340","300","57920","58810"
"In post","2021","Planning Inspectorate","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Statistics","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Commercial","Commercial","40","40","[c]","[c]"
"In post","2021","Public Health England","Communications","Communications","80","70","47540","42630"
"In post","2021","Public Health England","Corporate Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Digital, Data and Technology","Digital, Data & Technology","110","110","45230","42180"
"In post","2021","Public Health England","Digital, Data and Technology","No function","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Finance","Finance","140","140","42330","38200"
"In post","2021","Public Health England","Human Resources","Human Resources","130","130","45460","40070"
"In post","2021","Public Health England","Human Resources","No function","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Knowledge and Information Management","No function","540","490","39370","37450"
"In post","2021","Public Health England","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Medicine","No function","370","310","106550","104510"
"In post","2021","Public Health England","Operational Delivery","No function","3130","2830","39550","36330"
"In post","2021","Public Health England","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Science and Engineering","No function","2300","2120","40590","37960"
"In post","2021","Public Health England","Statistics","No function","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Digital, Data and Technology","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Operational Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Operational Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Operational Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Project Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Digital, Data and Technology","Digital, Data & Technology","70","60","42130","36780"
"In post","2021","Registers of Scotland","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Human Resources","Human Resources","40","40","[c]","[c]"
"In post","2021","Registers of Scotland","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Operational Delivery","No function","920","870","31040","30080"
"In post","2021","Registers of Scotland","Operational Research","No function","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Policy","No function","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Statistics","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Revenue Scotland","Unknown","Unknown","60","50","43440","38540"
"In post","2021","Royal Fleet Auxiliary","Other","Unknown","1830","1830","37620","34460"
"In post","2021","Rural Payments Agency","Operational Delivery","Analysis","30","30","[c]","[c]"
"In post","2021","Rural Payments Agency","Operational Delivery","Communications","110","90","28870","26030"
"In post","2021","Rural Payments Agency","Operational Delivery","Grants Management","1880","1720","25450","21050"
"In post","2021","Rural Payments Agency","Policy","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Rural Payments Agency","Project Delivery","Project Delivery","150","140","37900","36520"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","Unknown","80","70","49720","48930"
"In post","2021","Scottish Courts and Tribunals Service","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Digital, Data and Technology","Digital, Data & Technology","60","60","34360","29350"
"In post","2021","Scottish Courts and Tribunals Service","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Human Resources","Human Resources","30","30","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Legal","Legal","40","30","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Operational Delivery","Legal","1600","1440","26670","22820"
"In post","2021","Scottish Courts and Tribunals Service","Policy","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Statistics","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Fiscal Commission","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Forestry","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Forestry","Unknown","Project Delivery","160","150","35120","34740"
"In post","2021","Scottish Forestry","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government (excl. agencies)","Unknown","Unknown","7820","7490","43090","38540"
"In post","2021","Scottish Housing Regulator","Unknown","Unknown","50","50","[c]","[c]"
"In post","2021","Scottish Prison Service","Commercial","Commercial","80","80","30640","25870"
"In post","2021","Scottish Prison Service","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Prison Service","Digital, Data and Technology","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","Scottish Prison Service","Finance","Finance","70","70","31400","25870"
"In post","2021","Scottish Prison Service","Human Resources","Human Resources","100","100","34280","33650"
"In post","2021","Scottish Prison Service","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Prison Service","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Prison Service","Operational Delivery","No function","3430","3230","31380","33650"
"In post","2021","Scottish Prison Service","Other","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Prison Service","Other","No function","390","340","32250","30930"
"In post","2021","Scottish Prison Service","Other","Property","250","240","30070","28870"
"In post","2021","Scottish Prison Service","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Prison Service","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Prison Service","Psychology","No function","70","70","38790","33650"
"In post","2021","Scottish Public Pensions Agency","Unknown","Unknown","290","260","29650","26160"
"In post","2021","Serious Fraud Office","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Corporate Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Counter Fraud","Counter Fraud","250","240","45590","40000"
"In post","2021","Serious Fraud Office","Counter Fraud","No function","40","30","[c]","[c]"
"In post","2021","Serious Fraud Office","Digital, Data and Technology","Digital, Data & Technology","50","50","41680","39270"
"In post","2021","Serious Fraud Office","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Knowledge and Information Management","No function","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Legal","Legal","70","60","57880","53890"
"In post","2021","Serious Fraud Office","Legal","No function","[c]","[c]","[c]","[c]"
