"Status","Year","Organisation","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Scottish Courts and Tribunals Service","Legal","Operational Delivery","1600","1440","26670","22820"
"In post","2021","Scottish Courts and Tribunals Service","Legal","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Fiscal Commission","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Forestry","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Forestry","Project Delivery","Unknown","160","150","35120","34740"
"In post","2021","Scottish Forestry","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government (excl. agencies)","Unknown","Unknown","7820","7490","43090","38540"
"In post","2021","Scottish Housing Regulator","Unknown","Unknown","50","50","[c]","[c]"
"In post","2021","Scottish Prison Service","Commercial","Commercial","80","80","30640","25870"
"In post","2021","Scottish Prison Service","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Prison Service","Digital, Data & Technology","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","Scottish Prison Service","Finance","Finance","70","70","31400","25870"
"In post","2021","Scottish Prison Service","Human Resources","Human Resources","100","100","34280","33650"
"In post","2021","Scottish Prison Service","Human Resources","Other","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Prison Service","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Prison Service","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Prison Service","No function","Operational Delivery","3430","3230","31380","33650"
"In post","2021","Scottish Prison Service","No function","Other","390","340","32250","30930"
"In post","2021","Scottish Prison Service","No function","Psychology","70","70","38790","33650"
"In post","2021","Scottish Prison Service","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Prison Service","Property","Other","250","240","30070","28870"
"In post","2021","Scottish Prison Service","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Public Pensions Agency","Unknown","Unknown","290","260","29650","26160"
"In post","2021","Serious Fraud Office","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Communications","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Counter Fraud","Counter Fraud","250","240","45590","40000"
"In post","2021","Serious Fraud Office","Digital, Data & Technology","Digital, Data and Technology","50","50","41680","39270"
"In post","2021","Serious Fraud Office","Finance","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Legal","Legal","70","60","57880","53890"
"In post","2021","Serious Fraud Office","Legal","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","No function","Counter Fraud","40","30","[c]","[c]"
"In post","2021","Serious Fraud Office","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","No function","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","No function","Other","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","No function","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","Social Security Scotland","Unknown","Unknown","1140","1100","31620","26650"
"In post","2021","Standards and Testing Agency","No function","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Standards and Testing Agency","No function","Operational Delivery","90","90","43790","42220"
"In post","2021","Standards and Testing Agency","No function","Policy","30","30","[c]","[c]"
"In post","2021","Standards and Testing Agency","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Student Awards Agency for Scotland","Unknown","Unknown","240","230","29770","26160"
"In post","2021","Submarine Delivery Agency","Commercial","Commercial","150","140","40040","38240"
"In post","2021","Submarine Delivery Agency","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Submarine Delivery Agency","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Submarine Delivery Agency","Digital, Data & Technology","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2021","Submarine Delivery Agency","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Submarine Delivery Agency","Finance","Finance","40","40","[c]","[c]"
"In post","2021","Submarine Delivery Agency","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Submarine Delivery Agency","Human Resources","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Submarine Delivery Agency","Human Resources","Human Resources","30","30","[c]","[c]"
"In post","2021","Submarine Delivery Agency","Human Resources","Operational Delivery","150","140","33370","28650"
"In post","2021","Submarine Delivery Agency","Human Resources","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Submarine Delivery Agency","Human Resources","Property","[c]","[c]","[c]","[c]"
"In post","2021","Submarine Delivery Agency","Human Resources","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Submarine Delivery Agency","Human Resources","Security","[c]","[c]","[c]","[c]"
"In post","2021","Submarine Delivery Agency","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Submarine Delivery Agency","Project Delivery","Finance","90","80","38450","39860"
"In post","2021","Submarine Delivery Agency","Project Delivery","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Submarine Delivery Agency","Project Delivery","Project Delivery","520","500","42990","40570"
"In post","2021","Submarine Delivery Agency","Project Delivery","Science and Engineering","700","690","41080","40320"
"In post","2021","Submarine Delivery Agency","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Teaching Regulation Agency","No function","Operational Delivery","70","70","30610","27680"
"In post","2021","Teaching Regulation Agency","No function","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Teaching Regulation Agency","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Commercial","Commercial","40","40","[c]","[c]"
"In post","2021","The National Archives","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Digital, Data & Technology","Digital, Data and Technology","100","100","40050","39000"
"In post","2021","The National Archives","Digital, Data & Technology","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","No function","Finance","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","No function","Knowledge and Information Management","80","80","34770","31280"
"In post","2021","The National Archives","No function","Operational Delivery","170","160","29320","28040"
"In post","2021","The National Archives","No function","Other","80","80","43040","35000"
"In post","2021","The National Archives","No function","Policy","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Transport Scotland","Unknown","Unknown","490","480","44230","42190"
"In post","2021","UK Export Finance","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Analysis","Economics","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Analysis","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Commercial","Operational Delivery","190","190","53960","49790"
"In post","2021","UK Export Finance","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Communications","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Debt","Finance","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Digital, Data & Technology","Digital, Data and Technology","190","190","38770","35340"
"In post","2021","UK Hydrographic Office","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","No function","Operational Delivery","550","520","32610","33290"
"In post","2021","UK Hydrographic Office","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Analysis","Economics","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Analysis","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Counter Fraud","Policy","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Digital, Data & Technology","Digital, Data and Technology","190","190","44760","42860"
"In post","2021","UK Intellectual Property Office","Digital, Data & Technology","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Finance","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Human Resources","Human Resources","50","40","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Legal","Legal","30","30","[c]","[c]"
"In post","2021","UK Intellectual Property Office","No function","Operational Delivery","600","560","26950","23320"
"In post","2021","UK Intellectual Property Office","No function","Other","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","No function","Policy","80","80","45720","42920"
"In post","2021","UK Intellectual Property Office","No function","Science and Engineering","370","350","48340","43110"
"In post","2021","UK Intellectual Property Office","Project Delivery","Project Delivery","30","30","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Property","Operational Delivery","40","40","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Space Agency","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","UK Space Agency","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","UK Space Agency","Finance","Policy","[c]","[c]","[c]","[c]"
"In post","2021","UK Space Agency","Human Resources","Communications","[c]","[c]","[c]","[c]"
"In post","2021","UK Space Agency","Human Resources","Policy","[c]","[c]","[c]","[c]"
"In post","2021","UK Space Agency","Project Delivery","Economics","[c]","[c]","[c]","[c]"
"In post","2021","UK Space Agency","Project Delivery","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","UK Space Agency","Project Delivery","Policy","140","130","48800","49100"
"In post","2021","UK Space Agency","Project Delivery","Project Delivery","50","50","43640","40050"
"In post","2021","UK Space Agency","Project Delivery","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Communications","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Legal","Communications","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Legal","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Legal","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Legal","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Property","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Analysis","Economics","150","150","37150","32540"
"In post","2021","United Kingdom Statistics Authority","Analysis","Operational Delivery","450","420","30700","29540"
"In post","2021","United Kingdom Statistics Authority","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Analysis","Social Research","550","520","37670","37020"
"In post","2021","United Kingdom Statistics Authority","Analysis","Statistics","530","520","42070","37020"
"In post","2021","United Kingdom Statistics Authority","Commercial","Commercial","30","30","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Communications","Communications","90","80","37320","36030"
"In post","2021","United Kingdom Statistics Authority","Digital, Data & Technology","Digital, Data and Technology","600","590","40840","36840"
"In post","2021","United Kingdom Statistics Authority","Finance","Finance","60","60","37140","29840"
"In post","2021","United Kingdom Statistics Authority","Human Resources","Human Resources","160","150","37410","32430"
"In post","2021","United Kingdom Statistics Authority","Human Resources","Policy","60","50","37220","36030"
"In post","2021","United Kingdom Statistics Authority","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","No function","Operational Delivery","2560","2080","25850","22520"
"In post","2021","United Kingdom Statistics Authority","Project Delivery","Project Delivery","230","220","40440","36030"
"In post","2021","United Kingdom Statistics Authority","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Security","Security","30","30","[c]","[c]"
"In post","2021","Valuation Office Agency","Analysis","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Valuation Office Agency","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Valuation Office Agency","Analysis","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Valuation Office Agency","Analysis","Statistics","30","30","[c]","[c]"
"In post","2021","Valuation Office Agency","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Valuation Office Agency","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Valuation Office Agency","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Valuation Office Agency","Finance","Finance","50","40","[c]","[c]"
"In post","2021","Valuation Office Agency","Human Resources","Human Resources","90","80","39390","33250"
"In post","2021","Valuation Office Agency","Project Delivery","Project Delivery","80","70","40990","37750"
"In post","2021","Valuation Office Agency","Property","Operational Delivery","1260","1160","27870","21100"
"In post","2021","Valuation Office Agency","Property","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Valuation Office Agency","Property","Property","1990","1830","35990","32100"
"In post","2021","Vehicle Certification Agency","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Communications","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Communications","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Finance","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Human Resources","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","No function","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","No function","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","No function","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","No function","Operational Delivery","80","70","28570","21590"
"In post","2021","Vehicle Certification Agency","No function","Property","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","No function","Science and Engineering","90","90","42220","39360"
"In post","2021","Vehicle Certification Agency","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","Property","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Veterinary Medicines Directorate","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Veterinary Medicines Directorate","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Veterinary Medicines Directorate","Unknown","Operational Delivery","90","90","36730","32640"
"In post","2021","Veterinary Medicines Directorate","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Veterinary Medicines Directorate","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Veterinary Medicines Directorate","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Veterinary Medicines Directorate","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Veterinary Medicines Directorate","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Analysis","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Finance","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","No function","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","No function","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","No function","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","No function","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","No function","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Analysis","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Analysis","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Finance","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","No function","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","No function","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","No function","Other","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","No function","Policy","60","50","62140","60800"
"In post","2021","Water Services Regulation Authority","No function","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government (excl. agencies)","Unknown","Communications","160","150","39140","37410"
"In post","2021","Welsh Government (excl. agencies)","Unknown","Digital, Data and Technology","210","210","37690","37410"
"In post","2021","Welsh Government (excl. agencies)","Unknown","Economics","50","50","[c]","[c]"
"In post","2021","Welsh Government (excl. agencies)","Unknown","Finance","330","310","41910","37410"
"In post","2021","Welsh Government (excl. agencies)","Unknown","Human Resources","200","180","35490","28850"
"In post","2021","Welsh Government (excl. agencies)","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government (excl. agencies)","Unknown","Knowledge and Information Management","110","110","33200","28850"
"In post","2021","Welsh Government (excl. agencies)","Unknown","Legal","150","140","56450","60830"
"In post","2021","Welsh Government (excl. agencies)","Unknown","Medicine","170","160","45990","43760"
"In post","2021","Welsh Government (excl. agencies)","Unknown","Operational Delivery","1630","1520","36870","28850"
"In post","2021","Welsh Government (excl. agencies)","Unknown","Other","620","580","42660","37410"
"In post","2021","Welsh Government (excl. agencies)","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government (excl. agencies)","Unknown","Policy","1600","1520","43090","37410"
"In post","2021","Welsh Government (excl. agencies)","Unknown","Project Delivery","70","70","42540","41560"
"In post","2021","Welsh Government (excl. agencies)","Unknown","Property","70","60","39700","37410"
"In post","2021","Welsh Government (excl. agencies)","Unknown","Science and Engineering","70","70","50340","47000"
"In post","2021","Welsh Government (excl. agencies)","Unknown","Social Research","140","130","44830","47000"
"In post","2021","Welsh Government (excl. agencies)","Unknown","Statistics","80","80","39620","37410"
"In post","2021","Welsh Government (excl. agencies)","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Unknown","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Analysis","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Commercial","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Internal Audit","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Project Delivery","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Property","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Property","Property","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","Unknown","110","100","32650","30040"
"In post","2022","Advisory, Conciliation and Arbitration Service","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","Digital, Data and Technology","60","60","45080","43800"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","No function","Operational Delivery","810","740","31040","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","Operational Delivery","60","60","42070","39580"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Commercial","Operational Delivery","40","30","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Commercial","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Commercial","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","No function","Operational Delivery","1800","1700","27680","25100"
"In post","2022","Animal and Plant Health Agency","No function","Other","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","No function","Science and Engineering","550","530","32170","28270"
"In post","2022","Animal and Plant Health Agency","No function","Veterinarian","330","320","42970","38340"
"In post","2022","Animal and Plant Health Agency","Project Delivery","Operational Delivery","80","80","25750","21300"
"In post","2022","Animal and Plant Health Agency","Project Delivery","Project Delivery","40","30","[c]","[c]"
"In post","2022","Attorney General's Office","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Communications","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Legal","Other","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Legal","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Commercial","Other","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Commercial","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Commercial","Unknown","1650","1630","69540","64500"
"In post","2022","Cabinet Office (excl. agencies)","Communications","Unknown","360","350","48330","42000"
"In post","2022","Cabinet Office (excl. agencies)","Counter Fraud","Unknown","130","130","46590","43890"
"In post","2022","Cabinet Office (excl. agencies)","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Digital, Data & Technology","Policy","[c]","[c]","[c]","[c]"
