"Status","Year","Disability","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared non-disabled","EO","Project Delivery","980","920","26820","26750"
"In post","2022","Declared non-disabled","EO","Property","990","920","27430","26950"
"In post","2022","Declared non-disabled","EO","Psychology","280","280","26480","26590"
"In post","2022","Declared non-disabled","EO","Science and Engineering","1400","1360","26170","26370"
"In post","2022","Declared non-disabled","EO","Security","710","690","33230","29200"
"In post","2022","Declared non-disabled","EO","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","EO","Statistics","160","160","28160","28310"
"In post","2022","Declared non-disabled","EO","Tax","2650","2500","27360","26820"
"In post","2022","Declared non-disabled","EO","Unknown","3080","2990","28240","27500"
"In post","2022","Declared non-disabled","EO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","G6/G7","Commercial","810","780","58270","55390"
"In post","2022","Declared non-disabled","G6/G7","Communications","680","650","58790","57430"
"In post","2022","Declared non-disabled","G6/G7","Corporate Finance","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","G6/G7","Counter Fraud","110","110","59990","58700"
"In post","2022","Declared non-disabled","G6/G7","Digital, Data and Technology","3760","3700","58510","57020"
"In post","2022","Declared non-disabled","G6/G7","Economics","650","620","60130","57830"
"In post","2022","Declared non-disabled","G6/G7","Finance","1970","1920","59150","57540"
"In post","2022","Declared non-disabled","G6/G7","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","G6/G7","Human Resources","1490","1440","58050","56800"
"In post","2022","Declared non-disabled","G6/G7","Inspector of Education and Training","490","480","75580","75500"
"In post","2022","Declared non-disabled","G6/G7","Intelligence Analysis","170","160","59330","58230"
"In post","2022","Declared non-disabled","G6/G7","Internal Audit","150","150","58040","56490"
"In post","2022","Declared non-disabled","G6/G7","International Trade","370","370","56580","54500"
"In post","2022","Declared non-disabled","G6/G7","Knowledge and Information Management","220","210","57790","56120"
"In post","2022","Declared non-disabled","G6/G7","Legal","4450","4110","59660","58590"
"In post","2022","Declared non-disabled","G6/G7","Medicine","470","400","74060","75970"
"In post","2022","Declared non-disabled","G6/G7","Operational Delivery","5560","5420","58600","55300"
"In post","2022","Declared non-disabled","G6/G7","Operational Research","410","390","55190","54460"
"In post","2022","Declared non-disabled","G6/G7","Other","1470","1420","60510","57460"
"In post","2022","Declared non-disabled","G6/G7","Planning","60","60","58160","57110"
"In post","2022","Declared non-disabled","G6/G7","Planning Inspectors","260","230","57120","58810"
"In post","2022","Declared non-disabled","G6/G7","Policy","9150","8850","58340","57200"
"In post","2022","Declared non-disabled","G6/G7","Project Delivery","3490","3400","57590","55210"
"In post","2022","Declared non-disabled","G6/G7","Property","1110","1080","58680","57600"
"In post","2022","Declared non-disabled","G6/G7","Psychology","100","90","65650","65520"
"In post","2022","Declared non-disabled","G6/G7","Science and Engineering","2420","2310","55470","54410"
"In post","2022","Declared non-disabled","G6/G7","Security","350","350","59540","58240"
"In post","2022","Declared non-disabled","G6/G7","Social Research","280","260","58130","57460"
"In post","2022","Declared non-disabled","G6/G7","Statistics","570","550","58490","59100"
"In post","2022","Declared non-disabled","G6/G7","Tax","2100","2010","59570","55210"
"In post","2022","Declared non-disabled","G6/G7","Unknown","4440","4310","61200","60640"
"In post","2022","Declared non-disabled","G6/G7","Veterinarian","100","100","54910","54340"
"In post","2022","Declared non-disabled","SCS","Commercial","70","70","88710","81130"
"In post","2022","Declared non-disabled","SCS","Communications","80","80","87450","81040"
"In post","2022","Declared non-disabled","SCS","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","SCS","Digital, Data and Technology","200","200","91170","85000"
"In post","2022","Declared non-disabled","SCS","Economics","80","70","92130","81390"
"In post","2022","Declared non-disabled","SCS","Finance","250","240","88620","80680"
"In post","2022","Declared non-disabled","SCS","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","SCS","Human Resources","160","160","86670","79480"
"In post","2022","Declared non-disabled","SCS","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","SCS","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","SCS","International Trade","70","70","83240","75310"
"In post","2022","Declared non-disabled","SCS","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","SCS","Legal","300","290","87650","82720"
"In post","2022","Declared non-disabled","SCS","Medicine","170","150","101110","100400"
"In post","2022","Declared non-disabled","SCS","Operational Delivery","580","570","89300","82270"
"In post","2022","Declared non-disabled","SCS","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","SCS","Other","240","230","97530","88110"
"In post","2022","Declared non-disabled","SCS","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","SCS","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","SCS","Policy","1470","1410","84840","77650"
"In post","2022","Declared non-disabled","SCS","Project Delivery","290","290","89820","83920"
"In post","2022","Declared non-disabled","SCS","Property","70","70","88430","80190"
"In post","2022","Declared non-disabled","SCS","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","SCS","Science and Engineering","60","60","93530","89300"
"In post","2022","Declared non-disabled","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","SCS","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","SCS","Statistics","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","SCS","Tax","70","70","82160","78810"
"In post","2022","Declared non-disabled","SCS","Unknown","760","740","95960","84740"
"In post","2022","Declared non-disabled","SCS","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","SEO/HEO","Commercial","2220","2150","37040","36780"
"In post","2022","Declared non-disabled","SEO/HEO","Communications","1390","1350","38050","38000"
"In post","2022","Declared non-disabled","SEO/HEO","Corporate Finance","50","50","[c]","[c]"
"In post","2022","Declared non-disabled","SEO/HEO","Counter Fraud","950","910","35550","34290"
"In post","2022","Declared non-disabled","SEO/HEO","Digital, Data and Technology","6430","6250","37830","37300"
"In post","2022","Declared non-disabled","SEO/HEO","Economics","540","530","35980","34710"
"In post","2022","Declared non-disabled","SEO/HEO","Finance","4060","3920","37600","36650"
"In post","2022","Declared non-disabled","SEO/HEO","Geography","160","150","35560","33290"
"In post","2022","Declared non-disabled","SEO/HEO","Human Resources","2870","2730","36560","35980"
"In post","2022","Declared non-disabled","SEO/HEO","Inspector of Education and Training","300","300","50190","51360"
"In post","2022","Declared non-disabled","SEO/HEO","Intelligence Analysis","900","880","36840","36140"
"In post","2022","Declared non-disabled","SEO/HEO","Internal Audit","360","330","40620","40550"
"In post","2022","Declared non-disabled","SEO/HEO","International Trade","380","370","36230","37930"
"In post","2022","Declared non-disabled","SEO/HEO","Knowledge and Information Management","740","720","36700","36460"
"In post","2022","Declared non-disabled","SEO/HEO","Legal","2550","2390","40140","39320"
"In post","2022","Declared non-disabled","SEO/HEO","Medicine","490","450","40190","39030"
"In post","2022","Declared non-disabled","SEO/HEO","Operational Delivery","26460","25230","36780","35200"
"In post","2022","Declared non-disabled","SEO/HEO","Operational Research","410","390","36990","38070"
"In post","2022","Declared non-disabled","SEO/HEO","Other","4660","4490","35820","35010"
"In post","2022","Declared non-disabled","SEO/HEO","Planning","90","80","39130","39100"
"In post","2022","Declared non-disabled","SEO/HEO","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","SEO/HEO","Policy","9600","9350","37430","37000"
"In post","2022","Declared non-disabled","SEO/HEO","Project Delivery","6020","5790","37230","37610"
"In post","2022","Declared non-disabled","SEO/HEO","Property","2430","2330","37820","36500"
"In post","2022","Declared non-disabled","SEO/HEO","Psychology","680","650","37170","33900"
"In post","2022","Declared non-disabled","SEO/HEO","Science and Engineering","5230","5030","36920","38070"
"In post","2022","Declared non-disabled","SEO/HEO","Security","1320","1290","39270","37590"
"In post","2022","Declared non-disabled","SEO/HEO","Social Research","510","490","36790","37610"
"In post","2022","Declared non-disabled","SEO/HEO","Statistics","810","780","37630","37860"
"In post","2022","Declared non-disabled","SEO/HEO","Tax","5210","4980","36200","33370"
"In post","2022","Declared non-disabled","SEO/HEO","Unknown","6420","6240","38020","37300"
"In post","2022","Declared non-disabled","SEO/HEO","Veterinarian","200","190","40170","37910"
"In post","2022","Declared non-disabled","Unknown","Commercial","140","140","40260","38280"
"In post","2022","Declared non-disabled","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Finance","60","60","48680","41960"
"In post","2022","Declared non-disabled","Unknown","Human Resources","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Operational Delivery","11910","11090","30540","28200"
"In post","2022","Declared non-disabled","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Project Delivery","370","360","44890","41020"
"In post","2022","Declared non-disabled","Unknown","Property","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Science and Engineering","560","560","40900","38450"
"In post","2022","Declared non-disabled","Unknown","Security","130","130","32970","29640"
"In post","2022","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Counter Fraud","50","50","22730","22720"
"In post","2022","Undeclared","AA/AO","Digital, Data and Technology","50","40","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Finance","40","40","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Human Resources","70","60","21750","21380"
"In post","2022","Undeclared","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Operational Delivery","7010","6200","24910","22020"
"In post","2022","Undeclared","AA/AO","Other","700","660","21190","21260"
"In post","2022","Undeclared","AA/AO","Policy","40","30","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Property","70","60","20500","21170"
"In post","2022","Undeclared","AA/AO","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Science and Engineering","60","60","22530","22750"
"In post","2022","Undeclared","AA/AO","Security","420","410","27980","22710"
"In post","2022","Undeclared","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Tax","70","70","21350","21250"
"In post","2022","Undeclared","AA/AO","Unknown","110","100","22300","21260"
"In post","2022","Undeclared","AA/AO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Commercial","40","40","[c]","[c]"
"In post","2022","Undeclared","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Counter Fraud","190","170","28120","27570"
"In post","2022","Undeclared","EO","Digital, Data and Technology","200","190","28030","27130"
"In post","2022","Undeclared","EO","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Finance","140","130","27320","26860"
"In post","2022","Undeclared","EO","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Human Resources","80","80","27990","27570"
"In post","2022","Undeclared","EO","Intelligence Analysis","140","130","28350","27380"
"In post","2022","Undeclared","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2022","Undeclared","EO","Legal","90","80","28460","27130"
"In post","2022","Undeclared","EO","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Operational Delivery","4480","4160","28790","27570"
"In post","2022","Undeclared","EO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Other","500","480","27290","27570"
"In post","2022","Undeclared","EO","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Policy","120","120","28360","28110"
"In post","2022","Undeclared","EO","Project Delivery","70","60","27360","26780"
"In post","2022","Undeclared","EO","Property","120","110","27660","27000"
"In post","2022","Undeclared","EO","Psychology","30","30","[c]","[c]"
"In post","2022","Undeclared","EO","Science and Engineering","120","120","28190","28150"
"In post","2022","Undeclared","EO","Security","110","100","36710","40190"
"In post","2022","Undeclared","EO","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","Tax","190","180","28050","26820"
"In post","2022","Undeclared","EO","Unknown","120","120","27660","27230"
"In post","2022","Undeclared","EO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Commercial","80","70","61000","58120"
"In post","2022","Undeclared","G6/G7","Communications","40","40","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Digital, Data and Technology","260","250","59570","57680"
"In post","2022","Undeclared","G6/G7","Economics","40","40","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Finance","130","130","60140","58680"
"In post","2022","Undeclared","G6/G7","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Human Resources","80","80","57820","56750"
"In post","2022","Undeclared","G6/G7","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Legal","190","180","62680","63730"
"In post","2022","Undeclared","G6/G7","Medicine","30","20","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Operational Delivery","320","310","60690","57540"
"In post","2022","Undeclared","G6/G7","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Other","70","60","58250","57230"
"In post","2022","Undeclared","G6/G7","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Policy","690","670","58200","56040"
"In post","2022","Undeclared","G6/G7","Project Delivery","220","210","57830","55210"
"In post","2022","Undeclared","G6/G7","Property","90","90","59580","58250"
"In post","2022","Undeclared","G6/G7","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Science and Engineering","90","80","58320","57230"
"In post","2022","Undeclared","G6/G7","Security","40","40","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","G6/G7","Tax","230","220","59550","55210"
"In post","2022","Undeclared","G6/G7","Unknown","200","190","60330","58600"
"In post","2022","Undeclared","G6/G7","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Other","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Policy","80","80","82340","77000"
"In post","2022","Undeclared","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Property","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SEO/HEO","Commercial","200","190","39020","38720"
"In post","2022","Undeclared","SEO/HEO","Communications","90","90","38650","38180"
"In post","2022","Undeclared","SEO/HEO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SEO/HEO","Counter Fraud","80","80","34820","34000"
"In post","2022","Undeclared","SEO/HEO","Digital, Data and Technology","580","570","38230","37900"
"In post","2022","Undeclared","SEO/HEO","Economics","40","40","[c]","[c]"
"In post","2022","Undeclared","SEO/HEO","Finance","340","330","38120","37000"
"In post","2022","Undeclared","SEO/HEO","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SEO/HEO","Human Resources","250","240","37490","37040"
"In post","2022","Undeclared","SEO/HEO","Intelligence Analysis","120","110","37260","37000"
"In post","2022","Undeclared","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SEO/HEO","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SEO/HEO","Knowledge and Information Management","60","60","36280","34640"
"In post","2022","Undeclared","SEO/HEO","Legal","230","220","39640","38020"
"In post","2022","Undeclared","SEO/HEO","Medicine","40","30","[c]","[c]"
"In post","2022","Undeclared","SEO/HEO","Operational Delivery","2290","2180","38030","36720"
"In post","2022","Undeclared","SEO/HEO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SEO/HEO","Other","400","380","36020","34460"
"In post","2022","Undeclared","SEO/HEO","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SEO/HEO","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SEO/HEO","Policy","780","760","36620","36360"
"In post","2022","Undeclared","SEO/HEO","Project Delivery","420","400","37920","39450"
"In post","2022","Undeclared","SEO/HEO","Property","250","240","39050","38000"
"In post","2022","Undeclared","SEO/HEO","Psychology","80","80","39640","39670"
"In post","2022","Undeclared","SEO/HEO","Science and Engineering","330","320","38090","38250"
"In post","2022","Undeclared","SEO/HEO","Security","200","190","41970","39720"
"In post","2022","Undeclared","SEO/HEO","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SEO/HEO","Statistics","40","40","[c]","[c]"
"In post","2022","Undeclared","SEO/HEO","Tax","430","400","36600","33730"
"In post","2022","Undeclared","SEO/HEO","Unknown","340","330","37320","36130"
"In post","2022","Undeclared","SEO/HEO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Operational Delivery","790","730","31190","28760"
"In post","2022","Undeclared","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Project Delivery","30","30","[c]","[c]"
"In post","2022","Undeclared","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Science and Engineering","60","60","44170","43800"
"In post","2022","Undeclared","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","AA/AO","Commercial","90","80","23440","22560"
"In post","2022","Unknown","AA/AO","Communications","50","50","[c]","[c]"
"In post","2022","Unknown","AA/AO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","AA/AO","Counter Fraud","60","50","22640","22740"
"In post","2022","Unknown","AA/AO","Digital, Data and Technology","140","140","22290","21290"
"In post","2022","Unknown","AA/AO","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","AA/AO","Finance","200","170","22170","21250"
"In post","2022","Unknown","AA/AO","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","AA/AO","Human Resources","220","200","22130","21380"
"In post","2022","Unknown","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","AA/AO","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","AA/AO","Knowledge and Information Management","50","40","[c]","[c]"
"In post","2022","Unknown","AA/AO","Legal","70","60","22460","22080"
"In post","2022","Unknown","AA/AO","Medicine","120","110","21090","20330"
"In post","2022","Unknown","AA/AO","Operational Delivery","17960","16500","22810","21790"
"In post","2022","Unknown","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","AA/AO","Other","1380","1300","22040","21260"
"In post","2022","Unknown","AA/AO","Policy","100","100","22720","22090"
"In post","2022","Unknown","AA/AO","Project Delivery","30","30","[c]","[c]"
"In post","2022","Unknown","AA/AO","Property","240","220","19240","19010"
"In post","2022","Unknown","AA/AO","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","AA/AO","Science and Engineering","140","130","22130","22310"
"In post","2022","Unknown","AA/AO","Security","1430","1410","28860","25540"
"In post","2022","Unknown","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","AA/AO","Statistics","40","40","[c]","[c]"
"In post","2022","Unknown","AA/AO","Tax","1580","1470","21310","21250"
"In post","2022","Unknown","AA/AO","Unknown","1750","1640","22980","22140"
"In post","2022","Unknown","AA/AO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","EO","Commercial","190","190","26590","26350"
"In post","2022","Unknown","EO","Communications","170","160","27530","27270"
"In post","2022","Unknown","EO","Counter Fraud","120","120","27750","27570"
"In post","2022","Unknown","EO","Digital, Data and Technology","710","700","27940","27460"
"In post","2022","Unknown","EO","Economics","50","50","[c]","[c]"
"In post","2022","Unknown","EO","Finance","370","360","26640","26590"
"In post","2022","Unknown","EO","Geography","50","40","[c]","[c]"
"In post","2022","Unknown","EO","Human Resources","360","340","27390","26930"
"In post","2022","Unknown","EO","Intelligence Analysis","150","150","27240","26670"
"In post","2022","Unknown","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","EO","International Trade","40","40","[c]","[c]"
"In post","2022","Unknown","EO","Knowledge and Information Management","50","50","[c]","[c]"
"In post","2022","Unknown","EO","Legal","540","520","28290","26820"
"In post","2022","Unknown","EO","Medicine","70","60","31380","31530"
"In post","2022","Unknown","EO","Operational Delivery","12100","11510","29170","27570"
"In post","2022","Unknown","EO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","EO","Other","960","920","27490","27570"
"In post","2022","Unknown","EO","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","EO","Policy","570","560","27360","27500"
"In post","2022","Unknown","EO","Project Delivery","210","200","27180","26820"
"In post","2022","Unknown","EO","Property","310","300","26710","26350"
"In post","2022","Unknown","EO","Psychology","60","60","30310","31700"
"In post","2022","Unknown","EO","Science and Engineering","280","270","25090","26020"
"In post","2022","Unknown","EO","Security","120","110","35730","32260"
"In post","2022","Unknown","EO","Social Research","40","40","[c]","[c]"
"In post","2022","Unknown","EO","Statistics","50","50","27800","28310"
"In post","2022","Unknown","EO","Tax","1610","1540","27290","26820"
"In post","2022","Unknown","EO","Unknown","1720","1670","27930","27230"
"In post","2022","Unknown","EO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","G6/G7","Commercial","260","250","56430","53360"
"In post","2022","Unknown","G6/G7","Communications","310","300","58480","56440"
"In post","2022","Unknown","G6/G7","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","G6/G7","Counter Fraud","30","30","[c]","[c]"
"In post","2022","Unknown","G6/G7","Digital, Data and Technology","1180","1160","58730","57070"
"In post","2022","Unknown","G6/G7","Economics","170","170","59000","55800"
"In post","2022","Unknown","G6/G7","Finance","420","410","57970","55210"
"In post","2022","Unknown","G6/G7","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","G6/G7","Human Resources","240","240","58280","57290"
"In post","2022","Unknown","G6/G7","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","G6/G7","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","G6/G7","International Trade","230","230","55240","51970"
"In post","2022","Unknown","G6/G7","Knowledge and Information Management","50","50","[c]","[c]"
"In post","2022","Unknown","G6/G7","Legal","1090","1020","57900","55610"
"In post","2022","Unknown","G6/G7","Medicine","220","190","71600","75870"
"In post","2022","Unknown","G6/G7","Operational Delivery","1550","1510","58730","55370"
"In post","2022","Unknown","G6/G7","Operational Research","30","30","[c]","[c]"
"In post","2022","Unknown","G6/G7","Other","400","380","59550","56540"
"In post","2022","Unknown","G6/G7","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","G6/G7","Planning Inspectors","70","60","56070","58810"
"In post","2022","Unknown","G6/G7","Policy","2180","2130","57630","55210"
"In post","2022","Unknown","G6/G7","Project Delivery","670","660","57870","55210"
"In post","2022","Unknown","G6/G7","Property","200","190","56660","54850"
"In post","2022","Unknown","G6/G7","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","G6/G7","Science and Engineering","480","450","58600","55420"
"In post","2022","Unknown","G6/G7","Security","90","90","57860","55210"
"In post","2022","Unknown","G6/G7","Social Research","50","50","55830","54290"
"In post","2022","Unknown","G6/G7","Statistics","110","110","55090","53360"
