"Status","Year","Responsibility_level","Region_ITL2","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Unknown","Cheshire","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Cheshire","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Cornwall and Isles of Scilly","HM Prison and Probation Service","50","40","[c]","[c]"
"In post","2021","Unknown","Cornwall and Isles of Scilly","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Cumbria","HM Prison and Probation Service","90","80","29580","28200"
"In post","2021","Unknown","Cumbria","Submarine Delivery Agency","150","150","42610","41000"
"In post","2021","Unknown","Derbyshire and Nottinghamshire","HM Prison and Probation Service","480","430","29230","28200"
"In post","2021","Unknown","Derbyshire and Nottinghamshire","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Derbyshire and Nottinghamshire","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Devon","HM Prison and Probation Service","200","180","31040","30210"
"In post","2021","Unknown","Devon","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Devon","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Devon","Submarine Delivery Agency","100","100","37360","37400"
"In post","2021","Unknown","Dorset and Somerset","HM Prison and Probation Service","220","190","28110","27310"
"In post","2021","Unknown","Dorset and Somerset","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","East Anglia","HM Prison and Probation Service","480","440","29400","30210"
"In post","2021","Unknown","East Anglia","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","East Anglia","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","East Wales","HM Prison and Probation Service","470","450","29800","28790"
"In post","2021","Unknown","East Wales","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","East Wales","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","East Wales","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","East Yorkshire and Northern Lincolnshire","HM Prison and Probation Service","250","230","29930","30210"
"In post","2021","Unknown","Eastern Scotland","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Eastern Scotland","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Eastern Scotland","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Eastern Scotland","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Essex","HM Prison and Probation Service","240","220","27820","24800"
"In post","2021","Unknown","Essex","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","HM Prison and Probation Service","440","390","29570","30210"
"In post","2021","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","Ministry of Defence (excl. agencies)","70","70","44040","38290"
"In post","2021","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","Submarine Delivery Agency","1400","1370","41910","39860"
"In post","2021","Unknown","Greater Manchester","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Greater Manchester","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Greater Manchester","HM Prison and Probation Service","740","690","29680","30210"
"In post","2021","Unknown","Greater Manchester","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Greater Manchester","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Hampshire and Isle of Wight","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Hampshire and Isle of Wight","HM Prison and Probation Service","290","260","29040","28200"
"In post","2021","Unknown","Hampshire and Isle of Wight","Ministry of Defence (excl. agencies)","60","60","49910","52610"
"In post","2021","Unknown","Hampshire and Isle of Wight","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Herefordshire, Worcestershire and Warwickshire","HM Prison and Probation Service","300","270","29110","28200"
"In post","2021","Unknown","Herefordshire, Worcestershire and Warwickshire","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Highlands and Islands","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Highlands and Islands","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inner London - East","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inner London - East","HM Prison and Probation Service","690","670","33270","32090"
"In post","2021","Unknown","Inner London - East","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inner London - West","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inner London - West","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inner London - West","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inner London - West","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inner London - West","HM Prison and Probation Service","190","180","36750","35310"
"In post","2021","Unknown","Inner London - West","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inner London - West","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inner London - West","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inner London - West","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inner London - West","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Kent","HM Prison and Probation Service","280","260","30160","30880"
"In post","2021","Unknown","Kent","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Kent","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Kent","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Lancashire","HM Prison and Probation Service","430","390","29610","30210"
"In post","2021","Unknown","Lancashire","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Lancashire","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Leicestershire, Rutland and Northamptonshire","HM Prison and Probation Service","360","330","29390","30210"
"In post","2021","Unknown","Leicestershire, Rutland and Northamptonshire","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Lincolnshire","HM Prison and Probation Service","130","120","30200","30210"
"In post","2021","Unknown","Lincolnshire","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Merseyside","HM Prison and Probation Service","400","370","29440","28200"
"In post","2021","Unknown","Merseyside","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Merseyside","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","North Yorkshire","HM Prison and Probation Service","180","160","29140","28200"
"In post","2021","Unknown","North Yorkshire","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northern Ireland","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northumberland and Tyne and Wear","HM Prison and Probation Service","340","320","29190","28200"
"In post","2021","Unknown","Northumberland and Tyne and Wear","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northumberland and Tyne and Wear","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Outer London - East and North East","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Outer London - East and North East","HM Prison and Probation Service","250","240","33100","34100"
"In post","2021","Unknown","Outer London - East and North East","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Outer London - South","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Outer London - South","HM Prison and Probation Service","170","160","33530","32090"
"In post","2021","Unknown","Outer London - South","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Outer London - South","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Outer London - West and North West","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Outer London - West and North West","HM Prison and Probation Service","250","240","32240","28690"
"In post","2021","Unknown","Outer London - West and North West","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Outer London - West and North West","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Overseas","Home Office (incl. agencies)","220","220","[c]","[c]"
"In post","2021","Unknown","Overseas","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Overseas","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Shropshire and Staffordshire","HM Prison and Probation Service","300","270","29960","30210"
"In post","2021","Unknown","Shropshire and Staffordshire","Ministry of Defence (excl. agencies)","50","50","[c]","[c]"
"In post","2021","Unknown","South Yorkshire","HM Prison and Probation Service","340","300","29220","28200"
"In post","2021","Unknown","South Yorkshire","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Surrey, East and West Sussex","HM Prison and Probation Service","390","350","29520","30210"
"In post","2021","Unknown","Tees Valley and Durham","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Tees Valley and Durham","HM Prison and Probation Service","360","330","29400","28200"
"In post","2021","Unknown","Tees Valley and Durham","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Tees Valley and Durham","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Ministry of Defence (excl. agencies)","80","80","29270","27370"
"In post","2021","Unknown","Unknown","Royal Fleet Auxiliary","1830","1830","37620","34460"
"In post","2021","Unknown","West Central Scotland","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","West Central Scotland","Submarine Delivery Agency","60","60","37840","40580"
"In post","2021","Unknown","West Midlands","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","West Midlands","HM Prison and Probation Service","750","690","29150","28200"
"In post","2021","Unknown","West Midlands","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","West Midlands","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","West Wales and The Valleys","HM Prison and Probation Service","620","570","29650","28200"
"In post","2021","Unknown","West Wales and The Valleys","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","West Yorkshire","HM Prison and Probation Service","550","500","30070","30210"
"In post","2021","Unknown","West Yorkshire","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Bedfordshire and Hertfordshire","Crown Prosecution Service","40","40","[c]","[c]"
"In post","2022","AA/AO","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Bedfordshire and Hertfordshire","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Bedfordshire and Hertfordshire","Department for Work and Pensions (excl. agencies)","160","140","23550","24250"
"In post","2022","AA/AO","Bedfordshire and Hertfordshire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Bedfordshire and Hertfordshire","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Bedfordshire and Hertfordshire","HM Courts and Tribunals Service","200","170","21450","20970"
"In post","2022","AA/AO","Bedfordshire and Hertfordshire","HM Prison and Probation Service","510","500","27860","28140"
"In post","2022","AA/AO","Bedfordshire and Hertfordshire","Home Office","30","30","[c]","[c]"
"In post","2022","AA/AO","Bedfordshire and Hertfordshire","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Bedfordshire and Hertfordshire","Ministry of Defence (excl. agencies)","180","180","21970","21170"
"In post","2022","AA/AO","Bedfordshire and Hertfordshire","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Bedfordshire and Hertfordshire","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Bedfordshire and Hertfordshire","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Bedfordshire and Hertfordshire","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Department for Work and Pensions (excl. agencies)","160","130","22840","22680"
"In post","2022","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","FCDO Services","100","100","23460","23100"
"In post","2022","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Foreign, Commonwealth and Development Office (excl. agencies)","120","110","25060","25000"
"In post","2022","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","HM Courts and Tribunals Service","180","160","20860","20970"
"In post","2022","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","HM Prison and Probation Service","1190","1150","27950","28140"
"In post","2022","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","HM Revenue and Customs (excl. agencies)","120","110","22060","21250"
"In post","2022","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Home Office","30","30","[c]","[c]"
"In post","2022","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence (excl. agencies)","1150","1120","26630","23170"
"In post","2022","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Rural Payments Agency","80","70","21300","21300"
"In post","2022","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","UK Health Security Agency","50","30","[c]","[c]"
"In post","2022","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Cheshire","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Cheshire","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Cheshire","Department for Work and Pensions (excl. agencies)","300","260","21030","21260"
"In post","2022","AA/AO","Cheshire","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Cheshire","HM Courts and Tribunals Service","70","60","20540","20970"
"In post","2022","AA/AO","Cheshire","HM Prison and Probation Service","650","610","25360","24260"
"In post","2022","AA/AO","Cheshire","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Cheshire","Ministry of Defence (excl. agencies)","200","180","21330","21170"
"In post","2022","AA/AO","Cheshire","National Crime Agency","50","50","22020","21050"
"In post","2022","AA/AO","Cheshire","Rural Payments Agency","70","60","21300","21300"
"In post","2022","AA/AO","Cornwall and Isles of Scilly","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Cornwall and Isles of Scilly","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Cornwall and Isles of Scilly","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Cornwall and Isles of Scilly","Department for Work and Pensions (excl. agencies)","360","320","21160","21260"
"In post","2022","AA/AO","Cornwall and Isles of Scilly","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Cornwall and Isles of Scilly","HM Courts and Tribunals Service","40","40","[c]","[c]"
"In post","2022","AA/AO","Cornwall and Isles of Scilly","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Cornwall and Isles of Scilly","Ministry of Defence (excl. agencies)","280","260","21030","21170"
"In post","2022","AA/AO","Cornwall and Isles of Scilly","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Cumbria","Animal and Plant Health Agency","100","90","21430","21300"
"In post","2022","AA/AO","Cumbria","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Cumbria","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Cumbria","Department for Work and Pensions (excl. agencies)","50","40","21070","21260"
"In post","2022","AA/AO","Cumbria","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Cumbria","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Cumbria","HM Courts and Tribunals Service","50","40","[c]","[c]"
"In post","2022","AA/AO","Cumbria","HM Prison and Probation Service","120","110","24650","23960"
"In post","2022","AA/AO","Cumbria","Ministry of Defence (excl. agencies)","100","90","26160","23540"
"In post","2022","AA/AO","Cumbria","Rural Payments Agency","500","440","21300","21300"
"In post","2022","AA/AO","Derbyshire and Nottinghamshire","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Derbyshire and Nottinghamshire","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Derbyshire and Nottinghamshire","Crown Prosecution Service","70","60","21910","22200"
"In post","2022","AA/AO","Derbyshire and Nottinghamshire","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Derbyshire and Nottinghamshire","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Derbyshire and Nottinghamshire","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Derbyshire and Nottinghamshire","Department for Work and Pensions (excl. agencies)","770","670","21080","21260"
"In post","2022","AA/AO","Derbyshire and Nottinghamshire","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Derbyshire and Nottinghamshire","Driver and Vehicle Standards Agency","50","40","[c]","[c]"
"In post","2022","AA/AO","Derbyshire and Nottinghamshire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Derbyshire and Nottinghamshire","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Derbyshire and Nottinghamshire","HM Courts and Tribunals Service","250","220","20670","20970"
"In post","2022","AA/AO","Derbyshire and Nottinghamshire","HM Land Registry","120","120","22500","22600"
"In post","2022","AA/AO","Derbyshire and Nottinghamshire","HM Prison and Probation Service","1310","1230","25080","24430"
"In post","2022","AA/AO","Derbyshire and Nottinghamshire","HM Revenue and Customs (excl. agencies)","690","620","21590","21250"
"In post","2022","AA/AO","Derbyshire and Nottinghamshire","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Derbyshire and Nottinghamshire","Legal Aid Agency","90","70","20970","20970"
"In post","2022","AA/AO","Derbyshire and Nottinghamshire","Ministry of Defence (excl. agencies)","200","190","23230","21170"
"In post","2022","AA/AO","Derbyshire and Nottinghamshire","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Derbyshire and Nottinghamshire","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Derbyshire and Nottinghamshire","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Derbyshire and Nottinghamshire","Office of the Public Guardian","200","180","20950","20970"
"In post","2022","AA/AO","Derbyshire and Nottinghamshire","Rural Payments Agency","50","50","21040","21300"
"In post","2022","AA/AO","Derbyshire and Nottinghamshire","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Derbyshire and Nottinghamshire","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Derbyshire and Nottinghamshire","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Devon","Animal and Plant Health Agency","100","90","21320","21300"
"In post","2022","AA/AO","Devon","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Devon","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Devon","Department for Work and Pensions (excl. agencies)","730","580","21040","21260"
"In post","2022","AA/AO","Devon","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Devon","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Devon","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Devon","HM Courts and Tribunals Service","120","100","20570","20970"
"In post","2022","AA/AO","Devon","HM Land Registry","170","160","22420","22600"
"In post","2022","AA/AO","Devon","HM Prison and Probation Service","660","620","25140","24260"
"In post","2022","AA/AO","Devon","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Devon","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Devon","Met Office","80","80","19340","20660"
"In post","2022","AA/AO","Devon","Ministry of Defence (excl. agencies)","720","680","23850","21170"
"In post","2022","AA/AO","Devon","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Devon","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Devon","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Devon","Rural Payments Agency","80","70","21300","21300"
"In post","2022","AA/AO","Devon","The Insolvency Service","50","40","[c]","[c]"
"In post","2022","AA/AO","Devon","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Devon","Valuation Office Agency","260","240","21980","22010"
"In post","2022","AA/AO","Dorset and Somerset","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Dorset and Somerset","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Dorset and Somerset","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Dorset and Somerset","Department for Work and Pensions (excl. agencies)","190","160","21190","21260"
"In post","2022","AA/AO","Dorset and Somerset","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Dorset and Somerset","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Dorset and Somerset","HM Courts and Tribunals Service","140","120","20600","20970"
"In post","2022","AA/AO","Dorset and Somerset","HM Land Registry","90","80","22600","22600"
"In post","2022","AA/AO","Dorset and Somerset","HM Prison and Probation Service","610","580","25630","25700"
"In post","2022","AA/AO","Dorset and Somerset","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Dorset and Somerset","Ministry of Defence (excl. agencies)","480","460","20960","21170"
"In post","2022","AA/AO","Dorset and Somerset","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Dorset and Somerset","UK Hydrographic Office","100","100","20580","20420"
"In post","2022","AA/AO","Dorset and Somerset","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","East Anglia","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","East Anglia","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","East Anglia","Centre for Environment, Fisheries and Aquaculture Science","40","30","[c]","[c]"
"In post","2022","AA/AO","East Anglia","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","East Anglia","Crown Prosecution Service","40","30","[c]","[c]"
"In post","2022","AA/AO","East Anglia","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","East Anglia","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","East Anglia","Department for Work and Pensions (excl. agencies)","390","310","21130","21260"
"In post","2022","AA/AO","East Anglia","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
"In post","2022","AA/AO","East Anglia","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","East Anglia","HM Courts and Tribunals Service","300","260","20670","20970"
"In post","2022","AA/AO","East Anglia","HM Land Registry","80","80","22600","22600"
"In post","2022","AA/AO","East Anglia","HM Prison and Probation Service","2190","2050","26040","25700"
"In post","2022","AA/AO","East Anglia","HM Revenue and Customs (excl. agencies)","140","130","21650","21250"
"In post","2022","AA/AO","East Anglia","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","East Anglia","Home Office","390","330","21260","21680"
"In post","2022","AA/AO","East Anglia","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","East Anglia","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","East Anglia","Ministry of Defence (excl. agencies)","1030","990","22890","21170"
"In post","2022","AA/AO","East Anglia","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","East Anglia","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","East Anglia","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","East Anglia","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","East Anglia","The Insolvency Service","40","30","[c]","[c]"
"In post","2022","AA/AO","East Anglia","UK Health Security Agency","50","50","21710","21820"
"In post","2022","AA/AO","East Anglia","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","East Wales","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","East Wales","Animal and Plant Health Agency","40","40","[c]","[c]"
"In post","2022","AA/AO","East Wales","Companies House","410","360","21690","22740"
"In post","2022","AA/AO","East Wales","Crown Commercial Service","[c]","[c]","[c]","[c]"
