"Status","Year","Parent_department","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Office for Standards in Education, Children's Services and Skills","No function","1410","1360","52600","51360"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Project Delivery","40","40","[c]","[c]"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Property","[c]","[c]","[c]","[c]"
"In post","2022","Office of Gas and Electricity Markets","Analysis","180","180","43990","37000"
"In post","2022","Office of Gas and Electricity Markets","Communications","50","40","[c]","[c]"
"In post","2022","Office of Gas and Electricity Markets","Digital, Data & Technology","70","70","53930","50580"
"In post","2022","Office of Gas and Electricity Markets","Finance","30","30","[c]","[c]"
"In post","2022","Office of Gas and Electricity Markets","Human Resources","40","40","[c]","[c]"
"In post","2022","Office of Gas and Electricity Markets","Legal","80","80","63160","64320"
"In post","2022","Office of Gas and Electricity Markets","No function","870","860","40300","33400"
"In post","2022","Office of Gas and Electricity Markets","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Office of Gas and Electricity Markets","Property","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","No function","220","210","45260","40370"
"In post","2022","Office of Qualifications and Examinations Regulation","Property","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Security","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","Analysis","50","40","[c]","[c]"
"In post","2022","Office of Rail and Road","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","No function","240","230","55150","55000"
"In post","2022","Office of Rail and Road","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","Property","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","No function","40","40","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","Unknown","70","70","48900","49860"
"In post","2022","Office of the Secretary of State for Wales","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","No function","30","30","[c]","[c]"
"In post","2022","Scottish Government","Analysis","30","30","[c]","[c]"
"In post","2022","Scottish Government","Commercial","110","100","32850","26900"
"In post","2022","Scottish Government","Communications","40","40","[c]","[c]"
"In post","2022","Scottish Government","Digital, Data & Technology","240","240","39460","36360"
"In post","2022","Scottish Government","Finance","150","140","35880","32380"
"In post","2022","Scottish Government","Human Resources","250","240","36130","35000"
"In post","2022","Scottish Government","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Legal","790","750","53520","53490"
"In post","2022","Scottish Government","No function","8050","7490","30550","30450"
"In post","2022","Scottish Government","Project Delivery","30","30","[c]","[c]"
"In post","2022","Scottish Government","Property","270","270","32520","30260"
"In post","2022","Scottish Government","Security","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Unknown","15340","14740","40160","36130"
"In post","2022","The National Archives","Commercial","40","40","[c]","[c]"
"In post","2022","The National Archives","Communications","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","Digital, Data & Technology","130","130","40430","40000"
"In post","2022","The National Archives","Finance","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","Legal","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","No function","340","320","33940","30300"
"In post","2022","The National Archives","Property","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","Analysis","30","30","[c]","[c]"
"In post","2022","UK Export Finance","Commercial","210","210","52350","47150"
"In post","2022","UK Export Finance","Communications","70","70","56560","52500"
"In post","2022","UK Export Finance","Debt","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2022","UK Export Finance","Finance","60","60","47310","39960"
"In post","2022","UK Export Finance","Human Resources","30","30","[c]","[c]"
"In post","2022","UK Export Finance","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","Legal","30","30","[c]","[c]"
"In post","2022","UK Export Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","Security","[c]","[c]","[c]","[c]"
"In post","2022","UK Statistics Authority","Analysis","1980","1900","38130","36840"
"In post","2022","UK Statistics Authority","Commercial","40","30","[c]","[c]"
"In post","2022","UK Statistics Authority","Communications","60","60","39150","36840"
"In post","2022","UK Statistics Authority","Digital, Data & Technology","660","650","41900","37570"
"In post","2022","UK Statistics Authority","Finance","50","50","36440","30210"
"In post","2022","UK Statistics Authority","Human Resources","150","130","38660","33520"
"In post","2022","UK Statistics Authority","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","UK Statistics Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2022","UK Statistics Authority","No function","2610","2130","27030","23430"
"In post","2022","UK Statistics Authority","Project Delivery","250","240","41100","36840"
"In post","2022","UK Statistics Authority","Property","[c]","[c]","[c]","[c]"
"In post","2022","UK Statistics Authority","Security","60","60","37580","32030"
"In post","2022","UK Supreme Court","Communications","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","Finance","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","Legal","30","30","[c]","[c]"
"In post","2022","UK Supreme Court","Property","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Analysis","40","40","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","No function","100","100","54190","51630"
"In post","2022","Water Services Regulation Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Property","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Security","[c]","[c]","[c]","[c]"
"In post","2022","Welsh Government","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Welsh Government","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Welsh Government","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Welsh Government","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Welsh Government","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Welsh Government","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Welsh Government","No function","30","30","[c]","[c]"
"In post","2022","Welsh Government","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Welsh Government","Unknown","5890","5570","41930","38160"
"Leaver CS","2021","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Departments","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Departments","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Departments","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Departments","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Departments","Legal","360","320","47860","52560"
"Leaver CS","2021","Attorney General's Departments","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office","Commercial","70","60","78260","68000"
"Leaver CS","2021","Cabinet Office","Communications","40","40","[c]","[c]"
"Leaver CS","2021","Cabinet Office","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office","Digital, Data & Technology","50","50","45650","48190"
"Leaver CS","2021","Cabinet Office","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office","Human Resources","30","30","[c]","[c]"
"Leaver CS","2021","Cabinet Office","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office","No function","120","120","41840","32000"
"Leaver CS","2021","Cabinet Office","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office","Security","50","40","[c]","[c]"
"Leaver CS","2021","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","No function","300","280","40490","32920"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Unknown","100","90","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","No function","60","60","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education","Unknown","350","340","43310","38900"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Analysis","30","30","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Grants Management","90","80","24950","21050"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","No function","300","290","33530","26520"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for International Trade","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for International Trade","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for International Trade","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for International Trade","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for International Trade","No function","90","80","37970","31260"
"Leaver CS","2021","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for International Trade","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Digital, Data & Technology","50","40","[c]","[c]"
"Leaver CS","2021","Department for Transport","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","No function","540","440","26650","21590"
"Leaver CS","2021","Department for Transport","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Unknown","100","100","42980","35060"
"Leaver CS","2021","Department for Work and Pensions","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","No function","110","100","44600","44740"
"Leaver CS","2021","Department for Work and Pensions","Unknown","4390","3730","26450","26120"
"Leaver CS","2021","Department of Health and Social Care","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","No function","700","620","40420","33880"
"Leaver CS","2021","Department of Health and Social Care","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Unknown","270","90","47200","40450"
"Leaver CS","2021","ESTYN","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","ESTYN","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Project Delivery","60","60","49080","52970"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Unknown","120","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","No function","200","160","27570","27130"
"Leaver CS","2021","HM Land Registry","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Property","260","210","29550","25860"
"Leaver CS","2021","HM Revenue and Customs","Unknown","5430","4570","[c]","[c]"
"Leaver CS","2021","HM Treasury","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","No function","60","50","[c]","[c]"
"Leaver CS","2021","HM Treasury","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Unknown","1330","1160","30350","25990"
"Leaver CS","2021","Ministry of Defence","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence","Commercial","90","80","37310","34800"
"Leaver CS","2021","Ministry of Defence","Communications","60","50","31160","28380"
"Leaver CS","2021","Ministry of Defence","Digital, Data & Technology","60","50","33290","32430"
"Leaver CS","2021","Ministry of Defence","Finance","100","90","37160","33700"
"Leaver CS","2021","Ministry of Defence","Human Resources","100","90","35150","26670"
"Leaver CS","2021","Ministry of Defence","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence","No function","180","170","29310","26740"
"Leaver CS","2021","Ministry of Defence","Project Delivery","650","620","35620","33110"
"Leaver CS","2021","Ministry of Defence","Property","140","130","29730","29050"
"Leaver CS","2021","Ministry of Defence","Security","350","340","29460","26100"
"Leaver CS","2021","Ministry of Defence","Unknown","1490","1400","30930","28410"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government","No function","100","90","44550","42440"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice","Commercial","30","30","[c]","[c]"
"Leaver CS","2021","Ministry of Justice","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice","Digital, Data & Technology","40","40","[c]","[c]"
"Leaver CS","2021","Ministry of Justice","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice","Human Resources","40","30","[c]","[c]"
"Leaver CS","2021","Ministry of Justice","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice","Legal","120","100","38930","42000"
"Leaver CS","2021","Ministry of Justice","No function","5520","5000","22700","20100"
"Leaver CS","2021","Ministry of Justice","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","No function","150","150","43260","40170"
"Leaver CS","2021","National Crime Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education","No function","110","100","53400","51360"
"Leaver CS","2021","Office for Standards in Education","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","No function","60","60","42410","34850"
"Leaver CS","2021","Office of Gas and Electricity Markets","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Qualifications and Examinations Regulation","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Qualifications and Examinations Regulation","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Qualifications and Examinations Regulation","Human Resources","[c]","[c]","[c]","[c]"
