"Status","Year","Responsibility_level","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","SEO/HEO","Female","Internal Audit","250","240","40180","40120"
"In post","2022","SEO/HEO","Female","International Trade","340","330","35900","35370"
"In post","2022","SEO/HEO","Female","Knowledge and Information Management","550","520","36400","35480"
"In post","2022","SEO/HEO","Female","Legal","2190","2020","39850","38890"
"In post","2022","SEO/HEO","Female","Medicine","560","500","39880","39030"
"In post","2022","SEO/HEO","Female","Operational Delivery","20570","19360","36110","34500"
"In post","2022","SEO/HEO","Female","Operational Research","220","210","36890","37930"
"In post","2022","SEO/HEO","Female","Other","3410","3230","35980","35050"
"In post","2022","SEO/HEO","Female","Planning","50","50","38730","38160"
"In post","2022","SEO/HEO","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Female","Policy","8070","7780","37070","36650"
"In post","2022","SEO/HEO","Female","Project Delivery","4470","4230","36820","36840"
"In post","2022","SEO/HEO","Female","Property","1360","1290","36910","35310"
"In post","2022","SEO/HEO","Female","Psychology","810","780","37100","31600"
"In post","2022","SEO/HEO","Female","Science and Engineering","2290","2120","36340","37000"
"In post","2022","SEO/HEO","Female","Security","720","700","37740","36500"
"In post","2022","SEO/HEO","Female","Social Research","620","590","36560","37610"
"In post","2022","SEO/HEO","Female","Statistics","560","530","37200","37610"
"In post","2022","SEO/HEO","Female","Tax","3870","3640","36050","33370"
"In post","2022","SEO/HEO","Female","Unknown","6960","6720","36610","35540"
"In post","2022","SEO/HEO","Female","Veterinarian","160","140","39360","37480"
"In post","2022","SEO/HEO","Male","Commercial","1510","1490","37610","37400"
"In post","2022","SEO/HEO","Male","Communications","860","850","38180","38160"
"In post","2022","SEO/HEO","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Male","Counter Fraud","640","620","35950","34780"
"In post","2022","SEO/HEO","Male","Digital, Data and Technology","6450","6360","38240","37710"
"In post","2022","SEO/HEO","Male","Economics","570","570","35430","34320"
"In post","2022","SEO/HEO","Male","Finance","2630","2590","37930","37100"
"In post","2022","SEO/HEO","Male","Geography","170","160","35550","33290"
"In post","2022","SEO/HEO","Male","Human Resources","1300","1270","37110","36740"
"In post","2022","SEO/HEO","Male","Inspector of Education and Training","40","40","[c]","[c]"
"In post","2022","SEO/HEO","Male","Intelligence Analysis","770","760","37600","37000"
"In post","2022","SEO/HEO","Male","Internal Audit","210","200","40810","40580"
"In post","2022","SEO/HEO","Male","International Trade","400","400","36690","38160"
"In post","2022","SEO/HEO","Male","Knowledge and Information Management","500","500","36910","36610"
"In post","2022","SEO/HEO","Male","Legal","1700","1650","39010","37930"
"In post","2022","SEO/HEO","Male","Medicine","200","190","40550","39630"
"In post","2022","SEO/HEO","Male","Operational Delivery","17650","17090","37970","36500"
"In post","2022","SEO/HEO","Male","Operational Research","310","300","37250","38070"
"In post","2022","SEO/HEO","Male","Other","3290","3220","36440","35430"
"In post","2022","SEO/HEO","Male","Planning","60","60","38760","39100"
"In post","2022","SEO/HEO","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Male","Policy","6400","6330","37330","36740"
"In post","2022","SEO/HEO","Male","Project Delivery","3920","3840","37810","38600"
"In post","2022","SEO/HEO","Male","Property","2070","2010","38280","37100"
"In post","2022","SEO/HEO","Male","Psychology","90","80","36910","34340"
"In post","2022","SEO/HEO","Male","Science and Engineering","4540","4440","37580","38070"
"In post","2022","SEO/HEO","Male","Security","1190","1170","40380","38160"
"In post","2022","SEO/HEO","Male","Social Research","240","240","36200","37380"
"In post","2022","SEO/HEO","Male","Statistics","690","680","37520","37830"
"In post","2022","SEO/HEO","Male","Tax","4440","4310","36140","33370"
"In post","2022","SEO/HEO","Male","Unknown","5680","5620","37290","36130"
"In post","2022","SEO/HEO","Male","Veterinarian","100","100","40470","37910"
"In post","2022","SEO/HEO","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Commercial","100","90","37610","37400"
"In post","2022","Unknown","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Finance","30","30","[c]","[c]"
"In post","2022","Unknown","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Operational Delivery","14630","13460","29740","28200"
"In post","2022","Unknown","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Other","260","260","32570","30780"
"In post","2022","Unknown","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Project Delivery","180","170","41250","39860"
"In post","2022","Unknown","Female","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Science and Engineering","90","90","39650","33870"
"In post","2022","Unknown","Female","Security","50","40","[c]","[c]"
"In post","2022","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Commercial","100","100","42150","39860"
"In post","2022","Unknown","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Finance","50","40","[c]","[c]"
"In post","2022","Unknown","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Operational Delivery","4840","4570","31200","28200"
"In post","2022","Unknown","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Other","1700","1700","38030","34460"
"In post","2022","Unknown","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Project Delivery","320","320","47090","44430"
"In post","2022","Unknown","Male","Property","40","40","[c]","[c]"
"In post","2022","Unknown","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Science and Engineering","720","710","41020","39860"
"In post","2022","Unknown","Male","Security","140","140","31800","28280"
"In post","2022","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Female","Human Resources","40","40","[c]","[c]"
"Leaver CS","2021","AA/AO","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Female","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Female","Medicine","40","40","[c]","[c]"
"Leaver CS","2021","AA/AO","Female","Operational Delivery","2580","2240","20520","20470"
"Leaver CS","2021","AA/AO","Female","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Female","Other","280","250","20900","20920"
"Leaver CS","2021","AA/AO","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Female","Policy","50","40","[c]","[c]"
"Leaver CS","2021","AA/AO","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Female","Property","40","40","[c]","[c]"
"Leaver CS","2021","AA/AO","Female","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Female","Science and Engineering","110","100","20830","20230"
"Leaver CS","2021","AA/AO","Female","Security","40","40","[c]","[c]"
"Leaver CS","2021","AA/AO","Female","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Female","Unknown","3280","2530","21220","21010"
"Leaver CS","2021","AA/AO","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Digital, Data and Technology","30","30","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Economics","40","40","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Operational Delivery","2620","2400","20870","20690"
"Leaver CS","2021","AA/AO","Male","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Other","210","200","20560","20180"
"Leaver CS","2021","AA/AO","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Property","50","40","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Science and Engineering","120","120","19850","20150"
"Leaver CS","2021","AA/AO","Male","Security","270","260","27960","24610"
"Leaver CS","2021","AA/AO","Male","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Male","Unknown","1820","1660","21430","21010"
"Leaver CS","2021","AA/AO","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Human Resources","40","30","[c]","[c]"
"Leaver CS","2021","EO","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Medicine","40","30","[c]","[c]"
"Leaver CS","2021","EO","Female","Operational Delivery","590","520","26460","26410"
"Leaver CS","2021","EO","Female","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Other","120","110","25680","26670"
"Leaver CS","2021","EO","Female","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Policy","80","70","24650","26550"
"Leaver CS","2021","EO","Female","Project Delivery","50","40","[c]","[c]"
"Leaver CS","2021","EO","Female","Property","50","40","25830","26000"
"Leaver CS","2021","EO","Female","Psychology","40","40","[c]","[c]"
"Leaver CS","2021","EO","Female","Science and Engineering","40","40","[c]","[c]"
"Leaver CS","2021","EO","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Unknown","2140","1700","27890","27570"
"Leaver CS","2021","EO","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Digital, Data and Technology","60","50","27590","26710"
"Leaver CS","2021","EO","Male","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Operational Delivery","690","610","28220","27000"
"Leaver CS","2021","EO","Male","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Other","310","300","27750","29100"
"Leaver CS","2021","EO","Male","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Policy","50","50","[c]","[c]"
"Leaver CS","2021","EO","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Property","90","80","26060","25500"
"Leaver CS","2021","EO","Male","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Science and Engineering","70","70","24470","25190"
"Leaver CS","2021","EO","Male","Security","40","40","[c]","[c]"
"Leaver CS","2021","EO","Male","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Male","Unknown","1360","1190","27980","27570"
"Leaver CS","2021","EO","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","Digital, Data and Technology","30","30","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","Human Resources","40","40","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","Legal","130","110","58930","55610"
"Leaver CS","2021","G6/G7","Female","Medicine","30","20","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","Operational Delivery","120","120","58120","56290"
"Leaver CS","2021","G6/G7","Female","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","Policy","120","110","58350","55660"
"Leaver CS","2021","G6/G7","Female","Project Delivery","40","30","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","Science and Engineering","40","30","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","Unknown","390","320","60890","59650"
"Leaver CS","2021","G6/G7","Female","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Male","Digital, Data and Technology","90","80","59490","57680"
"Leaver CS","2021","G6/G7","Male","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Male","Finance","40","40","[c]","[c]"
"Leaver CS","2021","G6/G7","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Male","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Male","Legal","110","100","58300","55610"
"Leaver CS","2021","G6/G7","Male","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Male","Operational Delivery","150","140","61030","58230"
"Leaver CS","2021","G6/G7","Male","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Male","Other","40","40","[c]","[c]"
"Leaver CS","2021","G6/G7","Male","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Male","Policy","150","140","59660","57600"
"Leaver CS","2021","G6/G7","Male","Project Delivery","60","50","57190","54990"
"Leaver CS","2021","G6/G7","Male","Property","40","30","[c]","[c]"
"Leaver CS","2021","G6/G7","Male","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Male","Science and Engineering","50","40","[c]","[c]"
"Leaver CS","2021","G6/G7","Male","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Male","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Male","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Male","Unknown","480","410","61970","59700"
"Leaver CS","2021","G6/G7","Male","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Female","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Female","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Female","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Female","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Female","Policy","40","30","[c]","[c]"
"Leaver CS","2021","SCS","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Female","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Female","Unknown","60","50","[c]","[c]"
"Leaver CS","2021","SCS","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Male","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Male","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Male","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Male","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Male","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Male","Policy","40","30","[c]","[c]"
"Leaver CS","2021","SCS","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Male","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Male","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Male","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Male","Unknown","100","80","104330","92000"
"Leaver CS","2021","SCS","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Female","Commercial","40","40","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Female","Communications","70","70","36210","35500"
"Leaver CS","2021","SEO/HEO","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Female","Digital, Data and Technology","60","60","37990","38280"
"Leaver CS","2021","SEO/HEO","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Female","Finance","50","50","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Female","Human Resources","70","70","38780","38770"
"Leaver CS","2021","SEO/HEO","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Female","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Female","Legal","90","70","41040","42460"
"Leaver CS","2021","SEO/HEO","Female","Medicine","50","40","38210","37890"
"Leaver CS","2021","SEO/HEO","Female","Operational Delivery","390","350","35490","33840"
"Leaver CS","2021","SEO/HEO","Female","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Female","Other","140","130","35870","36960"
"Leaver CS","2021","SEO/HEO","Female","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Female","Policy","140","130","36650","36720"
