"Status","Year","Region_ITL1","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Northern Ireland","Counter Fraud","Legal","160","150","28890","25910"
"In post","2021","Northern Ireland","Counter Fraud","Operational Delivery","160","150","29800","28130"
"In post","2021","Northern Ireland","Counter Fraud","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Counter Fraud","Other","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Counter Fraud","Tax","60","60","38570","38630"
"In post","2021","Northern Ireland","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Debt","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Digital, Data & Technology","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Digital, Data & Technology","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Human Resources","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Human Resources","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Legal","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Legal","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","No function","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","No function","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","No function","Operational Delivery","1000","910","26170","21440"
"In post","2021","Northern Ireland","No function","Other","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","No function","Policy","70","70","41360","37910"
"In post","2021","Northern Ireland","No function","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","No function","Tax","550","520","32000","31810"
"In post","2021","Northern Ireland","No function","Unknown","110","110","26170","25560"
"In post","2021","Northern Ireland","No function","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Project Delivery","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Project Delivery","Other","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Project Delivery","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Project Delivery","Project Delivery","60","60","39600","34210"
"In post","2021","Northern Ireland","Project Delivery","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Project Delivery","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Property","Property","100","100","28950","27680"
"In post","2021","Northern Ireland","Security","Security","390","390","21450","20310"
"In post","2021","Northern Ireland","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","Medicine","40","30","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","Operational Delivery","490","450","25310","24880"
"In post","2021","Northern Ireland","Unknown","Other","300","290","22230","21830"
"In post","2021","Northern Ireland","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","Science and Engineering","30","30","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Commercial","Commercial","40","30","[c]","[c]"
"In post","2021","Overseas","Commercial","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Commercial","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Finance","Finance","30","30","[c]","[c]"
"In post","2021","Overseas","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Human Resources","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","No function","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","No function","International Trade","160","160","56610","54470"
"In post","2021","Overseas","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","No function","Operational Delivery","140","140","64680","63190"
"In post","2021","Overseas","No function","Policy","1470","1460","51800","53220"
"In post","2021","Overseas","No function","Science and Engineering","40","30","[c]","[c]"
"In post","2021","Overseas","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Project Delivery","Economics","40","40","[c]","[c]"
"In post","2021","Overseas","Project Delivery","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Project Delivery","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Project Delivery","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Project Delivery","Other","110","110","66820","67370"
"In post","2021","Overseas","Project Delivery","Policy","240","240","57900","56110"
"In post","2021","Overseas","Project Delivery","Project Delivery","160","160","46560","45490"
"In post","2021","Overseas","Project Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Project Delivery","Science and Engineering","40","40","[c]","[c]"
"In post","2021","Overseas","Project Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Project Delivery","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Project Delivery","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Property","Property","190","190","38980","36460"
"In post","2021","Overseas","Security","Intelligence Analysis","50","50","44590","36450"
"In post","2021","Overseas","Security","Security","70","70","36690","34310"
"In post","2021","Overseas","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Unknown","Medicine","40","40","[c]","[c]"
"In post","2021","Overseas","Unknown","Operational Delivery","130","130","30450","27370"
"In post","2021","Overseas","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Unknown","Other","270","260","43740","41600"
"In post","2021","Overseas","Unknown","Policy","50","50","[c]","[c]"
"In post","2021","Overseas","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Unknown","Science and Engineering","50","50","42740","41190"
"In post","2021","Overseas","Unknown","Unknown","300","300","47010","35750"
"In post","2021","Scotland","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Analysis","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Analysis","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Analysis","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Analysis","Other","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Analysis","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Analysis","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Analysis","Statistics","30","30","[c]","[c]"
"In post","2021","Scotland","Analysis","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Commercial","Commercial","280","270","35600","33930"
"In post","2021","Scotland","Commercial","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Commercial","Other","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Commercial","Science and Engineering","40","40","[c]","[c]"
"In post","2021","Scotland","Commercial","Unknown","40","40","[c]","[c]"
"In post","2021","Scotland","Communications","Communications","70","60","38380","36720"
"In post","2021","Scotland","Communications","Operational Delivery","70","70","31330","31810"
"In post","2021","Scotland","Communications","Other","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Communications","Tax","60","50","28350","28130"
"In post","2021","Scotland","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Counter Fraud","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Counter Fraud","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Counter Fraud","Legal","200","190","29450","28130"
"In post","2021","Scotland","Counter Fraud","Operational Delivery","330","300","28220","25560"
"In post","2021","Scotland","Counter Fraud","Other","50","50","35090","31810"
"In post","2021","Scotland","Counter Fraud","Tax","210","200","33990","31810"
"In post","2021","Scotland","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Debt","Operational Delivery","1090","960","22270","20140"
"In post","2021","Scotland","Debt","Tax","340","330","20440","20140"
"In post","2021","Scotland","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Digital, Data & Technology","Digital, Data and Technology","570","560","38820","35720"
"In post","2021","Scotland","Digital, Data & Technology","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Digital, Data & Technology","Operational Delivery","60","60","32260","31810"
"In post","2021","Scotland","Digital, Data & Technology","Other","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Digital, Data & Technology","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Digital, Data & Technology","Security","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Digital, Data & Technology","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Digital, Data & Technology","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Digital, Data & Technology","Unknown","30","30","[c]","[c]"
"In post","2021","Scotland","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Finance","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Finance","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Finance","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Finance","Finance","660","550","27350","21440"
"In post","2021","Scotland","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Finance","Operational Delivery","160","150","28280","25560"
"In post","2021","Scotland","Finance","Other","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Finance","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Finance","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Finance","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Finance","Unknown","70","70","33600","35680"
"In post","2021","Scotland","Human Resources","Human Resources","750","710","29170","25870"
"In post","2021","Scotland","Human Resources","Operational Delivery","170","160","26570","21490"
"In post","2021","Scotland","Human Resources","Other","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Human Resources","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Human Resources","Security","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Human Resources","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Human Resources","Unknown","80","80","32680","30160"
"In post","2021","Scotland","Internal Audit","Internal Audit","70","70","39980","36460"
"In post","2021","Scotland","Internal Audit","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Legal","Legal","690","650","53980","52490"
"In post","2021","Scotland","Legal","Operational Delivery","1620","1460","26700","22820"
"In post","2021","Scotland","Legal","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Legal","Tax","30","30","[c]","[c]"
"In post","2021","Scotland","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","No function","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","No function","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","No function","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","No function","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","No function","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","No function","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","No function","Operational Delivery","9690","8950","28970","26120"
"In post","2021","Scotland","No function","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","No function","Other","620","570","33180","30950"
"In post","2021","Scotland","No function","Policy","160","160","48210","42230"
"In post","2021","Scotland","No function","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","No function","Psychology","70","70","38790","33650"
"In post","2021","Scotland","No function","Science and Engineering","80","80","37310","36730"
"In post","2021","Scotland","No function","Tax","1400","1300","33210","31810"
"In post","2021","Scotland","No function","Unknown","280","270","25150","20140"
"In post","2021","Scotland","No function","Veterinarian","40","40","[c]","[c]"
"In post","2021","Scotland","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Project Delivery","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Project Delivery","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Project Delivery","Finance","40","40","[c]","[c]"
"In post","2021","Scotland","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Project Delivery","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Project Delivery","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Project Delivery","Operational Delivery","180","170","30640","26120"
"In post","2021","Scotland","Project Delivery","Other","320","300","29070","25420"
"In post","2021","Scotland","Project Delivery","Policy","140","140","49120","49920"
"In post","2021","Scotland","Project Delivery","Project Delivery","610","590","39760","37870"
"In post","2021","Scotland","Project Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Project Delivery","Science and Engineering","150","150","33490","30400"
"In post","2021","Scotland","Project Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Project Delivery","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Project Delivery","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Project Delivery","Unknown","270","250","35390","35330"
"In post","2021","Scotland","Property","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Property","Other","250","240","30070","28870"
"In post","2021","Scotland","Property","Property","330","330","32420","33300"
"In post","2021","Scotland","Property","Unknown","740","720","30480","28120"
"In post","2021","Scotland","Security","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Security","Security","1350","1310","30600","28210"
"In post","2021","Scotland","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Unknown","Counter Fraud","60","60","25480","25040"
"In post","2021","Scotland","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Unknown","Intelligence Analysis","40","40","[c]","[c]"
"In post","2021","Scotland","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Unknown","Medicine","90","80","45570","37890"
"In post","2021","Scotland","Unknown","Operational Delivery","910","830","26630","24890"
"In post","2021","Scotland","Unknown","Other","730","700","24570","21030"
"In post","2021","Scotland","Unknown","Policy","80","80","23940","20920"
"In post","2021","Scotland","Unknown","Project Delivery","30","30","[c]","[c]"
"In post","2021","Scotland","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Unknown","Science and Engineering","180","170","35540","29930"
"In post","2021","Scotland","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Unknown","Unknown","20470","18940","34050","27570"
"In post","2021","South East (England)","Analysis","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Analysis","Communications","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Analysis","Economics","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Analysis","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Analysis","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Analysis","Operational Delivery","100","90","30920","29540"
"In post","2021","South East (England)","Analysis","Operational Research","250","240","41710","46080"
"In post","2021","South East (England)","Analysis","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Analysis","Science and Engineering","80","80","38500","37320"
"In post","2021","South East (England)","Analysis","Social Research","220","200","37540","37020"
"In post","2021","South East (England)","Analysis","Statistics","180","180","40260","37020"
"In post","2021","South East (England)","Commercial","Commercial","430","410","38370","36390"
"In post","2021","South East (England)","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Commercial","Knowledge and Information Management","140","140","30050","28670"
"In post","2021","South East (England)","Commercial","Operational Delivery","30","30","[c]","[c]"
"In post","2021","South East (England)","Commercial","Other","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Commercial","Policy","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Commercial","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Commercial","Unknown","70","60","67440","65640"
"In post","2021","South East (England)","Communications","Communications","290","280","33380","31810"
"In post","2021","South East (England)","Communications","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Communications","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Communications","Other","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Communications","Policy","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Counter Fraud","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Counter Fraud","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Counter Fraud","Legal","240","230","30640","28130"
"In post","2021","South East (England)","Counter Fraud","Operational Delivery","80","70","28860","28130"
"In post","2021","South East (England)","Counter Fraud","Other","30","30","[c]","[c]"
"In post","2021","South East (England)","Counter Fraud","Tax","70","60","36340","32310"
"In post","2021","South East (England)","Debt","Operational Delivery","110","90","27770","28130"
"In post","2021","South East (England)","Digital, Data & Technology","Digital, Data and Technology","790","770","38260","34950"
"In post","2021","South East (England)","Digital, Data & Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Digital, Data & Technology","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Digital, Data & Technology","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Digital, Data & Technology","Other","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Digital, Data & Technology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Digital, Data & Technology","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Digital, Data & Technology","Security","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Digital, Data & Technology","Tax","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Digital, Data & Technology","Unknown","50","50","38320","39040"
"In post","2021","South East (England)","Finance","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Finance","Economics","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Finance","Finance","890","850","37010","33300"
"In post","2021","South East (England)","Finance","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Finance","Operational Delivery","70","60","25120","21440"
"In post","2021","South East (England)","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Finance","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Finance","Tax","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Grants Management","Operational Delivery","170","160","28370","25260"
"In post","2021","South East (England)","Grants Management","Policy","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Human Resources","Human Resources","470","440","36810","33280"
"In post","2021","South East (England)","Human Resources","Operational Delivery","80","70","25780","25560"
"In post","2021","South East (England)","Human Resources","Other","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Human Resources","Policy","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Human Resources","Tax","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Internal Audit","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Internal Audit","Internal Audit","70","70","37520","34980"
"In post","2021","South East (England)","Legal","Legal","550","490","52250","51730"
"In post","2021","South East (England)","Legal","Operational Delivery","330","310","27550","26970"
"In post","2021","South East (England)","Legal","Tax","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","No function","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","No function","Finance","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","No function","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","No function","Intelligence Analysis","70","70","29210","27380"
"In post","2021","South East (England)","No function","International Trade","70","70","42970","38540"
"In post","2021","South East (England)","No function","Knowledge and Information Management","70","60","38490","36520"
"In post","2021","South East (England)","No function","Medicine","40","30","[c]","[c]"
"In post","2021","South East (England)","No function","Operational Delivery","13170","12030","28850","27680"
"In post","2021","South East (England)","No function","Operational Research","180","170","42510","46080"
"In post","2021","South East (England)","No function","Other","130","120","57260","74490"
"In post","2021","South East (England)","No function","Planning","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","No function","Policy","250","240","39440","38650"
"In post","2021","South East (England)","No function","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","No function","Property","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","No function","Psychology","220","210","35580","30450"
"In post","2021","South East (England)","No function","Science and Engineering","1460","1400","39720","37360"
"In post","2021","South East (England)","No function","Tax","480","430","32600","31810"
"In post","2021","South East (England)","No function","Unknown","80","80","28380","25770"
"In post","2021","South East (England)","No function","Veterinarian","30","30","[c]","[c]"
"In post","2021","South East (England)","Project Delivery","Commercial","30","30","[c]","[c]"
"In post","2021","South East (England)","Project Delivery","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Project Delivery","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Project Delivery","Finance","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Project Delivery","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Project Delivery","Operational Delivery","130","130","39300","36190"
"In post","2021","South East (England)","Project Delivery","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Project Delivery","Other","250","250","27170","23750"
"In post","2021","South East (England)","Project Delivery","Planning","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Project Delivery","Policy","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Project Delivery","Project Delivery","1670","1620","39440","37320"
"In post","2021","South East (England)","Project Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Project Delivery","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Project Delivery","Science and Engineering","100","100","32580","29620"
"In post","2021","South East (England)","Project Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Project Delivery","Tax","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Property","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Property","Operational Delivery","60","50","30400","25500"
"In post","2021","South East (England)","Property","Planning","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Property","Property","960","930","34920","33300"
"In post","2021","South East (England)","Security","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Security","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Security","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Security","Security","1780","1750","31850","28750"
"In post","2021","South East (England)","Security","Unknown","110","100","30960","33300"
"In post","2021","South East (England)","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Unknown","Human Resources","30","30","[c]","[c]"
"In post","2021","South East (England)","Unknown","Intelligence Analysis","310","290","28610","27370"
"In post","2021","South East (England)","Unknown","Medicine","370","330","45980","38490"
"In post","2021","South East (England)","Unknown","Operational Delivery","3590","3260","27910","26200"
"In post","2021","South East (England)","Unknown","Operational Research","30","30","[c]","[c]"
"In post","2021","South East (England)","Unknown","Other","2430","2340","26550","21870"
"In post","2021","South East (England)","Unknown","Policy","150","150","38230","33300"
"In post","2021","South East (England)","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Unknown","Science and Engineering","360","350","33880","33300"
"In post","2021","South East (England)","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Unknown","Unknown","6880","6230","27660","27570"
"In post","2021","South East (England)","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","South West (England)","Analysis","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","South West (England)","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","South West (England)","Analysis","Economics","[c]","[c]","[c]","[c]"
"In post","2021","South West (England)","Analysis","Finance","[c]","[c]","[c]","[c]"
