"Status","Year","Region_ITL1","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","East Midlands (England)","Unknown","760","670","27120","26970"
"Leaver CS","2021","East of England","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","No function","770","700","32090","25080"
"Leaver CS","2021","East of England","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Property","30","30","[c]","[c]"
"Leaver CS","2021","East of England","Security","30","30","[c]","[c]"
"Leaver CS","2021","East of England","Unknown","830","720","27260","26670"
"Leaver CS","2021","London","Analysis","150","140","37750","28490"
"Leaver CS","2021","London","Commercial","60","60","52030","47580"
"Leaver CS","2021","London","Communications","140","140","39720","36990"
"Leaver CS","2021","London","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Digital, Data & Technology","160","160","47320","46250"
"Leaver CS","2021","London","Finance","60","60","53400","52280"
"Leaver CS","2021","London","Human Resources","110","100","49420","44090"
"Leaver CS","2021","London","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Legal","250","220","50430","50720"
"Leaver CS","2021","London","No function","1850","1750","40320","32650"
"Leaver CS","2021","London","Project Delivery","110","100","50680","49200"
"Leaver CS","2021","London","Property","80","70","40260","34210"
"Leaver CS","2021","London","Security","40","30","[c]","[c]"
"Leaver CS","2021","London","Unknown","2290","1910","37900","31060"
"Leaver CS","2021","North East (England)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","No function","360","310","26720","22100"
"Leaver CS","2021","North East (England)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Unknown","1230","990","25840","21010"
"Leaver CS","2021","North West (England)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Human Resources","30","30","[c]","[c]"
"Leaver CS","2021","North West (England)","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Legal","40","30","[c]","[c]"
"Leaver CS","2021","North West (England)","No function","890","780","30270","22720"
"Leaver CS","2021","North West (England)","Project Delivery","50","40","[c]","[c]"
"Leaver CS","2021","North West (England)","Property","30","30","[c]","[c]"
"Leaver CS","2021","North West (England)","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Unknown","1630","1370","26230","24110"
"Leaver CS","2021","Northern Ireland","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Unknown","170","140","[c]","[c]"
"Leaver CS","2021","Overseas","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Unknown","100","80","37770","36960"
"Leaver CS","2021","Scotland","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Human Resources","40","30","[c]","[c]"
"Leaver CS","2021","Scotland","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Legal","120","110","31810","22820"
"Leaver CS","2021","Scotland","No function","390","350","30910","26740"
"Leaver CS","2021","Scotland","Project Delivery","70","70","34380","32730"
"Leaver CS","2021","Scotland","Property","80","70","28770","27450"
"Leaver CS","2021","Scotland","Security","70","70","32480","38120"
"Leaver CS","2021","Scotland","Unknown","1510","1280","32680","27570"
"Leaver CS","2021","South East (England)","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South East (England)","Commercial","40","30","[c]","[c]"
"Leaver CS","2021","South East (England)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South East (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South East (England)","Digital, Data & Technology","30","30","[c]","[c]"
"Leaver CS","2021","South East (England)","Finance","40","30","[c]","[c]"
"Leaver CS","2021","South East (England)","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South East (England)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South East (England)","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South East (England)","Legal","50","40","41550","42530"
"Leaver CS","2021","South East (England)","No function","1160","1040","27420","23050"
"Leaver CS","2021","South East (England)","Project Delivery","110","100","33470","30680"
"Leaver CS","2021","South East (England)","Property","50","50","35080","34680"
"Leaver CS","2021","South East (England)","Security","120","110","30310","27050"
"Leaver CS","2021","South East (England)","Unknown","1000","870","28120","26890"
"Leaver CS","2021","South West (England)","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Commercial","40","40","[c]","[c]"
"Leaver CS","2021","South West (England)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Digital, Data & Technology","70","60","36040","33300"
"Leaver CS","2021","South West (England)","Finance","60","50","39110","34200"
"Leaver CS","2021","South West (England)","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Human Resources","30","30","[c]","[c]"
"Leaver CS","2021","South West (England)","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","No function","810","740","31630","26740"
"Leaver CS","2021","South West (England)","Project Delivery","400","380","37040","34050"
"Leaver CS","2021","South West (England)","Property","90","80","30860","27290"
"Leaver CS","2021","South West (England)","Security","60","60","27090","20920"
"Leaver CS","2021","South West (England)","Unknown","820","720","27760","25940"
"Leaver CS","2021","Unknown","Commercial","50","50","[c]","[c]"
"Leaver CS","2021","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","No function","60","60","31880","28000"
"Leaver CS","2021","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","560","550","33550","30780"
"Leaver CS","2021","Wales","Analysis","50","50","[c]","[c]"
"Leaver CS","2021","Wales","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Digital, Data & Technology","80","80","39140","36290"
"Leaver CS","2021","Wales","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","No function","710","600","24700","21590"
"Leaver CS","2021","Wales","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Unknown","1010","850","30860","27570"
"Leaver CS","2021","West Midlands (England)","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Legal","40","30","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","No function","750","670","29130","21180"
"Leaver CS","2021","West Midlands (England)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Property","40","30","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Unknown","910","760","27840","26120"
"Leaver CS","2021","Yorkshire and The Humber","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Yorkshire and The Humber","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Yorkshire and The Humber","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Yorkshire and The Humber","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Yorkshire and The Humber","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Yorkshire and The Humber","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Yorkshire and The Humber","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Yorkshire and The Humber","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Yorkshire and The Humber","Legal","40","40","[c]","[c]"
"Leaver CS","2021","Yorkshire and The Humber","No function","730","650","29970","22350"
"Leaver CS","2021","Yorkshire and The Humber","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Yorkshire and The Humber","Property","50","40","[c]","[c]"
"Leaver CS","2021","Yorkshire and The Humber","Security","40","40","[c]","[c]"
"Leaver CS","2021","Yorkshire and The Humber","Unknown","1410","1140","29020","26890"
"Leaver CS","2022","East Midlands (England)","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","East Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","East Midlands (England)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","East Midlands (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","East Midlands (England)","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","East Midlands (England)","Digital, Data & Technology","30","30","[c]","[c]"
"Leaver CS","2022","East Midlands (England)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","East Midlands (England)","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","East Midlands (England)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","East Midlands (England)","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","East Midlands (England)","Legal","50","40","[c]","[c]"
"Leaver CS","2022","East Midlands (England)","No function","1460","1320","28180","26700"
"Leaver CS","2022","East Midlands (England)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","East Midlands (England)","Property","40","40","[c]","[c]"
"Leaver CS","2022","East Midlands (England)","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","East Midlands (England)","Unknown","550","480","26080","21780"
"Leaver CS","2022","East of England","Analysis","30","30","[c]","[c]"
"Leaver CS","2022","East of England","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","East of England","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","East of England","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","East of England","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","East of England","Digital, Data & Technology","30","30","[c]","[c]"
"Leaver CS","2022","East of England","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","East of England","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","East of England","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","East of England","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","East of England","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","East of England","No function","1850","1690","31250","27570"
"Leaver CS","2022","East of England","Project Delivery","30","30","[c]","[c]"
"Leaver CS","2022","East of England","Property","50","40","[c]","[c]"
"Leaver CS","2022","East of England","Security","80","80","37220","33500"
"Leaver CS","2022","East of England","Unknown","480","420","27640","25290"
"Leaver CS","2022","London","Analysis","280","230","40730","36250"
"Leaver CS","2022","London","Commercial","160","130","65870","61710"
"Leaver CS","2022","London","Communications","270","240","43980","40470"
"Leaver CS","2022","London","Counter Fraud","60","60","35900","33100"
"Leaver CS","2022","London","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","London","Digital, Data & Technology","390","350","48820","46530"
"Leaver CS","2022","London","Finance","160","130","46100","39990"
"Leaver CS","2022","London","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","London","Human Resources","240","220","42690","37150"
"Leaver CS","2022","London","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","London","Legal","350","330","50840","51830"
"Leaver CS","2022","London","No function","5530","5090","39560","32310"
"Leaver CS","2022","London","Project Delivery","200","190","54190","51730"
"Leaver CS","2022","London","Property","70","60","46490","44880"
"Leaver CS","2022","London","Security","100","90","34220","32260"
"Leaver CS","2022","London","Unknown","1820","1430","38450","31550"
"Leaver CS","2022","North East (England)","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North East (England)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North East (England)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North East (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North East (England)","Debt","30","30","[c]","[c]"
"Leaver CS","2022","North East (England)","Digital, Data & Technology","80","70","43200","40670"
"Leaver CS","2022","North East (England)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North East (England)","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North East (England)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North East (England)","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North East (England)","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North East (England)","No function","1230","1060","26950","21260"
"Leaver CS","2022","North East (England)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North East (England)","Property","60","50","23770","22010"
"Leaver CS","2022","North East (England)","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North East (England)","Unknown","1010","820","25610","21680"
"Leaver CS","2022","North West (England)","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","Commercial","40","40","[c]","[c]"
"Leaver CS","2022","North West (England)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","Counter Fraud","40","30","[c]","[c]"
"Leaver CS","2022","North West (England)","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","Digital, Data & Technology","140","130","43300","39210"
"Leaver CS","2022","North West (England)","Finance","50","50","36470","34060"
"Leaver CS","2022","North West (England)","Grants Management","40","40","[c]","[c]"
"Leaver CS","2022","North West (England)","Human Resources","70","60","30030","27570"
"Leaver CS","2022","North West (England)","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","Legal","50","50","44890","48080"
"Leaver CS","2022","North West (England)","No function","2560","2250","27550","24550"
"Leaver CS","2022","North West (England)","Project Delivery","60","60","36700","35240"
"Leaver CS","2022","North West (England)","Property","30","30","[c]","[c]"
"Leaver CS","2022","North West (England)","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","Unknown","1470","1270","26820","24890"
"Leaver CS","2022","Northern Ireland","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Unknown","200","170","24990","22460"
"Leaver CS","2022","Overseas","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Unknown","80","70","42640","40120"
"Leaver CS","2022","Scotland","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Commercial","30","30","[c]","[c]"
"Leaver CS","2022","Scotland","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Counter Fraud","40","30","[c]","[c]"
"Leaver CS","2022","Scotland","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Digital, Data & Technology","50","50","[c]","[c]"
"Leaver CS","2022","Scotland","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Human Resources","70","60","30190","26900"
"Leaver CS","2022","Scotland","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Legal","30","30","[c]","[c]"
"Leaver CS","2022","Scotland","No function","1350","1180","27910","26900"
"Leaver CS","2022","Scotland","Project Delivery","100","90","33100","26800"
"Leaver CS","2022","Scotland","Property","40","40","[c]","[c]"
"Leaver CS","2022","Scotland","Security","110","100","34850","39070"
"Leaver CS","2022","Scotland","Unknown","1840","1620","35540","30040"
"Leaver CS","2022","South East (England)","Analysis","40","40","[c]","[c]"
"Leaver CS","2022","South East (England)","Commercial","40","40","[c]","[c]"
"Leaver CS","2022","South East (England)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Digital, Data & Technology","90","80","36580","33000"
"Leaver CS","2022","South East (England)","Finance","60","50","36660","33000"
"Leaver CS","2022","South East (England)","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Human Resources","40","40","[c]","[c]"
"Leaver CS","2022","South East (England)","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Legal","50","50","39930","40000"
"Leaver CS","2022","South East (England)","No function","2850","2550","29480","27570"
"Leaver CS","2022","South East (England)","Project Delivery","130","120","34990","33150"
"Leaver CS","2022","South East (England)","Property","60","60","33900","33300"
"Leaver CS","2022","South East (England)","Security","190","180","31660","27920"
"Leaver CS","2022","South East (England)","Unknown","940","840","28290","25630"
"Leaver CS","2022","South West (England)","Analysis","30","30","[c]","[c]"
"Leaver CS","2022","South West (England)","Commercial","90","80","43690","38140"
"Leaver CS","2022","South West (England)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Digital, Data & Technology","250","230","36550","34840"
"Leaver CS","2022","South West (England)","Finance","60","60","39900","40290"
"Leaver CS","2022","South West (England)","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Human Resources","70","60","33370","30680"
"Leaver CS","2022","South West (England)","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Legal","30","30","[c]","[c]"
"Leaver CS","2022","South West (England)","No function","2120","1900","30180","27570"
"Leaver CS","2022","South West (England)","Project Delivery","610","580","36460","34040"
"Leaver CS","2022","South West (England)","Property","80","70","30680","26030"
"Leaver CS","2022","South West (England)","Security","130","120","28910","26350"
"Leaver CS","2022","South West (England)","Unknown","520","480","30000","26670"
"Leaver CS","2022","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Commercial","50","30","[c]","[c]"
"Leaver CS","2022","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Digital, Data & Technology","60","50","40350","37230"
"Leaver CS","2022","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","670","560","24290","21840"
"Leaver CS","2022","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","340","300","35250","32700"
"Leaver CS","2022","Wales","Analysis","80","80","28340","23880"
"Leaver CS","2022","Wales","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Counter Fraud","40","30","[c]","[c]"
"Leaver CS","2022","Wales","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Digital, Data & Technology","130","120","36600","33500"
"Leaver CS","2022","Wales","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","No function","1070","950","25860","22350"
"Leaver CS","2022","Wales","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Unknown","740","640","35400","27570"
"Leaver CS","2022","West Midlands (England)","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Debt","40","30","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Digital, Data & Technology","60","60","36220","33570"
"Leaver CS","2022","West Midlands (England)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Legal","40","40","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","No function","1760","1580","30190","27570"
"Leaver CS","2022","West Midlands (England)","Project Delivery","40","40","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Security","40","30","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Unknown","570","510","27440","26670"
"Leaver CS","2022","Yorkshire and The Humber","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Commercial","30","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Counter Fraud","30","20","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Debt","40","30","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Digital, Data & Technology","100","90","44310","40070"
"Leaver CS","2022","Yorkshire and The Humber","Finance","60","30","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Human Resources","40","30","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Legal","50","40","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","No function","1970","1730","29590","27570"
"Leaver CS","2022","Yorkshire and The Humber","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Property","110","100","27940","22040"
"Leaver CS","2022","Yorkshire and The Humber","Security","80","70","31740","32000"
"Leaver CS","2022","Yorkshire and The Humber","Unknown","910","790","27560","24890"
