"Status","Year","Disability","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","60-64","Unknown","130","120","39240","31020"
"In post","2022","Declared disabled","60-64","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","65+","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","65+","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","65+","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","65+","Counter Fraud","50","40","27770","27570"
"In post","2022","Declared disabled","65+","Digital, Data and Technology","40","30","[c]","[c]"
"In post","2022","Declared disabled","65+","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","65+","Finance","40","30","[c]","[c]"
"In post","2022","Declared disabled","65+","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","65+","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","65+","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","65+","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","65+","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","65+","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","65+","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","65+","Legal","30","20","[c]","[c]"
"In post","2022","Declared disabled","65+","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","65+","Operational Delivery","1250","920","26470","25210"
"In post","2022","Declared disabled","65+","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","65+","Other","140","110","26070","22330"
"In post","2022","Declared disabled","65+","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","65+","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","65+","Policy","50","40","[c]","[c]"
"In post","2022","Declared disabled","65+","Project Delivery","40","30","[c]","[c]"
"In post","2022","Declared disabled","65+","Property","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","65+","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","65+","Science and Engineering","50","40","[c]","[c]"
"In post","2022","Declared disabled","65+","Security","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","65+","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","65+","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","65+","Tax","50","30","[c]","[c]"
"In post","2022","Declared disabled","65+","Unknown","30","30","[c]","[c]"
"In post","2022","Declared disabled","65+","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","16-19","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","16-19","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","16-19","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","16-19","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","16-19","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","16-19","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","16-19","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","16-19","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","16-19","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","16-19","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","16-19","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","16-19","Operational Delivery","360","340","22150","21260"
"In post","2022","Declared non-disabled","16-19","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","16-19","Other","50","50","22130","21260"
"In post","2022","Declared non-disabled","16-19","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","16-19","Property","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","16-19","Science and Engineering","70","70","19090","18030"
"In post","2022","Declared non-disabled","16-19","Security","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","16-19","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","16-19","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","16-19","Unknown","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","16-19","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","20-29","Commercial","600","600","31280","30320"
"In post","2022","Declared non-disabled","20-29","Communications","440","440","35140","33210"
"In post","2022","Declared non-disabled","20-29","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","20-29","Counter Fraud","470","460","27150","27570"
"In post","2022","Declared non-disabled","20-29","Digital, Data and Technology","1600","1590","34020","33000"
"In post","2022","Declared non-disabled","20-29","Economics","740","740","39130","35000"
"In post","2022","Declared non-disabled","20-29","Finance","960","960","32910","30720"
"In post","2022","Declared non-disabled","20-29","Geography","60","60","26810","26740"
"In post","2022","Declared non-disabled","20-29","Human Resources","800","790","31960","30190"
"In post","2022","Declared non-disabled","20-29","Intelligence Analysis","330","330","31010","29250"
"In post","2022","Declared non-disabled","20-29","Internal Audit","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","20-29","International Trade","230","230","37740","34330"
"In post","2022","Declared non-disabled","20-29","Knowledge and Information Management","200","200","30520","28050"
"In post","2022","Declared non-disabled","20-29","Legal","840","830","35950","33080"
"In post","2022","Declared non-disabled","20-29","Medicine","80","70","32540","31530"
"In post","2022","Declared non-disabled","20-29","Operational Delivery","23460","22990","25910","25040"
"In post","2022","Declared non-disabled","20-29","Operational Research","240","230","35200","34260"
"In post","2022","Declared non-disabled","20-29","Other","2220","2180","26660","25750"
"In post","2022","Declared non-disabled","20-29","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","20-29","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","20-29","Policy","5240","5220","38970","35900"
"In post","2022","Declared non-disabled","20-29","Project Delivery","1390","1380","34000","33000"
"In post","2022","Declared non-disabled","20-29","Property","480","470","30180","29180"
"In post","2022","Declared non-disabled","20-29","Psychology","310","300","27900","27700"
"In post","2022","Declared non-disabled","20-29","Science and Engineering","2330","2320","29390","29230"
"In post","2022","Declared non-disabled","20-29","Security","630","630","27760","26610"
"In post","2022","Declared non-disabled","20-29","Social Research","320","310","36380","34650"
"In post","2022","Declared non-disabled","20-29","Statistics","490","480","36540","34650"
"In post","2022","Declared non-disabled","20-29","Tax","2270","2230","30240","26820"
"In post","2022","Declared non-disabled","20-29","Unknown","3600","3570","32700","30750"
"In post","2022","Declared non-disabled","20-29","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","30-39","Commercial","1000","960","38910","37400"
"In post","2022","Declared non-disabled","30-39","Communications","790","760","43450","40580"
"In post","2022","Declared non-disabled","30-39","Corporate Finance","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","30-39","Counter Fraud","660","620","28510","27570"
"In post","2022","Declared non-disabled","30-39","Digital, Data and Technology","2870","2810","41500","38970"
"In post","2022","Declared non-disabled","30-39","Economics","350","340","57690","56360"
"In post","2022","Declared non-disabled","30-39","Finance","1670","1600","41300","37930"
"In post","2022","Declared non-disabled","30-39","Geography","80","70","32700","33290"
"In post","2022","Declared non-disabled","30-39","Human Resources","1460","1390","37970","34260"
"In post","2022","Declared non-disabled","30-39","Inspector of Education and Training","90","90","59120","51360"
"In post","2022","Declared non-disabled","30-39","Intelligence Analysis","640","610","33600","30830"
"In post","2022","Declared non-disabled","30-39","Internal Audit","100","100","40860","40110"
"In post","2022","Declared non-disabled","30-39","International Trade","260","250","51020","51970"
"In post","2022","Declared non-disabled","30-39","Knowledge and Information Management","330","320","35120","31990"
"In post","2022","Declared non-disabled","30-39","Legal","2130","2040","47910","50500"
"In post","2022","Declared non-disabled","30-39","Medicine","360","320","45770","39030"
"In post","2022","Declared non-disabled","30-39","Operational Delivery","34500","32190","28480","27570"
"In post","2022","Declared non-disabled","30-39","Operational Research","260","260","46530","47010"
"In post","2022","Declared non-disabled","30-39","Other","3400","3200","31560","27570"
"In post","2022","Declared non-disabled","30-39","Planning","50","50","41770","39990"
"In post","2022","Declared non-disabled","30-39","Planning Inspectors","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","30-39","Policy","6370","6180","48980","51500"
"In post","2022","Declared non-disabled","30-39","Project Delivery","2640","2560","42170","40000"
"In post","2022","Declared non-disabled","30-39","Property","740","720","38460","36050"
"In post","2022","Declared non-disabled","30-39","Psychology","440","420","35540","31180"
"In post","2022","Declared non-disabled","30-39","Science and Engineering","2310","2250","39060","38110"
"In post","2022","Declared non-disabled","30-39","Security","1090","1070","33220","31920"
"In post","2022","Declared non-disabled","30-39","Social Research","250","240","45780","42750"
"In post","2022","Declared non-disabled","30-39","Statistics","480","460","45750","43560"
"In post","2022","Declared non-disabled","30-39","Tax","3220","3120","36130","33370"
"In post","2022","Declared non-disabled","30-39","Unknown","4730","4600","41310","37610"
"In post","2022","Declared non-disabled","30-39","Veterinarian","70","70","38920","37240"
"In post","2022","Declared non-disabled","40-49","Commercial","1000","960","42870","40000"
"In post","2022","Declared non-disabled","40-49","Communications","730","690","47220","43760"
"In post","2022","Declared non-disabled","40-49","Corporate Finance","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","40-49","Counter Fraud","1100","1010","29510","27570"
"In post","2022","Declared non-disabled","40-49","Digital, Data and Technology","3680","3600","45440","41600"
"In post","2022","Declared non-disabled","40-49","Economics","170","160","63940","61880"
"In post","2022","Declared non-disabled","40-49","Finance","2300","2210","43340","39370"
"In post","2022","Declared non-disabled","40-49","Geography","60","60","34490","33290"
"In post","2022","Declared non-disabled","40-49","Human Resources","1710","1620","42980","38720"
"In post","2022","Declared non-disabled","40-49","Inspector of Education and Training","270","270","65000","64520"
"In post","2022","Declared non-disabled","40-49","Intelligence Analysis","580","550","34760","30820"
"In post","2022","Declared non-disabled","40-49","Internal Audit","140","140","47160","44020"
"In post","2022","Declared non-disabled","40-49","International Trade","160","160","52680","51970"
"In post","2022","Declared non-disabled","40-49","Knowledge and Information Management","400","390","37600","35300"
"In post","2022","Declared non-disabled","40-49","Legal","2500","2310","53260","53440"
"In post","2022","Declared non-disabled","40-49","Medicine","490","430","56850","47130"
"In post","2022","Declared non-disabled","40-49","Operational Delivery","39030","35880","29990","27570"
"In post","2022","Declared non-disabled","40-49","Operational Research","190","180","50380","47590"
"In post","2022","Declared non-disabled","40-49","Other","4210","3980","33140","27570"
"In post","2022","Declared non-disabled","40-49","Planning","50","40","[c]","[c]"
"In post","2022","Declared non-disabled","40-49","Planning Inspectors","80","80","53880","47660"
"In post","2022","Declared non-disabled","40-49","Policy","5370","5120","53770","53600"
"In post","2022","Declared non-disabled","40-49","Project Delivery","3040","2940","46100","41480"
"In post","2022","Declared non-disabled","40-49","Property","1210","1160","40640","37320"
"In post","2022","Declared non-disabled","40-49","Psychology","250","230","46220","47660"
"In post","2022","Declared non-disabled","40-49","Science and Engineering","2200","2110","44400","42500"
"In post","2022","Declared non-disabled","40-49","Security","1210","1190","34030","33000"
"In post","2022","Declared non-disabled","40-49","Social Research","160","140","52040","51380"
"In post","2022","Declared non-disabled","40-49","Statistics","380","350","51830","52150"
"In post","2022","Declared non-disabled","40-49","Tax","2300","2220","38260","33370"
"In post","2022","Declared non-disabled","40-49","Unknown","4130","3970","47880","43000"
"In post","2022","Declared non-disabled","40-49","Veterinarian","120","120","43930","40660"
"In post","2022","Declared non-disabled","50-59","Commercial","1110","1080","43450","40000"
"In post","2022","Declared non-disabled","50-59","Communications","530","510","42850","38160"
"In post","2022","Declared non-disabled","50-59","Corporate Finance","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","50-59","Counter Fraud","1860","1720","29760","27570"
"In post","2022","Declared non-disabled","50-59","Digital, Data and Technology","3790","3710","44350","40580"
"In post","2022","Declared non-disabled","50-59","Economics","90","90","70270","68050"
"In post","2022","Declared non-disabled","50-59","Finance","2810","2740","42540","38110"
"In post","2022","Declared non-disabled","50-59","Geography","70","70","32560","33290"
"In post","2022","Declared non-disabled","50-59","Human Resources","1920","1840","41200","37460"
"In post","2022","Declared non-disabled","50-59","Inspector of Education and Training","340","340","67810","75480"
"In post","2022","Declared non-disabled","50-59","Intelligence Analysis","610","590","34130","30840"
"In post","2022","Declared non-disabled","50-59","Internal Audit","240","230","50350","47270"
"In post","2022","Declared non-disabled","50-59","International Trade","180","170","51230","47980"
"In post","2022","Declared non-disabled","50-59","Knowledge and Information Management","540","520","36440","33300"
"In post","2022","Declared non-disabled","50-59","Legal","2450","2300","53010","54160"
"In post","2022","Declared non-disabled","50-59","Medicine","450","400","57410","45840"
"In post","2022","Declared non-disabled","50-59","Operational Delivery","50190","46110","29830","27570"
"In post","2022","Declared non-disabled","50-59","Operational Research","150","140","51480","48090"
"In post","2022","Declared non-disabled","50-59","Other","6680","6390","30310","26670"
"In post","2022","Declared non-disabled","50-59","Planning","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","50-59","Planning Inspectors","90","80","57380","58810"
"In post","2022","Declared non-disabled","50-59","Policy","4370","4250","50720","47550"
"In post","2022","Declared non-disabled","50-59","Project Delivery","3460","3350","46820","41950"
"In post","2022","Declared non-disabled","50-59","Property","1930","1880","40680","36740"
"In post","2022","Declared non-disabled","50-59","Psychology","110","100","42190","34600"
"In post","2022","Declared non-disabled","50-59","Science and Engineering","2500","2430","43790","42170"
"In post","2022","Declared non-disabled","50-59","Security","2200","2170","33630","32560"
"In post","2022","Declared non-disabled","50-59","Social Research","80","80","54220","55840"
"In post","2022","Declared non-disabled","50-59","Statistics","220","210","50830","51210"
"In post","2022","Declared non-disabled","50-59","Tax","2810","2690","40440","37610"
"In post","2022","Declared non-disabled","50-59","Unknown","3750","3650","48040","40600"
"In post","2022","Declared non-disabled","50-59","Veterinarian","80","70","49160","51080"
"In post","2022","Declared non-disabled","60-64","Commercial","230","200","40970","38470"
"In post","2022","Declared non-disabled","60-64","Communications","100","100","41050","36870"
"In post","2022","Declared non-disabled","60-64","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","60-64","Counter Fraud","620","460","28720","27570"
"In post","2022","Declared non-disabled","60-64","Digital, Data and Technology","820","720","40910","37100"
"In post","2022","Declared non-disabled","60-64","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","60-64","Finance","630","560","38460","34290"
"In post","2022","Declared non-disabled","60-64","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","60-64","Human Resources","440","370","37280","33360"
"In post","2022","Declared non-disabled","60-64","Inspector of Education and Training","70","70","71000","75500"
"In post","2022","Declared non-disabled","60-64","Intelligence Analysis","120","100","33570","30500"
"In post","2022","Declared non-disabled","60-64","Internal Audit","50","40","42490","42930"
"In post","2022","Declared non-disabled","60-64","International Trade","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","60-64","Knowledge and Information Management","150","130","33730","31880"
"In post","2022","Declared non-disabled","60-64","Legal","480","390","53220","55610"
"In post","2022","Declared non-disabled","60-64","Medicine","120","110","58250","45840"
"In post","2022","Declared non-disabled","60-64","Operational Delivery","15400","12280","27870","26780"
"In post","2022","Declared non-disabled","60-64","Operational Research","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","60-64","Other","2360","2140","28790","25630"
"In post","2022","Declared non-disabled","60-64","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","60-64","Planning Inspectors","30","20","[c]","[c]"
"In post","2022","Declared non-disabled","60-64","Policy","820","750","50800","45820"
"In post","2022","Declared non-disabled","60-64","Project Delivery","750","640","43560","40530"
"In post","2022","Declared non-disabled","60-64","Property","630","560","38570","34000"
"In post","2022","Declared non-disabled","60-64","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","60-64","Science and Engineering","760","690","40380","39630"
"In post","2022","Declared non-disabled","60-64","Security","590","540","28470","22460"
"In post","2022","Declared non-disabled","60-64","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","60-64","Statistics","40","30","[c]","[c]"
"In post","2022","Declared non-disabled","60-64","Tax","760","600","39870","35980"
"In post","2022","Declared non-disabled","60-64","Unknown","780","700","44050","36130"
"In post","2022","Declared non-disabled","60-64","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","65+","Commercial","50","50","40410","37900"
"In post","2022","Declared non-disabled","65+","Communications","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","65+","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","65+","Counter Fraud","230","160","28470","27570"
"In post","2022","Declared non-disabled","65+","Digital, Data and Technology","220","190","39610","35820"
"In post","2022","Declared non-disabled","65+","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","65+","Finance","200","170","36050","33300"
"In post","2022","Declared non-disabled","65+","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","65+","Human Resources","100","80","35680","31980"
"In post","2022","Declared non-disabled","65+","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","65+","Intelligence Analysis","40","30","[c]","[c]"
"In post","2022","Declared non-disabled","65+","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","65+","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","65+","Knowledge and Information Management","40","30","[c]","[c]"
"In post","2022","Declared non-disabled","65+","Legal","160","120","52140","55610"
"In post","2022","Declared non-disabled","65+","Medicine","40","30","[c]","[c]"
"In post","2022","Declared non-disabled","65+","Operational Delivery","4840","3580","26940","25360"
"In post","2022","Declared non-disabled","65+","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","65+","Other","740","640","27420","22330"
"In post","2022","Declared non-disabled","65+","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","65+","Planning Inspectors","30","20","[c]","[c]"
"In post","2022","Declared non-disabled","65+","Policy","230","190","44740","38930"
"In post","2022","Declared non-disabled","65+","Project Delivery","180","140","42770","40220"
"In post","2022","Declared non-disabled","65+","Property","230","190","35180","33300"
"In post","2022","Declared non-disabled","65+","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","65+","Science and Engineering","290","230","41000","38460"
"In post","2022","Declared non-disabled","65+","Security","200","180","27570","22460"
"In post","2022","Declared non-disabled","65+","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","65+","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","65+","Tax","200","140","38980","35980"
"In post","2022","Declared non-disabled","65+","Unknown","220","180","40620","30220"
"In post","2022","Declared non-disabled","65+","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","16-19","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","16-19","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","16-19","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","16-19","Other","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","16-19","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","16-19","Property","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","20-29","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","20-29","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","20-29","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","20-29","Digital, Data and Technology","90","90","32770","32900"
"In post","2022","Undeclared","20-29","Economics","60","60","37710","34710"
"In post","2022","Undeclared","20-29","Finance","40","40","[c]","[c]"
"In post","2022","Undeclared","20-29","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","20-29","Human Resources","40","40","[c]","[c]"
"In post","2022","Undeclared","20-29","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","20-29","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","20-29","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","20-29","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","20-29","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","20-29","Operational Delivery","1050","1030","26230","26250"
"In post","2022","Undeclared","20-29","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","20-29","Other","100","100","25270","22170"
"In post","2022","Undeclared","20-29","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","20-29","Policy","410","410","38710","35050"
"In post","2022","Undeclared","20-29","Project Delivery","60","60","32770","31950"
"In post","2022","Undeclared","20-29","Property","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","20-29","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","20-29","Science and Engineering","70","70","29580","28290"
"In post","2022","Undeclared","20-29","Security","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","20-29","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","20-29","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","20-29","Tax","110","110","30160","26820"
"In post","2022","Undeclared","20-29","Unknown","170","160","34950","33370"
"In post","2022","Undeclared","30-39","Commercial","70","70","38940","37400"
"In post","2022","Undeclared","30-39","Communications","50","50","[c]","[c]"
"In post","2022","Undeclared","30-39","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","30-39","Counter Fraud","60","50","29720","27570"
"In post","2022","Undeclared","30-39","Digital, Data and Technology","230","230","41770","40000"
"In post","2022","Undeclared","30-39","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","30-39","Finance","100","100","43410","40550"
"In post","2022","Undeclared","30-39","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","30-39","Human Resources","80","80","40270","38550"
"In post","2022","Undeclared","30-39","Intelligence Analysis","60","50","34530","32740"
"In post","2022","Undeclared","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","30-39","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","30-39","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","30-39","Legal","100","100","43650","40180"
"In post","2022","Undeclared","30-39","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","30-39","Operational Delivery","2610","2440","28520","27570"
"In post","2022","Undeclared","30-39","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","30-39","Other","250","240","28100","27570"
"In post","2022","Undeclared","30-39","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","30-39","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","30-39","Policy","500","490","48830","51730"
"In post","2022","Undeclared","30-39","Project Delivery","150","140","42860","40580"
"In post","2022","Undeclared","30-39","Property","50","50","38850","33590"
"In post","2022","Undeclared","30-39","Psychology","50","50","[c]","[c]"
"In post","2022","Undeclared","30-39","Science and Engineering","110","110","40030","39110"
"In post","2022","Undeclared","30-39","Security","100","100","36700","38200"
"In post","2022","Undeclared","30-39","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","30-39","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","30-39","Tax","200","190","38170","33370"
"In post","2022","Undeclared","30-39","Unknown","240","230","41470","37450"
"In post","2022","Undeclared","30-39","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","40-49","Commercial","90","80","44500","41500"
"In post","2022","Undeclared","40-49","Communications","50","50","[c]","[c]"
"In post","2022","Undeclared","40-49","Counter Fraud","70","70","30710","27570"
"In post","2022","Undeclared","40-49","Digital, Data and Technology","310","300","43640","40520"
"In post","2022","Undeclared","40-49","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","40-49","Finance","180","170","40340","36490"
"In post","2022","Undeclared","40-49","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","40-49","Human Resources","130","130","38800","37020"
"In post","2022","Undeclared","40-49","Intelligence Analysis","70","70","35170","32060"
"In post","2022","Undeclared","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","40-49","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","40-49","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2022","Undeclared","40-49","Legal","170","160","48400","43860"
"In post","2022","Undeclared","40-49","Medicine","30","30","[c]","[c]"
"In post","2022","Undeclared","40-49","Operational Delivery","3520","3290","30280","27570"
"In post","2022","Undeclared","40-49","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","40-49","Other","330","310","29670","26670"
"In post","2022","Undeclared","40-49","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","40-49","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","40-49","Policy","340","330","51180","51510"
"In post","2022","Undeclared","40-49","Project Delivery","220","210","44630","41780"
"In post","2022","Undeclared","40-49","Property","110","100","38360","34260"
"In post","2022","Undeclared","40-49","Psychology","40","40","[c]","[c]"
"In post","2022","Undeclared","40-49","Science and Engineering","110","110","40620","39580"
"In post","2022","Undeclared","40-49","Security","180","170","37040","38910"
"In post","2022","Undeclared","40-49","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","40-49","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","40-49","Tax","190","190","42030","39920"
"In post","2022","Undeclared","40-49","Unknown","190","190","44710","39660"
"In post","2022","Undeclared","40-49","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","50-59","Commercial","130","120","44550","41770"
"In post","2022","Undeclared","50-59","Communications","40","40","[c]","[c]"
"In post","2022","Undeclared","50-59","Counter Fraud","130","120","30000","27570"
"In post","2022","Undeclared","50-59","Digital, Data and Technology","370","370","41560","38210"
