"Status","Year","Parent_department","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Department for International Trade","Knowledge and Information Management","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Operational Delivery","Department for International Trade","140","140","40190","32120"
"In post","2022","Department for International Trade","Operational Research","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Other","Department for International Trade","150","150","45720","38540"
"In post","2022","Department for International Trade","Planning","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Policy","Department for International Trade","230","230","46050","39520"
"In post","2022","Department for International Trade","Project Delivery","Department for International Trade","90","90","47160","49850"
"In post","2022","Department for International Trade","Property","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Science and Engineering","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Security","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Social Research","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Statistics","Department for International Trade","50","50","44950","41650"
"In post","2022","Department for International Trade","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Commercial","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Commercial","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Communications","Department for Levelling Up, Housing and Communities (excl. agencies)","110","110","44770","39600"
"In post","2022","Department for Levelling Up, Housing and Communities","Communications","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Communications","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Corporate Finance","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","Department for Levelling Up, Housing and Communities (excl. agencies)","110","100","50480","53130"
"In post","2022","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","Planning Inspectorate","40","30","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Economics","Department for Levelling Up, Housing and Communities (excl. agencies)","60","60","48610","53130"
"In post","2022","Department for Levelling Up, Housing and Communities","Finance","Department for Levelling Up, Housing and Communities (excl. agencies)","120","120","51040","53130"
"In post","2022","Department for Levelling Up, Housing and Communities","Finance","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Finance","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Human Resources","Department for Levelling Up, Housing and Communities (excl. agencies)","80","80","42470","35100"
"In post","2022","Department for Levelling Up, Housing and Communities","Human Resources","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Human Resources","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Internal Audit","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Knowledge and Information Management","Department for Levelling Up, Housing and Communities (excl. agencies)","30","30","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Knowledge and Information Management","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Operational Delivery","Department for Levelling Up, Housing and Communities (excl. agencies)","470","450","38300","36340"
"In post","2022","Department for Levelling Up, Housing and Communities","Operational Delivery","Planning Inspectorate","240","220","25250","22560"
"In post","2022","Department for Levelling Up, Housing and Communities","Operational Delivery","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Operational Research","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Other","Planning Inspectorate","50","50","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Planning","Department for Levelling Up, Housing and Communities (excl. agencies)","110","110","44050","40000"
"In post","2022","Department for Levelling Up, Housing and Communities","Planning","Planning Inspectorate","30","30","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Planning Inspectors","Planning Inspectorate","380","330","56300","58810"
"In post","2022","Department for Levelling Up, Housing and Communities","Policy","Department for Levelling Up, Housing and Communities (excl. agencies)","1860","1820","47280","46820"
"In post","2022","Department for Levelling Up, Housing and Communities","Project Delivery","Department for Levelling Up, Housing and Communities (excl. agencies)","160","160","45370","48200"
"In post","2022","Department for Levelling Up, Housing and Communities","Project Delivery","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Project Delivery","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Security","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Social Research","Department for Levelling Up, Housing and Communities (excl. agencies)","30","30","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Statistics","Department for Levelling Up, Housing and Communities (excl. agencies)","130","130","45880","42980"
"In post","2022","Department for Levelling Up, Housing and Communities","Statistics","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Commercial","Department for Transport (excl. agencies)","140","140","47810","42470"
"In post","2022","Department for Transport","Commercial","Driver and Vehicle Licensing Agency","170","160","32390","30730"
"In post","2022","Department for Transport","Commercial","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
"In post","2022","Department for Transport","Commercial","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Communications","Department for Transport (excl. agencies)","90","90","48280","42890"
"In post","2022","Department for Transport","Communications","Driver and Vehicle Licensing Agency","70","70","29690","26780"
"In post","2022","Department for Transport","Communications","Driver and Vehicle Standards Agency","50","40","[c]","[c]"
"In post","2022","Department for Transport","Communications","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Communications","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Corporate Finance","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Counter Fraud","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Counter Fraud","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Counter Fraud","Driver and Vehicle Standards Agency","50","50","[c]","[c]"
"In post","2022","Department for Transport","Digital, Data and Technology","Department for Transport (excl. agencies)","110","110","44660","42470"
"In post","2022","Department for Transport","Digital, Data and Technology","Driver and Vehicle Licensing Agency","810","790","40460","38870"
"In post","2022","Department for Transport","Digital, Data and Technology","Driver and Vehicle Standards Agency","210","210","36020","31630"
"In post","2022","Department for Transport","Digital, Data and Technology","Maritime and Coastguard Agency","100","100","37560","32180"
"In post","2022","Department for Transport","Digital, Data and Technology","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Economics","Department for Transport (excl. agencies)","150","150","48360","54110"
"In post","2022","Department for Transport","Finance","Department for Transport (excl. agencies)","180","180","49520","49240"
"In post","2022","Department for Transport","Finance","Driver and Vehicle Licensing Agency","140","130","33050","30730"
"In post","2022","Department for Transport","Finance","Driver and Vehicle Standards Agency","100","100","37990","33860"
"In post","2022","Department for Transport","Finance","Maritime and Coastguard Agency","40","40","[c]","[c]"
"In post","2022","Department for Transport","Finance","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Human Resources","Department for Transport (excl. agencies)","90","90","47660","48770"
"In post","2022","Department for Transport","Human Resources","Driver and Vehicle Licensing Agency","190","180","31740","30730"
"In post","2022","Department for Transport","Human Resources","Driver and Vehicle Standards Agency","120","120","35660","33350"
"In post","2022","Department for Transport","Human Resources","Maritime and Coastguard Agency","40","30","[c]","[c]"
"In post","2022","Department for Transport","Human Resources","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Intelligence Analysis","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Internal Audit","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","International Trade","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Knowledge and Information Management","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Knowledge and Information Management","Driver and Vehicle Standards Agency","50","50","35670","32730"
"In post","2022","Department for Transport","Knowledge and Information Management","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Legal","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Medicine","Driver and Vehicle Licensing Agency","50","40","78170","86300"
"In post","2022","Department for Transport","Medicine","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Operational Delivery","Department for Transport (excl. agencies)","200","180","37400","33390"
"In post","2022","Department for Transport","Operational Delivery","Driver and Vehicle Licensing Agency","4540","3910","22040","21840"
"In post","2022","Department for Transport","Operational Delivery","Driver and Vehicle Standards Agency","4010","3770","28220","26780"
"In post","2022","Department for Transport","Operational Delivery","Maritime and Coastguard Agency","790","760","37000","33150"
"In post","2022","Department for Transport","Operational Delivery","Vehicle Certification Agency","80","70","28060","21840"
"In post","2022","Department for Transport","Operational Research","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Operational Research","Driver and Vehicle Standards Agency","60","60","29600","26780"
"In post","2022","Department for Transport","Other","Department for Transport (excl. agencies)","40","40","[c]","[c]"
"In post","2022","Department for Transport","Other","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Policy","Department for Transport (excl. agencies)","1120","1090","49300","48770"
"In post","2022","Department for Transport","Policy","Driver and Vehicle Licensing Agency","150","130","30820","28760"
"In post","2022","Department for Transport","Policy","Driver and Vehicle Standards Agency","100","90","37080","34800"
"In post","2022","Department for Transport","Policy","Maritime and Coastguard Agency","200","190","39200","38650"
"In post","2022","Department for Transport","Project Delivery","Department for Transport (excl. agencies)","410","410","51510","54110"
"In post","2022","Department for Transport","Project Delivery","Driver and Vehicle Licensing Agency","100","90","34640","30730"
"In post","2022","Department for Transport","Project Delivery","Driver and Vehicle Standards Agency","50","40","[c]","[c]"
"In post","2022","Department for Transport","Project Delivery","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Property","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Property","Driver and Vehicle Licensing Agency","70","60","30770","30730"
"In post","2022","Department for Transport","Property","Driver and Vehicle Standards Agency","70","60","32400","30730"
"In post","2022","Department for Transport","Property","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Property","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Science and Engineering","Department for Transport (excl. agencies)","60","60","52020","49240"
"In post","2022","Department for Transport","Science and Engineering","Vehicle Certification Agency","90","90","42840","39940"
"In post","2022","Department for Transport","Security","Department for Transport (excl. agencies)","130","130","45250","43360"
"In post","2022","Department for Transport","Security","Driver and Vehicle Licensing Agency","70","60","25290","24720"
"In post","2022","Department for Transport","Social Research","Department for Transport (excl. agencies)","50","50","[c]","[c]"
"In post","2022","Department for Transport","Statistics","Department for Transport (excl. agencies)","80","80","43260","42470"
"In post","2022","Department for Transport","Unknown","Department for Transport (excl. agencies)","690","670","49530","38650"
"In post","2022","Department for Transport","Unknown","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Commercial","Department for Work and Pensions (excl. agencies)","480","440","34570","31990"
"In post","2022","Department for Work and Pensions","Commercial","Health and Safety Executive","30","30","[c]","[c]"
"In post","2022","Department for Work and Pensions","Communications","Department for Work and Pensions (excl. agencies)","70","70","43700","41040"
"In post","2022","Department for Work and Pensions","Communications","Health and Safety Executive","40","40","[c]","[c]"
"In post","2022","Department for Work and Pensions","Counter Fraud","Department for Work and Pensions (excl. agencies)","5570","4970","27930","27570"
"In post","2022","Department for Work and Pensions","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","3910","3760","42330","37100"
"In post","2022","Department for Work and Pensions","Digital, Data and Technology","Health and Safety Executive","90","90","40520","34380"
"In post","2022","Department for Work and Pensions","Economics","Department for Work and Pensions (excl. agencies)","50","40","[c]","[c]"
"In post","2022","Department for Work and Pensions","Economics","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Finance","Department for Work and Pensions (excl. agencies)","1180","1100","37950","35310"
"In post","2022","Department for Work and Pensions","Finance","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Human Resources","Department for Work and Pensions (excl. agencies)","780","730","38160","34290"
"In post","2022","Department for Work and Pensions","Human Resources","Health and Safety Executive","50","50","45300","41720"
"In post","2022","Department for Work and Pensions","Knowledge and Information Management","Department for Work and Pensions (excl. agencies)","450","420","36370","31990"
"In post","2022","Department for Work and Pensions","Knowledge and Information Management","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Legal","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Operational Delivery","Department for Work and Pensions (excl. agencies)","67260","59870","26380","27570"
"In post","2022","Department for Work and Pensions","Operational Delivery","Health and Safety Executive","1780","1680","43630","41480"
"In post","2022","Department for Work and Pensions","Operational Research","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Other","Department for Work and Pensions (excl. agencies)","7730","7010","26510","27570"
"In post","2022","Department for Work and Pensions","Policy","Department for Work and Pensions (excl. agencies)","1040","980","45210","40140"
"In post","2022","Department for Work and Pensions","Policy","Health and Safety Executive","80","80","50280","47650"
"In post","2022","Department for Work and Pensions","Project Delivery","Department for Work and Pensions (excl. agencies)","1450","1280","35110","32990"
"In post","2022","Department for Work and Pensions","Project Delivery","Health and Safety Executive","40","40","[c]","[c]"
"In post","2022","Department for Work and Pensions","Property","Department for Work and Pensions (excl. agencies)","190","180","43600","38250"
"In post","2022","Department for Work and Pensions","Property","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Psychology","Department for Work and Pensions (excl. agencies)","60","50","35120","34340"
"In post","2022","Department for Work and Pensions","Science and Engineering","Health and Safety Executive","480","450","38780","35910"
"In post","2022","Department for Work and Pensions","Security","Department for Work and Pensions (excl. agencies)","460","440","39280","35310"
"In post","2022","Department for Work and Pensions","Security","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Social Research","Department for Work and Pensions (excl. agencies)","40","40","[c]","[c]"
"In post","2022","Department for Work and Pensions","Statistics","Department for Work and Pensions (excl. agencies)","190","180","45230","40310"
"In post","2022","Department for Work and Pensions","Statistics","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Unknown","Department for Work and Pensions (excl. agencies)","520","490","34690","27570"
"In post","2022","Department of Health and Social Care","Commercial","Department of Health and Social Care (excl. agencies)","370","360","47730","43320"
"In post","2022","Department of Health and Social Care","Commercial","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Commercial","UK Health Security Agency","140","140","47610","46000"
"In post","2022","Department of Health and Social Care","Communications","Department of Health and Social Care (excl. agencies)","340","330","46590","49530"
"In post","2022","Department of Health and Social Care","Communications","Medicines and Healthcare Products Regulatory Agency","50","50","43320","40450"
"In post","2022","Department of Health and Social Care","Communications","UK Health Security Agency","100","90","43770","40070"
"In post","2022","Department of Health and Social Care","Corporate Finance","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Digital, Data and Technology","Department of Health and Social Care (excl. agencies)","170","160","43220","37500"
"In post","2022","Department of Health and Social Care","Digital, Data and Technology","Medicines and Healthcare Products Regulatory Agency","70","70","48020","45460"
"In post","2022","Department of Health and Social Care","Digital, Data and Technology","UK Health Security Agency","150","150","43740","38150"
"In post","2022","Department of Health and Social Care","Economics","Department of Health and Social Care (excl. agencies)","90","80","47580","49530"
"In post","2022","Department of Health and Social Care","Finance","Department of Health and Social Care (excl. agencies)","480","470","43310","40650"
"In post","2022","Department of Health and Social Care","Finance","Medicines and Healthcare Products Regulatory Agency","40","40","[c]","[c]"
"In post","2022","Department of Health and Social Care","Finance","UK Health Security Agency","110","100","42290","40470"
"In post","2022","Department of Health and Social Care","Human Resources","Department of Health and Social Care (excl. agencies)","250","250","38290","32790"
"In post","2022","Department of Health and Social Care","Human Resources","Medicines and Healthcare Products Regulatory Agency","30","30","[c]","[c]"
"In post","2022","Department of Health and Social Care","Human Resources","UK Health Security Agency","270","260","43110","36820"
"In post","2022","Department of Health and Social Care","Knowledge and Information Management","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Knowledge and Information Management","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Knowledge and Information Management","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Legal","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Legal","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Medicine","Department of Health and Social Care (excl. agencies)","80","80","82890","79800"
"In post","2022","Department of Health and Social Care","Medicine","Medicines and Healthcare Products Regulatory Agency","140","140","63020","67080"
"In post","2022","Department of Health and Social Care","Medicine","UK Health Security Agency","340","290","90650","95140"
"In post","2022","Department of Health and Social Care","Operational Delivery","Department of Health and Social Care (excl. agencies)","830","790","47310","47090"
"In post","2022","Department of Health and Social Care","Operational Delivery","Medicines and Healthcare Products Regulatory Agency","170","170","40340","33680"
"In post","2022","Department of Health and Social Care","Operational Delivery","UK Health Security Agency","3420","3180","39800","33340"
"In post","2022","Department of Health and Social Care","Operational Research","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Other","Department of Health and Social Care (excl. agencies)","60","50","56310","53360"
"In post","2022","Department of Health and Social Care","Other","Medicines and Healthcare Products Regulatory Agency","280","270","48890","41770"
"In post","2022","Department of Health and Social Care","Policy","Department of Health and Social Care (excl. agencies)","1080","1040","48720","49530"
"In post","2022","Department of Health and Social Care","Policy","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Project Delivery","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Project Delivery","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Property","Department of Health and Social Care (excl. agencies)","30","30","[c]","[c]"
"In post","2022","Department of Health and Social Care","Property","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Property","UK Health Security Agency","30","30","[c]","[c]"
"In post","2022","Department of Health and Social Care","Science and Engineering","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Science and Engineering","Medicines and Healthcare Products Regulatory Agency","300","290","50200","44690"
"In post","2022","Department of Health and Social Care","Science and Engineering","UK Health Security Agency","2020","1900","40440","38770"
"In post","2022","Department of Health and Social Care","Social Research","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Statistics","Department of Health and Social Care (excl. agencies)","40","40","[c]","[c]"
"In post","2022","Department of Health and Social Care","Statistics","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Statistics","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Unknown","Department of Health and Social Care (excl. agencies)","200","200","49340","49530"
"In post","2022","Department of Health and Social Care","Unknown","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Commercial","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Communications","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Digital, Data and Technology","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Finance","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Human Resources","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Inspector of Education and Training","Estyn","70","60","75110","75480"
"In post","2022","Estyn","Knowledge and Information Management","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Operational Delivery","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Project Delivery","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Property","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Statistics","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Communications","Food Standards Agency","50","50","41300","37350"
"In post","2022","Food Standards Agency","Corporate Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Counter Fraud","Food Standards Agency","60","60","38260","37350"
"In post","2022","Food Standards Agency","Digital, Data and Technology","Food Standards Agency","60","60","45710","41220"
"In post","2022","Food Standards Agency","Economics","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Finance","Food Standards Agency","50","50","[c]","[c]"
"In post","2022","Food Standards Agency","Human Resources","Food Standards Agency","40","40","[c]","[c]"
"In post","2022","Food Standards Agency","Intelligence Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Internal Audit","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","International Trade","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Knowledge and Information Management","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Operational Delivery","Food Standards Agency","610","590","32200","28800"
"In post","2022","Food Standards Agency","Operational Research","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Other","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Planning","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Policy","Food Standards Agency","260","260","41000","37350"
"In post","2022","Food Standards Agency","Project Delivery","Food Standards Agency","40","30","[c]","[c]"
"In post","2022","Food Standards Agency","Property","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Science and Engineering","Food Standards Agency","120","120","40080","37350"
"In post","2022","Food Standards Agency","Security","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Social Research","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Statistics","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Veterinarian","Food Standards Agency","60","60","44370","39090"
"In post","2022","Foreign, Commonwealth and Development Office","Commercial","FCDO Services","80","80","47480","44000"
"In post","2022","Foreign, Commonwealth and Development Office","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","60","50","41550","40100"
"In post","2022","Foreign, Commonwealth and Development Office","Communications","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","100","90","50550","47340"
"In post","2022","Foreign, Commonwealth and Development Office","Communications","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Digital, Data and Technology","FCDO Services","110","110","44450","42400"
"In post","2022","Foreign, Commonwealth and Development Office","Digital, Data and Technology","Foreign, Commonwealth and Development Office (excl. agencies)","190","190","42660","39190"
"In post","2022","Foreign, Commonwealth and Development Office","Digital, Data and Technology","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Economics","Foreign, Commonwealth and Development Office (excl. agencies)","160","160","51560","54080"
"In post","2022","Foreign, Commonwealth and Development Office","Finance","FCDO Services","50","50","38760","31890"
"In post","2022","Foreign, Commonwealth and Development Office","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","170","160","44230","40510"
"In post","2022","Foreign, Commonwealth and Development Office","Finance","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Human Resources","FCDO Services","40","40","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","280","270","48800","44500"
"In post","2022","Foreign, Commonwealth and Development Office","Human Resources","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Intelligence Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","180","180","46280","39770"
"In post","2022","Foreign, Commonwealth and Development Office","Internal Audit","Foreign, Commonwealth and Development Office (excl. agencies)","50","50","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Knowledge and Information Management","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Knowledge and Information Management","Foreign, Commonwealth and Development Office (excl. agencies)","110","110","45200","38360"
"In post","2022","Foreign, Commonwealth and Development Office","Legal","FCDO Services","60","40","50380","53430"
"In post","2022","Foreign, Commonwealth and Development Office","Legal","Foreign, Commonwealth and Development Office (excl. agencies)","70","70","62850","67480"
"In post","2022","Foreign, Commonwealth and Development Office","Medicine","Foreign, Commonwealth and Development Office (excl. agencies)","50","40","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Operational Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","570","540","34750","30610"
"In post","2022","Foreign, Commonwealth and Development Office","Operational Delivery","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Operational Research","Foreign, Commonwealth and Development Office (excl. agencies)","60","60","59570","61400"
"In post","2022","Foreign, Commonwealth and Development Office","Other","FCDO Services","30","30","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Other","Foreign, Commonwealth and Development Office (excl. agencies)","260","260","66280","66680"
"In post","2022","Foreign, Commonwealth and Development Office","Other","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Policy","Foreign, Commonwealth and Development Office (excl. agencies)","3960","3910","50860","51500"
"In post","2022","Foreign, Commonwealth and Development Office","Policy","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Project Delivery","FCDO Services","70","70","38360","34070"
