"Status","Year","Organisation","Function_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Cabinet Office (excl. agencies)","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Project Delivery","White","130","130","70600","60640"
"In post","2022","Cabinet Office (excl. agencies)","Property","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Property","Black","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Property","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Property","White","90","80","48550","49700"
"In post","2022","Cabinet Office (excl. agencies)","Security","Asian","30","30","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Security","Black","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Security","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Security","Undeclared","50","50","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Security","Unknown","250","230","30540","26670"
"In post","2022","Cabinet Office (excl. agencies)","Security","White","630","610","34970","33300"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Analysis","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Analysis","Black","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Analysis","White","430","410","34170","30220"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Black","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Commercial","White","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Communications","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Communications","White","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data & Technology","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data & Technology","Black","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data & Technology","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data & Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data & Technology","White","60","50","31580","29750"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Finance","White","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Black","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","White","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","No function","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","No function","Black","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","No function","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","No function","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","No function","White","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","Black","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","White","60","60","33460","29270"
"In post","2022","Charity Commission","Commercial","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Commercial","Black","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Commercial","White","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Communications","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Communications","White","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Digital, Data & Technology","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Digital, Data & Technology","Black","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Digital, Data & Technology","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Digital, Data & Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Digital, Data & Technology","White","30","30","[c]","[c]"
"In post","2022","Charity Commission","Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Finance","White","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Human Resources","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Human Resources","Black","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Human Resources","White","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Legal","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Legal","Black","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Legal","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Legal","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Legal","White","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","No function","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","No function","Black","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","No function","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","No function","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","No function","Unknown","80","70","28900","24440"
"In post","2022","Charity Commission","No function","White","220","210","32300","29160"
"In post","2022","Charity Commission","Project Delivery","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Project Delivery","Black","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Project Delivery","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Project Delivery","White","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Property","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Property","Black","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Property","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Property","White","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Security","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Security","Black","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Security","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Security","White","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Analysis","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Analysis","Black","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Analysis","White","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Commercial","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Commercial","Black","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Commercial","White","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Communications","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Communications","White","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Counter Fraud","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Counter Fraud","White","140","130","25240","22740"
"In post","2022","Companies House","Digital, Data & Technology","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Digital, Data & Technology","Black","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Digital, Data & Technology","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Digital, Data & Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Digital, Data & Technology","White","170","160","40500","38000"
"In post","2022","Companies House","Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Finance","White","50","50","31570","27460"
"In post","2022","Companies House","Human Resources","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Human Resources","Black","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Human Resources","White","50","50","37120","34000"
"In post","2022","Companies House","Legal","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Legal","Black","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Legal","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Legal","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Legal","White","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","No function","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","No function","Black","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","No function","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","No function","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","No function","Unknown","50","50","[c]","[c]"
"In post","2022","Companies House","No function","White","440","400","27520","22740"
"In post","2022","Companies House","Project Delivery","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Project Delivery","Black","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Project Delivery","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Project Delivery","White","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Property","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Property","Black","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Property","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Property","White","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Security","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Security","Black","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Security","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Security","White","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Analysis","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Analysis","Black","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Analysis","White","110","100","62970","56360"
"In post","2022","Competition and Markets Authority","Commercial","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Commercial","Black","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Commercial","White","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Communications","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Communications","White","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Digital, Data & Technology","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Digital, Data & Technology","Black","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Digital, Data & Technology","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Digital, Data & Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Digital, Data & Technology","White","40","40","[c]","[c]"
"In post","2022","Competition and Markets Authority","Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Finance","White","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Human Resources","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Human Resources","Black","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Human Resources","White","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Legal","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Legal","Black","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Legal","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Legal","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Legal","White","120","120","71140","72430"
"In post","2022","Competition and Markets Authority","Project Delivery","Asian","50","50","[c]","[c]"
"In post","2022","Competition and Markets Authority","Project Delivery","Black","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Project Delivery","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Project Delivery","White","250","240","65240","60850"
"In post","2022","Competition and Markets Authority","Property","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Property","Black","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Property","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Property","White","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Security","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Security","Black","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Security","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Security","White","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Digital, Data & Technology","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Digital, Data & Technology","Black","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Digital, Data & Technology","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Digital, Data & Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Digital, Data & Technology","White","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","No function","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","No function","Black","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","No function","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","No function","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","No function","Unknown","70","60","26490","25120"
"In post","2022","Criminal Injuries Compensation Authority","No function","White","230","210","28080","25120"
"In post","2022","Crown Commercial Service","Commercial","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Commercial","Black","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Commercial","Unknown","40","40","[c]","[c]"
"In post","2022","Crown Commercial Service","Commercial","White","280","270","35920","36600"
"In post","2022","Crown Commercial Service","Communications","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Communications","White","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Digital, Data & Technology","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Digital, Data & Technology","Black","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Digital, Data & Technology","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Digital, Data & Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Digital, Data & Technology","White","90","90","42550","39360"
"In post","2022","Crown Commercial Service","Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Finance","White","30","30","[c]","[c]"
"In post","2022","Crown Commercial Service","Human Resources","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Human Resources","Black","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
