"Status","Year","Sex","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Female","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Operational Delivery","290","270","21950","21260"
"In post","2022","Male","16-19","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Other","60","60","19290","18030"
"In post","2022","Male","16-19","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Property","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Science and Engineering","100","100","18400","17450"
"In post","2022","Male","16-19","Security","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Male","16-19","Unknown","50","50","22870","21260"
"In post","2022","Male","16-19","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Male","20-29","Commercial","470","470","32370","30590"
"In post","2022","Male","20-29","Communications","300","290","35610","33210"
"In post","2022","Male","20-29","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Male","20-29","Counter Fraud","270","270","27130","27570"
"In post","2022","Male","20-29","Digital, Data and Technology","1890","1880","33730","32790"
"In post","2022","Male","20-29","Economics","760","760","38400","34710"
"In post","2022","Male","20-29","Finance","780","770","33460","31010"
"In post","2022","Male","20-29","Geography","80","80","25740","26740"
"In post","2022","Male","20-29","Human Resources","370","370","31850","29520"
"In post","2022","Male","20-29","Intelligence Analysis","240","240","32070","29250"
"In post","2022","Male","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Male","20-29","International Trade","250","250","38560","38160"
"In post","2022","Male","20-29","Knowledge and Information Management","120","120","30680","28280"
"In post","2022","Male","20-29","Legal","510","500","34650","31020"
"In post","2022","Male","20-29","Medicine","40","30","[c]","[c]"
"In post","2022","Male","20-29","Operational Delivery","15500","15360","25970","24920"
"In post","2022","Male","20-29","Operational Research","180","170","35170","34320"
"In post","2022","Male","20-29","Other","1680","1670","27010","26030"
"In post","2022","Male","20-29","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Male","20-29","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Male","20-29","Policy","3720","3710","39020","35700"
"In post","2022","Male","20-29","Project Delivery","930","930","34000","33000"
"In post","2022","Male","20-29","Property","460","450","30000","28500"
"In post","2022","Male","20-29","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Male","20-29","Science and Engineering","1850","1850","29130","28680"
"In post","2022","Male","20-29","Security","800","800","27250","26350"
"In post","2022","Male","20-29","Social Research","140","140","35950","33710"
"In post","2022","Male","20-29","Statistics","430","430","35330","33430"
"In post","2022","Male","20-29","Tax","2150","2120","29030","26820"
"In post","2022","Male","20-29","Unknown","3520","3500","32290","29250"
"In post","2022","Male","20-29","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Male","30-39","Commercial","680","680","40060","38240"
"In post","2022","Male","30-39","Communications","450","450","44120","40960"
"In post","2022","Male","30-39","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Male","30-39","Counter Fraud","340","340","29990","27570"
"In post","2022","Male","30-39","Digital, Data and Technology","2960","2940","42140","39580"
"In post","2022","Male","30-39","Economics","300","300","56670","55730"
"In post","2022","Male","30-39","Finance","1090","1090","43330","40500"
"In post","2022","Male","30-39","Geography","70","70","33020","33290"
"In post","2022","Male","30-39","Human Resources","650","640","38510","35310"
"In post","2022","Male","30-39","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Male","30-39","Intelligence Analysis","420","420","35230","33300"
"In post","2022","Male","30-39","Internal Audit","60","50","44330","41000"
"In post","2022","Male","30-39","International Trade","290","290","49820","51970"
"In post","2022","Male","30-39","Knowledge and Information Management","200","200","37090","33300"
"In post","2022","Male","30-39","Legal","1210","1200","44830","43920"
"In post","2022","Male","30-39","Medicine","150","140","53510","44790"
"In post","2022","Male","30-39","Operational Delivery","22760","22470","28920","27570"
"In post","2022","Male","30-39","Operational Research","210","210","46920","47010"
"In post","2022","Male","30-39","Other","2350","2330","33300","29170"
"In post","2022","Male","30-39","Planning","40","40","[c]","[c]"
"In post","2022","Male","30-39","Planning Inspectors","40","40","[c]","[c]"
"In post","2022","Male","30-39","Policy","4370","4340","49050","51730"
"In post","2022","Male","30-39","Project Delivery","1720","1710","43140","40520"
"In post","2022","Male","30-39","Property","600","600","38230","35900"
"In post","2022","Male","30-39","Psychology","60","60","34250","31180"
"In post","2022","Male","30-39","Science and Engineering","1810","1800","39610","38750"
"In post","2022","Male","30-39","Security","1270","1270","33330","32630"
"In post","2022","Male","30-39","Social Research","130","130","45710","42470"
"In post","2022","Male","30-39","Statistics","350","340","44300","40450"
"In post","2022","Male","30-39","Tax","3070","3050","35790","33370"
"In post","2022","Male","30-39","Unknown","4000","3970","41310","36350"
"In post","2022","Male","30-39","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Male","40-49","Commercial","640","640","44150","40580"
"In post","2022","Male","40-49","Communications","470","470","46650","42120"
"In post","2022","Male","40-49","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Male","40-49","Counter Fraud","540","540","30930","27570"
"In post","2022","Male","40-49","Digital, Data and Technology","3560","3540","46340","42420"
"In post","2022","Male","40-49","Economics","150","140","62960","61440"
"In post","2022","Male","40-49","Finance","1300","1290","45290","40580"
"In post","2022","Male","40-49","Geography","60","60","34940","33290"
"In post","2022","Male","40-49","Human Resources","660","660","44110","39870"
"In post","2022","Male","40-49","Inspector of Education and Training","90","90","72960","75500"
"In post","2022","Male","40-49","Intelligence Analysis","410","410","36660","32040"
"In post","2022","Male","40-49","Internal Audit","80","80","48520","45870"
"In post","2022","Male","40-49","International Trade","150","150","54420","53030"
"In post","2022","Male","40-49","Knowledge and Information Management","260","260","38980","35650"
"In post","2022","Male","40-49","Legal","1360","1340","50200","50500"
"In post","2022","Male","40-49","Medicine","220","200","64560","61440"
"In post","2022","Male","40-49","Operational Delivery","22830","22430","30920","27570"
"In post","2022","Male","40-49","Operational Research","130","130","50730","47660"
"In post","2022","Male","40-49","Other","2830","2790","35440","29670"
"In post","2022","Male","40-49","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Male","40-49","Planning Inspectors","70","70","53200","47660"
"In post","2022","Male","40-49","Policy","3280","3250","54330","54080"
"In post","2022","Male","40-49","Project Delivery","1990","1980","48020","43810"
"In post","2022","Male","40-49","Property","920","910","41220","38200"
"In post","2022","Male","40-49","Psychology","50","50","43560","39500"
"In post","2022","Male","40-49","Science and Engineering","1850","1830","44480","43000"
"In post","2022","Male","40-49","Security","1440","1430","34460","35310"
"In post","2022","Male","40-49","Social Research","80","80","47420","42590"
"In post","2022","Male","40-49","Statistics","270","260","50400","51210"
"In post","2022","Male","40-49","Tax","2000","1980","37540","33370"
"In post","2022","Male","40-49","Unknown","3380","3350","49210","43890"
"In post","2022","Male","40-49","Veterinarian","70","70","43080","38080"
"In post","2022","Male","50-59","Commercial","780","770","46360","42180"
"In post","2022","Male","50-59","Communications","360","350","42040","37580"
"In post","2022","Male","50-59","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Male","50-59","Counter Fraud","1030","990","31420","27570"
"In post","2022","Male","50-59","Digital, Data and Technology","3590","3550","44850","40580"
"In post","2022","Male","50-59","Economics","90","80","73950","69670"
"In post","2022","Male","50-59","Finance","1670","1650","45420","40670"
"In post","2022","Male","50-59","Geography","70","70","33740","33290"
"In post","2022","Male","50-59","Human Resources","880","870","42210","38100"
"In post","2022","Male","50-59","Inspector of Education and Training","110","110","73450","75500"
"In post","2022","Male","50-59","Intelligence Analysis","520","510","35720","32670"
"In post","2022","Male","50-59","Internal Audit","160","160","51170","48820"
"In post","2022","Male","50-59","International Trade","160","160","51450","47980"
"In post","2022","Male","50-59","Knowledge and Information Management","350","340","37790","34290"
"In post","2022","Male","50-59","Legal","1630","1600","52050","52360"
"In post","2022","Male","50-59","Medicine","230","210","70060","71240"
"In post","2022","Male","50-59","Operational Delivery","30870","29630","31760","28300"
"In post","2022","Male","50-59","Operational Research","130","120","52260","48770"
"In post","2022","Male","50-59","Other","4890","4820","33140","28920"
"In post","2022","Male","50-59","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Male","50-59","Planning Inspectors","70","60","58670","58810"
"In post","2022","Male","50-59","Policy","2920","2890","53150","52290"
"In post","2022","Male","50-59","Project Delivery","2360","2320","49350","45990"
"In post","2022","Male","50-59","Property","1640","1620","42220","40370"
"In post","2022","Male","50-59","Psychology","50","40","[c]","[c]"
"In post","2022","Male","50-59","Science and Engineering","2650","2620","43590","42170"
"In post","2022","Male","50-59","Security","2630","2610","33470","33300"
"In post","2022","Male","50-59","Social Research","40","30","[c]","[c]"
"In post","2022","Male","50-59","Statistics","190","190","50770","47710"
"In post","2022","Male","50-59","Tax","2170","2130","40870","37930"
"In post","2022","Male","50-59","Unknown","3040","3000","50410","43470"
"In post","2022","Male","50-59","Veterinarian","50","50","[c]","[c]"
"In post","2022","Male","60-64","Commercial","170","150","42980","40720"
"In post","2022","Male","60-64","Communications","80","80","42030","34610"
"In post","2022","Male","60-64","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Male","60-64","Counter Fraud","350","280","30380","27570"
"In post","2022","Male","60-64","Digital, Data and Technology","770","700","42180","38450"
"In post","2022","Male","60-64","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Male","60-64","Finance","430","390","42190","38880"
"In post","2022","Male","60-64","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Male","60-64","Human Resources","200","170","37780","34290"
"In post","2022","Male","60-64","Inspector of Education and Training","30","30","[c]","[c]"
"In post","2022","Male","60-64","Intelligence Analysis","110","100","35940","32670"
"In post","2022","Male","60-64","Internal Audit","40","40","[c]","[c]"
"In post","2022","Male","60-64","International Trade","30","30","[c]","[c]"
"In post","2022","Male","60-64","Knowledge and Information Management","100","100","36230","32300"
"In post","2022","Male","60-64","Legal","360","300","52130","53870"
"In post","2022","Male","60-64","Medicine","90","80","80500","81410"
"In post","2022","Male","60-64","Operational Delivery","9300","7680","29870","27570"
"In post","2022","Male","60-64","Operational Research","30","30","[c]","[c]"
"In post","2022","Male","60-64","Other","1860","1750","31030","27230"
"In post","2022","Male","60-64","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Male","60-64","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Male","60-64","Policy","550","500","54110","49530"
"In post","2022","Male","60-64","Project Delivery","580","510","46410","42580"
"In post","2022","Male","60-64","Property","610","550","39690","36460"
"In post","2022","Male","60-64","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Male","60-64","Science and Engineering","940","860","40460","39650"
"In post","2022","Male","60-64","Security","750","680","28550","22460"
"In post","2022","Male","60-64","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Male","60-64","Statistics","40","30","[c]","[c]"
"In post","2022","Male","60-64","Tax","660","530","41580","35980"
"In post","2022","Male","60-64","Unknown","750","690","46080","36390"
"In post","2022","Male","60-64","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Male","65+","Commercial","50","40","38710","37650"
"In post","2022","Male","65+","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Male","65+","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Male","65+","Counter Fraud","150","100","30310","27570"
"In post","2022","Male","65+","Digital, Data and Technology","230","190","40210","36510"
"In post","2022","Male","65+","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Male","65+","Finance","150","140","39370","35480"
"In post","2022","Male","65+","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Male","65+","Human Resources","60","50","36570","32640"
"In post","2022","Male","65+","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Male","65+","Intelligence Analysis","50","30","[c]","[c]"
"In post","2022","Male","65+","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Male","65+","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Male","65+","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Male","65+","Legal","160","120","53090","55610"
"In post","2022","Male","65+","Medicine","30","20","[c]","[c]"
"In post","2022","Male","65+","Operational Delivery","3340","2530","28480","26780"
"In post","2022","Male","65+","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Male","65+","Other","640","580","29190","26350"
"In post","2022","Male","65+","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Male","65+","Planning Inspectors","40","20","[c]","[c]"
"In post","2022","Male","65+","Policy","160","140","50750","46980"
"In post","2022","Male","65+","Project Delivery","150","130","45540","41270"
"In post","2022","Male","65+","Property","250","220","35360","33300"
"In post","2022","Male","65+","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Male","65+","Science and Engineering","370","300","39800","36670"
"In post","2022","Male","65+","Security","250","220","27870","22740"
"In post","2022","Male","65+","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Male","65+","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Male","65+","Tax","220","150","40050","35980"
"In post","2022","Male","65+","Unknown","230","190","41920","33370"
"In post","2022","Male","65+","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Male","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Male","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Male","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Male","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Male","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2022","Male","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Male","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","20-29","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","20-29","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","20-29","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","30-39","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","40-49","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","50-59","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","50-59","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","16-19","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","16-19","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","16-19","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","16-19","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","16-19","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","16-19","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","20-29","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","20-29","Communications","50","50","29720","28500"
"Leaver CS","2021","Female","20-29","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","20-29","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","20-29","Economics","30","30","[c]","[c]"
"Leaver CS","2021","Female","20-29","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","20-29","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","20-29","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","20-29","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","20-29","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","20-29","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","20-29","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","20-29","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","20-29","Operational Delivery","1170","1140","22460","21300"
"Leaver CS","2021","Female","20-29","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","20-29","Other","100","100","24620","21980"
"Leaver CS","2021","Female","20-29","Policy","130","130","29610","28500"
"Leaver CS","2021","Female","20-29","Project Delivery","50","50","[c]","[c]"
"Leaver CS","2021","Female","20-29","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","20-29","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","20-29","Science and Engineering","110","110","23690","23450"
"Leaver CS","2021","Female","20-29","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","20-29","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","20-29","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","20-29","Unknown","880","810","25560","24180"
"Leaver CS","2021","Female","30-39","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","30-39","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","30-39","Digital, Data and Technology","40","30","[c]","[c]"
"Leaver CS","2021","Female","30-39","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","30-39","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","30-39","Human Resources","40","40","[c]","[c]"
"Leaver CS","2021","Female","30-39","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","30-39","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","30-39","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","30-39","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","30-39","Legal","50","50","[c]","[c]"
"Leaver CS","2021","Female","30-39","Medicine","50","40","[c]","[c]"
"Leaver CS","2021","Female","30-39","Operational Delivery","680","600","26590","22700"
"Leaver CS","2021","Female","30-39","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","30-39","Other","70","70","29590","27600"
"Leaver CS","2021","Female","30-39","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","30-39","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","30-39","Policy","100","100","44150","40510"
"Leaver CS","2021","Female","30-39","Project Delivery","30","30","[c]","[c]"
"Leaver CS","2021","Female","30-39","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","30-39","Psychology","50","40","[c]","[c]"
"Leaver CS","2021","Female","30-39","Science and Engineering","90","70","32930","32900"
"Leaver CS","2021","Female","30-39","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","30-39","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","30-39","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","30-39","Unknown","790","670","29000","27570"
"Leaver CS","2021","Female","30-39","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","40-49","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","40-49","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","40-49","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","40-49","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","40-49","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","40-49","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","40-49","Human Resources","40","40","[c]","[c]"
"Leaver CS","2021","Female","40-49","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","40-49","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","40-49","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","40-49","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","40-49","Legal","30","30","[c]","[c]"
"Leaver CS","2021","Female","40-49","Medicine","50","40","[c]","[c]"
"Leaver CS","2021","Female","40-49","Operational Delivery","510","450","29190","23890"
"Leaver CS","2021","Female","40-49","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","40-49","Other","90","90","33720","26930"
"Leaver CS","2021","Female","40-49","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","40-49","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","40-49","Policy","80","70","56210","54230"
"Leaver CS","2021","Female","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","40-49","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","40-49","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","40-49","Science and Engineering","60","50","34930","34530"
"Leaver CS","2021","Female","40-49","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","40-49","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","40-49","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","40-49","Unknown","880","730","30570","27570"
"Leaver CS","2021","Female","40-49","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","50-59","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","50-59","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","50-59","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","50-59","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","50-59","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","50-59","Finance","30","30","[c]","[c]"
"Leaver CS","2021","Female","50-59","Human Resources","40","40","[c]","[c]"
"Leaver CS","2021","Female","50-59","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","50-59","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","50-59","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","50-59","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","50-59","Legal","70","50","55340","55610"
"Leaver CS","2021","Female","50-59","Medicine","40","30","[c]","[c]"
"Leaver CS","2021","Female","50-59","Operational Delivery","750","650","28630","23520"
"Leaver CS","2021","Female","50-59","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","50-59","Other","120","110","28580","21580"
"Leaver CS","2021","Female","50-59","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","50-59","Policy","60","50","49430","47960"
"Leaver CS","2021","Female","50-59","Project Delivery","40","30","[c]","[c]"
"Leaver CS","2021","Female","50-59","Property","40","30","[c]","[c]"
"Leaver CS","2021","Female","50-59","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","50-59","Science and Engineering","30","30","[c]","[c]"
"Leaver CS","2021","Female","50-59","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","50-59","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","50-59","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","50-59","Unknown","2130","1800","29850","27570"
"Leaver CS","2021","Female","50-59","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","60-64","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","60-64","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","60-64","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","60-64","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","60-64","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","60-64","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","60-64","Human Resources","40","30","[c]","[c]"
"Leaver CS","2021","Female","60-64","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","60-64","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","60-64","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","60-64","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","60-64","Legal","50","40","60720","57320"
"Leaver CS","2021","Female","60-64","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","60-64","Operational Delivery","520","410","28600","23190"
"Leaver CS","2021","Female","60-64","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","60-64","Other","100","90","26300","21880"
"Leaver CS","2021","Female","60-64","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","60-64","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","60-64","Policy","40","30","[c]","[c]"
"Leaver CS","2021","Female","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","60-64","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","60-64","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","60-64","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","60-64","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","60-64","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","60-64","Unknown","1420","1060","28900","27140"
"Leaver CS","2021","Female","60-64","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","65+","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","65+","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","65+","Counter Fraud","[c]","[c]","[c]","[c]"
