"Status","Year","Organisation","Disability","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Office of Qualifications and Examinations Regulation","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Declared disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Declared disabled","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Declared non-disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Declared non-disabled","30-39","80","80","51000","53250"
"In post","2021","Office of Rail and Road","Declared non-disabled","40-49","80","80","55960","55430"
"In post","2021","Office of Rail and Road","Declared non-disabled","50-59","80","80","61930","60140"
"In post","2021","Office of Rail and Road","Declared non-disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Declared non-disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Declared disabled","20-29","30","30","[c]","[c]"
"In post","2021","Office of the Public Guardian","Declared disabled","30-39","40","40","[c]","[c]"
"In post","2021","Office of the Public Guardian","Declared disabled","40-49","40","40","[c]","[c]"
"In post","2021","Office of the Public Guardian","Declared disabled","50-59","60","60","22870","21170"
"In post","2021","Office of the Public Guardian","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Declared non-disabled","20-29","200","190","20690","19930"
"In post","2021","Office of the Public Guardian","Declared non-disabled","30-39","380","340","21780","19930"
"In post","2021","Office of the Public Guardian","Declared non-disabled","40-49","170","150","22710","20650"
"In post","2021","Office of the Public Guardian","Declared non-disabled","50-59","170","160","24270","21170"
"In post","2021","Office of the Public Guardian","Declared non-disabled","60-64","40","30","[c]","[c]"
"In post","2021","Office of the Public Guardian","Declared non-disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Undeclared","30-39","30","30","[c]","[c]"
"In post","2021","Office of the Public Guardian","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Unknown","20-29","80","70","20310","19930"
"In post","2021","Office of the Public Guardian","Unknown","30-39","40","40","[c]","[c]"
"In post","2021","Office of the Public Guardian","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Declared disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Declared disabled","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Declared non-disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Declared non-disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Declared non-disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Declared non-disabled","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Declared non-disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Declared non-disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Declared disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Declared disabled","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Declared non-disabled","20-29","40","40","[c]","[c]"
"In post","2021","Planning Inspectorate","Declared non-disabled","30-39","120","110","38370","33820"
"In post","2021","Planning Inspectorate","Declared non-disabled","40-49","180","170","44160","47660"
"In post","2021","Planning Inspectorate","Declared non-disabled","50-59","170","160","48020","47660"
"In post","2021","Planning Inspectorate","Declared non-disabled","60-64","50","40","51430","54960"
"In post","2021","Planning Inspectorate","Declared non-disabled","65+","40","30","[c]","[c]"
"In post","2021","Planning Inspectorate","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Unknown","30-39","30","30","[c]","[c]"
"In post","2021","Planning Inspectorate","Unknown","40-49","40","40","[c]","[c]"
"In post","2021","Planning Inspectorate","Unknown","50-59","40","40","[c]","[c]"
"In post","2021","Planning Inspectorate","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Declared disabled","20-29","90","90","26430","23610"
"In post","2021","Public Health England","Declared disabled","30-39","80","70","36200","33100"
"In post","2021","Public Health England","Declared disabled","40-49","90","80","42740","38910"
"In post","2021","Public Health England","Declared disabled","50-59","60","50","48750","44950"
"In post","2021","Public Health England","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Declared non-disabled","20-29","1010","960","28310","26880"
"In post","2021","Public Health England","Declared non-disabled","30-39","1170","1080","39410","37450"
"In post","2021","Public Health England","Declared non-disabled","40-49","1070","970","46900","41720"
"In post","2021","Public Health England","Declared non-disabled","50-59","870","800","51110","44500"
"In post","2021","Public Health England","Declared non-disabled","60-64","240","190","52560","40600"
"In post","2021","Public Health England","Declared non-disabled","65+","100","70","47440","38200"
"In post","2021","Public Health England","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Undeclared","20-29","100","90","28560","26880"
"In post","2021","Public Health England","Undeclared","30-39","120","110","43960","39700"
"In post","2021","Public Health England","Undeclared","40-49","120","100","52320","47540"
"In post","2021","Public Health England","Undeclared","50-59","120","110","52670","45750"
"In post","2021","Public Health England","Undeclared","60-64","30","30","[c]","[c]"
"In post","2021","Public Health England","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Unknown","20-29","30","30","[c]","[c]"
"In post","2021","Public Health England","Unknown","30-39","220","210","39220","37450"
"In post","2021","Public Health England","Unknown","40-49","520","480","48860","46840"
"In post","2021","Public Health England","Unknown","50-59","580","550","55720","48830"
"In post","2021","Public Health England","Unknown","60-64","160","150","55330","44950"
"In post","2021","Public Health England","Unknown","65+","70","60","48170","32210"
"In post","2021","Queen Elizabeth II Centre","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Declared disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Declared disabled","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Declared non-disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Declared non-disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Declared non-disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Declared non-disabled","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Declared non-disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Declared non-disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Declared disabled","40-49","30","30","[c]","[c]"
"In post","2021","Registers of Scotland","Declared disabled","50-59","50","50","34130","30080"
"In post","2021","Registers of Scotland","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Declared non-disabled","20-29","90","90","27330","24130"
"In post","2021","Registers of Scotland","Declared non-disabled","30-39","150","140","33220","30080"
"In post","2021","Registers of Scotland","Declared non-disabled","40-49","140","140","35800","34190"
"In post","2021","Registers of Scotland","Declared non-disabled","50-59","130","130","37060","36780"
"In post","2021","Registers of Scotland","Declared non-disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Declared non-disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Unknown","20-29","70","70","27830","24130"
"In post","2021","Registers of Scotland","Unknown","30-39","70","60","33500","30080"
"In post","2021","Registers of Scotland","Unknown","40-49","110","110","33780","30080"
"In post","2021","Registers of Scotland","Unknown","50-59","140","130","32790","30080"
"In post","2021","Registers of Scotland","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Revenue Scotland","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Revenue Scotland","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Revenue Scotland","Declared disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Revenue Scotland","Declared disabled","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Revenue Scotland","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Revenue Scotland","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Revenue Scotland","Declared non-disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Revenue Scotland","Declared non-disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Revenue Scotland","Declared non-disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Revenue Scotland","Declared non-disabled","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Revenue Scotland","Declared non-disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Revenue Scotland","Declared non-disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Revenue Scotland","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Revenue Scotland","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Revenue Scotland","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Revenue Scotland","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Revenue Scotland","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Royal Fleet Auxiliary","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Royal Fleet Auxiliary","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Royal Fleet Auxiliary","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Royal Fleet Auxiliary","Declared disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Royal Fleet Auxiliary","Declared disabled","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Royal Fleet Auxiliary","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Royal Fleet Auxiliary","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Royal Fleet Auxiliary","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Royal Fleet Auxiliary","Declared non-disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Royal Fleet Auxiliary","Declared non-disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Royal Fleet Auxiliary","Declared non-disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Royal Fleet Auxiliary","Declared non-disabled","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Royal Fleet Auxiliary","Declared non-disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Royal Fleet Auxiliary","Declared non-disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Royal Fleet Auxiliary","Unknown","16-19","40","40","[c]","[c]"
"In post","2021","Royal Fleet Auxiliary","Unknown","20-29","360","360","29000","28980"
"In post","2021","Royal Fleet Auxiliary","Unknown","30-39","410","410","37420","34460"
"In post","2021","Royal Fleet Auxiliary","Unknown","40-49","390","390","40220","35380"
"In post","2021","Royal Fleet Auxiliary","Unknown","50-59","500","500","42860","37740"
"In post","2021","Royal Fleet Auxiliary","Unknown","60-64","120","120","40030","37150"
"In post","2021","Royal Fleet Auxiliary","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Rural Payments Agency","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Rural Payments Agency","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Rural Payments Agency","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Rural Payments Agency","Declared disabled","40-49","60","60","25910","21050"
"In post","2021","Rural Payments Agency","Declared disabled","50-59","70","60","27730","25950"
"In post","2021","Rural Payments Agency","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Rural Payments Agency","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Rural Payments Agency","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Rural Payments Agency","Declared non-disabled","20-29","250","250","22630","21050"
"In post","2021","Rural Payments Agency","Declared non-disabled","30-39","400","360","24920","24920"
"In post","2021","Rural Payments Agency","Declared non-disabled","40-49","600","540","27140","25190"
"In post","2021","Rural Payments Agency","Declared non-disabled","50-59","490","450","29000","26010"
"In post","2021","Rural Payments Agency","Declared non-disabled","60-64","160","140","26990","25150"
"In post","2021","Rural Payments Agency","Declared non-disabled","65+","40","30","[c]","[c]"
"In post","2021","Rural Payments Agency","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Rural Payments Agency","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Rural Payments Agency","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Rural Payments Agency","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Rural Payments Agency","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Rural Payments Agency","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Rural Payments Agency","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Rural Payments Agency","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Rural Payments Agency","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Rural Payments Agency","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Rural Payments Agency","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Rural Payments Agency","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Declared disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Declared disabled","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Declared non-disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Declared non-disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Declared non-disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Declared non-disabled","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Declared non-disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Declared non-disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Declared disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Declared disabled","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Declared non-disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Declared non-disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Declared non-disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Declared non-disabled","50-59","30","30","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Declared non-disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Declared non-disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Unknown","20-29","210","200","24880","22820"
"In post","2021","Scottish Courts and Tribunals Service","Unknown","30-39","380","350","28250","29350"
"In post","2021","Scottish Courts and Tribunals Service","Unknown","40-49","340","310","29340","29350"
"In post","2021","Scottish Courts and Tribunals Service","Unknown","50-59","490","440","28380","22820"
"In post","2021","Scottish Courts and Tribunals Service","Unknown","60-64","190","150","26670","22820"
"In post","2021","Scottish Courts and Tribunals Service","Unknown","65+","60","40","23920","22820"
"In post","2021","Scottish Fiscal Commission","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Fiscal Commission","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Fiscal Commission","Declared disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Fiscal Commission","Declared disabled","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Fiscal Commission","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Fiscal Commission","Declared non-disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Fiscal Commission","Declared non-disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Fiscal Commission","Declared non-disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Fiscal Commission","Declared non-disabled","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Fiscal Commission","Declared non-disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Fiscal Commission","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Fiscal Commission","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Fiscal Commission","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Forestry","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Forestry","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Forestry","Declared disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Forestry","Declared disabled","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Forestry","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Forestry","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Forestry","Declared non-disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Forestry","Declared non-disabled","30-39","30","30","[c]","[c]"
"In post","2021","Scottish Forestry","Declared non-disabled","40-49","50","50","35340","35680"
"In post","2021","Scottish Forestry","Declared non-disabled","50-59","60","60","38170","36610"
"In post","2021","Scottish Forestry","Declared non-disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Forestry","Declared non-disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Forestry","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Forestry","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Forestry","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Forestry","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government (excl. agencies)","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government (excl. agencies)","Declared disabled","20-29","130","130","31370","30650"
"In post","2021","Scottish Government (excl. agencies)","Declared disabled","30-39","160","160","38790","36140"
"In post","2021","Scottish Government (excl. agencies)","Declared disabled","40-49","190","180","44570","39660"
"In post","2021","Scottish Government (excl. agencies)","Declared disabled","50-59","170","170","44140","39660"
"In post","2021","Scottish Government (excl. agencies)","Declared disabled","60-64","30","30","[c]","[c]"
"In post","2021","Scottish Government (excl. agencies)","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government (excl. agencies)","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government (excl. agencies)","Declared non-disabled","20-29","660","660","30360","29190"
"In post","2021","Scottish Government (excl. agencies)","Declared non-disabled","30-39","1000","960","42060","38540"
"In post","2021","Scottish Government (excl. agencies)","Declared non-disabled","40-49","1180","1120","49600","46600"
"In post","2021","Scottish Government (excl. agencies)","Declared non-disabled","50-59","1200","1160","49070","46600"
