"Status","Year","Responsibility_level","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","SCS","Analysis","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Analysis","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Analysis","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Analysis","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Analysis","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Analysis","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Analysis","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Analysis","UK Statistics Authority","40","40","[c]","[c]"
"In post","2022","SCS","Analysis","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Commercial","Cabinet Office","240","240","118580","116730"
"In post","2022","SCS","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Commercial","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Commercial","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Commercial","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Commercial","Department of Health and Social Care","50","40","[c]","[c]"
"In post","2022","SCS","Commercial","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Commercial","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Commercial","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Commercial","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Commercial","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Counter Fraud","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Counter Fraud","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Counter Fraud","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Counter Fraud","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Debt","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Cabinet Office","40","40","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Department for Work and Pensions","50","50","94800","89550"
"In post","2022","SCS","Digital, Data & Technology","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","HM Revenue and Customs","60","60","93620","82340"
"In post","2022","SCS","Digital, Data & Technology","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data & Technology","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Department of Health and Social Care","30","30","[c]","[c]"
"In post","2022","SCS","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","HM Revenue and Customs","40","40","[c]","[c]"
"In post","2022","SCS","Finance","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Ministry of Defence","50","50","[c]","[c]"
"In post","2022","SCS","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Grants Management","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Cabinet Office","50","50","[c]","[c]"
"In post","2022","SCS","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Ministry of Defence","40","40","[c]","[c]"
"In post","2022","SCS","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Internal Audit","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Internal Audit","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Internal Audit","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Attorney General's Departments","280","270","86010","82360"
"In post","2022","SCS","Legal","Cabinet Office","50","50","85440","79760"
"In post","2022","SCS","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2022","SCS","Legal","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Cabinet Office","240","240","86940","78000"
"In post","2022","SCS","No function","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Department for Business, Energy and Industrial Strategy","320","310","87110","79110"
"In post","2022","SCS","No function","Department for Digital, Culture, Media and Sport","100","90","83910","75840"
"In post","2022","SCS","No function","Department for Education","220","210","84010","74100"
"In post","2022","SCS","No function","Department for Environment, Food and Rural Affairs","150","140","82890","76660"
"In post","2022","SCS","No function","Department for International Trade","140","140","86680","75570"
"In post","2022","SCS","No function","Department for Levelling Up, Housing and Communities","140","140","86280","76260"
"In post","2022","SCS","No function","Department for Transport","160","150","89360","79740"
"In post","2022","SCS","No function","Department for Work and Pensions","130","120","88650","78140"
"In post","2022","SCS","No function","Department of Health and Social Care","630","590","99860","95140"
"In post","2022","SCS","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Foreign, Commonwealth and Development Office","360","350","87170","78010"
"In post","2022","SCS","No function","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","HM Revenue and Customs","130","120","83680","78420"
"In post","2022","SCS","No function","HM Treasury","150","140","85440","78000"
"In post","2022","SCS","No function","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Ministry of Justice","230","220","88440","83180"
"In post","2022","SCS","No function","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Office of Gas and Electricity Markets","40","30","[c]","[c]"
"In post","2022","SCS","No function","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","SCS","No function","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","Cabinet Office","60","60","114370","115000"
"In post","2022","SCS","Project Delivery","Competition and Markets Authority","70","60","108750","99920"
"In post","2022","SCS","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","Department for Transport","40","40","[c]","[c]"
"In post","2022","SCS","Project Delivery","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","Foreign, Commonwealth and Development Office","80","80","82050","77650"
"In post","2022","SCS","Project Delivery","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","HM Revenue and Customs","140","140","84420","78420"
"In post","2022","SCS","Project Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","Ministry of Defence","130","130","94840","86820"
"In post","2022","SCS","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","Cabinet Office","30","30","[c]","[c]"
"In post","2022","SCS","Property","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Security","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Security","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Security","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Security","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Security","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Security","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Security","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Security","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Security","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Security","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Security","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Security","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Security","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Department for Work and Pensions","40","40","[c]","[c]"
"In post","2022","SCS","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Home Office","310","300","89940","82550"
"In post","2022","SCS","Unknown","Ministry of Defence","170","160","92280","87210"
"In post","2022","SCS","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Scottish Government","250","250","88580","83230"
"In post","2022","SCS","Unknown","Welsh Government","190","180","87120","79650"
"In post","2022","SEO/HEO","Analysis","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Analysis","Chancellor's other departments","60","60","40960","39720"
"In post","2022","SEO/HEO","Analysis","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2022","SEO/HEO","Analysis","Department for Business, Energy and Industrial Strategy","220","220","37470","36060"
"In post","2022","SEO/HEO","Analysis","Department for Digital, Culture, Media and Sport","60","60","37770","38020"
"In post","2022","SEO/HEO","Analysis","Department for Education","110","100","38680","40050"
"In post","2022","SEO/HEO","Analysis","Department for Environment, Food and Rural Affairs","270","260","33060","30440"
"In post","2022","SEO/HEO","Analysis","Department for International Trade","100","100","33560","31800"
"In post","2022","SEO/HEO","Analysis","Department for Levelling Up, Housing and Communities","80","80","35210","34000"
"In post","2022","SEO/HEO","Analysis","Department for Transport","160","160","37400","35060"
"In post","2022","SEO/HEO","Analysis","Department for Work and Pensions","360","340","36350","36340"
"In post","2022","SEO/HEO","Analysis","Department of Health and Social Care","120","120","35930","32970"
"In post","2022","SEO/HEO","Analysis","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Analysis","Food Standards Agency","30","30","[c]","[c]"
"In post","2022","SEO/HEO","Analysis","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Analysis","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Analysis","HM Revenue and Customs","460","440","37990","37930"
"In post","2022","SEO/HEO","Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Analysis","Ministry of Defence","460","440","36480","38070"
"In post","2022","SEO/HEO","Analysis","Ministry of Justice","260","260","38850","39030"
"In post","2022","SEO/HEO","Analysis","Office for Standards in Education, Children's Services and Skills","90","80","35880","33350"
"In post","2022","SEO/HEO","Analysis","Office of Gas and Electricity Markets","60","60","35840","35000"
"In post","2022","SEO/HEO","Analysis","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Analysis","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Analysis","UK Statistics Authority","1260","1210","34580","33710"
"In post","2022","SEO/HEO","Analysis","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Analysis","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Commercial","Cabinet Office","430","420","36400","38330"
"In post","2022","SEO/HEO","Commercial","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Commercial","Department for Business, Energy and Industrial Strategy","130","120","37670","38200"
"In post","2022","SEO/HEO","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Commercial","Department for Education","170","160","34890","36500"
"In post","2022","SEO/HEO","Commercial","Department for Environment, Food and Rural Affairs","140","130","35620","35900"
"In post","2022","SEO/HEO","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Commercial","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Commercial","Department for Transport","190","190","36460","34710"
"In post","2022","SEO/HEO","Commercial","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Commercial","Department of Health and Social Care","170","170","38000","40650"
"In post","2022","SEO/HEO","Commercial","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Commercial","Foreign, Commonwealth and Development Office","60","60","38450","39390"
"In post","2022","SEO/HEO","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Commercial","HM Revenue and Customs","90","80","37820","40180"
"In post","2022","SEO/HEO","Commercial","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Commercial","Ministry of Defence","970","930","37630","38070"
