"Status","Year","Profession_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Statistics","Undeclared","60","50","45500","41590"
"In post","2022","Statistics","Unknown","280","270","38960","36840"
"In post","2022","Statistics","White","1770","1700","44660","40520"
"In post","2022","Tax","Asian","1970","1900","33630","33080"
"In post","2022","Tax","Black","580","570","32980","33080"
"In post","2022","Tax","Mixed","290","280","35710","33370"
"In post","2022","Tax","Other ethnicity","90","80","36150","33370"
"In post","2022","Tax","Undeclared","750","700","41330","37930"
"In post","2022","Tax","Unknown","4570","4380","29910","26820"
"In post","2022","Tax","White","11340","10720","37270","33370"
"In post","2022","Unknown","Asian","1450","1420","38860","34550"
"In post","2022","Unknown","Black","630","620","39630","35590"
"In post","2022","Unknown","Mixed","510","490","43130","37540"
"In post","2022","Unknown","Other ethnicity","130","120","42050","36650"
"In post","2022","Unknown","Undeclared","620","600","44650","39660"
"In post","2022","Unknown","Unknown","9370","9140","40820","32000"
"In post","2022","Unknown","White","19540","18850","42530","36390"
"In post","2022","Veterinarian","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","Black","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","Undeclared","30","30","[c]","[c]"
"In post","2022","Veterinarian","Unknown","50","40","[c]","[c]"
"In post","2022","Veterinarian","White","320","300","44630","41030"
"Leaver CS","2021","Commercial","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","White","150","140","39420","36780"
"Leaver CS","2021","Communications","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","70","70","37220","34340"
"Leaver CS","2021","Communications","White","130","120","37790","33300"
"Leaver CS","2021","Corporate Finance","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Undeclared","40","40","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Unknown","130","120","42170","38450"
"Leaver CS","2021","Digital, Data and Technology","White","250","230","41760","37910"
"Leaver CS","2021","Economics","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","White","60","60","[c]","[c]"
"Leaver CS","2021","Finance","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","Finance","White","170","160","42300","37720"
"Leaver CS","2021","Human Resources","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","Human Resources","White","220","210","38720","34610"
"Leaver CS","2021","Inspector of Education and Training","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","White","70","60","67930","75500"
"Leaver CS","2021","Intelligence Analysis","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","White","60","50","[c]","[c]"
"Leaver CS","2021","Internal Audit","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","White","80","70","33930","30460"
"Leaver CS","2021","Legal","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Unknown","70","60","53120","55000"
"Leaver CS","2021","Legal","White","280","230","53570","54300"
"Leaver CS","2021","Medicine","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","Unknown","50","40","[c]","[c]"
"Leaver CS","2021","Medicine","White","180","150","55880","40890"
"Leaver CS","2021","Operational Delivery","Asian","270","240","26930","23500"
"Leaver CS","2021","Operational Delivery","Black","200","190","26430","23730"
"Leaver CS","2021","Operational Delivery","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Mixed","130","120","29380","23520"
"Leaver CS","2021","Operational Delivery","Other ethnicity","50","40","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Undeclared","320","270","28830","25870"
"Leaver CS","2021","Operational Delivery","Unknown","2100","1980","26300","22350"
"Leaver CS","2021","Operational Delivery","White","5170","4510","28470","23220"
"Leaver CS","2021","Operational Research","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","White","30","30","[c]","[c]"
"Leaver CS","2021","Other","Asian","40","30","[c]","[c]"
"Leaver CS","2021","Other","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Undeclared","70","70","29150","26670"
"Leaver CS","2021","Other","Unknown","340","340","32240","29930"
"Leaver CS","2021","Other","White","980","930","29700","26670"
"Leaver CS","2021","Planning","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Asian","40","40","[c]","[c]"
"Leaver CS","2021","Policy","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Unknown","280","280","41900","35150"
"Leaver CS","2021","Policy","White","420","400","49800","44770"
"Leaver CS","2021","Project Delivery","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Unknown","70","60","33370","29990"
"Leaver CS","2021","Project Delivery","White","320","300","42870","39510"
"Leaver CS","2021","Property","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Unknown","120","100","29360","25500"
"Leaver CS","2021","Property","White","260","230","33520","31240"
"Leaver CS","2021","Psychology","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Psychology","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Psychology","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Psychology","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Psychology","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Psychology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Psychology","White","70","60","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Asian","60","60","29120","26880"
"Leaver CS","2021","Science and Engineering","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Undeclared","80","70","34410","34530"
"Leaver CS","2021","Science and Engineering","Unknown","100","90","28580","24780"
"Leaver CS","2021","Science and Engineering","White","540","510","33500","29940"
"Leaver CS","2021","Security","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Unknown","70","70","28060","25610"
"Leaver CS","2021","Security","White","290","280","30440","26930"
"Leaver CS","2021","Social Research","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Social Research","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Social Research","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Social Research","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Social Research","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Social Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Social Research","White","30","30","[c]","[c]"
"Leaver CS","2021","Statistics","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Statistics","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Statistics","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Statistics","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Statistics","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Statistics","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Statistics","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Asian","600","510","27260","25110"
"Leaver CS","2021","Unknown","Black","250","220","28540","25120"
"Leaver CS","2021","Unknown","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Mixed","160","140","27620","26120"
"Leaver CS","2021","Unknown","Other ethnicity","50","40","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","580","490","29680","27570"
"Leaver CS","2021","Unknown","Unknown","2920","2500","32670","27570"
"Leaver CS","2021","Unknown","White","7700","6320","29320","26890"
"Leaver CS","2021","Veterinarian","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinarian","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinarian","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinarian","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinarian","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinarian","White","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Unknown","100","50","[c]","[c]"
"Leaver CS","2022","Commercial","White","250","220","39570","36780"
"Leaver CS","2022","Communications","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","110","80","40200","33840"
"Leaver CS","2022","Communications","White","200","180","39450","37320"
"Leaver CS","2022","Corporate Finance","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","White","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Undeclared","30","30","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","White","200","150","28530","27570"
"Leaver CS","2022","Digital, Data and Technology","Asian","120","120","40080","38050"
"Leaver CS","2022","Digital, Data and Technology","Black","40","40","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Undeclared","90","90","39190","36840"
"Leaver CS","2022","Digital, Data and Technology","Unknown","300","260","41240","38450"
"Leaver CS","2022","Digital, Data and Technology","White","790","750","41900","38420"
"Leaver CS","2022","Economics","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Economics","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Economics","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Economics","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Economics","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Economics","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Economics","White","100","90","38740","34720"
"Leaver CS","2022","Finance","Asian","40","40","[c]","[c]"
"Leaver CS","2022","Finance","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Undeclared","30","30","[c]","[c]"
"Leaver CS","2022","Finance","Unknown","110","70","32680","27380"
"Leaver CS","2022","Finance","White","430","390","40170","33300"
"Leaver CS","2022","Geography","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Geography","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Geography","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Geography","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Geography","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Geography","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Geography","White","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Asian","40","40","[c]","[c]"
"Leaver CS","2022","Human Resources","Black","30","30","[c]","[c]"
"Leaver CS","2022","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Unknown","80","70","28450","26350"
"Leaver CS","2022","Human Resources","White","390","350","38440","33310"
"Leaver CS","2022","Inspector of Education and Training","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Inspector of Education and Training","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Inspector of Education and Training","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Inspector of Education and Training","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Inspector of Education and Training","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Inspector of Education and Training","White","110","100","66550","75480"
"Leaver CS","2022","Intelligence Analysis","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","White","100","90","31710","29250"
"Leaver CS","2022","Internal Audit","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","White","40","40","[c]","[c]"
"Leaver CS","2022","International Trade","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","Unknown","50","50","[c]","[c]"
"Leaver CS","2022","International Trade","White","40","40","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Asian","40","40","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Undeclared","40","40","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","White","320","290","35140","30500"
"Leaver CS","2022","Legal","Asian","40","40","[c]","[c]"
"Leaver CS","2022","Legal","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Unknown","60","50","56560","55000"
"Leaver CS","2022","Legal","White","350","310","56790","55000"
"Leaver CS","2022","Medicine","Asian","40","40","[c]","[c]"
"Leaver CS","2022","Medicine","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Unknown","70","50","42210","34770"
"Leaver CS","2022","Medicine","White","290","250","59400","42120"
"Leaver CS","2022","Operational Delivery","Asian","1100","990","28220","27570"
"Leaver CS","2022","Operational Delivery","Black","830","770","29440","28170"
"Leaver CS","2022","Operational Delivery","Mixed","460","430","28080","27570"
"Leaver CS","2022","Operational Delivery","Other ethnicity","120","110","29960","27570"
