"Status","Year","Profession_of_post","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Operational Delivery","Male","Grants Management","960","930","25520","21300"
"In post","2022","Operational Delivery","Male","Human Resources","550","540","30320","27570"
"In post","2022","Operational Delivery","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Male","Legal","920","900","27630","25920"
"In post","2022","Operational Delivery","Male","No function","82720","79070","29780","27570"
"In post","2022","Operational Delivery","Male","Project Delivery","810","800","39210","36570"
"In post","2022","Operational Delivery","Male","Property","480","470","30460","22110"
"In post","2022","Operational Delivery","Male","Security","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Male","Unknown","13060","12470","29400","26160"
"In post","2022","Operational Delivery","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Female","Analysis","270","250","42780","38340"
"In post","2022","Operational Research","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Female","No function","120","120","43840","47010"
"In post","2022","Operational Research","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Female","Unknown","40","30","[c]","[c]"
"In post","2022","Operational Research","Male","Analysis","450","430","45680","47010"
"In post","2022","Operational Research","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Male","No function","160","160","46820","47010"
"In post","2022","Operational Research","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Male","Unknown","60","60","45940","42020"
"In post","2022","Operational Research","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Other","Female","Analysis","150","140","54690","52080"
"In post","2022","Other","Female","Commercial","50","50","38770","36890"
"In post","2022","Other","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Other","Female","Counter Fraud","170","150","40190","35110"
"In post","2022","Other","Female","Debt","1700","1380","22630","21260"
"In post","2022","Other","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Other","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Other","Female","Human Resources","50","50","33530","32340"
"In post","2022","Other","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Other","Female","Legal","300","290","33910","27580"
"In post","2022","Other","Female","No function","4640","4280","31300","27570"
"In post","2022","Other","Female","Project Delivery","1410","1290","34250","28940"
"In post","2022","Other","Female","Property","120","120","28110","26900"
"In post","2022","Other","Female","Security","[c]","[c]","[c]","[c]"
"In post","2022","Other","Female","Unknown","7350","6950","27660","22330"
"In post","2022","Other","Male","Analysis","230","220","58320","48770"
"In post","2022","Other","Male","Commercial","40","40","[c]","[c]"
"In post","2022","Other","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Other","Male","Counter Fraud","150","150","43780","40180"
"In post","2022","Other","Male","Debt","800","750","22540","21260"
"In post","2022","Other","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Other","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Other","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Other","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Other","Male","Legal","160","150","33840","28990"
"In post","2022","Other","Male","No function","2860","2770","33800","27570"
"In post","2022","Other","Male","Project Delivery","1980","1950","35820","32120"
"In post","2022","Other","Male","Property","390","380","29140","26900"
"In post","2022","Other","Male","Security","[c]","[c]","[c]","[c]"
"In post","2022","Other","Male","Unknown","7590","7500","30850","27720"
"In post","2022","Other","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2022","Planning","Female","No function","80","70","44960","40720"
"In post","2022","Planning","Female","Unknown","30","30","[c]","[c]"
"In post","2022","Planning","Male","No function","80","80","44590","40590"
"In post","2022","Planning","Male","Unknown","40","40","[c]","[c]"
"In post","2022","Planning Inspectors","Female","No function","140","120","55350","58810"
"In post","2022","Planning Inspectors","Male","No function","240","210","56840","58810"
"In post","2022","Policy","Female","Analysis","300","280","49110","50630"
"In post","2022","Policy","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Female","Digital, Data & Technology","160","150","43760","40230"
"In post","2022","Policy","Female","Finance","30","30","[c]","[c]"
"In post","2022","Policy","Female","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Female","Legal","50","50","44540","41750"
"In post","2022","Policy","Female","No function","12690","12200","45820","40650"
"In post","2022","Policy","Female","Project Delivery","1150","1090","52640","53000"
"In post","2022","Policy","Female","Property","30","30","[c]","[c]"
"In post","2022","Policy","Female","Security","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Female","Unknown","3440","3280","45440","41950"
"In post","2022","Policy","Male","Analysis","270","270","49070","50400"
"In post","2022","Policy","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Male","Digital, Data & Technology","100","90","45390","40300"
"In post","2022","Policy","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Male","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Male","Legal","50","40","[c]","[c]"
"In post","2022","Policy","Male","No function","10860","10750","48090","45440"
"In post","2022","Policy","Male","Project Delivery","1010","980","55100","55210"
"In post","2022","Policy","Male","Property","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Male","Security","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Male","Unknown","2670","2640","48520","44500"
"In post","2022","Project Delivery","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Female","Commercial","30","30","[c]","[c]"
"In post","2022","Project Delivery","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Female","Digital, Data & Technology","110","100","38560","34290"
"In post","2022","Project Delivery","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Female","No function","270","270","42430","38810"
"In post","2022","Project Delivery","Female","Project Delivery","6540","6140","41330","39330"
"In post","2022","Project Delivery","Female","Property","30","30","[c]","[c]"
"In post","2022","Project Delivery","Female","Security","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Female","Unknown","1090","1040","43180","38160"
"In post","2022","Project Delivery","Male","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Male","Commercial","60","60","47790","45610"
"In post","2022","Project Delivery","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Male","Digital, Data & Technology","80","80","42080","39650"
"In post","2022","Project Delivery","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Male","No function","210","210","48630","51710"
"In post","2022","Project Delivery","Male","Project Delivery","6430","6300","45360","40860"
"In post","2022","Project Delivery","Male","Property","40","40","[c]","[c]"
"In post","2022","Project Delivery","Male","Security","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Male","Unknown","860","840","45570","41950"
"In post","2022","Project Delivery","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Property","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Property","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Property","Female","Finance","30","30","[c]","[c]"
"In post","2022","Property","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Property","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Property","Female","No function","[c]","[c]","[c]","[c]"
"In post","2022","Property","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Property","Female","Property","3000","2800","35830","33080"
"In post","2022","Property","Female","Unknown","30","30","[c]","[c]"
"In post","2022","Property","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Property","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Property","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Property","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Property","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Property","Male","No function","[c]","[c]","[c]","[c]"
"In post","2022","Property","Male","Project Delivery","40","40","[c]","[c]"
"In post","2022","Property","Male","Property","4360","4240","39380","35900"
"In post","2022","Property","Male","Unknown","50","50","[c]","[c]"
"In post","2022","Psychology","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","Female","No function","1330","1270","35570","31180"
"In post","2022","Psychology","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","Male","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","Male","No function","190","180","36600","31180"
"In post","2022","Psychology","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Female","Analysis","300","280","34790","30220"
"In post","2022","Science and Engineering","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Female","Digital, Data & Technology","340","310","36280","37420"
"In post","2022","Science and Engineering","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Female","No function","2960","2760","39120","38070"
"In post","2022","Science and Engineering","Female","Project Delivery","410","400","38150","34560"
"In post","2022","Science and Engineering","Female","Security","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Female","Unknown","320","310","40810","37730"
"In post","2022","Science and Engineering","Male","Analysis","400","390","39640","37960"
"In post","2022","Science and Engineering","Male","Commercial","100","100","43020","42120"
"In post","2022","Science and Engineering","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Male","Digital, Data & Technology","640","610","40280","39650"
"In post","2022","Science and Engineering","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Male","No function","3700","3600","41640","39330"
"In post","2022","Science and Engineering","Male","Project Delivery","3110","3040","39020","38000"
"In post","2022","Science and Engineering","Male","Security","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Male","Unknown","1620","1590","34960","29670"
"In post","2022","Security","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Security","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Security","Female","Finance","130","120","39700","36600"
"In post","2022","Security","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Security","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Security","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Security","Female","No function","[c]","[c]","[c]","[c]"
"In post","2022","Security","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Security","Female","Property","[c]","[c]","[c]","[c]"
"In post","2022","Security","Female","Security","1830","1770","32330","29360"
"In post","2022","Security","Female","Unknown","130","120","33980","30820"
"In post","2022","Security","Male","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Security","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Security","Male","Finance","190","180","44060","38430"
"In post","2022","Security","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Security","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Security","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Security","Male","No function","[c]","[c]","[c]","[c]"
"In post","2022","Security","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Security","Male","Property","[c]","[c]","[c]","[c]"
"In post","2022","Security","Male","Security","6680","6560","31850","28750"
"In post","2022","Security","Male","Unknown","220","220","29840","25630"
"In post","2022","Social Research","Female","Analysis","760","720","41550","38340"
"In post","2022","Social Research","Female","No function","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","Female","Unknown","170","160","44590","43560"
"In post","2022","Social Research","Male","Analysis","330","320","42490","38340"
"In post","2022","Social Research","Male","No function","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","Male","Unknown","70","70","46870","43950"
"In post","2022","Social Research","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Female","Analysis","940","890","44140","40180"
"In post","2022","Statistics","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Female","No function","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Female","Unknown","120","110","37800","35490"
"In post","2022","Statistics","Male","Analysis","1120","1100","43890","39840"
"In post","2022","Statistics","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Male","No function","40","40","[c]","[c]"
"In post","2022","Statistics","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Male","Unknown","110","110","38890","35490"
"In post","2022","Statistics","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Tax","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Tax","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Tax","Female","Communications","1140","1070","28940","26820"
"In post","2022","Tax","Female","Counter Fraud","820","750","40050","37610"
"In post","2022","Tax","Female","Debt","440","410","22370","21250"
"In post","2022","Tax","Female","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2022","Tax","Female","Finance","50","50","[c]","[c]"
"In post","2022","Tax","Female","Human Resources","110","110","34650","33080"
"In post","2022","Tax","Female","Legal","170","150","40260","35980"
"In post","2022","Tax","Female","No function","6210","5770","34720","33370"
"In post","2022","Tax","Female","Project Delivery","310","280","35240","33370"
"In post","2022","Tax","Male","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Tax","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Tax","Male","Communications","1360","1340","29020","26820"
"In post","2022","Tax","Male","Counter Fraud","1090","1040","43290","40180"
"In post","2022","Tax","Male","Debt","420","410","22030","21250"
"In post","2022","Tax","Male","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2022","Tax","Male","Finance","50","50","[c]","[c]"
"In post","2022","Tax","Male","Human Resources","100","90","35840","33370"
"In post","2022","Tax","Male","Legal","180","170","42760","40520"
"In post","2022","Tax","Male","No function","6730","6510","37240","33370"
"In post","2022","Tax","Male","Project Delivery","340","320","35460","33370"
"In post","2022","Unknown","Female","Analysis","70","60","42560","37610"
"In post","2022","Unknown","Female","Commercial","820","800","64780","62820"
"In post","2022","Unknown","Female","Communications","340","330","45110","40600"
"In post","2022","Unknown","Female","Counter Fraud","390","380","33610","30750"
"In post","2022","Unknown","Female","Debt","60","50","26130","21250"
"In post","2022","Unknown","Female","Digital, Data & Technology","660","640","47600","49700"
"In post","2022","Unknown","Female","Finance","140","130","44020","40180"
"In post","2022","Unknown","Female","Human Resources","870","820","39610","35430"
"In post","2022","Unknown","Female","Legal","120","110","55680","58600"
"In post","2022","Unknown","Female","No function","4080","3960","37560","32000"
"In post","2022","Unknown","Female","Project Delivery","170","170","52260","42440"
"In post","2022","Unknown","Female","Property","60","60","46170","40420"
"In post","2022","Unknown","Female","Security","510","480","32990","32000"
"In post","2022","Unknown","Female","Unknown","9010","8510","39970","34600"
"In post","2022","Unknown","Male","Analysis","90","80","39700","37610"
"In post","2022","Unknown","Male","Commercial","860","860","72930","65640"
"In post","2022","Unknown","Male","Communications","220","220","43370","37300"
"In post","2022","Unknown","Male","Counter Fraud","400","400","33850","30750"
"In post","2022","Unknown","Male","Debt","60","50","26360","21250"
"In post","2022","Unknown","Male","Digital, Data & Technology","870","870","51000","54700"
"In post","2022","Unknown","Male","Finance","190","190","48210","43430"
"In post","2022","Unknown","Male","Human Resources","450","450","40790","35590"
"In post","2022","Unknown","Male","Legal","110","110","61990","62120"
"In post","2022","Unknown","Male","No function","3700","3670","39400","33080"
"In post","2022","Unknown","Male","Project Delivery","190","190","61190","54700"
"In post","2022","Unknown","Male","Property","60","50","53610","54700"
"In post","2022","Unknown","Male","Security","480","470","34860","33300"
"In post","2022","Unknown","Male","Unknown","7290","7160","40740","36130"
"In post","2022","Veterinarian","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","Female","No function","220","210","42700","37910"
"In post","2022","Veterinarian","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","Male","No function","180","170","44110","40820"
"In post","2022","Veterinarian","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Female","Commercial","60","60","40530","36070"
"Leaver CS","2021","Commercial","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Male","Commercial","70","70","39810","36470"
"Leaver CS","2021","Commercial","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Male","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Female","Communications","100","90","36910","33850"
"Leaver CS","2021","Communications","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Female","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Female","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","Communications","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Male","Communications","70","70","37750","32700"
"Leaver CS","2021","Communications","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Male","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Female","Digital, Data & Technology","110","100","40880","36700"
"Leaver CS","2021","Digital, Data and Technology","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Female","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Male","Digital, Data & Technology","250","240","42010","38450"
"Leaver CS","2021","Digital, Data and Technology","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Male","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Male","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Male","Unknown","50","50","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Female","Analysis","30","30","[c]","[c]"
"Leaver CS","2021","Economics","Female","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Male","Analysis","70","70","[c]","[c]"
"Leaver CS","2021","Economics","Male","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Female","Finance","100","90","39750","33940"
"Leaver CS","2021","Finance","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Female","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Male","Finance","90","90","45340","44790"
"Leaver CS","2021","Finance","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Male","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Male","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Female","Human Resources","170","160","38010","32430"
"Leaver CS","2021","Human Resources","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Female","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Male","Human Resources","90","90","40340","35250"
"Leaver CS","2021","Human Resources","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Male","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","Female","No function","50","40","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","Male","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Female","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Male","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Male","Unknown","50","40","[c]","[c]"
"Leaver CS","2021","Internal Audit","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Female","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Male","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","Female","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","Male","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Female","No function","50","50","36210","32490"
"Leaver CS","2021","Knowledge and Information Management","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Male","Analysis","[c]","[c]","[c]","[c]"
