"Status","Year","Profession_of_post","Responsibility_level","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Science and Engineering","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","AA/AO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","AA/AO","No function","710","670","22000","21580"
"In post","2021","Science and Engineering","AA/AO","Project Delivery","60","60","19270","19810"
"In post","2021","Science and Engineering","AA/AO","Unknown","590","580","21710","22080"
"In post","2021","Science and Engineering","EO","Analysis","100","90","25200","24920"
"In post","2021","Science and Engineering","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","EO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","EO","No function","690","670","26640","26880"
"In post","2021","Science and Engineering","EO","Project Delivery","760","750","24530","26070"
"In post","2021","Science and Engineering","EO","Unknown","420","410","27150","26670"
"In post","2021","Science and Engineering","G6/G7","Analysis","150","140","52950","48080"
"In post","2021","Science and Engineering","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","G6/G7","Digital, Data & Technology","180","160","52650","48840"
"In post","2021","Science and Engineering","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","G6/G7","No function","2140","2020","54920","53430"
"In post","2021","Science and Engineering","G6/G7","Project Delivery","330","320","57170","55610"
"In post","2021","Science and Engineering","G6/G7","Unknown","320","300","61910","60780"
"In post","2021","Science and Engineering","SCS","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","SCS","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","SCS","No function","70","60","100380","96370"
"In post","2021","Science and Engineering","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","SCS","Unknown","50","50","[c]","[c]"
"In post","2021","Science and Engineering","SEO/HEO","Analysis","380","360","33190","30660"
"In post","2021","Science and Engineering","SEO/HEO","Commercial","80","80","37910","39860"
"In post","2021","Science and Engineering","SEO/HEO","Digital, Data & Technology","320","300","38000","39650"
"In post","2021","Science and Engineering","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","SEO/HEO","No function","3360","3180","36230","37320"
"In post","2021","Science and Engineering","SEO/HEO","Project Delivery","1600","1560","37870","38190"
"In post","2021","Science and Engineering","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","SEO/HEO","Unknown","860","830","40030","40450"
"In post","2021","Science and Engineering","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Unknown","Project Delivery","700","690","41080","40250"
"In post","2021","Science and Engineering","Unknown","Unknown","110","110","28370","27370"
"In post","2021","Security","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Security","AA/AO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Security","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Security","AA/AO","Security","5260","5160","26980","22650"
"In post","2021","Security","AA/AO","Unknown","150","150","22320","22210"
"In post","2021","Security","EO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Security","EO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Security","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Security","EO","Security","1010","990","33210","29250"
"In post","2021","Security","EO","Unknown","70","60","28380","28850"
"In post","2021","Security","G6/G7","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Security","G6/G7","No function","50","50","[c]","[c]"
"In post","2021","Security","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Security","G6/G7","Property","[c]","[c]","[c]","[c]"
"In post","2021","Security","G6/G7","Security","230","230","60790","59160"
"In post","2021","Security","G6/G7","Unknown","30","30","[c]","[c]"
"In post","2021","Security","SCS","No function","[c]","[c]","[c]","[c]"
"In post","2021","Security","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Security","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2021","Security","SEO/HEO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Security","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Security","SEO/HEO","No function","120","120","40100","42470"
"In post","2021","Security","SEO/HEO","Project Delivery","40","40","[c]","[c]"
"In post","2021","Security","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Security","SEO/HEO","Security","1050","1030","41190","38160"
"In post","2021","Security","SEO/HEO","Unknown","100","100","37260","35300"
"In post","2021","Security","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Security","Unknown","Security","60","60","37050","37170"
"In post","2021","Social Research","AA/AO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","AA/AO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","EO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","G6/G7","Analysis","260","240","55560","54780"
"In post","2021","Social Research","G6/G7","No function","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","G6/G7","Unknown","40","40","[c]","[c]"
"In post","2021","Social Research","SCS","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","SCS","No function","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","SEO/HEO","Analysis","590","560","35100","36030"
"In post","2021","Social Research","SEO/HEO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","SEO/HEO","Unknown","170","170","45040","47000"
"In post","2021","Statistics","AA/AO","Analysis","30","30","[c]","[c]"
"In post","2021","Statistics","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","EO","Analysis","200","200","27320","27200"
"In post","2021","Statistics","EO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","EO","Unknown","50","40","[c]","[c]"
"In post","2021","Statistics","G6/G7","Analysis","570","550","56830","57110"
"In post","2021","Statistics","G6/G7","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","G6/G7","No function","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","G6/G7","Unknown","40","40","[c]","[c]"
"In post","2021","Statistics","SCS","Analysis","50","50","85140","78340"
"In post","2021","Statistics","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SEO/HEO","Analysis","930","900","36540","36780"
"In post","2021","Statistics","SEO/HEO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SEO/HEO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SEO/HEO","Unknown","80","80","39730","39310"
"In post","2021","Tax","AA/AO","Communications","50","40","[c]","[c]"
"In post","2021","Tax","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Tax","AA/AO","Debt","940","910","20280","20140"
"In post","2021","Tax","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Tax","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Tax","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Tax","AA/AO","No function","2770","2590","20240","20140"
"In post","2021","Tax","EO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Tax","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Tax","EO","Communications","1590","1530","25660","25560"
"In post","2021","Tax","EO","Counter Fraud","440","410","27190","25560"
"In post","2021","Tax","EO","Debt","50","50","[c]","[c]"
"In post","2021","Tax","EO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Tax","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Tax","EO","Human Resources","60","50","26750","25560"
"In post","2021","Tax","EO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Tax","EO","No function","1850","1670","27130","25560"
"In post","2021","Tax","EO","Project Delivery","30","30","[c]","[c]"
"In post","2021","Tax","G6/G7","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Tax","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Tax","G6/G7","Counter Fraud","510","490","57320","52580"
"In post","2021","Tax","G6/G7","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Tax","G6/G7","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Tax","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Tax","G6/G7","Human Resources","30","30","[c]","[c]"
"In post","2021","Tax","G6/G7","Legal","80","80","55070","52580"
"In post","2021","Tax","G6/G7","No function","2000","1910","56910","52580"
"In post","2021","Tax","G6/G7","Project Delivery","40","40","[c]","[c]"
"In post","2021","Tax","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Tax","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Tax","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Tax","SCS","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Tax","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Tax","SCS","No function","70","70","82370","78760"
"In post","2021","Tax","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Tax","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Tax","SEO/HEO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Tax","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Tax","SEO/HEO","Communications","490","480","32510","31810"
"In post","2021","Tax","SEO/HEO","Counter Fraud","930","870","35080","33150"
"In post","2021","Tax","SEO/HEO","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Tax","SEO/HEO","Digital, Data & Technology","50","50","[c]","[c]"
"In post","2021","Tax","SEO/HEO","Finance","30","30","[c]","[c]"
"In post","2021","Tax","SEO/HEO","Human Resources","80","80","34250","32460"
"In post","2021","Tax","SEO/HEO","Legal","250","240","34480","31810"
"In post","2021","Tax","SEO/HEO","No function","5250","4950","34680","31940"
"In post","2021","Tax","SEO/HEO","Project Delivery","50","50","[c]","[c]"
"In post","2021","Tax","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Debt","70","60","20480","20140"
"In post","2021","Unknown","AA/AO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Finance","40","30","[c]","[c]"
"In post","2021","Unknown","AA/AO","Human Resources","210","190","20850","20800"
"In post","2021","Unknown","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","No function","1580","1490","20600","20140"
"In post","2021","Unknown","AA/AO","Project Delivery","90","80","23090","22920"
"In post","2021","Unknown","AA/AO","Property","400","390","25540","26530"
"In post","2021","Unknown","AA/AO","Security","240","220","20930","20920"
"In post","2021","Unknown","AA/AO","Unknown","31670","27330","21290","21010"
"In post","2021","Unknown","EO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Commercial","30","30","[c]","[c]"
"In post","2021","Unknown","EO","Communications","290","280","26000","25560"
"In post","2021","Unknown","EO","Counter Fraud","70","70","26750","25560"
"In post","2021","Unknown","EO","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Digital, Data & Technology","130","120","27100","27500"
"In post","2021","Unknown","EO","Finance","40","40","[c]","[c]"
"In post","2021","Unknown","EO","Human Resources","250","240","26410","25760"
"In post","2021","Unknown","EO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","No function","860","840","26450","25560"
"In post","2021","Unknown","EO","Project Delivery","90","90","29510","29140"
"In post","2021","Unknown","EO","Property","220","210","31720","30160"
"In post","2021","Unknown","EO","Security","140","140","26580","26670"
"In post","2021","Unknown","EO","Unknown","51050","46330","28110","27570"
"In post","2021","Unknown","G6/G7","Analysis","30","30","[c]","[c]"
"In post","2021","Unknown","G6/G7","Commercial","790","780","63300","56860"
"In post","2021","Unknown","G6/G7","Communications","150","150","59090","57670"
"In post","2021","Unknown","G6/G7","Counter Fraud","50","50","58400","58120"
"In post","2021","Unknown","G6/G7","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Digital, Data & Technology","680","670","58080","56340"
"In post","2021","Unknown","G6/G7","Finance","90","90","57650","56690"
"In post","2021","Unknown","G6/G7","Human Resources","320","310","57600","56520"
"In post","2021","Unknown","G6/G7","Legal","60","60","62140","59160"
"In post","2021","Unknown","G6/G7","No function","1220","1200","58530","56340"
"In post","2021","Unknown","G6/G7","Project Delivery","130","130","59830","58700"
"In post","2021","Unknown","G6/G7","Property","70","70","57760","56360"
"In post","2021","Unknown","G6/G7","Security","90","80","58620","54700"
"In post","2021","Unknown","G6/G7","Unknown","5940","5710","59660","59590"
"In post","2021","Unknown","SCS","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Commercial","480","470","93150","74000"
"In post","2021","Unknown","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Digital, Data & Technology","50","50","102590","96190"
"In post","2021","Unknown","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Human Resources","50","50","[c]","[c]"
"In post","2021","Unknown","SCS","Legal","60","60","88220","80020"
"In post","2021","Unknown","SCS","No function","340","330","87370","78040"
"In post","2021","Unknown","SCS","Project Delivery","80","80","106730","103320"
"In post","2021","Unknown","SCS","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Unknown","530","520","89670","83230"
"In post","2021","Unknown","SEO/HEO","Analysis","40","40","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Commercial","140","130","37680","38220"
"In post","2021","Unknown","SEO/HEO","Communications","320","320","36000","34640"
"In post","2021","Unknown","SEO/HEO","Counter Fraud","90","90","34540","34550"
"In post","2021","Unknown","SEO/HEO","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Digital, Data & Technology","460","450","36480","36160"
"In post","2021","Unknown","SEO/HEO","Finance","140","140","37320","37530"
"In post","2021","Unknown","SEO/HEO","Human Resources","490","470","36100","35790"
"In post","2021","Unknown","SEO/HEO","Legal","50","50","34710","31810"
"In post","2021","Unknown","SEO/HEO","No function","3270","3250","32490","32000"
"In post","2021","Unknown","SEO/HEO","Project Delivery","170","160","38230","37530"
"In post","2021","Unknown","SEO/HEO","Property","140","140","39300","37530"
"In post","2021","Unknown","SEO/HEO","Security","390","370","35290","33630"
"In post","2021","Unknown","SEO/HEO","Unknown","15830","15030","36140","35110"
"In post","2021","Unknown","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Unknown","220","220","[c]","[c]"
"In post","2021","Veterinarian","AA/AO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","EO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","G6/G7","No function","130","130","55380","54330"
"In post","2021","Veterinarian","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","SCS","No function","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","SEO/HEO","No function","290","270","40580","37910"
"In post","2022","Commercial","AA/AO","Commercial","230","210","22630","21840"
"In post","2022","Commercial","AA/AO","Finance","70","60","21220","21260"
"In post","2022","Commercial","AA/AO","No function","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","EO","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","EO","Commercial","610","590","26640","26350"
"In post","2022","Commercial","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","EO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","EO","Finance","80","80","27580","27570"
"In post","2022","Commercial","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","EO","No function","60","60","28480","28640"
"In post","2022","Commercial","EO","Project Delivery","100","90","23050","23000"
"In post","2022","Commercial","EO","Security","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","EO","Unknown","40","40","[c]","[c]"
"In post","2022","Commercial","G6/G7","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Commercial","790","770","56650","54140"
"In post","2022","Commercial","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Finance","130","130","55010","51800"
"In post","2022","Commercial","G6/G7","No function","130","120","69770","68720"
"In post","2022","Commercial","G6/G7","Project Delivery","150","150","57500","54740"
"In post","2022","Commercial","G6/G7","Property","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS","Commercial","70","70","84990","78520"
"In post","2022","Commercial","SCS","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS","No function","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Commercial","2210","2140","37150","37100"
"In post","2022","Commercial","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Finance","340","320","34800","34290"
"In post","2022","Commercial","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","No function","260","250","43480","44630"
"In post","2022","Commercial","SEO/HEO","Project Delivery","490","470","35210","35000"
"In post","2022","Commercial","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Unknown","110","110","38510","39080"
"In post","2022","Commercial","Unknown","Commercial","170","160","40030","37400"
"In post","2022","Commercial","Unknown","No function","30","30","[c]","[c]"
"In post","2022","Communications","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","Communications","190","180","22130","21460"
"In post","2022","Communications","AA/AO","No function","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Communications","510","490","27740","27270"
"In post","2022","Communications","EO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","No function","40","40","[c]","[c]"
"In post","2022","Communications","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Property","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Unknown","30","30","[c]","[c]"
"In post","2022","Communications","G6/G7","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Communications","890","860","58720","56660"
"In post","2022","Communications","G6/G7","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","No function","80","80","56030","54400"
"In post","2022","Communications","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Property","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Unknown","90","90","60300","57460"
"In post","2022","Communications","SCS","Communications","100","100","89290","85000"
"In post","2022","Communications","SCS","No function","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Communications","1740","1690","37820","37650"
"In post","2022","Communications","SEO/HEO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","No function","130","120","35920","36500"
"In post","2022","Communications","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Unknown","190","190","40730","40050"
"In post","2022","Communications","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","EO","No function","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","G6/G7","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","G6/G7","Finance","40","40","[c]","[c]"
"In post","2022","Corporate Finance","G6/G7","No function","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","SCS","No function","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","SEO/HEO","Finance","50","50","[c]","[c]"
"In post","2022","Corporate Finance","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","SEO/HEO","No function","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","AA/AO","Counter Fraud","1460","1250","22530","21260"
"In post","2022","Counter Fraud","AA/AO","No function","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","AA/AO","Unknown","30","30","[c]","[c]"
"In post","2022","Counter Fraud","EO","Counter Fraud","3500","3140","28230","27570"
"In post","2022","Counter Fraud","EO","No function","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","EO","Unknown","120","110","25830","25310"
"In post","2022","Counter Fraud","G6/G7","Counter Fraud","160","160","59890","58700"
"In post","2022","Counter Fraud","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","G6/G7","No function","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","SCS","No function","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","SEO/HEO","Counter Fraud","1270","1200","35480","34290"
"In post","2022","Counter Fraud","SEO/HEO","No function","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","SEO/HEO","Unknown","30","30","[c]","[c]"
"In post","2022","Digital, Data and Technology","AA/AO","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","AA/AO","Digital, Data & Technology","630","610","21810","21290"
"In post","2022","Digital, Data and Technology","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","AA/AO","No function","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","AA/AO","Security","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","EO","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","EO","Digital, Data & Technology","3240","3100","27740","27570"
"In post","2022","Digital, Data and Technology","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","EO","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","EO","No function","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","EO","Security","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","EO","Unknown","160","150","28390","28710"
"In post","2022","Digital, Data and Technology","G6/G7","Analysis","60","60","56440","53760"
"In post","2022","Digital, Data and Technology","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
