"Status","Year","Sex","Region_ITL2","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Male","Northern Ireland","Northern Ireland","140","130","28300","23500"
"Leaver CS","2022","Male","Northumberland, and Tyne and Wear","North East (England)","710","640","28600","21260"
"Leaver CS","2022","Male","Outer London - East and North East","London","180","170","30160","31060"
"Leaver CS","2022","Male","Outer London - South","London","350","330","36790","31060"
"Leaver CS","2022","Male","Outer London - West and North West","London","410","360","32900","31060"
"Leaver CS","2022","Male","Overseas","Overseas","80","70","52240","46600"
"Leaver CS","2022","Male","Shropshire and Staffordshire","West Midlands (England)","360","340","29800","27570"
"Leaver CS","2022","Male","South Yorkshire","Yorkshire and The Humber","340","320","31920","27570"
"Leaver CS","2022","Male","Southern Scotland","Scotland","240","220","31830","27570"
"Leaver CS","2022","Male","Surrey, East and West Sussex","South East (England)","400","370","30680","27570"
"Leaver CS","2022","Male","Tees Valley and Durham","North East (England)","320","290","27290","22400"
"Leaver CS","2022","Male","Unknown","Unknown","610","540","34420","30730"
"Leaver CS","2022","Male","West Central Scotland","Scotland","620","570","32990","27570"
"Leaver CS","2022","Male","West Midlands","West Midlands (England)","610","570","33360","27570"
"Leaver CS","2022","Male","West Wales and The Valleys","Wales","270","250","31000","27570"
"Leaver CS","2022","Male","West Yorkshire","Yorkshire and The Humber","830","720","32190","27570"
"Leaver CS","2022","Unknown","Hampshire and Isle of Wight","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Inner London - West","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Tees Valley and Durham","North East (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Bedfordshire and Hertfordshire","East of England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","40","30","[c]","[c]"
"Leaver Dept.","2021","Female","Cheshire","North West (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Cornwall and Isles of Scilly","South West (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Cumbria","North West (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Derbyshire and Nottinghamshire","East Midlands (England)","110","110","26890","24000"
"Leaver Dept.","2021","Female","Devon","South West (England)","60","50","25570","21600"
"Leaver Dept.","2021","Female","Dorset and Somerset","South West (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","East Anglia","East of England","60","60","[c]","[c]"
"Leaver Dept.","2021","Female","East Wales","Wales","220","210","32270","29540"
"Leaver Dept.","2021","Female","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Eastern Scotland","Scotland","120","120","31910","27570"
"Leaver Dept.","2021","Female","Essex","East of England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","330","310","35110","31950"
"Leaver Dept.","2021","Female","Greater Manchester","North West (England)","240","230","29630","27570"
"Leaver Dept.","2021","Female","Hampshire and Isle of Wight","South East (England)","110","100","31890","29200"
"Leaver Dept.","2021","Female","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","30","30","[c]","[c]"
"Leaver Dept.","2021","Female","Highlands and Islands","Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Inner London - East","London","230","230","44340","37580"
"Leaver Dept.","2021","Female","Inner London - West","London","2480","2250","44600","39340"
"Leaver Dept.","2021","Female","Kent","South East (England)","40","40","[c]","[c]"
"Leaver Dept.","2021","Female","Lancashire","North West (England)","100","90","[c]","[c]"
"Leaver Dept.","2021","Female","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","40","30","[c]","[c]"
"Leaver Dept.","2021","Female","Lincolnshire","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Merseyside","North West (England)","210","190","29260","25130"
"Leaver Dept.","2021","Female","North Eastern Scotland","Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","North Yorkshire","Yorkshire and The Humber","60","60","36970","33300"
"Leaver Dept.","2021","Female","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Northumberland and Tyne and Wear","North East (England)","270","260","27240","24280"
"Leaver Dept.","2021","Female","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Outer London - South","London","130","120","39470","34400"
"Leaver Dept.","2021","Female","Outer London - West and North West","London","60","60","[c]","[c]"
"Leaver Dept.","2021","Female","Overseas","Overseas","50","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Shropshire and Staffordshire","West Midlands (England)","60","50","[c]","[c]"
"Leaver Dept.","2021","Female","South Yorkshire","Yorkshire and The Humber","90","90","33690","30830"
"Leaver Dept.","2021","Female","Southern Scotland","Scotland","50","50","[c]","[c]"
"Leaver Dept.","2021","Female","Surrey, East and West Sussex","South East (England)","50","50","[c]","[c]"
"Leaver Dept.","2021","Female","Tees Valley and Durham","North East (England)","100","90","26130","24300"
"Leaver Dept.","2021","Female","Unknown","Unknown","390","380","34820","32000"
"Leaver Dept.","2021","Female","West Central Scotland","Scotland","170","160","27340","25860"
"Leaver Dept.","2021","Female","West Midlands","West Midlands (England)","220","210","28280","24570"
"Leaver Dept.","2021","Female","West Wales and The Valleys","Wales","100","100","27430","26030"
"Leaver Dept.","2021","Female","West Yorkshire","Yorkshire and The Humber","190","170","31690","27570"
"Leaver Dept.","2021","Male","Bedfordshire and Hertfordshire","East of England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","40","40","[c]","[c]"
"Leaver Dept.","2021","Male","Cheshire","North West (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Cornwall and Isles of Scilly","South West (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Cumbria","North West (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Derbyshire and Nottinghamshire","East Midlands (England)","80","80","30020","22570"
"Leaver Dept.","2021","Male","Devon","South West (England)","40","40","[c]","[c]"
"Leaver Dept.","2021","Male","Dorset and Somerset","South West (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","East Anglia","East of England","40","40","[c]","[c]"
"Leaver Dept.","2021","Male","East Wales","Wales","180","180","37180","36030"
"Leaver Dept.","2021","Male","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Eastern Scotland","Scotland","80","80","[c]","[c]"
"Leaver Dept.","2021","Male","Essex","East of England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","340","340","35920","32710"
"Leaver Dept.","2021","Male","Greater Manchester","North West (England)","220","210","29380","27570"
"Leaver Dept.","2021","Male","Hampshire and Isle of Wight","South East (England)","70","70","36340","28650"
"Leaver Dept.","2021","Male","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Highlands and Islands","Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Inner London - East","London","230","230","45960","41010"
"Leaver Dept.","2021","Male","Inner London - West","London","1990","1810","44740","39420"
"Leaver Dept.","2021","Male","Kent","South East (England)","40","40","[c]","[c]"
"Leaver Dept.","2021","Male","Lancashire","North West (England)","90","90","[c]","[c]"
"Leaver Dept.","2021","Male","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","30","30","[c]","[c]"
"Leaver Dept.","2021","Male","Lincolnshire","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Merseyside","North West (England)","150","140","28820","24890"
"Leaver Dept.","2021","Male","North Eastern Scotland","Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","North Yorkshire","Yorkshire and The Humber","50","50","[c]","[c]"
"Leaver Dept.","2021","Male","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Northumberland and Tyne and Wear","North East (England)","180","180","29040","27570"
"Leaver Dept.","2021","Male","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Outer London - South","London","110","110","38660","33960"
"Leaver Dept.","2021","Male","Outer London - West and North West","London","40","40","[c]","[c]"
"Leaver Dept.","2021","Male","Overseas","Overseas","70","40","[c]","[c]"
"Leaver Dept.","2021","Male","Shropshire and Staffordshire","West Midlands (England)","30","30","[c]","[c]"
"Leaver Dept.","2021","Male","South Yorkshire","Yorkshire and The Humber","60","60","35190","32300"
"Leaver Dept.","2021","Male","Southern Scotland","Scotland","30","30","[c]","[c]"
"Leaver Dept.","2021","Male","Surrey, East and West Sussex","South East (England)","40","40","[c]","[c]"
"Leaver Dept.","2021","Male","Tees Valley and Durham","North East (England)","50","50","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Unknown","320","320","36500","32000"
"Leaver Dept.","2021","Male","West Central Scotland","Scotland","130","130","27800","27140"
"Leaver Dept.","2021","Male","West Midlands","West Midlands (England)","180","170","28860","24410"
"Leaver Dept.","2021","Male","West Wales and The Valleys","Wales","80","80","30100","26590"
"Leaver Dept.","2021","Male","West Yorkshire","Yorkshire and The Humber","150","140","33210","30280"
"Leaver Dept.","2021","Unknown","East Wales","Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Inner London - East","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Bedfordshire and Hertfordshire","East of England","50","50","[c]","[c]"
"Leaver Dept.","2022","Female","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","270","230","40730","38200"
"Leaver Dept.","2022","Female","Cheshire","North West (England)","60","50","[c]","[c]"
"Leaver Dept.","2022","Female","Cornwall and Isles of Scilly","South West (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Cumbria","North West (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Derbyshire and Nottinghamshire","East Midlands (England)","320","300","33320","28590"
"Leaver Dept.","2022","Female","Devon","South West (England)","100","90","33570","27570"
"Leaver Dept.","2022","Female","Dorset and Somerset","South West (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","East Anglia","East of England","280","250","36550","30760"
"Leaver Dept.","2022","Female","East Wales","Wales","310","300","32760","28850"
"Leaver Dept.","2022","Female","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Eastern Scotland","Scotland","290","270","29380","27570"
"Leaver Dept.","2022","Female","Essex","East of England","80","70","38710","32310"
"Leaver Dept.","2022","Female","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","1120","1040","35230","30330"
"Leaver Dept.","2022","Female","Greater Manchester","North West (England)","580","550","31850","27570"
"Leaver Dept.","2022","Female","Hampshire and Isle of Wight","South East (England)","140","130","36180","29670"
"Leaver Dept.","2022","Female","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","60","50","[c]","[c]"
"Leaver Dept.","2022","Female","Highlands and Islands","Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Inner London - East","London","1580","1470","44530","40070"
"Leaver Dept.","2022","Female","Inner London - West","London","3380","2760","43880","38900"
"Leaver Dept.","2022","Female","Kent","South East (England)","100","100","38290","29920"
"Leaver Dept.","2022","Female","Lancashire","North West (England)","150","140","32720","31990"
"Leaver Dept.","2022","Female","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","70","60","26520","25120"
"Leaver Dept.","2022","Female","Lincolnshire","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Merseyside","North West (England)","410","380","30190","27470"
"Leaver Dept.","2022","Female","North Eastern Scotland","Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","North Yorkshire","Yorkshire and The Humber","120","110","38090","34500"
"Leaver Dept.","2022","Female","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Northumberland, and Tyne and Wear","North East (England)","470","440","31190","27570"
"Leaver Dept.","2022","Female","Outer London - East and North East","London","70","60","31940","31060"
"Leaver Dept.","2022","Female","Outer London - South","London","200","190","37060","31330"
"Leaver Dept.","2022","Female","Outer London - West and North West","London","860","780","39420","32650"
"Leaver Dept.","2022","Female","Overseas","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Shropshire and Staffordshire","West Midlands (England)","100","90","34080","27570"
"Leaver Dept.","2022","Female","South Yorkshire","Yorkshire and The Humber","150","140","35740","31990"
"Leaver Dept.","2022","Female","Southern Scotland","Scotland","110","100","34760","32000"
"Leaver Dept.","2022","Female","Surrey, East and West Sussex","South East (England)","110","110","38140","29870"
"Leaver Dept.","2022","Female","Tees Valley and Durham","North East (England)","130","120","30310","27570"
"Leaver Dept.","2022","Female","Unknown","Unknown","420","290","36370","32000"
"Leaver Dept.","2022","Female","West Central Scotland","Scotland","330","320","28790","27570"
"Leaver Dept.","2022","Female","West Midlands","West Midlands (England)","640","600","33150","27570"
"Leaver Dept.","2022","Female","West Wales and The Valleys","Wales","100","100","31210","27570"
"Leaver Dept.","2022","Female","West Yorkshire","Yorkshire and The Humber","640","430","35060","30830"
"Leaver Dept.","2022","Male","Bedfordshire and Hertfordshire","East of England","40","30","[c]","[c]"
"Leaver Dept.","2022","Male","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","180","170","44920","40560"
"Leaver Dept.","2022","Male","Cheshire","North West (England)","40","40","[c]","[c]"
"Leaver Dept.","2022","Male","Cornwall and Isles of Scilly","South West (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Cumbria","North West (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Derbyshire and Nottinghamshire","East Midlands (England)","170","170","34320","27570"
"Leaver Dept.","2022","Male","Devon","South West (England)","60","60","[c]","[c]"
"Leaver Dept.","2022","Male","Dorset and Somerset","South West (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","East Anglia","East of England","170","170","40530","30610"
"Leaver Dept.","2022","Male","East Wales","Wales","260","250","35610","30830"
"Leaver Dept.","2022","Male","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Eastern Scotland","Scotland","190","190","29490","27570"
"Leaver Dept.","2022","Male","Essex","East of England","50","50","[c]","[c]"
"Leaver Dept.","2022","Male","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","780","760","39720","36310"
"Leaver Dept.","2022","Male","Greater Manchester","North West (England)","420","410","34500","27570"
"Leaver Dept.","2022","Male","Hampshire and Isle of Wight","South East (England)","140","140","35780","31180"
"Leaver Dept.","2022","Male","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","40","40","[c]","[c]"
"Leaver Dept.","2022","Male","Highlands and Islands","Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Inner London - East","London","860","820","47460","41070"
"Leaver Dept.","2022","Male","Inner London - West","London","2680","2210","45610","40190"
"Leaver Dept.","2022","Male","Kent","South East (England)","70","70","[c]","[c]"
"Leaver Dept.","2022","Male","Lancashire","North West (England)","110","110","35450","27570"
"Leaver Dept.","2022","Male","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","50","40","[c]","[c]"
"Leaver Dept.","2022","Male","Lincolnshire","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Merseyside","North West (England)","280","270","31090","27370"
"Leaver Dept.","2022","Male","North Eastern Scotland","Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","North Yorkshire","Yorkshire and The Humber","100","100","39080","33150"
"Leaver Dept.","2022","Male","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Northumberland, and Tyne and Wear","North East (England)","310","300","33340","27570"
"Leaver Dept.","2022","Male","Outer London - East and North East","London","40","40","[c]","[c]"
"Leaver Dept.","2022","Male","Outer London - South","London","150","150","38480","35050"
"Leaver Dept.","2022","Male","Outer London - West and North West","London","460","430","44630","40070"
"Leaver Dept.","2022","Male","Overseas","Overseas","40","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Shropshire and Staffordshire","West Midlands (England)","60","60","[c]","[c]"
"Leaver Dept.","2022","Male","South Yorkshire","Yorkshire and The Humber","130","130","38770","35590"
"Leaver Dept.","2022","Male","Southern Scotland","Scotland","50","50","[c]","[c]"
"Leaver Dept.","2022","Male","Surrey, East and West Sussex","South East (England)","50","50","[c]","[c]"
"Leaver Dept.","2022","Male","Tees Valley and Durham","North East (England)","90","80","31050","27570"
"Leaver Dept.","2022","Male","Unknown","Unknown","320","250","38570","32000"
"Leaver Dept.","2022","Male","West Central Scotland","Scotland","240","240","29000","27570"
"Leaver Dept.","2022","Male","West Midlands","West Midlands (England)","410","410","33180","27570"
"Leaver Dept.","2022","Male","West Wales and The Valleys","Wales","70","70","32600","27570"
"Leaver Dept.","2022","Male","West Yorkshire","Yorkshire and The Humber","480","340","36650","30590"
"Leaver Dept.","2022","Unknown","East Wales","Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Inner London - West","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Bedfordshire and Hertfordshire","East of England","490","470","26440","27570"
"New entrant CS","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","680","650","27830","27570"
"New entrant CS","2021","Female","Cheshire","North West (England)","360","350","27350","27570"
"New entrant CS","2021","Female","Cornwall and Isles of Scilly","South West (England)","100","90","27090","27570"
"New entrant CS","2021","Female","Cumbria","North West (England)","60","60","25520","21050"
"New entrant CS","2021","Female","Derbyshire and Nottinghamshire","East Midlands (England)","760","730","26710","25560"
"New entrant CS","2021","Female","Devon","South West (England)","540","510","25610","22350"
"New entrant CS","2021","Female","Dorset and Somerset","South West (England)","260","250","25530","22920"
"New entrant CS","2021","Female","East Anglia","East of England","760","730","25960","25010"
"New entrant CS","2021","Female","East Wales","Wales","1010","970","26370","23320"
"New entrant CS","2021","Female","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","220","210","24020","22850"
"New entrant CS","2021","Female","Eastern Scotland","Scotland","1170","1130","28920","26160"
"New entrant CS","2021","Female","Essex","East of England","500","480","27330","29290"
"New entrant CS","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","1710","1600","28770","27570"
"New entrant CS","2021","Female","Greater Manchester","North West (England)","1410","1370","27100","25560"
"New entrant CS","2021","Female","Hampshire and Isle of Wight","South East (England)","1000","950","27730","26670"
"New entrant CS","2021","Female","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","220","210","24870","22850"
"New entrant CS","2021","Female","Highlands and Islands","Scotland","110","100","25260","25140"
"New entrant CS","2021","Female","Inner London - East","London","2000","1910","34280","31060"
"New entrant CS","2021","Female","Inner London - West","London","4640","4570","36410","32560"
"New entrant CS","2021","Female","Kent","South East (England)","630","610","26740","27850"
"New entrant CS","2021","Female","Lancashire","North West (England)","680","650","23480","21010"
"New entrant CS","2021","Female","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","510","490","24370","22920"
"New entrant CS","2021","Female","Lincolnshire","East Midlands (England)","140","130","26110","25000"
"New entrant CS","2021","Female","Merseyside","North West (England)","700","680","25260","22350"
"New entrant CS","2021","Female","North Eastern Scotland","Scotland","100","90","27510","26750"
"New entrant CS","2021","Female","North Yorkshire","Yorkshire and The Humber","300","290","29530","26370"
"New entrant CS","2021","Female","Northern Ireland","Northern Ireland","160","150","24540","20140"
"New entrant CS","2021","Female","Northumberland and Tyne and Wear","North East (England)","1340","1300","24660","21010"
"New entrant CS","2021","Female","Outer London - East and North East","London","580","560","29000","31060"
"New entrant CS","2021","Female","Outer London - South","London","600","580","31860","31060"
"New entrant CS","2021","Female","Outer London - West and North West","London","870","850","30100","31060"
"New entrant CS","2021","Female","Overseas","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Shropshire and Staffordshire","West Midlands (England)","590","560","25200","22920"
"New entrant CS","2021","Female","South Yorkshire","Yorkshire and The Humber","580","560","26120","24060"
"New entrant CS","2021","Female","Southern Scotland","Scotland","260","260","24190","21010"
"New entrant CS","2021","Female","Surrey, East and West Sussex","South East (England)","800","760","26520","27570"
"New entrant CS","2021","Female","Tees Valley and Durham","North East (England)","400","390","23480","21010"
"New entrant CS","2021","Female","Unknown","Unknown","520","510","30920","27570"
"New entrant CS","2021","Female","West Central Scotland","Scotland","830","800","26680","23450"
"New entrant CS","2021","Female","West Midlands","West Midlands (England)","1170","1120","28160","27570"
"New entrant CS","2021","Female","West Wales and The Valleys","Wales","580","540","23350","21590"
"New entrant CS","2021","Female","West Yorkshire","Yorkshire and The Humber","1350","1300","27980","27570"
"New entrant CS","2021","Male","Bedfordshire and Hertfordshire","East of England","330","330","27920","27850"
"New entrant CS","2021","Male","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","580","570","29820","27570"
"New entrant CS","2021","Male","Cheshire","North West (England)","310","310","28320","27570"
"New entrant CS","2021","Male","Cornwall and Isles of Scilly","South West (England)","90","80","26950","26350"
"New entrant CS","2021","Male","Cumbria","North West (England)","90","80","30220","24920"
"New entrant CS","2021","Male","Derbyshire and Nottinghamshire","East Midlands (England)","550","540","28070","25560"
"New entrant CS","2021","Male","Devon","South West (England)","520","510","26960","24150"
"New entrant CS","2021","Male","Dorset and Somerset","South West (England)","260","260","25710","24810"
"New entrant CS","2021","Male","East Anglia","East of England","650","640","27610","26580"
"New entrant CS","2021","Male","East Wales","Wales","910","900","27250","23050"
"New entrant CS","2021","Male","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","230","220","25150","23990"
"New entrant CS","2021","Male","Eastern Scotland","Scotland","920","910","28830","25140"
"New entrant CS","2021","Male","Essex","East of England","290","290","28120","28030"
"New entrant CS","2021","Male","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","1500","1480","32150","27570"
"New entrant CS","2021","Male","Greater Manchester","North West (England)","1270","1250","28920","26340"
"New entrant CS","2021","Male","Hampshire and Isle of Wight","South East (England)","870","850","29760","27570"
"New entrant CS","2021","Male","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","180","180","26520","22850"
"New entrant CS","2021","Male","Highlands and Islands","Scotland","100","100","24980","21010"
"New entrant CS","2021","Male","Inner London - East","London","1320","1280","37140","31060"
"New entrant CS","2021","Male","Inner London - West","London","3670","3650","39230","33570"
"New entrant CS","2021","Male","Kent","South East (England)","520","510","26700","27850"
"New entrant CS","2021","Male","Lancashire","North West (England)","620","610","23600","21010"
"New entrant CS","2021","Male","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","370","370","24930","22850"
"New entrant CS","2021","Male","Lincolnshire","East Midlands (England)","150","150","27460","26350"
"New entrant CS","2021","Male","Merseyside","North West (England)","540","530","27320","24440"
"New entrant CS","2021","Male","North Eastern Scotland","Scotland","90","90","28560","27570"
"New entrant CS","2021","Male","North Yorkshire","Yorkshire and The Humber","260","250","29680","27570"
"New entrant CS","2021","Male","Northern Ireland","Northern Ireland","200","200","23870","20140"
"New entrant CS","2021","Male","Northumberland and Tyne and Wear","North East (England)","1220","1210","25070","21010"
"New entrant CS","2021","Male","Outer London - East and North East","London","360","350","29110","31060"
"New entrant CS","2021","Male","Outer London - South","London","480","480","34540","31060"
"New entrant CS","2021","Male","Outer London - West and North West","London","570","560","30640","31060"
"New entrant CS","2021","Male","Overseas","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Shropshire and Staffordshire","West Midlands (England)","460","450","26150","24440"
"New entrant CS","2021","Male","South Yorkshire","Yorkshire and The Humber","450","450","28360","24180"
"New entrant CS","2021","Male","Southern Scotland","Scotland","210","210","23060","20470"
"New entrant CS","2021","Male","Surrey, East and West Sussex","South East (England)","550","540","27570","27570"
"New entrant CS","2021","Male","Tees Valley and Durham","North East (England)","300","300","23750","22060"
"New entrant CS","2021","Male","Unknown","Unknown","380","370","34750","27570"
"New entrant CS","2021","Male","West Central Scotland","Scotland","700","690","27620","23500"
"New entrant CS","2021","Male","West Midlands","West Midlands (England)","830","820","29860","26550"
"New entrant CS","2021","Male","West Wales and The Valleys","Wales","440","420","25310","21590"
"New entrant CS","2021","Male","West Yorkshire","Yorkshire and The Humber","1140","1130","28160","27570"
"New entrant CS","2021","Unknown","Bedfordshire and Hertfordshire","East of England","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","East Wales","Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Greater Manchester","North West (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Hampshire and Isle of Wight","South East (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Inner London - East","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Inner London - West","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","South Yorkshire","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Tees Valley and Durham","North East (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Bedfordshire and Hertfordshire","East of England","430","420","28500","27570"
"New entrant CS","2022","Female","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","760","720","28460","27570"
"New entrant CS","2022","Female","Cheshire","North West (England)","350","340","26990","23170"
"New entrant CS","2022","Female","Cornwall and Isles of Scilly","South West (England)","150","140","25800","21260"
"New entrant CS","2022","Female","Cumbria","North West (England)","210","190","25280","21300"
"New entrant CS","2022","Female","Derbyshire and Nottinghamshire","East Midlands (England)","1230","1150","26910","25120"
"New entrant CS","2022","Female","Devon","South West (England)","520","490","26920","23170"
"New entrant CS","2022","Female","Dorset and Somerset","South West (England)","370","350","26140","23170"
"New entrant CS","2022","Female","East Anglia","East of England","980","910","26460","24800"
"New entrant CS","2022","Female","East Wales","Wales","1350","1300","27480","24030"
"New entrant CS","2022","Female","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","350","330","25230","23140"
"New entrant CS","2022","Female","Eastern Scotland","Scotland","1880","1810","29320","27230"
"New entrant CS","2022","Female","Essex","East of England","490","450","27560","24800"
"New entrant CS","2022","Female","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","1900","1800","29340","26350"
"New entrant CS","2022","Female","Greater Manchester","North West (England)","1820","1750","28140","25480"
"New entrant CS","2022","Female","Hampshire and Isle of Wight","South East (England)","940","850","27420","24800"
"New entrant CS","2022","Female","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","380","360","26650","24470"
"New entrant CS","2022","Female","Highlands and Islands","Scotland","90","90","27750","27230"
"New entrant CS","2022","Female","Inner London - East","London","1680","1620","36710","32000"
"New entrant CS","2022","Female","Inner London - West","London","4440","4250","36810","32940"
"New entrant CS","2022","Female","Kent","South East (England)","600","570","26740","24880"
"New entrant CS","2022","Female","Lancashire","North West (England)","950","920","25740","23140"
"New entrant CS","2022","Female","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","670","630","24710","22510"
"New entrant CS","2022","Female","Lincolnshire","East Midlands (England)","250","240","27060","24920"
"New entrant CS","2022","Female","Merseyside","North West (England)","1760","1690","25500","24090"
"New entrant CS","2022","Female","North Eastern Scotland","Scotland","150","150","28160","27230"
"New entrant CS","2022","Female","North Yorkshire","Yorkshire and The Humber","350","330","30530","26370"
"New entrant CS","2022","Female","Northern Ireland","Northern Ireland","300","300","27850","26590"
