"Status","Year","Function_of_post","Profession_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Communications","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Other","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Policy","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Science and Engineering","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Tax","AA/AO","30","30","[c]","[c]"
"In post","2022","Communications","Tax","EO","1760","1710","26800","26820"
"In post","2022","Communications","Tax","G6/G7","30","30","[c]","[c]"
"In post","2022","Communications","Tax","SEO/HEO","670","650","33910","33370"
"In post","2022","Communications","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","EO","110","110","26840","26590"
"In post","2022","Communications","Unknown","G6/G7","170","160","59640","56610"
"In post","2022","Communications","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","SEO/HEO","240","230","37710","37610"
"In post","2022","Counter Fraud","Counter Fraud","AA/AO","1460","1250","22530","21260"
"In post","2022","Counter Fraud","Counter Fraud","EO","3500","3140","28230","27570"
"In post","2022","Counter Fraud","Counter Fraud","G6/G7","160","160","59890","58700"
"In post","2022","Counter Fraud","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Counter Fraud","SEO/HEO","1270","1200","35480","34290"
"In post","2022","Counter Fraud","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Economics","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Intelligence Analysis","EO","60","50","28430","26820"
"In post","2022","Counter Fraud","Intelligence Analysis","G6/G7","30","30","[c]","[c]"
"In post","2022","Counter Fraud","Intelligence Analysis","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Intelligence Analysis","SEO/HEO","160","150","37400","37610"
"In post","2022","Counter Fraud","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Knowledge and Information Management","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Legal","AA/AO","220","190","22170","22080"
"In post","2022","Counter Fraud","Legal","EO","1350","1290","28330","26820"
"In post","2022","Counter Fraud","Legal","G6/G7","180","170","59430","58710"
"In post","2022","Counter Fraud","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Legal","SEO/HEO","1650","1590","36720","35980"
"In post","2022","Counter Fraud","Operational Delivery","AA/AO","1010","890","22050","21260"
"In post","2022","Counter Fraud","Operational Delivery","EO","1360","1250","27790","26820"
"In post","2022","Counter Fraud","Operational Delivery","G6/G7","190","180","59150","55210"
"In post","2022","Counter Fraud","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Operational Delivery","SEO/HEO","1330","1250","35880","33370"
"In post","2022","Counter Fraud","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Other","EO","80","70","28870","28920"
"In post","2022","Counter Fraud","Other","G6/G7","110","100","59470","56840"
"In post","2022","Counter Fraud","Other","SEO/HEO","130","120","37500","37930"
"In post","2022","Counter Fraud","Tax","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Tax","EO","410","370","28260","26820"
"In post","2022","Counter Fraud","Tax","G6/G7","560","530","59800","55210"
"In post","2022","Counter Fraud","Tax","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Tax","SEO/HEO","910","870","37100","37610"
"In post","2022","Counter Fraud","Unknown","AA/AO","30","30","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","EO","420","420","27740","26590"
"In post","2022","Counter Fraud","Unknown","G6/G7","80","80","57680","55210"
"In post","2022","Counter Fraud","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","SEO/HEO","250","250","36170","35590"
"In post","2022","Debt","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Operational Delivery","AA/AO","2290","2020","22060","21250"
"In post","2022","Debt","Operational Delivery","EO","760","690","28030","26820"
"In post","2022","Debt","Operational Delivery","G6/G7","40","40","[c]","[c]"
"In post","2022","Debt","Operational Delivery","SEO/HEO","250","230","35950","33370"
"In post","2022","Debt","Other","AA/AO","2060","1750","21270","21260"
"In post","2022","Debt","Other","EO","350","300","27700","27570"
"In post","2022","Debt","Other","SEO/HEO","90","80","32950","31990"
"In post","2022","Debt","Tax","AA/AO","760","720","21410","21250"
"In post","2022","Debt","Tax","EO","90","80","26720","26820"
"In post","2022","Debt","Tax","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Tax","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Unknown","AA/AO","80","70","21530","21250"
"In post","2022","Debt","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Digital, Data and Technology","AA/AO","630","610","21810","21290"
"In post","2022","Digital, Data & Technology","Digital, Data and Technology","EO","3240","3100","27740","27570"
"In post","2022","Digital, Data & Technology","Digital, Data and Technology","G6/G7","4610","4530","58100","55550"
"In post","2022","Digital, Data & Technology","Digital, Data and Technology","SCS","240","240","90350","85460"
"In post","2022","Digital, Data & Technology","Digital, Data and Technology","SEO/HEO","8620","8400","37660","36840"
"In post","2022","Digital, Data & Technology","Digital, Data and Technology","Unknown","40","40","[c]","[c]"
"In post","2022","Digital, Data & Technology","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Knowledge and Information Management","AA/AO","210","200","22170","21380"
"In post","2022","Digital, Data & Technology","Knowledge and Information Management","EO","220","210","27190","26670"
"In post","2022","Digital, Data & Technology","Knowledge and Information Management","G6/G7","80","80","57290","54880"
"In post","2022","Digital, Data & Technology","Knowledge and Information Management","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Knowledge and Information Management","SEO/HEO","360","360","35740","34460"
"In post","2022","Digital, Data & Technology","Knowledge and Information Management","Unknown","40","30","[c]","[c]"
"In post","2022","Digital, Data & Technology","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Medicine","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Medicine","EO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Medicine","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Medicine","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Operational Delivery","EO","110","100","27080","26820"
"In post","2022","Digital, Data & Technology","Operational Delivery","G6/G7","90","80","57440","55210"
"In post","2022","Digital, Data & Technology","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Operational Delivery","SEO/HEO","330","320","36640","35310"
"In post","2022","Digital, Data & Technology","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Other","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Other","SEO/HEO","30","30","[c]","[c]"
"In post","2022","Digital, Data & Technology","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Policy","G6/G7","100","100","56960","54400"
"In post","2022","Digital, Data & Technology","Policy","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Policy","SEO/HEO","120","120","35170","36500"
"In post","2022","Digital, Data & Technology","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Project Delivery","G6/G7","40","40","[c]","[c]"
"In post","2022","Digital, Data & Technology","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Project Delivery","SEO/HEO","130","120","35510","34290"
"In post","2022","Digital, Data & Technology","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Science and Engineering","AA/AO","60","60","21290","21430"
"In post","2022","Digital, Data & Technology","Science and Engineering","EO","50","50","[c]","[c]"
"In post","2022","Digital, Data & Technology","Science and Engineering","G6/G7","210","190","51960","48540"
"In post","2022","Digital, Data & Technology","Science and Engineering","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Science and Engineering","SEO/HEO","650","610","37020","38200"
"In post","2022","Digital, Data & Technology","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Tax","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Tax","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Tax","SEO/HEO","60","60","37230","35980"
"In post","2022","Digital, Data & Technology","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","EO","120","120","27060","27500"
"In post","2022","Digital, Data & Technology","Unknown","G6/G7","810","800","57480","54700"
"In post","2022","Digital, Data & Technology","Unknown","SCS","60","60","102150","95800"
"In post","2022","Digital, Data & Technology","Unknown","SEO/HEO","530","520","37030","37300"
"In post","2022","Finance","Commercial","AA/AO","70","60","21220","21260"
"In post","2022","Finance","Commercial","EO","80","80","27580","27570"
"In post","2022","Finance","Commercial","G6/G7","130","130","55010","51800"
"In post","2022","Finance","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Commercial","SEO/HEO","340","320","34800","34290"
"In post","2022","Finance","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Corporate Finance","G6/G7","40","40","[c]","[c]"
"In post","2022","Finance","Corporate Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Corporate Finance","SEO/HEO","50","50","[c]","[c]"
"In post","2022","Finance","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Digital, Data and Technology","G6/G7","70","70","53140","50400"
"In post","2022","Finance","Digital, Data and Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Digital, Data and Technology","SEO/HEO","140","140","34600","36500"
"In post","2022","Finance","Economics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Finance","AA/AO","750","660","21900","21260"
"In post","2022","Finance","Finance","EO","1600","1520","26780","26670"
"In post","2022","Finance","Finance","G6/G7","2160","2100","58750","57400"
"In post","2022","Finance","Finance","SCS","250","240","87300","80050"
"In post","2022","Finance","Finance","SEO/HEO","4100","3950","37640","36820"
"In post","2022","Finance","Finance","Unknown","60","50","50720","44130"
"In post","2022","Finance","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Operational Delivery","AA/AO","850","690","21720","21250"
"In post","2022","Finance","Operational Delivery","EO","260","240","27380","26820"
"In post","2022","Finance","Operational Delivery","G6/G7","70","60","58470","55210"
"In post","2022","Finance","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Operational Delivery","SEO/HEO","320","310","36440","33930"
"In post","2022","Finance","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Other","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Policy","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Security","EO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Security","G6/G7","90","90","58220","57370"
"In post","2022","Finance","Security","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Security","SEO/HEO","190","180","35760","35310"
"In post","2022","Finance","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Tax","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Tax","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Tax","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Tax","SEO/HEO","50","50","[c]","[c]"
"In post","2022","Finance","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","EO","40","40","[c]","[c]"
"In post","2022","Finance","Unknown","G6/G7","110","110","58920","58600"
"In post","2022","Finance","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","SEO/HEO","130","130","38290","37930"
"In post","2022","Grants Management","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Operational Delivery","AA/AO","1280","1170","21280","21300"
"In post","2022","Grants Management","Operational Delivery","EO","600","550","25440","25190"
"In post","2022","Grants Management","Operational Delivery","G6/G7","60","60","51750","49360"
"In post","2022","Grants Management","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Operational Delivery","SEO/HEO","360","330","32600","31040"
"In post","2022","Grants Management","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Policy","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Economics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Human Resources","AA/AO","1140","1040","21810","21380"
"In post","2022","Human Resources","Human Resources","EO","1520","1420","27280","26880"
"In post","2022","Human Resources","Human Resources","G6/G7","1820","1760","57810","55740"
"In post","2022","Human Resources","Human Resources","SCS","200","190","86170","78970"
"In post","2022","Human Resources","Human Resources","SEO/HEO","3740","3570","36480","35980"
"In post","2022","Human Resources","Human Resources","Unknown","40","40","[c]","[c]"
"In post","2022","Human Resources","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Operational Delivery","AA/AO","280","240","21730","21680"
"In post","2022","Human Resources","Operational Delivery","EO","750","700","27620","27570"
"In post","2022","Human Resources","Operational Delivery","G6/G7","90","80","55110","54160"
"In post","2022","Human Resources","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Operational Delivery","SEO/HEO","400","380","35130","33650"
"In post","2022","Human Resources","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Other","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Other","SEO/HEO","60","50","35700","38220"
"In post","2022","Human Resources","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Policy","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Science and Engineering","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Tax","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Tax","EO","70","60","27270","26820"
"In post","2022","Human Resources","Tax","G6/G7","30","30","[c]","[c]"
"In post","2022","Human Resources","Tax","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Tax","SEO/HEO","90","90","35060","33370"
"In post","2022","Human Resources","Unknown","AA/AO","200","180","21180","21050"
"In post","2022","Human Resources","Unknown","EO","210","200","26060","25550"
"In post","2022","Human Resources","Unknown","G6/G7","350","340","57390","55210"
"In post","2022","Human Resources","Unknown","SCS","60","50","89160","80000"
"In post","2022","Human Resources","Unknown","SEO/HEO","500","490","35870","35590"
"In post","2022","Internal Audit","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Internal Audit","EO","30","30","[c]","[c]"
"In post","2022","Internal Audit","Internal Audit","G6/G7","210","200","58600","56500"
"In post","2022","Internal Audit","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Internal Audit","SEO/HEO","440","410","40700","40580"
"In post","2022","Internal Audit","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Other","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Finance","AA/AO","40","30","[c]","[c]"
"In post","2022","Legal","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Knowledge and Information Management","EO","40","30","[c]","[c]"
"In post","2022","Legal","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Knowledge and Information Management","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Legal","AA/AO","50","40","[c]","[c]"
"In post","2022","Legal","Legal","EO","470","450","28550","27230"
"In post","2022","Legal","Legal","G6/G7","5640","5200","59340","57570"
"In post","2022","Legal","Legal","SCS","380","360","87990","82720"
"In post","2022","Legal","Legal","SEO/HEO","1220","1160","42950","41750"
"In post","2022","Legal","Operational Delivery","AA/AO","1480","1360","22730","22200"
"In post","2022","Legal","Operational Delivery","EO","1290","1190","27930","28430"
"In post","2022","Legal","Operational Delivery","G6/G7","70","60","60260","58000"
"In post","2022","Legal","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Operational Delivery","SEO/HEO","400","390","34760","33370"
"In post","2022","Legal","Other","AA/AO","40","30","[c]","[c]"
"In post","2022","Legal","Other","EO","250","230","27390","26950"
"In post","2022","Legal","Other","G6/G7","60","60","59460","57260"
"In post","2022","Legal","Other","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Other","SEO/HEO","110","110","34070","31640"
"In post","2022","Legal","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Policy","G6/G7","40","40","[c]","[c]"
"In post","2022","Legal","Policy","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Policy","SEO/HEO","40","40","[c]","[c]"
"In post","2022","Legal","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Science and Engineering","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Security","SEO/HEO","[c]","[c]","[c]","[c]"
