"Status","Year","Profession_of_post","Responsibility_level","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Digital, Data and Technology","SEO/HEO","Undeclared","580","570","38230","37900"
"In post","2022","Digital, Data and Technology","SEO/HEO","Unknown","2080","2050","37830","37000"
"In post","2022","Digital, Data and Technology","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Economics","AA/AO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Economics","AA/AO","Declared non-disabled","60","60","22100","21250"
"In post","2022","Economics","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Economics","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Economics","EO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Economics","EO","Declared non-disabled","80","80","27110","27680"
"In post","2022","Economics","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Economics","EO","Unknown","50","50","[c]","[c]"
"In post","2022","Economics","G6/G7","Declared disabled","50","50","61160","58910"
"In post","2022","Economics","G6/G7","Declared non-disabled","650","620","60130","57830"
"In post","2022","Economics","G6/G7","Undeclared","40","40","[c]","[c]"
"In post","2022","Economics","G6/G7","Unknown","170","170","59000","55800"
"In post","2022","Economics","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Economics","SCS","Declared non-disabled","80","70","92130","81390"
"In post","2022","Economics","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Economics","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Economics","SEO/HEO","Declared disabled","50","50","35460","34610"
"In post","2022","Economics","SEO/HEO","Declared non-disabled","540","530","35980","34710"
"In post","2022","Economics","SEO/HEO","Undeclared","40","40","[c]","[c]"
"In post","2022","Economics","SEO/HEO","Unknown","240","240","34520","33370"
"In post","2022","Economics","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Finance","AA/AO","Declared disabled","110","100","22070","21530"
"In post","2022","Finance","AA/AO","Declared non-disabled","630","570","21930","21380"
"In post","2022","Finance","AA/AO","Undeclared","40","40","[c]","[c]"
"In post","2022","Finance","AA/AO","Unknown","200","170","22170","21250"
"In post","2022","Finance","EO","Declared disabled","250","230","26880","26670"
"In post","2022","Finance","EO","Declared non-disabled","1620","1540","26980","26670"
"In post","2022","Finance","EO","Undeclared","140","130","27320","26860"
"In post","2022","Finance","EO","Unknown","370","360","26640","26590"
"In post","2022","Finance","G6/G7","Declared disabled","220","210","57770","55500"
"In post","2022","Finance","G6/G7","Declared non-disabled","1970","1920","59150","57540"
"In post","2022","Finance","G6/G7","Undeclared","130","130","60140","58680"
"In post","2022","Finance","G6/G7","Unknown","420","410","57970","55210"
"In post","2022","Finance","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Finance","SCS","Declared non-disabled","250","240","88620","80680"
"In post","2022","Finance","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","SCS","Unknown","50","50","87410","81920"
"In post","2022","Finance","SEO/HEO","Declared disabled","510","490","36860","35980"
"In post","2022","Finance","SEO/HEO","Declared non-disabled","4060","3920","37600","36650"
"In post","2022","Finance","SEO/HEO","Undeclared","340","330","38120","37000"
"In post","2022","Finance","SEO/HEO","Unknown","910","890","37220","36820"
"In post","2022","Finance","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Declared non-disabled","60","60","48680","41960"
"In post","2022","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Geography","AA/AO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Geography","AA/AO","Declared non-disabled","40","40","[c]","[c]"
"In post","2022","Geography","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Geography","EO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Geography","EO","Declared non-disabled","90","80","27460","26740"
"In post","2022","Geography","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Geography","EO","Unknown","50","40","[c]","[c]"
"In post","2022","Geography","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Geography","G6/G7","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Geography","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Geography","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Geography","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Geography","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Geography","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Geography","SEO/HEO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Geography","SEO/HEO","Declared non-disabled","160","150","35560","33290"
"In post","2022","Geography","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Geography","SEO/HEO","Unknown","60","60","35710","33290"
"In post","2022","Human Resources","AA/AO","Declared disabled","140","130","21910","21490"
"In post","2022","Human Resources","AA/AO","Declared non-disabled","800","730","21960","21380"
"In post","2022","Human Resources","AA/AO","Undeclared","70","60","21750","21380"
"In post","2022","Human Resources","AA/AO","Unknown","220","200","22130","21380"
"In post","2022","Human Resources","EO","Declared disabled","210","190","27900","27570"
"In post","2022","Human Resources","EO","Declared non-disabled","1090","1010","27250","26900"
"In post","2022","Human Resources","EO","Undeclared","80","80","27990","27570"
"In post","2022","Human Resources","EO","Unknown","360","340","27390","26930"
"In post","2022","Human Resources","G6/G7","Declared disabled","280","270","57940","56040"
"In post","2022","Human Resources","G6/G7","Declared non-disabled","1490","1440","58050","56800"
"In post","2022","Human Resources","G6/G7","Undeclared","80","80","57820","56750"
"In post","2022","Human Resources","G6/G7","Unknown","240","240","58280","57290"
"In post","2022","Human Resources","SCS","Declared disabled","40","40","[c]","[c]"
"In post","2022","Human Resources","SCS","Declared non-disabled","160","160","86670","79480"
"In post","2022","Human Resources","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","SEO/HEO","Declared disabled","600","570","36690","35980"
"In post","2022","Human Resources","SEO/HEO","Declared non-disabled","2870","2730","36560","35980"
"In post","2022","Human Resources","SEO/HEO","Undeclared","250","240","37490","37040"
"In post","2022","Human Resources","SEO/HEO","Unknown","580","560","35990","36050"
"In post","2022","Human Resources","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Declared non-disabled","30","30","[c]","[c]"
"In post","2022","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","G6/G7","Declared disabled","40","40","[c]","[c]"
"In post","2022","Inspector of Education and Training","G6/G7","Declared non-disabled","490","480","75580","75500"
"In post","2022","Inspector of Education and Training","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","SEO/HEO","Declared disabled","30","30","[c]","[c]"
"In post","2022","Inspector of Education and Training","SEO/HEO","Declared non-disabled","300","300","50190","51360"
"In post","2022","Inspector of Education and Training","SEO/HEO","Unknown","50","40","[c]","[c]"
"In post","2022","Intelligence Analysis","AA/AO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","AA/AO","Declared non-disabled","90","80","23450","21960"
"In post","2022","Intelligence Analysis","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","EO","Declared disabled","150","140","28060","27380"
"In post","2022","Intelligence Analysis","EO","Declared non-disabled","1150","1080","27630","27370"
"In post","2022","Intelligence Analysis","EO","Undeclared","140","130","28350","27380"
"In post","2022","Intelligence Analysis","EO","Unknown","150","150","27240","26670"
"In post","2022","Intelligence Analysis","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","G6/G7","Declared non-disabled","170","160","59330","58230"
"In post","2022","Intelligence Analysis","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","SEO/HEO","Declared disabled","110","110","37110","36490"
"In post","2022","Intelligence Analysis","SEO/HEO","Declared non-disabled","900","880","36840","36140"
"In post","2022","Intelligence Analysis","SEO/HEO","Undeclared","120","110","37260","37000"
"In post","2022","Intelligence Analysis","SEO/HEO","Unknown","150","140","38240","37610"
"In post","2022","Intelligence Analysis","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","AA/AO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","AA/AO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","EO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","EO","Declared non-disabled","30","30","[c]","[c]"
"In post","2022","Internal Audit","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","G6/G7","Declared non-disabled","150","150","58040","56490"
"In post","2022","Internal Audit","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","SEO/HEO","Declared disabled","60","60","39260","38770"
"In post","2022","Internal Audit","SEO/HEO","Declared non-disabled","360","330","40620","40550"
"In post","2022","Internal Audit","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","AA/AO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","AA/AO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","EO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","EO","Declared non-disabled","60","50","27620","26820"
"In post","2022","International Trade","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","EO","Unknown","40","40","[c]","[c]"
"In post","2022","International Trade","G6/G7","Declared disabled","50","50","57410","54650"
"In post","2022","International Trade","G6/G7","Declared non-disabled","370","370","56580","54500"
"In post","2022","International Trade","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","G6/G7","Unknown","230","230","55240","51970"
"In post","2022","International Trade","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","SCS","Declared non-disabled","70","70","83240","75310"
"In post","2022","International Trade","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","SCS","Unknown","40","30","[c]","[c]"
"In post","2022","International Trade","SEO/HEO","Declared disabled","60","60","36320","35550"
"In post","2022","International Trade","SEO/HEO","Declared non-disabled","380","370","36230","37930"
"In post","2022","International Trade","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","SEO/HEO","Unknown","280","280","36370","38160"
"In post","2022","Knowledge and Information Management","AA/AO","Declared disabled","60","50","22230","21380"
"In post","2022","Knowledge and Information Management","AA/AO","Declared non-disabled","250","230","22360","21380"
"In post","2022","Knowledge and Information Management","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","AA/AO","Unknown","50","40","[c]","[c]"
"In post","2022","Knowledge and Information Management","EO","Declared disabled","70","70","28100","27570"
"In post","2022","Knowledge and Information Management","EO","Declared non-disabled","420","390","27700","27570"
"In post","2022","Knowledge and Information Management","EO","Undeclared","40","40","[c]","[c]"
"In post","2022","Knowledge and Information Management","EO","Unknown","50","50","[c]","[c]"
"In post","2022","Knowledge and Information Management","G6/G7","Declared disabled","30","30","[c]","[c]"
"In post","2022","Knowledge and Information Management","G6/G7","Declared non-disabled","220","210","57790","56120"
"In post","2022","Knowledge and Information Management","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","G6/G7","Unknown","50","50","[c]","[c]"
"In post","2022","Knowledge and Information Management","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","SEO/HEO","Declared disabled","130","130","36680","35720"
"In post","2022","Knowledge and Information Management","SEO/HEO","Declared non-disabled","740","720","36700","36460"
"In post","2022","Knowledge and Information Management","SEO/HEO","Undeclared","60","60","36280","34640"
"In post","2022","Knowledge and Information Management","SEO/HEO","Unknown","110","110","36480","35430"
"In post","2022","Knowledge and Information Management","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Legal","AA/AO","Declared disabled","30","30","[c]","[c]"
"In post","2022","Legal","AA/AO","Declared non-disabled","150","130","22370","22080"
"In post","2022","Legal","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Legal","AA/AO","Unknown","70","60","22460","22080"
"In post","2022","Legal","EO","Declared disabled","130","120","28310","27130"
"In post","2022","Legal","EO","Declared non-disabled","1110","1060","28370","26970"
"In post","2022","Legal","EO","Undeclared","90","80","28460","27130"
"In post","2022","Legal","EO","Unknown","540","520","28290","26820"
"In post","2022","Legal","G6/G7","Declared disabled","540","490","59470","57400"
"In post","2022","Legal","G6/G7","Declared non-disabled","4450","4110","59660","58590"
"In post","2022","Legal","G6/G7","Undeclared","190","180","62680","63730"
"In post","2022","Legal","G6/G7","Unknown","1090","1020","57900","55610"
"In post","2022","Legal","SCS","Declared disabled","30","30","[c]","[c]"
"In post","2022","Legal","SCS","Declared non-disabled","300","290","87650","82720"
"In post","2022","Legal","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Legal","SCS","Unknown","50","50","[c]","[c]"
"In post","2022","Legal","SEO/HEO","Declared disabled","330","300","39930","40000"
"In post","2022","Legal","SEO/HEO","Declared non-disabled","2550","2390","40140","39320"
"In post","2022","Legal","SEO/HEO","Undeclared","230","220","39640","38020"
"In post","2022","Legal","SEO/HEO","Unknown","780","760","37130","37610"
"In post","2022","Legal","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","AA/AO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","AA/AO","Declared non-disabled","210","190","23540","23280"
"In post","2022","Medicine","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","AA/AO","Unknown","120","110","21090","20330"
"In post","2022","Medicine","EO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","EO","Declared non-disabled","210","180","32010","31530"
"In post","2022","Medicine","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","EO","Unknown","70","60","31380","31530"
"In post","2022","Medicine","G6/G7","Declared disabled","40","40","[c]","[c]"
"In post","2022","Medicine","G6/G7","Declared non-disabled","470","400","74060","75970"
"In post","2022","Medicine","G6/G7","Undeclared","30","20","[c]","[c]"
"In post","2022","Medicine","G6/G7","Unknown","220","190","71600","75870"
"In post","2022","Medicine","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","SCS","Declared non-disabled","170","150","101110","100400"
"In post","2022","Medicine","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","SCS","Unknown","160","140","112850","112850"
"In post","2022","Medicine","SEO/HEO","Declared disabled","40","30","[c]","[c]"
"In post","2022","Medicine","SEO/HEO","Declared non-disabled","490","450","40190","39030"
"In post","2022","Medicine","SEO/HEO","Undeclared","40","30","[c]","[c]"
"In post","2022","Medicine","SEO/HEO","Unknown","200","180","39550","39030"
"In post","2022","Operational Delivery","AA/AO","Declared disabled","12330","10710","22440","21260"
"In post","2022","Operational Delivery","AA/AO","Declared non-disabled","65850","58550","22920","21410"
"In post","2022","Operational Delivery","AA/AO","Undeclared","7010","6200","24910","22020"
"In post","2022","Operational Delivery","AA/AO","Unknown","17960","16500","22810","21790"
"In post","2022","Operational Delivery","EO","Declared disabled","11240","10070","28080","27570"
"In post","2022","Operational Delivery","EO","Declared non-disabled","57420","52530","27890","27570"
"In post","2022","Operational Delivery","EO","Undeclared","4480","4160","28790","27570"
"In post","2022","Operational Delivery","EO","Unknown","12100","11510","29170","27570"
"In post","2022","Operational Delivery","G6/G7","Declared disabled","610","590","58400","55210"
"In post","2022","Operational Delivery","G6/G7","Declared non-disabled","5560","5420","58600","55300"
"In post","2022","Operational Delivery","G6/G7","Undeclared","320","310","60690","57540"
"In post","2022","Operational Delivery","G6/G7","Unknown","1550","1510","58730","55370"
"In post","2022","Operational Delivery","SCS","Declared disabled","60","60","93770","85850"
"In post","2022","Operational Delivery","SCS","Declared non-disabled","580","570","89300","82270"
"In post","2022","Operational Delivery","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","SCS","Unknown","200","200","96830","89890"
"In post","2022","Operational Delivery","SEO/HEO","Declared disabled","3770","3560","36710","35120"
"In post","2022","Operational Delivery","SEO/HEO","Declared non-disabled","26460","25230","36780","35200"
"In post","2022","Operational Delivery","SEO/HEO","Undeclared","2290","2180","38030","36720"
"In post","2022","Operational Delivery","SEO/HEO","Unknown","5710","5490","37590","36820"
"In post","2022","Operational Delivery","Unknown","Declared disabled","3320","3100","30760","28300"
"In post","2022","Operational Delivery","Unknown","Declared non-disabled","11910","11090","30540","28200"
"In post","2022","Operational Delivery","Unknown","Undeclared","790","730","31190","28760"
"In post","2022","Operational Delivery","Unknown","Unknown","3460","3120","27730","26000"
"In post","2022","Operational Research","AA/AO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","AA/AO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","EO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","EO","Declared non-disabled","30","30","[c]","[c]"
"In post","2022","Operational Research","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","G6/G7","Declared disabled","40","30","[c]","[c]"
"In post","2022","Operational Research","G6/G7","Declared non-disabled","410","390","55190","54460"
"In post","2022","Operational Research","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","G6/G7","Unknown","30","30","[c]","[c]"
"In post","2022","Operational Research","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","SEO/HEO","Declared disabled","40","40","[c]","[c]"
"In post","2022","Operational Research","SEO/HEO","Declared non-disabled","410","390","36990","38070"
"In post","2022","Operational Research","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","SEO/HEO","Unknown","60","60","37360","36590"
"In post","2022","Operational Research","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Other","AA/AO","Declared disabled","1290","1170","21380","21260"
"In post","2022","Other","AA/AO","Declared non-disabled","7190","6660","21280","21260"
"In post","2022","Other","AA/AO","Undeclared","700","660","21190","21260"
"In post","2022","Other","AA/AO","Unknown","1380","1300","22040","21260"
"In post","2022","Other","EO","Declared disabled","1210","1120","27420","27570"
"In post","2022","Other","EO","Declared non-disabled","6090","5770","27130","27570"
"In post","2022","Other","EO","Undeclared","500","480","27290","27570"
"In post","2022","Other","EO","Unknown","960","920","27490","27570"
"In post","2022","Other","G6/G7","Declared disabled","140","140","58250","56730"
"In post","2022","Other","G6/G7","Declared non-disabled","1470","1420","60510","57460"
"In post","2022","Other","G6/G7","Undeclared","70","60","58250","57230"
"In post","2022","Other","G6/G7","Unknown","400","380","59550","56540"
"In post","2022","Other","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Other","SCS","Declared non-disabled","240","230","97530","88110"
"In post","2022","Other","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Other","SCS","Unknown","60","60","92760","88540"
"In post","2022","Other","SEO/HEO","Declared disabled","660","630","35370","34290"
"In post","2022","Other","SEO/HEO","Declared non-disabled","4660","4490","35820","35010"
"In post","2022","Other","SEO/HEO","Undeclared","400","380","36020","34460"
"In post","2022","Other","SEO/HEO","Unknown","990","950","38650","38690"
"In post","2022","Other","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Other","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Other","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Other","Unknown","Unknown","1940","1940","37400","34160"
"In post","2022","Planning","AA/AO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Planning","AA/AO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Planning","EO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Planning","EO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Planning","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Planning","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Planning","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Planning","G6/G7","Declared non-disabled","60","60","58160","57110"
"In post","2022","Planning","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Planning","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Planning","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Planning","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Planning","SEO/HEO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Planning","SEO/HEO","Declared non-disabled","90","80","39130","39100"
"In post","2022","Planning","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Planning","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectors","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectors","G6/G7","Declared non-disabled","260","230","57120","58810"
"In post","2022","Planning Inspectors","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectors","G6/G7","Unknown","70","60","56070","58810"
"In post","2022","Planning Inspectors","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectors","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectors","SEO/HEO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectors","SEO/HEO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectors","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectors","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectors","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Policy","AA/AO","Declared disabled","80","70","24240","24370"
"In post","2022","Policy","AA/AO","Declared non-disabled","440","420","23880","24340"
"In post","2022","Policy","AA/AO","Undeclared","40","30","[c]","[c]"
"In post","2022","Policy","AA/AO","Unknown","100","100","22720","22090"
"In post","2022","Policy","EO","Declared disabled","330","320","28240","27850"
"In post","2022","Policy","EO","Declared non-disabled","1730","1670","28320","28310"
"In post","2022","Policy","EO","Undeclared","120","120","28360","28110"
"In post","2022","Policy","EO","Unknown","570","560","27360","27500"
"In post","2022","Policy","G6/G7","Declared disabled","1100","1060","57970","55620"
"In post","2022","Policy","G6/G7","Declared non-disabled","9150","8850","58340","57200"
"In post","2022","Policy","G6/G7","Undeclared","690","670","58200","56040"
"In post","2022","Policy","G6/G7","Unknown","2180","2130","57630","55210"
"In post","2022","Policy","SCS","Declared disabled","130","120","87470","78000"
"In post","2022","Policy","SCS","Declared non-disabled","1470","1410","84840","77650"
"In post","2022","Policy","SCS","Undeclared","80","80","82340","77000"
"In post","2022","Policy","SCS","Unknown","230","230","88250","78310"
"In post","2022","Policy","SEO/HEO","Declared disabled","1460","1420","36730","36340"
"In post","2022","Policy","SEO/HEO","Declared non-disabled","9600","9350","37430","37000"
"In post","2022","Policy","SEO/HEO","Undeclared","780","760","36620","36360"
"In post","2022","Policy","SEO/HEO","Unknown","2640","2590","36720","36500"
"In post","2022","Policy","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Policy","Unknown","Unknown","40","30","[c]","[c]"
"In post","2022","Project Delivery","AA/AO","Declared disabled","90","80","22220","21260"
"In post","2022","Project Delivery","AA/AO","Declared non-disabled","320","270","21980","21260"
"In post","2022","Project Delivery","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","AA/AO","Unknown","30","30","[c]","[c]"
"In post","2022","Project Delivery","EO","Declared disabled","150","140","27060","26820"
"In post","2022","Project Delivery","EO","Declared non-disabled","980","920","26820","26750"
"In post","2022","Project Delivery","EO","Undeclared","70","60","27360","26780"
