"Status","Year","Sexual_orientation","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Unknown","G6/G7","Operational Delivery","1030","1000","58200","55460"
"In post","2021","Unknown","G6/G7","Operational Research","60","60","54730","55240"
"In post","2021","Unknown","G6/G7","Other","400","380","59640","57430"
"In post","2021","Unknown","G6/G7","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Planning Inspectors","40","30","[c]","[c]"
"In post","2021","Unknown","G6/G7","Policy","1900","1850","58080","55620"
"In post","2021","Unknown","G6/G7","Project Delivery","600","590","55600","53700"
"In post","2021","Unknown","G6/G7","Property","150","150","57860","55930"
"In post","2021","Unknown","G6/G7","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Science and Engineering","890","840","54910","53270"
"In post","2021","Unknown","G6/G7","Security","60","60","58310","54810"
"In post","2021","Unknown","G6/G7","Social Research","30","30","[c]","[c]"
"In post","2021","Unknown","G6/G7","Statistics","90","90","55660","55070"
"In post","2021","Unknown","G6/G7","Tax","450","430","56990","52580"
"In post","2021","Unknown","G6/G7","Unknown","2640","2560","60430","58450"
"In post","2021","Unknown","G6/G7","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Communications","30","30","[c]","[c]"
"In post","2021","Unknown","SCS","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Unknown","SCS","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Legal","90","90","87480","82100"
"In post","2021","Unknown","SCS","Medicine","110","100","116000","112850"
"In post","2021","Unknown","SCS","Operational Delivery","100","90","99710","93000"
"In post","2021","Unknown","SCS","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Other","70","60","97640","89490"
"In post","2021","Unknown","SCS","Policy","250","240","90540","80000"
"In post","2021","Unknown","SCS","Project Delivery","40","40","[c]","[c]"
"In post","2021","Unknown","SCS","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Unknown","680","660","89290","77920"
"In post","2021","Unknown","SCS","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Commercial","490","480","36960","37400"
"In post","2021","Unknown","SEO/HEO","Communications","410","400","37910","37900"
"In post","2021","Unknown","SEO/HEO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Counter Fraud","140","140","38150","39170"
"In post","2021","Unknown","SEO/HEO","Digital, Data and Technology","1660","1630","37170","36800"
"In post","2021","Unknown","SEO/HEO","Economics","210","210","34760","33880"
"In post","2021","Unknown","SEO/HEO","Finance","580","570","36860","36540"
"In post","2021","Unknown","SEO/HEO","Human Resources","390","370","35760","34830"
"In post","2021","Unknown","SEO/HEO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Intelligence Analysis","120","120","37050","36360"
"In post","2021","Unknown","SEO/HEO","Internal Audit","30","30","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","International Trade","230","230","35370","34770"
"In post","2021","Unknown","SEO/HEO","Knowledge and Information Management","150","140","36950","36590"
"In post","2021","Unknown","SEO/HEO","Legal","760","720","36860","36160"
"In post","2021","Unknown","SEO/HEO","Medicine","140","120","37810","37890"
"In post","2021","Unknown","SEO/HEO","Operational Delivery","4560","4320","36460","35060"
"In post","2021","Unknown","SEO/HEO","Operational Research","70","70","37070","36590"
"In post","2021","Unknown","SEO/HEO","Other","790","750","38630","38500"
"In post","2021","Unknown","SEO/HEO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Policy","2070","2020","36830","36320"
"In post","2021","Unknown","SEO/HEO","Project Delivery","1130","1100","36730","37580"
"In post","2021","Unknown","SEO/HEO","Property","460","440","37500","36780"
"In post","2021","Unknown","SEO/HEO","Psychology","100","100","39610","40060"
"In post","2021","Unknown","SEO/HEO","Science and Engineering","1560","1480","37270","37420"
"In post","2021","Unknown","SEO/HEO","Security","200","190","39530","37560"
"In post","2021","Unknown","SEO/HEO","Social Research","130","120","34950","36030"
"In post","2021","Unknown","SEO/HEO","Statistics","190","180","35660","36160"
"In post","2021","Unknown","SEO/HEO","Tax","1880","1790","34340","31870"
"In post","2021","Unknown","SEO/HEO","Unknown","6240","6040","34660","33250"
"In post","2021","Unknown","SEO/HEO","Veterinarian","50","40","[c]","[c]"
"In post","2021","Unknown","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Operational Delivery","1000","900","26940","24020"
"In post","2021","Unknown","Unknown","Other","1860","1860","37660","34460"
"In post","2021","Unknown","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Project Delivery","30","30","[c]","[c]"
"In post","2021","Unknown","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Science and Engineering","90","90","33770","31600"
"In post","2021","Unknown","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","AA/AO","Commercial","170","160","22450","21380"
"In post","2022","Heterosexual / straight","AA/AO","Communications","140","140","22330","21550"
"In post","2022","Heterosexual / straight","AA/AO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","AA/AO","Counter Fraud","970","840","22500","21260"
"In post","2022","Heterosexual / straight","AA/AO","Digital, Data and Technology","460","440","22030","21380"
"In post","2022","Heterosexual / straight","AA/AO","Economics","60","60","21920","20830"
"In post","2022","Heterosexual / straight","AA/AO","Finance","660","590","22000","21380"
"In post","2022","Heterosexual / straight","AA/AO","Geography","40","40","[c]","[c]"
"In post","2022","Heterosexual / straight","AA/AO","Human Resources","910","830","22010","21380"
"In post","2022","Heterosexual / straight","AA/AO","Intelligence Analysis","90","80","23350","21830"
"In post","2022","Heterosexual / straight","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","AA/AO","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","AA/AO","Knowledge and Information Management","250","240","22310","21380"
"In post","2022","Heterosexual / straight","AA/AO","Legal","160","150","22420","22080"
"In post","2022","Heterosexual / straight","AA/AO","Medicine","230","210","23260","23280"
"In post","2022","Heterosexual / straight","AA/AO","Operational Delivery","64260","57450","23000","21650"
"In post","2022","Heterosexual / straight","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","AA/AO","Other","7870","7310","21300","21260"
"In post","2022","Heterosexual / straight","AA/AO","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","AA/AO","Policy","480","450","23760","24310"
"In post","2022","Heterosexual / straight","AA/AO","Project Delivery","270","230","22070","21260"
"In post","2022","Heterosexual / straight","AA/AO","Property","650","610","20070","19050"
"In post","2022","Heterosexual / straight","AA/AO","Psychology","50","50","21580","21550"
"In post","2022","Heterosexual / straight","AA/AO","Science and Engineering","720","700","21880","22180"
"In post","2022","Heterosexual / straight","AA/AO","Security","3990","3890","26340","22460"
"In post","2022","Heterosexual / straight","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","AA/AO","Statistics","40","30","[c]","[c]"
"In post","2022","Heterosexual / straight","AA/AO","Tax","1500","1400","21360","21250"
"In post","2022","Heterosexual / straight","AA/AO","Unknown","2360","2230","22850","21830"
"In post","2022","Heterosexual / straight","AA/AO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","EO","Commercial","620","590","26300","26350"
"In post","2022","Heterosexual / straight","EO","Communications","390","370","27710","27270"
"In post","2022","Heterosexual / straight","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","EO","Counter Fraud","2380","2160","28050","27570"
"In post","2022","Heterosexual / straight","EO","Digital, Data and Technology","2260","2160","27720","27570"
"In post","2022","Heterosexual / straight","EO","Economics","100","90","27010","26820"
"In post","2022","Heterosexual / straight","EO","Finance","1780","1690","26870","26670"
"In post","2022","Heterosexual / straight","EO","Geography","90","80","27540","26740"
"In post","2022","Heterosexual / straight","EO","Human Resources","1230","1150","27420","26930"
"In post","2022","Heterosexual / straight","EO","Intelligence Analysis","1180","1110","27650","27370"
"In post","2022","Heterosexual / straight","EO","Internal Audit","30","30","[c]","[c]"
"In post","2022","Heterosexual / straight","EO","International Trade","60","60","27100","26510"
"In post","2022","Heterosexual / straight","EO","Knowledge and Information Management","400","380","27630","27570"
"In post","2022","Heterosexual / straight","EO","Legal","1130","1080","28280","26970"
"In post","2022","Heterosexual / straight","EO","Medicine","230","210","31800","31530"
"In post","2022","Heterosexual / straight","EO","Operational Delivery","57570","53000","28080","27570"
"In post","2022","Heterosexual / straight","EO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","EO","Other","6520","6170","27110","27570"
"In post","2022","Heterosexual / straight","EO","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","EO","Policy","1950","1880","28150","27960"
"In post","2022","Heterosexual / straight","EO","Project Delivery","1000","940","26840","26670"
"In post","2022","Heterosexual / straight","EO","Property","1010","950","27230","26880"
"In post","2022","Heterosexual / straight","EO","Psychology","310","300","26760","26850"
"In post","2022","Heterosexual / straight","EO","Science and Engineering","1290","1270","26040","26370"
"In post","2022","Heterosexual / straight","EO","Security","790","770","33320","29080"
"In post","2022","Heterosexual / straight","EO","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","EO","Statistics","160","160","28250","28350"
"In post","2022","Heterosexual / straight","EO","Tax","2610","2460","27410","26820"
"In post","2022","Heterosexual / straight","EO","Unknown","3190","3080","28080","27500"
"In post","2022","Heterosexual / straight","EO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","G6/G7","Commercial","900","870","58110","54760"
"In post","2022","Heterosexual / straight","G6/G7","Communications","720","690","58750","57430"
"In post","2022","Heterosexual / straight","G6/G7","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","G6/G7","Counter Fraud","110","110","59630","58240"
"In post","2022","Heterosexual / straight","G6/G7","Digital, Data and Technology","3730","3660","58440","56750"
"In post","2022","Heterosexual / straight","G6/G7","Economics","640","610","60040","57620"
"In post","2022","Heterosexual / straight","G6/G7","Finance","2030","1980","58880","57500"
"In post","2022","Heterosexual / straight","G6/G7","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","G6/G7","Human Resources","1660","1600","58020","56630"
"In post","2022","Heterosexual / straight","G6/G7","Inspector of Education and Training","460","460","75390","75500"
"In post","2022","Heterosexual / straight","G6/G7","Intelligence Analysis","170","170","59690","58350"
"In post","2022","Heterosexual / straight","G6/G7","Internal Audit","170","160","58490","58550"
"In post","2022","Heterosexual / straight","G6/G7","International Trade","400","400","56540","54300"
"In post","2022","Heterosexual / straight","G6/G7","Knowledge and Information Management","210","200","57820","55710"
"In post","2022","Heterosexual / straight","G6/G7","Legal","4250","3950","58680","56890"
"In post","2022","Heterosexual / straight","G6/G7","Medicine","520","450","73950","75970"
"In post","2022","Heterosexual / straight","G6/G7","Operational Delivery","5640","5500","58710","55320"
"In post","2022","Heterosexual / straight","G6/G7","Operational Research","230","220","57540","57480"
"In post","2022","Heterosexual / straight","G6/G7","Other","1420","1380","60530","57460"
"In post","2022","Heterosexual / straight","G6/G7","Planning","60","60","58800","59500"
"In post","2022","Heterosexual / straight","G6/G7","Planning Inspectors","270","240","57120","58810"
"In post","2022","Heterosexual / straight","G6/G7","Policy","9180","8870","58230","57000"
"In post","2022","Heterosexual / straight","G6/G7","Project Delivery","3430","3340","57860","55210"
"In post","2022","Heterosexual / straight","G6/G7","Property","1140","1110","58360","57150"
"In post","2022","Heterosexual / straight","G6/G7","Psychology","80","80","67470","65520"
"In post","2022","Heterosexual / straight","G6/G7","Science and Engineering","1550","1480","56750","55140"
"In post","2022","Heterosexual / straight","G6/G7","Security","340","330","58930","57680"
"In post","2022","Heterosexual / straight","G6/G7","Social Research","280","260","57310","55980"
"In post","2022","Heterosexual / straight","G6/G7","Statistics","590","560","58660","59220"
"In post","2022","Heterosexual / straight","G6/G7","Tax","2080","1990","59470","55210"
"In post","2022","Heterosexual / straight","G6/G7","Unknown","4650","4520","61340","61190"
"In post","2022","Heterosexual / straight","G6/G7","Veterinarian","90","90","54100","54310"
"In post","2022","Heterosexual / straight","SCS","Commercial","80","80","86730","79530"
"In post","2022","Heterosexual / straight","SCS","Communications","80","70","87760","81710"
"In post","2022","Heterosexual / straight","SCS","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","SCS","Digital, Data and Technology","220","220","92170","86370"
"In post","2022","Heterosexual / straight","SCS","Economics","70","70","91970","81170"
"In post","2022","Heterosexual / straight","SCS","Finance","260","260","88420","80680"
"In post","2022","Heterosexual / straight","SCS","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","SCS","Human Resources","180","180","87440","80000"
"In post","2022","Heterosexual / straight","SCS","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","SCS","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","SCS","International Trade","80","80","82700","75170"
"In post","2022","Heterosexual / straight","SCS","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","SCS","Legal","270","260","88780","83080"
"In post","2022","Heterosexual / straight","SCS","Medicine","190","170","103460","101340"
"In post","2022","Heterosexual / straight","SCS","Operational Delivery","590","580","91340","83830"
"In post","2022","Heterosexual / straight","SCS","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","SCS","Other","230","220","96620","88580"
"In post","2022","Heterosexual / straight","SCS","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","SCS","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","SCS","Policy","1460","1410","85300","77770"
"In post","2022","Heterosexual / straight","SCS","Project Delivery","280","280","91290","86660"
"In post","2022","Heterosexual / straight","SCS","Property","80","70","86770","80000"
"In post","2022","Heterosexual / straight","SCS","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","SCS","Science and Engineering","60","60","96370","93100"
"In post","2022","Heterosexual / straight","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","SCS","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","SCS","Statistics","40","40","[c]","[c]"
"In post","2022","Heterosexual / straight","SCS","Tax","60","60","81620","78000"
"In post","2022","Heterosexual / straight","SCS","Unknown","730","710","94570","83230"
"In post","2022","Heterosexual / straight","SCS","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","SEO/HEO","Commercial","2520","2430","37090","36780"
"In post","2022","Heterosexual / straight","SEO/HEO","Communications","1420","1370","37970","37930"
"In post","2022","Heterosexual / straight","SEO/HEO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","SEO/HEO","Counter Fraud","900","850","35220","34270"
"In post","2022","Heterosexual / straight","SEO/HEO","Digital, Data and Technology","6520","6340","37830","37290"
"In post","2022","Heterosexual / straight","SEO/HEO","Economics","560","550","35750","34540"
"In post","2022","Heterosexual / straight","SEO/HEO","Finance","4320","4170","37430","36500"
"In post","2022","Heterosexual / straight","SEO/HEO","Geography","180","170","35570","33290"
"In post","2022","Heterosexual / straight","SEO/HEO","Human Resources","3320","3160","36630","36050"
"In post","2022","Heterosexual / straight","SEO/HEO","Inspector of Education and Training","340","330","50310","51360"
"In post","2022","Heterosexual / straight","SEO/HEO","Intelligence Analysis","920","900","36900","36140"
"In post","2022","Heterosexual / straight","SEO/HEO","Internal Audit","360","340","40540","40520"
"In post","2022","Heterosexual / straight","SEO/HEO","International Trade","420","410","36180","37930"
"In post","2022","Heterosexual / straight","SEO/HEO","Knowledge and Information Management","710","680","36710","35980"
"In post","2022","Heterosexual / straight","SEO/HEO","Legal","2510","2360","39680","38590"
"In post","2022","Heterosexual / straight","SEO/HEO","Medicine","560","510","40040","39030"
"In post","2022","Heterosexual / straight","SEO/HEO","Operational Delivery","27470","26200","37050","35570"
"In post","2022","Heterosexual / straight","SEO/HEO","Operational Research","250","240","37830","38070"
"In post","2022","Heterosexual / straight","SEO/HEO","Other","4930","4740","35880","35010"
"In post","2022","Heterosexual / straight","SEO/HEO","Planning","80","80","39260","39100"
"In post","2022","Heterosexual / straight","SEO/HEO","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","SEO/HEO","Policy","10060","9800","37200","36740"
"In post","2022","Heterosexual / straight","SEO/HEO","Project Delivery","6090","5860","37260","37610"
"In post","2022","Heterosexual / straight","SEO/HEO","Property","2470","2370","37580","36450"
"In post","2022","Heterosexual / straight","SEO/HEO","Psychology","690","660","37230","33020"
"In post","2022","Heterosexual / straight","SEO/HEO","Science and Engineering","4170","3990","37640","38070"
"In post","2022","Heterosexual / straight","SEO/HEO","Security","1330","1300","39290","37450"
"In post","2022","Heterosexual / straight","SEO/HEO","Social Research","620","590","36540","37610"
"In post","2022","Heterosexual / straight","SEO/HEO","Statistics","870","840","37570","37930"
"In post","2022","Heterosexual / straight","SEO/HEO","Tax","5260","5020","36210","33370"
"In post","2022","Heterosexual / straight","SEO/HEO","Unknown","6860","6670","38130","37300"
"In post","2022","Heterosexual / straight","SEO/HEO","Veterinarian","170","170","39490","37510"
"In post","2022","Heterosexual / straight","Unknown","Commercial","160","150","40040","39430"
"In post","2022","Heterosexual / straight","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Finance","70","60","50290","44130"
"In post","2022","Heterosexual / straight","Unknown","Human Resources","30","30","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Operational Delivery","13800","12840","30440","28200"
"In post","2022","Heterosexual / straight","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Other","140","140","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Project Delivery","400","390","45170","41540"
"In post","2022","Heterosexual / straight","Unknown","Property","40","40","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Science and Engineering","610","610","41280","39860"
"In post","2022","Heterosexual / straight","Unknown","Security","150","140","32470","29680"
"In post","2022","Heterosexual / straight","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","AA/AO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","AA/AO","Counter Fraud","50","40","[c]","[c]"
"In post","2022","LGBO","AA/AO","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2022","LGBO","AA/AO","Economics","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","AA/AO","Geography","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","AA/AO","Human Resources","50","50","[c]","[c]"
"In post","2022","LGBO","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","AA/AO","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","AA/AO","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","AA/AO","Operational Delivery","4130","3930","23310","21550"
"In post","2022","LGBO","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","AA/AO","Other","320","310","21350","21260"
"In post","2022","LGBO","AA/AO","Planning","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","AA/AO","Policy","30","30","[c]","[c]"
"In post","2022","LGBO","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","AA/AO","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","AA/AO","Science and Engineering","50","50","21880","22010"
"In post","2022","LGBO","AA/AO","Security","160","160","27890","25000"
"In post","2022","LGBO","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","AA/AO","Tax","170","170","21360","21250"
"In post","2022","LGBO","AA/AO","Unknown","250","240","22500","21260"
"In post","2022","LGBO","AA/AO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","EO","Commercial","50","50","[c]","[c]"
"In post","2022","LGBO","EO","Communications","30","30","[c]","[c]"
"In post","2022","LGBO","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","EO","Counter Fraud","130","120","28350","27570"
"In post","2022","LGBO","EO","Digital, Data and Technology","150","150","27240","27230"
"In post","2022","LGBO","EO","Economics","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","EO","Finance","80","80","26450","26670"
"In post","2022","LGBO","EO","Geography","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","EO","Human Resources","90","90","27030","27130"
"In post","2022","LGBO","EO","Intelligence Analysis","60","50","27370","27370"
"In post","2022","LGBO","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","EO","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","EO","Legal","80","70","28540","27130"
"In post","2022","LGBO","EO","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","EO","Operational Delivery","3390","3270","28070","27570"
"In post","2022","LGBO","EO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","EO","Other","380","370","27290","27570"
"In post","2022","LGBO","EO","Planning","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","EO","Policy","190","190","27720","27850"
"In post","2022","LGBO","EO","Project Delivery","60","60","26680","26580"
"In post","2022","LGBO","EO","Property","50","50","27000","26440"
"In post","2022","LGBO","EO","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","EO","Science and Engineering","90","80","26240","26370"
"In post","2022","LGBO","EO","Security","40","40","[c]","[c]"
"In post","2022","LGBO","EO","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","EO","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","EO","Tax","240","240","26940","26820"
"In post","2022","LGBO","EO","Unknown","320","320","27450","27230"
"In post","2022","LGBO","EO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","G6/G7","Commercial","50","50","[c]","[c]"
"In post","2022","LGBO","G6/G7","Communications","60","60","58200","56360"
"In post","2022","LGBO","G6/G7","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","G6/G7","Digital, Data and Technology","220","220","58320","56810"
"In post","2022","LGBO","G6/G7","Economics","60","50","57870","56180"
"In post","2022","LGBO","G6/G7","Finance","100","100","58090","57290"
"In post","2022","LGBO","G6/G7","Geography","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","G6/G7","Human Resources","130","120","58340","57800"
"In post","2022","LGBO","G6/G7","Inspector of Education and Training","40","40","[c]","[c]"
"In post","2022","LGBO","G6/G7","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","G6/G7","International Trade","40","40","[c]","[c]"
"In post","2022","LGBO","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","G6/G7","Legal","250","240","60170","58530"
"In post","2022","LGBO","G6/G7","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","G6/G7","Operational Delivery","310","310","58450","54800"
"In post","2022","LGBO","G6/G7","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","G6/G7","Other","90","80","57070","54740"
"In post","2022","LGBO","G6/G7","Planning","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","G6/G7","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","G6/G7","Policy","940","930","57470","54860"
"In post","2022","LGBO","G6/G7","Project Delivery","190","180","56650","54650"
"In post","2022","LGBO","G6/G7","Property","50","50","58450","57400"
"In post","2022","LGBO","G6/G7","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","G6/G7","Science and Engineering","60","60","57770","57480"
"In post","2022","LGBO","G6/G7","Security","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","G6/G7","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","G6/G7","Statistics","50","50","[c]","[c]"
"In post","2022","LGBO","G6/G7","Tax","140","140","58050","55210"
"In post","2022","LGBO","G6/G7","Unknown","420","410","59610","57190"
