"Status","Year","Ethnicity","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Mixed","Male","Other","170","170","31940","27570"
"In post","2022","Mixed","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Male","Policy","450","450","47440","45160"
"In post","2022","Mixed","Male","Project Delivery","120","120","43370","40350"
"In post","2022","Mixed","Male","Property","40","40","[c]","[c]"
"In post","2022","Mixed","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Male","Science and Engineering","130","130","39050","38070"
"In post","2022","Mixed","Male","Security","70","70","35620","34290"
"In post","2022","Mixed","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Male","Tax","150","140","37750","33370"
"In post","2022","Mixed","Male","Unknown","210","210","46080","40180"
"In post","2022","Mixed","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Female","Digital, Data and Technology","40","30","[c]","[c]"
"In post","2022","Other ethnicity","Female","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Female","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Female","Human Resources","40","40","[c]","[c]"
"In post","2022","Other ethnicity","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Female","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Female","Legal","60","50","52890","52890"
"In post","2022","Other ethnicity","Female","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Female","Operational Delivery","710","650","29600","27740"
"In post","2022","Other ethnicity","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Female","Other","60","60","34450","29430"
"In post","2022","Other ethnicity","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Female","Policy","170","160","44670","40050"
"In post","2022","Other ethnicity","Female","Project Delivery","30","30","[c]","[c]"
"In post","2022","Other ethnicity","Female","Property","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Female","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Female","Science and Engineering","30","30","[c]","[c]"
"In post","2022","Other ethnicity","Female","Security","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Female","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Female","Tax","40","40","[c]","[c]"
"In post","2022","Other ethnicity","Female","Unknown","70","70","41640","36650"
"In post","2022","Other ethnicity","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Male","Digital, Data and Technology","70","60","45090","39910"
"In post","2022","Other ethnicity","Male","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Male","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Male","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Male","Legal","40","30","[c]","[c]"
"In post","2022","Other ethnicity","Male","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Male","Operational Delivery","550","530","30920","28550"
"In post","2022","Other ethnicity","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Male","Other","60","60","40410","31770"
"In post","2022","Other ethnicity","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Male","Policy","160","150","47100","48920"
"In post","2022","Other ethnicity","Male","Project Delivery","40","30","[c]","[c]"
"In post","2022","Other ethnicity","Male","Property","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Male","Science and Engineering","50","50","41930","40930"
"In post","2022","Other ethnicity","Male","Security","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Male","Tax","50","50","[c]","[c]"
"In post","2022","Other ethnicity","Male","Unknown","50","50","42610","35850"
"In post","2022","Other ethnicity","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","Commercial","110","100","39270","37590"
"In post","2022","Undeclared","Female","Communications","50","40","[c]","[c]"
"In post","2022","Undeclared","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","Counter Fraud","180","160","28370","27570"
"In post","2022","Undeclared","Female","Digital, Data and Technology","220","210","41460","38670"
"In post","2022","Undeclared","Female","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","Finance","220","210","38020","33700"
"In post","2022","Undeclared","Female","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","Human Resources","170","160","36940","33630"
"In post","2022","Undeclared","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","Intelligence Analysis","50","50","33940","31520"
"In post","2022","Undeclared","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","Knowledge and Information Management","70","60","33780","31260"
"In post","2022","Undeclared","Female","Legal","210","190","49350","48830"
"In post","2022","Undeclared","Female","Medicine","40","40","[c]","[c]"
"In post","2022","Undeclared","Female","Operational Delivery","4570","3960","28260","27370"
"In post","2022","Undeclared","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","Other","510","470","28270","26670"
"In post","2022","Undeclared","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","Policy","460","440","45710","41950"
"In post","2022","Undeclared","Female","Project Delivery","250","240","40980","39860"
"In post","2022","Undeclared","Female","Property","230","200","35740","31900"
"In post","2022","Undeclared","Female","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","Science and Engineering","220","200","41940","40060"
"In post","2022","Undeclared","Female","Security","80","80","35500","33000"
"In post","2022","Undeclared","Female","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","Tax","270","250","39140","33600"
"In post","2022","Undeclared","Female","Unknown","230","220","42300","37970"
"In post","2022","Undeclared","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Male","Commercial","140","140","41410","38980"
"In post","2022","Undeclared","Male","Communications","60","60","42280","39980"
"In post","2022","Undeclared","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Male","Counter Fraud","210","190","29350","27570"
"In post","2022","Undeclared","Male","Digital, Data and Technology","830","820","42420","40000"
"In post","2022","Undeclared","Male","Economics","40","40","[c]","[c]"
"In post","2022","Undeclared","Male","Finance","310","310","41750","38150"
"In post","2022","Undeclared","Male","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Male","Human Resources","110","110","37710","33350"
"In post","2022","Undeclared","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Male","Intelligence Analysis","140","140","37030","33300"
"In post","2022","Undeclared","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Male","International Trade","40","40","[c]","[c]"
"In post","2022","Undeclared","Male","Knowledge and Information Management","90","90","37020","33300"
"In post","2022","Undeclared","Male","Legal","290","280","46120","41080"
"In post","2022","Undeclared","Male","Medicine","30","30","[c]","[c]"
"In post","2022","Undeclared","Male","Operational Delivery","5150","4880","30480","27570"
"In post","2022","Undeclared","Male","Operational Research","50","50","[c]","[c]"
"In post","2022","Undeclared","Male","Other","730","700","31030","27570"
"In post","2022","Undeclared","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Male","Policy","760","740","50050","49500"
"In post","2022","Undeclared","Male","Project Delivery","460","440","46230","42580"
"In post","2022","Undeclared","Male","Property","360","340","40090","36450"
"In post","2022","Undeclared","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Male","Science and Engineering","770","750","41770","40580"
"In post","2022","Undeclared","Male","Security","370","360","36190","39070"
"In post","2022","Undeclared","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Male","Statistics","40","40","[c]","[c]"
"In post","2022","Undeclared","Male","Tax","480","460","42560","40180"
"In post","2022","Undeclared","Male","Unknown","390","380","46040","40520"
"In post","2022","Undeclared","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Commercial","370","350","38130","36500"
"In post","2022","Unknown","Female","Communications","430","410","42760","38620"
"In post","2022","Unknown","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Counter Fraud","230","210","31280","27570"
"In post","2022","Unknown","Female","Digital, Data and Technology","890","860","41420","38250"
"In post","2022","Unknown","Female","Economics","90","90","42420","34880"
"In post","2022","Unknown","Female","Finance","610","580","38630","35310"
"In post","2022","Unknown","Female","Geography","30","30","[c]","[c]"
"In post","2022","Unknown","Female","Human Resources","550","530","36810","32170"
"In post","2022","Unknown","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Intelligence Analysis","110","110","32930","29230"
"In post","2022","Unknown","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","International Trade","200","200","44130","39310"
"In post","2022","Unknown","Female","Knowledge and Information Management","110","100","35720","33000"
"In post","2022","Unknown","Female","Legal","970","900","46530","45600"
"In post","2022","Unknown","Female","Medicine","270","230","45860","39030"
"In post","2022","Unknown","Female","Operational Delivery","19140","17370","26980","24800"
"In post","2022","Unknown","Female","Operational Research","40","40","[c]","[c]"
"In post","2022","Unknown","Female","Other","1430","1350","32180","27570"
"In post","2022","Unknown","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Policy","2170","2090","45620","41850"
"In post","2022","Unknown","Female","Project Delivery","740","710","41860","39470"
"In post","2022","Unknown","Female","Property","330","310","32090","29000"
"In post","2022","Unknown","Female","Psychology","160","150","32060","30450"
"In post","2022","Unknown","Female","Science and Engineering","200","190","36900","33170"
"In post","2022","Unknown","Female","Security","220","210","32430","29750"
"In post","2022","Unknown","Female","Social Research","100","100","40490","38340"
"In post","2022","Unknown","Female","Statistics","130","120","36840","34710"
"In post","2022","Unknown","Female","Tax","2070","1940","28710","26820"
"In post","2022","Unknown","Female","Unknown","4960","4790","39480","32000"
"In post","2022","Unknown","Female","Veterinarian","30","30","[c]","[c]"
"In post","2022","Unknown","Male","Commercial","330","320","40390","37400"
"In post","2022","Unknown","Male","Communications","300","300","44550","40520"
"In post","2022","Unknown","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Counter Fraud","200","200","35270","31060"
"In post","2022","Unknown","Male","Digital, Data and Technology","2080","2060","42200","38060"
"In post","2022","Unknown","Male","Economics","230","220","43480","35330"
"In post","2022","Unknown","Male","Finance","590","580","41250","37830"
"In post","2022","Unknown","Male","Geography","90","90","31270","29290"
"In post","2022","Unknown","Male","Human Resources","270","260","38520","33660"
"In post","2022","Unknown","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Intelligence Analysis","150","150","34450","33080"
"In post","2022","Unknown","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","International Trade","230","220","46030","40520"
"In post","2022","Unknown","Male","Knowledge and Information Management","100","100","36210","31820"
"In post","2022","Unknown","Male","Legal","780","760","43800","38390"
"In post","2022","Unknown","Male","Medicine","120","110","57350","49320"
"In post","2022","Unknown","Male","Operational Delivery","15660","15030","28230","26140"
"In post","2022","Unknown","Male","Operational Research","80","80","41070","38070"
"In post","2022","Unknown","Male","Other","2760","2730","35990","32700"
"In post","2022","Unknown","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Policy","1810","1790","46310","42470"
"In post","2022","Unknown","Male","Project Delivery","770","760","43630","40410"
"In post","2022","Unknown","Male","Property","520","500","36400","32890"
"In post","2022","Unknown","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Science and Engineering","710","700","36180","32720"
"In post","2022","Unknown","Male","Security","910","900","31900","27690"
"In post","2022","Unknown","Male","Social Research","50","50","39160","36920"
"In post","2022","Unknown","Male","Statistics","150","150","40860","37880"
"In post","2022","Unknown","Male","Tax","2500","2440","30910","26820"
"In post","2022","Unknown","Male","Unknown","4410","4350","42320","33250"
"In post","2022","Unknown","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","White","Female","Commercial","2540","2400","38720","36500"
"In post","2022","White","Female","Communications","1730","1640","42460","39500"
"In post","2022","White","Female","Corporate Finance","60","60","43270","38580"
"In post","2022","White","Female","Counter Fraud","2830","2470","28190","27570"
"In post","2022","White","Female","Digital, Data and Technology","4970","4700","40640","37200"
"In post","2022","White","Female","Economics","500","480","49020","50890"
"In post","2022","White","Female","Finance","5150","4840","38550","33630"
"In post","2022","White","Female","Geography","130","110","30970","29290"
"In post","2022","White","Female","Human Resources","5180","4830","38820","33910"
"In post","2022","White","Female","Inspector of Education and Training","600","580","63220","64500"
"In post","2022","White","Female","Intelligence Analysis","1140","1060","31950","28760"
"In post","2022","White","Female","Internal Audit","300","280","44840","42000"
"In post","2022","White","Female","International Trade","380","370","48410","49700"
"In post","2022","White","Female","Knowledge and Information Management","1000","930","34280","31880"
"In post","2022","White","Female","Legal","5000","4520","49750","50520"
"In post","2022","White","Female","Medicine","1240","1080","50720","39630"
"In post","2022","White","Female","Operational Delivery","106700","93900","27990","26820"
"In post","2022","White","Female","Operational Research","340","320","44730","42520"
"In post","2022","White","Female","Other","12250","11230","28910","26350"
"In post","2022","White","Female","Planning","90","80","46220","42560"
"In post","2022","White","Female","Planning Inspectors","120","100","55180","58810"
"In post","2022","White","Female","Policy","12180","11600","47170","43320"
"In post","2022","White","Female","Project Delivery","6070","5700","41800","39360"
"In post","2022","White","Female","Property","2250","2110","36400","33300"
"In post","2022","White","Female","Psychology","1060","1010","36030","31180"
"In post","2022","White","Female","Science and Engineering","3370","3140","38600","37240"
"In post","2022","White","Female","Security","1650","1590","32860","30820"
"In post","2022","White","Female","Social Research","730","690","42310","38340"
"In post","2022","White","Female","Statistics","820","760","44820","40520"
"In post","2022","White","Female","Tax","5620","5190","36030","33370"
"In post","2022","White","Female","Unknown","10570","10020","41670","36130"
"In post","2022","White","Female","Veterinarian","170","160","43810","38530"
"In post","2022","White","Male","Commercial","2070","2030","42020","38980"
"In post","2022","White","Male","Communications","1170","1150","42550","38680"
"In post","2022","White","Male","Corporate Finance","40","40","[c]","[c]"
"In post","2022","White","Male","Counter Fraud","1850","1730","30300","27570"
"In post","2022","White","Male","Digital, Data and Technology","8630","8480","42990","39910"
"In post","2022","White","Male","Economics","820","820","49870","51210"
"In post","2022","White","Male","Finance","3750","3680","43290","39740"
"In post","2022","White","Male","Geography","210","200","31850","33290"
"In post","2022","White","Male","Human Resources","2150","2110","40530","36820"
"In post","2022","White","Male","Inspector of Education and Training","240","230","73840","75500"
"In post","2022","White","Male","Intelligence Analysis","1320","1290","35310","32670"
"In post","2022","White","Male","Internal Audit","270","260","48400","45390"
"In post","2022","White","Male","International Trade","490","490","48980","51030"
"In post","2022","White","Male","Knowledge and Information Management","790","780","37230","33590"
"In post","2022","White","Male","Legal","3520","3410","49320","49580"
"In post","2022","White","Male","Medicine","490","460","63690","54280"
"In post","2022","White","Male","Operational Delivery","71120","67940","30180","27570"
"In post","2022","White","Male","Operational Research","520","500","46870","47010"
"In post","2022","White","Male","Other","9670","9450","31640","27570"
"In post","2022","White","Male","Planning","100","100","45860","41980"
"In post","2022","White","Male","Planning Inspectors","200","180","57580","58810"
"In post","2022","White","Male","Policy","10480","10340","49820","49170"
"In post","2022","White","Male","Project Delivery","5730","5610","46080","41500"
"In post","2022","White","Male","Property","3310","3230","39870","36460"
"In post","2022","White","Male","Psychology","150","140","37250","31180"
"In post","2022","White","Male","Science and Engineering","7480","7290","39660","38070"
"In post","2022","White","Male","Security","5450","5340","32040","28890"
"In post","2022","White","Male","Social Research","310","310","44140","39300"
"In post","2022","White","Male","Statistics","950","930","44520","40160"
"In post","2022","White","Male","Tax","5720","5530","38490","33370"
"In post","2022","White","Male","Unknown","8970","8830","43530","37300"
"In post","2022","White","Male","Veterinarian","150","140","45590","47550"
"In post","2022","White","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","White","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","White","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","White","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","White","Unknown","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Operational Delivery","140","130","26860","23370"
"Leaver CS","2021","Asian","Female","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Science and Engineering","50","40","[c]","[c]"
"Leaver CS","2021","Asian","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Unknown","340","270","26700","25110"
"Leaver CS","2021","Asian","Female","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Operational Delivery","130","110","27080","23600"
"Leaver CS","2021","Asian","Male","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Unknown","240","230","26920","25120"
"Leaver CS","2021","Asian","Male","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Operational Delivery","110","100","24620","23500"
"Leaver CS","2021","Black","Female","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Unknown","160","140","28240","25110"
"Leaver CS","2021","Black","Female","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Male","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
