"Status","Year","Responsibility_level","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","EO","Ministry of Defence","Medicine","300","270","30810","30620"
"In post","2021","EO","Ministry of Defence","Operational Delivery","510","480","27490","26740"
"In post","2021","EO","Ministry of Defence","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","EO","Ministry of Defence","Other","3430","3310","25550","26670"
"In post","2021","EO","Ministry of Defence","Policy","140","140","28880","28670"
"In post","2021","EO","Ministry of Defence","Project Delivery","1150","1110","26250","26670"
"In post","2021","EO","Ministry of Defence","Property","390","380","27020","26670"
"In post","2021","EO","Ministry of Defence","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","EO","Ministry of Defence","Science and Engineering","1230","1200","25210","26020"
"In post","2021","EO","Ministry of Defence","Security","690","680","34680","41770"
"In post","2021","EO","Ministry of Defence","Statistics","50","50","[c]","[c]"
"In post","2021","EO","Ministry of Defence","Unknown","410","390","27920","26670"
"In post","2021","EO","Ministry of Housing, Communities and Local Government","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","EO","Ministry of Housing, Communities and Local Government","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","Ministry of Housing, Communities and Local Government","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","Ministry of Housing, Communities and Local Government","Economics","[c]","[c]","[c]","[c]"
"In post","2021","EO","Ministry of Housing, Communities and Local Government","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Ministry of Housing, Communities and Local Government","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","Ministry of Housing, Communities and Local Government","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","EO","Ministry of Housing, Communities and Local Government","Operational Delivery","150","140","27470","27530"
"In post","2021","EO","Ministry of Housing, Communities and Local Government","Planning","[c]","[c]","[c]","[c]"
"In post","2021","EO","Ministry of Housing, Communities and Local Government","Policy","120","110","28820","27850"
"In post","2021","EO","Ministry of Housing, Communities and Local Government","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Ministry of Housing, Communities and Local Government","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","EO","Ministry of Justice","Commercial","90","90","27490","27380"
"In post","2021","EO","Ministry of Justice","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","Ministry of Justice","Digital, Data and Technology","120","120","25460","26410"
"In post","2021","EO","Ministry of Justice","Economics","[c]","[c]","[c]","[c]"
"In post","2021","EO","Ministry of Justice","Finance","150","140","25780","26410"
"In post","2021","EO","Ministry of Justice","Human Resources","110","110","26650","26410"
"In post","2021","EO","Ministry of Justice","Intelligence Analysis","350","340","28720","27380"
"In post","2021","EO","Ministry of Justice","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","EO","Ministry of Justice","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","EO","Ministry of Justice","Legal","30","30","[c]","[c]"
"In post","2021","EO","Ministry of Justice","Operational Delivery","8610","8180","28480","27380"
"In post","2021","EO","Ministry of Justice","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","EO","Ministry of Justice","Other","[c]","[c]","[c]","[c]"
"In post","2021","EO","Ministry of Justice","Policy","240","230","28990","28960"
"In post","2021","EO","Ministry of Justice","Project Delivery","40","40","[c]","[c]"
"In post","2021","EO","Ministry of Justice","Property","30","30","[c]","[c]"
"In post","2021","EO","Ministry of Justice","Psychology","390","380","26440","26330"
"In post","2021","EO","Ministry of Justice","Security","160","160","31520","29740"
"In post","2021","EO","Ministry of Justice","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","EO","Ministry of Justice","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","EO","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","National Crime Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","EO","National Crime Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","National Crime Agency","Digital, Data and Technology","80","80","31160","30480"
"In post","2021","EO","National Crime Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","National Crime Agency","Human Resources","30","30","[c]","[c]"
"In post","2021","EO","National Crime Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2021","EO","National Crime Agency","Operational Delivery","2290","2240","33640","34140"
"In post","2021","EO","National Crime Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","National Crime Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","EO","National Crime Agency","Security","[c]","[c]","[c]","[c]"
"In post","2021","EO","Northern Ireland Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","Northern Ireland Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Northern Ireland Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","Northern Ireland Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","EO","Northern Ireland Office","Other","[c]","[c]","[c]","[c]"
"In post","2021","EO","Northern Ireland Office","Policy","[c]","[c]","[c]","[c]"
"In post","2021","EO","Northern Ireland Office","Property","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office for Standards in Education","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office for Standards in Education","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office for Standards in Education","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office for Standards in Education","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office for Standards in Education","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office for Standards in Education","Operational Delivery","30","30","[c]","[c]"
"In post","2021","EO","Office for Standards in Education","Other","100","90","26460","25880"
"In post","2021","EO","Office for Standards in Education","Policy","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office for Standards in Education","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office for Standards in Education","Property","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office for Standards in Education","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office for Standards in Education","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Gas and Electricity Markets","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Gas and Electricity Markets","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Gas and Electricity Markets","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Gas and Electricity Markets","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Gas and Electricity Markets","Economics","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Gas and Electricity Markets","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Gas and Electricity Markets","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Gas and Electricity Markets","Legal","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Gas and Electricity Markets","Operational Delivery","80","80","25210","24650"
"In post","2021","EO","Office of Gas and Electricity Markets","Other","120","120","25460","25000"
"In post","2021","EO","Office of Gas and Electricity Markets","Policy","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Gas and Electricity Markets","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Gas and Electricity Markets","Property","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Qualifications and Examinations Regulation","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Qualifications and Examinations Regulation","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Qualifications and Examinations Regulation","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Qualifications and Examinations Regulation","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Qualifications and Examinations Regulation","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Qualifications and Examinations Regulation","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Rail and Road","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Rail and Road","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Rail and Road","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Rail and Road","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Rail and Road","Policy","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Rail and Road","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other Cabinet Office Agencies","Commercial","60","60","23500","22550"
"In post","2021","EO","Other Cabinet Office Agencies","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other Cabinet Office Agencies","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other Cabinet Office Agencies","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other Cabinet Office Agencies","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other Cabinet Office Agencies","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other Cabinet Office Agencies","Other","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other Cabinet Office Agencies","Planning","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other Cabinet Office Agencies","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other Cabinet Office Agencies","Property","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Scotland Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","Scotland Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Scotland Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Scotland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Scottish Government","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","EO","Scottish Government","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","Scottish Government","Digital, Data and Technology","70","70","30030","29710"
"In post","2021","EO","Scottish Government","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Scottish Government","Human Resources","50","50","30220","30080"
"In post","2021","EO","Scottish Government","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","EO","Scottish Government","Legal","[c]","[c]","[c]","[c]"
"In post","2021","EO","Scottish Government","Operational Delivery","2970","2790","31330","33650"
"In post","2021","EO","Scottish Government","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","EO","Scottish Government","Other","110","110","32950","33650"
"In post","2021","EO","Scottish Government","Policy","[c]","[c]","[c]","[c]"
"In post","2021","EO","Scottish Government","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Scottish Government","Property","[c]","[c]","[c]","[c]"
"In post","2021","EO","Scottish Government","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","EO","Scottish Government","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","EO","Scottish Government","Unknown","2210","2120","28600","28170"
"In post","2021","EO","The National Archives","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","EO","The National Archives","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","The National Archives","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","The National Archives","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","The National Archives","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","The National Archives","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","EO","The National Archives","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","The National Archives","Other","[c]","[c]","[c]","[c]"
"In post","2021","EO","The National Archives","Property","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Export Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Export Finance","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Export Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Export Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Export Finance","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Export Finance","Legal","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Export Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Export Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Export Finance","Security","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Supreme Court","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Supreme Court","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Supreme Court","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Supreme Court","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Supreme Court","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Supreme Court","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","United Kingdom Statistics Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","United Kingdom Statistics Authority","Digital, Data and Technology","90","80","23740","23050"
"In post","2021","EO","United Kingdom Statistics Authority","Economics","[c]","[c]","[c]","[c]"
"In post","2021","EO","United Kingdom Statistics Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","United Kingdom Statistics Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","United Kingdom Statistics Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","EO","United Kingdom Statistics Authority","Operational Delivery","550","510","24020","23050"
"In post","2021","EO","United Kingdom Statistics Authority","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","EO","United Kingdom Statistics Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2021","EO","United Kingdom Statistics Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","United Kingdom Statistics Authority","Property","[c]","[c]","[c]","[c]"
"In post","2021","EO","United Kingdom Statistics Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","EO","United Kingdom Statistics Authority","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","EO","United Kingdom Statistics Authority","Statistics","40","30","[c]","[c]"
"In post","2021","EO","Wales Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","Wales Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Wales Office","Policy","[c]","[c]","[c]","[c]"
"In post","2021","EO","Water Services Regulation Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","EO","Water Services Regulation Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","Water Services Regulation Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","Water Services Regulation Authority","Economics","[c]","[c]","[c]","[c]"
"In post","2021","EO","Water Services Regulation Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","Water Services Regulation Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","EO","Water Services Regulation Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2021","EO","Water Services Regulation Authority","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Water Services Regulation Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2021","EO","Water Services Regulation Authority","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","EO","Welsh Government","Communications","30","30","[c]","[c]"
"In post","2021","EO","Welsh Government","Digital, Data and Technology","60","60","28950","28850"
"In post","2021","EO","Welsh Government","Economics","[c]","[c]","[c]","[c]"
"In post","2021","EO","Welsh Government","Finance","80","70","28740","28850"
"In post","2021","EO","Welsh Government","Human Resources","40","40","[c]","[c]"
"In post","2021","EO","Welsh Government","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","EO","Welsh Government","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","EO","Welsh Government","Legal","[c]","[c]","[c]","[c]"
"In post","2021","EO","Welsh Government","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","EO","Welsh Government","Operational Delivery","350","330","28710","28850"
"In post","2021","EO","Welsh Government","Other","60","50","28760","28850"
"In post","2021","EO","Welsh Government","Planning","[c]","[c]","[c]","[c]"
"In post","2021","EO","Welsh Government","Policy","280","260","28770","28850"
"In post","2021","EO","Welsh Government","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Welsh Government","Property","[c]","[c]","[c]","[c]"
"In post","2021","EO","Welsh Government","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","EO","Welsh Government","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","EO","Welsh Government","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","EO","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Attorney General's Departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Attorney General's Departments","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Attorney General's Departments","Counter Fraud","80","80","64080","63000"
"In post","2021","G6/G7","Attorney General's Departments","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","G6/G7","Attorney General's Departments","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Attorney General's Departments","Human Resources","60","60","58040","54760"
"In post","2021","G6/G7","Attorney General's Departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Attorney General's Departments","Legal","4340","3990","58350","55610"
"In post","2021","G6/G7","Attorney General's Departments","Operational Delivery","90","90","60220","58590"
"In post","2021","G6/G7","Attorney General's Departments","Other","40","40","[c]","[c]"
"In post","2021","G6/G7","Attorney General's Departments","Policy","50","50","59460","56580"
"In post","2021","G6/G7","Attorney General's Departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Attorney General's Departments","Security","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Cabinet Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Cabinet Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Cabinet Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Cabinet Office","Other","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Cabinet Office","Policy","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Cabinet Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Cabinet Office","Unknown","2990","2930","59600","56340"
"In post","2021","G6/G7","Chancellor's other departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Chancellor's other departments","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Chancellor's other departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Chancellor's other departments","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Chancellor's other departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Chancellor's other departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Chancellor's other departments","Other","140","130","80990","75420"
"In post","2021","G6/G7","Chancellor's other departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Chancellor's other departments","Property","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Chancellor's other departments","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Charity Commission","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Charity Commission","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Charity Commission","Other","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Charity Commission","Policy","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Competition and Markets Authority","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Competition and Markets Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Competition and Markets Authority","Economics","60","60","66000","62890"
"In post","2021","G6/G7","Competition and Markets Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Competition and Markets Authority","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Competition and Markets Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Competition and Markets Authority","Legal","90","90","68210","72430"
"In post","2021","G6/G7","Competition and Markets Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Competition and Markets Authority","Project Delivery","180","170","66220","62890"
"In post","2021","G6/G7","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Competition and Markets Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy","Commercial","110","110","53340","48540"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy","Communications","70","60","59080","58430"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","200","190","58780","59170"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy","Economics","120","110","62220","58490"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy","Finance","120","120","59650","58100"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy","Human Resources","120","110","56880","55600"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy","Legal","50","50","59250","57120"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy","Operational Delivery","390","380","56960","54310"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy","Other","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy","Policy","1840","1790","58330","55460"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy","Project Delivery","150","140","54410","53380"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy","Property","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy","Science and Engineering","380","350","56010","58370"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy","Security","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","Economics","40","40","[c]","[c]"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","Finance","30","30","[c]","[c]"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","Other","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","Policy","500","490","57250","53000"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","Project Delivery","100","100","57650","54100"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","Property","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","Security","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Education","Commercial","100","100","54870","51800"
"In post","2021","G6/G7","Department for Education","Communications","80","80","56630","54400"
"In post","2021","G6/G7","Department for Education","Digital, Data and Technology","250","240","55040","52830"
"In post","2021","G6/G7","Department for Education","Finance","280","270","55530","53420"
"In post","2021","G6/G7","Department for Education","Human Resources","30","30","[c]","[c]"
"In post","2021","G6/G7","Department for Education","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Education","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Education","Legal","60","50","59320","61010"
"In post","2021","G6/G7","Department for Education","Operational Delivery","510","490","55540","53760"
"In post","2021","G6/G7","Department for Education","Other","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Education","Planning","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Education","Policy","1170","1110","56460","54160"
"In post","2021","G6/G7","Department for Education","Project Delivery","30","30","[c]","[c]"
"In post","2021","G6/G7","Department for Education","Property","360","360","59990","61680"
"In post","2021","G6/G7","Department for Education","Security","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Environment, Food and Rural Affairs","Commercial","30","30","[c]","[c]"
"In post","2021","G6/G7","Department for Environment, Food and Rural Affairs","Communications","80","80","53460","53200"
"In post","2021","G6/G7","Department for Environment, Food and Rural Affairs","Corporate Finance","[c]","[c]","[c]","[c]"
