"Status","Year","Organisation","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Ministry of Justice (excl. agencies)","Female","Policy","440","420","42270","36800"
"In post","2021","Ministry of Justice (excl. agencies)","Female","Project Delivery","150","150","41260","36800"
"In post","2021","Ministry of Justice (excl. agencies)","Female","Property","60","60","38910","35140"
"In post","2021","Ministry of Justice (excl. agencies)","Female","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Female","Social Research","50","40","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Female","Statistics","60","50","46280","42200"
"In post","2021","Ministry of Justice (excl. agencies)","Female","Unknown","50","50","39550","34030"
"In post","2021","Ministry of Justice (excl. agencies)","Male","Commercial","50","50","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Male","Communications","40","40","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Male","Digital, Data and Technology","540","540","49200","47590"
"In post","2021","Ministry of Justice (excl. agencies)","Male","Economics","30","30","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Male","Finance","260","250","47730","45100"
"In post","2021","Ministry of Justice (excl. agencies)","Male","Human Resources","210","200","42080","37170"
"In post","2021","Ministry of Justice (excl. agencies)","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Male","Legal","30","30","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Male","Operational Delivery","490","490","35880","31730"
"In post","2021","Ministry of Justice (excl. agencies)","Male","Operational Research","60","60","47950","46550"
"In post","2021","Ministry of Justice (excl. agencies)","Male","Other","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Male","Policy","240","240","45830","38480"
"In post","2021","Ministry of Justice (excl. agencies)","Male","Project Delivery","100","100","43930","39530"
"In post","2021","Ministry of Justice (excl. agencies)","Male","Property","80","80","43560","36270"
"In post","2021","Ministry of Justice (excl. agencies)","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Male","Statistics","50","50","44370","40480"
"In post","2021","Ministry of Justice (excl. agencies)","Male","Unknown","60","60","39560","39870"
"In post","2021","National Crime Agency","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Female","Digital, Data and Technology","110","100","38090","36740"
"In post","2021","National Crime Agency","Female","Finance","30","30","[c]","[c]"
"In post","2021","National Crime Agency","Female","Human Resources","110","100","40250","40060"
"In post","2021","National Crime Agency","Female","Legal","30","30","[c]","[c]"
"In post","2021","National Crime Agency","Female","Operational Delivery","2050","1970","36770","36200"
"In post","2021","National Crime Agency","Female","Project Delivery","50","50","[c]","[c]"
"In post","2021","National Crime Agency","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Male","Digital, Data and Technology","150","150","43230","40810"
"In post","2021","National Crime Agency","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Male","Human Resources","70","70","40030","38730"
"In post","2021","National Crime Agency","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Male","Operational Delivery","2680","2660","41940","40170"
"In post","2021","National Crime Agency","Male","Project Delivery","40","40","[c]","[c]"
"In post","2021","National Crime Agency","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","National Infrastructure Commission","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","National Infrastructure Commission","Female","Economics","[c]","[c]","[c]","[c]"
"In post","2021","National Infrastructure Commission","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","National Infrastructure Commission","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2021","National Infrastructure Commission","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","National Infrastructure Commission","Male","Economics","[c]","[c]","[c]","[c]"
"In post","2021","National Infrastructure Commission","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","National Infrastructure Commission","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2021","National Records of Scotland","Female","Unknown","240","220","34740","32140"
"In post","2021","National Records of Scotland","Male","Unknown","200","190","34260","31150"
"In post","2021","National Savings and Investments","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Female","Other","50","50","46870","42420"
"In post","2021","National Savings and Investments","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Female","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Male","Other","40","40","[c]","[c]"
"In post","2021","National Savings and Investments","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Female","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Female","Other","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Female","Policy","50","50","[c]","[c]"
"In post","2021","Northern Ireland Office","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Male","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Male","Other","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Male","Policy","50","50","[c]","[c]"
"In post","2021","Northern Ireland Office","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","Female","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","Male","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Female","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Female","Human Resources","40","40","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Female","Inspector of Education and Training","570","560","62970","51360"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Female","Operational Delivery","150","130","28460","21160"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Female","Other","180","170","28140","25880"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Female","Policy","40","40","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Female","Social Research","40","30","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Female","Statistics","50","40","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Male","Digital, Data and Technology","50","50","45020","39850"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Male","Inspector of Education and Training","220","220","73180","75500"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Male","Operational Delivery","80","70","28960","25880"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Male","Other","70","70","29470","25880"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Male","Statistics","70","60","39530","39850"
"In post","2021","Office of Gas and Electricity Markets","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Female","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Female","Legal","50","50","59400","62300"
"In post","2021","Office of Gas and Electricity Markets","Female","Operational Delivery","80","70","31760","27010"
"In post","2021","Office of Gas and Electricity Markets","Female","Other","250","240","41370","35760"
"In post","2021","Office of Gas and Electricity Markets","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Male","Digital, Data and Technology","70","70","51730","49530"
"In post","2021","Office of Gas and Electricity Markets","Male","Economics","30","30","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Male","Legal","30","30","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Male","Operational Delivery","90","90","34690","28280"
"In post","2021","Office of Gas and Electricity Markets","Male","Other","280","280","46750","41000"
"In post","2021","Office of Gas and Electricity Markets","Male","Policy","50","50","37250","34540"
"In post","2021","Office of Gas and Electricity Markets","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Female","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Female","Operational Delivery","60","50","41510","38000"
"In post","2021","Office of Qualifications and Examinations Regulation","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Male","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Male","Operational Delivery","30","30","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Female","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Female","Operational Delivery","60","50","45370","43090"
"In post","2021","Office of Rail and Road","Female","Policy","30","30","[c]","[c]"
"In post","2021","Office of Rail and Road","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Male","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Male","Operational Delivery","80","80","58740","59750"
"In post","2021","Office of Rail and Road","Male","Policy","40","30","[c]","[c]"
"In post","2021","Office of Rail and Road","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Female","Operational Delivery","760","680","21720","19930"
"In post","2021","Office of the Public Guardian","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Male","Operational Delivery","590","560","21800","19930"
"In post","2021","Office of the Public Guardian","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Female","Unknown","30","30","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Female","Operational Delivery","170","150","27290","22560"
"In post","2021","Planning Inspectorate","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Female","Planning Inspectors","130","110","57850","58810"
"In post","2021","Planning Inspectorate","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Male","Operational Delivery","170","160","33400","26050"
"In post","2021","Planning Inspectorate","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Male","Planning Inspectors","220","190","57960","58810"
"In post","2021","Planning Inspectorate","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Female","Communications","40","40","[c]","[c]"
"In post","2021","Public Health England","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Female","Finance","80","80","38620","33710"
"In post","2021","Public Health England","Female","Human Resources","100","100","43520","38200"
"In post","2021","Public Health England","Female","Knowledge and Information Management","390","350","38450","36590"
"In post","2021","Public Health England","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Female","Medicine","230","190","103600","101470"
"In post","2021","Public Health England","Female","Operational Delivery","2310","2060","37940","33100"
"In post","2021","Public Health England","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Female","Science and Engineering","1590","1430","39650","37480"
"In post","2021","Public Health England","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Male","Communications","30","30","[c]","[c]"
"In post","2021","Public Health England","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Male","Digital, Data and Technology","110","110","44400","41690"
"In post","2021","Public Health England","Male","Finance","70","70","46710","41420"
"In post","2021","Public Health England","Male","Human Resources","30","30","[c]","[c]"
"In post","2021","Public Health England","Male","Knowledge and Information Management","150","150","41700","39110"
"In post","2021","Public Health England","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Male","Medicine","140","120","111220","110680"
"In post","2021","Public Health England","Male","Operational Delivery","820","770","44070","40070"
"In post","2021","Public Health England","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Public Health England","Male","Science and Engineering","710","690","42690","39110"
"In post","2021","Public Health England","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Female","Human Resources","30","30","[c]","[c]"
"In post","2021","Registers of Scotland","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Female","Operational Delivery","460","430","31100","30080"
"In post","2021","Registers of Scotland","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Male","Commercial","[c]","[c]","[c]","[c]"
