"Status","Year","Profession_of_post","Responsibility_level","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Psychology","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","EO","Unknown","70","70","29060","27380"
"In post","2022","Psychology","G6/G7","Heterosexual / straight","80","80","67470","65520"
"In post","2022","Psychology","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","SEO/HEO","Heterosexual / straight","690","660","37230","33020"
"In post","2022","Psychology","SEO/HEO","LGBO","40","40","[c]","[c]"
"In post","2022","Psychology","SEO/HEO","Undeclared","50","50","37220","32360"
"In post","2022","Psychology","SEO/HEO","Unknown","110","100","37790","35660"
"In post","2022","Psychology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","AA/AO","Heterosexual / straight","720","700","21880","22180"
"In post","2022","Science and Engineering","AA/AO","LGBO","50","50","21880","22010"
"In post","2022","Science and Engineering","AA/AO","Undeclared","110","110","22280","22300"
"In post","2022","Science and Engineering","AA/AO","Unknown","220","210","21300","22080"
"In post","2022","Science and Engineering","EO","Heterosexual / straight","1290","1270","26040","26370"
"In post","2022","Science and Engineering","EO","LGBO","90","80","26240","26370"
"In post","2022","Science and Engineering","EO","Undeclared","250","240","28050","28150"
"In post","2022","Science and Engineering","EO","Unknown","350","330","25160","25460"
"In post","2022","Science and Engineering","G6/G7","Heterosexual / straight","1550","1480","56750","55140"
"In post","2022","Science and Engineering","G6/G7","LGBO","60","60","57770","57480"
"In post","2022","Science and Engineering","G6/G7","Undeclared","300","280","57660","56480"
"In post","2022","Science and Engineering","G6/G7","Unknown","1230","1170","54530","52430"
"In post","2022","Science and Engineering","SCS","Heterosexual / straight","60","60","96370","93100"
"In post","2022","Science and Engineering","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","SEO/HEO","Heterosexual / straight","4170","3990","37640","38070"
"In post","2022","Science and Engineering","SEO/HEO","LGBO","240","230","35800","36330"
"In post","2022","Science and Engineering","SEO/HEO","Undeclared","800","760","38110","39110"
"In post","2022","Science and Engineering","SEO/HEO","Unknown","1630","1580","35680","38070"
"In post","2022","Science and Engineering","Unknown","Heterosexual / straight","610","610","41280","39860"
"In post","2022","Science and Engineering","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Unknown","Undeclared","90","90","43850","43180"
"In post","2022","Science and Engineering","Unknown","Unknown","70","70","36820","32710"
"In post","2022","Security","AA/AO","Heterosexual / straight","3990","3890","26340","22460"
"In post","2022","Security","AA/AO","LGBO","160","160","27890","25000"
"In post","2022","Security","AA/AO","Undeclared","540","520","29490","25630"
"In post","2022","Security","AA/AO","Unknown","900","890","28370","25540"
"In post","2022","Security","EO","Heterosexual / straight","790","770","33320","29080"
"In post","2022","Security","EO","LGBO","40","40","[c]","[c]"
"In post","2022","Security","EO","Undeclared","120","120","36710","39190"
"In post","2022","Security","EO","Unknown","100","100","32680","28500"
"In post","2022","Security","G6/G7","Heterosexual / straight","340","330","58930","57680"
"In post","2022","Security","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Security","G6/G7","Undeclared","50","50","59600","58060"
"In post","2022","Security","G6/G7","Unknown","100","100","59100","56780"
"In post","2022","Security","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Security","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Security","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Security","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Security","SEO/HEO","Heterosexual / straight","1330","1300","39290","37450"
"In post","2022","Security","SEO/HEO","LGBO","70","70","37770","36190"
"In post","2022","Security","SEO/HEO","Undeclared","220","210","41280","39540"
"In post","2022","Security","SEO/HEO","Unknown","290","290","38770","37450"
"In post","2022","Security","Unknown","Heterosexual / straight","150","140","32470","29680"
"In post","2022","Security","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Security","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","EO","Unknown","30","30","[c]","[c]"
"In post","2022","Social Research","G6/G7","Heterosexual / straight","280","260","57310","55980"
"In post","2022","Social Research","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","G6/G7","Unknown","50","40","[c]","[c]"
"In post","2022","Social Research","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","SEO/HEO","Heterosexual / straight","620","590","36540","37610"
"In post","2022","Social Research","SEO/HEO","LGBO","90","80","35080","33710"
"In post","2022","Social Research","SEO/HEO","Undeclared","50","50","36360","38020"
"In post","2022","Social Research","SEO/HEO","Unknown","110","100","36980","38340"
"In post","2022","Statistics","AA/AO","Heterosexual / straight","40","30","[c]","[c]"
"In post","2022","Statistics","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","AA/AO","Unknown","40","40","[c]","[c]"
"In post","2022","Statistics","EO","Heterosexual / straight","160","160","28250","28350"
"In post","2022","Statistics","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","EO","Unknown","50","40","[c]","[c]"
"In post","2022","Statistics","G6/G7","Heterosexual / straight","590","560","58660","59220"
"In post","2022","Statistics","G6/G7","LGBO","50","50","[c]","[c]"
"In post","2022","Statistics","G6/G7","Undeclared","50","50","[c]","[c]"
"In post","2022","Statistics","G6/G7","Unknown","90","90","55430","53450"
"In post","2022","Statistics","SCS","Heterosexual / straight","40","40","[c]","[c]"
"In post","2022","Statistics","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","SEO/HEO","Heterosexual / straight","870","840","37570","37930"
"In post","2022","Statistics","SEO/HEO","LGBO","110","100","36090","36320"
"In post","2022","Statistics","SEO/HEO","Undeclared","100","90","37100","36840"
"In post","2022","Statistics","SEO/HEO","Unknown","180","180","37280","37210"
"In post","2022","Tax","AA/AO","Heterosexual / straight","1500","1400","21360","21250"
"In post","2022","Tax","AA/AO","LGBO","170","170","21360","21250"
"In post","2022","Tax","AA/AO","Undeclared","100","100","21660","21250"
"In post","2022","Tax","AA/AO","Unknown","1630","1510","21330","21250"
"In post","2022","Tax","EO","Heterosexual / straight","2610","2460","27410","26820"
"In post","2022","Tax","EO","LGBO","240","240","26940","26820"
"In post","2022","Tax","EO","Undeclared","280","250","28000","26820"
"In post","2022","Tax","EO","Unknown","1680","1600","27340","26820"
"In post","2022","Tax","G6/G7","Heterosexual / straight","2080","1990","59470","55210"
"In post","2022","Tax","G6/G7","LGBO","140","140","58050","55210"
"In post","2022","Tax","G6/G7","Undeclared","320","300","59940","55410"
"In post","2022","Tax","G6/G7","Unknown","470","440","59440","55210"
"In post","2022","Tax","SCS","Heterosexual / straight","60","60","81620","78000"
"In post","2022","Tax","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Tax","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Tax","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Tax","SEO/HEO","Heterosexual / straight","5260","5020","36210","33370"
"In post","2022","Tax","SEO/HEO","LGBO","320","310","35210","33370"
"In post","2022","Tax","SEO/HEO","Undeclared","650","610","36720","35980"
"In post","2022","Tax","SEO/HEO","Unknown","2090","2010","35740","33370"
"In post","2022","Unknown","AA/AO","Heterosexual / straight","2360","2230","22850","21830"
"In post","2022","Unknown","AA/AO","LGBO","250","240","22500","21260"
"In post","2022","Unknown","AA/AO","Undeclared","160","150","22790","22110"
"In post","2022","Unknown","AA/AO","Unknown","2070","1940","23490","23230"
"In post","2022","Unknown","EO","Heterosexual / straight","3190","3080","28080","27500"
"In post","2022","Unknown","EO","LGBO","320","320","27450","27230"
"In post","2022","Unknown","EO","Undeclared","230","230","27910","27500"
"In post","2022","Unknown","EO","Unknown","1690","1630","28320","27230"
"In post","2022","Unknown","G6/G7","Heterosexual / straight","4650","4520","61340","61190"
"In post","2022","Unknown","G6/G7","LGBO","420","410","59610","57190"
"In post","2022","Unknown","G6/G7","Undeclared","480","470","60760","58600"
"In post","2022","Unknown","G6/G7","Unknown","2550","2490","62890","62120"
"In post","2022","Unknown","SCS","Heterosexual / straight","730","710","94570","83230"
"In post","2022","Unknown","SCS","LGBO","40","40","[c]","[c]"
"In post","2022","Unknown","SCS","Undeclared","70","70","92540","88300"
"In post","2022","Unknown","SCS","Unknown","380","370","103270","95640"
"In post","2022","Unknown","SEO/HEO","Heterosexual / straight","6860","6670","38130","37300"
"In post","2022","Unknown","SEO/HEO","LGBO","650","640","36960","36130"
"In post","2022","Unknown","SEO/HEO","Undeclared","590","570","37910","37300"
"In post","2022","Unknown","SEO/HEO","Unknown","4540","4450","34940","33080"
"In post","2022","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","G6/G7","Heterosexual / straight","90","90","54100","54310"
"In post","2022","Veterinarian","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","SEO/HEO","Heterosexual / straight","170","170","39490","37510"
"In post","2022","Veterinarian","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","SEO/HEO","Undeclared","40","40","[c]","[c]"
"In post","2022","Veterinarian","SEO/HEO","Unknown","40","30","[c]","[c]"
"Leaver CS","2021","Commercial","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","EO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","G6/G7","Heterosexual / straight","30","30","[c]","[c]"
"Leaver CS","2021","Commercial","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","SCS","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","SCS","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","SEO/HEO","Heterosexual / straight","70","60","37070","36940"
"Leaver CS","2021","Commercial","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","EO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SCS","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","Heterosexual / straight","70","70","35860","33840"
"Leaver CS","2021","Communications","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SCS","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","EO","Heterosexual / straight","40","40","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","EO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","EO","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","G6/G7","Heterosexual / straight","60","50","60240","58550"
"Leaver CS","2021","Digital, Data and Technology","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","G6/G7","Unknown","50","40","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","SCS","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","SEO/HEO","Heterosexual / straight","100","90","38080","38450"
"Leaver CS","2021","Digital, Data and Technology","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","SEO/HEO","Unknown","60","60","37740","37780"
"Leaver CS","2021","Digital, Data and Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","AA/AO","Heterosexual / straight","40","40","[c]","[c]"
"Leaver CS","2021","Economics","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","SCS","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","EO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","Heterosexual / straight","40","40","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SCS","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SCS","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","Heterosexual / straight","70","70","39650","39250"
"Leaver CS","2021","Finance","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","AA/AO","Heterosexual / straight","50","40","[c]","[c]"
"Leaver CS","2021","Human Resources","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","EO","Heterosexual / straight","30","30","[c]","[c]"
"Leaver CS","2021","Human Resources","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","EO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","Heterosexual / straight","40","40","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SCS","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SEO/HEO","Heterosexual / straight","90","80","38640","38130"
"Leaver CS","2021","Human Resources","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","G6/G7","Heterosexual / straight","40","30","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","SCS","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","EO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","SCS","LGBO","[c]","[c]","[c]","[c]"
