"Status","Year","Function_of_post","Profession_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Counter Fraud","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Economics","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Intelligence Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Intelligence Analysis","Declared non-disabled","160","150","40090","37610"
"In post","2022","Counter Fraud","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Intelligence Analysis","Unknown","60","60","36160","33370"
"In post","2022","Counter Fraud","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Knowledge and Information Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Legal","Declared disabled","240","220","33580","33080"
"In post","2022","Counter Fraud","Legal","Declared non-disabled","2030","1940","34000","33080"
"In post","2022","Counter Fraud","Legal","Undeclared","230","220","35440","33370"
"In post","2022","Counter Fraud","Legal","Unknown","900","870","32800","33080"
"In post","2022","Counter Fraud","Operational Delivery","Declared disabled","470","430","29850","27570"
"In post","2022","Counter Fraud","Operational Delivery","Declared non-disabled","2500","2290","31180","27570"
"In post","2022","Counter Fraud","Operational Delivery","Undeclared","200","190","30740","28920"
"In post","2022","Counter Fraud","Operational Delivery","Unknown","730","670","29500","26820"
"In post","2022","Counter Fraud","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Operational Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Other","Declared disabled","50","40","36910","34670"
"In post","2022","Counter Fraud","Other","Declared non-disabled","200","180","43690","40180"
"In post","2022","Counter Fraud","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Other","Unknown","60","50","39670","33440"
"In post","2022","Counter Fraud","Tax","Declared disabled","170","160","42520","37970"
"In post","2022","Counter Fraud","Tax","Declared non-disabled","1200","1130","42570","40180"
"In post","2022","Counter Fraud","Tax","Undeclared","140","130","46110","40870"
"In post","2022","Counter Fraud","Tax","Unknown","400","380","38160","33370"
"In post","2022","Counter Fraud","Unknown","Declared disabled","50","50","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Declared non-disabled","470","470","34470","30750"
"In post","2022","Counter Fraud","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Unknown","250","250","31960","29380"
"In post","2022","Debt","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Operational Delivery","Declared disabled","350","300","24510","22080"
"In post","2022","Debt","Operational Delivery","Declared non-disabled","1900","1690","25500","22080"
"In post","2022","Debt","Operational Delivery","Undeclared","170","150","24720","22080"
"In post","2022","Debt","Operational Delivery","Unknown","920","840","24160","21250"
"In post","2022","Debt","Other","Declared disabled","400","330","22520","21260"
"In post","2022","Debt","Other","Declared non-disabled","1890","1610","22680","21260"
"In post","2022","Debt","Other","Undeclared","140","120","22230","21260"
"In post","2022","Debt","Other","Unknown","80","70","21760","21260"
"In post","2022","Debt","Tax","Declared disabled","50","50","22440","21250"
"In post","2022","Debt","Tax","Declared non-disabled","400","380","22350","21250"
"In post","2022","Debt","Tax","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Tax","Unknown","390","370","22030","21250"
"In post","2022","Debt","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Unknown","Declared non-disabled","70","60","26350","21250"
"In post","2022","Debt","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Unknown","Unknown","40","40","[c]","[c]"
"In post","2022","Digital, Data & Technology","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Digital, Data and Technology","Declared disabled","1550","1490","39110","35840"
"In post","2022","Digital, Data & Technology","Digital, Data and Technology","Declared non-disabled","11300","10970","41740","38450"
"In post","2022","Digital, Data & Technology","Digital, Data and Technology","Undeclared","990","970","40690","37710"
"In post","2022","Digital, Data & Technology","Digital, Data and Technology","Unknown","3550","3490","41460","38000"
"In post","2022","Digital, Data & Technology","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Knowledge and Information Management","Declared disabled","130","130","33650","30550"
"In post","2022","Digital, Data & Technology","Knowledge and Information Management","Declared non-disabled","600","580","32490","29670"
"In post","2022","Digital, Data & Technology","Knowledge and Information Management","Undeclared","80","80","32330","30570"
"In post","2022","Digital, Data & Technology","Knowledge and Information Management","Unknown","100","100","34310","29200"
"In post","2022","Digital, Data & Technology","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Medicine","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Medicine","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Operational Delivery","Declared disabled","60","50","38380","33440"
"In post","2022","Digital, Data & Technology","Operational Delivery","Declared non-disabled","350","330","38130","33930"
"In post","2022","Digital, Data & Technology","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Operational Delivery","Unknown","120","110","37300","33370"
"In post","2022","Digital, Data & Technology","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Operational Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Other","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Other","Declared non-disabled","30","30","[c]","[c]"
"In post","2022","Digital, Data & Technology","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Policy","Declared non-disabled","140","140","45860","40720"
"In post","2022","Digital, Data & Technology","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Policy","Unknown","70","70","42810","40230"
"In post","2022","Digital, Data & Technology","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Project Delivery","Declared non-disabled","150","140","40760","36490"
"In post","2022","Digital, Data & Technology","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Science and Engineering","Declared disabled","50","50","34770","34030"
"In post","2022","Digital, Data & Technology","Science and Engineering","Declared non-disabled","920","860","39160","39650"
"In post","2022","Digital, Data & Technology","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Statistics","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Tax","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Tax","Declared non-disabled","50","50","40310","40180"
"In post","2022","Digital, Data & Technology","Tax","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Declared disabled","140","140","45830","45760"
"In post","2022","Digital, Data & Technology","Unknown","Declared non-disabled","1050","1040","50420","54700"
"In post","2022","Digital, Data & Technology","Unknown","Undeclared","60","60","48530","42560"
"In post","2022","Digital, Data & Technology","Unknown","Unknown","270","270","48340","43810"
"In post","2022","Finance","Commercial","Declared disabled","90","80","33620","31990"
"In post","2022","Finance","Commercial","Declared non-disabled","460","430","37590","35310"
"In post","2022","Finance","Commercial","Undeclared","30","30","[c]","[c]"
"In post","2022","Finance","Commercial","Unknown","40","40","[c]","[c]"
"In post","2022","Finance","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Corporate Finance","Declared non-disabled","100","90","46400","42940"
"In post","2022","Finance","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Digital, Data and Technology","Declared non-disabled","180","170","39960","36820"
"In post","2022","Finance","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Economics","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Finance","Declared disabled","780","740","39080","35310"
"In post","2022","Finance","Finance","Declared non-disabled","6120","5860","41540","37350"
"In post","2022","Finance","Finance","Undeclared","460","440","40880","36970"
"In post","2022","Finance","Finance","Unknown","1560","1510","39500","36500"
"In post","2022","Finance","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Knowledge and Information Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Operational Delivery","Declared disabled","140","110","27060","22080"
"In post","2022","Finance","Operational Delivery","Declared non-disabled","940","820","28310","22080"
"In post","2022","Finance","Operational Delivery","Undeclared","80","70","29340","22080"
"In post","2022","Finance","Operational Delivery","Unknown","340","300","26270","21680"
"In post","2022","Finance","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Operational Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Other","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Other","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Policy","Declared non-disabled","30","30","[c]","[c]"
"In post","2022","Finance","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Project Delivery","Declared non-disabled","40","40","[c]","[c]"
"In post","2022","Finance","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Property","Declared non-disabled","30","30","[c]","[c]"
"In post","2022","Finance","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Science and Engineering","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Security","Declared disabled","40","40","[c]","[c]"
"In post","2022","Finance","Security","Declared non-disabled","240","230","43130","37590"
"In post","2022","Finance","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Statistics","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Tax","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Tax","Declared non-disabled","60","60","36030","37610"
"In post","2022","Finance","Tax","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Declared non-disabled","210","200","45900","40600"
"In post","2022","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Unknown","90","80","45640","41140"
"In post","2022","Grants Management","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Operational Delivery","Declared disabled","180","160","25350","21300"
"In post","2022","Grants Management","Operational Delivery","Declared non-disabled","2080","1920","25020","21300"
"In post","2022","Grants Management","Operational Delivery","Undeclared","50","40","[c]","[c]"
"In post","2022","Grants Management","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Policy","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Corporate Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Digital, Data and Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Economics","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Human Resources","Declared disabled","1100","1040","39350","34900"
"In post","2022","Human Resources","Human Resources","Declared non-disabled","5680","5380","39160","34610"
"In post","2022","Human Resources","Human Resources","Undeclared","450","430","37740","34260"
"In post","2022","Human Resources","Human Resources","Unknown","1230","1180","35940","32560"
"In post","2022","Human Resources","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Knowledge and Information Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Operational Delivery","Declared disabled","220","210","29820","27570"
"In post","2022","Human Resources","Operational Delivery","Declared non-disabled","1070","1000","30860","27570"
"In post","2022","Human Resources","Operational Delivery","Undeclared","70","60","28480","27570"
"In post","2022","Human Resources","Operational Delivery","Unknown","160","150","27950","26820"
"In post","2022","Human Resources","Other","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Other","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Other","Unknown","40","40","[c]","[c]"
"In post","2022","Human Resources","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Policy","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Science and Engineering","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Statistics","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Tax","Declared disabled","30","30","[c]","[c]"
"In post","2022","Human Resources","Tax","Declared non-disabled","120","110","35240","33080"
"In post","2022","Human Resources","Tax","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Tax","Unknown","50","50","[c]","[c]"
"In post","2022","Human Resources","Unknown","Declared disabled","210","200","39970","37300"
"In post","2022","Human Resources","Unknown","Declared non-disabled","870","840","40770","35810"
"In post","2022","Human Resources","Unknown","Undeclared","70","70","36770","33220"
"In post","2022","Human Resources","Unknown","Unknown","160","150","37420","33080"
"In post","2022","Internal Audit","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Digital, Data and Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Internal Audit","Declared disabled","90","80","45230","41040"
"In post","2022","Internal Audit","Internal Audit","Declared non-disabled","540","510","46720","43710"
"In post","2022","Internal Audit","Internal Audit","Undeclared","50","50","52180","49980"
"In post","2022","Internal Audit","Internal Audit","Unknown","50","40","[c]","[c]"
"In post","2022","Internal Audit","Operational Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Operational Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Other","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Other","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Digital, Data and Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Finance","Declared non-disabled","60","50","27720","27350"
"In post","2022","Legal","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Knowledge and Information Management","Declared non-disabled","60","50","34370","27570"
"In post","2022","Legal","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Legal","Declared disabled","670","620","55770","55610"
"In post","2022","Legal","Legal","Declared non-disabled","5440","5060","56700","55610"
"In post","2022","Legal","Legal","Undeclared","220","200","58740","60960"
"In post","2022","Legal","Legal","Unknown","1430","1340","53480","53050"
"In post","2022","Legal","Operational Delivery","Declared disabled","400","360","27770","26090"
"In post","2022","Legal","Operational Delivery","Declared non-disabled","2120","1960","27610","26820"
"In post","2022","Legal","Operational Delivery","Undeclared","40","40","[c]","[c]"
"In post","2022","Legal","Operational Delivery","Unknown","690","650","25690","24590"
"In post","2022","Legal","Other","Declared disabled","40","30","[c]","[c]"
"In post","2022","Legal","Other","Declared non-disabled","330","320","33650","27580"
"In post","2022","Legal","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Other","Unknown","80","70","34590","27710"
"In post","2022","Legal","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Policy","Declared non-disabled","60","60","47200","42360"
"In post","2022","Legal","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Science and Engineering","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Tax","Declared disabled","40","40","[c]","[c]"
"In post","2022","Legal","Tax","Declared non-disabled","220","210","42380","40180"
"In post","2022","Legal","Tax","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Tax","Unknown","70","60","40370","39050"
"In post","2022","Legal","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Unknown","Declared non-disabled","140","130","64080","67700"
"In post","2022","Legal","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Unknown","Unknown","60","60","49040","47750"
"In post","2022","No function","Commercial","Declared disabled","60","60","43850","46550"
"In post","2022","No function","Commercial","Declared non-disabled","350","340","49640","46550"
"In post","2022","No function","Commercial","Undeclared","60","60","51400","50190"
"In post","2022","No function","Commercial","Unknown","40","40","[c]","[c]"
"In post","2022","No function","Communications","Declared disabled","[c]","[c]","[c]","[c]"
