"Status","Year","Region_ITL2","Function_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Cheshire","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Digital, Data & Technology","Declared non-disabled","140","140","39210","36460"
"In post","2022","Cheshire","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Digital, Data & Technology","Unknown","60","60","36150","36740"
"In post","2022","Cheshire","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Grants Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Grants Management","Declared non-disabled","110","100","24070","21300"
"In post","2022","Cheshire","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Human Resources","Declared non-disabled","170","160","29640","26350"
"In post","2022","Cheshire","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Human Resources","Unknown","40","40","[c]","[c]"
"In post","2022","Cheshire","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","No function","Declared disabled","370","340","28680","27570"
"In post","2022","Cheshire","No function","Declared non-disabled","1820","1690","31080","27570"
"In post","2022","Cheshire","No function","Undeclared","220","200","30010","31180"
"In post","2022","Cheshire","No function","Unknown","970","950","33330","32770"
"In post","2022","Cheshire","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Unknown","Declared non-disabled","110","100","29090","25040"
"In post","2022","Cheshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Counter Fraud","Declared non-disabled","40","40","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Grants Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Grants Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","No function","Declared disabled","190","170","26490","27170"
"In post","2022","Cornwall and Isles of Scilly","No function","Declared non-disabled","810","730","27670","27570"
"In post","2022","Cornwall and Isles of Scilly","No function","Undeclared","50","50","26070","26750"
"In post","2022","Cornwall and Isles of Scilly","No function","Unknown","80","70","27200","26350"
"In post","2022","Cornwall and Isles of Scilly","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Property","Declared non-disabled","50","40","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Security","Declared non-disabled","40","40","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Unknown","Declared non-disabled","220","210","25850","22750"
"In post","2022","Cornwall and Isles of Scilly","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Unknown","Unknown","70","60","28790","21260"
"In post","2022","Cumbria","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Grants Management","Declared disabled","70","60","23810","21300"
"In post","2022","Cumbria","Grants Management","Declared non-disabled","690","620","24120","21300"
"In post","2022","Cumbria","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","No function","Declared disabled","120","110","28880","27570"
"In post","2022","Cumbria","No function","Declared non-disabled","680","620","29140","27570"
"In post","2022","Cumbria","No function","Undeclared","60","50","29740","27570"
"In post","2022","Cumbria","No function","Unknown","80","70","27880","27120"
"In post","2022","Cumbria","Project Delivery","Declared disabled","30","30","[c]","[c]"
"In post","2022","Cumbria","Project Delivery","Declared non-disabled","210","200","36480","33300"
"In post","2022","Cumbria","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Security","Declared non-disabled","60","60","28050","24610"
"In post","2022","Cumbria","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","Analysis","Declared non-disabled","40","40","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","Commercial","Declared non-disabled","70","60","38960","36500"
"In post","2022","Derbyshire and Nottinghamshire","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","Communications","Declared disabled","50","40","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","Communications","Declared non-disabled","370","360","30690","26820"
"In post","2022","Derbyshire and Nottinghamshire","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","Communications","Unknown","200","200","28770","26820"
"In post","2022","Derbyshire and Nottinghamshire","Counter Fraud","Declared disabled","80","70","31420","27570"
"In post","2022","Derbyshire and Nottinghamshire","Counter Fraud","Declared non-disabled","540","490","34350","33080"
"In post","2022","Derbyshire and Nottinghamshire","Counter Fraud","Undeclared","50","40","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","Counter Fraud","Unknown","140","130","32070","33080"
"In post","2022","Derbyshire and Nottinghamshire","Debt","Declared disabled","30","30","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","Debt","Declared non-disabled","130","120","23380","21250"
"In post","2022","Derbyshire and Nottinghamshire","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","Debt","Unknown","110","100","22120","21250"
"In post","2022","Derbyshire and Nottinghamshire","Digital, Data & Technology","Declared disabled","30","30","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","Digital, Data & Technology","Declared non-disabled","150","150","41060","36110"
"In post","2022","Derbyshire and Nottinghamshire","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","Digital, Data & Technology","Unknown","70","70","36110","33350"
"In post","2022","Derbyshire and Nottinghamshire","Finance","Declared disabled","30","30","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","Finance","Declared non-disabled","160","150","38930","35900"
"In post","2022","Derbyshire and Nottinghamshire","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","Finance","Unknown","40","30","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","Grants Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","Grants Management","Declared non-disabled","80","80","24150","21300"
"In post","2022","Derbyshire and Nottinghamshire","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","Human Resources","Declared disabled","70","70","35380","33370"
"In post","2022","Derbyshire and Nottinghamshire","Human Resources","Declared non-disabled","320","310","38960","33370"
"In post","2022","Derbyshire and Nottinghamshire","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","Human Resources","Unknown","80","70","34340","33080"
"In post","2022","Derbyshire and Nottinghamshire","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","Legal","Declared disabled","60","50","37950","33370"
"In post","2022","Derbyshire and Nottinghamshire","Legal","Declared non-disabled","230","210","38740","33370"
"In post","2022","Derbyshire and Nottinghamshire","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","Legal","Unknown","100","90","35700","33370"
"In post","2022","Derbyshire and Nottinghamshire","No function","Declared disabled","1250","1140","28730","27570"
"In post","2022","Derbyshire and Nottinghamshire","No function","Declared non-disabled","6030","5550","31080","27570"
"In post","2022","Derbyshire and Nottinghamshire","No function","Undeclared","570","520","30890","27700"
"In post","2022","Derbyshire and Nottinghamshire","No function","Unknown","1320","1240","29230","26590"
"In post","2022","Derbyshire and Nottinghamshire","Project Delivery","Declared disabled","40","30","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","Project Delivery","Declared non-disabled","240","230","41750","40180"
"In post","2022","Derbyshire and Nottinghamshire","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","Project Delivery","Unknown","50","50","41340","37980"
"In post","2022","Derbyshire and Nottinghamshire","Property","Declared disabled","40","30","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","Property","Declared non-disabled","240","230","40130","36050"
"In post","2022","Derbyshire and Nottinghamshire","Property","Undeclared","30","30","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","Property","Unknown","50","50","37170","33370"
"In post","2022","Derbyshire and Nottinghamshire","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","Security","Declared non-disabled","50","50","36040","38330"
"In post","2022","Derbyshire and Nottinghamshire","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","Security","Unknown","30","30","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","Unknown","Declared non-disabled","230","220","32290","26670"
"In post","2022","Derbyshire and Nottinghamshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","Unknown","Unknown","60","50","32820","31530"
"In post","2022","Devon","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Devon","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Devon","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Devon","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Devon","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Devon","Commercial","Declared non-disabled","200","190","44080","45150"
"In post","2022","Devon","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Devon","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Devon","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Devon","Communications","Declared non-disabled","40","40","[c]","[c]"
"In post","2022","Devon","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Devon","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Devon","Counter Fraud","Declared non-disabled","80","70","28120","27570"
"In post","2022","Devon","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Devon","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Devon","Digital, Data & Technology","Declared disabled","110","110","34700","36160"
"In post","2022","Devon","Digital, Data & Technology","Declared non-disabled","1360","1280","39620","39650"
"In post","2022","Devon","Digital, Data & Technology","Undeclared","40","40","[c]","[c]"
"In post","2022","Devon","Digital, Data & Technology","Unknown","130","130","32960","31740"
"In post","2022","Devon","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Devon","Finance","Declared non-disabled","110","100","39600","35310"
"In post","2022","Devon","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Devon","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Devon","Grants Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Devon","Grants Management","Declared non-disabled","150","130","26390","25190"
"In post","2022","Devon","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Devon","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Devon","Human Resources","Declared non-disabled","110","100","37670","33910"
"In post","2022","Devon","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Devon","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Devon","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Devon","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Devon","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Devon","Legal","Declared non-disabled","90","80","43380","45630"
"In post","2022","Devon","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Devon","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Devon","No function","Declared disabled","630","550","27400","27130"
"In post","2022","Devon","No function","Declared non-disabled","2990","2640","28720","27470"
"In post","2022","Devon","No function","Undeclared","240","210","28890","27570"
"In post","2022","Devon","No function","Unknown","390","370","28310","24260"
"In post","2022","Devon","Project Delivery","Declared disabled","40","40","[c]","[c]"
"In post","2022","Devon","Project Delivery","Declared non-disabled","530","510","39250","39650"
"In post","2022","Devon","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Devon","Project Delivery","Unknown","50","40","[c]","[c]"
"In post","2022","Devon","Property","Declared disabled","60","50","28240","22040"
"In post","2022","Devon","Property","Declared non-disabled","340","320","30910","26350"
"In post","2022","Devon","Property","Undeclared","40","40","[c]","[c]"
"In post","2022","Devon","Property","Unknown","140","130","25090","22040"
"In post","2022","Devon","Security","Declared disabled","40","40","[c]","[c]"
"In post","2022","Devon","Security","Declared non-disabled","230","220","28100","25000"
"In post","2022","Devon","Security","Undeclared","40","40","[c]","[c]"
"In post","2022","Devon","Security","Unknown","130","130","29760","26750"
"In post","2022","Devon","Unknown","Declared disabled","50","50","27830","22330"
"In post","2022","Devon","Unknown","Declared non-disabled","510","470","32130","26670"
"In post","2022","Devon","Unknown","Undeclared","50","50","27310","25830"
"In post","2022","Devon","Unknown","Unknown","150","140","26820","21330"
"In post","2022","Dorset and Somerset","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Dorset and Somerset","Analysis","Declared non-disabled","80","70","33130","29750"
"In post","2022","Dorset and Somerset","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Dorset and Somerset","Analysis","Unknown","50","40","[c]","[c]"
"In post","2022","Dorset and Somerset","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Dorset and Somerset","Commercial","Declared non-disabled","60","60","42170","42510"
"In post","2022","Dorset and Somerset","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Dorset and Somerset","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Dorset and Somerset","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Dorset and Somerset","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Dorset and Somerset","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Dorset and Somerset","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Dorset and Somerset","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Dorset and Somerset","Counter Fraud","Declared non-disabled","60","50","28500","27570"
"In post","2022","Dorset and Somerset","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Dorset and Somerset","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Dorset and Somerset","Debt","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Dorset and Somerset","Debt","Declared non-disabled","100","80","21970","21260"
"In post","2022","Dorset and Somerset","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Dorset and Somerset","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Dorset and Somerset","Digital, Data & Technology","Declared disabled","40","40","[c]","[c]"
"In post","2022","Dorset and Somerset","Digital, Data & Technology","Declared non-disabled","170","170","36830","34950"
"In post","2022","Dorset and Somerset","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Dorset and Somerset","Digital, Data & Technology","Unknown","70","70","38890","35340"
"In post","2022","Dorset and Somerset","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Dorset and Somerset","Finance","Declared non-disabled","40","30","[c]","[c]"
"In post","2022","Dorset and Somerset","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Dorset and Somerset","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Dorset and Somerset","Grants Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Dorset and Somerset","Grants Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Dorset and Somerset","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Dorset and Somerset","Human Resources","Declared non-disabled","60","60","35540","33290"
"In post","2022","Dorset and Somerset","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Dorset and Somerset","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Dorset and Somerset","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Dorset and Somerset","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Dorset and Somerset","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Dorset and Somerset","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Dorset and Somerset","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Dorset and Somerset","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Dorset and Somerset","No function","Declared disabled","410","370","28800","27570"
"In post","2022","Dorset and Somerset","No function","Declared non-disabled","2080","1900","29750","27570"
"In post","2022","Dorset and Somerset","No function","Undeclared","220","200","30350","27570"
"In post","2022","Dorset and Somerset","No function","Unknown","390","370","27760","26740"
"In post","2022","Dorset and Somerset","Project Delivery","Declared disabled","40","40","[c]","[c]"
"In post","2022","Dorset and Somerset","Project Delivery","Declared non-disabled","280","270","35810","34510"
"In post","2022","Dorset and Somerset","Project Delivery","Undeclared","40","40","[c]","[c]"
"In post","2022","Dorset and Somerset","Project Delivery","Unknown","40","40","[c]","[c]"
