"Status","Year","Sex","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Female","Project Delivery","Department for Levelling Up, Housing and Communities","110","100","45310","40790"
"In post","2022","Female","Project Delivery","Department for Transport","280","270","43880","41230"
"In post","2022","Female","Project Delivery","Department for Work and Pensions","950","810","34070","31990"
"In post","2022","Female","Project Delivery","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Female","Project Delivery","Estyn","50","50","59930","75480"
"In post","2022","Female","Project Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","Project Delivery","Foreign, Commonwealth and Development Office","1130","1090","50560","52430"
"In post","2022","Female","Project Delivery","HM Land Registry","110","100","37670","38550"
"In post","2022","Female","Project Delivery","HM Revenue and Customs","2630","2470","44990","40520"
"In post","2022","Female","Project Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Female","Project Delivery","Ministry of Defence","5040","4740","36750","33900"
"In post","2022","Female","Project Delivery","Ministry of Justice","160","160","41080","39360"
"In post","2022","Female","Project Delivery","National Crime Agency","60","50","43180","40170"
"In post","2022","Female","Project Delivery","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Female","Project Delivery","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Female","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Female","Project Delivery","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Female","Project Delivery","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Female","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Female","Project Delivery","UK Statistics Authority","160","160","39440","36840"
"In post","2022","Female","Project Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Female","Project Delivery","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Female","Property","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Female","Property","Cabinet Office","200","190","46880","42300"
"In post","2022","Female","Property","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Female","Property","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Female","Property","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Female","Property","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2022","Female","Property","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Female","Property","Department for Education","240","230","48260","50130"
"In post","2022","Female","Property","Department for Environment, Food and Rural Affairs","240","220","36070","32560"
"In post","2022","Female","Property","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Female","Property","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Female","Property","Department for Transport","70","60","32670","30730"
"In post","2022","Female","Property","Department for Work and Pensions","90","90","40300","36910"
"In post","2022","Female","Property","Department of Health and Social Care","40","30","[c]","[c]"
"In post","2022","Female","Property","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Female","Property","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","Property","Foreign, Commonwealth and Development Office","80","80","40740","36220"
"In post","2022","Female","Property","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Female","Property","HM Revenue and Customs","1880","1710","32660","28030"
"In post","2022","Female","Property","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Female","Property","Ministry of Defence","910","870","30570","33000"
"In post","2022","Female","Property","Ministry of Justice","250","240","37660","34990"
"In post","2022","Female","Property","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","Property","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Female","Property","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Female","Property","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Female","Property","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Female","Property","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Female","Property","Scottish Government","40","30","[c]","[c]"
"In post","2022","Female","Property","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Female","Property","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Female","Property","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Female","Property","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Female","Security","Attorney General's Departments","40","30","[c]","[c]"
"In post","2022","Female","Security","Cabinet Office","510","480","32990","32000"
"In post","2022","Female","Security","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Female","Security","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Female","Security","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Female","Security","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Female","Security","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Female","Security","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Female","Security","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Female","Security","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Female","Security","Department for Transport","70","70","40510","35980"
"In post","2022","Female","Security","Department for Work and Pensions","70","60","29910","27570"
"In post","2022","Female","Security","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Female","Security","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Female","Security","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Female","Security","Foreign, Commonwealth and Development Office","180","170","39620","36440"
"In post","2022","Female","Security","HM Revenue and Customs","80","70","39640","40520"
"In post","2022","Female","Security","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Female","Security","Ministry of Defence","1300","1260","30240","26740"
"In post","2022","Female","Security","Ministry of Justice","410","410","37210","33480"
"In post","2022","Female","Security","National Crime Agency","30","30","[c]","[c]"
"In post","2022","Female","Security","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Female","Security","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Female","Security","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Female","Security","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Female","Security","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Female","Security","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","Attorney General's Departments","100","90","47480","42410"
"In post","2022","Female","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","Department for Environment, Food and Rural Affairs","100","100","38450","36590"
"In post","2022","Female","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","Department for Work and Pensions","1000","920","38860","35310"
"In post","2022","Female","Unknown","Department of Health and Social Care","150","150","46910","49530"
"In post","2022","Female","Unknown","Foreign, Commonwealth and Development Office","140","140","48950","45870"
"In post","2022","Female","Unknown","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","Home Office","18870","17210","32070","28350"
"In post","2022","Female","Unknown","Ministry of Defence","9130","8580","30270","26350"
"In post","2022","Female","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","Office of the Secretary of State for Scotland","50","50","47620","48670"
"In post","2022","Female","Unknown","Scottish Government","8420","7940","39780","34600"
"In post","2022","Female","Unknown","Welsh Government","3510","3250","40780","38160"
"In post","2022","Male","Analysis","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Male","Analysis","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Male","Analysis","Chancellor's other departments","140","130","67610","57250"
"In post","2022","Male","Analysis","Competition and Markets Authority","80","80","63000","57840"
"In post","2022","Male","Analysis","Department for Business, Energy and Industrial Strategy","240","230","43450","39570"
"In post","2022","Male","Analysis","Department for Digital, Culture, Media and Sport","90","90","48810","55730"
"In post","2022","Male","Analysis","Department for Education","90","80","45600","45540"
"In post","2022","Male","Analysis","Department for Environment, Food and Rural Affairs","290","280","35710","30220"
"In post","2022","Male","Analysis","Department for International Trade","160","150","45180","48600"
"In post","2022","Male","Analysis","Department for Levelling Up, Housing and Communities","140","140","46860","50660"
"In post","2022","Male","Analysis","Department for Transport","210","210","45360","42470"
"In post","2022","Male","Analysis","Department for Work and Pensions","350","340","42800","37380"
"In post","2022","Male","Analysis","Department of Health and Social Care","190","190","51410","53360"
"In post","2022","Male","Analysis","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Male","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Male","Analysis","Foreign, Commonwealth and Development Office","40","30","[c]","[c]"
"In post","2022","Male","Analysis","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Male","Analysis","HM Revenue and Customs","440","430","46480","40520"
"In post","2022","Male","Analysis","HM Treasury","40","40","[c]","[c]"
"In post","2022","Male","Analysis","Ministry of Defence","520","510","41010","38250"
"In post","2022","Male","Analysis","Ministry of Justice","290","280","46030","42010"
"In post","2022","Male","Analysis","Office for Standards in Education, Children's Services and Skills","60","60","40060","35010"
"In post","2022","Male","Analysis","Office of Gas and Electricity Markets","120","120","45460","38500"
"In post","2022","Male","Analysis","Office of Rail and Road","30","30","[c]","[c]"
"In post","2022","Male","Analysis","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Male","Analysis","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Male","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Male","Analysis","UK Statistics Authority","860","840","38840","36840"
"In post","2022","Male","Analysis","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Male","Analysis","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Male","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Male","Commercial","Cabinet Office","1010","1010","67540","64200"
"In post","2022","Male","Commercial","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Male","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Male","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Male","Commercial","Department for Business, Energy and Industrial Strategy","130","130","46250","45370"
"In post","2022","Male","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Male","Commercial","Department for Education","110","110","38800","36500"
"In post","2022","Male","Commercial","Department for Environment, Food and Rural Affairs","80","80","39120","36730"
"In post","2022","Male","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Male","Commercial","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Male","Commercial","Department for Transport","200","200","40680","34880"
"In post","2022","Male","Commercial","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Male","Commercial","Department of Health and Social Care","190","190","49390","49530"
"In post","2022","Male","Commercial","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Male","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Male","Commercial","Foreign, Commonwealth and Development Office","70","70","47210","44750"
"In post","2022","Male","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Male","Commercial","HM Revenue and Customs","70","70","40000","33430"
"In post","2022","Male","Commercial","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Male","Commercial","Ministry of Defence","840","830","40510","39880"
"In post","2022","Male","Commercial","Ministry of Justice","120","120","35200","34260"
"In post","2022","Male","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Male","Commercial","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Male","Commercial","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Male","Commercial","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Male","Commercial","Scottish Government","60","60","34720","29550"
"In post","2022","Male","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Male","Commercial","UK Export Finance","130","130","56790","51680"
"In post","2022","Male","Commercial","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Male","Commercial","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Male","Communications","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Male","Communications","Cabinet Office","140","140","48630","40600"
"In post","2022","Male","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Male","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Male","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Male","Communications","Department for Business, Energy and Industrial Strategy","100","100","40990","38620"
"In post","2022","Male","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Male","Communications","Department for Education","90","90","38730","33740"
"In post","2022","Male","Communications","Department for Environment, Food and Rural Affairs","100","100","39410","36970"
"In post","2022","Male","Communications","Department for International Trade","40","40","[c]","[c]"
"In post","2022","Male","Communications","Department for Levelling Up, Housing and Communities","60","50","46860","39600"
"In post","2022","Male","Communications","Department for Transport","90","90","40640","38650"
"In post","2022","Male","Communications","Department for Work and Pensions","80","80","43130","41880"
"In post","2022","Male","Communications","Department of Health and Social Care","180","170","46800","45990"
"In post","2022","Male","Communications","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Male","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Male","Communications","Foreign, Commonwealth and Development Office","50","50","52430","47340"
"In post","2022","Male","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Male","Communications","HM Revenue and Customs","2390","2360","30100","26820"
"In post","2022","Male","Communications","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Male","Communications","Ministry of Defence","310","300","35700","33300"
"In post","2022","Male","Communications","Ministry of Justice","80","80","44800","41750"
"In post","2022","Male","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Male","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Male","Communications","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Male","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Male","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Male","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Male","Communications","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Male","Communications","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Male","Communications","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Male","Communications","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Male","Communications","UK Export Finance","30","30","[c]","[c]"
"In post","2022","Male","Communications","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Male","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Male","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Male","Communications","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Male","Counter Fraud","Attorney General's Departments","150","150","49230","42270"
"In post","2022","Male","Counter Fraud","Cabinet Office","70","70","46800","49700"
"In post","2022","Male","Counter Fraud","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Male","Counter Fraud","Department for Business, Energy and Industrial Strategy","210","200","35160","35070"
"In post","2022","Male","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Male","Counter Fraud","Department for Transport","30","30","[c]","[c]"
"In post","2022","Male","Counter Fraud","Department for Work and Pensions","2460","2300","27890","27570"
"In post","2022","Male","Counter Fraud","Food Standards Agency","40","40","[c]","[c]"
"In post","2022","Male","Counter Fraud","HM Revenue and Customs","5050","4900","36290","33370"
"In post","2022","Male","Counter Fraud","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Male","Counter Fraud","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Male","Debt","Department for Work and Pensions","800","750","22540","21260"
"In post","2022","Male","Debt","HM Revenue and Customs","1830","1750","24300","21250"
"In post","2022","Male","Debt","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Male","Debt","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Male","Digital, Data & Technology","Attorney General's Departments","110","110","42440","40170"
"In post","2022","Male","Digital, Data & Technology","Cabinet Office","710","700","50890","54700"
"In post","2022","Male","Digital, Data & Technology","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Male","Digital, Data & Technology","Charity Commission","40","40","[c]","[c]"
"In post","2022","Male","Digital, Data & Technology","Competition and Markets Authority","50","50","[c]","[c]"
"In post","2022","Male","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","1400","1360","41130","39650"
"In post","2022","Male","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Male","Digital, Data & Technology","Department for Education","480","480","41980","38110"
"In post","2022","Male","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","540","540","43520","44820"
"In post","2022","Male","Digital, Data & Technology","Department for International Trade","90","90","49350","47980"
"In post","2022","Male","Digital, Data & Technology","Department for Levelling Up, Housing and Communities","100","100","46450","41480"
"In post","2022","Male","Digital, Data & Technology","Department for Transport","900","890","40710","38650"
"In post","2022","Male","Digital, Data & Technology","Department for Work and Pensions","2730","2660","43200","38000"
"In post","2022","Male","Digital, Data & Technology","Department of Health and Social Care","230","230","43140","40070"
"In post","2022","Male","Digital, Data & Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Male","Digital, Data & Technology","Foreign, Commonwealth and Development Office","240","240","42630","39190"
"In post","2022","Male","Digital, Data & Technology","HM Land Registry","450","440","38060","38450"
"In post","2022","Male","Digital, Data & Technology","HM Revenue and Customs","1850","1810","42440","40180"
"In post","2022","Male","Digital, Data & Technology","HM Treasury","50","50","[c]","[c]"
"In post","2022","Male","Digital, Data & Technology","Ministry of Defence","2010","1990","35700","33300"
"In post","2022","Male","Digital, Data & Technology","Ministry of Justice","780","770","47540","47000"
"In post","2022","Male","Digital, Data & Technology","National Crime Agency","150","140","44390","42350"
"In post","2022","Male","Digital, Data & Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Male","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","50","50","[c]","[c]"
"In post","2022","Male","Digital, Data & Technology","Office of Gas and Electricity Markets","60","60","57010","55000"
"In post","2022","Male","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Male","Digital, Data & Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Male","Digital, Data & Technology","Scottish Government","170","170","39450","36360"
"In post","2022","Male","Digital, Data & Technology","The National Archives","70","70","40870","40130"
"In post","2022","Male","Digital, Data & Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Male","Digital, Data & Technology","UK Statistics Authority","440","430","41910","37570"
"In post","2022","Male","Digital, Data & Technology","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Male","Digital, Data & Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Male","Digital, Data & Technology","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Male","Finance","Attorney General's Departments","70","70","37850","30720"
"In post","2022","Male","Finance","Cabinet Office","90","80","50090","49700"
"In post","2022","Male","Finance","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Male","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Male","Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Male","Finance","Department for Business, Energy and Industrial Strategy","160","160","46080","42700"
"In post","2022","Male","Finance","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"In post","2022","Male","Finance","Department for Education","610","610","41790","37100"
"In post","2022","Male","Finance","Department for Environment, Food and Rural Affairs","210","210","44650","40210"
"In post","2022","Male","Finance","Department for International Trade","50","50","48930","47600"
"In post","2022","Male","Finance","Department for Levelling Up, Housing and Communities","60","60","50630","53130"
"In post","2022","Male","Finance","Department for Transport","230","230","43490","42060"
"In post","2022","Male","Finance","Department for Work and Pensions","930","890","40150","35310"
"In post","2022","Male","Finance","Department of Health and Social Care","250","240","46430","40850"
"In post","2022","Male","Finance","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Male","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Male","Finance","Foreign, Commonwealth and Development Office","150","150","45420","43300"
"In post","2022","Male","Finance","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Male","Finance","HM Revenue and Customs","1180","1140","36950","33370"
"In post","2022","Male","Finance","HM Treasury","70","60","53030","55840"
"In post","2022","Male","Finance","Ministry of Defence","860","840","40640","35740"
"In post","2022","Male","Finance","Ministry of Justice","310","310","44420","41750"
"In post","2022","Male","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Male","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Male","Finance","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Male","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Male","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Male","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Male","Finance","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Male","Finance","Scottish Government","40","40","[c]","[c]"
"In post","2022","Male","Finance","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Male","Finance","UK Export Finance","40","40","[c]","[c]"
"In post","2022","Male","Finance","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Male","Finance","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Male","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Male","Finance","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Male","Grants Management","Department for Environment, Food and Rural Affairs","970","940","25640","21300"
"In post","2022","Male","Grants Management","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Male","Human Resources","Attorney General's Departments","80","70","41630","35340"
"In post","2022","Male","Human Resources","Cabinet Office","410","400","41050","37300"
"In post","2022","Male","Human Resources","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Male","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Male","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Male","Human Resources","Department for Business, Energy and Industrial Strategy","100","100","44180","40040"
"In post","2022","Male","Human Resources","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Male","Human Resources","Department for Education","40","40","[c]","[c]"
"In post","2022","Male","Human Resources","Department for Environment, Food and Rural Affairs","90","90","42650","39550"
"In post","2022","Male","Human Resources","Department for International Trade","40","40","[c]","[c]"
"In post","2022","Male","Human Resources","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Male","Human Resources","Department for Transport","130","130","36830","33350"
"In post","2022","Male","Human Resources","Department for Work and Pensions","580","560","33670","29530"
"In post","2022","Male","Human Resources","Department of Health and Social Care","130","130","41710","36330"
"In post","2022","Male","Human Resources","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Male","Human Resources","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Male","Human Resources","Foreign, Commonwealth and Development Office","120","120","52560","52460"
"In post","2022","Male","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Male","Human Resources","HM Revenue and Customs","610","590","36210","33370"
"In post","2022","Male","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Male","Human Resources","Ministry of Defence","630","620","34590","30750"
"In post","2022","Male","Human Resources","Ministry of Justice","350","340","42030","38750"
"In post","2022","Male","Human Resources","National Crime Agency","60","60","41660","39980"
"In post","2022","Male","Human Resources","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Male","Human Resources","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Male","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Male","Human Resources","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Male","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Male","Human Resources","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Male","Human Resources","Scottish Government","70","70","38500","39530"
"In post","2022","Male","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Male","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Male","Human Resources","UK Statistics Authority","30","30","[c]","[c]"
"In post","2022","Male","Human Resources","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Male","Human Resources","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Male","Human Resources","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Male","Internal Audit","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Male","Internal Audit","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Male","Internal Audit","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Male","Internal Audit","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Male","Internal Audit","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Male","Internal Audit","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Male","Internal Audit","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Male","Internal Audit","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Male","Internal Audit","HM Treasury","180","170","52610","49750"
"In post","2022","Male","Internal Audit","Ministry of Defence","70","70","40230","37000"
"In post","2022","Male","Internal Audit","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Male","Internal Audit","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Male","Internal Audit","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Male","Internal Audit","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Male","Legal","Attorney General's Departments","2920","2850","48520","51250"
"In post","2022","Male","Legal","Cabinet Office","30","30","[c]","[c]"
"In post","2022","Male","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Male","Legal","Competition and Markets Authority","80","80","73360","72430"
"In post","2022","Male","Legal","Department for Business, Energy and Industrial Strategy","50","40","[c]","[c]"
"In post","2022","Male","Legal","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Male","Legal","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Male","Legal","Department for Work and Pensions","40","30","[c]","[c]"
