"Status","Year","Sex","Ethnicity","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Male","Black","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Male","Black","Human Resources","60","60","35810","32160"
"In post","2022","Male","Black","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Male","Black","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Male","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Male","Black","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Male","Black","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Male","Black","Legal","130","130","50840","51250"
"In post","2022","Male","Black","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Male","Black","Operational Delivery","3380","3290","30150","28850"
"In post","2022","Male","Black","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Male","Black","Other","250","250","30370","28670"
"In post","2022","Male","Black","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Male","Black","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Male","Black","Policy","420","410","40640","37780"
"In post","2022","Male","Black","Project Delivery","200","200","40450","37610"
"In post","2022","Male","Black","Property","70","60","39370","35310"
"In post","2022","Male","Black","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Male","Black","Science and Engineering","130","120","38830","37490"
"In post","2022","Male","Black","Security","100","100","31220","25630"
"In post","2022","Male","Black","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Male","Black","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Male","Black","Tax","260","250","34000","33370"
"In post","2022","Male","Black","Unknown","220","220","41370","37300"
"In post","2022","Male","Black","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Male","Mixed","Commercial","40","40","[c]","[c]"
"In post","2022","Male","Mixed","Communications","40","40","[c]","[c]"
"In post","2022","Male","Mixed","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Male","Mixed","Counter Fraud","50","40","[c]","[c]"
"In post","2022","Male","Mixed","Digital, Data and Technology","170","170","41840","38110"
"In post","2022","Male","Mixed","Economics","50","50","43220","41700"
"In post","2022","Male","Mixed","Finance","90","90","42510","38410"
"In post","2022","Male","Mixed","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Male","Mixed","Human Resources","60","60","41910","39380"
"In post","2022","Male","Mixed","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Male","Mixed","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Male","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Male","Mixed","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Male","Mixed","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Male","Mixed","Legal","110","110","50160","49580"
"In post","2022","Male","Mixed","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Male","Mixed","Operational Delivery","1700","1650","30310","27570"
"In post","2022","Male","Mixed","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Male","Mixed","Other","170","170","31940","27570"
"In post","2022","Male","Mixed","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Male","Mixed","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Male","Mixed","Policy","450","450","47440","45160"
"In post","2022","Male","Mixed","Project Delivery","120","120","43370","40350"
"In post","2022","Male","Mixed","Property","40","40","[c]","[c]"
"In post","2022","Male","Mixed","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Male","Mixed","Science and Engineering","130","130","39050","38070"
"In post","2022","Male","Mixed","Security","70","70","35620","34290"
"In post","2022","Male","Mixed","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Male","Mixed","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Male","Mixed","Tax","150","140","37750","33370"
"In post","2022","Male","Mixed","Unknown","210","210","46080","40180"
"In post","2022","Male","Mixed","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Male","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Male","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Male","Other ethnicity","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Male","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Male","Other ethnicity","Digital, Data and Technology","70","60","45090","39910"
"In post","2022","Male","Other ethnicity","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Male","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Male","Other ethnicity","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Male","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Male","Other ethnicity","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Male","Other ethnicity","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Male","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Male","Other ethnicity","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Male","Other ethnicity","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Male","Other ethnicity","Legal","40","30","[c]","[c]"
"In post","2022","Male","Other ethnicity","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Male","Other ethnicity","Operational Delivery","550","530","30920","28550"
"In post","2022","Male","Other ethnicity","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Male","Other ethnicity","Other","60","60","40410","31770"
"In post","2022","Male","Other ethnicity","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Male","Other ethnicity","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Male","Other ethnicity","Policy","160","150","47100","48920"
"In post","2022","Male","Other ethnicity","Project Delivery","40","30","[c]","[c]"
"In post","2022","Male","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2022","Male","Other ethnicity","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Male","Other ethnicity","Science and Engineering","50","50","41930","40930"
"In post","2022","Male","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2022","Male","Other ethnicity","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Male","Other ethnicity","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Male","Other ethnicity","Tax","50","50","[c]","[c]"
"In post","2022","Male","Other ethnicity","Unknown","50","50","42610","35850"
"In post","2022","Male","Other ethnicity","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Male","Undeclared","Commercial","140","140","41410","38980"
"In post","2022","Male","Undeclared","Communications","60","60","42280","39980"
"In post","2022","Male","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Male","Undeclared","Counter Fraud","210","190","29350","27570"
"In post","2022","Male","Undeclared","Digital, Data and Technology","830","820","42420","40000"
"In post","2022","Male","Undeclared","Economics","40","40","[c]","[c]"
"In post","2022","Male","Undeclared","Finance","310","310","41750","38150"
"In post","2022","Male","Undeclared","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Male","Undeclared","Human Resources","110","110","37710","33350"
"In post","2022","Male","Undeclared","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Male","Undeclared","Intelligence Analysis","140","140","37030","33300"
"In post","2022","Male","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Male","Undeclared","International Trade","40","40","[c]","[c]"
"In post","2022","Male","Undeclared","Knowledge and Information Management","90","90","37020","33300"
"In post","2022","Male","Undeclared","Legal","290","280","46120","41080"
"In post","2022","Male","Undeclared","Medicine","30","30","[c]","[c]"
"In post","2022","Male","Undeclared","Operational Delivery","5150","4880","30480","27570"
"In post","2022","Male","Undeclared","Operational Research","50","50","[c]","[c]"
"In post","2022","Male","Undeclared","Other","730","700","31030","27570"
"In post","2022","Male","Undeclared","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Male","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Male","Undeclared","Policy","760","740","50050","49500"
"In post","2022","Male","Undeclared","Project Delivery","460","440","46230","42580"
"In post","2022","Male","Undeclared","Property","360","340","40090","36450"
"In post","2022","Male","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Male","Undeclared","Science and Engineering","770","750","41770","40580"
"In post","2022","Male","Undeclared","Security","370","360","36190","39070"
"In post","2022","Male","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Male","Undeclared","Statistics","40","40","[c]","[c]"
"In post","2022","Male","Undeclared","Tax","480","460","42560","40180"
"In post","2022","Male","Undeclared","Unknown","390","380","46040","40520"
"In post","2022","Male","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Male","Unknown","Commercial","330","320","40390","37400"
"In post","2022","Male","Unknown","Communications","300","300","44550","40520"
"In post","2022","Male","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Male","Unknown","Counter Fraud","200","200","35270","31060"
"In post","2022","Male","Unknown","Digital, Data and Technology","2080","2060","42200","38060"
"In post","2022","Male","Unknown","Economics","230","220","43480","35330"
"In post","2022","Male","Unknown","Finance","590","580","41250","37830"
"In post","2022","Male","Unknown","Geography","90","90","31270","29290"
"In post","2022","Male","Unknown","Human Resources","270","260","38520","33660"
"In post","2022","Male","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Male","Unknown","Intelligence Analysis","150","150","34450","33080"
"In post","2022","Male","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Male","Unknown","International Trade","230","220","46030","40520"
"In post","2022","Male","Unknown","Knowledge and Information Management","100","100","36210","31820"
"In post","2022","Male","Unknown","Legal","780","760","43800","38390"
"In post","2022","Male","Unknown","Medicine","120","110","57350","49320"
"In post","2022","Male","Unknown","Operational Delivery","15660","15030","28230","26140"
"In post","2022","Male","Unknown","Operational Research","80","80","41070","38070"
"In post","2022","Male","Unknown","Other","2760","2730","35990","32700"
"In post","2022","Male","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Male","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Male","Unknown","Policy","1810","1790","46310","42470"
"In post","2022","Male","Unknown","Project Delivery","770","760","43630","40410"
"In post","2022","Male","Unknown","Property","520","500","36400","32890"
"In post","2022","Male","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Male","Unknown","Science and Engineering","710","700","36180","32720"
"In post","2022","Male","Unknown","Security","910","900","31900","27690"
"In post","2022","Male","Unknown","Social Research","50","50","39160","36920"
"In post","2022","Male","Unknown","Statistics","150","150","40860","37880"
"In post","2022","Male","Unknown","Tax","2500","2440","30910","26820"
"In post","2022","Male","Unknown","Unknown","4410","4350","42320","33250"
"In post","2022","Male","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Male","White","Commercial","2070","2030","42020","38980"
"In post","2022","Male","White","Communications","1170","1150","42550","38680"
"In post","2022","Male","White","Corporate Finance","40","40","[c]","[c]"
"In post","2022","Male","White","Counter Fraud","1850","1730","30300","27570"
"In post","2022","Male","White","Digital, Data and Technology","8630","8480","42990","39910"
"In post","2022","Male","White","Economics","820","820","49870","51210"
"In post","2022","Male","White","Finance","3750","3680","43290","39740"
"In post","2022","Male","White","Geography","210","200","31850","33290"
"In post","2022","Male","White","Human Resources","2150","2110","40530","36820"
"In post","2022","Male","White","Inspector of Education and Training","240","230","73840","75500"
"In post","2022","Male","White","Intelligence Analysis","1320","1290","35310","32670"
"In post","2022","Male","White","Internal Audit","270","260","48400","45390"
"In post","2022","Male","White","International Trade","490","490","48980","51030"
"In post","2022","Male","White","Knowledge and Information Management","790","780","37230","33590"
"In post","2022","Male","White","Legal","3520","3410","49320","49580"
"In post","2022","Male","White","Medicine","490","460","63690","54280"
"In post","2022","Male","White","Operational Delivery","71120","67940","30180","27570"
"In post","2022","Male","White","Operational Research","520","500","46870","47010"
"In post","2022","Male","White","Other","9670","9450","31640","27570"
"In post","2022","Male","White","Planning","100","100","45860","41980"
"In post","2022","Male","White","Planning Inspectors","200","180","57580","58810"
"In post","2022","Male","White","Policy","10480","10340","49820","49170"
"In post","2022","Male","White","Project Delivery","5730","5610","46080","41500"
"In post","2022","Male","White","Property","3310","3230","39870","36460"
"In post","2022","Male","White","Psychology","150","140","37250","31180"
"In post","2022","Male","White","Science and Engineering","7480","7290","39660","38070"
"In post","2022","Male","White","Security","5450","5340","32040","28890"
"In post","2022","Male","White","Social Research","310","310","44140","39300"
"In post","2022","Male","White","Statistics","950","930","44520","40160"
"In post","2022","Male","White","Tax","5720","5530","38490","33370"
"In post","2022","Male","White","Unknown","8970","8830","43530","37300"
"In post","2022","Male","White","Veterinarian","150","140","45590","47550"
"In post","2022","Unknown","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Mixed","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","White","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","White","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","White","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","White","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","White","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Asian","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Asian","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Asian","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Asian","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Asian","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Asian","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Asian","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Asian","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Asian","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Asian","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Asian","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Asian","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Asian","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Asian","Operational Delivery","140","130","26860","23370"
"Leaver CS","2021","Female","Asian","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Asian","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Asian","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Asian","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Asian","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Asian","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Asian","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Asian","Science and Engineering","50","40","[c]","[c]"
"Leaver CS","2021","Female","Asian","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Asian","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Asian","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Asian","Unknown","340","270","26700","25110"
"Leaver CS","2021","Female","Asian","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Black","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Black","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Black","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Black","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Black","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Black","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Black","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Black","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Black","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Black","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Black","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Black","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Black","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Black","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Black","Operational Delivery","110","100","24620","23500"
"Leaver CS","2021","Female","Black","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Black","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Black","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Black","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Black","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Black","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Black","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Black","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Black","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Black","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Black","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Black","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Black","Unknown","160","140","28240","25110"
"Leaver CS","2021","Female","Black","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Chinese","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Chinese","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Chinese","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Chinese","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Chinese","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Chinese","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Chinese","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Chinese","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Chinese","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Chinese","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Chinese","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Chinese","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Chinese","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Chinese","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Chinese","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Chinese","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Chinese","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Chinese","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Chinese","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Chinese","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Chinese","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Chinese","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Chinese","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Chinese","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Chinese","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Chinese","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Chinese","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mixed","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mixed","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mixed","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mixed","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mixed","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mixed","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mixed","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mixed","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mixed","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mixed","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mixed","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mixed","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mixed","Operational Delivery","80","70","[c]","[c]"
"Leaver CS","2021","Female","Mixed","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mixed","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mixed","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mixed","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mixed","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mixed","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mixed","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mixed","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mixed","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mixed","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mixed","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Mixed","Unknown","90","80","25960","24360"
"Leaver CS","2021","Female","Mixed","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other ethnicity","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other ethnicity","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other ethnicity","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other ethnicity","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other ethnicity","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other ethnicity","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other ethnicity","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other ethnicity","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other ethnicity","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other ethnicity","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other ethnicity","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other ethnicity","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other ethnicity","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other ethnicity","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other ethnicity","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other ethnicity","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other ethnicity","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other ethnicity","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other ethnicity","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Operational Delivery","150","120","26650","23050"
"Leaver CS","2021","Female","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Science and Engineering","40","30","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Statistics","[c]","[c]","[c]","[c]"
