"Status","Year","Function_of_post","Responsibility_level","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Legal","SEO/HEO","Heterosexual / straight","1580","1510","39620","38180"
"In post","2022","Legal","SEO/HEO","LGBO","100","90","39350","38180"
"In post","2022","Legal","SEO/HEO","Undeclared","120","110","40070","38000"
"In post","2022","Legal","SEO/HEO","Unknown","400","380","38820","37730"
"In post","2022","No function","AA/AO","Heterosexual / straight","57570","51720","23070","21260"
"In post","2022","No function","AA/AO","LGBO","3950","3780","23370","21260"
"In post","2022","No function","AA/AO","Undeclared","7490","6520","22790","21260"
"In post","2022","No function","AA/AO","Unknown","24770","21890","22990","21260"
"In post","2022","No function","EO","Heterosexual / straight","51360","47490","28330","27570"
"In post","2022","No function","EO","LGBO","3400","3290","28210","27570"
"In post","2022","No function","EO","Undeclared","6440","5870","28350","27570"
"In post","2022","No function","EO","Unknown","15600","14150","28580","27570"
"In post","2022","No function","G6/G7","Heterosexual / straight","16420","15880","58760","55410"
"In post","2022","No function","G6/G7","LGBO","1410","1390","57930","55200"
"In post","2022","No function","G6/G7","Undeclared","2340","2260","59000","55670"
"In post","2022","No function","G6/G7","Unknown","4500","4350","57390","55210"
"In post","2022","No function","SCS","Heterosexual / straight","2350","2260","89100","80290"
"In post","2022","No function","SCS","LGBO","180","180","87440","78300"
"In post","2022","No function","SCS","Undeclared","260","250","89970","83360"
"In post","2022","No function","SCS","Unknown","530","510","93840","84400"
"In post","2022","No function","SEO/HEO","Heterosexual / straight","37280","35730","37260","36050"
"In post","2022","No function","SEO/HEO","LGBO","2850","2800","36510","35080"
"In post","2022","No function","SEO/HEO","Undeclared","4880","4650","37620","36360"
"In post","2022","No function","SEO/HEO","Unknown","11730","11310","35610","33840"
"In post","2022","No function","Unknown","Heterosexual / straight","13560","12610","30430","28200"
"In post","2022","No function","Unknown","LGBO","960","930","29770","26810"
"In post","2022","No function","Unknown","Undeclared","1130","1040","32270","32090"
"In post","2022","No function","Unknown","Unknown","3560","3200","28230","26310"
"In post","2022","Project Delivery","AA/AO","Heterosexual / straight","360","310","22000","21260"
"In post","2022","Project Delivery","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","AA/AO","Undeclared","50","40","22020","21260"
"In post","2022","Project Delivery","AA/AO","Unknown","200","170","22110","21740"
"In post","2022","Project Delivery","EO","Heterosexual / straight","2490","2360","24750","25750"
"In post","2022","Project Delivery","EO","LGBO","130","120","25240","25940"
"In post","2022","Project Delivery","EO","Undeclared","240","230","25070","25740"
"In post","2022","Project Delivery","EO","Unknown","580","540","25150","26120"
"In post","2022","Project Delivery","G6/G7","Heterosexual / straight","4970","4830","58290","55620"
"In post","2022","Project Delivery","G6/G7","LGBO","280","280","57890","55210"
"In post","2022","Project Delivery","G6/G7","Undeclared","570","550","58070","55740"
"In post","2022","Project Delivery","G6/G7","Unknown","1430","1380","57390","55210"
"In post","2022","Project Delivery","SCS","Heterosexual / straight","450","430","92610","85430"
"In post","2022","Project Delivery","SCS","LGBO","30","30","[c]","[c]"
"In post","2022","Project Delivery","SCS","Undeclared","50","50","[c]","[c]"
"In post","2022","Project Delivery","SCS","Unknown","70","70","92040","79300"
"In post","2022","Project Delivery","SEO/HEO","Heterosexual / straight","9380","9020","36660","36890"
"In post","2022","Project Delivery","SEO/HEO","LGBO","450","450","35980","35630"
"In post","2022","Project Delivery","SEO/HEO","Undeclared","1270","1200","37440","37930"
"In post","2022","Project Delivery","SEO/HEO","Unknown","1950","1860","36710","37930"
"In post","2022","Project Delivery","Unknown","Heterosexual / straight","1280","1250","41290","39860"
"In post","2022","Project Delivery","Unknown","LGBO","50","50","[c]","[c]"
"In post","2022","Project Delivery","Unknown","Undeclared","160","160","44760","42680"
"In post","2022","Project Delivery","Unknown","Unknown","130","120","36930","33180"
"In post","2022","Property","AA/AO","Heterosexual / straight","1020","960","21020","21750"
"In post","2022","Property","AA/AO","LGBO","50","50","[c]","[c]"
"In post","2022","Property","AA/AO","Undeclared","140","130","21150","21840"
"In post","2022","Property","AA/AO","Unknown","630","590","22310","22010"
"In post","2022","Property","EO","Heterosexual / straight","1280","1210","26540","26670"
"In post","2022","Property","EO","LGBO","60","50","26500","26350"
"In post","2022","Property","EO","Undeclared","150","140","27170","27000"
"In post","2022","Property","EO","Unknown","420","410","27340","26880"
"In post","2022","Property","G6/G7","Heterosexual / straight","1300","1270","58350","57150"
"In post","2022","Property","G6/G7","LGBO","60","60","57850","56220"
"In post","2022","Property","G6/G7","Undeclared","160","150","59160","57930"
"In post","2022","Property","G6/G7","Unknown","220","210","58440","57080"
"In post","2022","Property","SCS","Heterosexual / straight","90","90","89880","84770"
"In post","2022","Property","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Property","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Property","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Property","SEO/HEO","Heterosexual / straight","2820","2720","37430","36380"
"In post","2022","Property","SEO/HEO","LGBO","110","110","36850","36180"
"In post","2022","Property","SEO/HEO","Undeclared","370","350","38260","36990"
"In post","2022","Property","SEO/HEO","Unknown","600","580","38050","37730"
"In post","2022","Property","Unknown","Heterosexual / straight","40","40","[c]","[c]"
"In post","2022","Property","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Property","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Security","AA/AO","Heterosexual / straight","4000","3900","26310","21850"
"In post","2022","Security","AA/AO","LGBO","170","170","27670","25000"
"In post","2022","Security","AA/AO","Undeclared","530","510","29600","25740"
"In post","2022","Security","AA/AO","Unknown","950","940","27940","25000"
"In post","2022","Security","EO","Heterosexual / straight","1060","1030","31820","28670"
"In post","2022","Security","EO","LGBO","60","60","31660","29090"
"In post","2022","Security","EO","Undeclared","160","160","34860","31760"
"In post","2022","Security","EO","Unknown","230","220","29290","26820"
"In post","2022","Security","G6/G7","Heterosexual / straight","410","400","59080","57960"
"In post","2022","Security","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Security","G6/G7","Undeclared","80","80","59540","57680"
"In post","2022","Security","G6/G7","Unknown","100","90","59720","56760"
"In post","2022","Security","SCS","Heterosexual / straight","40","40","[c]","[c]"
"In post","2022","Security","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Security","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Security","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Security","SEO/HEO","Heterosexual / straight","1860","1820","38840","37000"
"In post","2022","Security","SEO/HEO","LGBO","100","100","37430","36140"
"In post","2022","Security","SEO/HEO","Undeclared","320","310","40160","38160"
"In post","2022","Security","SEO/HEO","Unknown","390","380","38310","37000"
"In post","2022","Security","Unknown","Heterosexual / straight","150","140","32470","29680"
"In post","2022","Security","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Security","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","AA/AO","Heterosexual / straight","13770","12680","22050","21680"
"In post","2022","Unknown","AA/AO","LGBO","550","530","22080","21680"
"In post","2022","Unknown","AA/AO","Undeclared","1650","1500","22160","21680"
"In post","2022","Unknown","AA/AO","Unknown","3070","2930","22890","21780"
"In post","2022","Unknown","EO","Heterosexual / straight","16570","15520","27410","26930"
"In post","2022","Unknown","EO","LGBO","790","760","27090","26820"
"In post","2022","Unknown","EO","Undeclared","2280","2100","27740","27370"
"In post","2022","Unknown","EO","Unknown","3430","3260","27770","27230"
"In post","2022","Unknown","G6/G7","Heterosexual / straight","7230","6960","62230","61440"
"In post","2022","Unknown","G6/G7","LGBO","440","440","60890","58550"
"In post","2022","Unknown","G6/G7","Undeclared","940","910","62110","61440"
"In post","2022","Unknown","G6/G7","Unknown","1570","1500","62130","60740"
"In post","2022","Unknown","SCS","Heterosexual / straight","750","720","89390","83230"
"In post","2022","Unknown","SCS","LGBO","50","50","[c]","[c]"
"In post","2022","Unknown","SCS","Undeclared","80","80","86680","81430"
"In post","2022","Unknown","SCS","Unknown","140","130","92190","83230"
"In post","2022","Unknown","SEO/HEO","Heterosexual / straight","17680","17060","38020","37450"
"In post","2022","Unknown","SEO/HEO","LGBO","980","950","37400","37000"
"In post","2022","Unknown","SEO/HEO","Undeclared","2340","2260","38200","37640"
"In post","2022","Unknown","SEO/HEO","Unknown","3310","3200","38770","38180"
"In post","2022","Unknown","Unknown","Heterosexual / straight","210","200","40710","35710"
"In post","2022","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Undeclared","50","50","[c]","[c]"
"In post","2022","Unknown","Unknown","Unknown","1800","1800","37340","34020"
"Leaver CS","2021","Analysis","AA/AO","Heterosexual / straight","50","50","[c]","[c]"
"Leaver CS","2021","Analysis","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","AA/AO","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","Analysis","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","SCS","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","SEO/HEO","Heterosexual / straight","40","40","[c]","[c]"
"Leaver CS","2021","Analysis","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","SEO/HEO","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","Commercial","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","EO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","G6/G7","Heterosexual / straight","30","30","[c]","[c]"
"Leaver CS","2021","Commercial","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","G6/G7","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","Commercial","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","SCS","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","SCS","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","SEO/HEO","Heterosexual / straight","70","60","38520","37670"
"Leaver CS","2021","Commercial","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","EO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SCS","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","Heterosexual / straight","70","70","35120","33300"
"Leaver CS","2021","Communications","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","Unknown","40","30","[c]","[c]"
"Leaver CS","2021","Counter Fraud","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SCS","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","EO","Heterosexual / straight","40","40","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","EO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","Heterosexual / straight","60","50","59650","58190"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","Unknown","50","50","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SCS","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","Heterosexual / straight","80","80","38090","38550"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","Unknown","60","50","37700","37530"
"Leaver CS","2021","Digital, Data & Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","EO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","Heterosexual / straight","40","30","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SCS","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SCS","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","Heterosexual / straight","70","60","39190","37900"
"Leaver CS","2021","Finance","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","AA/AO","Unknown","50","40","[c]","[c]"
"Leaver CS","2021","Grants Management","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","AA/AO","Heterosexual / straight","50","40","[c]","[c]"
"Leaver CS","2021","Human Resources","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","EO","Heterosexual / straight","40","30","[c]","[c]"
"Leaver CS","2021","Human Resources","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","EO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","Heterosexual / straight","40","40","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SCS","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SEO/HEO","Heterosexual / straight","80","80","38770","38580"
"Leaver CS","2021","Human Resources","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","AA/AO","Heterosexual / straight","70","60","22240","21950"
"Leaver CS","2021","Legal","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","AA/AO","Undeclared","60","60","21840","20850"
"Leaver CS","2021","Legal","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","EO","Heterosexual / straight","50","40","[c]","[c]"
"Leaver CS","2021","Legal","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","EO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","G6/G7","Heterosexual / straight","150","130","58190","55610"
"Leaver CS","2021","Legal","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","G6/G7","Unknown","70","60","60970","57320"
"Leaver CS","2021","Legal","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","SCS","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","SCS","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","SEO/HEO","Heterosexual / straight","70","60","41930","43460"
"Leaver CS","2021","Legal","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","SEO/HEO","Undeclared","40","30","[c]","[c]"
"Leaver CS","2021","Legal","SEO/HEO","Unknown","50","40","[c]","[c]"
"Leaver CS","2021","No function","AA/AO","Heterosexual / straight","2650","2390","20400","20100"
"Leaver CS","2021","No function","AA/AO","LGBO","200","190","19880","19690"
"Leaver CS","2021","No function","AA/AO","Undeclared","380","320","20290","20100"
"Leaver CS","2021","No function","AA/AO","Unknown","1890","1720","20660","20450"
"Leaver CS","2021","No function","EO","Heterosexual / straight","650","590","26940","26600"
"Leaver CS","2021","No function","EO","LGBO","40","30","[c]","[c]"
"Leaver CS","2021","No function","EO","Undeclared","140","120","27730","26780"
"Leaver CS","2021","No function","EO","Unknown","390","360","27180","26520"
"Leaver CS","2021","No function","G6/G7","Heterosexual / straight","320","300","60970","57200"
"Leaver CS","2021","No function","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","G6/G7","Undeclared","70","60","61490","58230"
"Leaver CS","2021","No function","G6/G7","Unknown","180","170","58620","56950"
"Leaver CS","2021","No function","SCS","Heterosexual / straight","90","80","105390","104580"
"Leaver CS","2021","No function","SCS","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","SCS","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","SCS","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","No function","SEO/HEO","Heterosexual / straight","820","740","37200","36030"
"Leaver CS","2021","No function","SEO/HEO","LGBO","40","40","[c]","[c]"
"Leaver CS","2021","No function","SEO/HEO","Undeclared","150","130","38130","37020"
"Leaver CS","2021","No function","SEO/HEO","Unknown","420","380","36120","34530"
"Leaver CS","2021","No function","Unknown","Heterosexual / straight","450","390","[c]","[c]"
"Leaver CS","2021","No function","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","Unknown","Undeclared","60","50","[c]","[c]"
"Leaver CS","2021","No function","Unknown","Unknown","120","110","[c]","[c]"
"Leaver CS","2021","Project Delivery","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","AA/AO","LGBO","[c]","[c]","[c]","[c]"
