"Status","Year","Responsibility_level","Profession_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","G6/G7","Statistics","65+","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Tax","20-29","260","260","56790","55210"
"In post","2022","G6/G7","Tax","30-39","850","830","57880","55210"
"In post","2022","G6/G7","Tax","40-49","710","690","59060","55210"
"In post","2022","G6/G7","Tax","50-59","920","890","60860","57760"
"In post","2022","G6/G7","Tax","60-64","220","170","63420","62120"
"In post","2022","G6/G7","Tax","65+","50","30","[c]","[c]"
"In post","2022","G6/G7","Unknown","20-29","740","740","56610","54700"
"In post","2022","G6/G7","Unknown","30-39","2480","2430","59510","57190"
"In post","2022","G6/G7","Unknown","40-49","2540","2460","62700","62170"
"In post","2022","G6/G7","Unknown","50-59","2000","1960","64250","62170"
"In post","2022","G6/G7","Unknown","60-64","280","250","66160","64500"
"In post","2022","G6/G7","Unknown","65+","70","60","66950","64890"
"In post","2022","G6/G7","Veterinarian","30-39","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Veterinarian","40-49","60","60","53410","52070"
"In post","2022","G6/G7","Veterinarian","50-59","40","40","[c]","[c]"
"In post","2022","G6/G7","Veterinarian","60-64","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Veterinarian","65+","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Commercial","30-39","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Commercial","40-49","40","40","[c]","[c]"
"In post","2022","SCS","Commercial","50-59","40","40","[c]","[c]"
"In post","2022","SCS","Commercial","60-64","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","30-39","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","40-49","60","60","89030","85900"
"In post","2022","SCS","Communications","50-59","30","30","[c]","[c]"
"In post","2022","SCS","Communications","60-64","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Corporate Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Corporate Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Corporate Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data and Technology","30-39","30","30","[c]","[c]"
"In post","2022","SCS","Digital, Data and Technology","40-49","130","130","91880","90000"
"In post","2022","SCS","Digital, Data and Technology","50-59","110","110","93670","87600"
"In post","2022","SCS","Digital, Data and Technology","60-64","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Digital, Data and Technology","65+","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Economics","30-39","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Economics","40-49","30","30","[c]","[c]"
"In post","2022","SCS","Economics","50-59","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Economics","60-64","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Economics","65+","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","30-39","60","50","80230","75830"
"In post","2022","SCS","Finance","40-49","130","130","84450","78470"
"In post","2022","SCS","Finance","50-59","130","130","93150","86530"
"In post","2022","SCS","Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Finance","65+","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Geography","50-59","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","20-29","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","30-39","40","30","[c]","[c]"
"In post","2022","SCS","Human Resources","40-49","110","100","87390","78300"
"In post","2022","SCS","Human Resources","50-59","80","70","86940","81600"
"In post","2022","SCS","Human Resources","60-64","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Human Resources","65+","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Inspector of Education and Training","40-49","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Inspector of Education and Training","50-59","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Inspector of Education and Training","60-64","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Inspector of Education and Training","65+","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Intelligence Analysis","30-39","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Intelligence Analysis","40-49","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Intelligence Analysis","50-59","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Intelligence Analysis","60-64","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Internal Audit","65+","[c]","[c]","[c]","[c]"
"In post","2022","SCS","International Trade","30-39","40","30","[c]","[c]"
"In post","2022","SCS","International Trade","40-49","40","40","[c]","[c]"
"In post","2022","SCS","International Trade","50-59","40","40","[c]","[c]"
"In post","2022","SCS","International Trade","60-64","[c]","[c]","[c]","[c]"
"In post","2022","SCS","International Trade","65+","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Knowledge and Information Management","30-39","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Knowledge and Information Management","40-49","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Knowledge and Information Management","50-59","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Knowledge and Information Management","60-64","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Knowledge and Information Management","65+","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","30-39","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","40-49","150","150","85000","80670"
"In post","2022","SCS","Legal","50-59","190","180","90110","83400"
"In post","2022","SCS","Legal","60-64","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Legal","65+","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Medicine","30-39","40","30","[c]","[c]"
"In post","2022","SCS","Medicine","40-49","110","100","96410","95140"
"In post","2022","SCS","Medicine","50-59","120","120","112760","114000"
"In post","2022","SCS","Medicine","60-64","40","40","[c]","[c]"
"In post","2022","SCS","Medicine","65+","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Operational Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Operational Delivery","30-39","90","80","81870","75640"
"In post","2022","SCS","Operational Delivery","40-49","320","320","88160","79590"
"In post","2022","SCS","Operational Delivery","50-59","400","390","93260","85430"
"In post","2022","SCS","Operational Delivery","60-64","60","50","108450","103000"
"In post","2022","SCS","Operational Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Operational Research","30-39","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Operational Research","40-49","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Operational Research","50-59","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Operational Research","60-64","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Operational Research","65+","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Other","30-39","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Other","40-49","130","120","92570","85400"
"In post","2022","SCS","Other","50-59","130","130","99810","89930"
"In post","2022","SCS","Other","60-64","30","30","[c]","[c]"
"In post","2022","SCS","Other","65+","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Planning","20-29","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Planning","40-49","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Planning","50-59","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Planning","65+","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Planning Inspectors","60-64","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Policy","20-29","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Policy","30-39","390","370","77140","74100"
"In post","2022","SCS","Policy","40-49","910","870","84240","77650"
"In post","2022","SCS","Policy","50-59","510","500","91610","81760"
"In post","2022","SCS","Policy","60-64","90","80","94630","85730"
"In post","2022","SCS","Policy","65+","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","30-39","50","50","[c]","[c]"
"In post","2022","SCS","Project Delivery","40-49","130","130","87970","83000"
"In post","2022","SCS","Project Delivery","50-59","170","170","93620","86230"
"In post","2022","SCS","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","30-39","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","40-49","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","50-59","50","50","[c]","[c]"
"In post","2022","SCS","Property","60-64","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Property","65+","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Psychology","50-59","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Science and Engineering","30-39","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Science and Engineering","40-49","30","30","[c]","[c]"
"In post","2022","SCS","Science and Engineering","50-59","40","40","[c]","[c]"
"In post","2022","SCS","Science and Engineering","60-64","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Science and Engineering","65+","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Security","30-39","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Security","40-49","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Security","50-59","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Security","60-64","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Social Research","30-39","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Social Research","40-49","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Social Research","50-59","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Statistics","30-39","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Statistics","40-49","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Statistics","50-59","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Statistics","60-64","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Statistics","65+","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Tax","30-39","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Tax","40-49","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Tax","50-59","40","40","[c]","[c]"
"In post","2022","SCS","Tax","60-64","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Tax","65+","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","30-39","190","180","81070","76370"
"In post","2022","SCS","Unknown","40-49","490","480","94250","85040"
"In post","2022","SCS","Unknown","50-59","450","440","104580","95930"
"In post","2022","SCS","Unknown","60-64","70","70","106910","97320"
"In post","2022","SCS","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Veterinarian","50-59","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Veterinarian","65+","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Commercial","16-19","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Commercial","20-29","580","580","34620","34500"
"In post","2022","SEO/HEO","Commercial","30-39","950","920","36680","36820"
"In post","2022","SEO/HEO","Commercial","40-49","800","770","37630","37400"
"In post","2022","SEO/HEO","Commercial","50-59","870","850","38490","38330"
"In post","2022","SEO/HEO","Commercial","60-64","190","170","38300","39000"
"In post","2022","SEO/HEO","Commercial","65+","40","40","[c]","[c]"
"In post","2022","SEO/HEO","Communications","16-19","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Communications","20-29","520","520","36420","35900"
"In post","2022","SEO/HEO","Communications","30-39","670","650","38120","38160"
"In post","2022","SEO/HEO","Communications","40-49","500","480","39070","39000"
"In post","2022","SEO/HEO","Communications","50-59","360","350","38260","37930"
"In post","2022","SEO/HEO","Communications","60-64","70","70","38090","37120"
"In post","2022","SEO/HEO","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Corporate Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Corporate Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Corporate Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Corporate Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Corporate Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Corporate Finance","65+","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Counter Fraud","20-29","90","90","33990","32350"
"In post","2022","SEO/HEO","Counter Fraud","30-39","200","190","34460","33100"
"In post","2022","SEO/HEO","Counter Fraud","40-49","330","320","35180","33720"
"In post","2022","SEO/HEO","Counter Fraud","50-59","510","500","35870","34730"
"In post","2022","SEO/HEO","Counter Fraud","60-64","130","100","36310","35070"
"In post","2022","SEO/HEO","Counter Fraud","65+","40","30","[c]","[c]"
"In post","2022","SEO/HEO","Digital, Data and Technology","20-29","1590","1580","36030","35050"
"In post","2022","SEO/HEO","Digital, Data and Technology","30-39","2450","2410","37410","36840"
"In post","2022","SEO/HEO","Digital, Data and Technology","40-49","2560","2500","38420","38160"
"In post","2022","SEO/HEO","Digital, Data and Technology","50-59","2650","2590","38380","37880"
"In post","2022","SEO/HEO","Digital, Data and Technology","60-64","550","480","38530","37710"
"In post","2022","SEO/HEO","Digital, Data and Technology","65+","150","120","39880","38700"
"In post","2022","SEO/HEO","Economics","20-29","730","720","34930","33880"
"In post","2022","SEO/HEO","Economics","30-39","90","90","37880","38160"
"In post","2022","SEO/HEO","Economics","40-49","30","30","[c]","[c]"
"In post","2022","SEO/HEO","Economics","50-59","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Economics","60-64","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Finance","20-29","740","740","35560","34130"
"In post","2022","SEO/HEO","Finance","30-39","1220","1180","37310","36650"
"In post","2022","SEO/HEO","Finance","40-49","1490","1440","37510","36820"
"In post","2022","SEO/HEO","Finance","50-59","1830","1780","38060","37100"
"In post","2022","SEO/HEO","Finance","60-64","420","380","38790","37640"
"In post","2022","SEO/HEO","Finance","65+","130","110","38700","37480"
"In post","2022","SEO/HEO","Geography","20-29","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Geography","30-39","70","70","34600","33290"
"In post","2022","SEO/HEO","Geography","40-49","60","60","36210","33290"
"In post","2022","SEO/HEO","Geography","50-59","60","60","36580","33560"
"In post","2022","SEO/HEO","Geography","60-64","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Geography","65+","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Human Resources","20-29","600","600","33850","32940"
"In post","2022","SEO/HEO","Human Resources","30-39","1030","990","35980","35310"
"In post","2022","SEO/HEO","Human Resources","40-49","1120","1070","36980","36740"
"In post","2022","SEO/HEO","Human Resources","50-59","1210","1160","37650","37000"
"In post","2022","SEO/HEO","Human Resources","60-64","280","230","37770","36970"
"In post","2022","SEO/HEO","Human Resources","65+","50","40","38410","36560"
"In post","2022","SEO/HEO","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Inspector of Education and Training","30-39","60","60","49800","51360"
"In post","2022","SEO/HEO","Inspector of Education and Training","40-49","130","130","50140","51360"
"In post","2022","SEO/HEO","Inspector of Education and Training","50-59","160","150","50650","51360"
"In post","2022","SEO/HEO","Inspector of Education and Training","60-64","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Inspector of Education and Training","65+","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Intelligence Analysis","20-29","200","200","36150","37000"
"In post","2022","SEO/HEO","Intelligence Analysis","30-39","380","380","36700","35500"
"In post","2022","SEO/HEO","Intelligence Analysis","40-49","300","290","37010","36020"
"In post","2022","SEO/HEO","Intelligence Analysis","50-59","310","310","37530","36810"
"In post","2022","SEO/HEO","Intelligence Analysis","60-64","50","50","39380","39420"
"In post","2022","SEO/HEO","Intelligence Analysis","65+","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Internal Audit","20-29","40","40","[c]","[c]"
"In post","2022","SEO/HEO","Internal Audit","30-39","90","80","38140","39200"
"In post","2022","SEO/HEO","Internal Audit","40-49","110","100","40800","40580"
"In post","2022","SEO/HEO","Internal Audit","50-59","170","160","42310","42310"
"In post","2022","SEO/HEO","Internal Audit","60-64","50","40","41430","42720"
"In post","2022","SEO/HEO","Internal Audit","65+","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","International Trade","20-29","340","340","35280","34710"
"In post","2022","SEO/HEO","International Trade","30-39","190","180","36870","38160"
"In post","2022","SEO/HEO","International Trade","40-49","90","80","37360","38160"
"In post","2022","SEO/HEO","International Trade","50-59","110","100","37160","38300"
"In post","2022","SEO/HEO","International Trade","60-64","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","International Trade","65+","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Knowledge and Information Management","20-29","110","110","33880","33300"
"In post","2022","SEO/HEO","Knowledge and Information Management","30-39","220","210","35900","35070"
"In post","2022","SEO/HEO","Knowledge and Information Management","40-49","290","270","36870","36950"
"In post","2022","SEO/HEO","Knowledge and Information Management","50-59","340","330","37350","36520"
"In post","2022","SEO/HEO","Knowledge and Information Management","60-64","80","80","38320","37970"
"In post","2022","SEO/HEO","Knowledge and Information Management","65+","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Legal","20-29","540","540","36970","37610"
"In post","2022","SEO/HEO","Legal","30-39","920","890","38860","37930"
"In post","2022","SEO/HEO","Legal","40-49","980","920","39330","38190"
"In post","2022","SEO/HEO","Legal","50-59","1190","1120","40590","40520"
"In post","2022","SEO/HEO","Legal","60-64","200","160","42450","41250"
"In post","2022","SEO/HEO","Legal","65+","60","40","42400","41950"
"In post","2022","SEO/HEO","Medicine","20-29","50","50","35010","34170"
"In post","2022","SEO/HEO","Medicine","30-39","200","180","39460","39030"
"In post","2022","SEO/HEO","Medicine","40-49","230","200","41120","39630"
"In post","2022","SEO/HEO","Medicine","50-59","210","190","40720","39030"
"In post","2022","SEO/HEO","Medicine","60-64","60","50","40390","39030"
"In post","2022","SEO/HEO","Medicine","65+","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Operational Delivery","20-29","3320","3290","34310","33370"
"In post","2022","SEO/HEO","Operational Delivery","30-39","8490","8250","35930","34600"
"In post","2022","SEO/HEO","Operational Delivery","40-49","10220","9870","37260","36050"
"In post","2022","SEO/HEO","Operational Delivery","50-59","12780","12310","37840","36360"
"In post","2022","SEO/HEO","Operational Delivery","60-64","2750","2240","37870","36130"
"In post","2022","SEO/HEO","Operational Delivery","65+","660","500","38590","36480"
"In post","2022","SEO/HEO","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Operational Research","20-29","250","250","34460","35000"
"In post","2022","SEO/HEO","Operational Research","30-39","150","150","39710","38220"
"In post","2022","SEO/HEO","Operational Research","40-49","70","70","39070","38210"
"In post","2022","SEO/HEO","Operational Research","50-59","50","40","[c]","[c]"
"In post","2022","SEO/HEO","Operational Research","60-64","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Operational Research","65+","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Other","20-29","650","650","32730","33000"
"In post","2022","SEO/HEO","Other","30-39","1370","1320","35510","34770"
"In post","2022","SEO/HEO","Other","40-49","1550","1490","36900","36500"
"In post","2022","SEO/HEO","Other","50-59","2260","2200","36700","35310"
"In post","2022","SEO/HEO","Other","60-64","680","630","37070","35960"
"In post","2022","SEO/HEO","Other","65+","200","170","38440","36460"
"In post","2022","SEO/HEO","Planning","20-29","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Planning","30-39","40","40","[c]","[c]"
"In post","2022","SEO/HEO","Planning","40-49","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Planning","50-59","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Planning","60-64","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Planning","65+","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Planning Inspectors","20-29","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Planning Inspectors","30-39","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Planning Inspectors","40-49","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Planning Inspectors","50-59","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Planning Inspectors","65+","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Policy","16-19","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Policy","20-29","5470","5450","35820","34710"
"In post","2022","SEO/HEO","Policy","30-39","3730","3630","37340","37000"
"In post","2022","SEO/HEO","Policy","40-49","2450","2340","38110","38160"
"In post","2022","SEO/HEO","Policy","50-59","2270","2210","38770","38160"
"In post","2022","SEO/HEO","Policy","60-64","430","380","39190","38370"
"In post","2022","SEO/HEO","Policy","65+","120","100","38720","38160"
"In post","2022","SEO/HEO","Project Delivery","20-29","1300","1290","35030","34020"
"In post","2022","SEO/HEO","Project Delivery","30-39","2110","2050","37030","37550"
"In post","2022","SEO/HEO","Project Delivery","40-49","2000","1930","37690","38160"
"In post","2022","SEO/HEO","Project Delivery","50-59","2290","2220","38090","38550"
"In post","2022","SEO/HEO","Project Delivery","60-64","570","480","38340","38790"
"In post","2022","SEO/HEO","Project Delivery","65+","130","100","39000","39170"
"In post","2022","SEO/HEO","Property","20-29","370","370","34440","33000"
"In post","2022","SEO/HEO","Property","30-39","580","560","37090","36450"
"In post","2022","SEO/HEO","Property","40-49","790","770","37350","36500"
"In post","2022","SEO/HEO","Property","50-59","1190","1160","38690","37360"
"In post","2022","SEO/HEO","Property","60-64","380","330","39200","38330"
"In post","2022","SEO/HEO","Property","65+","130","110","39610","38000"
"In post","2022","SEO/HEO","Psychology","20-29","210","210","30030","29060"
"In post","2022","SEO/HEO","Psychology","30-39","420","410","36860","33120"
"In post","2022","SEO/HEO","Psychology","40-49","190","170","43590","45830"
"In post","2022","SEO/HEO","Psychology","50-59","70","60","41070","39670"
"In post","2022","SEO/HEO","Psychology","60-64","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Psychology","65+","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Science and Engineering","20-29","1470","1450","32830","31600"
"In post","2022","SEO/HEO","Science and Engineering","30-39","1860","1810","37420","38070"
"In post","2022","SEO/HEO","Science and Engineering","40-49","1360","1290","38360","38830"
"In post","2022","SEO/HEO","Science and Engineering","50-59","1510","1460","39170","39650"
"In post","2022","SEO/HEO","Science and Engineering","60-64","480","430","39360","39650"
"In post","2022","SEO/HEO","Science and Engineering","65+","160","130","38370","38690"
"In post","2022","SEO/HEO","Security","20-29","190","190","35510","34640"
"In post","2022","SEO/HEO","Security","30-39","390","380","37890","36840"
"In post","2022","SEO/HEO","Security","40-49","440","430","39060","37710"
"In post","2022","SEO/HEO","Security","50-59","720","710","41280","38160"
"In post","2022","SEO/HEO","Security","60-64","140","130","39880","37320"
"In post","2022","SEO/HEO","Security","65+","50","40","[c]","[c]"
"In post","2022","SEO/HEO","Social Research","20-29","460","460","35090","33710"
"In post","2022","SEO/HEO","Social Research","30-39","250","230","37670","38340"
"In post","2022","SEO/HEO","Social Research","40-49","110","100","38030","38340"
"In post","2022","SEO/HEO","Social Research","50-59","40","40","[c]","[c]"
"In post","2022","SEO/HEO","Social Research","60-64","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Social Research","65+","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Statistics","20-29","550","550","36010","35490"
"In post","2022","SEO/HEO","Statistics","30-39","360","350","37670","38160"
"In post","2022","SEO/HEO","Statistics","40-49","190","180","39470","40000"
"In post","2022","SEO/HEO","Statistics","50-59","110","110","38960","38340"
"In post","2022","SEO/HEO","Statistics","60-64","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Statistics","65+","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Tax","20-29","1120","1120","34370","33370"
"In post","2022","SEO/HEO","Tax","30-39","2400","2350","35030","33370"
"In post","2022","SEO/HEO","Tax","40-49","1780","1730","36020","33370"
"In post","2022","SEO/HEO","Tax","50-59","2240","2160","37460","37930"
"In post","2022","SEO/HEO","Tax","60-64","610","490","37890","37930"
"In post","2022","SEO/HEO","Tax","65+","160","110","39240","40350"
"In post","2022","SEO/HEO","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Unknown","20-29","3980","3970","33410","32000"
"In post","2022","SEO/HEO","Unknown","30-39","3490","3410","37210","36130"
"In post","2022","SEO/HEO","Unknown","40-49","2560","2470","38890","38580"
"In post","2022","SEO/HEO","Unknown","50-59","2110","2050","39770","39660"
"In post","2022","SEO/HEO","Unknown","60-64","400","360","40660","39520"
"In post","2022","SEO/HEO","Unknown","65+","90","70","40160","39660"
"In post","2022","SEO/HEO","Veterinarian","20-29","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Veterinarian","30-39","80","80","37310","37080"
"In post","2022","SEO/HEO","Veterinarian","40-49","90","90","38960","37530"
"In post","2022","SEO/HEO","Veterinarian","50-59","50","50","43310","44350"
"In post","2022","SEO/HEO","Veterinarian","60-64","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Veterinarian","65+","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","20-29","30","30","[c]","[c]"
"In post","2022","Unknown","Commercial","30-39","60","60","37530","37400"
"In post","2022","Unknown","Commercial","40-49","50","50","[c]","[c]"
"In post","2022","Unknown","Commercial","50-59","40","40","[c]","[c]"
"In post","2022","Unknown","Commercial","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","65+","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data and Technology","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data and Technology","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data and Technology","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data and Technology","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data and Technology","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data and Technology","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data and Technology","65+","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Economics","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Economics","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","60-64","[c]","[c]","[c]","[c]"
