"Status","Year","Sex","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Female","Unknown","Tax","2520","2340","29530","26820"
"In post","2022","Female","Unknown","Unknown","6190","5930","40280","32790"
"In post","2022","Female","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Male","Declared disabled","Commercial","250","240","39140","36500"
"In post","2022","Male","Declared disabled","Communications","120","120","37320","34360"
"In post","2022","Male","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Male","Declared disabled","Counter Fraud","370","340","28390","27570"
"In post","2022","Male","Declared disabled","Digital, Data and Technology","1040","1010","40860","36970"
"In post","2022","Male","Declared disabled","Economics","70","70","47860","41840"
"In post","2022","Male","Declared disabled","Finance","460","440","40040","36050"
"In post","2022","Male","Declared disabled","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Male","Declared disabled","Human Resources","370","360","40210","36190"
"In post","2022","Male","Declared disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Male","Declared disabled","Intelligence Analysis","150","140","35260","33080"
"In post","2022","Male","Declared disabled","Internal Audit","40","40","[c]","[c]"
"In post","2022","Male","Declared disabled","International Trade","60","60","49820","51710"
"In post","2022","Male","Declared disabled","Knowledge and Information Management","130","130","36730","33220"
"In post","2022","Male","Declared disabled","Legal","410","390","49450","50510"
"In post","2022","Male","Declared disabled","Medicine","40","40","[c]","[c]"
"In post","2022","Male","Declared disabled","Operational Delivery","11360","10670","28530","27570"
"In post","2022","Male","Declared disabled","Operational Research","50","50","44730","41320"
"In post","2022","Male","Declared disabled","Other","1330","1280","29200","27040"
"In post","2022","Male","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Male","Declared disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Male","Declared disabled","Policy","1290","1270","46130","40740"
"In post","2022","Male","Declared disabled","Project Delivery","620","600","42330","40180"
"In post","2022","Male","Declared disabled","Property","320","310","37530","33310"
"In post","2022","Male","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Male","Declared disabled","Science and Engineering","660","640","37590","37220"
"In post","2022","Male","Declared disabled","Security","510","490","32770","31230"
"In post","2022","Male","Declared disabled","Social Research","40","40","[c]","[c]"
"In post","2022","Male","Declared disabled","Statistics","120","120","41950","38340"
"In post","2022","Male","Declared disabled","Tax","750","710","37140","33370"
"In post","2022","Male","Declared disabled","Unknown","1110","1090","40550","34550"
"In post","2022","Male","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Male","Declared non-disabled","Commercial","1790","1760","42080","38800"
"In post","2022","Male","Declared non-disabled","Communications","1060","1040","43000","39580"
"In post","2022","Male","Declared non-disabled","Corporate Finance","60","60","57180","48090"
"In post","2022","Male","Declared non-disabled","Counter Fraud","1990","1870","30530","27570"
"In post","2022","Male","Declared non-disabled","Digital, Data and Technology","8340","8220","43170","40060"
"In post","2022","Male","Declared non-disabled","Economics","850","840","49500","51210"
"In post","2022","Male","Declared non-disabled","Finance","3750","3700","43620","40000"
"In post","2022","Male","Declared non-disabled","Geography","180","180","32140","33290"
"In post","2022","Male","Declared non-disabled","Human Resources","1880","1840","40610","36740"
"In post","2022","Male","Declared non-disabled","Inspector of Education and Training","230","230","73150","75500"
"In post","2022","Male","Declared non-disabled","Intelligence Analysis","1220","1190","35090","31810"
"In post","2022","Male","Declared non-disabled","Internal Audit","280","270","47750","45390"
"In post","2022","Male","Declared non-disabled","International Trade","510","500","48110","47070"
"In post","2022","Male","Declared non-disabled","Knowledge and Information Management","730","720","36720","33570"
"In post","2022","Male","Declared non-disabled","Legal","3430","3330","49820","50500"
"In post","2022","Male","Declared non-disabled","Medicine","430","390","63590","61440"
"In post","2022","Male","Declared non-disabled","Operational Delivery","67040","64420","29930","27570"
"In post","2022","Male","Declared non-disabled","Operational Research","540","530","46400","47010"
"In post","2022","Male","Declared non-disabled","Other","8520","8350","32030","27570"
"In post","2022","Male","Declared non-disabled","Planning","100","90","46540","41500"
"In post","2022","Male","Declared non-disabled","Planning Inspectors","170","150","56950","58810"
"In post","2022","Male","Declared non-disabled","Policy","10320","10180","49520","48770"
"In post","2022","Male","Declared non-disabled","Project Delivery","5600","5490","45800","41330"
"In post","2022","Male","Declared non-disabled","Property","3080","2990","40410","36630"
"In post","2022","Male","Declared non-disabled","Psychology","130","130","38160","31180"
"In post","2022","Male","Declared non-disabled","Science and Engineering","7310","7130","39680","38070"
"In post","2022","Male","Declared non-disabled","Security","4460","4380","31980","28080"
"In post","2022","Male","Declared non-disabled","Social Research","250","240","45750","41340"
"In post","2022","Male","Declared non-disabled","Statistics","890","880","44880","40520"
"In post","2022","Male","Declared non-disabled","Tax","6000","5820","37760","33370"
"In post","2022","Male","Declared non-disabled","Unknown","8030","7930","43830","37300"
"In post","2022","Male","Declared non-disabled","Veterinarian","150","150","44920","44780"
"In post","2022","Male","Undeclared","Commercial","180","170","44270","41500"
"In post","2022","Male","Undeclared","Communications","80","80","40200","37800"
"In post","2022","Male","Undeclared","Counter Fraud","150","140","30200","27570"
"In post","2022","Male","Undeclared","Digital, Data and Technology","800","790","41740","38460"
"In post","2022","Male","Undeclared","Economics","70","70","45630","40370"
"In post","2022","Male","Undeclared","Finance","340","330","41970","39740"
"In post","2022","Male","Undeclared","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Male","Undeclared","Human Resources","150","140","39120","35590"
"In post","2022","Male","Undeclared","Intelligence Analysis","160","160","36100","33330"
"In post","2022","Male","Undeclared","Internal Audit","30","30","[c]","[c]"
"In post","2022","Male","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Male","Undeclared","Knowledge and Information Management","80","80","38650","32750"
"In post","2022","Male","Undeclared","Legal","300","290","45400","40180"
"In post","2022","Male","Undeclared","Medicine","40","30","[c]","[c]"
"In post","2022","Male","Undeclared","Operational Delivery","7710","7240","30520","29730"
"In post","2022","Male","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Male","Undeclared","Other","860","830","29330","26670"
"In post","2022","Male","Undeclared","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Male","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Male","Undeclared","Policy","890","880","48380","45260"
"In post","2022","Male","Undeclared","Project Delivery","430","420","44980","41310"
"In post","2022","Male","Undeclared","Property","340","330","40260","36900"
"In post","2022","Male","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Male","Undeclared","Science and Engineering","560","540","37870","35240"
"In post","2022","Male","Undeclared","Security","620","610","34350","36480"
"In post","2022","Male","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Male","Undeclared","Statistics","40","40","[c]","[c]"
"In post","2022","Male","Undeclared","Tax","560","540","41050","35980"
"In post","2022","Male","Undeclared","Unknown","380","370","42810","39580"
"In post","2022","Male","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Male","Unknown","Commercial","590","580","40300","38260"
"In post","2022","Male","Unknown","Communications","430","420","43630","40000"
"In post","2022","Male","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Male","Unknown","Counter Fraud","170","160","35080","31000"
"In post","2022","Male","Unknown","Digital, Data and Technology","2830","2800","42490","38550"
"In post","2022","Male","Unknown","Economics","330","320","44350","37930"
"In post","2022","Male","Unknown","Finance","890","880","40810","37000"
"In post","2022","Male","Unknown","Geography","100","100","31220","29290"
"In post","2022","Male","Unknown","Human Resources","440","430","37330","33300"
"In post","2022","Male","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Male","Unknown","Intelligence Analysis","220","220","35780","33300"
"In post","2022","Male","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Male","Unknown","International Trade","290","290","47010","41280"
"In post","2022","Male","Unknown","Knowledge and Information Management","130","120","37340","33300"
"In post","2022","Male","Unknown","Legal","1080","1060","43640","39540"
"In post","2022","Male","Unknown","Medicine","250","230","70130","66570"
"In post","2022","Male","Unknown","Operational Delivery","18780","18040","29850","26820"
"In post","2022","Male","Unknown","Operational Research","80","70","42420","39040"
"In post","2022","Male","Unknown","Other","3600","3560","35170","32670"
"In post","2022","Male","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Male","Unknown","Planning Inspectors","50","40","[c]","[c]"
"In post","2022","Male","Unknown","Policy","2540","2520","46580","41990"
"In post","2022","Male","Unknown","Project Delivery","1080","1070","45710","41000"
"In post","2022","Male","Unknown","Property","740","730","35660","32890"
"In post","2022","Male","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Male","Unknown","Science and Engineering","1060","1040","40290","38930"
"In post","2022","Male","Unknown","Security","1550","1530","31900","28890"
"In post","2022","Male","Unknown","Social Research","100","100","38740","38340"
"In post","2022","Male","Unknown","Statistics","230","230","40380","38000"
"In post","2022","Male","Unknown","Tax","3000","2920","31980","28920"
"In post","2022","Male","Unknown","Unknown","5450","5370","42330","33370"
"In post","2022","Male","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared non-disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared disabled","Operational Delivery","470","390","25150","21430"
"Leaver CS","2021","Female","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared disabled","Other","80","70","27250","21580"
"Leaver CS","2021","Female","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared disabled","Policy","30","30","[c]","[c]"
"Leaver CS","2021","Female","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared disabled","Unknown","890","690","26830","26890"
"Leaver CS","2021","Female","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared non-disabled","Commercial","50","50","[c]","[c]"
"Leaver CS","2021","Female","Declared non-disabled","Communications","70","60","37810","35860"
"Leaver CS","2021","Female","Declared non-disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared non-disabled","Digital, Data and Technology","70","60","40540","37060"
"Leaver CS","2021","Female","Declared non-disabled","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared non-disabled","Finance","80","80","39980","34860"
"Leaver CS","2021","Female","Declared non-disabled","Human Resources","120","110","37370","32460"
"Leaver CS","2021","Female","Declared non-disabled","Inspector of Education and Training","40","40","[c]","[c]"
"Leaver CS","2021","Female","Declared non-disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared non-disabled","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared non-disabled","Knowledge and Information Management","50","50","33150","30460"
"Leaver CS","2021","Female","Declared non-disabled","Legal","160","130","52620","51390"
"Leaver CS","2021","Female","Declared non-disabled","Medicine","110","90","46650","36330"
"Leaver CS","2021","Female","Declared non-disabled","Operational Delivery","2280","1950","26450","22350"
"Leaver CS","2021","Female","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared non-disabled","Other","310","280","27180","21580"
"Leaver CS","2021","Female","Declared non-disabled","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared non-disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared non-disabled","Policy","220","200","46420","40780"
"Leaver CS","2021","Female","Declared non-disabled","Project Delivery","130","120","39550","33850"
"Leaver CS","2021","Female","Declared non-disabled","Property","70","60","32380","26210"
"Leaver CS","2021","Female","Declared non-disabled","Psychology","60","60","[c]","[c]"
"Leaver CS","2021","Female","Declared non-disabled","Science and Engineering","170","160","31140","28380"
"Leaver CS","2021","Female","Declared non-disabled","Security","40","30","[c]","[c]"
"Leaver CS","2021","Female","Declared non-disabled","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared non-disabled","Unknown","4180","3330","27600","25120"
"Leaver CS","2021","Female","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Operational Delivery","270","220","26940","22450"
"Leaver CS","2021","Female","Undeclared","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Science and Engineering","40","30","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","Unknown","340","280","29050","26890"
"Leaver CS","2021","Female","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Unknown","Communications","50","50","34600","32940"
"Leaver CS","2021","Female","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Unknown","Digital, Data and Technology","50","40","[c]","[c]"
"Leaver CS","2021","Female","Unknown","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Unknown","Human Resources","50","40","[c]","[c]"
"Leaver CS","2021","Female","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Unknown","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Unknown","Legal","50","40","[c]","[c]"
"Leaver CS","2021","Female","Unknown","Medicine","60","50","44950","31370"
"Leaver CS","2021","Female","Unknown","Operational Delivery","1140","1050","25960","21870"
"Leaver CS","2021","Female","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Unknown","Other","160","150","30360","28650"
"Leaver CS","2021","Female","Unknown","Policy","140","140","37790","32650"
"Leaver CS","2021","Female","Unknown","Project Delivery","40","40","[c]","[c]"
"Leaver CS","2021","Female","Unknown","Property","50","40","[c]","[c]"
"Leaver CS","2021","Female","Unknown","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Unknown","Science and Engineering","90","80","33260","28660"
"Leaver CS","2021","Female","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Unknown","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Unknown","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Unknown","Unknown","1810","1490","31520","27570"
"Leaver CS","2021","Female","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared disabled","Operational Delivery","370","330","28630","25310"
"Leaver CS","2021","Male","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared disabled","Other","80","80","29460","27340"
"Leaver CS","2021","Male","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared disabled","Science and Engineering","50","40","[c]","[c]"
"Leaver CS","2021","Male","Declared disabled","Security","40","40","[c]","[c]"
"Leaver CS","2021","Male","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared disabled","Unknown","590","510","28250","26890"
"Leaver CS","2021","Male","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared non-disabled","Commercial","70","60","43130","40250"
"Leaver CS","2021","Male","Declared non-disabled","Communications","60","60","37410","32700"
"Leaver CS","2021","Male","Declared non-disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared non-disabled","Digital, Data and Technology","160","150","44730","40290"
"Leaver CS","2021","Male","Declared non-disabled","Economics","40","40","[c]","[c]"
"Leaver CS","2021","Male","Declared non-disabled","Finance","90","90","46640","44790"
"Leaver CS","2021","Male","Declared non-disabled","Human Resources","70","60","40790","36820"
"Leaver CS","2021","Male","Declared non-disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared non-disabled","Intelligence Analysis","30","30","[c]","[c]"
"Leaver CS","2021","Male","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared non-disabled","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared non-disabled","Legal","120","100","56750","55610"
"Leaver CS","2021","Male","Declared non-disabled","Medicine","50","40","[c]","[c]"
"Leaver CS","2021","Male","Declared non-disabled","Operational Delivery","2200","1990","30530","25880"
"Leaver CS","2021","Male","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared non-disabled","Other","440","430","31560","29930"
"Leaver CS","2021","Male","Declared non-disabled","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared non-disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared non-disabled","Policy","220","210","51330","46200"
"Leaver CS","2021","Male","Declared non-disabled","Project Delivery","160","160","45910","40000"
"Leaver CS","2021","Male","Declared non-disabled","Property","180","160","35180","33250"
"Leaver CS","2021","Male","Declared non-disabled","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared non-disabled","Science and Engineering","300","280","33930","31950"
"Leaver CS","2021","Male","Declared non-disabled","Security","180","170","30670","27250"
"Leaver CS","2021","Male","Declared non-disabled","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Declared non-disabled","Unknown","2700","2390","31550","27150"
"Leaver CS","2021","Male","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Undeclared","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Undeclared","Operational Delivery","390","330","30830","26780"
"Leaver CS","2021","Male","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Undeclared","Other","50","40","[c]","[c]"
"Leaver CS","2021","Male","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Undeclared","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Undeclared","Science and Engineering","50","40","[c]","[c]"
"Leaver CS","2021","Male","Undeclared","Security","30","30","[c]","[c]"
"Leaver CS","2021","Male","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Undeclared","Unknown","290","270","32280","27570"
"Leaver CS","2021","Male","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Unknown","Digital, Data and Technology","120","110","41650","38450"
"Leaver CS","2021","Male","Unknown","Economics","30","30","[c]","[c]"
"Leaver CS","2021","Male","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Unknown","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Unknown","Legal","40","30","[c]","[c]"
"Leaver CS","2021","Male","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Unknown","Operational Delivery","1130","1070","28950","24250"
"Leaver CS","2021","Male","Unknown","Operational Research","[c]","[c]","[c]","[c]"
