"Status","Year","Organisation","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Government Property Agency","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","G6/G7","Other","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","G6/G7","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","G6/G7","Property","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","G6/G7","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","SCS","Other","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","SCS","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","SCS","Property","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","SCS","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","SEO/HEO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","SEO/HEO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","SEO/HEO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","SEO/HEO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","AA/AO","Operational Delivery","260","220","22080","22160"
"In post","2021","Health and Safety Executive","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","AA/AO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","EO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","EO","Operational Delivery","300","280","28280","28210"
"In post","2021","Health and Safety Executive","EO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","EO","Science and Engineering","90","90","26900","26370"
"In post","2021","Health and Safety Executive","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","G6/G7","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","G6/G7","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","G6/G7","Operational Delivery","300","290","62890","59630"
"In post","2021","Health and Safety Executive","G6/G7","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","G6/G7","Property","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","G6/G7","Science and Engineering","100","80","58910","57510"
"In post","2021","Health and Safety Executive","G6/G7","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","SCS","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","SCS","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","SCS","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","SEO/HEO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","SEO/HEO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","SEO/HEO","Operational Delivery","850","810","48230","45870"
"In post","2021","Health and Safety Executive","SEO/HEO","Policy","50","40","[c]","[c]"
"In post","2021","Health and Safety Executive","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","SEO/HEO","Science and Engineering","260","240","38440","39330"
"In post","2021","Health and Safety Executive","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","SEO/HEO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","AA/AO","Operational Delivery","10430","9170","19980","19930"
"In post","2021","HM Courts and Tribunals Service","AA/AO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","EO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","EO","Operational Delivery","2520","2370","24050","23710"
"In post","2021","HM Courts and Tribunals Service","EO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","EO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","G6/G7","Finance","50","50","58260","58130"
"In post","2021","HM Courts and Tribunals Service","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","G6/G7","Legal","200","190","58950","57330"
"In post","2021","HM Courts and Tribunals Service","G6/G7","Operational Delivery","250","240","53510","52120"
"In post","2021","HM Courts and Tribunals Service","G6/G7","Planning","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","G6/G7","Policy","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","G6/G7","Project Delivery","90","80","54690","52850"
"In post","2021","HM Courts and Tribunals Service","G6/G7","Property","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","G6/G7","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","G6/G7","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","SCS","Operational Delivery","40","40","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","SCS","Property","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","SEO/HEO","Digital, Data and Technology","90","90","31390","30850"
"In post","2021","HM Courts and Tribunals Service","SEO/HEO","Finance","90","90","34670","34930"
"In post","2021","HM Courts and Tribunals Service","SEO/HEO","Human Resources","40","40","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","SEO/HEO","Legal","960","850","39020","40950"
"In post","2021","HM Courts and Tribunals Service","SEO/HEO","Operational Delivery","1270","1230","31270","30850"
"In post","2021","HM Courts and Tribunals Service","SEO/HEO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","SEO/HEO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","SEO/HEO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","SEO/HEO","Project Delivery","180","170","33100","31150"
"In post","2021","HM Courts and Tribunals Service","SEO/HEO","Property","40","40","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","SEO/HEO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","AA/AO","Digital, Data and Technology","60","50","21740","22350"
"In post","2021","HM Land Registry","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","AA/AO","Operational Delivery","1760","1670","22480","22350"
"In post","2021","HM Land Registry","AA/AO","Other","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","EO","Digital, Data and Technology","180","170","29880","31740"
"In post","2021","HM Land Registry","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","EO","Legal","60","50","27620","27130"
"In post","2021","HM Land Registry","EO","Operational Delivery","1850","1600","27240","27130"
"In post","2021","HM Land Registry","EO","Other","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","G6/G7","Digital, Data and Technology","50","50","[c]","[c]"
"In post","2021","HM Land Registry","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","G6/G7","Legal","140","130","64300","65970"
"In post","2021","HM Land Registry","G6/G7","Operational Delivery","40","40","[c]","[c]"
"In post","2021","HM Land Registry","G6/G7","Other","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","G6/G7","Property","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","SCS","Legal","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","SCS","Other","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","SEO/HEO","Digital, Data and Technology","380","370","40950","38450"
"In post","2021","HM Land Registry","SEO/HEO","Finance","30","30","[c]","[c]"
"In post","2021","HM Land Registry","SEO/HEO","Human Resources","50","40","[c]","[c]"
"In post","2021","HM Land Registry","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","SEO/HEO","Legal","60","50","36760","33840"
"In post","2021","HM Land Registry","SEO/HEO","Operational Delivery","1340","1170","35960","33840"
"In post","2021","HM Land Registry","SEO/HEO","Other","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","SEO/HEO","Project Delivery","90","90","39070","38550"
"In post","2021","HM Land Registry","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","AA/AO","Commercial","60","50","23120","23240"
"In post","2021","HM Prison and Probation Service","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","AA/AO","Operational Delivery","28040","26520","26370","25570"
"In post","2021","HM Prison and Probation Service","AA/AO","Policy","150","140","22450","23060"
"In post","2021","HM Prison and Probation Service","AA/AO","Psychology","60","50","21120","20890"
"In post","2021","HM Prison and Probation Service","AA/AO","Security","60","60","29130","27510"
"In post","2021","HM Prison and Probation Service","EO","Commercial","60","60","28660","28220"
"In post","2021","HM Prison and Probation Service","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","EO","Intelligence Analysis","350","340","28720","27380"
"In post","2021","HM Prison and Probation Service","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","EO","Operational Delivery","5080","4860","31610","32240"
"In post","2021","HM Prison and Probation Service","EO","Policy","160","150","30000","30110"
"In post","2021","HM Prison and Probation Service","EO","Psychology","390","380","26440","26330"
"In post","2021","HM Prison and Probation Service","EO","Security","160","160","31520","29740"
"In post","2021","HM Prison and Probation Service","G6/G7","Commercial","150","150","72600","70740"
"In post","2021","HM Prison and Probation Service","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","G6/G7","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","G6/G7","Operational Delivery","390","380","75810","73280"
"In post","2021","HM Prison and Probation Service","G6/G7","Policy","60","60","70970","68950"
"In post","2021","HM Prison and Probation Service","G6/G7","Psychology","90","80","66860","65520"
"In post","2021","HM Prison and Probation Service","G6/G7","Security","30","30","[c]","[c]"
"In post","2021","HM Prison and Probation Service","G6/G7","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","SCS","Operational Delivery","60","60","98440","100730"
"In post","2021","HM Prison and Probation Service","SCS","Policy","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","SEO/HEO","Commercial","360","360","45890","46870"
"In post","2021","HM Prison and Probation Service","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","SEO/HEO","Human Resources","80","80","46240","48390"
"In post","2021","HM Prison and Probation Service","SEO/HEO","Intelligence Analysis","80","80","36630","34860"
"In post","2021","HM Prison and Probation Service","SEO/HEO","Internal Audit","40","40","[c]","[c]"
"In post","2021","HM Prison and Probation Service","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","SEO/HEO","Operational Delivery","4560","4340","41110","38160"
"In post","2021","HM Prison and Probation Service","SEO/HEO","Policy","210","200","42700","42630"
"In post","2021","HM Prison and Probation Service","SEO/HEO","Psychology","760","720","37120","31180"
"In post","2021","HM Prison and Probation Service","SEO/HEO","Security","360","350","41620","38160"
"In post","2021","HM Prison and Probation Service","SEO/HEO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Unknown","Commercial","40","40","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Unknown","Operational Delivery","11970","11060","29840","28200"
"In post","2021","HM Prison and Probation Service","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Unknown","Security","60","60","36330","37170"
"In post","2021","HM Revenue and Customs (excl. agencies)","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","AA/AO","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","AA/AO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","AA/AO","Finance","540","410","20780","20640"
"In post","2021","HM Revenue and Customs (excl. agencies)","AA/AO","Human Resources","40","30","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","AA/AO","Legal","270","230","21170","20370"
"In post","2021","HM Revenue and Customs (excl. agencies)","AA/AO","Operational Delivery","14410","12110","20890","20140"
"In post","2021","HM Revenue and Customs (excl. agencies)","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","AA/AO","Other","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","AA/AO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","AA/AO","Security","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","AA/AO","Tax","3790","3570","20260","20140"
"In post","2021","HM Revenue and Customs (excl. agencies)","AA/AO","Unknown","1570","1470","20330","20140"
"In post","2021","HM Revenue and Customs (excl. agencies)","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","EO","Digital, Data and Technology","270","250","26590","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","EO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","EO","Finance","220","190","26790","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","EO","Human Resources","100","100","26720","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","EO","Intelligence Analysis","30","30","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","EO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","EO","Legal","1610","1550","27210","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","EO","Operational Delivery","6960","6310","26160","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","EO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","EO","Other","110","90","27610","27230"
"In post","2021","HM Revenue and Customs (excl. agencies)","EO","Policy","50","50","28130","28130"
"In post","2021","HM Revenue and Customs (excl. agencies)","EO","Project Delivery","180","160","26830","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","EO","Property","30","30","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","EO","Security","30","30","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","EO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","EO","Tax","4060","3770","26550","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","EO","Unknown","940","920","25660","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","G6/G7","Communications","70","70","57120","53110"
"In post","2021","HM Revenue and Customs (excl. agencies)","G6/G7","Digital, Data and Technology","460","450","56060","52580"
"In post","2021","HM Revenue and Customs (excl. agencies)","G6/G7","Economics","50","50","59990","59160"
"In post","2021","HM Revenue and Customs (excl. agencies)","G6/G7","Finance","260","250","57530","53450"
"In post","2021","HM Revenue and Customs (excl. agencies)","G6/G7","Human Resources","190","180","57040","52770"
"In post","2021","HM Revenue and Customs (excl. agencies)","G6/G7","Intelligence Analysis","40","40","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","G6/G7","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","G6/G7","Legal","340","320","61210","59160"
"In post","2021","HM Revenue and Customs (excl. agencies)","G6/G7","Operational Delivery","690","670","54490","52580"
"In post","2021","HM Revenue and Customs (excl. agencies)","G6/G7","Operational Research","50","50","54710","52580"
"In post","2021","HM Revenue and Customs (excl. agencies)","G6/G7","Other","160","150","59260","58130"
"In post","2021","HM Revenue and Customs (excl. agencies)","G6/G7","Policy","590","570","62090","59160"
"In post","2021","HM Revenue and Customs (excl. agencies)","G6/G7","Project Delivery","860","840","54900","52580"
"In post","2021","HM Revenue and Customs (excl. agencies)","G6/G7","Property","70","70","55420","52580"
