"Status","Year","Region_ITL2","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Derbyshire and Nottinghamshire","Security","Ministry of Defence (excl. agencies)","50","50","31540","28890"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","Department for Work and Pensions (excl. agencies)","2290","2030","26060","27570"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","Ministry of Defence (excl. agencies)","130","130","26570","21580"
"In post","2021","Devon","Analysis","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Analysis","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Analysis","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Analysis","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Analysis","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Analysis","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Analysis","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Commercial","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Commercial","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Commercial","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Commercial","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Commercial","Met Office","180","170","43020","40140"
"In post","2021","Devon","Commercial","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Commercial","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Communications","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Communications","Met Office","30","30","[c]","[c]"
"In post","2021","Devon","Communications","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Communications","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Communications","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Counter Fraud","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Counter Fraud","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Debt","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Digital, Data & Technology","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Digital, Data & Technology","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Digital, Data & Technology","HM Land Registry","520","490","38110","38450"
"In post","2021","Devon","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Digital, Data & Technology","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Digital, Data & Technology","Met Office","830","790","40300","39650"
"In post","2021","Devon","Digital, Data & Technology","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Digital, Data & Technology","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Digital, Data & Technology","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Finance","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Finance","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Finance","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Finance","Met Office","30","30","[c]","[c]"
"In post","2021","Devon","Finance","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Finance","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Finance","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Grants Management","Rural Payments Agency","180","170","26610","25190"
"In post","2021","Devon","Human Resources","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Human Resources","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Human Resources","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Human Resources","Met Office","70","60","38290","33130"
"In post","2021","Devon","Human Resources","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Human Resources","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Human Resources","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Human Resources","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Human Resources","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Internal Audit","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Internal Audit","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Internal Audit","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Legal","Crown Prosecution Service","100","90","40460","38760"
"In post","2021","Devon","Legal","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Legal","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Legal","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Devon","No function","Animal and Plant Health Agency","210","200","27290","21050"
"In post","2021","Devon","No function","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Devon","No function","Driver and Vehicle Standards Agency","70","70","29210","26780"
"In post","2021","Devon","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Devon","No function","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Devon","No function","HM Courts and Tribunals Service","180","150","21120","20100"
"In post","2021","Devon","No function","HM Land Registry","330","290","27640","27130"
"In post","2021","Devon","No function","HM Prison and Probation Service","1130","1050","28810","26630"
"In post","2021","Devon","No function","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","No function","Insolvency Service","90","90","26030","20880"
"In post","2021","Devon","No function","Maritime and Coastguard Agency","30","30","[c]","[c]"
"In post","2021","Devon","No function","Met Office","200","190","37460","39650"
"In post","2021","Devon","No function","Ministry of Housing, Communities and Local Government (excl. agencies)","40","30","[c]","[c]"
"In post","2021","Devon","No function","National Crime Agency","40","40","[c]","[c]"
"In post","2021","Devon","No function","Public Health England","40","40","[c]","[c]"
"In post","2021","Devon","Project Delivery","Defence Equipment and Support","90","90","27280","22900"
"In post","2021","Devon","Project Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Project Delivery","HM Land Registry","40","40","[c]","[c]"
"In post","2021","Devon","Project Delivery","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Project Delivery","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Project Delivery","Met Office","330","310","40960","39650"
"In post","2021","Devon","Project Delivery","Ministry of Defence (excl. agencies)","90","80","37380","36460"
"In post","2021","Devon","Project Delivery","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Project Delivery","Submarine Delivery Agency","90","90","37230","37810"
"In post","2021","Devon","Project Delivery","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Property","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Property","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Property","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Property","Ministry of Defence (excl. agencies)","80","80","32060","33300"
"In post","2021","Devon","Property","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Property","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Property","Valuation Office Agency","400","370","26320","21100"
"In post","2021","Devon","Security","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Security","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Security","Ministry of Defence (excl. agencies)","420","410","26780","20920"
"In post","2021","Devon","Unknown","Department for Work and Pensions (excl. agencies)","2040","1730","25570","27570"
"In post","2021","Devon","Unknown","Home Office (incl. agencies)","100","90","29950","26080"
"In post","2021","Devon","Unknown","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Unknown","Ministry of Defence (excl. agencies)","610","580","28450","22080"
"In post","2021","Dorset and Somerset","Analysis","Centre for Environment, Fisheries and Aquaculture Science","120","110","33040","29270"
"In post","2021","Dorset and Somerset","Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Analysis","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Commercial","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Commercial","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Commercial","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Commercial","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Commercial","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Communications","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Communications","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Communications","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Communications","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Counter Fraud","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Digital, Data & Technology","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Digital, Data & Technology","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Digital, Data & Technology","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Digital, Data & Technology","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Digital, Data & Technology","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Digital, Data & Technology","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Digital, Data & Technology","UK Hydrographic Office","190","190","38770","35340"
"In post","2021","Dorset and Somerset","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Finance","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Finance","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Finance","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Finance","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Grants Management","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Grants Management","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Human Resources","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Human Resources","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Human Resources","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Human Resources","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Human Resources","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Human Resources","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Internal Audit","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Internal Audit","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Legal","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Legal","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Legal","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","No function","Animal and Plant Health Agency","40","40","[c]","[c]"
"In post","2021","Dorset and Somerset","No function","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","No function","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","No function","Driver and Vehicle Standards Agency","60","60","28430","26780"
"In post","2021","Dorset and Somerset","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","No function","HM Courts and Tribunals Service","190","170","20340","19830"
"In post","2021","Dorset and Somerset","No function","HM Land Registry","270","240","27970","27130"
"In post","2021","Dorset and Somerset","No function","HM Prison and Probation Service","1090","1010","28300","26970"
"In post","2021","Dorset and Somerset","No function","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","No function","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","No function","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","No function","UK Hydrographic Office","560","530","32390","33290"
"In post","2021","Dorset and Somerset","No function","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Project Delivery","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Project Delivery","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Project Delivery","Defence Equipment and Support","360","340","34400","33740"
"In post","2021","Dorset and Somerset","Project Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Project Delivery","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Project Delivery","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Project Delivery","Ministry of Defence (excl. agencies)","60","60","32270","33300"
"In post","2021","Dorset and Somerset","Project Delivery","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Property","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Property","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Property","Ministry of Defence (excl. agencies)","60","60","28990","27930"
"In post","2021","Dorset and Somerset","Property","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Property","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Security","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Security","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Security","Ministry of Defence (excl. agencies)","120","110","21210","19560"
"In post","2021","Dorset and Somerset","Security","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Unknown","Department for Work and Pensions (excl. agencies)","910","800","26650","27570"
"In post","2021","Dorset and Somerset","Unknown","Home Office (incl. agencies)","90","80","28040","27130"
"In post","2021","Dorset and Somerset","Unknown","Ministry of Defence (excl. agencies)","650","620","28090","22640"
"In post","2021","East Anglia","Analysis","Centre for Environment, Fisheries and Aquaculture Science","350","330","34300","30220"
"In post","2021","East Anglia","Analysis","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Analysis","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Analysis","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Analysis","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Analysis","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Commercial","Cabinet Office (excl. agencies)","70","60","57230","54620"
"In post","2021","East Anglia","Commercial","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Commercial","Crown Commercial Service","90","80","34770","34800"
"In post","2021","East Anglia","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Commercial","HM Prison and Probation Service","50","50","46320","46600"
"In post","2021","East Anglia","Commercial","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Commercial","Ministry of Defence (excl. agencies)","110","110","34160","33300"
"In post","2021","East Anglia","Communications","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Communications","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Communications","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Communications","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Communications","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Communications","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Communications","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Communications","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Communications","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Communications","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Counter Fraud","HM Revenue and Customs (excl. agencies)","380","350","28000","25560"
"In post","2021","East Anglia","Counter Fraud","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Debt","HM Revenue and Customs (excl. agencies)","50","40","[c]","[c]"
"In post","2021","East Anglia","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Digital, Data & Technology","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Digital, Data & Technology","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Digital, Data & Technology","Crown Commercial Service","40","40","[c]","[c]"
"In post","2021","East Anglia","Digital, Data & Technology","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Digital, Data & Technology","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Digital, Data & Technology","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Digital, Data & Technology","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Digital, Data & Technology","Ministry of Defence (excl. agencies)","40","30","[c]","[c]"
"In post","2021","East Anglia","Digital, Data & Technology","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Digital, Data & Technology","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Finance","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Finance","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Finance","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Finance","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Finance","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","40","40","[c]","[c]"
"In post","2021","East Anglia","Finance","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Finance","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Finance","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Finance","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Finance","Ministry of Defence (excl. agencies)","60","60","30820","26670"
"In post","2021","East Anglia","Finance","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Finance","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Grants Management","Rural Payments Agency","50","40","[c]","[c]"
"In post","2021","East Anglia","Human Resources","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Human Resources","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Human Resources","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Human Resources","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Human Resources","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Human Resources","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Human Resources","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Human Resources","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Human Resources","HM Treasury (excl. agencies)","30","30","[c]","[c]"
"In post","2021","East Anglia","Human Resources","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Human Resources","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Human Resources","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Human Resources","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Internal Audit","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Internal Audit","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Internal Audit","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Legal","Crown Prosecution Service","110","100","36230","28430"
"In post","2021","East Anglia","Legal","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Legal","HM Courts and Tribunals Service","30","30","[c]","[c]"
"In post","2021","East Anglia","Legal","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Legal","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","No function","Advisory, Conciliation and Arbitration Service","30","30","[c]","[c]"
"In post","2021","East Anglia","No function","Animal and Plant Health Agency","90","80","31270","29180"
"In post","2021","East Anglia","No function","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","No function","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","No function","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","No function","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","No function","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","No function","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","No function","Driver and Vehicle Standards Agency","180","170","28030","26780"
