"Status","Year","Responsibility_level","Region_ITL1","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","EO","South East (England)","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","EO","South East (England)","Department for Transport (excl. agencies)","50","40","[c]","[c]"
"In post","2022","EO","South East (England)","Department for Work and Pensions (excl. agencies)","4040","3670","28510","27570"
"In post","2022","EO","South East (England)","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","EO","South East (England)","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","EO","South East (England)","Driver and Vehicle Standards Agency","340","320","29010","26780"
"In post","2022","EO","South East (England)","FCDO Services","150","150","28220","27770"
"In post","2022","EO","South East (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","EO","South East (England)","Foreign, Commonwealth and Development Office (excl. agencies)","60","60","27920","27400"
"In post","2022","EO","South East (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","EO","South East (England)","HM Courts and Tribunals Service","220","200","25530","25120"
"In post","2022","EO","South East (England)","HM Prison and Probation Service","1050","1000","31420","32040"
"In post","2022","EO","South East (England)","HM Revenue and Customs (excl. agencies)","600","530","27890","26820"
"In post","2022","EO","South East (England)","Home Office","2700","2450","26780","25770"
"In post","2022","EO","South East (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","EO","South East (England)","Maritime and Coastguard Agency","150","150","28080","26780"
"In post","2022","EO","South East (England)","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","EO","South East (England)","Ministry of Defence (excl. agencies)","1540","1500","28880","26670"
"In post","2022","EO","South East (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","EO","South East (England)","National Crime Agency","250","240","36640","36520"
"In post","2022","EO","South East (England)","Rural Payments Agency","50","40","[c]","[c]"
"In post","2022","EO","South East (England)","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","EO","South East (England)","UK Health Security Agency","50","40","25880","25010"
"In post","2022","EO","South East (England)","UK Statistics Authority","280","270","24690","23880"
"In post","2022","EO","South East (England)","Valuation Office Agency","60","60","26720","26950"
"In post","2022","EO","South East (England)","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","EO","South East (England)","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2022","EO","South East (England)","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","EO","South East (England)","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","EO","South West (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","EO","South West (England)","Animal and Plant Health Agency","120","110","25620","25100"
"In post","2022","EO","South West (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","EO","South West (England)","Centre for Environment, Fisheries and Aquaculture Science","50","50","[c]","[c]"
"In post","2022","EO","South West (England)","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","EO","South West (England)","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","EO","South West (England)","Crown Prosecution Service","60","60","26840","26220"
"In post","2022","EO","South West (England)","Defence Equipment and Support","1570","1500","23000","22500"
"In post","2022","EO","South West (England)","Defence Science and Technology Laboratory","200","190","24850","23490"
"In post","2022","EO","South West (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","EO","South West (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","EO","South West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","80","80","24760","24920"
"In post","2022","EO","South West (England)","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","EO","South West (England)","Department for Work and Pensions (excl. agencies)","3260","2870","27490","27570"
"In post","2022","EO","South West (England)","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","EO","South West (England)","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","EO","South West (England)","Driver and Vehicle Standards Agency","260","240","27450","26780"
"In post","2022","EO","South West (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","EO","South West (England)","Food Standards Agency","50","50","26850","26750"
"In post","2022","EO","South West (England)","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2022","EO","South West (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2022","EO","South West (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","EO","South West (England)","HM Courts and Tribunals Service","150","140","25320","25120"
"In post","2022","EO","South West (England)","HM Land Registry","510","440","27820","27130"
"In post","2022","EO","South West (England)","HM Prison and Probation Service","430","410","29810","30140"
"In post","2022","EO","South West (England)","HM Revenue and Customs (excl. agencies)","310","290","27180","26820"
"In post","2022","EO","South West (England)","Home Office","270","240","26610","25310"
"In post","2022","EO","South West (England)","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","EO","South West (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","EO","South West (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","EO","South West (England)","Met Office","190","190","25810","25440"
"In post","2022","EO","South West (England)","Ministry of Defence (excl. agencies)","1530","1470","28040","26670"
"In post","2022","EO","South West (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","EO","South West (England)","National Crime Agency","220","210","32380","32770"
"In post","2022","EO","South West (England)","Office for Standards in Education, Children's Services and Skills","50","40","[c]","[c]"
"In post","2022","EO","South West (England)","Planning Inspectorate","90","90","26740","26050"
"In post","2022","EO","South West (England)","Rural Payments Agency","90","80","25780","25880"
"In post","2022","EO","South West (England)","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","EO","South West (England)","UK Health Security Agency","140","140","24360","23620"
"In post","2022","EO","South West (England)","UK Hydrographic Office","230","220","27700","26740"
"In post","2022","EO","South West (England)","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","EO","South West (England)","Valuation Office Agency","130","120","26310","26880"
"In post","2022","EO","South West (England)","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","Cabinet Office (excl. agencies)","30","30","[c]","[c]"
"In post","2022","EO","Unknown","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","Department for Work and Pensions (excl. agencies)","340","320","28740","27570"
"In post","2022","EO","Unknown","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","Ministry of Defence (excl. agencies)","30","30","[c]","[c]"
"In post","2022","EO","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2022","EO","Wales","Advisory, Conciliation and Arbitration Service","30","30","[c]","[c]"
"In post","2022","EO","Wales","Animal and Plant Health Agency","80","80","25540","25100"
"In post","2022","EO","Wales","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","EO","Wales","Companies House","270","250","27410","25460"
"In post","2022","EO","Wales","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","EO","Wales","Crown Prosecution Service","70","70","26970","26160"
"In post","2022","EO","Wales","Defence Electronics and Components Agency","220","210","29280","29470"
"In post","2022","EO","Wales","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","EO","Wales","Department for Business, Energy and Industrial Strategy (excl. agencies)","30","30","[c]","[c]"
"In post","2022","EO","Wales","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","EO","Wales","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","EO","Wales","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","EO","Wales","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","EO","Wales","Department for Work and Pensions (excl. agencies)","3190","2900","27500","27570"
"In post","2022","EO","Wales","Driver and Vehicle Licensing Agency","890","830","26600","26470"
"In post","2022","EO","Wales","Driver and Vehicle Standards Agency","200","190","27420","26780"
"In post","2022","EO","Wales","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","EO","Wales","Food Standards Agency","40","40","[c]","[c]"
"In post","2022","EO","Wales","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","EO","Wales","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2022","EO","Wales","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","EO","Wales","HM Courts and Tribunals Service","140","130","25200","25120"
"In post","2022","EO","Wales","HM Land Registry","310","270","27130","27130"
"In post","2022","EO","Wales","HM Prison and Probation Service","280","270","29760","30220"
"In post","2022","EO","Wales","HM Revenue and Customs (excl. agencies)","1240","1170","26770","26820"
"In post","2022","EO","Wales","Home Office","330","310","25860","25040"
"In post","2022","EO","Wales","Intellectual Property Office","480","450","26140","24030"
"In post","2022","EO","Wales","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","EO","Wales","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","EO","Wales","Ministry of Defence (excl. agencies)","160","150","27700","26670"
"In post","2022","EO","Wales","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","EO","Wales","National Crime Agency","40","40","[c]","[c]"
"In post","2022","EO","Wales","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","EO","Wales","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","EO","Wales","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","EO","Wales","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2022","EO","Wales","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","EO","Wales","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","EO","Wales","UK Statistics Authority","430","400","24420","23880"
"In post","2022","EO","Wales","Valuation Office Agency","60","50","26640","26880"
"In post","2022","EO","Wales","Welsh Government (excl. agencies)","1080","1020","28860","29430"
"In post","2022","EO","Wales","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","EO","West Midlands (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","EO","West Midlands (England)","Animal and Plant Health Agency","70","70","25430","25100"
"In post","2022","EO","West Midlands (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","EO","West Midlands (England)","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","EO","West Midlands (England)","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","EO","West Midlands (England)","Crown Prosecution Service","120","110","27000","27070"
"In post","2022","EO","West Midlands (England)","Defence Electronics and Components Agency","30","30","[c]","[c]"
"In post","2022","EO","West Midlands (England)","Defence Equipment and Support","110","110","21120","20680"
"In post","2022","EO","West Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","40","40","[c]","[c]"
"In post","2022","EO","West Midlands (England)","Department for Education (excl. agencies)","90","80","25410","25000"
"In post","2022","EO","West Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","EO","West Midlands (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","EO","West Midlands (England)","Department for Levelling Up, Housing and Communities (excl. agencies)","50","50","25010","24830"
"In post","2022","EO","West Midlands (England)","Department for Transport (excl. agencies)","30","30","[c]","[c]"
"In post","2022","EO","West Midlands (England)","Department for Work and Pensions (excl. agencies)","4580","4100","27450","27570"
"In post","2022","EO","West Midlands (England)","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","EO","West Midlands (England)","Driver and Vehicle Licensing Agency","40","30","[c]","[c]"
"In post","2022","EO","West Midlands (England)","Driver and Vehicle Standards Agency","260","240","27900","26780"
"In post","2022","EO","West Midlands (England)","Education and Skills Funding Agency","40","40","[c]","[c]"
"In post","2022","EO","West Midlands (England)","Food Standards Agency","50","50","27120","26750"
"In post","2022","EO","West Midlands (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2022","EO","West Midlands (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","EO","West Midlands (England)","HM Courts and Tribunals Service","320","310","25190","25120"
"In post","2022","EO","West Midlands (England)","HM Land Registry","220","200","27170","27130"
"In post","2022","EO","West Midlands (England)","HM Prison and Probation Service","610","590","30520","31610"
"In post","2022","EO","West Midlands (England)","HM Revenue and Customs (excl. agencies)","1040","980","26970","26820"
"In post","2022","EO","West Midlands (England)","Home Office","540","500","25860","25040"
"In post","2022","EO","West Midlands (England)","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","EO","West Midlands (England)","Legal Aid Agency","30","30","[c]","[c]"
"In post","2022","EO","West Midlands (England)","Ministry of Defence (excl. agencies)","570","560","28070","26670"
"In post","2022","EO","West Midlands (England)","Ministry of Justice (excl. agencies)","90","80","25790","25480"
"In post","2022","EO","West Midlands (England)","National Crime Agency","250","240","33510","34140"
"In post","2022","EO","West Midlands (England)","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","EO","West Midlands (England)","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","EO","West Midlands (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","EO","West Midlands (England)","Office of the Public Guardian","240","230","25180","25120"
"In post","2022","EO","West Midlands (England)","Rural Payments Agency","60","50","25450","25190"
"In post","2022","EO","West Midlands (England)","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2022","EO","West Midlands (England)","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2022","EO","West Midlands (England)","The Insolvency Service","50","50","25690","25190"
"In post","2022","EO","West Midlands (England)","UK Health Security Agency","60","50","24570","23390"
"In post","2022","EO","West Midlands (England)","Valuation Office Agency","70","60","26600","26950"
"In post","2022","EO","West Midlands (England)","Water Services Regulation Authority","30","30","[c]","[c]"
"In post","2022","EO","West Midlands (England)","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","EO","Yorkshire and The Humber","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","EO","Yorkshire and The Humber","Animal and Plant Health Agency","70","60","25520","25220"
"In post","2022","EO","Yorkshire and The Humber","Cabinet Office (excl. agencies)","150","140","25600","26350"
"In post","2022","EO","Yorkshire and The Humber","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","EO","Yorkshire and The Humber","Crown Prosecution Service","170","150","26940","26220"
"In post","2022","EO","Yorkshire and The Humber","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","EO","Yorkshire and The Humber","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","EO","Yorkshire and The Humber","Department for Education (excl. agencies)","150","140","25410","25000"
"In post","2022","EO","Yorkshire and The Humber","Department for Environment, Food and Rural Affairs (excl. agencies)","60","60","25320","25100"
"In post","2022","EO","Yorkshire and The Humber","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","EO","Yorkshire and The Humber","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","EO","Yorkshire and The Humber","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","EO","Yorkshire and The Humber","Department for Work and Pensions (excl. agencies)","4520","4020","27490","27570"
"In post","2022","EO","Yorkshire and The Humber","Department of Health and Social Care (excl. agencies)","110","100","24450","23690"
"In post","2022","EO","Yorkshire and The Humber","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","EO","Yorkshire and The Humber","Driver and Vehicle Standards Agency","230","220","27530","26780"
"In post","2022","EO","Yorkshire and The Humber","Education and Skills Funding Agency","50","40","[c]","[c]"
"In post","2022","EO","Yorkshire and The Humber","Food Standards Agency","70","70","26980","26750"
"In post","2022","EO","Yorkshire and The Humber","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","EO","Yorkshire and The Humber","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2022","EO","Yorkshire and The Humber","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2022","EO","Yorkshire and The Humber","Health and Safety Executive","100","90","26790","26370"
"In post","2022","EO","Yorkshire and The Humber","HM Courts and Tribunals Service","170","150","25190","25120"
"In post","2022","EO","Yorkshire and The Humber","HM Land Registry","150","140","27160","27130"
"In post","2022","EO","Yorkshire and The Humber","HM Prison and Probation Service","910","870","30950","31610"
"In post","2022","EO","Yorkshire and The Humber","HM Revenue and Customs (excl. agencies)","1390","1320","26930","26820"
"In post","2022","EO","Yorkshire and The Humber","Home Office","1480","1380","25430","24890"
"In post","2022","EO","Yorkshire and The Humber","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","EO","Yorkshire and The Humber","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","EO","Yorkshire and The Humber","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","EO","Yorkshire and The Humber","Ministry of Defence (excl. agencies)","570","550","28190","26670"
"In post","2022","EO","Yorkshire and The Humber","Ministry of Justice (excl. agencies)","70","70","25440","25120"
"In post","2022","EO","Yorkshire and The Humber","National Crime Agency","140","140","33980","34140"
"In post","2022","EO","Yorkshire and The Humber","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","EO","Yorkshire and The Humber","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","EO","Yorkshire and The Humber","Rural Payments Agency","90","80","25400","24920"
"In post","2022","EO","Yorkshire and The Humber","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2022","EO","Yorkshire and The Humber","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","EO","Yorkshire and The Humber","UK Health Security Agency","80","70","24990","23690"
"In post","2022","EO","Yorkshire and The Humber","Valuation Office Agency","130","120","26690","26950"
"In post","2022","EO","Yorkshire and The Humber","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","Crown Prosecution Service","220","200","53450","51940"
"In post","2022","G6/G7","East Midlands (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","Department for Education (excl. agencies)","110","110","53690","50520"
"In post","2022","G6/G7","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","30","30","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","Department for Work and Pensions (excl. agencies)","40","30","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","Health and Safety Executive","110","100","61270","59150"
"In post","2022","G6/G7","East Midlands (England)","HM Courts and Tribunals Service","40","40","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","HM Land Registry","50","50","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","HM Prison and Probation Service","60","60","72660","71890"
"In post","2022","G6/G7","East Midlands (England)","HM Revenue and Customs (excl. agencies)","530","520","57560","55210"
"In post","2022","G6/G7","East Midlands (England)","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","Ministry of Defence (excl. agencies)","40","40","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","Ministry of Justice (excl. agencies)","40","40","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","60","50","73150","75500"
"In post","2022","G6/G7","East Midlands (England)","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","Planning Inspectorate","50","40","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","UK Health Security Agency","30","30","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East Midlands (England)","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East of England","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East of England","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East of England","Cabinet Office (excl. agencies)","40","40","[c]","[c]"
"In post","2022","G6/G7","East of England","Centre for Environment, Fisheries and Aquaculture Science","90","90","51560","48080"
"In post","2022","G6/G7","East of England","Crown Commercial Service","30","30","[c]","[c]"
"In post","2022","G6/G7","East of England","Crown Prosecution Service","210","190","58750","58970"
"In post","2022","G6/G7","East of England","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East of England","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East of England","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East of England","Department for Education (excl. agencies)","40","40","[c]","[c]"
"In post","2022","G6/G7","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","60","60","51800","48950"
"In post","2022","G6/G7","East of England","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East of England","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East of England","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East of England","Department for Work and Pensions (excl. agencies)","40","40","[c]","[c]"
"In post","2022","G6/G7","East of England","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East of England","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East of England","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East of England","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East of England","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East of England","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East of England","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East of England","HM Courts and Tribunals Service","40","40","[c]","[c]"
"In post","2022","G6/G7","East of England","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East of England","HM Prison and Probation Service","70","60","73020","70900"
"In post","2022","G6/G7","East of England","HM Revenue and Customs (excl. agencies)","140","130","58160","55210"
"In post","2022","G6/G7","East of England","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East of England","Home Office","60","50","55830","52280"
"In post","2022","G6/G7","East of England","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East of England","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East of England","Medicines and Healthcare Products Regulatory Agency","110","100","61490","53970"
"In post","2022","G6/G7","East of England","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East of England","Ministry of Defence (excl. agencies)","210","200","63100","59730"
"In post","2022","G6/G7","East of England","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East of England","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East of England","Office for Standards in Education, Children's Services and Skills","50","50","[c]","[c]"
"In post","2022","G6/G7","East of England","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East of England","Planning Inspectorate","30","30","[c]","[c]"
"In post","2022","G6/G7","East of England","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East of England","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","East of England","UK Health Security Agency","50","50","54640","51940"
"In post","2022","G6/G7","East of England","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","London","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","London","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","London","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","London","Cabinet Office (excl. agencies)","2620","2570","60230","56760"
"In post","2022","G6/G7","London","Charity Commission","30","30","[c]","[c]"
