"Status","Year","Region_ITL2","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","West Yorkshire","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","West Yorkshire","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","West Yorkshire","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2022","West Yorkshire","Undeclared","Counter Fraud","50","50","34040","28920"
"In post","2022","West Yorkshire","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2022","West Yorkshire","Undeclared","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2022","West Yorkshire","Undeclared","Finance","50","40","[c]","[c]"
"In post","2022","West Yorkshire","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","West Yorkshire","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","West Yorkshire","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2022","West Yorkshire","Undeclared","No function","340","310","30550","27570"
"In post","2022","West Yorkshire","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","West Yorkshire","Undeclared","Property","40","30","[c]","[c]"
"In post","2022","West Yorkshire","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2022","West Yorkshire","Undeclared","Unknown","60","60","29980","27370"
"In post","2022","West Yorkshire","Unknown","Analysis","30","30","[c]","[c]"
"In post","2022","West Yorkshire","Unknown","Commercial","120","120","57090","61710"
"In post","2022","West Yorkshire","Unknown","Communications","240","230","30700","26820"
"In post","2022","West Yorkshire","Unknown","Counter Fraud","180","170","31180","26820"
"In post","2022","West Yorkshire","Unknown","Debt","140","130","22410","21250"
"In post","2022","West Yorkshire","Unknown","Digital, Data & Technology","140","130","41040","38500"
"In post","2022","West Yorkshire","Unknown","Finance","210","200","32590","28970"
"In post","2022","West Yorkshire","Unknown","Grants Management","40","40","[c]","[c]"
"In post","2022","West Yorkshire","Unknown","Human Resources","70","70","47170","46580"
"In post","2022","West Yorkshire","Unknown","Legal","80","70","37530","33370"
"In post","2022","West Yorkshire","Unknown","No function","1900","1810","28940","26610"
"In post","2022","West Yorkshire","Unknown","Project Delivery","40","40","[c]","[c]"
"In post","2022","West Yorkshire","Unknown","Property","50","50","34280","31320"
"In post","2022","West Yorkshire","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2022","West Yorkshire","Unknown","Unknown","150","140","28800","24880"
"In post","2022","West Yorkshire","White","Analysis","200","190","41440","37380"
"In post","2022","West Yorkshire","White","Commercial","150","140","43110","36820"
"In post","2022","West Yorkshire","White","Communications","260","260","35270","33080"
"In post","2022","West Yorkshire","White","Counter Fraud","720","670","33710","33080"
"In post","2022","West Yorkshire","White","Debt","310","260","25920","22080"
"In post","2022","West Yorkshire","White","Digital, Data & Technology","540","520","43130","38950"
"In post","2022","West Yorkshire","White","Finance","670","610","36170","31990"
"In post","2022","West Yorkshire","White","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","West Yorkshire","White","Human Resources","350","330","39810","35810"
"In post","2022","West Yorkshire","White","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","West Yorkshire","White","Legal","460","430","42240","38000"
"In post","2022","West Yorkshire","White","No function","6850","6300","31550","27570"
"In post","2022","West Yorkshire","White","Project Delivery","330","320","42500","39970"
"In post","2022","West Yorkshire","White","Property","280","260","39760","35600"
"In post","2022","West Yorkshire","White","Security","60","50","36660","33520"
"In post","2022","West Yorkshire","White","Unknown","750","710","32650","30820"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Asian","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Asian","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Asian","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Asian","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Asian","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Asian","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Asian","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Black","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Black","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Black","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Black","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Black","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Black","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Black","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Black","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Chinese","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Chinese","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Chinese","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Chinese","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Chinese","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Chinese","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Chinese","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Chinese","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Mixed","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Mixed","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Mixed","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Mixed","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Mixed","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Mixed","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Undeclared","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Unknown","No function","60","60","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Unknown","Unknown","40","30","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","White","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","White","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","White","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","White","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","White","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","White","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","White","No function","70","70","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","White","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","White","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","White","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","White","Unknown","180","150","29530","27570"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Asian","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Asian","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Asian","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Asian","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Asian","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Asian","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Asian","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Asian","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Asian","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Asian","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Black","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Black","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Black","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Black","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Black","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Black","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Black","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Black","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Black","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Black","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Black","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Chinese","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Chinese","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Chinese","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Chinese","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Chinese","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Chinese","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Chinese","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Chinese","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Chinese","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Chinese","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Chinese","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Mixed","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Mixed","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Mixed","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Mixed","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Mixed","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Mixed","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Mixed","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Mixed","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","No function","90","80","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","White","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","White","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","White","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","White","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","White","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","White","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","White","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","White","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","White","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","White","No function","190","180","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","White","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","White","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","White","Security","30","30","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","White","Unknown","150","130","27010","26010"
"Leaver CS","2021","Cheshire","Asian","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Asian","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Asian","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Asian","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Asian","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Asian","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Asian","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Black","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Black","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Black","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Black","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Black","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Black","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Black","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Black","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Chinese","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Chinese","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Chinese","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Chinese","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Chinese","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Chinese","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Chinese","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Chinese","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Mixed","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Mixed","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Mixed","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Mixed","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Mixed","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
