"Status","Year","Sexual_orientation","Profession_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Undeclared","Other","40-49","530","500","32790","27570"
"In post","2022","Undeclared","Other","50-59","1110","1070","29810","26670"
"In post","2022","Undeclared","Other","60-64","420","380","28830","26670"
"In post","2022","Undeclared","Other","65+","150","130","30720","26510"
"In post","2022","Undeclared","Planning","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Planning","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Planning","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Planning","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Planning","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Planning Inspectors","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Planning Inspectors","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Planning Inspectors","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Planning Inspectors","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Planning Inspectors","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Policy","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Policy","20-29","730","730","38900","35060"
"In post","2022","Undeclared","Policy","30-39","810","790","48080","50130"
"In post","2022","Undeclared","Policy","40-49","650","630","52030","53360"
"In post","2022","Undeclared","Policy","50-59","730","710","49790","47470"
"In post","2022","Undeclared","Policy","60-64","160","140","47880","42140"
"In post","2022","Undeclared","Policy","65+","50","40","[c]","[c]"
"In post","2022","Undeclared","Project Delivery","20-29","100","100","35300","33120"
"In post","2022","Undeclared","Project Delivery","30-39","220","210","44040","40520"
"In post","2022","Undeclared","Project Delivery","40-49","380","370","45320","41020"
"In post","2022","Undeclared","Project Delivery","50-59","510","490","45870","40980"
"In post","2022","Undeclared","Project Delivery","60-64","130","100","43070","40580"
"In post","2022","Undeclared","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Property","20-29","30","30","[c]","[c]"
"In post","2022","Undeclared","Property","30-39","80","80","40170","39720"
"In post","2022","Undeclared","Property","40-49","150","150","39340","35900"
"In post","2022","Undeclared","Property","50-59","320","310","39700","36050"
"In post","2022","Undeclared","Property","60-64","100","80","38600","34000"
"In post","2022","Undeclared","Property","65+","40","30","[c]","[c]"
"In post","2022","Undeclared","Psychology","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Psychology","30-39","40","40","[c]","[c]"
"In post","2022","Undeclared","Psychology","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Psychology","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Psychology","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Psychology","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Science and Engineering","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Science and Engineering","20-29","200","190","29800","29230"
"In post","2022","Undeclared","Science and Engineering","30-39","300","290","38740","39110"
"In post","2022","Undeclared","Science and Engineering","40-49","290","270","43710","41130"
"In post","2022","Undeclared","Science and Engineering","50-59","520","510","42650","40690"
"In post","2022","Undeclared","Science and Engineering","60-64","180","160","37780","35110"
"In post","2022","Undeclared","Science and Engineering","65+","60","40","39830","35040"
"In post","2022","Undeclared","Security","20-29","50","50","[c]","[c]"
"In post","2022","Undeclared","Security","30-39","120","120","36310","37930"
"In post","2022","Undeclared","Security","40-49","230","230","36230","39070"
"In post","2022","Undeclared","Security","50-59","410","400","36230","39070"
"In post","2022","Undeclared","Security","60-64","110","100","32130","31990"
"In post","2022","Undeclared","Security","65+","40","30","[c]","[c]"
"In post","2022","Undeclared","Social Research","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Social Research","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Social Research","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Social Research","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Statistics","20-29","60","60","36610","34490"
"In post","2022","Undeclared","Statistics","30-39","50","50","40690","38340"
"In post","2022","Undeclared","Statistics","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Statistics","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Statistics","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Statistics","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Tax","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Tax","20-29","140","140","32200","28780"
"In post","2022","Undeclared","Tax","30-39","250","240","37020","33370"
"In post","2022","Undeclared","Tax","40-49","280","270","40700","35800"
"In post","2022","Undeclared","Tax","50-59","480","460","41310","38470"
"In post","2022","Undeclared","Tax","60-64","160","120","42640","35980"
"In post","2022","Undeclared","Tax","65+","40","20","[c]","[c]"
"In post","2022","Undeclared","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","20-29","340","330","35760","33080"
"In post","2022","Undeclared","Unknown","30-39","450","440","43920","40600"
"In post","2022","Undeclared","Unknown","40-49","350","340","47730","43890"
"In post","2022","Undeclared","Unknown","50-59","300","300","50590","43660"
"In post","2022","Undeclared","Unknown","60-64","70","70","44830","36130"
"In post","2022","Undeclared","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Veterinarian","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Veterinarian","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Veterinarian","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Veterinarian","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Veterinarian","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Veterinarian","65+","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","20-29","200","200","31360","29750"
"In post","2022","Unknown","Commercial","30-39","200","190","36700","35530"
"In post","2022","Unknown","Commercial","40-49","170","160","42900","39980"
"In post","2022","Unknown","Commercial","50-59","200","190","39960","35340"
"In post","2022","Unknown","Commercial","60-64","60","50","41090","40160"
"In post","2022","Unknown","Commercial","65+","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","20-29","200","200","35910","34710"
"In post","2022","Unknown","Communications","30-39","210","200","44150","41620"
"In post","2022","Unknown","Communications","40-49","190","170","48190","44420"
"In post","2022","Unknown","Communications","50-59","100","100","42790","38370"
"In post","2022","Unknown","Communications","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Corporate Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Corporate Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Corporate Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Corporate Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Corporate Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Corporate Finance","65+","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Counter Fraud","20-29","80","80","28720","27570"
"In post","2022","Unknown","Counter Fraud","30-39","150","130","29860","27570"
"In post","2022","Unknown","Counter Fraud","40-49","300","270","30300","27570"
"In post","2022","Unknown","Counter Fraud","50-59","580","530","29290","27570"
"In post","2022","Unknown","Counter Fraud","60-64","200","150","29390","27570"
"In post","2022","Unknown","Counter Fraud","65+","90","60","28270","27570"
"In post","2022","Unknown","Digital, Data and Technology","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data and Technology","20-29","820","810","33980","33080"
"In post","2022","Unknown","Digital, Data and Technology","30-39","1040","1020","42940","39630"
"In post","2022","Unknown","Digital, Data and Technology","40-49","1050","1020","45520","41700"
"In post","2022","Unknown","Digital, Data and Technology","50-59","830","810","44760","40520"
"In post","2022","Unknown","Digital, Data and Technology","60-64","170","150","42250","38450"
"In post","2022","Unknown","Digital, Data and Technology","65+","50","40","35730","33560"
"In post","2022","Unknown","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Economics","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Economics","20-29","220","220","36120","33370"
"In post","2022","Unknown","Economics","30-39","70","60","53050","54800"
"In post","2022","Unknown","Economics","40-49","40","40","[c]","[c]"
"In post","2022","Unknown","Economics","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Economics","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Economics","65+","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","20-29","290","280","31820","30420"
"In post","2022","Unknown","Finance","30-39","340","330","40950","38550"
"In post","2022","Unknown","Finance","40-49","380","370","41510","38160"
"In post","2022","Unknown","Finance","50-59","390","370","41870","37960"
"In post","2022","Unknown","Finance","60-64","90","80","36640","33930"
"In post","2022","Unknown","Finance","65+","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Geography","20-29","40","40","[c]","[c]"
"In post","2022","Unknown","Geography","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Geography","40-49","30","30","[c]","[c]"
"In post","2022","Unknown","Geography","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Geography","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Geography","65+","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","20-29","200","190","30140","27570"
"In post","2022","Unknown","Human Resources","30-39","260","250","38010","34260"
"In post","2022","Unknown","Human Resources","40-49","270","260","38810","33370"
"In post","2022","Unknown","Human Resources","50-59","240","230","40610","36910"
"In post","2022","Unknown","Human Resources","60-64","50","40","[c]","[c]"
"In post","2022","Unknown","Human Resources","65+","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Inspector of Education and Training","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Inspector of Education and Training","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Inspector of Education and Training","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Inspector of Education and Training","65+","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","20-29","110","110","31730","29230"
"In post","2022","Unknown","Intelligence Analysis","30-39","80","80","34840","33080"
"In post","2022","Unknown","Intelligence Analysis","40-49","60","50","38880","33080"
"In post","2022","Unknown","Intelligence Analysis","50-59","60","60","33100","31530"
"In post","2022","Unknown","Intelligence Analysis","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","65+","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","65+","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","International Trade","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","International Trade","20-29","170","170","39080","38160"
"In post","2022","Unknown","International Trade","30-39","170","160","47100","48220"
"In post","2022","Unknown","International Trade","40-49","70","70","54400","53750"
"In post","2022","Unknown","International Trade","50-59","60","60","46680","40140"
"In post","2022","Unknown","International Trade","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","International Trade","65+","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Knowledge and Information Management","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Knowledge and Information Management","20-29","60","60","32010","28390"
"In post","2022","Unknown","Knowledge and Information Management","30-39","60","60","40000","33440"
"In post","2022","Unknown","Knowledge and Information Management","40-49","70","70","39060","38070"
"In post","2022","Unknown","Knowledge and Information Management","50-59","110","100","36580","32120"
"In post","2022","Unknown","Knowledge and Information Management","60-64","30","30","[c]","[c]"
"In post","2022","Unknown","Knowledge and Information Management","65+","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal","20-29","330","330","32480","31020"
"In post","2022","Unknown","Legal","30-39","590","570","43240","37930"
"In post","2022","Unknown","Legal","40-49","820","750","52120","54200"
"In post","2022","Unknown","Legal","50-59","920","860","51690","55210"
"In post","2022","Unknown","Legal","60-64","170","140","52900","55610"
"In post","2022","Unknown","Legal","65+","60","50","55930","59950"
"In post","2022","Unknown","Medicine","20-29","30","30","[c]","[c]"
"In post","2022","Unknown","Medicine","30-39","130","110","44080","39030"
"In post","2022","Unknown","Medicine","40-49","150","120","56080","47680"
"In post","2022","Unknown","Medicine","50-59","120","110","67160","58030"
"In post","2022","Unknown","Medicine","60-64","30","30","[c]","[c]"
"In post","2022","Unknown","Medicine","65+","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Operational Delivery","16-19","260","250","21730","21250"
"In post","2022","Unknown","Operational Delivery","20-29","10040","9840","25270","23780"
"In post","2022","Unknown","Operational Delivery","30-39","10720","9950","27470","26350"
"In post","2022","Unknown","Operational Delivery","40-49","11200","10060","28450","26820"
"In post","2022","Unknown","Operational Delivery","50-59","15230","13640","28420","26930"
"In post","2022","Unknown","Operational Delivery","60-64","4900","3770","27250","26120"
"In post","2022","Unknown","Operational Delivery","65+","1590","1130","26910","25330"
"In post","2022","Unknown","Operational Research","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Operational Research","20-29","120","120","32840","32630"
"In post","2022","Unknown","Operational Research","30-39","130","120","43510","47010"
"In post","2022","Unknown","Operational Research","40-49","100","100","48590","47060"
"In post","2022","Unknown","Operational Research","50-59","80","70","51310","48160"
"In post","2022","Unknown","Operational Research","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Operational Research","65+","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other","16-19","50","50","[c]","[c]"
"In post","2022","Unknown","Other","20-29","910","900","28110","27570"
"In post","2022","Unknown","Other","30-39","1200","1150","34860","31440"
"In post","2022","Unknown","Other","40-49","1230","1170","36580","32350"
"In post","2022","Unknown","Other","50-59","1610","1550","35160","31470"
"In post","2022","Unknown","Other","60-64","440","390","33710","30050"
"In post","2022","Unknown","Other","65+","120","100","31570","29000"
"In post","2022","Unknown","Planning","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning Inspectors","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning Inspectors","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning Inspectors","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning Inspectors","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning Inspectors","65+","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Policy","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Policy","20-29","1400","1390","38970","35250"
"In post","2022","Unknown","Policy","30-39","1330","1300","48900","51500"
"In post","2022","Unknown","Policy","40-49","790","750","53300","53600"
"In post","2022","Unknown","Policy","50-59","630","610","50530","48800"
"In post","2022","Unknown","Policy","60-64","110","100","47320","43090"
"In post","2022","Unknown","Policy","65+","40","30","[c]","[c]"
"In post","2022","Unknown","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Project Delivery","20-29","410","410","34890","34260"
"In post","2022","Unknown","Project Delivery","30-39","580","560","40860","40000"
"In post","2022","Unknown","Project Delivery","40-49","590","560","44950","40580"
"In post","2022","Unknown","Project Delivery","50-59","670","650","44550","40580"
"In post","2022","Unknown","Project Delivery","60-64","140","120","40740","39900"
"In post","2022","Unknown","Project Delivery","65+","40","30","[c]","[c]"
"In post","2022","Unknown","Property","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Property","20-29","260","260","29780","27980"
"In post","2022","Unknown","Property","30-39","220","210","36330","33000"
"In post","2022","Unknown","Property","40-49","250","240","37730","33370"
"In post","2022","Unknown","Property","50-59","350","340","38290","33530"
"In post","2022","Unknown","Property","60-64","150","130","36050","33170"
"In post","2022","Unknown","Property","65+","50","40","29090","25080"
"In post","2022","Unknown","Psychology","20-29","60","60","26590","27070"
"In post","2022","Unknown","Psychology","30-39","90","90","35380","35000"
"In post","2022","Unknown","Psychology","40-49","60","50","43760","44940"
"In post","2022","Unknown","Psychology","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Psychology","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Psychology","65+","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Science and Engineering","16-19","50","50","17920","17140"
"In post","2022","Unknown","Science and Engineering","20-29","790","790","29180","29230"
"In post","2022","Unknown","Science and Engineering","30-39","730","720","39490","38070"
"In post","2022","Unknown","Science and Engineering","40-49","880","840","45240","47010"
"In post","2022","Unknown","Science and Engineering","50-59","770","750","47110","47010"
"In post","2022","Unknown","Science and Engineering","60-64","210","180","46970","47010"
"In post","2022","Unknown","Science and Engineering","65+","90","60","49220","47060"
"In post","2022","Unknown","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Security","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Security","20-29","330","330","27360","25680"
"In post","2022","Unknown","Security","30-39","380","380","33220","33200"
"In post","2022","Unknown","Security","40-49","280","270","37120","39070"
"In post","2022","Unknown","Security","50-59","340","330","36600","37930"
"In post","2022","Unknown","Security","60-64","70","70","33350","31990"
"In post","2022","Unknown","Security","65+","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Social Research","20-29","90","90","34720","33650"
"In post","2022","Unknown","Social Research","30-39","60","50","45120","42710"
"In post","2022","Unknown","Social Research","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Social Research","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Social Research","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Social Research","65+","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Statistics","20-29","160","150","32740","30710"
"In post","2022","Unknown","Statistics","30-39","100","90","42720","40230"
"In post","2022","Unknown","Statistics","40-49","60","60","48690","50210"
"In post","2022","Unknown","Statistics","50-59","40","40","[c]","[c]"
"In post","2022","Unknown","Statistics","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Statistics","65+","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Tax","16-19","30","30","[c]","[c]"
"In post","2022","Unknown","Tax","20-29","1660","1620","26790","26590"
"In post","2022","Unknown","Tax","30-39","1610","1550","31010","26820"
"In post","2022","Unknown","Tax","40-49","1060","1010","32610","33080"
"In post","2022","Unknown","Tax","50-59","1060","1010","35840","33370"
"In post","2022","Unknown","Tax","60-64","340","270","36330","33440"
"In post","2022","Unknown","Tax","65+","100","70","36520","35980"
"In post","2022","Unknown","Unknown","16-19","50","50","23260","21260"
"In post","2022","Unknown","Unknown","20-29","3580","3550","31400","29250"
"In post","2022","Unknown","Unknown","30-39","2580","2510","40960","34600"
"In post","2022","Unknown","Unknown","40-49","2220","2130","47500","40180"
"In post","2022","Unknown","Unknown","50-59","2100","2030","48390","40550"
"In post","2022","Unknown","Unknown","60-64","530","480","40570","33300"
"In post","2022","Unknown","Unknown","65+","170","140","39850","31540"
"In post","2022","Unknown","Veterinarian","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Veterinarian","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Veterinarian","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Veterinarian","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Veterinarian","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Veterinarian","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Commercial","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Commercial","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Commercial","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Commercial","50-59","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Commercial","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Commercial","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Communications","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Communications","30-39","40","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Communications","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Communications","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Communications","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Communications","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Corporate Finance","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Corporate Finance","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Corporate Finance","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Corporate Finance","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Digital, Data and Technology","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Digital, Data and Technology","20-29","50","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Digital, Data and Technology","30-39","50","50","44910","41970"
"Leaver CS","2021","Heterosexual / straight","Digital, Data and Technology","40-49","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Digital, Data and Technology","50-59","30","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Digital, Data and Technology","60-64","40","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Digital, Data and Technology","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Economics","20-29","50","50","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Economics","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Economics","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Economics","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Economics","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Finance","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Finance","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Finance","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Finance","50-59","50","50","46190","41280"
"Leaver CS","2021","Heterosexual / straight","Finance","60-64","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Finance","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Human Resources","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Human Resources","30-39","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Human Resources","40-49","30","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Human Resources","50-59","50","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Human Resources","60-64","50","50","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Human Resources","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Inspector of Education and Training","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Inspector of Education and Training","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Inspector of Education and Training","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Inspector of Education and Training","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Inspector of Education and Training","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Inspector of Education and Training","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Intelligence Analysis","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Intelligence Analysis","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Intelligence Analysis","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Intelligence Analysis","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Intelligence Analysis","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Intelligence Analysis","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Internal Audit","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","International Trade","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","International Trade","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","International Trade","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","International Trade","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","International Trade","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","International Trade","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Knowledge and Information Management","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Knowledge and Information Management","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Knowledge and Information Management","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Knowledge and Information Management","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Knowledge and Information Management","60-64","[c]","[c]","[c]","[c]"
